SED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SED21106,0,0,0,0,4,0,0,0,0,5,0,6,8,122,36,19,10,5,6,216,0,8,5,51,22,23,55,35,35,231,0,18,16,18,17,5,4,0,0,66,0,5,12,11,4,0,0,0,0,36,0,0,0,4,6,4,7,0,0,16,4,5,3,30,32,21,23,3,0,125,0,0,0,0,0,3,8,4,0,12,0,0,0,7,0,8,6,4,0,26,0,0,0,0,3,0,0,0,0,3,0,0,4,9,4,0,0,0,0,21,5,11,9,21,9,16,15,6,5,95,3,19,33,168,107,107,50,25,8,525,0,0,0,9,7,7,4,3,0,28,0,0,0,10,0,3,3,0,0,26,0,0,0,0,4,3,0,0,0,8,0,5,7,26,6,3,0,0,0,42,0,0,0,19,20,25,51,23,7,149,0,0,0,0,0,0,0,0,0,3,0,9,7,39,40,47,47,21,6,215
SED21203,0,160,192,609,417,296,142,60,23,1905,0,0,0,5,0,4,4,7,4,23,0,0,6,31,29,128,189,274,176,836,0,0,4,8,3,0,0,0,0,13,0,0,4,7,4,3,0,0,0,15,11,57,78,630,335,267,176,57,11,1624,4,8,7,41,8,6,6,0,0,83,0,0,0,0,0,21,68,70,33,199,0,0,0,3,3,7,3,5,0,23,0,5,4,7,0,0,6,0,3,31,4,20,262,670,26,11,9,0,0,990,0,0,0,3,0,0,7,5,0,19,0,50,73,158,31,37,15,0,5,373,0,0,3,6,10,10,7,3,3,44,19,142,330,1171,136,61,13,3,0,1878,0,0,5,9,0,0,0,0,0,12,3,10,29,132,54,56,45,12,0,353,0,0,0,4,5,7,15,5,5,49,0,16,10,30,29,30,15,4,0,133,0,0,0,10,4,14,11,12,4,50
SED21303,0,0,0,14,8,14,8,0,0,42,3,0,8,114,28,13,6,5,6,180,0,3,17,147,37,144,244,269,207,1062,0,3,10,43,4,3,4,4,0,68,0,5,3,34,5,0,0,0,0,45,0,0,6,42,45,96,100,50,12,351,0,3,35,159,28,21,22,10,0,285,0,0,0,5,0,16,20,18,14,67,0,0,4,21,3,5,0,3,0,37,0,0,0,0,0,4,0,0,0,7,0,3,110,177,4,0,0,0,0,295,4,0,7,30,9,6,3,9,0,72,3,6,35,644,125,42,23,12,0,886,0,0,0,7,0,0,9,0,0,22,0,3,12,87,11,3,0,0,0,124,0,0,0,11,8,0,3,0,0,19,0,8,18,107,17,6,5,0,6,163,0,0,0,22,9,9,5,0,4,47,0,0,0,0,0,0,0,0,0,3,0,3,4,62,35,23,13,4,0,145
SED21401,0,0,0,19,5,10,7,0,0,43,0,0,3,16,5,8,3,3,6,44,0,8,5,32,29,81,260,327,221,956,0,3,6,9,5,0,8,0,0,47,0,22,23,93,53,31,20,9,5,238,0,0,9,17,25,37,56,16,3,156,3,42,124,431,150,164,169,81,10,1167,0,0,0,0,5,4,6,25,6,41,0,0,0,9,3,4,6,3,0,27,0,0,0,0,0,0,0,0,0,6,0,0,7,16,0,0,0,0,0,21,0,0,0,4,15,5,15,16,9,60,0,19,41,92,40,44,24,20,5,297,0,0,0,8,11,17,25,19,8,92,0,10,29,105,22,11,3,3,3,185,0,6,0,3,9,0,0,0,0,15,0,12,13,57,18,16,11,0,5,136,0,0,0,7,0,10,16,4,6,46,0,0,0,0,0,0,0,0,0,0,0,4,0,5,10,7,13,22,8,69
SED21503,0,4,5,16,13,14,5,0,0,68,5,4,6,42,24,12,7,3,9,109,0,3,0,37,34,90,210,138,79,587,0,0,4,5,5,4,0,0,0,15,0,5,7,27,14,4,0,0,0,58,0,4,0,28,28,27,22,17,3,137,0,15,42,158,40,38,54,10,0,358,0,0,0,4,3,4,20,21,10,60,0,0,5,23,0,11,8,0,0,47,0,0,0,0,0,6,0,0,0,9,0,0,7,45,4,3,0,0,0,56,0,0,4,3,0,8,13,5,6,38,5,19,44,108,64,44,17,7,4,313,0,0,0,29,47,88,102,40,13,330,0,6,20,80,9,6,0,0,0,128,0,0,0,4,5,0,0,0,0,11,0,11,16,91,30,29,29,7,0,209,0,0,0,15,9,3,19,0,0,58,0,0,0,0,3,5,0,0,0,10,0,0,0,4,14,13,22,27,5,87
SED21608,0,0,0,4,0,0,0,0,0,5,0,0,5,14,11,10,14,9,10,67,0,0,0,9,10,18,37,15,9,94,0,5,0,4,0,3,0,0,0,10,0,0,0,5,0,0,0,0,0,15,0,0,0,3,3,3,0,0,0,8,0,0,4,17,9,6,4,4,0,45,0,0,0,0,5,17,35,9,0,78,0,0,0,6,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,6,0,0,16,34,0,0,0,0,0,53,0,0,0,0,11,20,50,47,11,146,0,18,26,97,78,75,46,14,4,352,0,0,0,0,4,4,0,3,0,10,0,8,9,31,7,0,0,0,0,54,0,0,0,4,5,0,0,0,0,7,4,12,16,51,16,0,0,0,0,103,0,0,0,8,0,3,4,0,0,22,0,0,0,0,0,0,0,0,0,3,0,3,0,21,18,35,43,26,4,148
SED21706,0,3,0,5,5,0,0,0,0,21,0,0,9,36,10,16,5,7,8,82,0,0,0,29,12,32,41,52,40,208,0,5,11,18,8,3,10,0,0,53,0,3,26,80,41,15,3,0,0,180,0,5,0,10,5,5,8,4,0,31,0,24,84,298,118,103,95,41,11,764,0,0,0,0,0,0,3,3,5,21,0,0,8,19,5,11,9,0,0,59,0,0,10,5,5,3,0,0,0,28,4,0,19,26,0,3,0,0,0,51,0,3,4,9,11,0,15,9,9,63,4,25,32,116,97,70,48,21,5,423,0,0,0,0,0,5,4,0,0,11,0,0,33,55,10,5,5,0,0,102,0,0,0,0,7,5,0,0,0,15,0,9,15,94,21,11,13,0,0,163,0,0,3,12,11,13,24,13,8,84,0,0,0,0,0,0,0,0,0,6,0,6,3,25,21,28,10,18,5,110
SED21805,0,0,4,3,6,4,0,0,0,19,0,0,3,59,15,34,14,16,3,149,0,4,5,19,16,36,48,36,16,184,0,0,0,5,0,0,0,0,0,10,0,0,0,7,4,4,0,0,0,20,0,0,0,15,13,8,7,4,0,51,0,3,7,34,16,17,16,7,0,98,0,0,0,0,3,3,21,6,5,39,0,0,8,38,9,27,31,14,3,124,0,0,0,6,0,0,0,0,0,15,0,0,0,18,0,4,0,0,0,18,0,0,0,13,6,16,41,26,32,134,5,50,83,291,176,136,69,25,0,831,0,0,0,3,3,7,3,4,0,22,0,0,3,17,3,7,0,0,0,29,0,0,0,3,8,0,4,0,0,9,7,24,33,101,54,34,22,4,0,281,0,0,3,11,21,18,28,9,0,88,0,0,3,9,8,9,0,0,0,26,0,3,6,53,43,57,55,29,13,263
SED21906,0,0,0,0,0,0,5,5,0,14,0,0,11,217,19,25,9,5,0,288,0,5,4,84,18,22,31,23,22,204,9,24,7,45,21,9,5,0,0,114,0,0,6,37,5,4,3,0,0,56,0,0,0,3,6,9,7,0,0,25,0,6,23,96,30,22,15,7,3,207,0,0,0,0,6,0,5,0,0,14,0,0,3,29,0,4,0,3,0,49,0,0,0,0,0,0,0,0,0,3,0,0,71,103,3,0,0,0,0,174,0,4,0,23,4,4,12,11,4,52,6,10,36,243,96,79,46,12,0,532,0,0,0,0,0,3,0,0,0,13,0,0,7,40,0,4,0,0,0,57,0,0,0,4,4,3,0,0,0,7,0,8,11,97,15,8,10,3,0,151,0,6,0,28,4,29,127,60,73,325,0,0,0,0,0,0,0,0,0,0,0,0,5,44,20,19,25,9,0,128
SED22005,0,0,6,19,4,6,3,0,0,40,0,12,0,38,11,7,13,7,4,95,0,5,6,40,17,28,103,164,95,450,0,17,17,24,14,3,8,0,0,79,0,20,18,171,29,22,8,4,0,271,0,0,3,17,16,19,20,14,0,94,4,26,124,484,63,57,43,15,3,817,0,0,0,3,0,3,13,24,9,41,0,0,10,57,22,37,37,39,9,212,0,4,19,141,47,17,11,7,3,244,0,0,89,127,6,0,0,0,0,235,0,0,0,6,4,5,6,14,3,48,4,25,57,158,61,58,23,7,0,398,0,0,0,0,5,0,6,0,5,24,4,11,36,128,13,6,14,0,0,213,0,0,0,0,3,0,0,0,0,3,9,24,45,213,91,54,58,7,9,492,0,0,4,21,18,19,30,11,3,107,0,0,0,0,3,5,5,0,0,18,0,0,0,17,17,17,15,10,10,84
SED22105,0,12,10,30,13,15,5,3,5,86,0,22,6,25,7,13,9,10,6,109,0,5,0,17,5,36,44,48,18,185,0,0,5,12,6,0,0,0,0,26,0,0,7,27,19,3,0,0,0,62,0,3,8,24,19,23,7,0,0,88,0,22,48,96,40,32,18,5,0,248,0,0,0,5,0,10,15,18,4,55,0,6,42,202,87,88,77,24,12,544,0,0,0,28,8,5,3,0,0,45,0,7,30,163,20,7,0,0,0,236,0,0,0,13,11,14,45,49,17,150,31,251,307,592,220,150,72,27,11,1648,0,0,4,29,16,19,12,0,0,84,8,122,159,321,65,44,8,4,0,730,0,0,0,5,4,0,0,0,0,7,5,91,235,587,301,118,32,10,0,1376,0,0,5,22,13,21,20,4,0,98,0,19,56,100,78,75,32,8,0,366,0,0,5,29,30,64,48,27,14,223
SED22201,0,0,0,0,3,3,0,0,0,9,0,0,0,17,15,4,24,13,4,79,0,0,4,14,9,18,45,23,21,141,0,3,3,0,7,0,0,0,0,17,0,4,15,30,12,3,0,5,0,62,0,0,0,3,3,3,4,4,4,27,11,62,24,67,36,23,20,6,6,261,0,0,0,0,4,0,4,10,3,24,0,0,0,16,7,4,5,0,0,29,0,38,138,371,97,30,18,3,0,702,0,0,3,24,3,0,0,0,0,34,0,0,0,8,8,16,58,59,22,165,3,20,22,104,73,72,38,14,3,345,0,0,0,3,0,3,4,0,0,8,0,0,5,19,4,0,4,0,0,38,0,0,0,0,8,7,5,0,0,16,0,3,13,53,19,11,11,5,0,107,0,0,0,11,3,9,9,7,0,38,0,0,0,0,0,0,0,0,0,0,0,5,7,16,18,41,48,34,14,170
SED22305,0,11,14,46,28,28,11,4,0,136,0,4,0,11,6,12,13,6,0,48,0,0,3,30,6,46,110,125,64,384,0,4,0,5,4,0,0,0,0,19,0,0,12,32,23,16,0,5,0,83,6,4,10,41,38,50,47,31,6,222,4,36,55,210,40,39,30,9,3,434,0,0,0,0,0,6,17,11,6,37,0,0,12,67,26,61,74,41,20,304,0,0,7,56,21,15,4,0,0,105,0,0,14,42,5,0,0,0,0,60,0,0,6,0,3,8,27,39,20,110,7,70,87,193,66,67,34,9,4,536,0,0,8,130,106,101,69,41,9,458,34,203,183,607,93,44,19,0,0,1180,0,0,6,4,0,0,0,0,0,11,3,39,57,209,79,65,19,5,0,483,0,0,3,32,25,42,59,21,16,204,0,5,9,26,16,29,15,3,0,109,0,0,0,4,9,23,21,27,9,99
