SED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED22704,44,35,105,107,174,384,848,949,521,3185,10,5,25,25,29,37,37,33,28,222,310,245,616,630,774,962,864,700,369,5469,1593,3257,7028,7076,8877,10558,9813,5338,1941,55479
SED22802,16,22,68,105,125,158,350,486,264,1593,0,20,52,68,55,36,37,43,22,327,104,95,259,241,256,236,225,241,96,1757,1404,3657,8136,8062,8048,7381,5906,3340,955,46886
SED22901,12,10,40,64,107,184,377,492,314,1599,6,5,23,52,42,88,87,62,58,421,86,101,259,252,222,209,276,303,273,1989,1284,3416,7385,8570,7624,7460,6718,3601,1601,47660
SED23007,25,35,169,239,363,630,1012,1102,507,4096,7,31,164,208,265,420,395,297,191,1963,199,411,1376,859,618,517,517,429,336,5255,1498,5951,18980,13841,10011,8140,5945,3311,1453,69150
SED23101,7,12,32,45,97,196,419,762,463,2032,7,9,53,62,76,100,136,141,95,678,58,125,238,239,228,182,284,350,347,2054,1204,3821,6604,8148,8341,7024,6433,4983,2256,48818
SED23205,25,37,87,122,147,244,382,522,341,1910,4,17,29,28,21,35,34,38,23,229,227,234,653,572,573,513,436,473,393,4079,1433,3511,8635,8421,8318,7624,6345,3921,1776,49984
SED23308,30,36,82,91,142,240,483,702,436,2244,8,14,37,36,42,46,55,43,35,307,133,259,528,446,387,421,419,394,279,3262,1320,4600,10648,8712,8321,8117,6742,3832,1688,53967
SED23402,34,23,100,114,140,209,425,528,267,1842,8,8,48,58,34,48,45,44,22,308,232,238,549,550,493,406,367,350,213,3397,1988,5154,12181,12133,10890,9066,6637,3696,1302,63043
SED23502,35,34,102,106,147,328,684,895,410,2749,5,15,10,18,10,26,26,35,12,158,242,218,490,549,631,830,917,704,358,4940,1426,2520,6055,6173,7332,9973,10840,5877,1822,52017
SED23602,34,15,62,95,139,295,630,759,447,2482,3,7,9,18,30,44,30,39,18,193,193,182,498,574,542,656,716,527,271,4155,1313,2549,6034,6532,7666,9164,8946,4532,1570,48309
SED23702,28,34,103,117,178,277,564,617,314,2224,6,11,24,25,30,32,37,40,32,232,192,168,368,457,430,420,437,376,202,3055,1985,4244,9193,8997,9460,9471,7529,4037,1298,56210
SED23806,6,3,20,23,26,36,130,229,208,683,0,10,23,16,32,26,29,38,47,211,114,163,432,309,260,233,263,238,182,2190,1394,5230,10753,8485,8343,7139,5832,3549,1543,52255
SED23901,7,15,49,57,84,170,378,687,609,2059,5,12,48,56,51,89,91,88,95,542,108,161,398,375,307,309,329,236,138,2362,1231,4017,9409,9751,8901,8048,6309,3829,2017,53508
SED24006,11,11,14,30,63,96,219,432,330,1199,0,15,32,32,53,74,71,81,73,432,92,114,232,198,283,253,230,248,206,1853,1495,4502,6740,7262,9394,8516,6193,3883,2020,49996
SED24105,34,36,177,393,546,838,827,818,408,4080,18,83,239,351,455,713,494,290,162,2807,129,204,531,458,320,343,342,311,164,2802,1742,5301,11177,10912,9676,8434,6795,3846,1479,59366
SED24207,32,46,245,448,577,819,1378,881,249,4663,14,36,223,292,439,527,468,253,102,2351,331,449,1262,1013,695,517,437,285,121,5115,2360,6483,16146,17465,12903,9165,6819,2805,735,74879
SED24308,54,57,189,251,308,459,966,1009,598,3877,8,21,111,158,172,136,127,145,83,955,246,290,747,622,589,476,487,470,285,4221,1751,4463,10772,8906,8942,8199,6921,3883,1635,55483
SED24408,34,37,104,111,153,293,583,911,692,2921,5,6,34,30,51,43,30,31,9,245,215,188,390,366,461,590,699,630,417,3955,1292,2690,6255,5957,7036,8779,7863,4706,2073,46649
SED24504,13,14,31,44,91,165,403,502,263,1535,3,8,7,16,20,14,25,20,13,124,205,154,334,406,534,566,568,424,235,3421,1364,2547,5495,8151,9965,9498,8235,3986,1195,50434
SED24606,7,6,19,20,26,31,160,363,230,865,0,7,24,16,21,33,26,72,48,247,88,148,400,300,267,237,294,293,236,2264,1153,4377,9168,7567,8094,6892,5983,4046,1887,49164
SED24703,7,39,145,116,127,171,216,234,181,1239,5,74,285,121,104,117,87,73,48,912,397,1604,3418,1550,843,651,471,273,138,9339,4339,22412,42978,18324,9646,7566,5362,2484,885,113999
SED24808,50,81,262,303,336,463,887,734,294,3409,3,26,135,176,181,153,123,98,27,917,372,389,1063,937,705,543,530,380,118,5040,2378,5732,15299,14953,11180,9012,7658,3323,1014,70546
SED24904,53,56,202,221,275,512,891,989,623,3816,5,42,145,127,114,135,90,98,58,825,314,293,821,751,723,800,787,592,373,5462,1637,3581,8870,7879,8202,8898,7399,4113,1827,52396
SED25003,17,20,97,151,205,441,897,751,349,2931,3,18,71,81,96,130,194,178,105,887,163,182,459,436,322,325,347,403,401,3046,1713,4762,10448,10445,9584,8679,5561,2565,1129,54882
SED25102,17,11,63,61,77,112,229,317,147,1040,4,6,20,24,36,18,17,28,17,170,101,83,255,241,271,267,257,228,178,1882,1307,3102,6231,7852,8644,7939,6255,2826,900,45044
SED25205,18,11,28,40,73,156,305,543,390,1562,4,7,27,30,38,44,53,57,50,314,94,76,288,306,302,272,290,305,243,2160,1299,3284,7112,9557,10142,8174,5932,3654,1737,50890
SED25302,20,5,27,37,63,90,239,513,352,1354,0,3,13,20,24,15,20,26,20,135,132,76,172,256,347,286,430,506,455,2670,1445,2842,4232,7154,9684,8318,8450,6136,2502,50779
SED25402,57,36,150,149,211,409,741,864,520,3136,5,13,38,47,49,40,54,50,38,326,261,323,677,650,611,683,689,571,447,4911,1740,3830,8697,7958,8221,9343,7983,4303,1691,53773
SED25501,10,13,42,53,102,144,345,545,392,1647,3,12,53,50,60,96,114,82,96,563,119,205,401,346,296,281,204,268,252,2366,1437,4590,7772,9056,8777,7595,5773,4448,2231,51679
SED25605,11,23,77,129,217,365,793,1024,551,3175,10,15,120,134,142,219,253,256,156,1294,126,192,479,354,324,326,374,507,474,3161,1206,3933,8759,8535,7978,6987,6705,4897,2244,51241
SED25704,42,33,123,132,183,397,789,1026,641,3369,4,18,35,48,53,52,49,38,24,323,240,232,498,535,607,707,792,676,500,4787,1429,3212,6893,6754,7832,9311,8423,5191,2206,51250
SED25802,49,30,125,146,194,349,726,960,556,3147,6,14,43,23,45,47,36,39,24,274,253,212,596,598,638,717,701,577,271,4571,1784,3911,9381,8705,9443,10375,9479,5249,1789,60119
SED25905,25,29,149,202,232,403,617,604,346,2614,12,47,182,218,252,215,189,157,83,1347,206,269,611,474,417,397,318,272,198,3174,1644,4760,9705,8896,8719,8873,5902,2840,1273,52607
SED26005,36,40,258,383,362,427,552,450,158,2675,13,63,313,466,461,339,197,95,45,1996,234,296,608,576,488,381,285,170,56,3098,2399,6378,11277,13051,12444,9078,5093,2207,596,62521
SED26102,32,20,67,61,124,162,535,808,505,2313,3,8,15,24,18,58,47,55,40,264,200,210,420,510,661,737,905,813,484,4958,1228,2549,5485,6419,8411,10135,11544,7272,2712,55759
SED26207,6,4,38,58,82,217,865,1539,834,3640,3,6,23,27,47,63,156,279,175,773,81,104,300,266,302,257,316,408,268,2307,1177,3366,7027,8213,8604,7304,6304,4843,2133,48965
SED26303,7,7,27,39,72,173,568,1042,612,2541,4,14,21,40,38,76,154,281,208,839,75,148,488,415,309,278,239,246,205,2397,970,3658,13289,11395,9843,7060,4551,2855,1438,55064
SED26406,7,9,36,47,74,178,511,983,629,2463,0,20,71,44,36,69,134,214,98,692,110,447,848,412,293,226,273,224,222,3068,1818,7593,14743,10515,8720,7030,5052,3467,1820,60760
SED26504,25,20,68,99,142,266,640,907,555,2734,4,3,23,23,25,34,33,52,25,223,196,193,408,424,472,551,706,652,367,3976,1306,2507,5918,6385,7544,8547,8403,5161,1978,47731
SED26603,12,20,61,119,173,351,795,1298,1065,3898,3,22,60,58,94,156,212,303,192,1107,145,285,846,568,466,365,371,383,441,3873,1360,5276,15229,13219,9911,7576,4964,3612,2580,63725
SED26708,19,23,98,105,133,270,565,809,518,2542,0,7,41,32,40,43,37,27,12,243,220,166,466,498,563,635,716,511,317,4096,1456,2864,6937,7364,8386,9558,8567,4522,1704,51358
SED26806,4,7,32,40,57,87,153,317,211,907,0,6,38,35,35,40,35,84,63,337,140,353,1413,831,574,489,435,435,390,5047,871,5702,23013,12711,7897,6482,5203,3320,1452,66648
SED26903,16,26,88,133,193,396,909,1451,898,4108,3,22,66,62,101,173,237,351,223,1245,118,227,758,556,446,403,401,381,387,3684,1085,4323,13470,11316,8978,6977,5014,3597,2098,56857
SED27003,0,8,78,84,156,230,338,472,291,1668,3,9,44,68,96,146,133,149,140,783,108,319,1169,706,518,461,357,250,105,3994,825,5331,23488,13086,8511,6924,4943,2529,1005,66639
SED27101,7,42,126,143,124,198,318,482,361,1794,0,14,110,87,89,155,115,63,44,681,78,113,332,360,274,241,216,261,146,2014,1145,3735,9562,10493,8844,6998,5488,3560,1494,51316
SED27208,42,46,117,138,216,410,845,1046,567,3428,0,13,29,21,55,52,47,26,15,263,239,206,522,569,731,840,907,786,395,5200,1478,2996,7080,7035,8732,10168,9881,5428,2029,54842
SED27305,5,3,33,39,81,188,352,432,178,1314,3,5,24,26,43,69,84,79,41,364,77,101,192,204,154,195,205,171,74,1367,1359,3858,6190,7089,8365,8170,5006,2726,786,43549
SED27406,14,3,19,24,47,72,197,328,278,979,0,3,8,12,23,13,42,47,30,175,82,67,239,283,289,231,296,312,271,2074,1255,3205,6261,8090,10039,8557,6913,4192,1938,50450
SED27504,38,43,223,287,291,448,845,967,534,3672,8,26,119,169,197,149,109,111,53,936,316,315,797,707,698,765,738,700,450,5500,1804,4126,9531,8756,9137,9364,8044,4799,1925,57494
SED27608,27,15,60,62,83,145,305,512,441,1645,3,15,31,32,30,35,26,16,20,206,195,331,543,440,389,333,449,412,351,3440,2229,6452,13143,13214,11108,9364,8321,4700,2053,70575
SED27708,39,24,88,118,142,265,665,845,522,2708,0,5,40,42,24,37,31,16,10,200,245,195,465,512,516,530,634,534,341,3963,1592,3124,7406,7558,8531,9271,8441,4343,1819,52088
SED27807,21,45,211,400,595,875,1516,1468,644,5766,8,34,268,290,409,561,549,425,282,2826,290,444,1212,917,702,645,622,537,392,5756,1608,5403,13119,10032,8744,8591,7340,4135,1793,60767
SED27907,26,8,93,91,143,239,665,685,338,2289,4,9,21,29,43,65,103,136,45,472,149,177,493,409,373,341,334,306,130,2703,1506,3823,9907,9123,8587,8003,6477,3370,1114,51909
SED28007,14,24,96,145,233,562,1042,805,293,3210,0,11,56,85,131,252,222,195,96,1052,180,186,477,486,394,339,278,188,66,2601,2242,5562,10623,11673,11930,9376,5615,2449,806,60268
SED28107,39,66,232,308,336,509,616,484,165,2752,4,51,193,207,230,269,195,108,43,1293,441,671,1955,1607,712,498,381,194,68,6522,2702,8825,25631,26972,12751,9261,5691,2177,521,94520
SED28203,18,28,142,316,428,718,1835,1919,792,6201,3,37,123,180,226,367,496,558,314,2307,199,301,836,677,510,402,419,335,140,3817,1605,5173,13758,13541,8861,7316,6584,4257,1573,62661
SED28301,9,5,23,28,68,164,431,620,428,1778,3,4,31,40,47,79,92,131,95,516,78,96,178,218,276,237,278,295,196,1851,1374,3844,5715,8022,9166,8471,6488,4330,1769,49174
SED28408,46,51,95,100,149,234,503,608,462,2251,0,17,32,24,39,19,35,18,8,191,163,217,453,378,397,405,420,403,310,3149,1508,3884,8375,7525,7703,7576,6767,3994,1815,49151
SED28507,48,75,246,249,295,416,670,665,325,2990,15,45,196,274,310,224,141,111,67,1383,283,377,1056,902,569,449,425,359,250,4666,2044,5741,15922,15123,10066,8407,5955,2891,1115,67262
SED28607,11,10,50,70,109,241,595,970,611,2665,0,16,26,58,63,108,188,280,201,930,130,147,566,466,411,303,310,280,235,2854,1218,3501,10700,12526,11006,8291,5372,3245,1658,57518
SED28704,22,28,98,150,161,284,583,566,254,2142,8,11,55,60,63,52,84,63,22,415,236,204,603,575,460,384,339,234,98,3127,2412,5798,14742,16889,13245,9775,6869,2991,834,73557
SED28803,61,128,502,817,840,905,1126,725,206,5315,16,76,276,395,464,680,481,339,127,2862,391,418,1237,1106,703,535,373,198,113,5069,3279,8949,22972,22209,14705,11551,6505,2487,674,93333
SED29494,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
