SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED24105,291,310,604,110,174,285,5,0,5,0,0,0,59,50,105,12473,8610,21086,865,1310,2174,201,5,201,44,0,47,68,10,81,108,66,177,101,155,251,14318,10700,25016,96,153,249,0,0,0,10,19,27,93,53,149,8,18,28,5,6,12,210,253,461,0,0,0,0,0,0,8,5,15,11,28,42,7,12,15,26,46,66,160,88,251,401,388,785,73,97,171,5,7,11,3,0,6,83,113,191,2853,3349,6200,1140,1755,2899,82,64,145,18880,16361,35242
SED24207,394,426,812,70,132,197,4,0,3,5,7,12,72,53,124,15634,9996,25627,842,1265,2110,280,0,283,40,3,43,50,9,56,160,81,237,106,130,235,17648,12105,29752,71,152,224,0,0,0,15,33,46,158,133,289,14,51,68,9,11,14,263,382,647,0,0,0,0,0,0,16,12,26,15,29,41,3,0,3,29,37,69,178,103,280,477,520,996,90,166,261,5,5,13,6,0,6,99,176,276,3929,4800,8726,1796,2866,4666,132,92,225,24084,20560,44643
SED24308,158,113,270,94,195,289,10,0,13,0,0,0,55,44,100,10891,8337,19229,746,784,1533,176,8,182,64,6,75,127,35,152,74,49,121,188,224,416,12585,9790,22374,11,32,41,0,0,0,8,10,16,50,31,75,3,5,9,14,0,14,79,83,157,0,0,0,0,0,0,5,3,10,14,18,35,3,12,16,28,32,63,119,63,183,222,181,400,16,24,41,8,6,12,0,0,0,24,32,51,1893,2682,4572,1211,2085,3291,124,79,201,16056,14844,30895
SED24408,0,0,0,30,14,42,6,0,3,0,0,0,16,15,31,9013,7599,16610,532,539,1073,195,3,198,57,19,82,158,37,192,164,54,221,882,766,1645,11047,9053,20096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,5,5,7,4,3,9,0,0,0,12,6,18,122,44,165,131,49,187,0,0,0,0,3,3,15,6,19,15,9,25,1922,2004,3924,871,1659,2528,134,121,256,14119,12891,27007
SED24504,143,100,247,13,10,16,3,0,8,6,4,9,7,6,15,9059,6990,16055,524,545,1066,280,3,279,21,0,26,48,16,58,68,52,116,370,371,745,10532,8106,18640,6,4,5,0,0,0,7,9,17,50,18,71,15,9,13,8,0,12,89,38,128,0,0,0,0,0,0,0,6,12,0,5,3,0,0,0,4,4,13,67,26,97,166,70,237,16,19,35,0,0,0,4,6,5,24,21,41,3928,4648,8578,1467,2389,3860,98,99,200,16225,15332,31554
SED24606,609,485,1097,34,57,92,0,0,0,170,260,430,26,38,64,6142,4691,10834,204,423,629,32,3,32,56,11,68,222,73,291,73,45,124,334,491,824,7911,6577,14491,44,47,91,0,0,0,77,116,190,31,20,53,7,10,21,22,11,36,175,203,383,0,0,0,5,6,6,3,0,3,5,3,6,0,3,3,12,13,23,51,60,118,238,283,518,49,57,104,0,6,5,5,0,9,54,66,119,6692,7043,13727,1298,2193,3492,65,52,112,16258,16206,32462
SED24703,1396,1588,2991,286,337,621,10,0,10,2841,3455,6297,112,146,262,6230,3906,10137,296,571,865,39,0,44,379,86,466,1259,706,1965,194,155,351,4336,4402,8737,17379,15349,32730,293,290,580,0,0,0,394,470,872,55,34,86,27,49,71,81,61,146,848,900,1750,0,0,0,72,77,146,12,0,14,4,8,12,13,21,30,102,108,204,342,306,646,1290,1313,2605,270,311,586,9,8,22,38,30,67,318,349,671,14321,13813,28128,3658,5483,9139,153,127,278,37121,36433,73549
SED24808,371,314,689,36,84,121,3,3,4,0,4,3,36,30,66,15309,9960,25270,929,957,1892,371,9,381,68,6,69,36,7,45,121,69,190,151,205,356,17434,11663,29097,50,71,120,0,0,0,14,24,42,84,74,155,12,26,38,12,11,21,171,200,371,0,0,0,0,0,0,9,0,12,13,21,30,5,4,6,27,28,51,165,90,256,359,318,681,71,84,152,3,3,4,0,3,3,71,86,165,2636,4130,6769,1796,2882,4679,122,85,213,22424,19175,41595
SED24904,5,3,6,155,57,209,3,0,3,0,0,0,20,22,46,10619,8834,19454,1011,1180,2193,189,4,194,73,17,90,69,50,114,110,49,161,634,560,1191,12898,10773,23667,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,5,4,4,0,4,0,0,0,6,6,7,4,8,15,3,0,3,14,16,30,123,55,177,132,76,213,0,4,3,0,5,6,10,3,12,10,8,16,1232,1589,2822,827,1478,2304,183,144,327,15285,14061,29343
SED25003,353,295,648,107,145,245,6,0,3,3,10,16,29,27,62,12125,8374,20496,590,718,1302,217,0,220,44,4,51,31,11,38,106,52,160,60,96,157,13680,9727,23410,88,92,180,0,0,0,14,22,31,68,68,134,6,15,20,9,7,15,187,205,387,0,0,0,3,6,7,4,10,15,15,19,34,3,4,5,25,42,66,109,54,160,317,301,614,47,63,112,3,10,12,5,0,10,51,74,128,2949,3872,6821,1410,2483,3894,82,68,148,18492,16531,35022
SED25102,154,108,263,53,36,92,8,4,12,0,0,0,5,7,9,9055,6833,15891,462,430,892,230,4,237,66,3,71,42,8,48,59,41,104,206,191,406,10349,7670,18020,47,24,74,0,0,0,8,3,10,53,28,76,8,9,16,10,4,11,120,63,188,0,0,0,0,0,0,6,3,10,3,7,15,0,0,0,9,11,20,74,32,105,206,108,317,18,10,28,0,5,5,8,0,7,25,19,42,3665,4421,8085,1504,2607,4113,55,44,97,15801,14868,30670
SED25205,322,243,568,50,73,123,7,4,8,7,0,3,33,22,54,8924,7116,16037,382,508,889,126,0,125,68,7,79,134,41,182,59,39,103,189,277,470,10300,8329,18636,60,63,125,0,0,0,12,19,31,42,28,73,5,19,27,20,3,24,140,139,281,0,0,0,0,0,0,5,4,3,3,3,11,0,6,6,9,11,17,71,49,115,216,204,419,31,45,72,0,0,0,8,0,8,37,45,81,5062,6007,11070,1452,2733,4187,65,43,106,17132,17363,34496
SED25302,52,16,69,47,57,101,5,5,7,0,0,0,6,0,9,8660,6825,15486,452,520,974,151,3,153,33,0,38,72,17,92,63,38,99,202,223,423,9741,7713,17457,3,9,15,0,0,0,0,0,0,37,17,57,3,3,6,0,0,0,49,28,75,0,0,0,0,0,0,4,10,9,3,16,21,0,3,5,9,25,33,69,30,100,131,83,214,6,3,6,3,0,3,6,0,6,15,3,17,3741,4499,8235,1437,2615,4050,61,61,118,15118,14969,30087
SED25402,21,9,34,55,84,143,3,0,3,5,0,4,7,14,20,10565,8902,19460,699,712,1409,163,6,161,52,7,56,64,8,69,55,41,91,241,230,468,11916,10013,21933,8,8,12,0,0,0,0,0,0,8,0,11,10,0,14,5,3,11,34,14,52,0,0,0,0,0,0,9,3,14,0,16,16,0,4,4,11,24,32,93,43,138,137,84,218,5,10,10,3,6,9,3,0,3,12,14,20,1206,2082,3288,1290,2161,3453,92,92,190,14660,14436,29100
SED25501,484,378,864,110,167,277,6,0,6,4,10,14,24,16,45,7484,5643,13127,374,640,1008,64,3,61,35,0,40,79,18,98,92,49,140,207,229,441,8954,7168,16118,68,69,137,0,0,0,22,44,62,71,47,124,17,15,26,7,5,14,180,180,363,0,0,0,3,7,5,5,3,9,11,24,39,7,4,8,28,40,69,73,70,141,283,288,574,52,62,117,5,11,16,6,3,5,61,73,133,5562,4951,10512,1149,1871,3024,67,44,115,16080,14396,30470
SED25605,265,231,492,108,167,269,0,0,0,0,0,3,32,39,70,9261,6252,15513,447,754,1202,131,0,130,45,0,51,55,10,62,100,45,144,102,121,225,10551,7617,18171,69,111,174,0,0,0,3,16,20,105,52,151,8,23,31,7,9,13,188,199,391,0,0,0,0,0,0,13,9,19,10,25,45,5,7,11,29,44,76,83,54,138,301,298,600,58,70,131,0,8,11,4,0,3,62,77,138,3406,3530,6932,1012,1629,2637,81,65,143,15415,13221,28634
SED25704,4,4,6,21,19,34,0,0,7,0,0,0,17,14,29,10409,8768,19179,676,727,1405,214,13,223,129,31,159,179,66,243,110,41,152,687,673,1367,12445,10360,22800,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,8,6,4,0,0,0,5,0,4,8,6,16,115,57,170,124,67,191,0,0,0,0,0,3,11,0,11,13,0,14,1431,1700,3132,919,1769,2691,150,133,276,15090,14025,29106
