SED_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SED21106,4,49,0,54,1914,64,2030,5,34,4,33,1533,54,1626,330,60,3,384,2570,177,3134,1843,49,14,1903,1538,198,3644,2227,43,26,2297,2065,222,4584,505,144,7,660,3228,136,4022,64,485,0,546,2293,118,2956,16,159,0,172,1453,99,1728,0,6,0,6,619,73,698,4979,1020,59,6062,17215,1142,24418,0,58,0,60,1742,64,1860,11,74,0,83,1425,60,1565,542,139,6,680,2710,189,3584,2385,121,74,2579,1513,211,4297,2482,97,43,2619,2499,200,5318,273,408,17,695,3536,142,4377,37,857,6,897,2291,139,3326,10,202,0,214,1791,158,2161,0,6,0,6,1063,163,1237,5730,1961,140,7828,18557,1330,27719,7,107,0,110,3652,129,3891,8,102,4,120,2957,110,3186,867,192,10,1070,5284,366,6717,4219,169,85,4484,3056,409,7941,4708,138,68,4920,4560,424,9907,771,553,24,1352,6763,281,8397,97,1342,4,1444,4580,258,6281,23,358,0,384,3242,260,3892,0,6,0,6
SED21203,3,66,5,71,2096,215,2393,44,59,0,102,2587,316,3009,969,110,10,1092,4699,739,6528,2039,39,21,2092,2523,608,5227,1065,49,4,1129,2729,365,4220,274,131,3,410,3214,302,3922,42,143,3,195,2001,159,2347,4,37,0,41,1358,119,1521,3,3,0,8,539,55,598,4444,641,46,5132,21745,2880,29759,7,146,0,153,1893,193,2240,165,156,5,324,2038,219,2579,1975,165,36,2171,3050,529,5748,2444,102,41,2585,1865,428,4873,996,203,32,1235,2722,312,4273,146,418,13,580,2990,253,3821,23,296,4,322,2225,177,2732,12,48,0,62,1741,152,1951,0,4,0,6,817,86,912,5761,1543,134,7438,19343,2349,29126,11,211,0,226,3988,409,4628,206,213,5,423,4624,533,5586,2944,272,43,3259,7747,1266,12275,4482,138,65,4677,4388,1032,10099,2063,258,38,2359,5451,681,8487,421,547,20,985,6200,559,7743,73,439,8,518,4226,336,5074,14,85,6,100,3099,268,3476,3,7,0,6
SED21303,5,40,0,47,1194,38,1281,0,36,0,35,2692,99,2827,509,118,8,635,8279,437,9349,2207,79,41,2332,3733,261,6332,1651,53,17,1720,2442,150,4315,312,101,4,412,2571,113,3097,38,207,0,245,1692,95,2029,0,60,0,70,1090,70,1232,0,0,0,7,512,45,558,4725,697,74,5502,24203,1306,31009,0,65,0,63,1196,48,1307,13,73,0,87,3149,127,3367,802,287,19,1099,8766,397,10264,2634,205,99,2940,3352,210,6503,1668,131,39,1838,2534,144,4508,173,294,5,471,2837,113,3430,20,394,4,418,1912,100,2430,5,98,0,112,1419,89,1621,5,7,0,13,848,53,918,5322,1549,164,7037,26012,1286,34337,5,102,0,110,2393,83,2589,9,109,0,118,5839,231,6191,1308,403,28,1734,17043,830,19609,4846,285,138,5271,7083,476,12828,3322,182,53,3559,4971,289,8825,484,394,9,887,5411,232,6521,55,601,3,661,3601,197,4457,14,166,0,179,2510,163,2848,7,12,0,14
SED21401,0,38,0,40,1820,64,1922,6,43,0,51,1957,60,2070,630,44,8,683,3141,179,4004,2217,49,19,2283,1677,167,4129,1629,43,16,1690,2251,136,4077,319,207,5,534,3303,112,3950,67,519,0,591,2451,90,3129,13,206,0,222,2391,128,2737,6,6,0,9,1093,91,1195,4895,1160,49,6100,20087,1023,27213,0,68,0,69,1636,40,1751,12,79,0,91,1655,64,1821,1013,78,21,1110,2759,165,4034,2866,69,48,2985,1338,157,4483,1720,120,21,1862,2523,144,4532,223,621,11,858,3428,116,4402,78,934,3,1021,2778,127,3923,20,216,5,235,2869,168,3275,4,4,0,11,1454,148,1614,5943,2186,109,8240,20449,1133,29826,7,109,0,110,3455,102,3675,20,121,0,141,3621,131,3888,1643,119,24,1793,5902,348,8038,5084,113,68,5268,3017,326,8607,3354,157,43,3556,4776,277,8605,543,825,17,1391,6729,230,8350,145,1459,3,1606,5231,212,7052,37,419,5,457,5267,289,6010,4,17,0,18
SED21503,4,45,0,50,1669,89,1810,10,34,0,45,2248,196,2492,750,67,5,823,3660,301,4784,2129,40,32,2200,1738,177,4112,1469,48,8,1526,2318,119,3963,225,183,4,414,2733,116,3265,37,369,0,404,2120,101,2628,8,106,0,116,1451,88,1650,0,3,0,3,529,42,576,4627,901,53,5581,18475,1227,25281,5,66,0,67,1506,77,1663,36,80,4,122,1913,120,2156,1129,129,19,1277,2878,196,4361,2556,70,65,2693,1301,146,4136,1441,119,22,1590,2422,130,4134,129,553,6,695,2753,110,3555,29,637,4,672,2245,113,3025,6,101,0,105,1784,82,1973,3,9,0,9,824,66,903,5342,1774,121,7234,17628,1041,25905,12,113,0,123,3180,170,3468,41,120,3,165,4164,316,4644,1875,199,26,2106,6539,498,9138,4685,112,100,4895,3033,319,8248,2911,173,30,3113,4736,245,8100,357,737,12,1103,5489,226,6821,61,1013,7,1074,4365,214,5654,16,205,0,221,3237,160,3621,3,15,0,14
SED21608,3,86,0,90,1803,164,2056,75,55,6,129,1789,139,2064,1162,113,21,1298,2650,278,4228,2338,61,51,2454,1464,217,4138,1381,121,25,1526,2480,243,4253,228,324,3,549,3334,217,4104,41,388,0,427,2884,226,3543,3,62,4,74,1457,165,1693,0,4,0,4,404,80,491,5237,1209,109,6552,18281,1745,26580,11,146,0,157,1641,157,1958,138,117,13,265,1503,131,1896,1683,211,102,1989,2122,258,4370,2715,112,139,2967,1203,216,4377,1356,299,49,1701,2584,260,4544,117,821,9,948,3220,193,4357,28,647,3,681,2844,212,3736,10,79,0,87,1607,165,1858,0,4,0,4,651,123,777,6051,2434,308,8793,17370,1713,27879,13,230,0,250,3449,318,4019,214,172,15,399,3295,276,3969,2846,321,119,3286,4775,537,8598,5051,177,188,5422,2668,433,8516,2740,414,71,3226,5063,503,8797,339,1144,13,1492,6548,412,8458,68,1039,4,1107,5734,443,7281,16,144,3,158,3064,326,3554,0,6,0,6
SED21706,9,39,0,47,2112,58,2213,10,44,0,58,2752,183,2994,600,48,0,652,3899,347,4898,2407,45,20,2474,1636,194,4302,2079,36,23,2138,2142,130,4412,407,150,5,557,3089,110,3755,52,419,0,477,2149,109,2738,16,119,0,131,1315,78,1531,0,8,0,9,664,70,742,5574,906,54,6536,19761,1276,27583,5,66,0,73,2224,67,2359,18,85,0,106,2507,122,2736,919,100,21,1044,3162,257,4463,3008,69,71,3151,1276,161,4586,2279,85,38,2403,2524,142,5069,205,467,6,678,3327,137,4140,42,695,9,742,2277,116,3140,15,151,0,163,1789,112,2065,0,3,0,5,1204,144,1346,6496,1723,147,8366,20296,1249,29906,14,106,0,116,4336,121,4577,29,128,0,161,5260,309,5726,1518,152,23,1696,7067,599,9361,5415,111,95,5623,2910,350,8892,4361,120,60,4542,4662,272,9474,614,616,11,1238,6415,237,7897,94,1110,12,1219,4434,221,5877,26,266,0,296,3109,195,3599,4,7,0,10
SED21805,8,80,0,88,1779,103,1963,32,51,0,92,1663,87,1844,1140,82,20,1242,3124,234,4599,2783,79,55,2917,1906,258,5079,1601,106,29,1734,2942,237,4913,280,271,12,558,3526,171,4252,34,382,0,420,2502,141,3063,8,62,0,71,1398,132,1601,0,0,0,0,420,56,478,5879,1117,120,7118,19261,1416,27801,11,112,0,122,1554,84,1754,91,127,3,225,1518,85,1830,1772,195,64,2028,2669,242,4940,3289,151,144,3588,1545,238,5375,1542,265,53,1864,3055,199,5120,112,763,5,887,3473,180,4541,23,687,0,714,2717,147,3582,6,86,0,96,1637,165,1896,0,5,0,6,758,117,881,6851,2402,277,9530,18932,1457,29915,20,186,0,202,3333,184,3720,126,185,3,318,3182,173,3667,2906,279,82,3273,5793,473,9544,6074,229,200,6505,3448,501,10452,3142,369,80,3600,6002,436,10031,394,1033,19,1447,7001,349,8795,60,1071,0,1130,5222,285,6645,10,155,0,168,3038,296,3498,0,5,0,4
SED21906,3,66,0,72,1499,62,1633,20,38,0,59,2000,162,2221,625,85,8,720,4927,419,6068,2257,57,43,2358,2287,247,4892,1796,28,32,1848,1977,161,3988,401,157,6,565,2618,119,3303,49,518,7,577,2371,139,3082,11,112,0,122,1233,93,1448,0,11,0,11,557,46,613,5174,1070,95,6339,19457,1451,27248,0,138,4,146,1472,78,1697,42,88,4,136,2071,122,2331,973,184,29,1186,4718,350,6250,2699,106,90,2903,1899,232,5031,1827,98,42,1968,2196,142,4308,189,505,4,698,2720,127,3550,41,873,9,921,2332,156,3416,15,135,0,147,1504,114,1763,0,5,0,9,1007,120,1141,5793,2138,189,8122,19922,1440,29478,6,204,4,220,2962,139,3323,62,132,4,196,4070,284,4551,1603,264,44,1907,9645,765,12322,4962,166,134,5264,4184,479,9926,3618,126,80,3821,4171,306,8297,591,659,14,1264,5343,247,6851,95,1388,12,1496,4705,299,6493,25,251,0,275,2736,201,3213,3,18,0,21
SED22005,5,61,0,69,1686,75,1823,15,37,0,53,3081,233,3359,870,89,11,969,6178,604,7750,2515,47,12,2576,2573,265,5418,1509,35,15,1556,2639,184,4376,268,152,3,423,3160,152,3737,62,338,5,403,2421,168,2991,5,107,0,111,1694,155,1958,5,8,0,9,787,107,905,5266,862,47,6171,24225,1929,32321,7,60,0,69,1558,94,1726,60,62,7,128,2418,169,2709,1494,144,22,1663,4313,396,6368,3044,96,66,3199,1803,226,5224,1430,115,17,1569,2802,176,4545,157,513,12,685,3231,157,4070,63,593,8,667,2696,169,3529,20,100,3,123,2158,170,2450,3,8,0,16,1211,192,1419,6273,1697,138,8110,22186,1753,32045,15,123,0,139,3243,170,3549,74,93,11,183,5496,400,6074,2371,232,39,2636,10495,994,14124,5557,139,76,5776,4375,493,10642,2936,154,27,3123,5448,358,8922,428,666,18,1101,6385,316,7805,124,929,15,1066,5117,333,6521,26,209,3,239,3849,320,4410,9,17,0,26
SED22105,19,158,3,182,3416,214,3802,136,161,6,296,3583,263,4143,2857,230,54,3142,6183,674,10004,6548,135,106,6787,4116,595,11499,2394,144,42,2584,4401,326,7308,396,349,14,757,4016,234,5010,66,366,4,441,2477,153,3068,19,64,0,81,1309,93,1483,0,0,0,0,384,41,428,12437,1605,222,14272,29889,2588,46754,27,286,0,319,3257,193,3768,304,269,22,599,3218,208,4025,5068,381,169,5618,4906,671,11194,7240,225,179,7646,3078,503,11224,2004,459,70,2534,4345,324,7204,194,980,23,1197,3635,243,5070,72,660,14,745,2632,172,3555,9,84,0,92,1573,108,1774,0,9,0,9,659,85,748,14927,3348,482,18755,27309,2497,48561,48,448,4,500,6671,406,7571,444,423,29,897,6802,472,8169,7928,606,224,8761,11090,1347,21200,13786,358,287,14432,7193,1098,22726,4402,611,112,5115,8743,648,14512,593,1326,35,1950,7656,480,10081,138,1027,20,1186,5110,324,6619,31,145,0,173,2886,197,3257,0,9,0,7
SED22201,0,67,0,67,1581,50,1702,29,37,0,67,1628,66,1769,897,82,23,1007,2847,173,4023,2459,66,46,2569,1565,139,4272,1402,51,33,1479,2064,118,3656,200,262,0,470,2816,112,3405,35,459,0,495,2145,84,2727,5,107,0,115,1484,83,1681,0,5,0,4,506,64,578,5036,1137,106,6276,16640,901,23812,3,107,0,110,1413,50,1573,71,84,0,152,1492,61,1705,1425,190,59,1671,2551,173,4400,2867,112,123,3106,1271,136,4516,1421,147,38,1605,2382,121,4106,125,739,10,873,2864,127,3862,47,849,0,894,2400,106,3403,0,131,0,137,1962,139,2231,4,11,0,13,858,146,1018,5958,2370,224,8551,17195,1062,26807,4,177,0,181,2996,106,3277,96,124,0,222,3121,132,3473,2320,271,84,2675,5395,351,8420,5327,174,165,5670,2837,283,8789,2815,197,63,3079,4450,231,7762,333,999,10,1344,5679,245,7265,78,1314,0,1394,4546,189,6132,11,239,0,249,3449,223,3914,3,11,0,11
SED22305,11,63,0,77,1847,167,2088,47,66,4,116,2335,264,2716,1111,110,18,1236,5473,816,7528,2242,48,20,2304,3245,558,6110,1148,56,20,1220,2991,388,4599,280,150,0,429,3162,320,3916,59,223,0,280,2523,186,2997,9,89,0,100,1500,146,1742,0,0,0,4,519,60,577,4908,807,66,5779,23592,2912,32277,18,111,0,132,1699,175,1999,183,109,9,303,1969,179,2446,2066,176,37,2278,3452,527,6260,2759,113,44,2914,1940,408,5259,939,179,25,1142,2535,318,3996,150,507,21,685,3005,249,3938,32,437,6,476,2541,233,3248,10,77,0,81,1721,148,1953,0,9,0,12,837,84,930,6154,1713,146,8020,19698,2321,30033,32,174,6,208,3545,340,4094,226,179,9,417,4303,447,5158,3174,286,57,3519,8921,1343,13787,5000,157,65,5215,5186,971,11366,2086,229,45,2360,5525,711,8594,426,666,25,1112,6169,572,7847,93,658,8,762,5069,423,6252,19,166,0,186,3220,295,3696,3,6,0,11
SED22404,4,69,3,77,1622,189,1877,36,32,3,70,1296,137,1508,888,58,21,967,1871,227,3066,1813,62,60,1935,1108,270,3314,1318,104,31,1455,2450,364,4268,284,308,0,592,3915,369,4879,49,462,7,510,3444,325,4281,9,91,0,100,1848,205,2160,0,9,0,14,501,45,551,4396,1193,124,5707,18058,2131,25903,14,108,0,122,1393,180,1698,83,82,4,172,1052,116,1345,1213,117,86,1415,1483,222,3116,2175,98,123,2395,895,253,3540,1293,253,42,1584,2426,333,4349,120,863,9,988,3709,328,5022,29,745,5,781,3181,314,4279,5,96,0,101,1771,175,2047,0,3,0,3,681,77,761,4928,2361,271,7562,16602,1991,26158,12,180,4,196,3012,367,3577,125,116,9,246,2351,256,2853,2095,177,107,2383,3351,451,6184,3987,156,184,4330,2008,523,6857,2611,357,72,3041,4875,696,8612,405,1166,9,1583,7621,690,9900,74,1207,9,1294,6633,637,8564,10,184,0,203,3622,382,4203,3,11,0,16
SED22501,0,46,0,53,1861,49,1966,10,35,0,40,1515,35,1590,518,56,4,581,1973,63,2620,2492,38,30,2560,1123,97,3784,2041,53,36,2132,1983,117,4228,286,298,4,588,3181,94,3862,36,696,0,734,2460,103,3299,4,151,0,159,1357,82,1590,0,9,0,9,353,42,406,5383,1388,81,6859,15802,688,23346,3,83,0,86,1675,36,1797,14,65,0,81,1362,38,1480,818,99,32,951,1700,71,2726,3099,81,98,3277,813,101,4197,2066,136,50,2254,2220,98,4568,144,836,13,990,3267,97,4361,26,1117,5,1149,2389,116,3652,8,160,0,169,1493,88,1751,0,0,0,5,546,79,632,6171,2585,196,8956,15463,733,25149,3,133,0,135,3535,92,3765,18,102,0,122,2876,78,3073,1329,162,38,1532,3676,139,5349,5588,120,131,5839,1940,202,7976,4102,192,89,4382,4197,217,8792,428,1133,14,1580,6447,197,8222,65,1815,5,1882,4846,216,6946,14,316,0,324,2845,170,3341,0,11,0,13
SED22607,4,59,0,61,1710,71,1844,3,41,0,42,2199,122,2362,505,90,6,592,5107,309,6017,2372,53,24,2444,2387,239,5079,1877,35,15,1923,2501,219,4642,338,190,0,530,3180,187,3899,48,436,3,482,2209,114,2809,5,105,0,112,1101,86,1302,0,5,0,5,470,44,523,5147,1005,46,6201,20870,1391,28459,0,59,0,66,1581,64,1711,36,70,0,106,2304,116,2529,882,177,13,1071,4987,368,6425,2866,126,73,3056,2098,240,5393,1898,118,43,2049,2727,201,4979,173,527,8,712,3315,169,4195,25,693,3,721,2174,124,3021,15,115,0,132,1371,95,1600,4,0,0,5,861,70,935,5897,1893,136,7928,21421,1438,30791,8,116,0,123,3292,133,3554,39,110,0,151,4505,229,4887,1384,261,18,1671,10097,673,12442,5230,178,94,5507,4488,479,10475,3775,145,53,3973,5228,420,9619,511,716,13,1238,6500,354,8087,73,1131,8,1203,4383,242,5834,24,223,0,247,2473,179,2896,4,11,0,14
SED22704,12,77,0,90,1663,239,1986,60,53,0,113,1552,150,1813,959,85,25,1073,2082,390,3537,1696,52,46,1791,1262,370,3431,1115,130,28,1272,2644,415,4326,233,291,5,532,4201,489,5220,50,410,5,464,4155,426,5046,13,68,0,84,2344,258,2684,0,3,0,4,663,92,763,4129,1175,116,5414,20562,2836,28810,12,114,0,124,1363,176,1665,132,98,7,235,1102,117,1447,1461,128,72,1671,1539,282,3485,2061,128,116,2308,1033,306,3650,1079,307,44,1427,2764,356,4550,114,851,13,971,3972,406,5346,37,657,11,700,3733,337,4766,7,94,4,102,2286,270,2662,5,6,0,6,998,172,1180,4911,2370,255,7535,18794,2431,28760,20,192,0,213,3024,417,3649,191,149,8,342,2652,271,3265,2425,219,97,2741,3620,671,7028,3757,182,159,4098,2298,682,7076,2196,435,70,2694,5410,770,8883,349,1141,17,1508,8172,894,10570,82,1066,13,1164,7886,764,9819,20,159,3,181,4631,527,5343,0,12,0,13
SED22802,5,82,0,83,1808,64,1958,32,43,0,81,1748,67,1892,1178,68,24,1270,2630,151,4052,2412,55,52,2517,1319,139,3981,1343,81,25,1446,2252,147,3847,192,321,3,518,2937,114,3568,31,428,5,468,2182,97,2750,11,110,0,115,1415,76,1609,0,5,0,5,360,27,386,5200,1189,114,6507,16651,887,24043,5,136,0,137,1652,59,1844,70,107,0,172,1547,50,1773,1620,161,85,1870,2087,136,4085,2781,109,133,3021,945,121,4083,1337,237,44,1617,2456,127,4204,96,851,7,958,2742,112,3813,19,737,3,761,2298,90,3157,10,126,0,130,1533,72,1735,0,3,0,6,529,45,573,5942,2457,283,8674,15784,819,25271,9,209,0,223,3456,129,3810,100,151,0,253,3298,114,3664,2796,233,112,3136,4715,287,8136,5186,159,187,5538,2269,264,8064,2681,308,67,3066,4708,275,8045,289,1173,11,1476,5676,230,7379,58,1171,4,1233,4481,188,5906,14,234,0,246,2945,150,3341,0,5,0,4
SED22901,5,54,0,59,1686,57,1799,23,34,0,61,1660,59,1781,762,83,14,864,2690,154,3706,2372,58,52,2477,1530,150,4155,1358,52,21,1426,2152,125,3698,208,241,4,457,2909,93,3461,54,509,5,564,2490,98,3154,10,105,0,114,1389,92,1599,0,0,0,0,505,68,579,4793,1138,94,6025,17015,897,23938,0,97,0,101,1487,53,1647,36,75,0,118,1460,66,1642,1172,131,29,1333,2219,130,3678,2877,89,92,3060,1224,144,4421,1326,134,25,1481,2342,106,3929,130,759,8,891,3021,101,4009,46,818,10,879,2591,103,3575,16,96,0,115,1743,151,2004,0,0,0,0,865,160,1027,5607,2205,166,7975,16954,1007,25931,10,153,0,162,3172,111,3441,67,107,0,173,3120,127,3420,1937,216,45,2195,4910,281,7388,5251,144,140,5533,2754,293,8577,2685,183,38,2906,4490,237,7628,331,1007,15,1351,5927,190,7470,100,1325,17,1443,5085,202,6731,25,203,0,231,3131,243,3606,0,0,0,6
SED23007,13,54,0,62,1611,128,1800,14,39,0,55,2774,250,3077,915,132,9,1055,7993,851,9904,2641,87,32,2751,3894,499,7147,1508,51,22,1585,3097,335,5018,345,147,10,495,3296,277,4067,47,248,3,294,2332,197,2825,6,65,0,77,1312,140,1520,0,6,0,10,477,65,547,5483,830,79,6390,26786,2744,35918,11,93,0,111,1596,116,1818,58,129,5,190,2504,202,2893,1615,265,23,1904,6550,645,9097,3212,148,79,3442,2868,399,6712,1490,123,25,1643,3098,270,5015,155,456,11,616,3250,218,4087,30,476,6,515,2434,184,3133,13,73,0,93,1549,160,1796,3,6,0,6,730,169,908,6591,1777,150,8512,24579,2363,35453,20,147,5,172,3212,238,3624,70,168,3,236,5281,452,5968,2533,396,33,2964,14539,1496,19000,5853,236,113,6195,6761,897,13860,2997,178,45,3226,6191,609,10025,501,600,18,1111,6542,495,8154,76,726,10,809,4769,381,5960,20,143,0,167,2854,299,3323,3,9,0,11
SED23101,0,40,0,41,1819,58,1925,0,46,0,51,1939,88,2074,532,37,3,576,2588,184,3349,2345,41,14,2406,1393,133,3928,1702,35,23,1759,2105,125,3986,303,190,5,498,2792,73,3358,50,522,8,583,2181,112,2877,8,167,0,173,1905,121,2201,5,6,0,13,803,90,906,4954,1087,50,6095,17518,988,24599,8,68,0,76,1634,24,1733,10,66,0,76,1609,56,1750,904,81,12,990,2162,114,3264,2919,57,43,3029,1070,121,4225,1688,88,33,1807,2444,107,4366,154,529,9,694,2891,92,3680,82,838,6,928,2515,134,3573,13,155,0,171,2451,170,2790,0,9,0,8,1146,206,1355,5787,1889,103,7781,17922,1021,26726,8,108,0,118,3451,82,3657,11,112,0,125,3547,154,3819,1441,109,17,1564,4747,297,6610,5269,102,58,5428,2462,255,8147,3390,130,56,3565,4551,235,8352,454,718,16,1191,5687,155,7037,138,1362,14,1509,4691,247,6446,24,319,0,346,4360,285,4991,3,12,0,21
SED23205,4,55,0,63,1643,137,1841,34,45,0,85,1570,126,1778,917,101,21,1039,2883,360,4284,1990,74,66,2131,1632,295,4055,1321,84,15,1422,2311,315,4055,250,247,7,506,2944,276,3728,38,391,0,433,2365,186,2983,10,74,0,88,1521,157,1755,3,0,0,3,531,115,652,4574,1081,112,5768,17397,1960,25125,10,104,0,109,1396,146,1648,81,95,6,179,1439,116,1735,1432,181,59,1675,2356,325,4356,2566,115,133,2819,1270,277,4365,1312,209,44,1567,2443,256,4269,125,706,3,840,2883,183,3903,35,660,0,697,2487,184,3369,6,131,0,143,1813,209,2169,0,3,0,5,884,232,1126,5568,2203,257,8024,16968,1947,26936,10,162,0,173,3036,284,3489,112,145,6,260,3008,246,3514,2352,276,84,2715,5233,690,8640,4563,190,196,4949,2900,570,8418,2637,296,64,2993,4756,580,8325,371,953,10,1340,5825,463,7627,75,1046,4,1129,4856,367,6352,12,209,0,223,3330,366,3922,0,4,0,11
