SED_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED22105,8715,17779,436,2777,1998,9568,448,2185,12185,47736,15068,62275,826,3647,1168,4095,2313,7731,4303,15475,19374,77749,129,688,357,1310,213,807,2067,5721,2764,8526,277,932,427,995,1686,3862,2388,5785,5151,14312,486,1053,33722,110896
SED22201,6410,12891,91,523,666,3077,127,577,4365,16798,5244,20974,459,1948,614,2140,1434,4697,2510,8789,7752,29763,24,115,200,681,86,280,916,2273,1229,3348,164,514,325,717,1202,2645,1690,3872,2922,7223,215,455,17305,50329
SED22305,5687,11641,253,1634,860,4338,229,1128,4721,18570,6058,25678,463,2127,620,2222,1675,5576,2765,9927,8830,35603,71,355,234,895,98,390,1080,2882,1484,4525,193,700,333,760,1617,3732,2140,5201,3620,9720,449,987,18593,57950
SED22404,7705,15398,123,674,609,2820,186,850,3377,13275,4290,17623,339,1409,468,1555,1477,4696,2280,7658,6573,25278,42,150,174,586,79,269,804,2088,1099,3098,103,332,204,457,1003,2124,1312,2913,2408,6014,152,317,16846,47011
SED22501,6135,12280,88,498,857,3905,96,413,4489,17519,5532,22333,611,2602,908,3263,1814,5930,3332,11794,8864,34126,14,72,153,475,38,118,689,1694,893,2360,144,454,267,614,882,1917,1291,2980,2186,5336,150,325,17336,52066
SED22607,7052,14105,74,412,790,3584,61,261,4351,16544,5273,20801,511,2250,949,3421,1341,4401,2804,10071,8081,30878,20,80,161,534,28,90,767,1859,975,2557,116,356,316,708,934,2028,1368,3091,2338,5653,425,895,17892,51525
SED22704,8749,17462,137,763,576,2683,203,924,3302,13070,4215,17440,322,1371,463,1533,1489,4681,2273,7588,6486,25029,31,156,178,634,97,343,1037,2766,1346,3896,94,311,231,516,1227,2636,1550,3463,2900,7362,251,518,18386,50364
SED22802,6302,12669,148,847,762,3542,207,955,4251,16601,5377,21948,557,2403,635,2239,1807,5902,2997,10534,8376,32479,29,110,174,581,72,250,769,2009,1046,2954,162,526,239,549,1036,2319,1437,3391,2483,6347,202,417,17365,51915
SED22901,6031,12136,83,468,759,3455,116,572,4107,15635,5067,20131,536,2304,833,3002,1809,5893,3180,11195,8247,31331,29,115,168,539,71,268,739,1951,1007,2876,151,465,331,765,1094,2462,1580,3693,2590,6563,221,460,17088,50498
SED23007,7949,16103,93,565,678,3182,130,670,4906,18424,5815,22847,412,1812,725,2562,1541,5136,2671,9511,8491,32364,52,258,246,891,102,380,1182,3032,1580,4561,179,623,412,974,1665,3785,2260,5392,3838,9952,674,1458,20949,59874
SED23101,5996,12122,64,375,852,3749,89,376,4254,16303,5260,20809,557,2375,1124,4035,1593,5209,3271,11619,8531,32421,22,103,161,540,42,125,559,1402,781,2171,145,468,383,910,1045,2303,1570,3683,2354,5854,249,526,17127,50923
SED23205,6044,12158,80,449,598,2705,135,619,3597,13733,4408,17504,310,1302,545,1858,1181,3799,2030,6955,6437,24458,49,229,263,878,132,478,1303,3396,1746,4983,176,565,366,806,1419,3116,1957,4488,3705,9470,285,584,16468,46668
SED23308,7042,14081,86,462,608,2802,87,408,4059,15590,4841,19262,289,1197,599,2025,1087,3443,1973,6667,6813,25929,20,103,189,621,82,283,1062,2630,1361,3639,132,412,332,717,1141,2479,1599,3608,2962,7247,308,642,17126,47901
SED23402,7848,15835,200,1164,1133,5276,239,1080,6651,25892,8224,33406,668,2889,973,3456,1934,6406,3582,12751,11802,46158,60,270,250,882,86,290,1295,3470,1680,4917,214,714,335,745,1138,2527,1684,3980,3368,8902,247,514,23265,71409
SED23502,9023,17957,127,674,508,2377,214,938,2990,11905,3836,15894,230,942,387,1256,1226,3898,1844,6103,5684,21996,23,118,167,596,98,339,994,2709,1280,3761,79,253,196,406,910,1941,1186,2605,2466,6359,204,415,17375,46732
SED23602,7789,15474,113,613,583,2756,166,788,3005,12017,3869,16180,264,1105,467,1531,1114,3489,1850,6125,5721,22307,30,126,149,535,93,324,899,2393,1169,3381,85,272,190,418,845,1779,1118,2474,2289,5847,197,402,15990,44031
SED23702,7527,15156,162,914,802,3700,264,1203,4604,17972,5835,23788,505,2128,582,2008,1998,6517,3078,10651,8917,34435,42,209,235,786,108,384,1149,3058,1541,4440,136,441,291,654,1299,2832,1727,3924,3264,8364,240,493,19943,58453
SED23806,7011,13968,38,220,926,4214,45,183,3782,14446,4792,19062,456,1918,1223,4400,933,2953,2607,9271,7399,28336,6,32,142,455,14,52,591,1376,762,1918,87,267,368,822,550,1141,1003,2237,1764,4154,363,748,16537,47204
SED23901,6676,13382,75,461,810,3733,84,377,4729,18071,5704,22638,467,2007,976,3502,1394,4509,2837,10022,8541,32665,21,125,155,513,18,64,835,2003,1036,2704,133,444,398,896,1079,2371,1618,3706,2651,6406,291,604,18153,53063
SED24006,5734,11481,67,345,1254,5621,70,291,3864,14976,5252,21228,642,2766,1530,5480,1478,4776,3650,13015,8901,34245,11,51,292,928,24,74,681,1687,1017,2743,134,441,544,1269,759,1636,1434,3344,2446,6088,257,542,17347,52356
SED24105,5936,12210,174,1038,1088,5157,211,1026,5003,19574,6479,26797,668,2932,1040,3711,2168,7359,3875,14000,10352,40794,52,285,237,868,91,375,1015,2824,1397,4341,216,760,401,1003,1501,3532,2123,5291,3521,9638,415,955,20229,63594
SED24207,6576,13525,297,1845,1568,7570,326,1587,8217,32421,10400,43424,804,3578,1127,4096,2445,8288,4374,15955,14776,59382,98,527,375,1429,153,604,1477,4179,2100,6739,276,958,450,1113,1619,3828,2337,5898,4440,12638,420,925,26214,86472
SED24308,6589,13260,148,849,648,3107,220,1053,3798,14675,4808,19688,381,1621,528,1804,1620,5288,2521,8723,7327,28409,58,291,272,982,165,594,1421,3890,1925,5752,168,564,303,705,1529,3417,1999,4693,3919,10447,366,749,18204,52866
SED24408,7469,14882,87,486,600,2787,132,593,3104,12404,3921,16275,226,941,429,1350,1100,3416,1755,5707,5678,21979,28,109,164,568,93,329,856,2333,1137,3340,72,214,161,345,814,1722,1044,2282,2178,5623,204,421,15534,42911
SED24504,7797,15582,110,583,843,3855,165,775,4289,16955,5408,22172,417,1726,756,2644,1430,4551,2603,8917,8018,31092,27,115,177,576,58,203,762,2001,1019,2900,98,305,232,511,838,1803,1170,2617,2197,5516,137,296,18144,52478
SED24606,6574,13126,43,223,794,3595,28,128,3431,13032,4295,16974,414,1762,1144,4110,932,2988,2489,8859,6781,25838,5,30,131,428,16,51,586,1353,742,1855,99,292,369,855,657,1395,1123,2538,1862,4394,306,640,15526,44001
SED24703,15014,29927,32,215,367,1696,35,138,3971,13825,4408,15879,148,639,525,1742,505,1580,1187,3951,5591,19831,16,89,151,476,34,124,960,2221,1166,2909,92,282,527,1135,801,1695,1421,3109,2581,6018,1480,3084,24668,58861
SED24808,7681,15584,279,1790,1122,5541,368,1791,7483,29773,9254,38889,508,2237,662,2318,1882,6211,3052,10771,12308,49659,122,619,423,1599,213,799,2150,6166,2904,9185,195,660,356,784,1678,3778,2235,5217,5137,14403,381,835,25512,80486
SED24904,7252,14503,135,782,685,3265,206,972,3514,14022,4549,19040,282,1186,429,1378,1281,4054,1997,6615,6541,25661,42,196,220,788,137,503,1227,3417,1627,4901,91,301,218,474,1053,2303,1356,3071,2983,7971,289,622,17065,48754
SED25003,5600,11344,152,883,1023,4793,225,1044,5120,19875,6517,26589,772,3338,868,3145,2393,8076,4026,14561,10548,41153,42,196,212,733,89,361,922,2539,1268,3826,203,678,320,739,1339,3080,1862,4497,3128,8325,267,567,19539,61390
SED25102,6071,12177,113,611,774,3573,170,792,4189,16354,5247,21323,556,2418,678,2349,1675,5469,2911,10234,8163,31558,17,70,155,516,69,229,696,1712,937,2529,132,429,247,558,899,1983,1273,2972,2210,5500,137,283,16579,49519
SED25205,6163,12385,96,484,905,4069,118,510,4941,18897,6052,23957,543,2319,947,3366,1475,4824,2974,10513,9025,34467,20,82,180,545,36,128,851,2071,1091,2829,149,460,396,898,1118,2417,1663,3777,2754,6598,230,476,18170,53926
SED25302,7541,15070,110,557,942,4274,154,686,4159,16513,5365,22023,531,2246,909,3157,1367,4358,2800,9761,8168,31779,28,119,216,672,61,205,754,1887,1054,2885,117,372,293,654,884,1914,1298,2936,2351,5821,131,274,18195,52951
SED25402,7561,15090,131,741,623,2908,191,848,3676,14338,4622,18829,324,1368,463,1563,1412,4475,2206,7410,6820,26241,54,256,202,728,135,493,1425,3862,1811,5344,113,370,273,586,1250,2704,1637,3656,3450,9002,240,503,18077,50831
SED25501,5916,11918,69,366,1127,4966,81,333,4609,17540,5888,23204,585,2469,1399,4930,1676,5429,3656,12827,9543,36030,13,56,174,580,40,124,628,1620,859,2386,138,440,523,1203,924,1991,1584,3630,2442,6015,275,582,18174,54549
SED25605,6195,12574,91,522,785,3575,110,511,4080,15689,5063,20306,495,2137,912,3231,1783,5898,3186,11266,8245,31566,28,119,177,634,64,214,643,1688,905,2660,136,459,331,794,1231,2791,1700,4037,2602,6693,373,790,17418,51628
SED25704,8018,15974,117,657,661,3203,172,791,3303,13236,4260,17895,287,1195,457,1487,1327,4215,2069,6898,6329,24797,37,168,208,744,101,378,1079,3019,1430,4311,67,215,188,425,958,2045,1215,2685,2645,6998,233,499,17224,48262
SED25802,8937,17909,189,1120,826,3934,235,1094,4435,17661,5689,23812,439,1884,581,1963,1708,5471,2738,9314,8423,33131,60,274,228,819,117,425,1286,3566,1694,5082,119,385,297,640,1137,2479,1557,3503,3252,8584,252,529,20858,60153
SED25905,5803,11759,232,1457,969,4703,236,1184,4267,16851,5704,24189,693,3079,800,2843,2197,7372,3694,13293,9388,37481,50,246,160,573,103,389,912,2488,1218,3703,168,577,258,602,1224,2807,1654,3986,2866,7692,249,532,18316,57463
SED26005,5551,11347,393,2470,1717,8413,351,1703,6467,25711,8936,38290,923,4165,1238,4427,2405,8145,4568,16732,13506,55024,88,419,282,994,110,441,1158,3252,1632,5110,215,745,365,867,1335,3118,1918,4737,3545,9846,256,568,22856,76784
SED26102,9517,19021,86,467,552,2502,138,610,3072,11947,3844,15528,286,1167,499,1682,1283,4034,2066,6882,5912,22409,30,104,166,550,88,274,962,2450,1242,3382,103,329,296,669,1117,2394,1526,3399,2769,6775,212,441,18411,48649
SED26207,6042,12162,80,438,812,3699,99,454,4130,15868,5116,20461,581,2515,851,3096,1837,6082,3262,11696,8380,32154,27,106,179,581,63,207,697,1734,970,2630,160,527,298,695,1289,2876,1748,4095,2711,6728,276,585,17406,51634
SED26303,6852,13712,48,267,702,3144,52,213,4371,16223,5169,19853,354,1495,868,3076,1012,3301,2240,7870,7410,27726,13,51,156,472,18,81,735,1682,925,2282,79,259,323,698,903,1960,1301,2919,2227,5206,324,668,16815,47310
SED26406,7306,14736,44,224,693,3064,67,300,4738,17484,5535,21083,393,1687,920,3262,1208,3923,2520,8873,8059,29953,9,60,157,489,25,100,702,1657,907,2304,106,355,360,813,1043,2303,1508,3468,2417,5774,524,1102,18298,51564
SED26504,7851,15630,103,553,602,2824,157,729,3066,12192,3926,16294,286,1198,435,1421,1084,3379,1802,6003,5732,22298,35,159,181,601,96,336,980,2564,1287,3663,58,170,195,424,881,1877,1137,2473,2419,6134,170,343,16177,44407
SED26603,7690,15513,129,761,791,3642,104,467,5760,21527,6776,26392,491,2111,712,2522,1523,5117,2723,9751,9498,36145,31,133,184,565,55,186,991,2414,1257,3292,166,559,355,833,1382,3090,1902,4488,3154,7782,491,1044,20835,60481
SED26708,7892,15698,161,871,760,3577,174,818,3712,14907,4813,20173,378,1583,559,1796,1307,4152,2237,7530,7045,27698,44,171,139,486,67,229,813,2204,1051,3092,96,302,193,401,903,1955,1185,2659,2240,5752,220,458,17396,49606
SED26806,10160,20176,22,132,246,1102,18,70,2706,9548,2998,10853,139,562,454,1516,446,1391,1044,3464,4042,14319,12,38,106,314,14,55,613,1344,747,1753,55,168,317,687,653,1347,1026,2202,1775,3959,551,1111,16524,39566
SED26903,6767,13661,78,462,577,2621,101,487,4436,16501,5189,20068,376,1651,564,1994,1245,4156,2183,7803,7375,27878,28,128,150,512,58,204,938,2368,1171,3211,125,432,313,693,1460,3293,1897,4421,3065,7626,547,1168,17755,50332
SED27003,9904,19711,16,80,343,1494,44,195,3287,11941,3683,13712,169,711,552,1889,597,1898,1322,4493,5006,18206,11,68,138,454,36,144,783,1924,967,2595,66,210,315,690,833,1776,1213,2666,2185,5264,525,1093,17626,44271
SED27101,6442,12947,100,553,805,3670,112,508,5137,19335,6154,24065,440,1909,775,2772,1244,4042,2453,8719,8611,32783,15,77,164,515,37,124,747,1801,966,2519,151,475,390,886,1031,2222,1571,3584,2539,6107,271,579,17859,52418
SED27208,8465,16858,104,592,654,3085,188,867,3306,13235,4253,17778,267,1124,441,1429,1296,4077,2006,6633,6264,24411,33,152,174,597,111,397,1090,3024,1408,4169,86,268,195,414,1085,2328,1369,3013,2772,7180,269,573,17768,49023
SED27305,5238,10596,118,637,802,3593,149,685,3696,14356,4760,19270,737,3205,1018,3665,2137,7113,3889,13980,8651,33245,19,80,160,562,39,133,532,1371,756,2142,128,414,255,596,877,1981,1256,2991,2013,5135,163,357,16062,49335
SED27406,7107,14210,74,390,925,4117,65,286,4268,16408,5336,21208,482,2041,1213,4343,1251,4034,2952,10420,8288,31628,16,54,194,573,24,60,689,1599,920,2292,124,363,407,924,792,1677,1325,2968,2250,5259,172,358,17816,51449
SED27504,7716,15444,177,1083,803,3889,235,1151,4171,16755,5393,22879,396,1713,508,1701,1479,4776,2391,8183,7785,31064,57,275,271,961,156,557,1361,3813,1839,5607,132,412,242,532,1153,2514,1524,3463,3369,9072,270,579,19142,56159
SED27608,9498,18973,128,695,1158,5260,234,1032,7152,27859,8667,34851,523,2199,1035,3588,1571,5056,3133,10847,11802,45703,47,202,298,955,87,291,1160,2980,1595,4429,133,413,355,789,970,2130,1458,3329,3054,7762,273,562,24625,73003
SED27708,7919,15805,138,759,646,2967,195,879,3625,14289,4601,18898,310,1282,547,1779,1359,4314,2212,7373,6820,26274,35,168,209,691,103,368,1128,2937,1474,4163,93,288,228,462,1021,2220,1344,2972,2818,7136,257,535,17805,49755
SED27807,6005,12377,129,837,696,3399,191,951,3936,15411,4950,20598,479,2134,621,2225,1993,6724,3093,11079,8044,31674,83,402,303,1122,138,546,1298,3596,1820,5663,244,845,434,1061,1879,4395,2563,6302,4377,11969,579,1270,19009,57295
SED27907,6578,13240,127,721,761,3521,185,853,4526,17329,5602,22423,524,2257,639,2219,1843,6066,3010,10549,8610,32963,50,208,192,666,86,285,1024,2734,1350,3895,177,579,302,694,1365,3053,1843,4325,3196,8220,276,593,18655,55022
SED28007,5624,11443,245,1411,1460,6763,267,1275,5728,22479,7699,31925,1000,4385,1256,4579,2807,9612,5059,18577,12757,50502,69,345,247,858,99,356,997,2757,1411,4320,249,832,369,890,1291,3048,1904,4770,3318,9090,249,542,21947,71577
SED28107,8360,17174,357,2325,1816,8954,313,1572,14362,55712,16845,68572,694,3095,1237,4350,2038,6838,3971,14284,20811,82856,107,633,369,1499,118,489,1732,4972,2333,7601,234,863,400,945,1314,3010,1953,4823,4285,12424,595,1329,34056,113782
SED28203,6702,13654,205,1258,986,4819,213,1024,6614,25813,8013,32901,550,2494,642,2298,2037,6870,3237,11665,11251,44566,58,292,221,851,121,456,1134,3163,1534,4768,195,709,312,777,1782,4175,2291,5657,3821,10419,441,947,22216,69591
SED28301,6080,12211,101,573,1033,4701,111,464,4437,17321,5678,23063,712,3060,1229,4420,1975,6525,3919,13998,9602,37058,11,58,181,588,54,163,572,1457,822,2270,145,464,325,764,860,1907,1328,3139,2146,5410,173,364,17999,55038
SED28408,6610,13194,93,515,648,3039,152,696,3527,13753,4423,17999,251,1056,569,1910,1038,3251,1856,6218,6281,24223,42,212,236,785,109,408,1306,3507,1691,4920,105,326,322,684,1125,2428,1551,3439,3243,8358,266,558,16403,46331
SED28507,7155,14563,229,1395,1009,4838,244,1186,7589,29025,9074,36443,518,2277,741,2584,1717,5698,2972,10561,12046,47007,87,441,298,1099,167,647,1744,4845,2291,7038,206,694,376,885,1543,3514,2125,5093,4417,12128,443,964,24066,74668
SED28607,7297,14604,88,517,847,3822,104,495,6113,23111,7158,27934,430,1833,886,3110,1240,4018,2551,8956,9713,36896,25,123,196,649,60,204,911,2202,1193,3181,131,416,323,696,1116,2452,1566,3565,2766,6742,396,844,20166,59094
SED28704,8128,16411,264,1431,1540,7138,365,1649,9321,36420,11485,46630,817,3543,1013,3623,2347,7820,4187,14990,15666,61618,60,256,372,1269,159,585,1599,4291,2189,6406,246,778,427,968,1459,3273,2136,5016,4325,11423,274,585,28397,90028
SED28803,7938,16233,529,3272,2119,10506,480,2402,12282,48592,15409,64773,1254,5740,1228,4500,3160,11002,5646,21239,21053,86005,115,594,373,1409,175,692,1669,4789,2326,7478,316,1120,397,972,1826,4454,2540,6542,4874,14026,423,934,34296,117204
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
