SED_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED21106,15441,16890,32336,2034,2244,4281,315,413,725,6786,7387,14172,170,203,378,68,78,147,91,118,212,20,32,59,11,14,24,41,52,95,0,0,0,7505,8299,15805,1944,2147,4093,137,155,290,11627,12847,24467,1270,1522,2791,28337,31254,59597
SED21203,20235,20663,40899,1803,1754,3555,186,183,369,5951,5694,11652,91,98,191,91,82,171,52,42,90,37,33,69,21,9,32,37,31,68,0,0,0,6466,6174,12638,3426,2757,6185,189,166,354,11882,10851,22733,2972,2568,5547,35092,34090,69180
SED21303,15533,16977,32512,1279,1338,2618,927,1052,1975,10338,11238,21580,514,645,1160,207,243,448,309,313,624,127,127,254,65,83,153,188,228,417,0,0,0,12674,13938,26616,2783,3237,6021,339,312,651,17068,18832,35901,1323,1348,2668,33927,37154,71078
SED21401,18279,19857,38135,1203,1291,2498,211,207,416,7392,7836,15223,155,161,313,90,104,195,130,109,246,30,30,61,13,20,30,26,19,47,0,0,0,8045,8493,16537,2160,2294,4452,148,135,286,11552,12215,23771,1012,1150,2158,30837,33223,64063
SED21503,17618,18376,35994,759,760,1520,208,231,441,6289,6280,12564,143,133,276,57,74,134,89,70,153,29,33,64,50,46,98,26,31,60,0,0,0,6888,6904,13792,2038,1670,3713,159,117,274,9847,9456,19295,1242,1149,2394,28705,28979,57686
SED21608,17357,17752,35111,1773,1903,3677,186,227,419,8569,9123,17693,194,188,385,100,103,203,84,111,196,37,61,96,49,55,104,25,25,52,0,0,0,9249,9900,19148,599,587,1180,225,183,410,11845,12572,24415,2068,1941,4004,31270,32260,63529
SED21706,17304,19258,36556,1284,1339,2625,296,296,591,7846,8350,16200,178,198,377,122,117,241,119,127,250,75,54,130,35,30,65,38,33,74,0,0,0,8716,9214,17925,2922,2725,5651,176,140,317,13102,13414,26518,1286,1317,2599,31689,33984,65669
SED21805,18917,19849,38765,1866,1929,3797,183,195,371,8348,8986,17339,139,150,289,51,44,92,64,68,128,27,35,69,32,39,71,25,26,52,0,0,0,8865,9542,18414,713,853,1568,240,242,481,11687,12572,24257,1576,1621,3187,32172,34034,66209
SED21906,15569,16931,32502,1787,1920,3709,405,445,849,7966,8421,16392,241,282,519,96,100,199,140,153,289,47,45,92,26,30,54,56,63,117,0,0,0,8981,9534,18512,2995,3048,6042,248,227,473,14014,14727,28740,1411,1522,2929,30992,33181,64168
SED22005,19289,20206,39488,1615,1573,3189,237,219,456,7383,7127,14511,177,164,342,96,87,182,123,105,225,35,36,77,42,42,87,29,28,51,0,0,0,8131,7811,15945,5111,4173,9285,287,176,458,15147,13734,28881,1791,1734,3535,36223,35672,71901
SED22105,27520,28014,55532,2243,2301,4548,454,417,872,19603,19931,39530,300,304,603,176,158,331,165,161,322,59,86,143,59,45,106,27,18,46,0,0,0,20847,21112,41959,3776,4232,8006,433,328,764,27296,27977,55277,2825,2768,5594,57642,58756,116403
SED22201,16641,18162,34804,961,1089,2047,137,145,289,7630,8466,16094,118,134,256,35,49,82,51,57,109,22,17,41,32,32,62,23,14,39,0,0,3,8053,8919,16971,906,1023,1936,153,143,293,10072,11170,21238,920,1068,1996,27637,30403,58035
SED22305,19181,18991,38181,2221,1858,4075,288,191,472,7794,6581,14374,134,105,238,153,104,249,151,93,248,28,35,69,30,19,48,8,15,30,0,0,0,8578,7142,15720,3588,3770,7355,258,162,415,14639,12932,27569,3035,2464,5498,36859,34385,71243
SED22404,18112,17904,36011,2621,2790,5412,194,216,407,5528,5649,11182,137,187,321,42,37,78,71,78,153,25,33,57,36,32,69,22,15,36,0,0,4,6059,6250,12303,337,376,716,134,102,234,9149,9520,18664,2439,2314,4754,29697,29736,59427
SED22501,19243,20291,39533,1240,1273,2509,149,157,308,5217,5655,10871,96,119,220,51,47,98,59,45,105,23,20,47,17,29,45,22,24,42,0,0,0,5637,6098,11733,492,598,1082,100,86,184,7461,8050,15513,732,777,1510,27438,29121,56561
SED22607,17284,18448,35729,1394,1536,2933,418,438,855,8533,9149,17683,303,335,638,132,156,285,170,154,322,45,66,104,46,46,90,79,68,155,0,0,0,9727,10410,20136,2185,2208,4399,213,219,436,13519,14374,27894,1467,1518,2989,32277,34333,66609
SED22704,18512,18309,36822,2993,3209,6199,424,405,831,5965,6227,12190,461,371,831,132,120,254,99,89,184,53,55,108,135,97,229,49,33,81,0,0,0,7316,7394,14716,479,481,958,157,134,294,10948,11219,22166,3216,2874,6096,32674,32402,65081
SED22802,18084,18593,36678,1130,1261,2393,101,102,202,6861,7227,14091,100,126,225,25,34,58,39,45,85,20,19,39,15,12,29,9,14,22,0,0,0,7175,7579,14750,462,520,986,123,114,245,8895,9479,18374,987,912,1901,27966,28979,56944
SED22901,17458,18518,35973,857,921,1776,133,145,280,6670,6966,13637,109,117,224,54,76,127,75,75,158,27,24,49,15,16,32,10,12,23,0,0,0,7086,7430,14520,1155,1203,2355,160,169,331,9256,9726,18985,913,1042,1956,27633,29284,56915
SED23007,19793,20430,40230,1994,1939,3926,488,445,937,9839,9492,19331,343,323,667,155,159,316,165,170,338,75,68,141,69,46,118,63,83,146,0,0,0,11197,10789,21986,3977,3368,7348,386,311,699,17561,16401,33961,2719,2279,4998,40076,39114,79189
SED23101,17981,19672,37651,832,871,1703,168,154,325,5857,6040,11902,109,130,240,66,65,134,88,101,189,38,35,74,10,10,25,36,35,71,0,0,0,6370,6573,12945,2175,2093,4270,105,76,180,9487,9618,19104,916,1033,1947,28378,30319,58698
SED23205,15882,16724,32604,1580,1771,3355,191,196,385,7782,8295,16080,142,174,307,28,40,70,84,84,166,39,38,76,16,19,40,16,19,39,0,0,0,8302,8857,17157,750,885,1635,261,251,515,10889,11767,22658,2135,2086,4216,28908,30575,59479
SED23308,15963,17438,33403,1975,2117,4096,335,346,684,8183,9226,17404,187,234,424,92,90,180,84,89,170,78,84,165,41,53,96,20,36,60,0,0,4,9028,10157,19185,1488,1340,2825,242,201,445,12737,13808,26542,1694,1697,3392,30399,32947,63342
SED23402,19551,20056,39604,2021,2237,4257,210,226,441,12708,13462,26173,202,208,418,78,99,178,96,111,208,36,38,73,47,45,97,25,18,49,0,0,0,13405,14217,27622,1177,1347,2521,238,210,446,16843,18012,34848,1885,1924,3800,38274,39986,78254
SED23502,16943,17239,34186,3462,3714,7174,507,517,1025,5156,5512,10663,236,300,539,66,59,129,121,107,226,66,73,137,61,51,116,46,49,96,0,0,0,6260,6674,12928,387,434,821,204,176,379,10309,10996,21304,2689,2722,5413,29944,30961,60910
SED23602,15635,15849,31483,3143,3373,6520,330,320,649,5339,5676,11019,314,297,610,92,92,176,90,90,179,54,54,105,59,56,118,52,40,87,0,0,0,6333,6632,12956,377,424,802,143,131,280,10004,10555,20560,2999,2215,5212,28633,28621,57257
SED23702,20105,20567,40667,2675,2901,5579,344,264,610,7268,7900,15171,447,261,708,57,45,106,176,112,289,47,36,86,44,34,83,31,26,56,0,5,5,8421,8686,17106,286,367,660,215,196,413,11597,12160,23758,1719,1675,3393,33415,34399,67813
SED23806,15215,16919,32133,1330,1391,2717,435,469,899,8148,8758,16905,265,308,575,119,147,266,210,217,424,67,75,143,42,33,76,62,67,133,0,0,0,9345,10075,19418,2361,2579,4938,164,164,323,13201,14208,27406,1066,1184,2254,29479,32315,61790
SED23901,17853,19295,37147,1547,1579,3121,313,352,669,7655,8365,16019,305,239,543,117,110,225,123,117,232,35,49,85,27,34,64,66,57,126,0,0,0,8641,9324,17970,1464,1558,3019,171,152,318,11824,12611,24432,1252,1214,2470,30927,33120,64048
SED24006,17417,18990,36406,1309,1376,2683,283,286,568,7124,7358,14479,157,185,349,100,94,197,114,117,235,27,34,61,33,33,68,42,41,86,0,0,0,7894,8145,16040,2052,2387,4440,102,103,203,11357,12010,23367,891,1003,1892,29662,32005,61664
SED24105,21804,22597,44395,1568,1631,3199,160,157,314,7172,6732,13902,97,92,194,67,54,125,74,71,141,13,5,23,14,4,20,13,17,31,0,0,0,7606,7146,14748,2990,3064,6054,202,183,379,12356,12024,24385,1452,1416,2868,35618,36034,71648
SED24207,25927,26601,52527,1485,1477,2958,354,329,679,11790,11754,23542,167,153,326,158,138,293,122,118,239,31,31,59,53,48,104,45,42,82,0,0,0,12715,12615,25333,3039,3229,6270,246,212,462,17486,17536,35018,4361,2619,6982,47778,46752,94526
SED24308,17929,18706,36631,2598,2849,5452,193,228,425,7155,7584,14739,169,197,366,75,83,155,88,87,172,60,58,116,43,48,93,26,23,50,0,0,0,7810,8310,16118,1099,1129,2225,250,235,483,11752,12526,24286,3328,2247,5582,33009,33479,66490
SED24408,16877,16750,33631,3472,3720,7194,218,242,460,3499,3687,7180,216,238,448,314,363,679,104,90,198,33,36,72,63,66,129,12,15,26,0,0,0,4456,4738,9195,342,440,784,155,120,278,8426,9019,17447,2113,2168,4282,27425,27937,55361
SED24504,18282,18778,37058,2224,2384,4613,255,276,527,6737,6964,13704,146,173,313,49,60,117,71,66,141,41,28,70,32,42,73,22,28,53,0,0,0,7357,7643,14997,485,506,992,157,105,265,10227,10640,20866,1863,1904,3767,30372,31315,61692
SED24606,14264,16064,30330,1387,1558,2948,331,400,725,7279,8129,15411,218,248,466,98,119,215,132,154,290,53,41,96,13,13,28,37,51,92,0,0,0,8165,9166,17330,2059,2260,4319,135,130,269,11749,13111,24867,1145,1253,2404,27167,30433,57600
SED24703,13806,14377,28181,2630,2665,5297,1755,1883,3635,16975,16411,33379,1163,1250,2417,513,596,1104,798,765,1556,306,323,628,117,127,245,395,369,762,0,0,0,22014,21718,43731,15586,17076,32661,579,474,1054,40813,41938,82747,5004,4701,9703,59614,61010,120622
SED24808,21824,22250,44076,2774,3111,5885,626,619,1241,12872,13578,26449,267,296,565,137,136,281,118,110,224,89,93,187,57,53,114,46,36,84,0,0,0,14211,14934,29141,1741,2004,3750,307,292,601,19037,20335,39373,2971,3103,6070,43827,45689,89519
SED24904,17326,17443,34767,2731,2937,5675,754,846,1598,4834,5163,9992,235,282,521,402,420,819,81,108,193,23,31,53,72,80,156,21,17,37,0,0,0,6423,6940,13365,1505,1335,2834,214,177,386,10877,11385,22262,3090,2879,5971,31287,31708,63000
SED25003,21321,21885,43209,938,950,1886,206,202,411,7091,7287,14383,131,121,255,77,101,176,69,71,142,17,22,41,25,28,58,27,26,48,0,0,0,7641,7862,15501,1543,1510,3059,180,145,325,10304,10465,20770,1443,1625,3065,33071,33972,67046
SED25102,18920,18931,37852,927,976,1906,103,105,213,5651,6056,11711,94,110,202,23,24,41,39,55,92,21,25,52,26,22,54,7,12,23,0,0,0,5968,6406,12373,376,440,817,148,130,277,7418,7954,15373,998,877,1871,27336,27767,55102
SED25205,18726,20299,39027,1496,1614,3108,225,226,449,6919,7668,14587,112,131,245,45,53,95,56,73,127,21,27,49,15,14,32,15,23,45,0,0,0,7412,8217,15630,891,1025,1914,157,189,350,9953,11047,20999,1016,1075,2092,29697,32419,62117
SED25302,18039,19765,37809,1885,2051,3930,230,273,505,7090,8063,15153,121,145,267,35,23,63,76,75,151,15,26,45,21,23,46,9,13,27,0,0,0,7610,8651,16257,580,637,1216,101,123,217,10174,11455,21629,1303,1551,2852,29521,32772,62291
SED25402,18404,18768,37165,3010,3374,6376,188,218,409,6040,6591,12639,186,211,400,58,61,117,87,89,176,35,49,86,42,47,95,10,13,23,0,3,3,6658,7284,13942,430,513,949,242,273,516,10340,11449,21789,2644,2775,5419,31388,32985,64371
SED25501,16919,18157,35072,1395,1428,2825,238,215,450,6865,6767,13633,158,155,312,144,140,283,138,154,296,40,34,80,36,25,58,36,40,71,0,0,0,7652,7529,15186,3755,3693,7448,123,100,222,12923,12754,25677,1160,1131,2292,30997,32040,63045
SED25605,18307,19193,37494,1231,1234,2471,156,138,288,6143,5648,11784,105,112,219,72,70,142,51,43,99,23,22,43,16,10,26,29,28,53,0,0,0,6588,6072,12669,2390,2318,4702,180,123,306,10392,9760,20145,1458,1426,2880,30156,30373,60526
SED25704,18125,18366,36494,3449,3702,7148,681,767,1450,4045,4400,8444,202,203,401,81,87,165,96,84,179,37,42,78,82,75,151,11,12,18,0,0,0,5236,5664,10900,615,690,1305,165,145,306,9461,10196,19659,2641,2595,5233,30231,31153,61386
SED25802,19112,19647,38751,3579,3977,7557,204,196,403,8803,9551,18355,194,236,425,49,61,108,75,53,127,36,41,80,42,36,75,17,17,30,0,0,0,9406,10195,19608,461,505,968,241,216,453,13694,14898,28592,2633,2657,5287,35431,37199,72627
SED25905,20055,20526,40578,999,1017,2009,186,183,369,6824,6644,13474,130,114,248,94,57,154,55,53,103,24,25,49,20,17,37,8,12,27,0,0,0,7336,7123,14458,1398,1672,3070,181,167,347,9910,9977,19884,1692,1689,3378,31654,32193,63844
SED26005,24295,24273,48568,1241,1251,2487,279,267,547,9653,9433,19086,189,193,387,159,132,290,110,69,177,39,38,78,37,35,71,18,18,32,0,0,0,10486,10180,20661,2508,2847,5360,236,163,400,14468,14437,28908,1764,1647,3411,40525,40360,80885
SED26102,16623,17701,34329,2730,2905,5638,167,211,380,7847,8362,16201,173,208,373,39,31,68,87,65,156,37,35,73,37,30,62,22,25,45,0,0,0,8399,8964,17363,493,560,1052,158,130,289,11778,12553,24337,2672,2827,5497,31071,33082,64163
SED26207,18423,19859,38282,1186,1264,2455,135,136,277,6298,6564,12865,108,126,235,78,84,156,73,79,143,21,30,49,19,18,37,13,24,43,0,0,0,6750,7055,13806,805,742,1544,164,192,352,8899,9257,18158,1040,1090,2131,28365,30210,58570
SED26303,16268,17916,34174,1212,1290,2506,460,542,1002,8719,9657,18375,289,331,620,93,127,223,134,165,296,58,75,133,44,46,88,79,109,189,0,0,0,9883,11051,20930,1529,1832,3364,283,273,557,12911,14447,27357,1177,1234,2408,30346,33594,63938
SED26406,16123,17406,33528,1334,1372,2707,338,351,694,9252,9104,18358,215,268,480,123,136,257,175,175,341,89,107,194,53,57,109,62,70,133,0,0,0,10309,10262,20573,4870,4444,9320,233,206,439,16753,16284,33035,1627,1423,3044,34501,35112,69611
SED26504,16095,16548,32648,3339,3520,6870,727,843,1568,4371,4673,9044,256,305,563,64,80,147,98,102,192,46,44,91,50,58,105,25,33,56,0,0,0,5630,6133,11762,466,519,989,157,173,327,9603,10350,19949,2103,2120,4230,27806,29018,56826
SED26603,19132,20848,39986,1339,1347,2687,398,417,816,9404,9706,19113,263,255,524,121,141,264,157,162,318,73,67,141,41,51,87,77,81,159,0,0,3,10538,10886,21423,3178,2924,6098,265,248,515,15322,15401,30730,1869,1827,3692,36334,38075,74406
SED26708,18245,17991,36242,3010,3010,6020,162,205,366,5978,6279,12256,160,176,338,79,77,154,81,76,156,50,40,93,41,47,90,17,18,33,0,0,0,6569,6916,13487,540,547,1082,165,131,302,10287,10608,20894,2435,2246,4679,30968,30848,61813
SED26806,11675,12702,24380,1583,1593,3181,1045,1139,2185,11030,11496,22532,607,729,1337,281,291,575,395,468,860,130,147,277,55,51,103,144,124,272,0,0,6,13695,14442,28135,4611,5080,9685,343,300,644,20232,21416,41646,2501,2610,5109,34404,36730,71136
SED26903,17161,18401,35559,1111,1156,2270,327,354,683,8153,8337,16490,204,231,436,94,135,233,103,111,212,51,51,106,32,35,60,40,57,96,0,0,0,9000,9309,18308,2607,2317,4920,275,260,537,12997,13033,26031,1874,1843,3714,32030,33278,65301
SED27003,13632,14694,28326,1848,1913,3756,1012,1112,2126,11408,11499,22907,656,721,1373,268,288,560,418,425,837,108,123,230,48,70,117,184,196,379,0,0,0,14100,14427,28525,3431,3706,7133,391,295,689,19772,20341,40112,2202,2005,4211,35606,37041,72648
SED27101,17437,18602,36037,1083,1080,2165,173,198,369,7732,8039,15771,135,145,280,96,103,200,63,68,130,28,42,67,17,30,50,33,35,67,0,0,0,8277,8657,16938,1909,2133,4046,175,152,324,11449,12027,23473,1035,1038,2078,29920,31662,61580
SED27208,18748,18400,37150,2943,3247,6193,207,245,461,5776,6133,11907,186,214,399,133,156,287,74,76,151,46,39,84,38,45,87,21,25,37,0,0,3,6473,6935,13409,544,535,1078,175,154,329,10135,10880,21010,3766,2643,6409,32651,31920,64572
SED27305,18371,18780,37159,659,694,1348,101,100,200,5188,5246,10435,69,74,149,49,60,111,29,25,57,13,16,33,17,9,23,12,16,28,0,0,0,5480,5552,11033,771,891,1663,105,107,212,7019,7238,14256,699,677,1377,26088,26696,52789
SED27406,16485,18353,34834,1567,1768,3337,231,253,483,7743,8446,16188,150,159,311,49,53,98,104,100,205,21,16,39,7,12,22,31,30,60,0,0,0,8329,9078,17411,1358,1505,2864,171,196,370,11430,12552,23979,1013,1136,2155,28926,32041,60971
SED27504,19367,19393,38765,3472,3679,7157,422,479,902,6297,6818,13113,263,261,519,54,58,115,87,81,165,48,45,94,59,70,127,16,18,39,0,0,0,7248,7819,15070,1313,1500,2808,237,263,502,12271,13265,25537,2985,2895,5879,34619,35557,70179
SED27608,19566,20600,40167,3615,3725,7340,432,490,927,13461,14926,28391,276,329,608,116,132,247,160,158,315,74,95,173,75,84,152,65,60,127,0,0,0,14653,16285,30944,1895,1582,3482,304,280,588,20477,21875,42353,1827,1948,3773,41868,44426,86298
SED27708,17685,18267,35949,3576,3923,7499,208,250,457,5308,5928,11240,220,251,471,193,253,451,128,137,263,39,54,99,58,61,115,17,16,37,0,0,0,6175,6950,13128,650,634,1279,210,176,386,10613,11682,22299,2134,2152,4289,30438,32102,62543
SED27807,20556,21382,41939,1560,1439,2998,169,155,331,6482,6099,12583,112,129,244,64,62,133,75,74,144,22,28,53,32,21,50,17,7,29,0,0,0,6980,6581,13559,3355,3056,6405,276,225,500,12170,11295,23464,3022,2705,5734,35751,35388,71139
SED27907,18212,18950,37165,1542,1599,3138,176,180,353,7779,8135,15915,158,156,309,46,51,99,70,86,157,31,39,68,26,22,41,18,16,36,0,0,0,8292,8684,16971,857,916,1780,177,149,320,10863,11348,22209,1462,1398,2865,30534,31695,62227
SED28007,25307,25865,51165,993,1021,2009,174,186,361,7608,7872,15481,111,105,210,57,51,114,59,50,110,12,14,31,20,15,38,10,28,38,0,0,0,8058,8326,16384,1360,1421,2784,131,113,244,10549,10876,21422,1419,1405,2819,37265,38144,75411
SED28107,26367,26445,52809,2350,2314,4665,1024,941,1973,17809,16797,34606,489,469,958,335,304,637,355,333,690,110,93,203,131,114,247,80,84,165,0,0,0,20335,19137,39476,8080,7523,15606,448,344,792,31216,29319,60536,4645,3309,7952,62221,59075,121297
SED28203,20635,21168,41804,1631,1643,3271,262,285,548,9670,9489,19166,161,159,314,112,121,231,109,104,213,31,38,69,52,60,111,23,28,45,0,0,0,10427,10279,20703,3170,3050,6225,224,179,411,15459,15155,30610,2031,1848,3871,38121,38165,76289
SED28301,19148,20165,39317,865,901,1769,140,170,316,6118,6517,12638,108,114,222,75,80,153,71,64,135,21,30,50,10,15,22,26,23,51,0,0,0,6569,7012,13583,1871,1970,3840,82,63,142,9389,9946,19336,908,962,1865,29445,31072,60513
SED28408,14507,15867,30371,1887,2002,3893,287,351,633,8474,9521,18000,217,249,459,100,121,218,91,86,175,63,62,123,60,45,110,24,33,56,0,0,0,9315,10463,19779,709,745,1453,249,223,472,12157,13438,25597,1641,1761,3402,28305,31064,59369
SED28507,19171,19553,38719,1892,2017,3912,659,657,1319,12296,12702,25002,284,333,620,160,168,332,199,194,395,88,94,179,71,53,119,48,54,100,0,0,0,13805,14259,28061,3350,3654,7001,312,271,586,19357,20205,39560,2635,2579,5213,41157,42334,83492
SED28607,19109,20145,39259,2452,2454,4899,421,464,885,7890,8428,16316,250,287,535,106,86,196,185,184,365,54,67,126,43,47,95,81,75,154,0,0,0,9034,9633,18664,1546,1573,3112,209,187,402,13230,13846,27075,1492,1532,3020,33837,35517,69353
SED28704,24721,25279,49996,2629,2780,5403,368,379,755,14197,14870,29062,270,278,548,105,118,227,121,117,242,40,52,85,98,76,174,23,37,67,0,0,5,15224,15934,31156,1542,1743,3287,298,270,567,19687,20724,40414,1847,1876,3728,46261,47879,94145
