SED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
SED21106,0,0,0,3,0,0,3,98,0,0,0,5,0,5,6,3,0,0,0,0,0,0,0,12,0,11,17,23,51,36,102,109,15,26,14,29,13,0,15,460,35,162,93,35,17,7,37,46,4,19,13,11,7,0,19,497,0,3,5,5,10,28,31,23,4,9,19,21,15,6,3,188,0,0,0,3,9,8,27,12,0,6,13,14,0,0,0,98,0,0,4,19,9,6,12,0,0,5,0,0,0,0,0,56,0,4,25,40,76,45,46,17,7,10,3,3,4,0,8,285,0,0,0,0,0,5,7,0,0,0,9,3,0,0,0,36,6,43,11,11,11,12,36,17,9,3,11,10,0,3,8,188,6,15,64,117,178,184,269,130,21,14,28,36,18,4,20,1107,0,4,8,13,7,12,0,0,0,0,3,0,0,0,0,49,0,0,4,6,0,0,3,8,0,0,0,0,0,0,0,35
SED21203,8,0,7,5,0,0,28,347,0,0,0,32,61,875,954,791,250,249,129,300,104,9,59,3808,0,4,12,8,3,0,3,11,0,0,0,0,0,0,3,52,51,668,802,122,44,17,23,36,7,0,3,0,0,0,89,1873,0,0,0,0,0,3,17,0,4,3,0,0,0,0,0,41,0,0,0,0,3,0,23,8,3,0,0,0,0,0,0,40,0,8,136,573,494,419,677,329,76,70,80,52,19,14,112,3059,0,0,3,10,18,10,41,33,14,14,21,11,5,0,12,183,0,0,0,0,0,6,441,317,78,209,283,284,89,7,13,1736,0,26,6,0,3,0,7,0,0,0,0,0,0,0,0,52,4,3,3,37,88,118,221,173,12,18,12,11,3,5,29,739,0,0,24,20,12,13,7,3,0,4,0,5,0,0,3,100,0,0,0,3,47,125,599,826,227,229,300,319,141,23,77,2904
SED21303,12,16,14,16,5,3,6,193,0,0,0,9,11,19,19,3,4,4,0,0,0,0,4,75,0,3,14,20,32,32,80,65,16,17,7,21,3,8,7,335,59,846,925,160,35,31,69,110,27,21,29,20,4,0,57,2390,0,0,0,10,14,38,70,39,14,11,16,23,4,0,5,242,0,0,0,0,20,20,35,31,14,10,15,6,0,0,5,166,0,7,140,322,103,49,33,17,6,3,3,11,0,0,28,725,0,3,15,67,101,79,165,107,50,24,36,40,17,0,4,706,0,0,0,3,0,6,69,71,27,83,132,94,21,6,9,515,0,11,7,6,16,12,21,30,5,0,8,12,0,0,0,138,0,9,21,81,159,245,488,382,74,83,93,93,38,35,39,1828,0,7,14,13,10,3,7,4,0,0,0,0,0,0,0,58,0,0,0,3,6,21,43,61,7,11,15,26,10,3,0,197
SED21401,115,70,70,89,48,54,20,1765,0,0,0,0,3,23,27,18,3,4,0,0,0,0,0,77,0,5,10,3,16,5,13,12,0,0,0,0,0,0,7,78,131,1067,530,83,28,19,16,47,9,0,0,5,0,0,80,2028,0,0,0,17,13,18,39,13,5,9,0,0,3,0,0,114,0,0,0,9,46,73,238,92,6,19,6,10,18,0,11,528,0,11,71,99,71,24,12,8,0,0,3,0,0,0,9,317,0,14,66,207,513,271,684,365,80,108,89,75,31,5,35,2555,0,0,0,0,0,3,12,8,4,0,10,3,0,0,0,39,5,52,12,4,3,5,20,7,0,9,0,0,0,0,0,117,3,5,34,51,88,120,135,72,7,12,10,21,16,12,14,598,8,38,65,46,21,14,4,4,0,0,0,0,0,0,0,185,0,0,0,6,19,32,41,90,19,22,18,34,6,3,0,289
SED21503,25,23,21,21,6,5,3,484,0,0,7,6,3,39,34,29,0,0,3,0,0,0,0,125,0,4,15,16,35,14,44,30,6,9,7,4,0,3,0,186,27,464,426,56,28,18,21,34,5,11,9,6,0,0,49,1141,0,0,0,0,4,19,23,5,4,3,3,7,0,0,0,72,0,0,0,0,4,3,75,34,0,4,4,9,0,0,0,132,0,7,29,60,48,30,29,12,0,3,14,4,5,0,4,250,0,0,17,46,150,69,168,96,44,56,49,47,15,0,8,766,0,0,0,0,0,15,18,11,10,15,19,16,0,0,0,112,4,44,11,3,3,3,8,3,0,0,0,0,0,0,0,84,5,3,22,62,78,100,137,95,11,12,16,16,5,10,21,579,0,22,217,179,139,66,31,12,4,0,3,6,5,0,16,691,0,0,0,3,9,8,19,50,11,17,16,33,9,0,4,186
SED21608,0,0,0,0,0,0,0,35,0,0,0,0,0,7,3,5,0,0,0,0,0,0,0,8,0,5,21,18,14,17,27,19,0,0,0,0,0,0,0,124,3,51,27,15,3,4,6,10,0,0,0,0,0,0,7,130,0,0,0,0,5,6,12,3,0,5,0,0,0,0,0,36,0,0,0,0,3,0,12,4,0,0,0,0,0,0,0,27,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,12,0,0,8,9,23,3,18,10,6,0,3,3,0,0,4,98,0,0,0,0,0,0,10,13,8,22,17,21,5,0,0,95,8,217,23,19,15,9,15,7,0,0,0,0,0,0,19,333,0,6,35,106,142,126,110,83,8,3,14,12,5,0,25,681,0,0,5,0,6,5,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,25,26,5,0,14,9,3,0,9,88
SED21706,23,10,3,14,8,3,4,314,0,0,0,0,0,3,14,7,0,0,3,0,0,0,0,39,3,16,15,11,20,17,42,24,0,3,8,0,0,0,4,156,23,155,135,24,13,12,17,14,3,0,8,5,0,0,22,433,0,0,8,7,23,25,46,27,5,4,4,11,3,0,0,163,0,0,0,12,26,68,187,79,10,6,11,17,4,0,3,433,0,0,8,14,9,9,8,0,0,5,0,0,0,0,0,56,3,5,66,120,398,198,353,181,68,76,54,50,22,0,26,1616,0,0,0,0,0,7,15,12,3,18,20,13,4,0,0,95,5,35,16,7,5,8,18,11,0,5,0,0,0,0,5,117,9,14,42,102,130,132,228,103,13,13,24,28,14,10,9,857,0,4,9,0,0,7,4,0,0,0,0,0,0,0,0,30,0,0,0,0,13,3,19,24,9,16,23,11,16,6,4,143
SED21805,5,0,3,4,0,0,0,71,0,0,0,5,0,6,8,3,9,0,4,0,0,0,0,28,0,9,38,29,57,15,50,70,4,0,9,4,0,0,8,288,19,83,122,29,16,9,16,23,3,3,0,0,0,0,12,338,0,0,0,0,8,10,18,3,0,0,0,0,0,0,0,43,0,0,0,0,8,8,29,3,7,0,0,0,0,0,0,62,0,3,10,24,12,12,13,11,3,0,0,0,0,0,3,89,0,5,9,20,54,33,68,13,5,4,4,0,3,0,3,218,0,0,0,0,0,3,10,6,0,7,4,3,0,0,0,37,4,156,36,19,19,10,17,3,6,0,0,0,0,0,21,296,0,11,52,170,324,282,408,262,29,20,26,14,4,8,39,1661,0,3,6,14,6,4,9,0,0,0,0,0,0,0,0,41,0,0,6,4,9,14,18,8,9,0,8,0,0,0,0,62
SED21906,0,7,6,6,4,0,0,89,0,0,9,4,3,5,3,0,0,0,0,0,0,0,0,24,0,3,17,16,32,22,107,113,53,48,79,74,32,0,4,597,18,92,70,25,14,16,23,71,17,11,3,3,11,0,11,387,0,0,0,18,24,37,82,59,25,3,17,38,13,16,14,335,0,0,0,3,17,19,36,27,15,10,5,5,4,0,0,134,3,0,11,16,8,3,0,0,0,0,4,0,0,0,0,42,0,0,17,56,82,52,90,61,21,22,28,16,14,0,7,464,0,0,0,0,0,4,16,45,32,48,69,72,8,0,7,305,6,17,10,5,9,11,13,17,3,4,3,0,0,0,0,99,8,9,36,115,190,148,247,181,51,43,47,47,13,19,15,1160,0,0,4,0,5,6,7,6,3,0,0,0,0,0,0,23,0,0,0,0,0,6,11,16,3,14,16,8,0,0,3,78
SED22005,5,10,5,14,0,0,5,131,0,0,0,4,3,25,20,17,0,0,0,0,0,0,4,71,4,6,11,10,25,7,32,36,4,6,0,5,0,0,4,164,8,349,415,58,21,6,27,30,14,9,12,7,4,0,51,1007,0,0,4,0,18,47,91,40,15,8,4,11,0,6,0,248,0,0,0,0,21,48,226,127,28,28,43,18,11,0,15,567,0,5,33,55,41,15,25,6,0,0,0,0,0,9,4,185,0,5,14,65,162,79,210,237,163,196,221,149,32,0,46,1584,0,0,0,0,0,5,49,49,33,77,109,94,13,0,5,422,0,35,16,4,10,5,14,0,0,0,0,0,0,0,5,92,0,6,18,51,117,145,204,110,16,17,21,27,7,7,20,754,0,4,10,22,3,3,0,6,0,0,0,0,0,0,0,44,0,0,0,9,15,28,50,77,35,35,39,30,16,0,9,335
SED22105,31,26,10,27,8,7,0,427,0,0,0,0,3,39,59,43,16,4,3,4,0,0,0,177,0,0,36,40,28,6,30,50,10,9,6,0,0,0,9,219,9,87,140,29,12,10,22,17,0,0,3,7,0,0,20,371,0,0,0,0,0,15,35,6,4,3,4,4,0,0,0,78,0,0,0,0,6,6,79,29,4,7,7,5,0,0,4,141,0,0,7,26,33,35,29,15,4,4,4,0,0,0,0,161,0,0,8,15,67,51,223,107,41,17,26,9,0,0,8,570,0,0,0,0,0,24,181,113,19,11,34,32,12,0,9,452,12,189,42,19,27,3,14,5,0,0,0,0,0,0,7,321,6,3,25,153,352,524,994,752,95,105,108,125,28,34,83,3384,0,0,11,23,34,26,30,8,4,3,0,0,4,0,10,151,0,0,0,0,13,56,351,563,79,111,116,83,44,25,19,1451
SED22201,16,17,18,15,4,3,5,358,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,17,5,9,25,41,27,10,16,17,0,0,0,0,0,0,6,152,7,103,79,20,5,3,9,13,3,6,0,0,0,0,19,273,0,0,3,6,4,4,10,11,0,0,0,0,0,0,4,51,0,0,0,0,12,12,71,28,3,0,3,0,0,0,0,132,0,0,5,9,9,7,10,8,0,0,0,3,0,0,0,53,0,6,10,31,61,37,177,128,36,28,20,19,5,6,7,564,0,0,0,0,0,0,26,19,5,4,6,5,0,0,3,62,8,211,56,30,12,14,3,7,0,0,0,0,0,0,9,350,6,3,42,104,155,114,112,86,16,10,3,8,5,0,11,677,0,3,8,0,3,0,8,0,0,0,0,0,0,0,0,23,0,0,0,0,9,7,13,17,0,3,9,3,0,0,0,56
SED22305,46,69,25,29,19,4,5,751,0,0,0,0,0,69,51,85,11,13,6,3,7,0,3,246,0,0,13,16,23,3,11,14,0,0,0,0,0,0,4,95,28,246,347,58,17,9,9,17,0,4,0,3,0,0,34,776,0,0,3,0,4,5,24,6,0,3,3,0,0,0,0,43,0,0,0,0,8,23,109,37,3,8,0,0,0,0,0,195,0,0,56,138,82,56,47,38,11,7,0,11,6,0,13,470,0,3,6,22,93,54,175,132,86,97,95,69,13,0,14,848,0,0,0,0,0,0,19,16,6,20,16,20,10,0,5,105,11,166,21,3,12,0,9,5,0,3,0,0,0,0,18,247,0,4,17,75,153,165,293,209,24,38,32,18,11,16,42,1095,0,6,67,199,236,208,128,44,4,4,0,5,0,0,26,929,0,0,0,3,20,49,294,854,131,148,173,194,89,73,34,2063
