SED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SED21106,0,0,0,20,27,22,32,15,15,8,4,10,0,7,0,161,22,61,40,44,126,20,15,18,4,3,0,3,0,0,13,363,0,0,3,21,27,30,47,31,17,10,8,12,11,4,3,223,0,4,14,67,169,132,209,50,18,33,11,34,4,5,11,760,3,4,22,38,37,33,20,12,4,0,0,0,0,0,4,187,0,0,0,0,10,8,6,8,6,0,4,3,0,0,0,52,0,0,0,4,5,12,40,40,3,6,6,7,4,0,5,124,84,236,437,417,421,374,831,544,101,118,123,149,50,23,73,3988,0,0,23,41,45,75,145,106,24,15,29,64,23,18,14,629,0,0,0,44,35,18,28,20,11,10,0,10,15,0,4,202,96,192,218,443,468,539,533,391,101,127,125,158,83,8,72,3549,346,955,1388,1610,2118,2043,3171,2156,523,639,626,792,401,104,377,17233
SED21203,0,0,3,22,251,182,180,126,11,24,35,62,17,11,16,943,7,3,15,9,45,17,8,0,0,0,0,0,0,0,5,117,0,0,0,5,10,12,39,14,0,10,0,0,4,0,0,98,0,0,5,0,11,6,11,3,3,3,0,0,0,0,4,47,0,5,17,14,65,129,170,101,30,31,47,46,17,4,16,690,0,0,0,0,0,0,4,9,0,0,4,0,0,0,0,23,0,0,0,4,14,16,46,24,25,6,3,9,0,0,14,173,13,68,192,68,54,27,78,50,3,0,5,4,0,0,38,600,0,0,0,4,9,11,19,15,10,10,0,3,3,0,0,90,0,0,5,90,385,201,140,92,23,10,18,29,7,0,67,1072,38,245,922,1612,1484,1320,1360,1020,802,406,323,279,65,23,384,10278,154,1235,2696,2834,3484,3965,6408,4962,1749,1573,1609,1701,565,118,1110,34147
SED21303,0,0,7,17,75,55,78,74,29,15,38,46,3,3,7,448,3,5,12,11,39,14,11,9,0,0,4,3,0,0,0,121,0,0,0,13,26,45,74,41,7,10,14,11,8,6,5,256,0,0,5,19,35,49,89,30,8,3,8,8,8,0,0,257,0,5,8,20,48,32,49,26,12,8,9,14,9,0,4,251,0,0,0,0,18,9,35,31,7,8,14,10,8,0,0,140,0,0,0,5,19,30,50,22,5,11,5,12,0,0,4,168,18,101,235,214,281,316,609,417,96,117,102,105,52,20,56,2752,0,0,15,37,73,91,154,148,29,51,33,71,32,9,13,764,0,0,4,77,146,79,50,50,27,9,21,32,6,0,10,516,30,118,292,394,382,434,588,585,191,229,245,295,81,15,55,3930,136,1457,2755,1792,2034,2220,3651,2999,880,987,1141,1240,440,135,407,22275
SED21401,0,0,8,33,81,38,66,63,20,8,17,18,13,0,12,375,15,12,14,16,40,5,3,4,0,0,5,0,0,0,0,106,0,0,14,28,68,81,184,47,18,14,13,8,4,6,3,479,0,0,7,36,79,84,164,75,15,8,17,13,16,6,6,526,0,8,16,14,147,97,103,50,22,21,17,21,10,0,7,543,0,0,0,3,108,143,101,59,17,5,16,12,0,3,5,468,0,0,0,7,14,23,44,33,0,4,7,15,4,0,5,159,59,151,268,144,123,92,208,105,5,12,12,29,8,0,36,1256,0,5,8,18,17,32,56,49,7,9,11,11,9,3,10,246,0,0,3,242,251,69,51,31,8,13,4,15,8,3,23,723,97,269,277,374,335,281,367,261,81,80,63,83,38,12,61,2675,440,2412,2864,2119,3970,3650,6359,4235,914,907,875,1022,483,161,625,31032
SED21503,0,0,0,40,146,55,90,101,12,18,18,28,3,0,8,533,5,8,12,7,57,15,13,4,0,0,5,0,0,0,4,129,0,4,8,5,17,22,66,20,6,4,13,9,4,0,0,179,0,0,4,19,27,27,49,44,9,0,8,12,4,0,0,205,0,7,10,30,164,197,183,136,28,53,54,77,47,5,14,999,0,0,0,0,8,31,25,23,4,3,4,8,0,4,0,107,0,0,0,7,21,27,50,29,5,3,11,11,8,0,0,164,33,126,315,184,161,126,179,105,18,16,13,10,4,4,39,1327,0,5,7,11,9,24,34,34,8,6,6,14,10,0,3,167,0,0,0,81,190,93,111,179,37,47,21,49,18,0,6,824,31,143,237,267,286,409,434,301,107,90,83,130,29,7,49,2603,166,1066,2095,1335,2113,2067,3817,2634,635,762,914,1063,349,64,405,19476
SED21608,0,0,0,13,21,24,56,90,20,12,10,32,9,0,5,287,8,5,4,0,18,3,3,5,0,0,0,0,0,0,0,44,0,4,0,11,8,4,10,0,11,0,0,0,0,0,6,54,0,3,3,17,12,19,47,20,0,0,0,6,0,0,5,142,0,0,0,4,9,14,16,32,7,5,6,9,3,0,0,110,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,21,0,0,0,0,3,7,31,14,3,0,0,3,0,0,3,76,55,252,641,390,253,134,267,124,13,19,17,17,13,9,72,2269,0,3,5,32,16,25,46,32,0,4,3,4,0,0,14,175,0,0,0,4,3,0,9,15,5,8,3,8,0,0,5,64,21,88,153,130,113,73,169,120,23,32,23,19,12,3,27,1010,138,759,1037,844,744,546,1242,959,218,191,246,323,119,19,262,7650
SED21706,0,0,0,20,79,57,68,60,17,38,42,54,15,4,9,468,7,11,21,24,74,18,23,5,0,3,0,0,0,0,6,187,0,0,11,34,65,54,110,58,10,21,20,16,5,4,5,401,0,4,10,37,74,55,127,58,20,16,3,15,0,0,0,417,5,17,30,76,184,137,261,155,62,65,118,116,48,7,21,1297,0,0,0,4,31,55,55,39,8,14,14,10,6,0,3,240,0,0,5,14,19,44,53,26,4,15,10,3,5,0,8,208,57,187,360,256,235,192,407,197,20,26,21,40,15,5,50,2063,0,7,10,24,30,47,82,49,20,13,12,21,13,3,6,324,0,0,7,253,236,76,94,86,26,39,30,55,18,0,17,934,45,134,183,292,315,338,461,284,91,75,116,121,52,8,51,2563,190,848,1553,1702,2917,2935,5647,3534,934,1097,1199,1486,587,118,481,25231
SED21805,0,0,0,19,174,138,202,115,52,36,38,40,16,0,9,829,3,8,12,13,86,39,23,6,4,0,0,0,0,0,4,208,0,0,5,9,20,6,16,9,0,5,3,0,0,9,0,84,0,0,0,36,85,86,226,134,21,18,20,14,9,0,10,676,0,3,38,47,110,93,81,39,9,8,7,13,0,0,6,441,0,0,0,0,3,16,10,11,0,0,6,0,3,0,0,53,0,0,0,4,23,18,68,51,23,13,22,15,0,0,3,245,79,322,949,688,482,252,630,356,55,55,40,20,22,8,115,4073,0,0,13,18,33,39,64,37,9,10,12,4,3,0,0,234,0,0,0,29,58,38,49,31,0,3,5,0,0,0,0,221,27,107,249,367,463,482,656,335,86,48,43,50,27,3,61,3013,182,872,1886,1761,2419,2035,3720,2001,380,296,341,275,138,45,366,16712
SED21906,0,0,4,12,69,28,68,80,37,24,28,60,14,0,3,429,170,206,107,55,92,29,16,9,3,5,0,7,0,0,37,734,0,5,9,16,23,17,47,32,6,8,6,7,11,3,3,198,0,9,18,130,572,675,535,99,22,27,38,33,25,5,22,2205,0,0,21,47,46,38,57,24,3,14,12,22,3,9,9,291,0,0,0,0,6,25,15,36,8,3,15,3,3,8,0,126,0,0,0,4,9,18,34,44,7,15,16,16,5,5,3,170,66,164,308,283,228,229,514,343,59,92,91,85,39,15,55,2574,4,7,27,64,70,104,184,156,34,38,41,26,16,22,22,817,0,0,0,34,48,22,49,44,15,19,29,31,13,5,5,300,262,556,339,818,912,1086,907,611,163,195,219,260,113,51,121,6610,718,1365,1434,1930,2813,3013,4045,3043,899,1061,1298,1513,546,199,481,24355
SED22005,0,0,0,63,247,127,186,166,51,64,96,136,35,15,15,1192,3,6,26,27,102,28,28,11,0,0,0,4,0,0,9,249,0,0,0,7,27,34,88,46,15,11,18,14,6,0,0,267,0,0,11,34,53,66,123,52,7,14,12,23,10,4,5,409,0,5,51,138,248,166,246,151,68,96,80,128,52,11,29,1476,0,0,0,0,7,26,41,52,14,20,33,34,5,0,14,239,0,0,0,5,78,50,148,134,52,22,32,30,10,6,13,585,30,111,230,143,137,89,209,128,34,23,28,17,5,4,46,1237,0,0,3,9,13,12,49,37,14,18,4,20,6,0,3,192,0,0,4,548,1452,780,635,513,120,124,117,119,60,17,167,4652,31,126,397,945,1371,1243,1186,824,210,192,227,262,72,34,182,7315,124,1050,2851,2963,5014,4244,7495,5519,1775,2016,2547,2803,869,188,1155,40611
SED22105,0,0,0,24,228,280,1206,787,130,129,126,175,52,12,38,3183,4,7,7,7,94,38,47,19,0,0,0,0,0,0,3,227,0,0,5,11,25,18,104,55,5,8,9,11,0,0,3,255,0,0,5,43,95,55,264,100,21,10,10,19,4,5,9,640,0,5,36,71,282,531,1839,960,133,138,149,144,62,13,34,4403,0,0,0,0,0,14,8,16,11,6,14,11,3,0,0,86,0,0,0,3,51,62,127,79,15,13,26,12,5,0,10,404,63,268,786,638,473,177,558,213,39,28,12,14,6,0,94,3362,0,6,5,20,11,26,77,47,13,18,9,4,0,3,6,242,0,0,0,33,86,99,138,77,21,22,21,13,6,0,13,527,28,95,321,543,1147,1315,2820,1122,207,249,204,203,71,39,154,8524,154,784,1678,1920,3593,4806,19600,10849,1985,2021,2050,2205,788,311,858,53603
SED22201,0,0,0,13,51,36,100,68,4,10,8,8,7,3,10,321,0,5,10,9,33,19,7,6,0,0,0,0,0,0,0,82,0,0,4,13,13,26,45,19,3,8,0,6,0,0,0,152,0,0,13,48,89,80,124,38,5,14,15,14,9,6,0,469,0,5,28,30,28,24,104,45,9,16,8,10,0,4,4,313,0,0,0,0,7,9,24,22,3,0,0,4,0,0,0,76,0,0,0,3,12,17,57,40,7,8,21,9,0,0,3,189,104,354,913,533,339,172,328,134,9,13,11,12,7,0,79,3010,0,0,10,25,23,39,47,26,0,0,3,6,6,4,3,198,0,0,0,41,35,27,38,22,4,4,3,12,4,0,7,192,45,122,151,159,229,202,731,648,123,107,201,143,26,4,57,2938,236,1003,1538,1234,1418,1153,3508,2367,453,427,475,436,131,46,276,14689
SED22305,0,0,0,30,173,171,255,206,67,72,97,116,28,4,20,1250,13,8,32,41,213,89,29,8,6,0,0,0,0,0,11,456,0,0,0,4,31,16,45,21,6,4,15,5,8,0,5,155,0,4,5,47,94,31,41,14,9,7,0,0,4,0,3,246,3,9,57,126,373,536,1043,887,159,208,285,332,79,6,95,4183,0,0,0,0,17,6,12,13,5,6,10,0,3,0,0,73,0,0,0,0,50,27,67,61,13,11,12,3,9,0,16,265,27,183,374,237,118,36,70,26,4,4,4,0,0,0,66,1151,0,0,3,0,6,8,22,18,3,0,0,7,5,0,6,82,0,0,0,126,470,324,372,249,45,33,40,28,12,10,58,1772,29,107,513,804,1327,1966,1854,762,197,194,218,192,56,26,228,8468,146,938,2121,2339,4286,5241,9562,8099,1538,1741,1931,2282,731,341,1028,42301
SED22404,0,0,4,5,26,11,21,24,3,9,5,8,9,4,13,130,3,8,9,3,22,9,18,6,0,0,0,0,0,0,0,72,0,0,3,12,3,3,0,10,4,7,0,0,0,0,0,41,0,0,7,37,32,24,61,12,8,4,0,0,0,0,12,205,0,0,15,11,0,11,10,0,3,0,0,0,0,0,0,59,0,0,0,0,0,7,0,4,0,0,10,8,3,0,0,30,0,0,0,0,3,8,18,24,4,0,8,3,3,0,0,84,90,400,964,494,352,213,344,101,14,7,8,17,8,3,160,3196,3,5,17,28,15,26,46,12,3,3,4,8,10,0,0,186,0,0,0,4,4,3,4,0,0,0,3,7,5,0,4,38,47,104,152,109,114,103,98,78,15,15,16,20,6,3,29,895,254,983,1557,1048,966,691,951,474,96,80,80,113,73,27,324,7708
