SED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SED23402,7449,4085,4281,4240,3429,2437,1258,448,90,27731,948,777,975,1066,1111,1109,951,563,135,7634,48,85,146,181,249,387,414,364,107,1970,3,3,18,21,72,156,277,214,124,891,998,869,1134,1266,1431,1657,1640,1134,364,10496,713,427,423,415,387,317,211,132,49,3066,9158,5381,5845,5922,5245,4412,3111,1712,512,41294,7465,3418,4298,4173,3389,2430,1391,517,129,27217,629,1000,1332,1233,1321,1234,1077,626,244,8692,39,175,274,313,403,444,519,378,175,2721,6,8,43,77,141,236,311,305,154,1271,675,1188,1646,1620,1859,1912,1905,1308,573,12686,662,414,407,418,413,312,232,163,92,3111,8813,5016,6352,6214,5659,4660,3523,1986,790,43013,14917,7500,8584,8413,6818,4869,2651,967,228,54948,1578,1782,2304,2299,2425,2347,2031,1185,376,16327,91,258,417,496,646,831,932,735,279,4688,4,15,58,103,208,398,583,519,280,2168,1678,2058,2784,2890,3286,3568,3550,2440,937,23183,1374,844,825,829,798,638,441,295,139,6179
SED23502,4026,2141,2004,1947,2100,2498,2172,814,159,17869,512,459,508,533,688,1132,1622,927,234,6617,47,61,92,102,194,446,748,533,143,2367,0,0,13,24,91,261,521,399,123,1430,561,521,614,671,970,1840,2896,1852,505,10413,564,323,301,321,379,467,474,274,107,3213,5151,2978,2921,2934,3451,4805,5544,2944,766,31494,3976,1805,1931,1961,2175,2525,1985,792,213,17360,415,522,693,727,863,1342,1598,947,334,7447,29,111,171,204,305,533,772,541,200,2876,0,7,24,55,148,333,494,369,146,1584,443,639,891,985,1320,2217,2867,1863,679,11903,521,298,313,298,392,421,452,280,161,3138,4939,2741,3139,3243,3887,5163,5297,2938,1055,32402,8002,3946,3937,3909,4278,5023,4156,1606,374,35233,925,979,1203,1262,1560,2478,3224,1869,571,14066,79,172,262,305,497,985,1522,1076,346,5243,0,9,40,85,241,598,1012,774,267,3017,1004,1155,1506,1651,2290,4056,5753,3713,1185,22320,1086,617,620,615,768,892,932,559,265,6356
SED23602,4077,2169,1951,1982,2197,2319,1731,588,109,17114,561,489,477,571,756,1136,1341,681,184,6197,41,63,70,117,202,381,634,438,138,2086,3,8,11,30,86,224,413,334,120,1217,603,554,556,716,1044,1742,2383,1452,444,9505,499,339,627,590,429,427,377,189,92,3558,5181,3065,3133,3280,3673,4487,4484,2221,645,30167,3821,1798,1773,1908,2276,2336,1686,611,179,16386,411,564,649,739,909,1161,1363,771,274,6837,27,107,197,213,328,528,636,420,197,2655,0,10,25,67,158,295,419,303,174,1452,437,677,870,1017,1400,1986,2421,1491,643,10941,502,286,259,328,321,361,358,202,113,2715,4757,2758,2903,3249,3996,4682,4459,2306,931,30048,7901,3966,3725,3883,4473,4657,3409,1200,285,33504,970,1049,1127,1309,1671,2302,2703,1449,463,13036,70,170,265,330,533,913,1266,859,329,4745,3,14,39,96,243,514,829,637,294,2663,1040,1233,1430,1734,2445,3724,4808,2944,1084,20444,994,621,882,915,746,785,732,392,198,6273
SED23702,5482,3541,3258,2865,2781,2324,1346,497,93,22186,785,712,800,900,963,1160,1098,563,160,7138,53,96,120,192,286,457,555,362,141,2265,5,6,12,25,79,205,372,327,121,1155,842,817,934,1118,1322,1826,2025,1252,422,10557,573,364,346,401,396,384,255,117,46,2886,6905,4726,4543,4387,4501,4533,3627,1867,555,35631,5307,2648,2945,2808,2785,2440,1365,557,103,20960,571,879,1129,1102,1188,1319,1216,716,208,8322,37,156,251,283,443,562,688,397,153,2982,5,19,39,78,161,326,397,343,211,1572,618,1052,1421,1464,1789,2204,2301,1461,572,12877,551,341,283,338,391,301,246,156,58,2675,6475,4039,4651,4607,4963,4942,3906,2174,744,36506,10795,6193,6202,5676,5566,4761,2704,1054,197,43147,1359,1592,1933,2003,2150,2478,2313,1278,362,15462,95,255,376,480,727,1013,1239,764,294,5244,4,25,51,103,237,535,776,671,336,2729,1462,1866,2355,2582,3113,4025,4328,2712,991,23432,1125,706,635,741,784,690,503,274,105,5555
SED23806,4200,3657,3961,3035,2814,2189,1304,565,118,21857,404,642,848,638,687,780,810,506,189,5497,10,55,110,97,124,165,275,247,122,1212,0,7,21,6,26,55,115,170,105,504,412,708,968,746,833,1003,1208,919,419,7217,242,249,310,229,246,182,151,83,37,1730,4861,4617,5246,4011,3891,3373,2663,1567,576,30794,4122,3331,3844,3325,3200,2408,1562,697,201,22697,283,934,1141,770,838,878,944,673,323,6789,11,133,212,120,153,210,356,318,219,1733,0,6,18,14,36,66,145,180,153,633,295,1072,1377,911,1029,1157,1448,1174,694,9148,216,253,297,243,219,200,168,111,68,1780,4635,4653,5514,4473,4449,3775,3176,1983,962,33623,8322,6992,7805,6363,6014,4603,2864,1265,325,44549,683,1575,1990,1406,1529,1659,1762,1177,508,12284,17,190,315,220,275,377,636,565,345,2944,0,11,39,28,56,122,257,350,261,1133,705,1781,2347,1653,1863,2161,2655,2092,1112,16362,460,499,607,471,468,378,318,193,101,3510
SED23901,5006,3091,3386,3501,2995,2295,1339,501,185,22297,469,538,772,829,815,902,901,528,246,5999,22,53,117,123,166,290,358,321,155,1609,3,4,12,19,50,123,194,248,124,780,491,595,905,972,1032,1308,1453,1098,525,8391,354,265,332,292,284,241,160,90,44,2064,5847,3959,4621,4771,4309,3849,2953,1688,762,32755,5064,2623,3234,3546,3144,2401,1411,641,253,22319,387,751,1059,928,906,1067,1046,708,387,7245,28,124,214,179,231,366,465,424,299,2322,0,3,20,40,66,154,242,267,264,1060,413,877,1294,1153,1211,1589,1747,1395,956,10629,319,230,270,289,254,218,202,108,64,1934,5789,3740,4792,4990,4603,4207,3358,2141,1264,34885,10068,5717,6620,7049,6144,4694,2754,1144,434,44622,854,1288,1833,1761,1723,1969,1943,1235,640,13244,49,180,329,302,395,653,823,744,456,3935,3,8,30,63,116,275,436,516,391,1840,904,1476,2198,2123,2238,2902,3202,2496,1482,19019,667,491,596,581,535,460,362,196,105,4005
SED24006,4710,4046,2633,2577,3256,2718,1469,654,211,22270,421,600,491,471,683,902,852,556,237,5221,12,63,78,62,118,227,310,296,133,1298,0,0,3,3,28,69,152,171,139,565,435,665,572,541,821,1191,1319,1017,513,7083,258,240,192,147,232,206,122,94,35,1530,5397,4952,3400,3267,4316,4116,2910,1763,759,30886,4591,3515,2450,3214,3854,2904,1700,751,278,23258,266,698,613,516,796,993,953,697,447,5983,13,80,106,80,136,227,349,364,256,1601,0,7,9,12,36,67,115,187,193,633,280,781,724,612,969,1286,1421,1247,895,8222,239,237,166,167,264,218,166,123,91,1663,5111,4531,3337,3997,5084,4406,3284,2126,1263,33144,9298,7556,5080,5796,7111,5620,3167,1405,484,45526,691,1300,1104,987,1473,1891,1809,1258,688,11206,26,141,183,141,255,452,655,662,388,2900,0,7,18,19,68,132,272,352,334,1197,721,1449,1301,1150,1794,2477,2737,2269,1410,15305,491,482,359,317,493,423,292,211,128,3195
SED24105,5886,4291,4754,4273,3467,2528,1468,558,151,27388,591,582,554,627,758,1045,985,632,156,5930,13,45,54,86,142,265,401,270,124,1392,0,0,9,9,52,122,218,264,105,787,604,628,619,725,955,1434,1601,1166,392,8111,455,277,378,314,267,280,173,115,34,2295,6939,5200,5747,5306,4690,4240,3242,1842,581,37791,5748,3835,4440,4423,3601,2492,1590,606,173,26902,389,610,576,697,896,1052,1108,660,278,6270,12,82,99,121,195,293,435,340,201,1771,0,6,17,25,60,125,246,264,187,919,403,692,695,843,1142,1478,1786,1265,666,8964,447,251,315,370,263,239,186,140,63,2279,6598,4784,5447,5634,5006,4209,3566,2009,903,38146,11633,8129,9195,8698,7068,5019,3055,1168,322,54291,977,1185,1128,1325,1653,2103,2096,1299,437,12204,19,123,161,206,334,557,835,609,328,3166,5,0,21,36,109,250,459,527,291,1703,1003,1320,1310,1564,2103,2907,3387,2433,1053,17082,900,533,694,683,533,523,358,253,106,4574
SED24207,9783,5154,5980,6535,4308,2545,1331,417,66,36112,947,749,778,1036,1128,1117,963,404,77,7190,36,54,95,161,234,344,426,230,59,1652,4,4,15,36,63,156,288,214,48,838,984,809,889,1239,1429,1618,1677,855,187,9681,854,782,1343,1142,732,400,257,135,49,5687,11620,6737,8214,8916,6471,4561,3269,1403,297,51479,9647,4692,6074,6531,4278,2487,1361,354,86,35505,591,803,947,1108,1228,1156,1119,479,140,7564,30,112,162,230,358,420,525,257,80,2169,0,3,18,44,121,222,337,210,78,1035,614,919,1122,1384,1702,1793,1984,952,296,10765,885,488,768,669,489,346,221,102,48,4026,11147,6107,7956,8586,6472,4624,3561,1402,436,50294,19430,9843,12050,13069,8581,5029,2689,774,152,71617,1530,1552,1717,2141,2357,2275,2075,880,221,14754,67,165,258,392,594,762,951,485,141,3819,4,10,33,82,185,380,623,428,127,1875,1604,1723,2009,2617,3136,3411,3656,1801,487,20448,1738,1270,2107,1815,1229,743,483,233,96,9711
SED24308,4774,3164,3744,2769,2606,1971,1165,503,137,20822,806,751,857,755,894,1033,983,534,199,6815,60,105,150,158,274,422,497,332,124,2127,0,8,18,39,123,241,387,281,138,1239,866,866,1024,957,1288,1696,1866,1143,458,10175,616,512,863,712,548,410,222,124,53,4055,6258,4547,5634,4435,4446,4073,3254,1769,645,35054,4885,2778,3215,2667,2454,1988,1320,530,155,19992,601,877,1152,1050,1057,1053,1074,658,287,7800,43,180,336,315,432,512,593,413,211,3031,0,12,40,82,202,327,441,370,266,1739,646,1069,1527,1437,1691,1892,2107,1439,762,12565,608,409,413,369,367,257,247,148,77,2893,6136,4257,5153,4480,4507,4138,3673,2118,992,35453,9664,5942,6954,5437,5057,3957,2483,1030,287,40817,1410,1631,2009,1806,1953,2082,2051,1187,480,14610,98,286,488,471,702,936,1095,741,336,5154,4,23,60,122,327,567,829,651,400,2972,1512,1942,2555,2396,2978,3584,3970,2584,1218,22737,1223,917,1276,1078,918,668,474,269,127,6953
SED24408,4058,2252,2228,1894,2117,2249,1516,616,180,17102,508,507,545,553,723,1109,1169,701,230,6045,44,61,94,128,191,441,599,370,149,2075,0,5,15,37,90,218,352,301,138,1150,553,573,646,716,996,1774,2117,1369,517,9270,478,283,283,259,276,359,342,213,97,2593,5089,3111,3159,2869,3388,4379,3970,2197,793,28965,3965,1818,1964,1873,2099,2215,1459,680,269,16334,383,579,718,699,795,1120,1222,816,385,6716,22,104,151,209,328,465,578,426,242,2533,0,12,40,57,142,306,337,326,214,1437,406,698,913,964,1262,1895,2134,1571,842,10685,421,273,233,247,289,295,300,257,164,2478,4791,2783,3105,3087,3652,4407,3894,2507,1281,29495,8019,4069,4187,3768,4212,4462,2970,1300,449,33441,895,1090,1259,1248,1515,2233,2383,1518,615,12763,62,166,244,341,513,908,1176,794,396,4608,6,16,53,91,233,526,690,630,348,2581,965,1272,1559,1683,2262,3668,4249,2942,1362,19955,900,554,515,506,569,653,646,467,264,5069
SED24504,4997,2523,1936,2662,3158,2563,1709,570,103,20220,609,504,422,733,965,1148,1210,643,148,6388,43,47,78,126,212,392,529,362,99,1896,0,4,11,26,53,165,276,274,78,894,648,557,508,885,1234,1710,2020,1281,329,9178,486,317,243,296,395,393,318,186,46,2676,6133,3399,2688,3840,4792,4660,4048,2038,481,32077,4954,2072,1825,2818,3218,2608,1680,538,114,19827,486,580,642,943,1144,1231,1272,639,225,7166,51,109,115,204,312,448,607,370,169,2385,5,4,15,40,107,184,281,243,139,1012,535,695,773,1186,1561,1867,2163,1248,531,10560,431,284,213,306,398,366,349,159,77,2580,5916,3049,2816,4310,5180,4843,4195,1947,715,32966,9953,4598,3760,5480,6376,5171,3390,1106,223,40046,1091,1083,1060,1680,2117,2380,2491,1278,371,13553,86,163,197,327,526,845,1137,732,267,4278,5,6,26,66,163,353,559,522,218,1910,1180,1252,1285,2073,2798,3579,4185,2530,862,19737,921,596,455,606,795,756,667,348,123,5252
SED24606,3845,3031,3475,2814,2734,2077,1276,660,165,20075,309,500,618,540,652,711,798,573,219,4930,12,34,75,66,89,162,294,288,138,1159,0,0,9,9,24,54,161,173,123,559,320,533,703,608,772,939,1252,1041,477,6639,262,227,282,205,242,194,153,128,72,1769,4431,3790,4454,3629,3749,3209,2682,1825,712,28480,3736,3010,3433,2919,3198,2445,1650,798,268,21464,231,725,842,665,748,769,1016,743,376,6112,6,91,152,113,130,202,326,318,230,1571,0,0,13,19,39,67,129,208,180,654,232,818,1008,801,917,1039,1470,1275,778,8340,243,234,263,221,228,208,186,152,129,1865,4213,4063,4711,3943,4341,3689,3297,2223,1177,31665,7582,6046,6905,5737,5929,4521,2921,1460,433,41537,539,1230,1461,1204,1406,1484,1812,1314,592,11042,17,122,229,174,224,368,625,611,359,2733,0,0,19,30,61,122,284,383,303,1207,554,1350,1710,1411,1687,1976,2726,2311,1255,14975,510,454,552,428,471,402,334,280,203,3633
SED24703,3786,10349,16773,6947,3258,2147,1209,413,87,44969,263,1458,2497,1407,808,862,713,363,107,8470,12,151,307,282,191,242,282,188,64,1712,0,8,30,38,56,108,173,136,65,614,272,1618,2837,1723,1054,1213,1167,689,230,10797,383,1069,1949,986,529,379,235,121,33,5682,4444,13037,21557,9656,4842,3736,2604,1219,352,61443,3655,11175,16268,6209,3210,2248,1318,399,126,44601,195,2345,2831,1392,875,865,760,409,151,9811,5,384,510,231,206,272,291,226,102,2229,0,21,49,41,70,114,140,151,111,696,198,2741,3385,1668,1151,1246,1190,783,363,12731,399,1216,1811,808,460,336,259,96,50,5425,4253,15131,21468,8682,4818,3841,2763,1272,535,62763,7442,21525,33039,13158,6467,4400,2525,808,212,89572,453,3801,5326,2796,1679,1721,1475,766,255,18280,19,533,822,514,398,514,568,412,163,3940,3,27,74,82,131,221,311,292,171,1308,475,4364,6220,3390,2207,2463,2356,1468,590,23530,782,2282,3759,1796,986,719,490,214,83,11103
SED24808,9464,4265,5209,5156,3344,2079,1192,374,69,31158,1238,826,1172,1318,1191,1162,1120,449,98,8576,92,121,193,257,343,445,588,319,67,2431,0,9,32,66,130,256,476,329,93,1402,1337,958,1395,1643,1667,1862,2187,1097,261,12405,1256,580,664,628,525,381,248,125,26,4430,12060,5801,7269,7426,5536,4320,3627,1591,360,47997,9483,3764,5354,4763,3039,2065,1268,375,98,30204,897,1115,1474,1485,1353,1260,1234,543,193,9554,78,237,461,482,524,651,688,380,158,3643,0,15,65,160,281,393,553,318,161,1939,977,1357,2002,2132,2150,2302,2472,1231,512,15134,1180,558,685,647,474,335,292,127,46,4347,11640,5677,8042,7537,5657,4702,4033,1735,661,49684,18953,8032,10560,9920,6386,4146,2460,749,169,61365,2140,1935,2648,2806,2544,2415,2348,992,291,18125,167,356,659,738,866,1091,1274,696,226,6075,8,25,100,225,408,647,1032,642,258,3341,2316,2316,3404,3770,3813,4161,4653,2332,774,27542,2435,1132,1357,1275,993,718,537,244,75,8777
SED24904,4729,2728,3175,2586,2402,2187,1375,549,143,19885,701,572,647,662,817,1112,1079,554,211,6353,37,65,123,129,239,404,511,361,115,1983,4,9,20,30,91,247,378,301,100,1185,737,645,792,822,1150,1761,1963,1213,427,9516,737,464,469,468,476,487,383,219,104,3803,6206,3841,4441,3876,4029,4437,3719,1974,675,33203,4738,2284,2879,2473,2384,2102,1393,539,238,19032,509,657,894,815,888,1139,1001,672,350,6929,38,156,174,220,325,476,555,378,187,2520,0,11,50,62,186,336,381,324,192,1542,548,819,1122,1099,1403,1943,1941,1379,729,10993,673,398,448,446,396,417,348,222,187,3540,5962,3508,4446,4023,4183,4471,3680,2139,1151,33565,9469,5012,6052,5066,4782,4294,2769,1087,380,38918,1208,1231,1542,1476,1703,2247,2077,1231,563,13279,75,223,301,349,566,879,1061,734,303,4505,4,20,67,95,283,584,756,625,289,2723,1288,1476,1914,1920,2554,3710,3898,2592,1155,20507,1412,865,921,908,879,904,729,435,291,7347
SED25003,5964,3861,4085,3974,3133,2361,1055,299,49,24785,555,598,704,762,835,1022,864,334,72,5762,24,53,88,97,208,314,381,214,75,1451,0,3,6,26,69,177,248,181,97,807,587,656,808,883,1110,1515,1493,723,245,8017,479,366,340,328,326,265,160,155,95,2510,7027,4878,5226,5186,4563,4144,2703,1178,387,35308,5785,3309,3864,3850,3298,2412,1006,304,51,23886,377,689,834,865,994,1209,920,350,122,6376,20,91,201,184,290,432,456,271,117,2060,0,10,16,52,111,223,277,232,209,1127,396,793,1051,1098,1401,1867,1657,857,451,9566,480,285,322,318,330,267,205,216,238,2667,6661,4383,5235,5264,5030,4546,2865,1383,739,36114,11748,7170,7950,7827,6433,4776,2059,605,99,48672,937,1292,1544,1626,1829,2232,1791,681,199,12136,44,138,285,279,498,745,839,483,194,3515,0,11,26,77,180,398,519,421,305,1938,981,1445,1850,1983,2506,3382,3150,1581,696,17583,957,649,660,644,656,529,362,374,335,5170
SED25102,4780,2571,2208,2627,2863,2215,1259,393,77,18985,545,585,555,759,875,989,983,459,103,5858,41,78,81,122,178,294,440,263,70,1559,3,3,7,19,49,129,219,198,72,694,587,667,643,902,1098,1411,1638,920,239,8106,411,258,246,224,290,249,179,81,31,1980,5780,3499,3094,3751,4257,3870,3075,1392,352,29081,4400,2197,1987,2680,2737,2143,1315,396,104,17968,469,708,746,924,994,1109,990,488,191,6631,31,98,165,225,322,373,452,262,118,2046,0,4,22,44,93,176,247,202,84,872,508,808,936,1188,1412,1657,1686,952,396,9545,315,228,214,230,235,268,179,78,47,1794,5223,3236,3140,4099,4389,4074,3176,1431,554,29305,9185,4771,4197,5303,5603,4356,2572,793,180,36958,1015,1292,1301,1685,1876,2094,1972,948,296,12484,76,173,243,349,496,669,891,530,189,3609,5,11,31,58,138,305,466,398,150,1563,1092,1478,1577,2086,2514,3067,3327,1876,638,17651,727,486,463,458,530,518,353,159,82,3778
SED25205,5303,2862,2541,3412,3348,2312,1226,468,160,21638,583,491,544,781,941,954,798,527,193,5812,13,46,77,98,188,308,369,286,122,1520,0,0,6,16,55,106,193,197,106,686,604,545,633,894,1185,1370,1358,1006,430,8015,372,226,231,256,292,244,149,102,48,1920,6278,3631,3406,4560,4826,3921,2737,1576,634,31571,5248,2577,2521,3561,3554,2413,1375,598,220,22058,358,676,810,957,1105,1059,976,703,349,7008,17,124,139,184,271,379,462,391,228,2196,0,6,20,38,69,164,216,264,235,1007,377,808,966,1178,1448,1604,1656,1361,813,10205,330,219,230,258,316,239,172,123,73,1966,5961,3597,3714,5003,5317,4255,3197,2080,1104,34226,10550,5434,5058,6974,6899,4726,2603,1066,379,43699,938,1173,1355,1738,2047,2013,1770,1230,541,12820,31,173,217,281,465,685,828,678,354,3714,0,6,22,55,127,266,411,458,344,1687,977,1350,1596,2078,2636,2969,3013,2365,1242,18214,712,445,464,514,609,484,317,222,123,3885
SED25302,4938,2785,1508,2369,3161,2350,1685,802,200,19803,591,545,385,588,859,956,1094,901,285,6196,42,51,49,94,146,294,509,504,210,1898,0,0,6,12,47,103,262,378,197,1006,631,591,442,693,1052,1356,1864,1789,689,9103,399,253,148,222,313,266,222,179,121,2131,5968,3638,2100,3283,4522,3973,3774,2768,1009,31037,4866,2463,1417,2668,3414,2531,2060,956,257,20633,415,647,464,789,1079,1087,1392,1168,433,7469,28,97,106,146,258,356,599,583,291,2463,0,5,12,29,79,126,334,395,316,1302,441,748,578,973,1418,1574,2321,2147,1036,11234,389,242,136,232,340,247,303,270,200,2359,5695,3460,2133,3873,5164,4349,4685,3370,1497,34221,9797,5252,2928,5043,6572,4877,3742,1758,461,40434,1005,1194,852,1379,1937,2043,2484,2067,715,13670,66,149,154,239,401,654,1107,1085,502,4363,0,0,13,50,121,233,594,779,513,2303,1070,1347,1020,1668,2464,2931,4189,3931,1722,20337,791,499,286,451,650,513,527,448,322,4489
SED25402,4784,2691,2810,2434,2305,2128,1365,478,119,19111,746,658,772,802,883,1190,1159,583,159,6956,64,110,154,166,254,464,622,388,113,2347,0,9,21,49,125,252,466,362,130,1409,809,776,950,1012,1264,1905,2245,1336,408,10711,740,411,446,397,421,427,330,224,116,3512,6343,3886,4205,3849,3984,4458,3942,2033,643,33338,4639,2358,2589,2390,2206,2189,1307,483,128,18307,575,847,1089,921,1023,1291,1229,708,283,7963,48,196,343,273,418,598,672,460,218,3220,0,18,55,110,210,408,515,404,203,1914,626,1060,1484,1302,1660,2294,2406,1569,701,13104,690,435,423,421,371,409,331,215,215,3511,5954,3852,4501,4116,4239,4894,4046,2277,1049,34916,9424,5052,5400,4826,4511,4318,2675,962,250,37419,1322,1500,1862,1726,1909,2477,2385,1295,440,14922,108,307,502,436,673,1063,1294,851,335,5572,0,31,73,151,337,658,975,769,334,3325,1435,1835,2439,2317,2922,4196,4654,2911,1107,23818,1435,849,868,817,789,839,663,438,332,7022
SED25501,5029,3946,3425,3478,3178,2422,1344,641,241,23693,427,478,407,474,652,815,813,690,316,5070,5,40,59,56,115,205,310,321,183,1287,0,5,6,17,22,64,135,207,175,621,440,518,467,542,786,1089,1253,1212,667,6978,238,275,244,222,233,184,107,94,60,1665,5705,4738,4137,4241,4194,3699,2702,1949,969,32335,4844,3285,2913,4083,3472,2570,1574,844,284,23856,260,548,424,455,716,871,901,836,408,5409,14,67,72,65,130,213,322,437,264,1586,0,9,7,11,47,64,135,272,220,753,275,625,500,532,895,1144,1362,1535,892,7753,249,228,233,209,227,195,154,133,91,1719,5367,4143,3641,4822,4590,3909,3083,2512,1264,33325,9870,7228,6336,7559,6639,4995,2913,1484,522,47544,689,1018,829,927,1370,1682,1713,1520,726,10481,22,114,130,122,243,420,627,754,445,2875,0,13,12,25,66,124,270,473,391,1371,710,1145,967,1077,1680,2235,2613,2749,1559,14734,490,503,479,431,466,382,258,222,152,3381
SED25605,4478,3185,3792,3386,2854,2041,1411,752,190,22082,428,431,466,538,660,803,884,762,252,5222,18,29,84,75,147,218,375,389,174,1498,0,0,10,18,38,103,217,293,158,836,450,460,559,625,847,1119,1471,1443,583,7562,320,279,318,258,246,224,186,170,104,2106,5246,3922,4673,4269,3946,3384,3072,2372,873,31752,4304,2650,3261,3333,2817,2084,1698,842,259,21253,312,458,478,570,733,872,1041,789,373,5624,10,68,84,111,191,290,426,422,285,1892,0,6,7,21,66,127,254,303,300,1085,325,532,568,702,990,1296,1726,1509,957,8598,305,199,266,246,235,233,227,183,152,2040,4930,3381,4093,4283,4049,3612,3648,2529,1368,31895,8778,5836,7053,6717,5674,4126,3108,1592,452,43335,748,893,942,1106,1394,1671,1924,1549,624,10850,27,93,169,188,339,508,799,807,455,3393,0,6,18,32,98,237,465,599,458,1919,774,996,1125,1323,1834,2416,3193,2956,1540,16161,622,481,587,500,483,452,411,357,254,4149
