SED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
SED21106,0,32,21,23,6,3,8,0,0,100,0,22,24,92,81,78,52,17,7,381,0,0,5,30,17,11,20,0,3,94,0,0,0,15,4,0,0,0,0,17,0,3,14,14,4,0,0,0,0,31,0,11,3,14,4,8,6,0,0,60,12,66,50,51,51,43,17,12,0,299,0,5,9,26,17,11,0,7,0,75,0,0,0,13,15,9,10,7,0,54,0,0,0,9,6,10,3,0,0,25,7,60,58,369,234,182,192,145,57,1303,33,145,95,314,196,127,107,80,48,1141,1275,3920,3653,6771,4584,4022,2956,1728,698,29617,0,0,0,3,0,0,0,0,0,0,1219,2861,2843,4707,3468,2908,2097,1280,761,22140,0,0,0,0,0,3,0,0,0,8,0,0,0,11,5,3,0,0,0,28,0,4,3,45,21,0,6,0,0,76,0,0,0,4,3,0,0,0,0,8,0,11,3,71,38,17,8,0,0,157
SED21203,4,4,3,13,7,9,0,0,0,47,0,0,7,11,5,0,3,4,0,24,0,16,44,164,46,67,38,9,6,385,0,0,0,5,0,0,0,0,0,7,0,5,9,29,3,6,0,0,0,48,3,30,64,441,477,580,265,195,21,2073,3,11,4,18,4,4,0,0,0,47,0,9,13,134,104,145,63,21,3,495,0,0,0,0,0,0,0,0,0,8,0,0,0,5,5,0,0,0,0,11,17,237,250,765,369,339,245,139,52,2409,195,436,383,979,337,309,156,122,44,2951,2673,5327,5398,11750,4220,3922,2347,1521,598,37760,0,11,9,27,6,5,0,0,0,65,2254,3662,3260,4159,1396,1151,592,438,237,17155,0,15,21,129,35,14,14,0,0,222,0,0,0,23,7,18,11,9,4,67,0,0,0,11,0,0,0,0,0,13,0,0,5,4,0,3,0,0,0,12,0,3,3,5,6,0,0,0,0,21
SED21303,6,4,14,54,25,3,4,0,0,111,0,0,11,83,18,10,7,3,0,131,0,0,10,74,17,15,6,5,0,124,0,0,0,47,0,0,3,3,0,59,0,0,7,32,7,0,0,0,0,53,0,5,0,64,35,47,33,12,0,199,6,21,20,195,49,19,13,0,0,328,0,6,21,67,29,35,30,8,0,188,0,0,3,18,8,0,0,0,0,30,0,0,3,14,4,0,0,0,0,25,9,39,70,716,136,107,87,63,21,1253,47,60,99,559,136,116,95,59,37,1200,1654,2915,4106,15675,4315,3097,2029,1232,558,35576,0,0,3,3,0,0,0,0,0,4,1471,2566,3680,10771,3192,2213,1105,387,222,25610,0,4,4,27,3,0,3,0,0,46,0,0,0,7,6,5,3,0,6,24,0,3,4,104,14,0,0,0,0,125,0,0,0,3,0,5,0,0,0,13,3,3,5,132,21,6,8,0,0,181
SED21401,4,15,24,68,32,25,19,18,0,202,0,8,30,62,42,44,34,16,4,241,0,10,20,101,33,47,31,13,6,269,0,10,10,107,22,23,28,12,0,209,4,0,8,25,0,0,3,0,0,43,0,0,3,14,19,23,6,9,5,68,0,14,18,34,19,16,8,6,0,120,0,3,16,56,75,100,51,14,3,314,0,0,4,5,0,4,3,0,0,28,0,0,4,13,7,9,0,4,0,30,8,48,61,233,115,153,119,117,74,917,41,86,95,270,116,113,101,105,64,989,1521,3626,3994,8135,4077,3950,3129,2737,1195,32367,0,0,0,4,0,0,0,0,0,5,1393,2744,2532,3169,2191,1745,1298,1356,698,17129,0,0,0,7,4,0,4,0,0,15,0,0,0,5,0,4,4,0,0,12,0,0,3,11,10,5,0,0,0,25,0,0,0,9,8,13,0,5,0,37,0,0,3,19,12,3,4,0,0,45
SED21503,0,3,14,39,9,11,7,3,0,85,0,3,13,38,19,11,4,4,0,98,0,7,56,194,71,83,56,25,7,497,0,0,7,27,0,5,0,0,0,44,4,6,8,16,5,4,0,0,0,51,0,0,0,15,7,11,4,3,0,41,5,10,14,27,17,4,5,0,0,76,0,22,55,118,70,68,43,13,0,385,0,0,0,0,6,0,3,0,0,20,0,0,6,8,3,0,5,0,0,23,10,51,71,349,151,122,115,63,27,957,46,89,223,370,110,117,103,88,36,1176,1679,3426,4304,8890,3963,3265,2628,1650,576,30385,0,0,3,8,0,0,0,0,0,14,1475,2678,2887,4866,2697,2011,1576,1044,485,19721,0,0,8,26,9,4,0,0,0,47,0,0,0,14,14,22,7,6,0,60,0,0,8,21,0,5,0,3,0,35,0,0,3,3,4,3,7,0,0,25,0,4,3,24,10,8,0,0,0,46
SED21608,0,3,0,0,3,4,0,0,0,19,0,4,5,21,19,15,11,5,0,78,0,0,9,31,4,3,4,0,0,56,0,0,0,3,0,0,0,0,0,3,0,7,12,8,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,6,9,24,13,9,14,8,0,90,0,0,0,13,5,5,0,0,0,28,0,0,0,0,8,6,5,4,0,26,0,0,0,8,5,0,0,0,0,18,0,14,18,100,53,65,59,40,18,369,89,250,224,471,248,248,244,148,60,1992,1976,4688,4124,8368,4253,4104,3543,1693,491,33246,0,0,0,0,0,0,0,0,0,0,1811,4075,3389,7155,3774,3525,2834,1320,572,28454,0,3,0,9,0,0,0,0,0,11,0,0,0,6,0,3,4,0,0,10,0,0,0,3,0,0,0,0,0,8,0,0,0,5,3,0,0,0,0,6,0,0,3,19,6,4,6,0,0,40
SED21706,0,20,22,65,33,24,19,6,0,188,0,13,15,65,36,27,29,12,8,200,6,15,108,309,73,63,53,33,11,669,0,5,9,51,21,3,13,0,0,104,0,3,12,31,11,3,5,5,0,70,4,0,0,19,9,13,3,3,0,53,9,32,30,28,26,16,17,8,0,157,0,14,49,85,96,69,60,20,12,401,0,0,0,3,3,7,3,0,0,16,0,0,14,17,6,4,0,0,0,34,7,43,92,287,113,117,101,73,41,876,48,104,200,443,128,98,107,69,51,1256,1631,4109,5200,9198,4412,3755,2738,1531,742,33317,0,0,0,16,8,10,0,3,0,39,1456,3387,3646,3888,2919,2296,1616,1075,819,21102,0,6,5,22,3,0,3,0,0,36,0,0,0,6,4,4,3,0,4,20,0,3,0,26,4,0,5,0,0,36,0,0,7,16,9,6,0,3,0,49,4,7,5,22,12,14,7,0,0,67
SED21805,0,8,5,7,3,12,6,0,0,37,0,25,30,105,79,57,39,7,0,332,0,0,5,68,37,48,29,14,9,214,0,0,0,8,0,4,3,0,0,24,9,11,5,25,10,5,0,0,0,61,0,3,4,17,15,18,6,5,0,72,0,0,8,26,20,23,13,0,0,110,0,6,3,25,22,18,3,3,0,86,0,5,0,8,7,7,11,9,0,53,0,0,0,8,11,4,3,0,0,27,3,23,54,277,187,164,114,83,23,927,72,162,144,405,222,169,124,118,52,1467,2342,4376,3805,9682,4913,4252,3063,1601,478,34514,0,0,0,18,20,17,4,0,0,57,2175,3701,3048,7244,3369,2850,2082,1058,478,26014,0,0,4,3,0,3,0,0,0,15,0,0,0,19,5,12,4,0,0,41,0,4,0,24,4,3,0,0,0,29,0,0,3,29,11,11,7,0,0,59,0,4,5,35,14,5,0,0,0,66
SED21906,5,11,5,45,12,6,5,9,3,93,3,27,73,310,203,202,149,75,17,1059,0,0,9,68,9,13,15,15,7,147,3,0,0,30,4,0,4,0,0,41,0,3,15,42,6,5,0,0,0,62,0,0,0,22,8,0,0,0,0,34,21,57,47,148,45,44,33,9,4,404,0,3,16,49,10,14,14,0,0,119,0,0,0,14,4,7,0,0,0,23,0,0,0,17,9,13,8,5,0,51,15,96,101,795,359,344,530,271,128,2637,47,94,169,512,148,96,142,80,41,1326,1810,3745,3852,10960,3988,3303,3082,1448,613,32795,0,0,0,8,0,0,0,0,0,7,1662,3135,2919,5869,2654,2036,1605,671,353,20904,0,0,0,17,0,0,0,0,0,25,0,0,0,13,3,0,6,0,0,29,0,4,6,68,10,7,0,0,0,99,0,0,0,0,3,0,4,0,0,10,0,3,8,51,38,13,0,3,0,115
SED22005,3,12,25,56,17,6,3,0,0,128,0,7,16,53,50,29,23,5,4,191,4,13,90,348,65,71,119,40,19,769,0,0,11,81,3,3,5,0,0,105,5,33,40,105,30,7,7,0,0,224,0,0,5,15,16,24,14,16,7,93,6,18,10,44,11,10,0,0,0,100,6,53,152,514,398,498,319,104,46,2086,0,0,0,5,0,0,0,0,0,10,0,0,6,17,3,0,0,0,0,29,11,100,119,542,292,249,265,187,53,1818,70,127,204,611,147,133,120,103,59,1569,2101,3904,5188,13169,4376,3737,2991,1958,905,38329,0,0,4,14,7,3,0,0,0,29,1775,2867,2479,3566,1775,1321,866,550,497,15697,0,11,8,63,13,11,6,0,0,114,0,0,0,14,11,8,16,5,0,46,0,3,0,24,9,3,0,0,0,44,0,13,70,257,196,206,155,58,36,990,0,4,3,24,11,0,5,0,0,52
SED22105,0,16,16,26,22,15,9,3,0,111,0,17,39,113,69,38,26,11,0,317,8,118,228,1026,438,229,140,32,11,2226,0,0,0,25,4,0,0,0,0,26,0,18,16,87,12,0,0,0,0,134,0,0,9,50,34,27,12,5,0,133,3,24,17,36,17,9,5,0,0,111,4,9,13,87,53,26,20,0,4,216,0,0,0,14,10,5,4,4,3,40,0,9,38,81,35,11,10,0,0,163,8,110,269,795,393,304,182,111,22,2199,230,509,368,945,269,223,154,77,31,2810,5928,10886,7951,21504,7308,5010,3068,1483,428,63570,11,158,428,1095,267,108,39,21,3,2132,5196,8103,4439,8679,3015,2204,1624,834,357,34451,0,12,18,92,18,0,4,0,0,145,0,0,0,49,19,23,5,5,0,109,0,0,0,19,0,5,3,0,0,24,0,13,36,267,80,61,38,4,4,507,0,4,3,19,9,4,5,0,0,37
