SED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED21503,3,3,0,455,5,0,4,5,0,9,0,6,0,25,113,167,5,0,0,10,0,5,0,0,0,47,39,109,1231,239,28,718,101,588,60,411,75,2252,190,5883
SED21608,3,25,0,414,5,0,0,5,0,11,3,10,3,21,210,267,8,0,0,4,0,0,0,3,0,54,50,134,1410,366,62,1068,141,660,83,566,142,2440,315,7249
SED21706,3,61,0,987,9,0,4,6,0,6,0,0,0,17,155,202,0,0,3,0,0,0,0,0,0,29,29,63,1370,325,24,729,105,587,49,513,71,2069,202,6054
SED21805,6,15,0,621,8,5,4,0,4,10,0,3,3,16,148,203,12,6,6,6,0,6,0,4,4,41,45,123,1923,288,52,992,172,689,69,446,91,1998,240,6948
SED21906,7,107,3,1579,0,0,3,9,0,10,0,8,0,13,197,249,7,4,3,7,3,7,0,6,0,35,34,105,2114,512,43,1188,159,648,86,638,76,1659,252,7372
SED22005,0,11,0,475,6,0,4,3,0,7,0,6,5,19,149,199,0,0,8,0,0,5,0,0,0,46,54,115,1452,348,39,869,113,630,61,503,67,2456,259,6799
SED22105,0,13,0,367,10,0,8,4,5,9,3,4,5,20,209,278,6,0,4,11,5,0,0,3,4,48,70,139,2308,362,77,1407,192,984,91,470,105,2394,342,8715
SED22201,8,20,0,534,7,0,0,4,6,3,3,0,0,21,142,188,0,0,7,0,0,0,0,3,5,47,31,93,1514,270,39,881,121,529,46,478,76,2266,196,6410
SED22305,0,17,0,165,4,4,4,4,6,16,0,11,4,14,142,202,0,0,4,0,0,3,0,0,4,45,56,122,994,325,42,616,67,666,47,382,78,2211,252,5687
SED22404,5,44,0,530,12,4,5,10,7,9,0,6,3,36,234,323,9,0,7,11,6,5,3,12,0,58,39,162,1199,490,88,1072,166,654,112,671,130,2792,332,7705
SED22501,6,49,0,775,3,0,0,6,4,0,0,6,4,17,130,164,6,3,0,6,0,3,0,3,4,28,26,80,1082,299,37,804,110,532,58,563,88,2386,181,6135
SED22607,0,52,0,1316,4,0,3,3,4,3,0,5,4,14,186,217,4,0,5,0,0,6,0,6,3,34,28,83,2110,388,47,1118,158,647,73,490,71,1692,240,7052
SED22704,4,37,0,477,11,0,0,3,4,14,0,12,10,40,327,422,9,4,10,10,0,3,0,8,4,93,80,232,1457,473,95,1163,153,773,112,663,128,3245,481,8749
SED22802,3,28,0,416,7,0,0,3,7,4,0,4,3,13,140,184,12,0,6,8,0,6,0,0,4,48,33,114,1378,279,39,956,119,522,72,430,105,2201,204,6302
SED22901,0,18,0,389,5,3,0,3,8,9,3,12,0,18,148,204,0,0,0,7,0,3,0,4,4,32,27,77,1136,262,32,744,101,566,50,467,75,2396,203,6031
SED23007,6,3,5,1020,3,0,4,5,7,6,6,4,6,11,203,250,3,0,0,0,0,6,0,0,3,42,63,118,2474,458,62,1212,204,762,89,391,100,1877,310,7949
SED23101,0,31,0,467,0,0,5,4,0,0,0,3,0,16,139,176,0,0,0,0,0,0,0,0,3,40,29,81,859,274,28,543,56,489,55,440,66,2988,198,5996
SED23205,3,21,0,403,4,0,0,4,10,4,4,0,0,11,127,167,0,4,4,4,0,3,0,5,0,40,42,106,1271,286,37,875,129,550,66,427,86,2118,197,6044
SED23308,5,46,0,680,6,0,3,6,0,0,0,3,5,20,162,206,6,0,0,0,3,3,0,7,0,51,29,104,1531,386,42,1134,142,583,72,540,100,2297,225,7042
SED23402,3,48,0,641,8,0,0,6,6,15,0,4,0,25,185,246,4,3,5,7,8,6,0,4,3,47,53,148,1913,323,59,1242,151,781,82,483,94,2442,280,7848
SED23502,3,47,5,324,3,3,3,8,3,11,4,9,0,42,302,389,12,7,3,7,0,8,0,6,0,110,78,232,1052,459,102,1036,108,600,94,817,133,4172,460,9023
SED23602,11,30,0,441,9,0,5,8,6,7,0,9,0,30,267,340,8,5,8,12,0,7,0,4,3,69,78,193,1040,445,79,1025,124,607,96,663,139,3173,397,7789
SED23702,3,25,3,382,8,5,0,14,6,7,5,9,5,19,186,261,11,0,4,0,5,3,7,6,3,72,56,160,1529,345,49,1130,144,630,83,550,108,2683,275,7527
SED23806,13,197,0,1782,10,0,0,9,0,8,0,4,0,13,183,220,7,3,0,3,0,0,0,3,0,17,17,57,1968,393,34,987,113,679,66,549,76,1919,218,7011
SED23901,5,81,4,1044,13,0,0,3,0,5,0,6,0,20,175,231,7,0,0,3,0,4,0,4,4,42,35,98,1720,312,48,866,145,577,57,489,80,2123,243,6676
SED24006,10,193,0,1248,0,5,0,4,0,5,0,0,0,22,165,199,0,0,0,0,0,0,3,6,5,28,26,64,1064,332,26,719,74,505,52,534,62,2170,209,5734
SED24105,0,13,3,282,3,4,3,0,3,6,0,6,9,19,134,175,3,8,4,4,0,0,3,3,0,41,53,118,1101,271,39,680,87,633,40,418,82,2363,225,5936
SED24207,0,7,0,347,3,3,6,0,8,4,7,8,5,26,177,246,11,0,7,3,0,0,0,0,0,27,71,123,1521,258,45,773,127,726,54,404,94,2275,294,6576
SED24308,4,14,0,373,7,0,3,10,4,7,4,4,9,28,168,241,6,3,0,8,5,4,0,0,3,46,61,136,1265,250,46,929,139,613,76,471,99,2424,282,6589
SED24408,9,33,0,442,12,3,0,8,0,9,6,5,3,17,221,283,8,5,3,14,6,3,0,5,3,66,67,188,1412,410,80,1202,135,552,96,539,110,2576,348,7469
SED24504,3,74,0,986,3,3,4,7,0,10,0,4,9,42,212,295,11,3,6,0,0,3,3,6,4,52,35,121,1390,454,65,1049,166,749,112,663,125,2752,274,7797
SED24606,18,277,7,1984,8,0,0,0,3,7,0,4,0,19,163,210,8,5,4,10,4,6,0,4,3,19,22,80,1801,357,30,914,108,612,56,590,69,1815,210,6574
SED24703,10,118,3,2927,6,0,5,5,11,8,7,8,7,3,441,502,3,9,7,0,0,5,0,0,0,11,51,78,4827,1363,131,2398,351,1790,243,1143,196,2047,524,15014
SED24808,3,17,0,375,5,0,0,4,6,10,0,10,3,17,206,268,9,0,5,8,0,0,5,0,4,55,74,165,1711,289,59,972,174,905,63,513,108,2547,340,7681
SED24904,6,38,0,316,9,0,0,6,3,7,3,6,5,21,252,318,13,3,11,9,0,3,0,4,3,75,100,231,1396,365,87,1014,122,621,77,488,105,2556,417,7252
SED25003,0,10,0,272,3,0,0,6,0,9,3,4,0,14,125,161,5,0,3,5,4,0,0,0,0,26,36,93,1201,205,38,829,121,647,63,423,77,1799,197,5600
SED25102,6,27,0,610,8,0,0,4,0,9,0,4,5,23,146,195,7,0,5,8,0,5,0,3,0,25,23,73,1248,321,38,995,129,588,70,524,97,1889,180,6071
SED25205,6,23,0,782,3,0,0,3,0,0,6,4,0,8,129,164,4,0,3,3,3,0,0,3,4,35,30,86,1573,252,34,858,118,557,67,426,74,2026,183,6163
SED25302,3,119,7,891,4,0,4,5,3,5,0,3,5,27,160,218,7,4,8,8,0,0,0,5,0,73,40,146,941,345,55,857,98,540,71,663,90,3646,243,7541
SED25402,7,33,0,438,12,0,5,8,6,7,0,7,8,29,242,322,4,7,0,9,4,3,0,4,3,73,50,168,1162,269,68,1069,131,671,88,601,147,3007,344,7561
SED25501,6,59,3,591,0,0,0,0,0,0,0,0,5,20,167,202,0,3,5,0,0,0,0,4,0,40,18,77,862,281,26,537,73,508,27,417,60,2906,227,5916
SED25605,3,34,4,399,8,0,4,0,0,8,4,6,3,29,160,216,5,0,0,3,0,5,4,3,0,44,49,107,930,285,28,648,86,506,42,452,73,2892,256,6195
SED25704,0,29,6,297,6,3,0,8,0,18,0,11,8,28,243,329,12,4,5,10,3,0,3,3,15,89,66,212,1353,400,105,1213,143,620,89,587,121,2994,391,8018
SED25802,7,37,0,545,15,3,0,6,3,8,3,5,4,42,235,331,14,5,4,7,0,10,0,7,0,83,71,208,1532,422,84,1246,144,737,108,676,143,3467,375,8937
SED25905,0,13,0,281,9,0,3,0,4,9,0,4,6,15,127,180,8,0,0,3,0,4,0,0,0,41,40,99,1210,221,27,789,106,696,46,443,73,1994,204,5803
SED26005,0,9,0,279,13,4,10,0,0,8,0,0,8,14,123,179,8,0,9,4,0,0,0,4,0,36,44,97,1253,238,52,777,107,699,52,388,59,1736,188,5551
SED26102,12,191,5,988,0,3,0,3,4,19,5,14,3,39,247,349,4,4,6,9,4,4,0,3,3,87,82,214,998,571,89,1017,134,645,117,853,188,4499,413,9517
SED26207,3,23,0,619,8,0,5,4,0,0,0,5,0,30,126,184,5,5,4,5,4,3,0,3,0,56,50,130,1172,214,40,612,104,468,52,403,72,2684,215,6042
SED26303,6,24,0,1429,5,6,8,0,13,4,4,0,5,10,178,225,0,0,5,0,3,0,0,0,0,17,22,42,2416,380,53,1168,159,533,87,419,64,1360,224,6852
SED26406,5,19,0,965,4,0,3,4,3,12,4,8,3,17,170,220,11,0,0,0,4,0,0,0,0,24,41,93,2102,411,43,1082,125,719,91,474,82,1938,247,7306
SED26504,4,37,0,339,8,4,0,9,7,3,0,3,3,27,251,314,10,0,4,6,0,3,0,6,0,93,67,196,1233,467,74,1120,127,519,106,582,149,3084,383,7851
SED26603,0,7,0,944,9,0,3,4,0,7,3,6,0,14,201,255,11,0,5,4,0,3,0,3,3,48,44,125,2433,369,55,1226,195,692,81,417,70,1872,284,7690
SED26708,4,52,3,541,8,0,3,8,0,13,0,3,3,29,237,309,14,11,13,13,3,5,0,4,7,64,69,192,1388,476,96,1200,149,575,114,658,138,2747,354,7892
SED26806,12,150,5,2922,13,0,8,9,6,9,4,8,4,9,290,361,9,4,8,3,0,3,0,3,0,29,31,88,4209,609,70,1621,226,995,115,559,81,1325,349,10160
SED26903,0,16,0,601,11,0,0,3,4,8,0,0,0,18,172,215,0,0,0,0,3,0,0,3,0,33,58,104,1935,371,36,1133,160,597,88,361,68,1756,266,6767
SED27003,5,64,0,3155,11,3,3,5,8,0,4,4,0,5,255,300,0,0,0,0,0,3,0,0,0,9,18,37,4598,472,62,1611,225,822,94,476,59,1197,288,9904
SED27101,0,22,0,703,0,0,6,3,0,3,0,3,0,21,161,199,5,0,0,0,0,0,0,0,4,27,28,70,1669,321,38,927,114,569,64,429,64,2039,214,6442
SED27208,0,24,5,318,7,0,0,5,0,11,0,12,0,38,272,349,15,4,6,11,0,11,0,3,6,97,74,227,1309,430,82,1131,134,660,90,629,151,3420,420,8465
SED27305,5,20,0,447,5,0,3,4,3,3,4,0,0,13,91,128,9,0,5,3,0,0,0,4,0,27,25,80,1055,187,39,722,90,555,43,370,62,1968,143,5238
SED27406,7,90,0,1361,10,0,0,8,3,6,0,0,3,28,166,217,0,0,3,4,0,0,0,4,0,35,30,83,1688,314,39,921,105,614,54,604,70,2487,211,7107
SED27504,7,29,0,390,13,0,3,6,0,16,0,3,0,29,216,286,9,5,4,10,3,6,0,0,0,73,71,183,1429,322,59,1134,122,673,85,523,121,2889,354,7716
SED27608,4,70,4,930,6,0,3,5,3,8,3,7,3,19,247,311,5,0,6,6,0,3,0,3,5,67,33,129,1979,524,62,1465,188,714,83,692,113,3378,313,9498
SED27708,8,48,3,458,5,0,0,7,3,8,0,13,0,38,229,305,11,3,10,4,0,10,0,0,3,63,59,169,1329,433,86,1213,149,611,85,612,128,2937,335,7919
SED27807,3,8,0,234,3,0,0,0,0,3,0,0,0,26,142,188,3,0,6,0,0,3,0,0,0,62,82,157,929,263,31,625,100,587,61,438,96,2597,277,6005
SED27907,4,15,0,469,7,4,0,3,8,0,3,5,0,12,133,175,3,0,0,3,0,0,0,0,3,40,35,88,1631,247,44,877,133,639,77,407,87,2239,188,6578
SED28007,3,10,0,364,10,0,4,9,0,10,0,5,4,14,105,160,3,0,8,0,0,0,0,0,3,37,44,96,1335,196,48,707,94,602,46,341,65,2014,171,5624
SED28107,6,6,3,576,18,0,5,8,5,4,4,4,3,14,226,289,11,0,8,0,5,0,3,3,5,43,68,140,2188,404,57,1194,184,1077,85,562,120,2165,330,8360
SED28203,0,17,5,210,4,3,6,0,0,8,0,3,4,19,154,195,4,0,0,3,0,3,0,4,0,73,78,175,1181,274,39,760,89,656,63,420,85,2847,293,6702
SED28301,4,71,0,803,3,0,0,3,0,3,0,4,3,15,150,185,9,0,0,7,4,3,0,3,0,39,30,96,888,309,26,660,75,571,49,533,73,2686,209,6080
SED28408,5,45,5,481,7,0,0,3,3,0,0,4,6,21,176,214,8,0,0,0,0,0,0,0,0,51,30,94,1212,346,38,972,107,534,82,495,79,2498,245,6610
SED28507,0,11,0,480,9,0,7,0,4,10,0,6,4,24,187,247,8,0,5,13,4,5,0,0,0,43,50,122,1827,296,54,1081,172,886,82,464,93,1938,265,7155
SED28607,4,42,5,1690,4,3,0,4,5,5,0,0,0,21,182,229,5,0,3,4,0,0,0,3,0,35,29,81,2550,301,48,1068,173,634,57,397,75,1764,236,7297
SED28704,3,31,0,649,7,0,4,7,4,12,0,5,0,18,210,273,7,0,7,3,0,7,0,0,8,41,38,110,2075,340,62,1247,197,827,100,542,98,2356,291,8128
SED28803,0,4,5,445,12,0,4,7,0,16,6,9,3,17,186,265,12,0,7,3,0,8,0,0,4,48,55,143,2017,337,66,1118,193,1021,71,485,107,2242,289,7938
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
