SED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED21106,11939,34419,2475,5192,2486,5763,4963,10961,2800,4722,3547,5609,1136,1768,74,112,5,15,7558,12228,0,0,0,0,0,0,114,199,114,199,19,51,24592,57850,3327,..,27915,57850
SED21203,18416,57373,1638,3962,1770,4771,3405,8730,896,2305,0,0,108,250,0,0,21,48,1029,2600,46,43,63,68,0,0,21,48,127,162,37,92,23021,68963,1952,..,24971,68963
SED21303,12506,33483,3731,7759,4199,9755,7928,17514,3606,5816,1636,2699,4892,7713,1470,2348,18,57,11617,18631,0,0,0,0,0,0,219,507,217,511,31,69,32306,70212,4515,..,36827,70212
SED21401,17106,47517,1485,2948,2938,7855,4428,10804,660,1215,413,691,975,1747,1248,2333,5,15,3306,6001,0,0,0,0,0,0,5,20,5,20,25,44,24872,64382,2627,..,27495,64382
SED21503,17710,48448,1560,2951,1731,4081,3300,7029,390,767,421,659,459,704,79,134,14,27,1366,2295,0,0,0,0,0,0,3,12,6,16,20,31,22395,57814,1889,..,24281,57814
SED21608,22607,58194,2103,3607,119,228,2220,3833,254,379,13,15,0,0,0,0,16,25,285,424,24,44,9,15,3,8,28,50,65,121,32,54,25214,62629,2349,..,27567,62629
SED21706,16120,46070,2862,5694,2480,6610,5337,12306,1742,3542,580,963,658,1052,180,286,24,50,3183,5886,0,0,0,0,0,0,65,125,68,128,30,62,24735,64445,2767,..,27507,64445
SED21805,19604,52609,3865,6926,2581,5585,6445,12504,798,1257,226,349,120,182,0,0,25,50,1165,1842,27,36,222,271,0,0,20,40,267,350,27,40,27508,67351,1773,..,29282,67351
SED21906,9634,28349,4314,9671,2897,7274,7207,16948,5396,9348,2975,5064,1665,2771,385,609,17,32,10439,17819,0,0,0,0,0,0,190,353,188,348,26,53,27499,63522,3867,..,31359,63522
SED22005,17739,50944,3892,8999,2673,7567,6567,16561,1523,2895,448,869,369,675,0,3,11,31,2349,4474,0,0,0,0,0,0,15,28,16,30,23,42,26692,72052,2389,..,29084,72052
SED22105,34541,112106,3018,7051,824,2096,3844,9143,512,896,25,39,0,0,0,0,13,25,551,960,0,0,0,0,0,0,0,5,0,5,36,88,38971,122301,1559,..,40532,122301
SED22201,20611,53273,1565,2840,767,1712,2328,4555,220,387,279,442,109,163,0,0,22,49,624,1040,0,0,0,0,0,0,8,23,12,28,22,56,23606,58942,1339,..,24939,58942
SED22305,16861,50631,4003,9003,1815,5303,5821,14302,2037,4241,277,506,298,527,0,0,5,8,2618,5282,34,44,16,22,0,0,25,47,75,114,47,114,25423,70445,2051,..,27477,70445
SED22404,21921,54122,680,1046,55,128,738,1174,87,145,8,22,10,22,4,3,7,27,115,228,55,80,212,285,5,12,20,28,292,409,58,127,23120,56063,5484,..,28603,56063
SED22501,18693,52911,959,1629,737,1641,1692,3267,624,1123,81,100,32,44,0,0,19,26,748,1299,0,0,0,0,0,0,4,17,6,16,17,30,21158,57518,1030,..,22186,57518
SED22607,12758,36399,2407,5259,3012,6962,5421,12222,2845,4907,2671,4216,3599,5744,1079,2085,6,13,10190,16963,0,0,0,0,0,0,91,182,91,182,25,42,28479,65809,3862,..,32346,65809
SED22704,24667,58594,1550,2218,50,84,1599,2300,56,78,0,0,0,0,0,0,9,22,61,100,133,193,86,123,14,25,38,98,274,436,46,84,26647,61518,3828,..,30483,61518
SED22802,19946,55796,944,1480,493,936,1438,2416,7,16,10,9,0,0,0,0,26,44,37,66,58,70,0,0,0,6,5,14,69,87,30,55,21514,58432,1018,..,22531,58432
SED22901,18288,50768,1738,3014,1179,2953,2916,5966,107,160,80,130,157,254,170,261,23,50,541,862,0,0,0,0,0,0,26,52,26,52,12,24,21784,57674,1148,..,22931,57674
SED23007,16372,45846,2546,5283,5308,13684,7854,18962,2412,4413,1361,2413,2295,3782,1428,2307,37,84,7527,13001,0,3,8,15,0,4,89,217,99,229,44,69,31895,78105,4596,..,36485,78105
SED23101,17551,49647,2524,4974,1064,2873,3587,7855,390,612,122,200,329,563,0,0,14,45,859,1423,0,0,0,0,0,0,15,40,15,40,7,12,22018,58970,1638,..,23655,58970
SED23205,19379,49169,3185,4892,1012,2001,4194,6888,825,1218,68,115,116,177,24,31,15,18,1045,1557,7,8,27,31,0,0,20,50,49,93,30,46,24697,57754,1888,..,26588,57754
SED23308,21276,51812,3484,5353,1007,2059,4494,7413,1288,1940,152,228,300,453,134,229,4,7,1878,2856,11,14,167,233,0,0,48,109,228,356,57,98,27930,62532,2497,..,30424,62532
SED23402,25880,74753,1886,3375,674,1503,2558,4877,70,87,8,3,0,0,0,3,12,19,84,112,4,12,76,92,3,3,4,21,96,126,31,75,28642,79937,1505,..,30149,79937
SED23502,23410,54267,1226,1801,123,238,1354,2036,360,505,9,12,0,0,0,6,8,17,378,531,109,150,180,274,5,14,39,90,336,528,78,157,25541,57516,5493,..,31036,57516
SED23602,21790,51366,819,1224,123,190,938,1414,525,683,25,49,0,0,0,0,11,10,559,743,73,90,67,109,7,10,48,82,185,291,40,63,23521,53880,7790,..,31314,53880
SED23702,22062,60680,3262,5395,418,859,3677,6253,90,160,0,0,0,0,0,0,45,77,134,240,0,5,190,253,3,8,8,28,206,295,24,46,26102,67508,1307,..,27413,67508
SED23806,10508,31053,3223,7227,1630,4041,4850,11268,3271,5760,3524,5824,3055,4960,603,959,4,16,10462,17526,0,0,0,0,0,0,81,174,81,174,39,74,25939,60095,4080,..,30019,60095
SED23901,17328,47117,2656,4895,2527,6034,5181,10930,1733,3085,406,682,854,1398,299,464,11,30,3308,5656,0,0,0,0,0,0,31,63,31,63,32,57,25879,63832,2685,..,28568,63832
SED24006,14826,44243,2374,5033,2037,5246,4413,10281,1381,2465,1075,1872,933,1740,29,43,3,11,3418,6135,0,0,0,0,0,0,55,115,55,115,17,40,22728,60811,2716,..,25442,60811
SED24105,19691,62767,1764,3662,1397,3867,3164,7533,917,2113,71,114,97,189,0,0,21,51,1110,2477,46,51,14,19,0,0,7,20,66,90,17,23,24037,72897,1308,..,25348,72897
SED24207,27432,88941,991,2332,1062,2909,2051,5239,121,263,62,105,246,436,0,0,15,25,439,833,47,56,54,59,0,0,6,15,108,132,32,71,30068,95217,1573,..,31636,95217
SED24308,22895,58736,2220,3652,399,802,2612,4456,483,802,0,0,0,0,0,0,3,12,485,811,26,37,35,50,0,10,73,179,138,267,24,57,26159,64324,1757,..,27916,64324
SED24408,22366,51295,790,1091,24,42,819,1126,552,733,0,0,0,0,0,0,8,10,562,742,50,72,19,38,4,4,51,111,122,225,40,70,23904,53463,4162,..,28065,53463
SED24504,22193,57869,1067,1736,91,170,1157,1907,39,80,13,30,0,0,0,0,14,30,64,142,21,28,61,146,11,23,46,85,136,281,30,77,23588,60278,3657,..,27246,60278
SED24606,10002,29391,2469,5124,2297,5371,4763,10499,3809,6620,3394,5580,1719,2877,340,564,8,21,9264,15660,0,0,0,0,4,4,293,462,297,461,25,67,24364,56078,4398,..,28760,56078
SED24703,1642,4256,3964,8797,5741,13852,9704,22641,1778,3229,3454,5922,8102,13929,32187,56013,12,22,45539,79119,0,0,0,0,0,0,169,356,172,356,186,303,57238,106678,20190,..,77425,106678
SED24808,29441,86210,2322,4132,376,842,2704,4968,113,179,0,0,21,26,0,0,25,69,160,267,7,21,21,32,0,9,13,53,48,109,31,80,32380,91634,1946,..,34328,91634
SED24904,21451,54971,1643,2685,84,158,1730,2848,1145,1762,19,23,0,0,0,0,5,7,1169,1791,151,249,168,327,14,19,32,75,355,673,92,190,24804,60473,2890,..,27690,60473
SED25003,19934,59856,1827,4321,1301,3246,3130,7567,46,100,172,271,197,354,0,0,11,13,424,740,0,0,0,0,0,0,0,0,0,0,4,9,23494,68172,928,..,24421,68172
SED25102,19713,54412,347,615,90,163,431,781,164,243,11,13,0,0,0,0,18,28,195,281,4,0,3,4,0,0,17,50,20,58,18,36,20384,55572,1207,..,21594,55572
SED25205,14425,41540,3649,7050,2374,5903,6023,12947,4205,7616,357,551,58,96,0,0,8,25,4634,8291,0,0,0,0,0,0,69,104,67,106,17,29,25163,62915,1693,..,26855,62915
SED25302,20027,53985,1679,2695,820,1671,2494,4372,1266,1995,64,97,40,67,0,0,24,36,1400,2197,3,7,118,161,0,6,0,3,129,172,17,39,24064,60764,2632,..,26697,60764
SED25402,23705,58072,1118,1536,121,259,1244,1796,1456,2053,0,0,0,0,0,0,9,5,1464,2064,5,8,64,102,14,24,8,23,89,154,36,61,26536,62149,2524,..,29055,62149
SED25501,16412,47480,1195,2911,1080,3307,2273,6221,3172,7785,221,460,156,291,392,748,9,22,3950,9301,0,0,0,0,0,0,8,17,8,17,12,17,22657,63031,2341,..,24996,63031
SED25605,17731,50416,1491,3169,1118,3046,2607,6217,1388,2721,226,380,256,349,0,0,23,41,1888,3487,20,24,72,78,0,0,11,21,103,126,22,48,22348,60293,1481,..,23829,60293
SED25704,22527,54932,1750,2587,26,45,1781,2632,388,623,7,10,0,0,0,3,10,9,395,639,106,144,158,258,8,16,38,84,312,501,59,108,25072,58818,3039,..,28111,58818
SED25802,26177,67222,1405,2024,75,100,1476,2130,865,1223,0,0,0,0,0,8,10,19,873,1251,42,65,284,404,0,3,18,27,346,497,42,77,28921,71177,2648,..,31567,71177
SED25905,19475,58050,1277,3067,813,2320,2086,5389,258,501,21,31,0,0,0,0,17,41,292,576,0,0,89,114,0,0,0,3,94,118,11,28,21957,64160,855,..,22813,64160
SED26005,23948,79011,839,2314,542,1551,1382,3868,93,223,0,0,0,0,0,0,12,27,107,244,0,4,0,0,0,0,5,11,8,13,11,32,25455,83176,833,..,26289,83176
SED26102,23965,54897,1538,2371,670,1426,2207,3796,337,556,61,104,0,0,0,3,6,9,406,674,32,42,205,282,0,0,27,47,267,372,22,41,26867,59776,21176,..,48040,59776
SED26207,16927,45998,2142,4072,3013,7594,5161,11662,693,1292,38,63,53,72,0,0,16,19,800,1448,0,0,0,0,0,0,52,118,52,118,18,31,22961,59257,1703,..,24667,59257
SED26303,13767,37639,3002,6558,3722,7999,6717,14550,3537,5172,850,1303,2358,3807,289,383,15,35,7044,10705,0,0,0,0,0,0,170,362,173,361,23,45,27729,63296,2937,..,30661,63296
SED26406,13472,37617,4129,8631,2526,6760,6653,15392,4310,7475,864,1499,2498,4340,383,710,10,16,8068,14039,0,0,0,0,0,0,23,58,23,58,36,50,28257,67154,3680,..,31941,67154
SED26504,21208,50757,1922,2780,108,186,2026,2963,70,125,4,16,3,9,3,3,7,11,85,165,81,131,90,138,7,8,35,74,211,347,45,112,23578,54345,3772,..,27350,54345
SED26603,17896,48956,3508,6762,6324,15067,9828,21834,1242,2370,415,735,457,748,81,162,19,55,2217,4069,0,4,0,0,0,0,61,124,62,129,32,67,30042,75056,2833,..,32873,75056
SED26708,23170,57272,1008,1435,139,288,1143,1720,71,103,10,14,3,9,0,0,10,21,90,147,38,58,44,67,18,37,41,90,136,252,51,95,24594,59489,8475,..,33067,59489
SED26806,3688,9230,2884,6189,2399,5354,5285,11543,3633,6204,9331,14578,5564,8552,9630,15792,19,20,28165,45149,0,0,0,0,0,0,109,192,109,192,62,111,37314,66223,9452,..,46768,66223
SED26903,16535,43435,5358,10145,3625,8190,8983,18327,976,1664,409,710,506,854,78,134,17,51,1984,3414,0,0,0,0,0,0,161,320,166,322,20,33,27690,65529,2855,..,30545,65529
SED27003,4072,10332,6585,14671,5513,13046,12097,27715,2396,3941,3778,6136,6423,10461,5470,9992,24,48,18097,30569,0,0,0,0,0,0,299,602,299,602,42,63,34610,69292,6338,..,40943,69292
SED27101,19062,50771,3059,5950,1389,3429,4446,9378,216,404,390,644,819,1345,74,117,20,46,1522,2552,0,0,0,0,0,0,13,26,13,26,23,37,25065,62768,1867,..,26933,62768
SED27208,25082,58202,979,1412,63,117,1043,1531,341,474,6,7,0,0,0,0,0,3,354,491,164,255,78,110,14,13,102,211,354,600,67,125,26908,60950,3967,..,30874,60950
SED27305,17354,51410,808,1280,442,1045,1251,2330,17,34,51,78,28,42,0,0,22,43,124,205,0,0,0,0,0,0,4,16,4,16,7,14,18743,53960,748,..,19493,53960
SED27406,13802,38994,4104,7505,2738,6542,6843,14049,1626,2681,960,1588,1468,2319,427,694,13,25,4485,7311,0,0,0,0,0,0,175,334,178,335,18,42,25334,60726,2381,..,27718,60726
SED27504,24224,63029,2329,3765,104,204,2431,3974,54,75,13,16,4,3,0,0,7,17,76,109,205,278,86,118,10,23,233,342,530,761,46,107,27308,67980,2534,..,29842,67980
SED27608,29404,80441,2237,3762,600,1209,2833,4967,61,103,43,67,8,4,0,0,6,4,115,181,26,34,10,34,0,0,4,4,39,71,41,91,32436,85754,3659,..,36094,85754
SED27708,22656,55583,1776,2704,404,738,2186,3443,622,888,58,81,0,0,0,0,6,9,682,977,42,64,103,158,6,12,40,91,193,325,39,79,25757,60410,3549,..,29304,60410
SED27807,19299,55447,2108,5012,1808,4965,3914,9974,1794,3746,64,104,14,21,91,145,36,86,1991,4094,0,0,29,37,0,0,47,115,81,155,34,88,25327,69763,2129,..,27457,69763
SED27907,20893,56971,1837,3208,598,1288,2434,4494,1054,1683,33,33,0,0,0,0,11,15,1090,1738,3,5,0,0,0,0,0,10,6,9,11,35,24432,63242,1372,..,25800,63242
SED28007,20992,67926,2236,5298,1304,3508,3541,8805,246,403,74,120,0,0,0,0,4,6,326,534,0,0,0,0,0,0,7,13,7,13,12,34,24875,77319,904,..,25780,77319
SED28107,34464,115270,2738,7841,821,2160,3561,10000,789,1481,0,0,193,321,0,0,7,25,986,1820,6,8,38,54,0,0,0,11,50,76,34,97,39093,127265,2285,..,41377,127265
SED28203,23732,70829,1120,2457,1374,3401,2487,5849,933,2064,65,94,119,161,0,0,6,17,1127,2333,0,0,0,3,0,0,15,52,23,55,24,49,27393,79121,1833,..,29227,79121
SED28301,16819,50052,1339,2709,1575,4511,2916,7224,754,1612,272,539,545,1033,70,107,11,35,1654,3316,5,3,0,0,0,0,0,0,0,4,18,53,21403,60657,1562,..,22970,60657
SED28408,21159,51667,2748,4440,400,753,3148,5196,760,1061,76,117,3,5,0,0,4,7,839,1188,0,0,0,0,0,0,29,76,29,76,43,99,25225,58212,2132,..,27357,58212
SED28507,27032,78386,2310,4583,656,1507,2969,6090,296,569,23,41,201,308,0,0,15,22,532,936,33,46,3,3,0,0,3,18,39,60,16,30,30587,85495,2241,..,32827,85495
SED28607,18101,48806,2642,5202,4495,11334,7137,16532,1668,2678,637,1028,289,443,253,393,13,33,2859,4567,0,0,0,0,0,3,151,272,150,275,41,71,28288,70253,2965,..,31250,70253
SED28704,30876,93450,1275,2701,729,1665,2004,4362,103,180,59,102,0,0,0,0,13,33,177,315,0,0,0,0,0,0,3,5,6,9,22,54,33080,98186,1593,..,34671,98186
SED28803,35074,118555,1224,3259,1521,3849,2748,7109,197,486,0,4,16,39,0,0,15,21,230,558,0,0,0,0,0,6,6,14,12,21,35,90,38092,126328,2036,..,40131,126328
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
