SED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SED21106,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,3,0,0,0,4,0,0,0,0,14,0,6,10,34,27,42,55,39,21,10,12,13,6,5,5,274,9,9,8,11,106,187,342,325,119,139,116,123,75,6,35,1603,0,14,38,3,10,20,7,0,0,0,0,0,0,0,6,102,4,23,47,9,16,8,8,3,0,0,0,4,0,0,7,141,0,0,4,8,9,6,4,0,0,0,0,0,0,0,0,34,60,71,38,28,50,42,66,30,5,15,7,14,17,10,13,454,4,84,192,35,9,4,3,13,0,0,0,0,0,0,17,364,0,0,11,26,27,34,28,19,6,15,19,24,11,8,4,236,8,5,36,39,65,62,133,70,15,29,34,25,15,3,18,551,0,0,6,5,8,21,26,16,0,4,3,3,15,0,0,111,0,0,0,0,23,5,26,31
SED21203,0,0,0,0,0,17,30,51,0,7,7,6,0,0,14,147,0,0,0,0,22,83,207,89,13,7,7,19,6,3,15,467,0,0,0,4,0,0,13,9,0,0,0,0,4,0,0,39,0,3,6,0,42,61,159,80,22,27,21,8,0,0,12,438,0,21,117,35,18,9,0,0,0,0,0,0,0,0,15,223,6,42,59,21,54,38,60,42,7,9,18,9,3,3,6,383,0,0,0,9,73,51,49,30,3,5,7,3,4,0,5,246,20,40,8,7,15,6,15,5,0,0,0,0,0,0,0,123,7,87,320,83,48,12,6,33,0,0,0,0,4,0,34,646,0,0,0,3,11,11,7,17,3,0,0,0,0,0,0,45,6,0,17,32,48,86,662,375,110,207,267,231,57,11,45,2152,0,0,3,4,23,31,57,25,11,8,4,8,4,0,4,174,0,0,0,0,15,25,52,204
SED21303,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,13,0,0,0,0,4,13,25,20,11,5,17,6,4,5,0,110,0,4,9,21,24,33,56,62,17,17,12,17,13,9,3,288,0,0,7,15,119,173,239,176,67,66,62,47,16,0,14,1002,0,12,51,17,9,15,5,3,0,0,0,3,0,0,0,116,0,16,23,23,11,28,11,11,4,0,4,0,5,3,0,130,0,0,0,0,18,14,9,6,5,0,5,0,0,0,0,58,16,33,8,5,23,52,90,44,16,21,22,34,13,0,0,373,0,276,922,183,47,16,10,31,5,6,0,3,0,0,41,1539,0,0,3,17,39,37,37,31,10,3,6,8,5,0,3,206,0,0,16,17,47,71,196,139,52,82,125,120,41,9,14,922,0,5,0,4,7,46,64,37,18,30,23,46,45,0,4,330,0,0,0,3,17,17,30,57
SED21401,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,4,7,4,9,0,0,0,5,0,0,0,31,0,0,0,11,9,10,14,9,6,3,3,7,0,0,0,77,11,52,64,90,875,1099,2542,1630,340,366,335,396,142,32,117,8088,4,49,107,21,8,5,0,0,0,0,0,0,0,0,3,197,7,57,75,44,61,67,70,29,4,3,3,4,3,0,10,446,0,0,7,17,31,17,12,8,0,0,0,4,5,0,0,96,42,67,30,12,18,15,9,14,0,4,0,0,0,0,0,222,28,535,1082,238,60,23,18,77,17,4,6,5,0,0,63,2159,0,13,41,158,489,416,256,142,37,44,43,51,62,11,37,1802,8,3,28,56,139,194,352,186,49,51,89,73,32,3,25,1305,0,9,10,12,33,110,82,31,11,3,10,18,6,0,5,346,0,0,0,25,164,134,386,592
SED21503,0,0,0,0,9,6,0,0,9,0,0,0,0,0,0,26,0,0,0,5,0,11,24,11,11,21,9,11,4,0,0,114,0,0,0,6,4,10,9,13,3,0,5,0,0,0,0,67,0,0,5,10,199,293,1157,565,125,148,238,183,54,4,90,3083,0,10,150,56,10,18,3,0,0,0,0,0,0,0,7,264,4,26,47,10,51,30,23,8,0,7,10,0,4,0,0,224,0,0,0,5,33,25,30,10,0,3,0,3,0,0,0,119,29,37,22,11,15,11,30,9,0,4,0,3,0,0,8,180,13,147,523,97,31,10,19,38,4,9,3,0,0,0,15,913,0,0,5,14,62,57,45,38,10,18,15,8,5,0,0,279,0,0,14,25,88,140,452,295,99,167,236,316,102,9,44,1983,0,3,4,6,14,32,62,22,14,6,16,13,8,3,4,197,0,0,0,0,12,14,121,229
SED21608,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,6,0,5,0,0,3,0,0,24,0,0,13,15,5,9,20,13,0,0,0,5,0,0,0,72,0,0,0,0,3,7,76,56,14,12,21,16,4,0,6,215,0,23,32,3,0,3,4,3,0,0,0,0,0,0,3,78,0,3,0,0,0,3,6,0,0,0,0,0,0,0,0,24,0,0,0,0,6,8,7,4,0,0,0,0,0,0,0,24,33,80,33,30,34,3,19,6,0,0,6,0,0,0,7,259,0,10,13,9,0,3,0,0,0,0,0,0,0,0,5,32,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,18,0,0,7,13,4,13,179,198,75,58,108,152,54,10,45,908,0,4,0,6,3,7,5,14,0,0,0,3,3,0,0,47,0,0,0,0,9,0,15,11
SED21706,0,0,0,0,18,31,23,9,0,0,0,0,0,0,0,84,0,0,0,3,3,9,20,18,3,0,8,8,9,0,0,83,0,0,8,25,19,19,32,17,4,0,12,4,5,0,4,143,0,9,18,34,453,709,1962,1378,361,399,320,442,131,37,127,6378,0,11,34,14,6,15,0,0,0,0,0,0,0,0,0,81,0,10,42,7,16,11,18,11,0,5,0,0,0,0,4,140,0,0,0,15,23,22,17,6,5,0,0,0,4,0,0,93,27,52,32,23,16,33,28,16,5,0,0,0,4,5,5,234,0,173,437,84,11,8,9,9,0,3,0,7,3,0,16,764,0,9,19,58,169,156,110,83,30,24,21,50,25,8,12,768,4,3,30,83,119,201,567,303,107,172,273,350,140,9,50,2421,0,0,9,16,38,141,117,60,13,20,13,29,24,0,3,496,0,0,0,0,44,22,59,120
SED21805,0,0,0,0,20,49,28,6,5,3,0,0,0,0,0,108,0,0,0,4,0,0,19,0,0,0,0,0,0,0,0,30,0,6,13,6,15,17,25,29,8,3,9,0,0,0,3,125,0,4,9,3,61,63,233,130,24,19,24,31,6,0,10,617,0,6,59,27,15,36,19,0,0,0,0,0,0,0,0,169,0,19,31,12,14,11,9,10,0,0,0,0,0,0,7,118,0,0,0,19,52,46,74,3,0,4,0,7,10,0,0,217,35,80,54,32,48,22,42,19,6,0,0,0,0,0,12,360,3,27,118,50,21,4,6,28,0,4,0,0,0,0,5,270,0,0,5,12,23,25,18,4,0,4,0,0,0,0,0,98,0,4,42,65,89,138,487,187,27,20,45,38,27,7,14,1196,0,6,3,4,12,21,40,3,0,7,4,0,8,0,0,104,0,0,0,0,4,0,12,36
SED21906,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,17,0,0,0,0,3,3,14,16,0,8,0,0,6,0,0,56,0,0,15,25,28,33,39,37,9,7,11,6,7,0,6,228,11,15,5,22,151,169,396,380,119,108,123,240,62,11,47,1857,6,9,26,0,4,14,0,3,0,0,0,0,0,0,3,76,9,33,23,11,10,0,4,7,0,3,0,0,0,0,6,110,0,3,4,9,5,3,0,8,3,0,0,0,0,0,0,45,129,110,37,18,35,39,33,42,5,3,13,7,4,0,16,492,17,117,277,53,8,9,7,13,0,5,0,0,0,0,24,527,0,3,3,20,37,36,49,23,11,10,9,9,7,3,13,224,6,6,40,49,63,66,386,369,161,259,366,399,103,28,29,2336,0,4,0,12,12,43,41,30,5,5,7,10,21,3,0,206,0,0,0,4,15,5,12,34
SED22005,0,0,0,0,3,24,28,39,0,0,0,0,0,4,0,98,0,0,0,3,18,35,40,38,14,30,35,30,14,0,0,261,0,0,0,6,11,17,20,14,0,0,0,12,6,0,0,87,7,4,16,27,284,426,1532,1028,265,341,323,427,95,23,86,4887,4,20,107,30,13,15,0,0,4,0,0,0,0,0,8,205,9,20,71,26,28,18,27,15,4,3,0,4,3,0,6,237,0,0,0,10,52,35,38,15,8,10,8,3,0,0,0,184,19,55,19,15,8,17,19,19,0,4,5,4,0,0,7,198,12,286,1313,467,88,38,33,257,25,23,26,24,3,0,228,2815,0,0,10,20,85,78,85,59,22,14,20,25,6,5,17,434,0,3,80,139,228,422,1622,1053,496,596,1001,1095,362,47,139,7272,0,0,0,5,27,96,147,81,32,22,27,54,23,0,11,527,0,0,0,0,5,3,23,49
SED22105,0,0,0,0,38,370,1592,1266,277,297,189,251,70,98,51,4499,0,0,0,0,0,13,119,89,9,21,5,11,3,0,0,280,0,7,0,3,10,15,19,9,4,5,5,0,4,0,0,86,0,3,8,12,36,70,542,200,33,40,36,54,11,0,22,1075,0,7,41,20,8,49,26,0,0,0,0,0,0,0,3,155,0,10,10,5,15,27,113,42,9,4,8,7,0,0,3,262,0,0,0,22,124,162,318,113,15,13,16,16,12,8,13,830,23,69,48,27,18,17,43,11,4,0,4,0,0,0,11,281,0,13,92,45,33,11,14,29,0,0,0,0,0,0,3,250,0,0,0,7,21,41,41,13,5,0,0,0,3,0,5,135,3,5,43,76,194,593,7364,3597,726,696,886,929,360,65,198,15738,0,0,0,5,18,39,97,63,7,9,4,8,3,0,0,251,0,0,0,0,7,3,77,228
SED22201,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,0,3,4,10,7,8,9,19,5,5,3,3,0,0,0,82,0,3,0,8,58,96,735,461,108,97,64,82,21,5,25,1759,0,9,32,5,5,3,3,0,0,0,0,0,0,0,4,55,5,15,8,0,4,3,25,14,5,0,3,0,0,0,0,88,0,0,0,3,18,9,8,0,0,0,0,0,0,0,0,39,43,97,73,33,28,19,15,4,0,0,0,0,0,0,4,318,0,17,31,8,8,4,0,0,3,0,0,0,0,0,3,80,0,4,5,11,61,58,59,31,8,9,3,6,6,3,5,259,5,8,17,23,44,54,420,296,73,57,56,47,22,4,14,1138,0,9,0,9,17,12,48,18,5,0,3,7,0,5,5,138,0,0,0,0,15,19,102,137
SED22305,0,0,0,4,21,234,1514,2372,328,342,278,475,170,151,110,5989,0,0,0,0,9,30,99,58,19,9,8,5,9,0,0,262,0,0,0,0,8,11,0,0,0,0,0,3,0,0,0,29,0,12,53,36,232,294,508,270,52,68,45,49,18,7,37,1675,0,12,112,55,31,212,141,9,3,0,0,0,0,0,22,592,0,9,26,22,27,33,65,26,0,8,3,6,0,0,8,228,0,0,3,10,114,120,108,31,4,17,6,12,6,0,9,441,20,79,32,29,26,36,16,13,0,0,0,0,0,0,7,251,10,80,318,117,45,24,19,62,7,4,0,7,0,0,14,705,0,0,0,11,40,31,34,14,0,0,3,3,0,0,0,140,0,9,58,97,166,295,1889,1059,295,327,526,654,191,33,110,5704,0,4,0,13,37,58,94,40,4,10,19,26,8,0,11,319,0,0,0,4,13,12,96,430
