SED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED22201,15,171,2985,10152,5898,1067,147,175,20611,5,140,902,446,53,10,0,11,1565,0,30,244,431,55,3,0,4,767,5,169,1140,875,110,6,0,15,2328,0,29,125,48,8,0,0,8,220,0,32,216,28,0,0,0,0,279,0,18,87,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,22,0,75,437,79,15,5,4,6,624,0,0,0,6,0,0,0,0,12,0,3,6,13,0,0,0,0,22,20,432,4573,11121,6024,1081,154,201,23606
SED22305,23,144,1458,10138,3804,815,173,304,16861,7,373,2483,864,149,13,4,109,4003,0,31,667,848,201,19,7,43,1815,11,404,3152,1713,349,34,5,152,5821,18,235,1435,244,26,0,4,74,2037,0,34,217,18,0,0,0,8,277,0,112,164,13,0,0,0,6,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,387,1814,278,26,4,8,90,2618,13,30,14,12,0,0,0,0,75,0,6,12,17,0,0,0,3,47,60,971,6457,12151,4182,853,191,551,25423
SED22404,83,509,2943,10578,5883,1256,349,313,21921,9,114,342,182,4,3,0,18,680,0,0,8,43,0,3,0,0,55,9,116,355,220,10,4,0,18,738,0,14,41,14,6,5,0,3,87,0,6,0,4,0,0,0,0,8,0,5,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,7,0,26,49,21,6,3,0,3,115,26,112,107,23,10,0,0,10,292,3,5,15,19,6,3,6,3,58,126,774,3467,10868,5909,1269,358,347,23120
SED22501,9,86,1078,8319,7302,1564,236,102,18693,3,102,547,275,21,3,0,12,959,0,28,194,422,76,7,0,7,737,3,130,738,699,88,12,3,19,1692,0,40,282,260,30,4,0,7,624,0,42,46,0,0,0,0,0,81,0,4,20,8,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,19,0,91,353,262,28,4,0,7,748,0,0,3,3,0,0,0,0,6,0,3,0,4,0,0,0,0,17,14,313,2179,9286,7420,1577,235,129,21158
SED22607,10,66,1555,5752,4082,1017,169,103,12758,7,102,1269,822,167,16,3,15,2407,8,202,977,1424,358,22,0,31,3012,12,301,2250,2243,526,36,5,45,5421,11,585,1727,450,28,0,7,39,2845,47,941,1475,116,9,0,0,77,2671,3,1209,2151,174,10,0,0,49,3599,7,310,509,204,3,0,0,38,1079,0,3,0,0,0,0,0,0,6,69,3047,5868,946,45,3,6,205,10190,0,19,41,19,6,0,0,0,91,0,3,4,7,0,0,0,3,25,90,3436,9718,8974,4655,1064,184,362,28479
SED22704,83,516,2991,12289,6982,1040,260,497,24667,5,272,994,217,18,0,3,47,1550,0,0,18,32,0,0,0,0,50,5,272,1004,247,16,0,0,47,1599,8,9,19,19,0,0,0,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,9,8,10,20,19,4,0,0,3,61,23,108,50,32,10,5,0,46,274,0,7,10,12,9,0,0,5,46,123,915,4080,12598,7016,1051,267,599,26647
SED22802,19,184,1242,9729,6766,1453,350,190,19946,0,200,547,175,8,0,0,11,944,0,6,275,194,9,0,0,6,493,0,209,820,369,20,0,0,20,1438,0,0,5,0,0,0,0,0,7,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,3,0,0,26,0,14,19,3,0,3,0,0,37,6,39,6,4,0,0,0,4,69,0,5,4,11,0,3,0,0,30,30,448,2096,10123,6797,1458,357,207,21514
SED22901,6,110,1192,8296,6672,1589,265,150,18288,0,214,977,364,132,9,0,48,1738,0,14,220,704,188,42,12,5,1179,0,223,1198,1062,320,50,12,57,2916,5,27,41,24,3,0,0,3,107,0,22,48,9,0,0,0,0,80,0,32,113,15,0,0,0,0,157,0,79,85,3,0,0,0,0,170,0,4,8,0,0,4,5,0,23,7,166,295,56,4,4,5,12,541,0,0,20,4,9,0,0,0,26,0,0,0,0,3,0,0,0,12,18,502,2699,9419,7008,1647,283,211,21784
SED23007,22,214,2519,8967,3608,678,137,237,16372,20,464,1172,738,93,13,7,52,2546,11,128,1429,2762,775,113,10,78,5308,26,584,2600,3499,867,123,15,133,7854,16,684,1415,225,17,0,3,47,2412,15,317,825,177,12,0,0,15,1361,39,666,1392,157,3,0,0,39,2295,28,586,686,96,8,0,0,15,1428,0,11,13,8,0,0,0,6,37,94,2267,4331,667,47,5,4,118,7527,0,21,36,22,5,0,0,3,99,0,11,15,6,7,0,0,6,44,141,3096,9497,13168,4538,801,159,492,31895
SED23101,10,66,793,7726,6983,1550,268,162,17551,4,259,1056,942,170,29,6,50,2524,3,13,138,545,301,52,5,14,1064,8,265,1195,1488,471,87,12,60,3587,79,125,96,70,11,0,0,14,390,0,30,80,16,0,0,0,0,122,0,82,221,18,0,0,0,5,329,0,0,0,0,0,0,0,0,0,0,4,3,4,4,0,3,0,14,76,239,398,106,14,3,3,20,859,0,0,10,6,0,0,0,0,15,0,0,3,0,0,0,0,0,7,94,574,2394,9328,7475,1637,282,245,22018
SED23205,57,169,1548,11002,5280,903,162,255,19379,6,413,2061,618,31,4,0,58,3185,14,44,368,476,85,3,5,16,1012,20,455,2431,1096,114,9,5,75,4194,45,212,506,27,9,0,6,21,825,0,5,52,13,0,0,0,0,68,4,9,92,4,0,0,0,4,116,10,14,0,0,0,0,0,0,24,0,3,4,0,0,0,0,0,15,58,252,650,44,9,0,6,33,1045,4,18,7,8,7,0,0,0,49,0,10,7,10,0,0,0,0,30,133,908,4652,12156,5409,910,166,360,24697
SED23308,24,260,3326,12035,4525,749,133,225,21276,19,845,1914,579,52,4,3,65,3484,6,70,375,451,96,9,0,8,1007,22,910,2290,1028,144,15,3,72,4494,17,451,630,150,12,0,0,29,1288,5,42,91,4,0,0,0,5,152,5,80,184,26,0,0,0,4,300,0,20,68,44,6,0,4,0,134,0,4,0,0,0,0,0,0,4,23,595,968,229,19,0,6,36,1878,15,71,98,31,8,0,0,8,228,0,16,22,18,3,0,0,0,57,81,1859,6703,13343,4698,769,141,343,27930
SED23402,26,150,1465,10192,11518,1910,363,254,25880,10,118,847,682,162,12,6,48,1886,0,4,108,437,106,7,0,4,674,10,121,958,1118,266,21,12,53,2558,8,15,23,14,5,0,0,5,70,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,12,8,18,28,16,5,0,0,5,84,0,55,24,4,5,0,0,0,96,0,0,4,15,6,0,0,0,31,41,351,2489,11344,11797,1934,372,310,28642
SED23502,73,424,3157,11942,6240,942,194,432,23410,4,192,750,224,20,0,4,37,1226,0,4,33,66,13,4,0,5,123,3,192,781,286,27,4,4,40,1354,3,112,207,26,3,0,0,9,360,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,8,3,114,212,27,10,0,0,9,378,30,125,109,25,16,3,4,27,336,5,8,17,19,4,0,3,9,78,114,866,4281,12311,6304,949,201,520,25541
SED23602,51,326,2675,11084,6169,944,180,361,21790,3,104,486,184,24,0,0,15,819,0,52,37,25,4,0,3,3,123,9,153,522,211,28,0,4,20,938,0,156,278,73,8,0,0,10,525,0,0,20,6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,155,303,77,8,0,0,15,559,21,75,47,23,10,0,0,6,185,0,6,8,13,3,3,3,0,40,80,719,3555,11412,6211,954,191,399,23521
