SED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SED21106,0,0,0,29,14,3,3,0,0,56,3,94,83,334,222,128,46,21,10,941,0,0,0,6,5,9,8,13,0,48,0,0,0,13,4,22,21,18,6,77,10,140,93,387,275,259,192,149,65,1563,0,3,0,3,6,3,5,0,0,21,0,11,3,49,23,8,11,0,0,108,0,8,4,62,39,32,50,39,20,260,0,0,4,6,9,28,50,65,36,201,4,28,17,30,17,15,19,4,3,124,0,15,16,118,39,34,31,19,8,274,3,0,7,27,18,11,5,0,0,73,0,0,0,30,8,7,4,0,0,51,0,0,0,3,0,5,0,0,0,9,0,11,9,139,28,24,25,14,11,245,0,8,4,42,18,22,45,67,62,266,3,13,11,45,29,10,6,3,0,121,0,0,9,29,9,6,0,0,0,56,0,0,0,10,14,10,4,0,0,41,0,7,7,40,35,26,33,14,3,162
SED21203,0,0,0,7,4,10,9,7,0,37,0,3,15,105,48,49,28,10,4,249,0,0,0,0,4,16,41,42,15,120,0,14,14,43,13,32,28,39,14,202,0,3,8,50,18,45,46,38,22,223,0,0,7,39,35,30,23,3,4,139,0,0,0,3,0,0,0,4,0,15,0,0,3,16,10,4,12,12,10,62,0,9,12,11,15,48,91,109,54,347,0,0,0,20,0,0,0,0,0,31,17,70,90,536,66,46,26,14,7,875,0,4,8,58,22,11,4,0,0,105,0,24,14,69,9,15,0,0,0,132,5,147,185,666,369,265,171,84,26,1906,0,0,0,3,5,3,0,5,5,25,0,0,6,18,16,107,280,382,225,1038,0,0,3,11,4,0,0,0,0,28,0,0,0,17,5,3,0,0,0,24,6,48,63,505,357,264,139,34,12,1437,0,5,5,52,12,5,13,7,0,89
SED21303,0,0,0,48,11,10,6,3,0,78,0,3,83,276,56,81,47,23,30,608,0,0,0,15,3,12,13,15,8,64,0,0,0,12,0,14,24,4,3,61,8,27,100,553,170,130,80,32,13,1106,0,0,0,22,0,6,3,3,0,36,0,0,10,109,9,7,4,0,0,139,0,4,18,113,31,13,13,11,7,211,0,0,3,22,29,65,204,392,152,862,0,0,17,72,18,12,6,0,0,118,6,19,40,272,20,24,10,8,0,396,3,14,29,124,15,0,6,0,0,197,0,0,0,69,9,7,0,0,0,87,0,0,0,12,4,0,8,0,0,31,0,3,7,102,16,11,3,3,4,154,0,3,7,99,33,116,284,429,363,1328,0,4,11,112,29,9,3,0,0,170,0,9,7,88,13,5,0,0,0,121,0,0,9,37,75,104,103,39,11,379,0,6,41,236,50,39,38,8,3,422
SED21401,0,0,0,4,3,10,3,3,0,24,17,161,268,1955,633,772,441,146,82,4475,0,0,0,5,9,10,37,30,16,104,0,4,10,42,21,64,39,35,15,214,0,35,38,62,57,87,89,92,49,498,0,0,0,11,18,12,6,8,0,48,0,0,0,6,0,0,3,4,0,17,0,3,0,4,10,7,31,35,19,108,0,13,23,22,42,131,328,447,176,1185,6,55,46,284,150,198,172,45,8,961,3,22,43,280,87,71,62,23,12,610,0,0,14,100,31,21,18,15,5,199,4,49,65,434,139,94,45,16,4,854,0,0,0,12,8,3,4,0,0,29,0,0,3,12,5,4,6,4,5,35,0,5,9,20,17,88,321,381,235,1070,6,3,3,29,16,6,11,0,0,70,0,14,34,118,65,35,21,3,0,288,0,0,0,12,22,67,35,22,5,164,0,46,118,468,195,219,232,83,18,1380
SED21503,0,5,4,3,4,9,0,3,0,28,7,36,123,750,236,234,118,41,8,1568,0,0,0,5,22,21,48,39,12,147,0,6,4,24,11,26,29,18,6,115,6,15,22,100,78,98,77,78,41,508,0,0,0,10,14,14,9,7,0,62,0,3,0,8,4,6,0,6,0,20,0,0,3,22,14,6,24,13,13,94,0,5,7,16,27,82,149,135,53,475,0,3,13,64,22,18,20,5,0,149,5,33,122,443,89,77,34,10,6,821,0,3,7,58,17,12,12,9,0,118,0,12,20,154,17,5,7,0,0,224,0,0,5,27,15,4,3,0,0,60,0,4,4,22,11,3,12,3,7,78,0,6,4,28,14,71,173,170,84,550,0,3,4,21,19,0,0,0,0,56,0,0,11,41,13,11,4,0,0,76,0,0,5,25,25,32,23,8,0,116,6,8,43,181,43,56,60,14,3,409
SED21608,0,0,0,0,5,3,7,0,0,14,0,5,15,69,22,9,12,0,0,131,0,0,0,3,5,8,14,12,0,40,0,0,0,3,0,0,0,0,0,7,8,34,20,113,114,233,228,129,58,936,0,0,0,9,4,4,0,0,0,15,0,0,0,0,8,0,5,0,0,10,0,3,0,20,8,21,51,22,12,130,0,0,0,0,0,0,8,8,0,15,0,0,0,7,0,0,0,0,0,11,4,26,67,263,14,18,12,3,0,404,0,0,3,13,3,0,3,0,0,28,0,0,0,3,4,0,0,0,0,19,0,0,0,4,0,0,0,0,0,4,0,0,4,14,14,9,12,4,5,58,0,0,0,5,0,12,10,0,7,40,0,0,5,10,3,5,0,0,0,27,0,0,3,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,3,20,9,11,4,0,0,55
SED21706,0,0,0,15,7,5,8,5,0,36,13,202,380,1595,583,451,283,85,48,3637,0,0,0,8,3,10,11,9,9,49,0,0,6,19,3,13,15,9,7,60,6,50,77,139,122,144,112,98,58,810,0,0,0,21,14,6,6,3,0,47,0,0,4,12,9,11,0,4,0,48,0,0,7,10,15,12,27,20,20,116,0,3,3,15,17,46,97,181,61,419,4,37,36,145,58,67,29,9,6,397,8,40,152,536,106,88,57,40,11,1034,0,12,30,136,39,24,35,3,5,279,0,7,10,94,15,10,14,3,4,159,0,3,4,8,5,0,0,0,0,20,0,0,3,17,13,14,6,9,3,73,0,0,3,14,14,16,45,69,62,222,0,0,7,41,25,14,8,13,0,115,4,12,21,132,51,26,10,0,0,254,0,0,0,3,10,8,6,0,0,29,5,15,73,300,149,147,101,45,15,851
SED21805,0,0,0,7,15,15,12,5,0,52,0,12,19,149,71,53,42,10,3,367,0,0,0,13,13,20,17,6,7,80,0,0,5,7,7,9,25,4,10,62,3,29,63,288,259,342,333,238,92,1654,0,0,5,35,37,14,13,7,4,121,0,0,0,14,7,11,0,4,6,38,0,0,3,34,29,24,50,36,12,190,0,3,5,3,18,27,32,19,8,122,0,6,4,17,11,11,11,0,0,60,3,31,31,286,81,75,51,22,11,583,0,0,9,23,18,15,8,0,0,68,0,0,4,21,4,0,0,0,0,31,0,0,0,4,0,0,4,0,0,9,0,0,3,59,16,18,17,15,8,141,0,3,3,16,17,32,45,39,12,157,0,0,0,13,20,4,0,0,0,34,0,0,0,26,5,5,4,0,0,44,0,6,0,6,4,9,5,0,0,35,0,3,3,28,25,26,25,0,4,121
SED21906,0,0,0,36,5,0,8,0,0,46,7,41,226,494,119,122,67,27,13,1111,0,0,0,5,3,11,6,9,4,42,0,0,0,3,3,4,21,18,9,63,10,45,85,335,140,136,122,81,63,1013,0,0,0,0,5,3,5,3,0,18,5,21,18,82,36,9,32,11,14,230,0,0,9,66,22,19,90,35,36,279,0,0,0,9,0,26,63,127,53,293,4,6,13,45,13,17,12,5,0,115,23,81,103,632,41,34,42,23,5,988,0,0,11,81,12,6,15,0,0,120,0,0,0,24,3,6,4,0,0,39,0,0,0,0,0,0,3,0,3,8,4,0,20,232,22,12,7,4,0,311,0,0,9,55,6,17,34,41,23,181,0,9,9,129,43,21,11,4,0,220,0,5,3,52,9,5,3,0,0,84,0,0,0,0,0,5,3,3,0,16,0,0,24,125,29,33,32,13,4,257
SED22005,0,0,0,20,11,15,20,22,0,92,11,47,266,1250,310,356,191,83,40,2559,0,0,0,0,7,18,33,34,14,102,0,6,5,10,5,13,33,29,7,114,9,25,23,103,70,70,69,57,48,476,0,0,5,31,21,22,14,0,0,99,0,0,0,21,8,5,3,0,4,42,0,4,0,13,17,9,15,19,14,99,0,19,55,91,84,161,352,549,208,1525,0,0,15,103,23,31,24,0,0,203,19,129,419,1687,258,190,130,82,36,2966,0,7,27,158,50,14,11,5,0,281,0,5,6,33,0,7,4,0,0,52,0,0,3,8,6,0,3,3,0,30,0,10,0,30,10,7,13,4,5,71,0,0,8,20,19,38,160,196,121,558,0,12,15,76,49,10,3,0,0,170,0,13,22,185,46,13,12,0,0,295,0,0,5,12,12,23,21,15,5,96,10,34,107,396,64,65,70,19,6,768
SED22105,0,0,0,31,35,31,29,13,0,145,4,14,53,274,133,79,44,14,6,626,0,0,3,13,7,11,23,6,0,73,0,4,28,41,15,17,16,0,0,125,3,47,74,204,193,275,256,192,85,1334,0,6,24,216,90,63,24,11,6,437,0,0,4,5,15,3,4,6,3,32,0,0,12,35,8,21,27,33,11,140,0,4,3,13,15,25,25,23,11,112,0,0,6,42,10,7,0,0,0,65,35,462,683,4874,757,429,243,76,27,7586,0,8,13,73,33,13,9,3,4,146,0,31,69,98,9,6,4,0,0,215,0,8,11,37,13,13,9,3,0,90,0,28,0,27,11,12,13,16,5,111,0,5,3,24,12,33,45,33,26,189,0,3,4,31,10,0,0,0,0,46,0,8,0,47,22,0,0,0,0,80,0,0,8,28,23,15,6,0,0,72,3,21,25,131,59,47,23,8,0,323
SED22201,0,0,0,3,5,4,4,8,0,23,6,37,58,518,153,114,98,22,6,1004,0,0,0,0,0,5,11,4,0,28,0,4,0,18,0,0,9,0,4,33,4,24,42,136,143,275,253,284,140,1296,0,0,0,9,10,8,0,0,0,24,0,0,0,8,0,4,3,3,0,20,0,0,3,18,16,17,49,54,25,179,0,0,0,5,3,11,16,12,8,44,0,6,4,53,27,28,17,0,4,137,5,56,38,327,77,33,36,17,0,582,0,0,4,27,13,3,6,5,0,74,0,11,10,107,21,17,0,0,5,180,0,0,0,0,0,4,0,0,0,7,0,0,0,17,10,8,16,12,5,71,0,4,0,14,7,20,29,37,22,128,0,0,5,18,3,0,4,0,0,39,0,3,6,36,11,6,4,3,0,66,0,0,0,8,0,3,5,0,0,24,9,69,21,90,42,37,26,13,4,305
SED22305,0,0,0,10,23,30,39,20,3,136,0,16,30,326,135,183,128,78,40,940,0,0,0,52,28,91,74,35,14,300,0,3,21,14,5,19,26,12,9,114,0,0,8,32,29,92,106,92,53,415,0,3,12,79,53,50,24,18,3,235,0,0,0,4,3,4,0,0,0,19,0,0,10,21,9,6,33,31,15,136,0,7,17,19,15,46,97,118,44,372,0,0,0,44,7,15,10,0,0,75,25,135,352,1487,242,177,108,56,35,2616,3,17,18,85,21,21,15,4,3,193,5,65,101,146,22,15,9,0,0,357,0,4,10,45,19,14,13,5,0,114,0,3,0,11,4,5,13,7,3,45,0,5,0,10,7,39,107,151,74,394,0,0,0,14,3,5,0,0,0,25,0,4,17,48,28,12,5,3,0,110,0,6,14,52,47,49,54,25,4,246,6,28,36,200,58,48,36,10,4,420
