SED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED26504,1681,284,1980,8467,3250,316,12029,34157,3540,49730
SED26603,2259,311,2584,13580,2354,244,16186,46205,3600,65988
SED26708,1442,252,1709,10031,3654,354,14039,35808,3843,53692
SED26806,1072,362,1452,6836,2243,117,9195,53574,4964,67737
SED26903,1719,372,2099,10851,2183,185,13210,41820,3620,58653
SED27003,921,77,1005,8154,2314,175,10646,53357,3898,67900
SED27101,1364,119,1496,12567,2872,285,15724,35987,1962,53672
SED27208,1656,358,2034,9116,3536,414,13074,38150,5676,56887
SED27305,724,65,786,9675,2823,214,12717,31941,1366,46026
SED27406,1735,190,1942,11360,3310,238,14911,36355,1940,53203
SED27504,1675,241,1928,11173,3678,370,15220,39997,5051,60270
SED27608,1865,177,2053,17969,5038,499,23515,47158,3183,73858
SED27708,1540,264,1819,10025,3906,385,14315,36440,3644,54400
SED27807,1470,302,1791,9685,2876,171,12730,44719,5733,63178
SED27907,1001,101,1114,11571,3522,305,15395,36157,2620,54173
SED28007,757,43,806,14685,3279,250,18219,43149,2697,64065
SED28107,472,49,521,29329,4109,445,33889,57305,7819,99011
SED28203,1462,99,1573,14353,2955,224,17530,43986,3798,65317
SED28301,1631,117,1769,11492,3489,232,15213,35199,1683,52085
SED28408,1543,262,1815,10015,3400,349,13767,34878,2924,51564
SED28507,914,186,1111,17349,3538,391,21278,44393,4696,70371
SED28607,1503,138,1663,14628,2486,274,17391,39771,2684,59851
SED28704,769,55,834,22561,4750,598,27904,46548,3266,77724
SED28803,571,89,674,25998,4282,441,30721,62309,5486,98518
SED29494,17,17,29,695,281,39,1013,3668,3262,7946
SED29797,0,0,0,0,0,0,0,12,27,38
