SED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SED21106,0,0,0,5,0,0,0,0,0,4,1174,3166,2962,4232,2992,2690,1776,1009,404,20403,0,0,0,6,0,0,0,0,0,10,0,0,0,8,5,5,0,0,0,20,0,6,0,41,6,0,0,0,0,61,0,0,0,5,0,0,0,0,0,6,0,9,6,34,23,21,17,5,0,114,0,0,0,25,4,3,7,0,0,41,7,124,131,167,98,78,40,13,5,662,0,0,0,11,5,6,13,14,0,57,0,0,0,3,6,18,21,15,5,59,14,125,126,417,361,299,238,161,44,1781,0,0,0,0,3,6,0,0,0,13,0,9,10,45,16,11,13,0,4,113,0,7,4,47,23,19,46,34,13,192,0,0,4,10,17,30,37,49,27,165,4,34,13,20,16,12,6,4,0,114,0,7,14,141,29,35,25,15,6,276,0,6,6,9,4,6,3,0,0,39,0,0,0,38,4,0,5,0,0,50
SED21203,0,3,8,50,6,5,0,0,0,82,2382,3968,3335,4223,1421,1117,544,283,117,17384,3,19,14,120,43,29,13,0,0,245,0,0,0,22,4,26,10,8,0,73,0,0,0,12,5,0,0,0,0,19,0,0,0,6,0,0,0,0,0,9,0,3,0,5,0,0,4,0,0,14,0,0,0,0,3,4,6,8,0,27,0,4,3,59,27,55,25,6,3,194,0,0,0,8,9,19,21,34,18,102,3,13,5,42,12,35,33,23,9,182,0,4,11,49,29,59,38,29,12,227,0,0,9,39,27,25,12,5,0,110,0,0,0,3,4,4,0,4,0,16,0,0,0,9,9,10,20,13,5,54,0,0,5,22,15,53,76,91,46,305,0,0,0,11,0,0,0,0,0,19,19,80,172,807,111,48,29,19,0,1272,0,7,3,40,7,5,9,0,0,69,3,6,24,136,24,13,9,0,0,216
SED21303,0,0,5,3,0,0,0,0,0,8,1547,2633,3276,10146,3093,1943,961,294,94,23984,0,0,9,45,4,0,0,0,0,63,0,0,0,18,3,3,0,0,0,26,0,0,3,72,5,0,0,0,0,87,0,0,0,8,0,0,0,4,0,9,0,3,6,77,17,10,4,3,0,108,0,6,4,46,4,9,0,3,0,71,3,10,73,170,23,46,43,9,15,395,0,0,0,0,4,18,4,12,5,59,0,0,0,21,6,8,15,4,4,68,10,40,84,599,189,156,82,39,4,1208,0,0,0,10,0,3,0,0,0,28,0,5,4,79,9,10,8,3,0,112,0,4,11,82,34,15,13,12,5,168,0,4,4,25,37,76,122,287,124,684,0,0,11,50,9,7,5,3,0,87,6,9,48,394,24,20,13,5,5,526,5,15,27,77,9,5,3,0,0,135,0,0,0,84,7,9,3,0,0,107
SED21401,0,0,0,5,0,0,0,0,0,3,1417,2897,2808,3482,2221,1706,972,1004,410,16914,0,0,0,11,0,0,3,4,0,16,0,0,0,3,0,4,0,6,0,22,0,4,3,9,4,0,0,0,0,25,0,3,0,7,7,9,0,4,0,23,0,4,3,13,9,8,0,0,0,35,0,0,0,6,3,0,3,4,0,22,25,183,318,1465,373,589,444,142,69,3613,0,0,0,3,6,13,21,33,11,90,0,0,11,51,9,59,38,41,11,229,6,25,37,80,82,90,83,90,40,526,0,0,0,7,8,17,9,4,0,44,0,0,3,7,9,4,0,9,3,35,0,5,3,15,9,14,14,46,7,116,0,14,17,23,44,128,211,382,158,975,3,53,68,242,129,152,134,41,15,842,0,28,65,343,90,61,60,41,5,699,0,7,13,65,18,16,18,14,4,147,8,73,88,401,165,108,38,21,6,910
SED21503,0,0,5,4,0,5,0,0,0,17,1578,3032,3116,4982,2638,1844,1245,816,256,19508,0,6,15,31,6,5,0,0,0,65,0,0,0,7,5,18,12,7,0,57,0,0,0,9,4,0,0,0,0,23,0,3,5,0,8,4,0,0,0,21,0,0,4,5,3,0,0,0,0,16,0,0,0,11,7,0,3,3,0,26,4,26,220,765,169,185,106,33,10,1512,0,0,0,3,9,17,28,35,17,114,0,3,0,20,4,19,33,20,3,103,0,17,24,115,105,103,87,76,30,550,0,0,9,16,9,9,4,4,0,55,0,0,0,7,5,0,0,3,0,18,4,0,4,14,10,10,23,18,3,87,0,4,13,19,24,65,120,128,54,443,0,3,19,48,10,16,28,4,4,133,5,31,218,702,81,68,34,16,9,1157,0,10,11,25,12,7,4,9,3,77,0,13,15,171,42,12,7,6,0,263
SED21608,0,0,0,7,0,0,0,0,0,12,1871,4300,3608,6790,3489,3270,2600,1194,331,27457,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,6,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,9,9,5,5,8,0,30,0,0,0,3,4,0,3,0,0,7,0,3,9,50,12,11,4,0,0,86,0,0,0,4,0,6,11,11,3,36,0,0,5,0,0,4,8,0,0,13,0,26,36,98,145,223,250,113,34,922,0,0,0,6,0,0,0,0,0,3,0,0,4,0,4,4,5,0,0,18,0,0,0,8,10,17,63,25,0,126,0,0,0,0,0,3,11,3,0,21,0,0,0,5,0,0,0,0,0,7,5,19,78,362,21,7,13,5,4,511,0,0,4,9,6,0,3,0,0,22,0,0,5,11,3,3,0,0,0,21
SED21706,0,0,0,20,7,8,0,0,0,46,1512,3466,3627,4208,2622,2164,1412,711,376,20112,0,0,7,24,4,4,4,0,0,48,0,0,0,5,4,0,0,0,0,12,0,0,0,19,3,0,0,0,0,20,0,0,10,12,8,6,3,4,0,53,0,11,0,24,16,16,8,0,0,78,0,0,0,5,8,0,0,4,0,17,11,114,331,1273,304,360,225,67,37,2739,0,0,0,6,5,5,8,10,3,33,0,0,0,18,3,12,16,14,0,73,5,60,75,157,193,182,131,101,20,923,0,0,7,17,3,9,4,0,0,45,0,0,7,19,16,10,0,7,0,60,0,7,4,16,26,15,26,24,6,116,0,0,0,14,13,52,64,128,70,341,3,44,33,140,43,41,41,9,0,370,6,37,236,796,134,78,55,31,10,1384,0,4,31,95,30,16,29,7,0,216,0,6,14,77,25,11,13,5,0,156
SED21805,0,0,0,25,7,17,4,4,0,53,2239,3941,3207,7022,3346,2645,1760,828,205,25201,0,0,0,12,0,0,0,0,0,17,0,0,0,18,5,12,6,0,0,40,0,0,0,24,0,0,0,0,0,28,0,0,5,13,8,3,5,0,0,36,0,5,4,19,11,10,4,0,0,56,0,0,4,12,17,19,8,11,5,67,3,16,12,85,40,42,31,11,0,245,0,0,0,17,9,24,20,14,0,84,0,0,5,3,3,14,7,10,0,52,4,45,74,288,289,351,313,202,67,1632,0,0,10,27,31,26,7,0,0,99,0,0,4,17,4,9,5,0,0,36,0,0,0,23,16,30,50,40,3,171,0,0,3,21,21,39,37,23,10,149,0,0,0,20,4,6,10,6,0,38,0,21,41,312,72,77,55,25,7,612,0,3,0,9,7,3,9,4,0,35,0,0,0,27,4,0,0,0,0,41
SED21906,0,0,0,7,0,0,0,0,0,11,1669,3152,2799,5709,2441,1912,1426,522,175,19816,0,0,0,24,0,0,0,0,0,25,0,0,0,9,0,0,0,3,0,11,0,3,10,50,5,9,0,0,0,73,0,0,0,5,0,0,0,0,0,9,0,9,5,41,25,11,8,3,0,111,0,0,3,27,8,10,0,3,0,55,3,38,154,308,64,85,60,29,11,748,0,0,0,5,0,7,3,14,0,34,0,0,4,9,0,3,13,11,5,50,9,50,53,402,214,154,138,98,29,1151,0,0,0,6,5,4,3,0,0,25,0,28,16,110,24,13,34,16,12,245,0,8,3,28,15,19,89,32,20,211,0,0,4,13,13,37,40,85,44,234,5,16,14,40,17,11,10,0,0,115,10,78,158,952,64,35,23,21,7,1345,0,4,12,45,10,8,9,0,0,84,0,0,0,30,3,3,3,0,0,50
SED22005,0,0,6,41,14,5,0,0,0,72,1914,3077,2690,4253,1889,1287,787,414,247,16556,0,15,20,74,13,10,8,0,0,144,0,0,0,12,6,9,4,4,0,39,0,0,6,28,4,0,0,0,0,47,0,15,81,229,164,150,146,54,18,854,4,8,3,10,3,4,0,3,0,36,0,0,0,12,16,17,9,19,0,77,3,55,307,1180,221,278,189,51,42,2333,0,0,0,3,11,9,24,31,18,101,0,3,8,21,11,15,33,30,9,123,6,25,28,135,91,77,81,50,22,519,0,0,6,33,16,16,9,7,0,81,0,3,4,13,4,3,5,0,6,40,0,0,0,21,6,9,20,24,11,99,0,27,43,113,90,166,265,425,167,1290,5,6,35,119,18,28,14,5,0,230,37,149,800,2633,284,205,111,69,15,4299,0,16,25,142,39,18,10,3,0,248,0,3,7,48,14,4,0,0,0,80
SED22105,12,172,429,1212,322,164,45,8,0,2364,5565,8675,4387,8363,2971,2208,1315,611,194,34286,0,6,12,79,25,3,5,0,0,134,0,0,4,44,16,22,5,5,0,96,0,0,0,10,0,0,0,0,0,18,0,20,37,163,79,41,35,6,0,387,0,3,15,9,8,5,0,3,0,40,0,0,4,34,35,30,19,20,0,148,3,21,43,170,111,62,30,6,8,457,0,0,0,31,7,13,18,12,0,85,0,6,38,44,15,23,14,7,0,138,0,59,75,231,224,280,222,189,48,1324,0,9,31,175,84,64,24,5,0,395,0,5,6,0,7,7,3,4,0,27,0,3,10,25,22,16,36,31,8,138,0,5,14,21,15,31,24,20,5,133,0,3,0,43,8,4,0,0,0,67,34,479,841,5100,1006,372,234,68,16,8155,0,8,12,50,21,4,10,0,0,102,0,29,71,93,8,7,4,0,0,210
SED22201,0,0,0,8,0,3,0,0,0,8,1907,3370,2869,5776,2586,2375,1707,980,315,21879,0,0,0,7,5,0,0,0,0,5,0,0,0,7,0,5,3,0,0,10,0,0,0,6,0,0,0,0,0,12,0,0,0,15,15,10,7,4,0,43,0,3,3,15,6,6,6,0,0,36,0,0,3,4,3,7,3,6,0,26,4,53,62,345,95,81,84,22,0,753,0,0,0,0,4,8,10,4,0,32,0,5,4,15,0,10,11,8,0,56,3,21,41,145,152,250,253,222,86,1182,0,0,0,6,5,0,0,0,0,17,0,3,0,9,3,0,9,0,3,28,0,0,7,11,13,22,27,51,17,138,0,0,0,0,0,5,18,5,0,35,0,8,10,53,14,24,15,0,0,120,0,46,43,327,70,39,24,16,0,557,0,0,5,29,12,3,10,4,0,65,0,5,12,112,18,18,5,3,3,184
