SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED24606,503,774,1273,2940,3741,6678,0,0,0,162,200,361,0,0,3,5241,6401,11636,18,21,39,1527,1705,3234,34,37,72,17,8,23,70,96,160,43,50,98,79,80,158,92,115,206,380,385,770,12,9,23,10,17,25,604,802,1400,332,476,811,9,8,25,11557,14152,25708,961,757,1725,254,268,520,1562,1711,3271,0,0,4,64,69,131,80,99,183,146,163,311,11657,11935,23591,113,106,223,38,60,97,11813,12104,23910,1687,1734,3427,28480,31665,60148
SED24703,3321,4677,8000,1620,1733,3353,0,3,4,407,488,889,0,3,7,7360,8094,15452,25,42,64,727,776,1505,20,37,58,35,31,64,91,117,208,120,127,243,252,270,518,274,372,647,469,497,968,19,17,35,25,34,62,513,580,1091,1075,1499,2570,28,28,62,13055,14750,27808,3947,3123,7061,2484,2352,4837,200,203,408,3,3,8,192,169,362,247,283,534,451,452,904,31261,31002,62264,459,344,802,120,163,285,31844,31513,63353,6143,5694,11831,61443,62763,124206
SED24808,523,721,1248,2699,3499,6200,12,8,20,722,769,1489,102,74,182,10769,11996,22763,10,22,36,898,859,1754,181,216,399,294,283,577,127,180,317,215,218,436,259,272,540,486,618,1106,453,614,1070,48,75,123,96,157,258,838,1154,1987,1678,1870,3547,31,41,67,19923,22930,42853,1619,1450,3072,2124,2166,4294,26,20,47,0,0,3,2336,2103,4439,119,179,300,2454,2281,4740,17256,16175,33434,128,100,225,68,83,148,17449,16356,33804,3878,3757,7636,47997,49684,97680
SED24904,837,808,1644,2508,3094,5608,0,0,0,210,224,434,3,0,0,6380,6964,13344,103,161,262,320,297,616,79,123,201,75,67,140,315,384,696,15,15,30,163,156,314,339,386,729,518,572,1091,58,92,146,207,224,436,1530,1957,3486,744,774,1520,37,42,79,13608,15527,29130,250,185,435,787,614,1404,13,6,21,7,11,16,227,184,410,50,89,136,283,276,559,14006,12966,26972,62,60,120,32,45,77,14108,13066,27176,3322,3073,6398,33203,33565,66771
SED25003,830,965,1802,1031,1412,2450,8,9,20,261,286,546,3,6,7,9848,10664,20512,9,14,24,3692,3832,7528,74,96,175,46,65,109,35,39,68,267,236,500,105,151,259,335,399,728,281,341,623,30,53,83,37,47,81,277,372,651,1558,1596,3159,5,11,19,17904,19635,37536,1938,1748,3688,2863,2757,5624,12,9,21,5,0,5,927,798,1726,137,137,272,1069,936,2002,8482,7729,16207,48,51,102,30,63,96,8563,7848,16411,2129,2213,4345,35308,36114,71427
SED25102,216,395,610,1945,2448,4391,0,0,0,518,531,1052,31,33,64,3939,4610,8545,103,118,218,258,263,523,95,102,195,53,45,98,116,118,235,10,10,22,95,111,206,217,264,484,361,415,778,27,41,71,127,135,266,576,786,1365,910,1074,1989,77,80,159,9472,11189,20661,90,89,185,68,54,121,72,70,143,0,3,11,23,34,57,112,200,313,139,236,373,17141,15676,32820,159,111,267,63,127,196,17370,15914,33283,1653,1359,3012,29081,29305,58387
SED25205,370,543,920,2281,2960,5248,0,0,0,241,279,516,0,0,0,7669,8803,16479,33,57,87,1498,1591,3090,84,90,174,34,34,64,78,93,172,61,75,135,71,87,151,151,184,337,400,541,943,22,42,61,17,31,40,544,807,1348,459,618,1077,22,16,35,13658,16307,29967,468,462,929,300,284,578,174,223,396,0,0,0,32,49,80,76,98,172,106,145,257,14722,14517,29243,103,63,165,49,102,153,14879,14681,29562,1618,1580,3196,31571,34226,65798
SED25302,132,254,381,3818,5061,8879,0,0,0,382,519,904,0,4,4,5963,7045,13007,43,61,107,459,445,901,50,66,116,68,73,143,93,108,199,23,7,35,80,103,181,116,136,256,527,665,1190,18,32,45,17,9,26,849,1274,2123,456,625,1080,14,23,36,12979,16263,29243,94,93,185,46,51,94,81,92,175,0,4,3,27,18,46,45,72,121,80,90,173,15736,15230,30971,104,101,205,38,111,154,15880,15451,31328,1748,1935,3689,31037,34221,65261
SED25402,206,285,486,3005,3886,6894,0,0,0,253,311,563,22,19,37,6106,7031,13132,11,24,38,293,291,584,100,152,251,71,77,152,77,114,194,8,8,20,74,93,166,251,291,539,650,797,1439,50,90,144,42,45,93,767,1056,1817,604,733,1339,18,22,41,12402,15040,27445,163,155,317,290,250,541,17,14,32,8,0,3,70,70,142,93,123,212,168,188,360,16884,15781,32662,95,86,177,38,74,113,17016,15937,32955,3076,3046,6121,33338,34916,68256
SED25501,2919,3124,6044,1387,1684,3067,3,0,3,678,841,1523,0,4,3,4046,4536,8585,76,87,164,1221,1347,2571,29,48,73,22,22,44,82,86,164,121,137,256,191,193,381,279,319,601,392,494,885,14,27,40,26,30,64,772,1129,1902,787,1008,1793,30,37,66,10166,12030,22190,3009,2795,5805,867,727,1590,56,67,122,0,0,0,284,265,557,152,183,338,437,450,895,12992,12306,25304,98,72,167,36,48,82,13129,12428,25555,1757,1700,3462,32335,33325,65663
SED25605,2653,3000,5647,1198,1616,2815,13,19,35,432,502,931,5,0,5,6635,7066,13697,68,82,144,2422,2538,4954,63,81,146,39,54,87,56,73,131,267,304,568,115,136,251,306,347,653,367,366,733,22,31,49,70,71,137,501,710,1209,820,969,1784,20,25,42,13414,14970,28386,1669,1466,3132,1971,1700,3678,47,60,113,0,0,0,727,613,1340,152,180,337,878,792,1673,9074,8030,17109,67,44,109,39,35,75,9180,8110,17293,1932,1788,3718,31752,31895,63639
SED25704,201,255,453,3437,4046,7485,0,0,0,400,453,850,145,138,285,6203,6994,13201,93,122,220,85,82,161,35,52,82,31,25,51,75,103,182,10,6,16,68,75,143,265,278,548,882,951,1834,46,94,141,17,24,41,2000,2541,4543,604,638,1233,6,13,21,14403,16643,31044,142,115,258,310,234,549,6,11,15,6,4,3,124,114,239,40,68,109,170,179,351,13703,12649,26351,46,37,85,27,42,71,13776,12735,26510,2894,2688,5585,31906,32861,64766
SED25802,224,340,561,3713,4551,8260,0,0,0,486,513,1002,100,123,216,6460,7112,13567,56,75,126,213,221,432,185,218,397,87,68,156,70,98,169,8,8,21,273,297,570,289,337,627,956,1115,2065,75,109,181,76,117,201,1056,1442,2502,926,1092,2017,21,22,47,15037,17528,32562,133,107,242,125,118,246,23,25,47,0,6,6,77,76,149,98,145,244,173,225,398,18729,17846,36579,115,109,228,38,86,125,18887,18039,36926,3139,3038,6176,37736,39422,77157
SED25905,1482,1628,3107,1427,1799,3224,3,5,8,563,626,1182,8,8,17,7094,7718,14809,34,64,102,1387,1449,2836,104,155,260,137,112,253,63,64,129,272,290,570,135,135,268,560,597,1164,385,447,839,27,46,78,109,123,224,444,622,1069,1248,1280,2537,25,23,48,14042,15566,29604,1149,1083,2231,4321,4129,8457,25,27,48,4,0,0,514,479,991,172,199,369,690,676,1369,9694,8864,18557,78,49,122,35,58,93,9808,8966,18772,2273,2132,4404,33780,34213,67990
SED26005,2549,2699,5243,1793,2184,3977,6,4,12,586,617,1206,20,16,41,8731,9315,18049,52,67,119,906,945,1853,68,86,153,217,245,462,57,74,130,258,278,537,242,248,492,694,766,1461,474,548,1015,20,32,49,181,218,405,476,630,1102,1547,1701,3244,37,46,85,16355,18022,34374,2388,2241,4629,5909,5442,11346,28,37,67,9,8,12,941,854,1793,192,198,386,1136,1053,2188,12431,11110,23544,84,61,140,39,66,106,12554,11234,23788,2531,2325,4861,43457,43046,86498
SED26102,171,312,481,3585,4549,8137,3,3,4,312,378,687,0,0,0,5675,6350,12024,61,67,125,756,697,1452,172,209,385,42,43,88,76,94,169,20,16,31,68,85,152,62,90,155,610,716,1329,37,65,102,10,18,28,867,1233,2093,447,557,1005,15,27,43,12818,15191,28014,70,65,135,75,65,136,84,71,149,3,0,0,20,23,41,50,101,147,73,120,200,16095,15310,31410,97,106,204,46,125,170,16242,15541,31778,3020,3046,6067,32547,34406,66960
SED26207,643,932,1571,1282,1634,2914,15,12,32,187,255,444,0,5,7,12996,14306,27302,21,27,48,2308,2414,4724,58,68,129,6,11,23,38,78,118,165,167,329,42,73,121,184,206,389,245,317,563,8,18,31,16,18,38,465,631,1099,551,675,1225,19,13,25,18613,20928,39537,480,439,921,759,704,1468,11,14,22,0,0,0,110,103,214,45,67,120,163,174,334,7948,7066,15015,63,53,110,22,45,67,8029,7166,15195,1376,1367,2748,30081,31722,61796
SED26303,457,726,1186,919,1062,1982,0,0,4,116,135,250,0,0,0,4966,5950,10906,24,29,55,2831,3111,5945,35,64,106,12,10,25,45,63,112,31,31,67,40,58,99,55,76,133,137,173,317,17,29,50,8,13,18,253,404,657,390,539,928,11,14,30,9903,11770,21680,366,285,651,495,482,977,123,178,297,6,3,7,56,47,96,107,131,249,167,180,350,18425,19592,38016,263,253,518,79,156,232,18767,19996,38767,1747,1611,3361,32028,35242,67269
SED26406,1452,1767,3219,1298,1578,2878,0,0,3,275,342,610,0,0,0,6260,7225,13485,32,35,67,3352,3712,7060,67,92,160,17,24,39,45,83,123,106,120,227,138,132,273,201,224,426,295,344,639,10,8,13,30,37,68,441,577,1014,550,738,1289,21,26,43,13135,15282,28421,2851,2314,5162,875,677,1554,879,993,1873,0,0,0,253,196,448,175,173,348,429,375,800,14218,13191,27410,158,142,301,53,67,120,14432,13400,27832,2303,1971,4271,36351,36777,73129
SED26504,239,287,519,3265,3891,7156,0,0,0,180,216,398,51,41,95,6981,7701,14684,48,56,106,102,100,204,90,132,218,18,20,39,101,108,210,0,0,4,99,135,232,164,235,401,685,710,1391,41,54,96,33,44,75,1175,1632,2808,469,538,1011,11,6,17,13513,15626,29140,163,147,305,174,114,289,9,18,29,4,0,4,97,99,194,52,91,146,152,192,344,12503,11693,24197,61,55,114,40,43,85,12606,11793,24398,2397,2299,4692,29246,30468,59712
SED26603,811,1055,1870,979,1345,2320,38,42,82,170,229,396,0,0,0,9828,11328,21156,23,23,38,2426,2631,5061,84,113,196,34,37,66,54,56,115,97,102,202,82,103,181,124,167,295,201,228,425,25,31,56,14,16,30,330,481,814,553,702,1259,11,3,14,15083,17630,32710,2352,1801,4151,3966,3727,7697,37,39,70,12,3,15,168,139,311,125,127,244,299,275,570,13620,13498,27124,162,119,282,45,99,145,13826,13723,27549,2536,2330,4868,38903,40578,79479
SED26708,170,187,350,2632,3166,5794,0,0,0,358,391,751,3,0,3,6632,7020,13653,19,33,52,165,151,313,66,75,139,10,19,26,147,184,333,7,3,15,37,44,87,172,201,377,1028,1114,2142,32,55,82,40,33,70,1606,2025,3629,541,590,1134,12,19,30,13513,15126,28636,82,64,146,94,74,164,29,25,58,0,0,6,41,19,65,60,87,144,107,105,210,15896,14218,30113,69,78,143,28,50,83,15988,14345,30333,2821,2569,5389,32793,32505,65296
SED26806,717,1006,1731,2126,2485,4610,0,0,4,171,197,372,0,0,0,5071,6020,11091,15,11,28,1190,1413,2610,41,40,83,3,8,15,70,79,146,47,46,93,86,111,205,115,166,281,300,322,625,4,9,12,18,31,52,379,478,850,467,635,1096,17,12,31,10123,12060,22184,906,779,1685,561,564,1126,1311,1451,2757,0,0,0,65,58,128,114,106,216,180,161,346,18358,18373,36735,272,213,484,71,149,219,18707,18733,37436,3106,3184,6289,35623,37937,73559
SED26903,949,1257,2211,792,1078,1869,10,11,16,148,191,336,0,6,3,7675,8699,16380,27,34,53,3120,3299,6424,64,121,185,14,15,29,27,49,79,57,72,128,59,73,138,122,142,263,216,265,482,19,40,67,17,23,43,245,325,569,712,798,1511,15,14,32,13349,15265,28606,1469,1066,2536,2166,1960,4127,35,44,74,4,3,7,267,205,468,134,147,276,402,348,757,13184,12811,25988,160,132,298,57,83,138,13396,13032,26424,2374,2234,4606,34135,35203,69342
SED27003,1120,1690,2806,1383,1579,2957,3,6,3,151,189,341,0,0,0,4877,5671,10550,24,23,46,1179,1398,2579,14,29,43,15,16,27,79,82,156,48,68,114,65,79,142,119,150,268,208,191,399,14,16,32,9,21,29,272,417,685,380,535,920,22,24,42,8867,10476,19343,302,280,583,956,1019,1977,261,281,543,4,4,5,21,12,37,124,137,263,148,156,305,22306,21817,44119,296,267,560,80,115,199,22684,22193,44876,2762,2474,5230,37102,38572,75675
SED27101,969,1331,2295,1767,2264,4029,0,0,0,1189,1278,2465,0,0,6,5034,5932,10962,177,219,395,589,672,1267,54,64,123,38,40,75,169,191,360,59,70,129,144,151,300,410,449,853,470,492,963,57,98,155,121,121,242,769,1046,1817,1165,1371,2537,65,120,187,12274,14588,26860,1005,911,1913,518,491,1002,42,36,75,0,6,4,263,252,515,153,201,359,416,459,875,14836,14033,28867,139,103,241,46,92,141,15030,14222,29252,1679,1595,3274,31921,33629,65551
SED27208,152,240,393,3417,3944,7360,0,0,0,219,244,466,44,52,98,5545,6125,11670,135,170,302,127,117,248,86,122,203,28,36,63,158,173,333,17,13,25,69,51,121,154,188,342,746,761,1512,88,127,217,51,67,117,2095,2532,4623,533,593,1127,32,32,60,13543,15344,28891,197,135,336,155,138,291,18,14,36,0,7,6,94,79,174,107,156,266,199,244,450,15768,14454,30224,93,57,142,47,89,136,15908,14594,30503,4154,2905,7065,34336,33616,67957
SED27305,1192,1354,2544,1717,2074,3789,6,6,13,480,554,1033,51,55,111,6313,6829,13142,57,79,132,932,921,1850,53,69,125,38,50,89,80,76,159,226,222,450,124,147,274,431,476,907,366,459,830,45,54,93,68,58,128,532,697,1236,858,1004,1860,20,29,45,12416,13868,26283,938,921,1859,628,652,1275,24,33,57,0,0,0,174,159,331,135,161,295,310,320,628,10699,9658,20356,58,50,105,47,48,92,10801,9750,20549,1165,1088,2254,27464,27986,55451
SED27406,288,443,736,2970,3911,6883,0,0,0,177,211,388,7,0,8,6281,7397,13672,17,24,45,1113,1307,2418,31,47,73,19,20,42,95,142,231,30,47,79,85,91,177,119,154,274,407,511,917,10,15,22,17,18,38,722,980,1700,482,585,1065,24,21,44,12613,15484,28092,320,308,623,234,278,514,331,331,664,0,0,0,42,42,84,73,84,161,118,124,244,14781,14754,29532,133,98,227,50,79,127,14965,14923,29883,1540,1610,3151,30401,33504,63903
SED27504,308,406,714,2981,3627,6611,0,0,0,291,318,607,113,111,219,7983,8721,16701,52,85,140,418,390,808,114,160,275,64,73,135,68,96,169,38,44,77,111,105,221,321,351,670,828,963,1791,43,63,102,38,52,92,1557,2077,3632,809,928,1736,9,24,30,15835,18179,34017,519,466,984,2274,2067,4343,10,13,24,7,8,16,793,658,1446,96,136,230,888,796,1681,13679,12487,26169,78,49,125,38,63,103,13795,12593,26390,3308,3134,6440,36941,37654,74598
SED27608,417,503,919,3129,3970,7101,0,0,0,778,903,1686,51,50,103,8824,10368,19193,49,73,122,382,403,788,123,163,292,32,44,77,277,351,626,44,45,87,96,118,208,275,323,592,644,851,1500,78,96,174,31,31,60,1546,2185,3728,1063,1277,2339,25,39,55,17442,21283,38734,859,572,1425,504,388,891,34,25,59,0,0,4,369,314,682,111,148,260,483,459,944,22452,21553,44004,164,119,286,50,131,185,22670,21804,44473,2612,2401,5016,45016,47440,92460
SED27708,190,256,449,2227,2931,5158,0,0,0,444,473,917,32,37,64,7059,8052,15109,78,85,164,109,75,183,52,97,151,25,23,54,335,446,786,9,17,29,44,42,87,218,244,461,1239,1406,2643,57,89,141,39,54,94,1294,1649,2943,672,777,1451,11,9,20,13960,16503,30453,130,105,236,72,79,149,16,23,42,0,6,9,33,33,70,48,88,140,87,129,214,14924,14073,28997,92,62,153,23,62,86,15035,14199,29238,2665,2445,5110,32158,33739,65902
SED27807,4583,5750,10329,649,744,1386,9,20,32,606,536,1135,0,0,0,9746,10625,20374,13,24,28,1898,1958,3858,97,138,235,95,104,200,67,93,157,196,210,409,198,207,409,288,337,621,175,220,396,18,17,31,64,62,129,221,285,506,1214,1303,2518,17,25,46,15558,16904,32459,1682,1051,2732,2514,1890,4406,22,19,40,0,0,4,922,705,1629,76,99,172,997,809,1807,8858,7739,16599,70,51,120,26,45,73,8958,7835,16795,3633,3187,6821,37942,37447,75388
SED27907,404,563,972,2082,2767,4846,111,97,205,258,304,562,89,89,181,9677,10628,20305,37,50,84,1115,1131,2241,109,127,232,93,103,196,92,112,200,90,85,177,101,111,209,249,267,517,386,432,818,33,62,92,33,31,65,614,937,1550,747,921,1668,26,18,42,15930,18267,34200,505,487,997,839,761,1601,28,26,59,0,0,0,293,296,586,72,94,167,365,392,754,12495,11328,23825,83,70,149,36,48,85,12613,11443,24059,1930,1752,3686,32626,33699,66327
SED28007,1556,1826,3381,1063,1295,2357,19,24,47,295,313,609,0,0,0,14218,15093,29313,35,38,69,3255,3293,6546,156,211,367,81,81,161,54,77,135,618,657,1274,153,181,334,410,471,881,203,235,438,31,46,76,79,97,174,313,403,716,1645,1886,3529,19,15,37,22664,24412,47073,1634,1537,3173,2632,2597,5230,5,8,19,0,0,0,1377,1235,2613,76,75,151,1451,1312,2770,7639,6781,14424,62,33,91,31,37,71,7732,6852,14587,2005,1878,3883,39675,40433,80110
SED28107,1530,1822,3351,1749,2067,3809,0,0,0,987,997,1981,9,3,7,10269,11133,21401,79,92,178,1144,1129,2274,141,173,314,260,286,544,165,154,311,486,492,981,536,584,1116,830,953,1782,422,498,921,45,56,96,84,102,187,624,694,1325,2244,2469,4715,36,37,73,20100,21928,42021,12124,10787,22918,10001,9577,19578,20,20,47,0,0,0,7218,5703,12915,227,296,529,7445,5998,13443,11653,10577,22233,105,59,165,55,69,121,11815,10708,22517,5919,4511,10432,68954,65349,134306
SED28203,1772,2095,3866,603,695,1302,50,70,119,197,209,407,0,0,0,9206,10052,19257,7,15,23,4569,4743,9311,88,106,190,60,63,122,21,38,63,232,239,470,109,90,201,305,344,649,222,251,472,14,22,36,49,67,122,155,203,360,1747,1893,3639,7,14,23,17658,19109,36762,3471,2990,6461,6442,6171,12613,17,11,27,5,9,15,2633,2258,4882,108,105,213,2744,2370,5118,6578,5906,12482,65,53,117,24,37,62,6668,5992,12662,2609,2394,5000,41379,41131,82511
SED28301,967,1364,2323,1878,2364,4239,0,3,3,841,1037,1876,10,10,20,5422,6020,11442,59,68,131,1687,1773,3460,50,74,124,29,35,68,166,205,369,159,157,312,174,187,364,426,458,886,515,554,1072,28,31,56,48,67,120,626,894,1519,944,1155,2097,16,19,33,13072,15107,28175,564,538,1100,1024,986,2008,57,68,128,0,0,0,167,165,338,138,163,300,304,326,638,13288,12468,25759,59,52,109,39,56,93,13387,12575,25964,1460,1491,2954,30841,32445,63284
SED28408,231,291,525,2203,2926,5131,0,0,0,235,259,492,63,52,112,6288,7660,13946,192,251,449,143,141,283,62,81,143,22,44,68,119,147,263,25,22,50,72,102,170,183,217,396,523,697,1216,48,78,125,32,49,85,1270,1805,3082,463,581,1045,4,9,13,11941,15114,27056,410,347,765,218,170,389,15,21,37,6,7,9,156,158,312,90,155,246,252,314,567,14776,14371,29152,97,96,196,39,65,108,14915,14535,29450,2068,2013,4088,30052,32813,62869
SED28507,1089,1224,2310,2482,2857,5335,0,0,3,1219,1250,2474,94,91,176,9082,10200,19281,38,39,78,783,841,1632,139,182,319,161,202,360,128,160,282,130,143,273,269,307,581,501,601,1106,421,601,1020,38,65,103,110,126,240,635,820,1454,1451,1645,3098,44,34,76,17726,20159,37891,4504,4263,8772,2472,2445,4919,19,11,32,5,0,5,1719,1524,3244,200,245,444,1923,1771,3688,13643,12574,26214,110,79,190,34,73,109,13783,12725,26515,3484,3298,6779,45000,45900,90901
SED28607,672,1006,1678,1535,2030,3565,0,0,0,183,230,413,0,0,0,7517,8768,16290,39,27,68,2200,2411,4615,56,69,118,13,14,35,78,126,201,64,70,130,91,87,176,121,157,276,262,354,615,16,23,43,29,31,59,446,601,1051,717,806,1525,20,17,36,13384,15827,29212,485,342,829,1756,1601,3359,59,68,123,3,0,6,58,55,116,97,119,215,160,175,334,17544,16803,34349,197,113,309,62,75,139,17796,16990,34791,2124,1855,3977,36433,37868,74303
SED28704,699,899,1607,3023,3800,6826,15,14,31,477,521,998,147,141,289,11465,12734,24192,26,42,66,1870,1933,3800,121,139,264,100,97,197,97,121,220,173,190,364,159,178,341,618,649,1261,581,729,1312,57,80,139,91,91,183,725,1010,1736,1444,1607,3051,11,16,27,21193,24097,45295,2158,1911,4072,1447,1383,2824,28,27,53,0,0,3,1472,1305,2776,153,235,384,1626,1542,3166,20572,19257,39825,128,102,232,51,108,164,20747,19462,40213,2677,2498,5176,50577,51825,102403
SED28803,1862,2070,3932,1322,1708,3033,836,839,1681,311,305,613,4,0,4,18874,19812,38685,31,44,74,2035,2040,4071,179,178,358,264,329,585,37,58,96,580,586,1168,233,253,483,484,543,1033,338,383,716,47,50,97,98,106,204,470,595,1063,2075,2168,4245,24,24,50,28231,30019,58257,4700,4376,9071,11289,11349,22636,10,22,34,0,0,0,5492,4790,10283,180,194,374,5677,4987,10662,10078,8991,19067,89,63,154,44,59,99,10209,9105,19319,3849,3702,7552,65825,65635,131466
SED29494,64,63,128,160,162,322,0,0,0,21,25,46,0,0,0,401,371,772,6,9,12,40,35,74,3,11,17,16,7,22,0,9,16,4,6,10,13,15,30,13,20,30,45,29,68,9,5,21,0,6,3,62,66,129,114,101,212,10,4,11,922,872,1797,49,29,78,104,100,211,15,8,21,0,0,4,13,3,15,25,23,48,39,24,68,1584,1297,2880,18,12,28,15,14,25,1614,1323,2937,2361,1494,3854,5170,3915,9089
SED29797,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,7,24,3,27,36,6,38
