SED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED21303,0,38,3,2627,40,4,6,49,6,24,3,12,6,28,119,302,5,0,6,0,3,3,0,0,0,8,14,40,1616,372,62,2040,373,906,123,353,63,541,145,6588
SED21401,18,94,4,2650,60,21,14,70,6,61,7,17,11,59,252,572,10,0,4,15,5,3,0,0,3,10,36,80,1985,514,81,2333,274,1479,115,582,132,1076,310,8877
SED21503,12,31,0,1693,52,20,5,55,11,28,8,13,14,36,166,416,5,0,4,3,4,3,0,0,0,6,31,55,1585,407,71,2438,381,1176,122,447,90,707,212,7635
SED21608,3,15,0,1080,97,20,13,109,8,44,3,11,10,26,225,572,5,3,4,13,4,3,0,0,5,6,27,72,1578,342,79,2580,405,1140,115,352,107,528,272,7496
SED21706,17,43,0,4249,75,12,6,74,9,29,3,27,11,37,215,490,10,0,0,4,0,8,0,0,3,5,20,48,2568,409,64,2757,395,1345,71,452,76,609,248,9006
SED21805,4,14,0,1465,106,19,9,94,10,49,13,13,6,32,206,551,13,0,8,17,8,3,0,0,3,3,21,83,2026,379,99,2913,513,1400,133,350,98,486,244,8635
SED21906,16,47,8,3606,75,16,3,98,13,47,10,19,5,23,156,473,11,4,6,12,5,7,6,3,5,9,27,103,1929,439,75,2458,358,1122,108,342,63,366,206,7461
SED22005,7,46,0,1715,60,9,11,51,14,55,13,22,11,60,197,496,7,0,6,8,4,0,0,4,3,0,44,74,2051,437,71,2236,385,1583,118,613,134,1221,263,9115
SED22105,7,36,0,1812,136,17,19,107,26,99,12,48,27,62,539,1089,9,8,15,10,4,4,0,3,10,8,85,155,4579,934,180,5243,829,3870,241,1220,296,1304,684,19374
SED22201,3,16,0,1693,78,10,8,77,14,34,3,14,9,29,155,443,4,0,5,8,3,7,0,0,0,8,16,50,1689,377,83,2732,409,1288,107,323,79,478,194,7752
SED22305,3,38,0,559,47,12,14,33,10,47,3,27,22,78,231,517,0,4,3,5,0,8,0,0,7,23,59,107,1356,408,63,1536,227,2140,80,878,180,1615,338,8830
SED22404,6,16,0,920,95,25,15,116,23,52,13,39,16,44,199,642,16,0,14,11,0,11,0,0,0,6,24,85,1261,429,119,2270,326,912,156,336,102,427,236,6573
SED22501,20,42,0,3226,84,26,5,112,17,50,8,19,16,40,154,515,14,0,4,9,0,3,3,0,0,0,18,60,2180,427,68,3281,411,1238,126,385,88,470,184,8864
SED22607,17,47,8,3761,59,25,4,64,12,33,6,12,0,38,159,421,10,0,3,6,3,0,0,3,0,0,25,67,2245,364,79,2560,395,1147,99,359,90,541,205,8081
SED22704,5,10,0,747,105,26,14,98,15,46,12,16,11,37,260,638,11,0,3,11,3,5,0,0,3,14,30,92,1414,275,94,2029,319,943,126,323,119,517,324,6486
SED22802,5,20,0,1488,94,19,8,112,12,58,16,17,15,29,192,563,7,3,4,11,4,8,0,0,4,0,25,65,1751,358,79,3189,469,1276,133,365,101,426,226,8376
SED22901,6,41,0,1689,58,14,13,76,10,45,7,21,8,47,182,480,3,3,0,4,4,0,0,3,0,5,11,42,1978,442,76,2556,322,1355,96,445,107,657,204,8247
SED23007,10,48,0,1688,44,17,10,35,7,43,12,19,18,65,188,459,0,0,0,6,0,0,0,0,3,13,42,71,1754,452,99,1968,399,1501,112,639,146,1147,270,8491
SED23101,4,52,0,2362,62,19,7,63,3,40,8,15,6,40,216,482,4,0,4,0,0,7,0,0,0,5,15,41,2216,477,58,2465,256,1332,98,506,92,790,240,8531
SED23205,8,14,0,1194,68,11,0,74,9,35,6,21,11,34,164,422,10,0,6,8,3,0,4,0,3,4,18,55,1324,343,70,2189,379,956,121,278,82,500,200,6437
SED23308,7,19,5,1765,67,18,5,84,11,48,8,12,3,39,157,448,0,0,5,3,4,0,0,0,3,10,14,43,1346,352,61,2562,373,991,107,327,70,436,186,6813
SED23402,7,29,3,2260,138,26,14,154,19,46,7,26,17,39,260,743,10,0,11,15,5,3,0,0,0,9,43,95,2826,501,109,3946,617,2003,169,519,154,619,337,11802
SED23502,0,12,0,540,68,17,8,84,15,57,3,19,3,53,252,584,7,3,7,9,0,7,0,3,0,6,19,54,1053,332,83,1882,251,715,144,323,86,518,290,5684
SED23602,3,10,0,750,84,24,7,98,12,42,10,17,9,39,224,554,14,4,7,11,4,0,3,0,5,12,19,71,1185,305,92,1974,262,768,106,282,79,418,253,5721
SED23702,8,18,0,1453,95,17,12,113,12,58,14,27,9,49,223,621,13,4,11,15,3,3,0,0,10,6,29,92,1844,391,109,3332,519,1290,154,371,104,541,259,8917
SED23806,15,80,0,4339,91,11,4,88,9,57,8,18,4,30,214,534,10,0,3,8,0,11,0,6,0,0,13,57,2090,320,58,2256,320,1209,75,340,60,440,227,7399
SED23901,12,49,5,3305,70,9,8,72,10,41,3,19,9,33,197,470,3,0,4,8,3,0,0,0,0,7,19,55,2162,406,68,2811,404,1279,108,399,86,586,242,8541
SED24006,24,115,5,4348,95,10,3,86,15,60,9,26,5,52,315,678,10,0,0,14,4,11,0,0,0,4,20,60,2375,495,62,2448,267,1439,93,517,83,765,353,8901
SED24105,11,42,0,1535,73,17,17,54,11,56,10,26,18,50,274,604,3,0,3,3,3,6,0,3,0,13,43,80,2585,512,73,2257,306,1906,115,715,162,1379,349,10352
SED24207,10,46,0,1963,89,21,26,61,19,66,4,27,37,80,390,832,16,4,5,6,4,4,7,0,8,15,80,143,3306,686,168,3239,604,2917,199,1165,282,1686,527,14776
SED24308,5,23,5,1035,68,11,8,63,16,41,9,15,10,51,208,500,6,0,9,3,0,4,0,0,4,14,26,70,1415,310,89,2171,339,1230,128,451,108,837,258,7327
SED24408,0,9,3,641,109,20,11,133,8,35,4,17,3,29,161,530,6,0,0,11,3,6,0,0,0,4,16,52,1275,276,65,2157,276,702,80,230,65,366,197,5678
SED24504,13,25,7,2050,107,23,7,131,16,56,15,23,14,47,246,670,5,0,10,9,0,0,3,0,9,0,12,59,1800,499,91,2787,426,1099,158,346,104,410,288,8018
SED24606,17,76,7,4059,85,7,5,99,15,53,0,19,6,20,178,488,9,0,12,11,3,6,0,0,0,5,10,52,1847,286,57,2054,318,1239,55,301,52,374,201,6781
SED24703,14,27,3,2060,44,12,10,25,4,17,4,6,7,17,180,316,0,0,3,3,4,0,0,0,6,0,5,20,1474,294,69,1283,304,1067,71,310,90,437,201,5591
SED24808,4,25,5,1347,91,18,18,90,23,73,12,35,16,60,336,764,8,0,9,10,6,3,0,0,6,7,66,126,2538,485,117,3064,538,2682,171,840,261,1161,453,12308
SED24904,3,10,3,696,108,18,15,106,9,38,6,17,9,35,262,619,8,0,7,6,0,0,0,4,0,12,29,76,1573,280,99,2000,276,898,106,302,97,599,317,6541
SED25003,9,27,0,1451,59,15,16,59,13,51,10,27,21,66,235,574,11,4,0,8,4,13,4,3,3,13,47,106,2175,486,86,2809,444,2027,167,698,177,1163,314,10548
SED25102,16,33,5,1939,92,18,4,129,24,46,14,23,8,32,159,548,6,0,10,8,0,5,0,0,4,4,23,65,1781,449,86,2992,443,1155,139,352,91,482,188,8163
SED25205,11,21,4,3035,97,15,11,93,7,37,8,15,0,22,167,467,5,3,5,3,3,4,0,0,3,0,20,56,2410,396,83,3253,481,1199,147,322,68,468,194,9025
SED25302,20,34,0,2707,119,15,4,131,16,59,10,29,9,29,194,614,4,4,5,8,3,0,3,3,0,3,26,63,1964,387,71,3112,402,1077,123,310,94,401,229,8168
SED25402,14,15,5,1091,82,9,6,86,18,41,14,13,15,49,265,600,4,0,8,7,3,4,3,3,5,8,31,71,1310,275,70,2298,371,959,123,380,120,603,323,6820
SED25501,18,68,7,2901,79,21,0,54,12,42,3,25,6,37,340,616,3,0,4,12,4,5,0,0,0,4,29,65,2781,519,62,2304,265,1647,72,583,86,825,392,9543
SED25605,5,60,0,1677,64,19,11,55,16,35,4,23,8,60,206,502,10,0,5,5,3,0,0,3,0,4,38,68,1973,440,72,1999,289,1441,98,569,115,977,282,8245
SED25704,4,11,3,684,117,20,12,106,6,38,8,19,6,42,205,587,8,0,14,11,0,5,3,0,0,3,36,79,1480,284,91,2277,286,787,102,267,86,409,261,6329
SED25802,11,10,3,1196,100,20,13,149,13,64,18,22,14,47,256,712,11,3,15,9,7,8,3,3,0,9,36,106,1644,454,127,2923,471,1245,157,415,119,558,320,8423
SED25905,7,44,3,1267,72,20,12,83,13,63,15,40,14,66,236,638,11,3,7,12,3,0,0,0,10,3,51,97,1916,433,82,2371,350,1835,131,689,163,1123,303,9388
SED26005,6,40,3,1906,117,18,17,92,20,77,6,34,20,66,322,795,11,0,10,11,8,9,0,0,9,8,41,95,3101,584,108,3493,470,2828,143,884,212,1269,407,13506
SED26102,8,31,9,1063,79,24,15,100,22,47,18,19,3,45,168,531,3,0,5,4,0,0,0,3,0,8,18,50,1026,406,123,1955,341,753,156,335,94,507,215,5912
SED26207,18,43,5,2598,68,12,10,41,15,44,7,24,6,46,146,420,7,0,8,13,3,0,0,3,6,16,33,90,2071,348,71,2567,442,1267,121,402,95,800,194,8380
SED26303,7,33,5,3391,55,16,3,57,6,28,3,18,0,43,132,362,7,0,3,4,6,0,0,0,0,7,5,34,1877,491,48,2564,405,898,110,321,46,497,152,7410
SED26406,10,29,3,2790,49,11,6,67,7,24,0,16,6,29,179,406,3,0,8,9,0,6,0,4,0,4,12,39,2170,437,67,2387,388,1250,97,378,99,585,208,8059
SED26504,8,8,3,659,115,26,5,102,11,25,7,30,3,31,200,550,6,0,4,4,0,0,0,3,0,6,31,60,1382,307,80,2000,299,589,112,257,65,395,242,5732
SED26603,0,35,7,2406,47,6,12,42,5,45,6,17,10,50,180,421,13,0,7,6,0,4,0,3,7,10,46,94,2026,490,95,2787,529,1576,152,572,115,905,253,9498
SED26708,3,13,7,987,124,23,17,123,15,45,16,26,10,34,239,668,16,0,14,12,4,7,3,0,0,10,22,89,1538,429,108,2555,377,837,142,281,88,387,289,7045
SED26806,12,35,4,1939,50,3,5,40,7,23,0,10,4,19,111,284,4,0,0,4,0,4,0,0,0,0,13,28,1050,175,38,1075,262,770,54,169,42,272,133,4042
SED26903,4,29,0,1406,33,16,8,44,13,24,6,12,12,57,151,368,4,3,3,5,0,0,0,0,0,14,23,57,1429,452,76,2047,353,1217,134,486,126,862,197,7375
SED27003,12,25,0,2474,36,6,3,22,5,23,4,11,3,23,121,256,8,0,0,3,3,0,0,0,0,3,17,40,1351,255,43,1437,333,682,73,275,52,369,147,5006
SED27101,5,23,9,2359,66,0,7,61,14,24,8,12,12,32,176,409,10,4,8,8,0,0,0,3,3,0,19,53,2075,415,78,2829,417,1400,98,427,86,570,212,8611
SED27208,4,13,0,621,93,24,3,93,8,60,9,18,10,52,229,600,11,0,5,13,4,3,0,3,7,6,27,71,1307,336,82,2078,262,828,120,318,114,531,279,6264
SED27305,9,31,0,2226,83,24,9,91,8,43,9,25,8,41,155,488,3,0,5,10,0,11,6,0,0,3,13,56,2348,388,79,2770,325,1392,108,403,74,588,185,8651
SED27406,19,54,6,4295,87,21,7,84,14,49,4,22,13,31,178,502,0,0,4,7,6,4,0,0,3,0,10,39,2312,389,71,2775,387,1242,90,307,79,428,203,8288
SED27504,0,14,0,934,104,17,6,107,18,40,5,20,8,51,203,581,7,0,7,12,0,5,0,0,0,21,42,93,1755,363,87,2518,333,1040,108,393,105,800,274,7785
SED27608,16,27,0,2743,118,26,16,136,26,51,8,28,11,30,299,733,13,3,10,7,3,5,0,0,4,4,27,73,2553,636,132,4591,692,1615,202,459,110,474,334,11802
SED27708,4,12,0,891,97,24,8,116,8,43,4,23,10,32,228,609,7,0,10,8,4,0,0,3,0,4,21,63,1369,378,90,2619,359,843,138,275,79,399,267,6820
SED27807,6,53,0,717,27,12,5,34,10,52,6,27,18,77,196,465,0,0,0,0,0,4,0,5,0,12,52,81,1161,383,62,1413,246,1633,101,863,189,1704,294,8044
SED27907,8,30,0,1478,77,16,3,85,13,38,9,26,11,50,206,539,11,0,3,9,6,0,4,3,0,3,26,71,1851,329,72,2722,462,1462,138,433,125,759,256,8610
SED28007,21,47,0,2357,123,21,24,109,23,81,10,27,23,51,273,768,12,0,4,23,7,8,0,4,7,11,66,142,2985,554,128,3520,538,2359,174,782,205,1151,372,12757
SED28107,20,40,9,2460,83,9,36,85,23,82,10,31,49,71,584,1078,14,3,13,8,0,3,0,3,7,9,123,172,5035,972,214,4574,853,4603,266,1547,421,1538,792,20811
SED28203,6,48,4,927,48,6,10,43,10,49,8,29,23,89,256,567,3,0,3,9,0,4,3,0,6,17,72,121,1969,575,92,2424,414,2216,133,895,224,1923,378,11251
SED28301,17,77,6,3272,82,19,13,103,13,69,4,38,12,48,259,659,4,0,3,13,3,3,0,0,7,4,20,60,2297,569,85,2859,267,1605,130,593,92,809,299,9602
SED28408,9,10,0,1199,73,15,0,73,14,37,4,9,3,19,183,432,3,0,0,4,0,0,0,4,0,8,21,41,1345,330,48,2188,340,924,91,331,70,405,215,6281
SED28507,4,35,9,1530,71,15,17,73,19,65,9,27,20,48,320,680,12,0,11,8,10,6,0,0,0,20,53,122,2816,451,96,2857,510,2759,139,778,209,1007,419,12046
SED28607,18,42,3,4283,76,18,9,58,11,33,4,29,10,29,212,495,4,0,5,3,0,4,0,0,0,3,16,43,2721,430,83,3045,546,1356,117,428,112,623,242,9713
SED28704,18,36,0,2782,163,21,7,162,32,86,20,22,17,41,375,942,16,4,15,11,4,12,0,0,7,10,60,147,3717,695,145,5140,846,2739,234,640,227,821,463,15666
SED28803,16,95,9,2255,102,21,29,103,27,85,24,45,41,147,517,1135,13,0,13,16,9,13,6,5,15,34,132,248,3836,861,170,4595,755,4280,263,1863,437,3257,736,21053
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
