SED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SED21106,0,0,0,0,2032,2030,3,0,0,5,1617,1626,498,22,31,0,2584,3134,2054,98,180,0,1311,3644,3106,171,442,17,839,4584,2794,122,470,54,580,4022,2080,104,409,93,268,2956,1264,33,176,161,103,1728,387,10,43,210,49,698,12184,565,1750,541,9376,24418,0,0,0,0,1860,1860,6,0,0,0,1550,1565,733,42,59,0,2752,3584,2450,117,287,19,1427,4297,3398,233,611,57,1018,5318,2682,167,744,153,632,4377,1940,92,648,372,280,3326,977,35,309,715,118,2161,199,4,89,864,71,1237,12387,693,2750,2176,9713,27719,0,0,0,0,3889,3891,12,0,0,5,3169,3186,1231,59,88,3,5330,6717,4503,218,469,19,2734,7941,6504,408,1053,77,1862,9907,5476,287,1218,204,1215,8397,4028,191,1058,458,545,6281,2240,69,481,874,219,3892,582,20,132,1072,124,1930,24571,1256,4500,2720,19092,52137
SED21203,9,0,0,0,2385,2393,147,3,4,0,2851,3009,2181,133,130,3,4082,6528,3287,231,311,18,1376,5227,2527,270,496,21,906,4220,2434,231,575,74,616,3922,1570,120,348,108,200,2347,1109,51,103,187,73,1521,364,16,19,191,9,598,13625,1055,1967,608,12510,29759,8,0,0,0,2230,2240,382,29,15,0,2153,2579,2997,197,195,10,2349,5748,3103,358,374,37,1004,4873,2523,302,652,106,685,4273,2084,276,680,305,489,3821,1386,129,421,645,146,2732,741,28,166,956,47,1951,160,6,31,705,11,912,13379,1325,2544,2759,9115,29126,12,0,0,0,4613,4628,527,38,22,0,5004,5586,5178,329,326,19,6432,12275,6393,588,682,51,2386,10099,5050,574,1150,129,1592,8487,4514,500,1250,376,1100,7743,2957,246,770,752,350,5074,1850,84,274,1141,124,3476,520,21,54,897,16,1506,27001,2378,4516,3369,21624,58886
SED21303,0,0,0,0,1279,1281,31,0,0,0,2794,2827,1207,58,75,5,8009,9349,2512,144,301,12,3363,6332,2120,158,416,21,1602,4315,1574,116,468,42,891,3097,1148,88,345,64,377,2029,775,31,129,155,134,1232,320,8,28,172,41,558,9684,610,1752,471,18487,31009,0,0,0,0,1305,1307,62,3,7,0,3296,3367,1544,108,141,10,8465,10264,2527,160,371,21,3424,6503,2152,182,540,47,1593,4508,1567,144,633,153,934,3430,1068,94,497,332,444,2430,617,22,197,654,128,1621,123,8,39,680,57,918,9664,712,2427,1891,19647,34337,0,0,3,0,2578,2589,90,4,6,0,6091,6191,2749,165,209,13,16471,19609,5036,300,671,29,6791,12828,4266,340,952,64,3197,8825,3137,262,1102,193,1822,6521,2219,179,842,400,815,4457,1397,55,328,812,261,2848,446,11,65,851,98,1476,19341,1324,4180,2368,38135,65349
SED21401,0,0,0,0,1920,1922,18,0,0,0,2056,2070,1196,25,60,4,2719,4004,2800,114,173,0,1033,4129,2844,166,343,15,705,4077,2996,151,407,38,359,3950,2549,91,247,118,121,3129,2232,47,130,268,62,2737,811,8,30,330,17,1195,15443,611,1392,783,8996,27213,0,0,0,0,1751,1751,42,0,0,0,1773,1821,1557,48,94,4,2327,4034,3136,171,337,11,820,4483,3096,233,563,51,594,4532,3111,155,654,157,320,4402,2717,104,442,492,168,3923,1802,39,207,1172,60,3275,379,7,67,1131,24,1614,15837,757,2362,3018,7849,29826,0,0,0,0,3668,3675,56,0,3,0,3825,3888,2757,74,150,8,5049,8038,5936,285,514,14,1857,8607,5938,396,908,67,1301,8605,6106,305,1067,191,682,8350,5266,195,689,609,292,7052,4026,81,338,1440,124,6010,1192,20,94,1463,46,2811,31276,1365,3759,3796,16848,57040
SED21503,0,0,0,0,1810,1810,18,0,3,0,2465,2492,1220,45,46,0,3468,4784,2556,117,188,5,1244,4112,2557,205,337,20,846,3963,2208,137,414,39,461,3265,1937,99,290,126,170,2628,1232,46,130,204,45,1650,343,3,15,196,17,576,12076,650,1414,589,10547,25281,0,0,0,0,1663,1663,48,4,4,0,2096,2156,1563,57,67,3,2665,4361,2669,137,291,17,1013,4136,2584,236,484,70,767,4134,2190,175,610,168,410,3555,1876,112,457,409,182,3025,917,45,197,749,64,1973,184,9,50,652,12,903,12029,782,2162,2061,8869,25905,0,0,0,0,3468,3468,61,8,7,0,4566,4644,2777,103,120,8,6134,9138,5226,256,481,24,2259,8248,5143,445,826,89,1613,8100,4406,315,1025,208,872,6821,3812,214,738,537,351,5654,2149,87,329,950,110,3621,527,13,62,845,30,1477,24108,1433,3584,2654,19408,51188
SED21608,0,0,5,0,2053,2056,28,3,0,0,2027,2064,1132,48,44,4,3000,4228,2324,158,236,9,1415,4138,2488,231,515,25,995,4253,2496,213,629,71,691,4104,2396,147,577,146,273,3543,1074,62,204,254,100,1693,267,9,25,175,23,491,12213,872,2236,683,10576,26580,3,0,0,0,1951,1958,68,8,0,0,1821,1896,1455,91,64,9,2760,4370,2499,213,314,19,1337,4377,2521,259,685,83,1000,4544,2509,226,857,208,554,4357,2145,151,724,503,211,3736,862,31,226,671,67,1858,139,6,42,573,18,777,12197,981,2913,2060,9722,27879,7,0,5,0,4004,4019,93,11,4,3,3851,3969,2582,141,110,12,5755,8598,4829,370,546,27,2749,8516,5011,492,1196,106,1995,8797,5005,437,1486,279,1248,8458,4544,302,1298,651,486,7281,1934,92,430,926,169,3554,408,10,65,741,41,1266,24407,1856,5145,2740,20299,54457
SED21706,6,0,0,0,2214,2213,24,4,0,0,2964,2994,1223,29,49,3,3595,4898,2988,83,197,3,1029,4302,3272,143,311,25,667,4412,2768,88,390,68,447,3755,2018,71,262,84,299,2738,1096,34,143,145,111,1531,436,12,30,218,47,742,13826,457,1378,552,11363,27583,0,0,0,0,2363,2359,37,8,0,0,2690,2736,1557,51,77,7,2767,4463,3273,130,270,6,907,4586,3533,212,548,59,716,5069,2683,163,667,175,457,4140,1856,88,568,339,287,3140,874,35,287,729,139,2065,230,3,98,941,78,1346,14035,681,2515,2263,10405,29906,3,0,0,0,4570,4577,63,9,0,4,5656,5726,2778,78,127,10,6359,9361,6260,213,468,15,1938,8892,6809,354,856,82,1380,9474,5448,248,1051,246,905,7897,3873,155,835,429,588,5877,1965,73,434,879,252,3599,666,10,126,1159,125,2091,27859,1141,3900,2813,21768,57485
SED21805,0,0,0,0,1963,1963,22,0,0,0,1823,1844,1168,56,46,4,3324,4599,2831,175,288,13,1774,5079,2692,297,642,34,1256,4913,2435,254,789,87,693,4252,1926,158,562,138,280,3063,993,52,257,218,84,1601,238,11,48,174,14,478,12306,998,2627,660,11208,27801,0,0,0,0,1752,1754,49,0,0,0,1785,1830,1638,87,85,6,3119,4940,3034,254,418,30,1634,5375,2698,334,896,92,1094,5120,2332,288,1109,233,576,4541,1766,173,912,513,218,3582,716,51,364,702,62,1896,149,11,81,621,17,881,12387,1200,3876,2199,10262,29915,0,0,0,0,3719,3720,62,3,0,0,3600,3667,2807,149,138,7,6446,9544,5864,428,705,47,3412,10452,5389,634,1540,126,2348,10031,4771,539,1897,319,1269,8795,3698,327,1468,645,501,6645,1714,104,621,917,142,3498,386,14,126,796,33,1360,24689,2197,6504,2858,21466,57707
SED21906,0,0,0,0,1628,1633,66,0,6,0,2152,2221,1336,28,52,0,4640,6068,2787,99,209,4,1797,4892,2467,139,341,18,1021,3988,2105,126,419,39,612,3303,2054,95,457,94,383,3082,1003,35,164,103,135,1448,355,10,43,171,43,613,12170,534,1690,444,12415,27248,0,0,0,0,1696,1697,119,5,0,0,2202,2331,1750,54,106,3,4344,6250,2900,139,325,16,1645,5031,2545,188,513,54,1005,4308,2073,138,603,128,604,3550,1901,113,662,374,365,3416,709,32,315,595,118,1763,163,6,70,841,49,1141,12160,676,2597,2016,12027,29478,0,0,0,0,3315,3323,182,6,4,0,4358,4551,3085,82,155,9,8986,12322,5684,239,534,25,3438,9926,5014,329,855,73,2029,8297,4183,260,1021,166,1219,6851,3953,209,1120,466,747,6493,1711,66,478,703,254,3213,516,17,116,1012,91,1750,24333,1215,4285,2455,24433,56728
SED22005,3,0,0,0,1820,1823,77,5,3,0,3281,3359,2258,75,109,3,5310,7750,3544,157,290,4,1420,5418,2782,191,421,20,955,4376,2391,178,535,49,579,3737,2132,121,346,123,269,2991,1428,68,144,247,72,1958,507,12,31,318,36,905,15119,805,1883,768,13745,32321,9,0,0,0,1714,1726,202,8,7,0,2488,2709,2797,104,135,3,3334,6368,3519,206,369,38,1098,5224,2797,245,696,79,723,4545,2371,207,750,245,501,4070,1991,106,566,603,268,3529,1090,40,247,977,94,2450,240,5,70,1066,41,1419,15019,928,2837,3014,10248,32045,16,0,0,0,3534,3549,281,18,14,4,5764,6074,5057,178,239,10,8641,14124,7059,369,655,42,2521,10642,5583,439,1120,98,1680,8922,4762,386,1284,292,1079,7805,4118,227,918,718,540,6521,2516,108,393,1228,167,4410,745,18,99,1382,71,2321,30138,1739,4721,3777,23993,64367
SED22105,0,0,0,0,3805,3802,118,3,6,4,4016,4143,4110,153,157,6,5575,10004,8656,304,479,17,2040,11499,5154,337,665,48,1096,7308,3420,257,743,92,499,5010,2248,140,396,142,149,3068,1040,45,169,184,54,1483,269,6,21,115,10,428,25012,1258,2641,612,17229,46754,7,0,0,0,3759,3768,332,21,4,4,3662,4025,5971,260,235,20,4702,11194,8244,471,667,74,1768,11224,4601,456,1052,190,907,7204,3011,301,987,400,375,5070,1885,148,668,717,128,3555,753,39,223,736,22,1774,155,8,38,541,9,748,24960,1704,3882,2684,15338,48561,7,4,0,0,7561,7571,452,23,11,4,7673,8169,10083,414,399,28,10273,21200,16898,773,1146,98,3809,22726,9760,798,1717,234,2005,14512,6427,558,1733,489,871,10081,4137,284,1064,858,276,6619,1791,83,393,920,71,3257,423,17,58,655,25,1176,49972,2960,6520,3296,32568,95316
