LGA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA21270,26,101,17,35,10,204,12,7,86,55,60,14,239,0,5,5,8,5,0,20,0,0,0,8,44,4,57,0,0,4,4,16,11,34,56,59,354,243,788,94,1587
LGA21370,138,467,125,166,19,1022,134,151,605,458,770,100,2222,4,3,31,36,61,3,144,21,10,40,71,385,17,539,7,6,28,37,194,85,352,420,424,2191,1772,5424,494,10729
LGA21450,541,1719,598,675,53,4294,677,459,2166,1526,1807,182,6810,28,19,133,140,244,19,584,71,27,193,347,1219,45,1906,104,30,299,294,847,242,1816,3216,1575,9445,7804,16729,1294,40054
LGA21610,1079,3831,1629,1461,169,10180,2535,1308,7823,4926,5248,599,22441,83,46,346,295,432,41,1234,243,80,692,988,2661,137,4807,543,68,1375,1065,2093,804,5948,12839,4165,33782,24000,39045,4034,117861
LGA21670,30,127,39,60,0,267,37,32,158,150,242,22,639,0,3,14,7,12,0,39,6,4,7,16,94,4,126,0,0,14,11,65,25,107,90,103,495,452,1520,134,2794
LGA21750,83,274,72,116,3,622,93,79,320,234,395,41,1161,8,0,23,16,32,0,83,7,0,9,32,191,7,256,6,3,25,25,100,50,206,381,248,1347,1082,3188,276,6523
LGA21830,42,194,55,73,9,410,43,45,185,133,277,41,722,3,5,16,9,19,0,54,4,3,9,13,106,5,144,3,5,25,17,80,37,167,180,166,996,697,2250,248,4533
LGA21890,1143,3029,600,445,75,8023,2559,1002,4187,1290,1192,209,10432,248,100,778,208,176,23,1532,256,89,568,376,671,37,1986,318,70,834,297,437,306,2266,12180,4387,25764,8333,10000,1494,62159
LGA22110,206,559,207,298,24,1458,207,170,726,636,809,72,2631,10,8,54,39,67,4,178,13,10,54,82,365,16,542,9,6,42,65,221,88,431,633,570,2475,2231,5894,563,12366
LGA22170,682,2232,741,720,81,5354,791,631,2750,1945,2384,247,8746,45,18,192,150,236,17,663,63,39,239,394,1243,33,2015,93,49,353,359,867,232,1946,3183,2119,11711,9355,19154,1445,46965
LGA22250,22,112,34,40,8,230,33,33,84,97,140,20,408,0,0,4,0,12,0,15,0,0,0,10,96,0,109,0,0,10,13,62,13,97,84,84,448,398,1392,128,2547
LGA22310,903,3027,657,480,105,7544,2232,799,4484,1238,941,234,9933,160,56,548,171,154,31,1121,204,66,541,334,653,50,1849,456,81,1040,359,320,318,2574,13139,3897,28868,8178,8347,1681,64111
LGA22410,60,238,66,110,8,542,65,81,301,230,387,38,1099,4,0,15,14,32,0,73,4,0,19,33,172,3,228,3,8,11,14,102,39,178,201,208,980,850,2879,245,5366
LGA22490,127,368,154,142,18,932,96,146,457,330,480,35,1537,8,0,20,28,47,3,107,10,4,23,53,266,12,361,12,13,45,34,178,46,312,394,437,1745,1535,4118,279,8507
LGA22620,678,1914,484,655,57,4387,1117,841,3138,1672,2249,228,9249,29,19,146,83,181,16,479,66,35,194,265,1041,34,1628,45,30,149,134,555,172,1086,2798,2301,10124,6076,15662,1131,38100
LGA22670,328,1117,428,326,59,3004,978,376,2788,1454,1522,233,7351,31,12,124,76,105,8,356,116,27,367,434,886,61,1887,314,35,700,452,751,504,2758,5794,1373,14548,7949,10524,1909,42097
LGA22750,1406,4867,1449,1407,130,11551,2298,1662,7064,3334,4583,441,19393,114,57,450,261,394,36,1313,171,79,492,655,1964,87,3445,220,61,626,442,1100,406,2856,9320,4991,27883,15598,31950,2439,92173
LGA22830,361,886,284,382,38,2231,495,310,1342,967,1145,131,4396,8,4,31,26,77,3,147,23,18,80,133,618,17,889,20,13,87,99,335,129,681,1311,965,4341,3446,8174,741,18980
LGA22910,93,181,59,68,5,537,128,72,291,188,203,20,911,13,11,48,26,42,3,137,9,3,20,37,119,5,196,6,9,37,22,77,29,175,561,339,1388,917,1774,178,5159
LGA22980,26,71,21,28,3,165,24,16,99,82,115,10,343,0,0,0,3,8,0,12,0,0,4,3,30,0,37,0,0,5,6,29,9,43,65,55,278,245,727,53,1423
LGA23110,536,1625,394,322,46,3844,782,444,1717,674,613,109,4336,70,29,285,129,152,16,679,106,49,243,220,524,19,1162,159,24,381,185,315,157,1227,4871,2067,12572,5291,7770,854,33430
LGA23190,97,311,78,115,17,689,116,101,428,354,452,33,1482,0,3,16,17,32,0,71,8,9,30,39,209,7,303,6,0,23,26,89,31,172,367,292,1336,1141,2980,210,6335
LGA23270,782,2645,965,1028,127,6849,1308,709,3926,2253,2390,321,10913,49,32,245,154,210,18,698,131,31,368,546,1525,86,2692,299,53,673,570,1105,535,3235,7575,2628,19877,13457,22251,2553,68334
LGA23350,122,260,84,93,3,691,119,126,336,230,285,36,1121,8,4,22,11,20,3,69,9,0,14,31,144,5,208,3,3,34,17,84,36,179,448,392,1456,963,2479,211,5940
LGA23430,889,2943,804,615,88,6967,1452,783,3802,1608,1602,246,9493,101,45,379,178,222,18,940,137,64,429,430,1061,61,2188,281,65,787,392,649,302,2482,8013,3190,22058,10336,14834,1683,60112
LGA23670,715,2588,767,697,82,6279,1283,711,3597,1866,1971,252,9689,65,25,272,154,201,13,722,182,50,430,467,1326,52,2510,285,68,711,385,809,244,2501,7393,2662,19598,10164,16904,1532,58245
LGA23810,235,817,285,439,43,2134,392,291,1339,891,1452,149,4508,12,3,38,45,85,6,191,21,3,59,124,662,17,885,14,8,79,85,430,126,731,1089,816,4135,3409,10724,757,20938
LGA23940,31,72,28,28,4,174,12,20,92,59,96,14,291,0,0,6,0,4,0,16,0,0,4,8,41,5,52,0,0,3,16,30,22,76,54,81,388,331,934,101,1892
LGA24130,375,903,230,292,29,2321,347,297,921,433,471,77,2549,40,27,132,64,82,9,357,26,18,114,111,424,13,704,44,20,126,75,252,81,595,1881,1256,5361,3041,6149,517,18211
LGA24210,503,1825,464,333,60,4483,1614,560,3265,958,804,182,7395,62,21,245,99,99,18,542,181,58,412,298,611,42,1597,291,51,741,254,301,229,1865,8390,2304,19008,6389,7328,1239,44657
LGA24250,72,169,50,55,7,417,32,31,127,98,89,15,400,5,3,12,17,13,0,45,0,8,16,19,94,3,142,4,3,18,16,38,19,106,199,165,760,589,1372,112,3198
LGA24330,579,1575,300,201,44,4063,1252,494,2241,640,569,98,5302,128,59,409,144,164,9,916,133,45,352,207,353,30,1125,222,41,527,193,244,189,1423,7110,2365,15770,4947,5680,910,36782
LGA24410,763,2293,603,488,65,5447,1013,706,2747,1396,1478,170,7511,65,26,226,124,137,9,582,150,56,370,337,844,28,1785,156,37,458,270,476,177,1564,5561,2555,14600,7390,12089,1033,43224
LGA24600,533,2303,335,199,73,6875,2686,626,3911,704,516,143,8573,331,93,895,280,210,27,1846,343,60,649,354,379,54,1838,739,79,1194,333,252,325,2913,20818,3343,34836,8083,6234,1794,75111
LGA24650,664,2177,768,796,90,5398,959,551,3210,1773,1961,269,8729,35,26,213,159,221,22,683,95,30,285,386,1244,59,2092,203,27,538,375,838,354,2331,5511,2112,16481,10273,18425,1895,54690
LGA24780,250,816,262,349,28,1872,286,214,975,632,930,82,3123,4,6,33,31,66,6,148,11,3,48,101,485,21,675,13,6,70,71,279,135,579,751,675,3408,2635,7280,709,15453
LGA24850,185,536,254,322,17,1509,201,188,642,547,669,72,2324,5,6,44,52,77,7,184,18,10,60,105,472,20,686,30,8,70,84,320,96,610,915,617,2959,2893,7162,560,15110
LGA24900,113,322,111,171,14,794,76,89,402,338,451,48,1398,0,0,13,8,38,3,65,9,4,22,52,237,17,335,0,3,26,34,160,46,278,252,287,1488,1356,4029,394,7816
LGA24970,771,2996,649,480,100,8030,2345,738,4989,1444,1255,258,11031,127,34,333,150,155,12,818,294,69,611,443,797,62,2274,733,69,1202,403,454,414,3278,16935,3464,30159,9641,9906,1961,72068
LGA25060,742,2433,493,374,74,5720,1612,714,3165,899,736,135,7264,112,58,468,168,191,16,1004,148,54,348,260,632,35,1480,238,46,640,241,363,228,1758,7903,3144,20087,6976,9191,1202,48496
LGA25150,242,621,205,259,22,1579,166,146,558,396,446,50,1759,6,8,53,40,84,7,192,17,6,55,85,364,5,543,17,5,64,65,253,78,485,876,605,2763,2208,5502,424,12374
LGA25250,1244,3589,727,536,72,9638,2871,1092,4649,1452,1183,235,11482,305,115,928,251,230,29,1854,307,88,692,401,811,55,2357,391,93,1025,373,460,324,2669,15159,4845,30349,9727,11742,1694,73512
LGA25340,794,2796,747,732,108,6191,1007,654,2985,1784,2158,244,8832,69,62,316,224,343,40,1057,76,40,273,377,1281,54,2098,96,49,492,341,777,242,1998,3977,2572,14494,9852,19918,1742,52553
LGA25430,151,303,63,66,5,858,216,150,402,229,233,34,1266,33,24,77,36,23,3,198,16,11,50,36,119,4,238,22,13,66,21,61,28,213,906,526,1839,1005,1878,182,6340
LGA25490,64,233,64,84,4,534,102,81,346,207,244,39,1021,4,0,13,12,21,4,58,8,0,19,38,126,4,202,4,9,30,19,86,27,172,323,229,1324,949,2460,253,5540
LGA25620,78,194,89,95,12,526,53,39,196,157,207,28,676,6,0,19,16,30,0,79,8,5,21,39,147,4,213,9,3,16,29,94,30,180,251,230,914,852,2212,185,4640
LGA25710,488,1484,358,315,53,3421,651,413,1516,677,654,102,4012,51,27,181,77,118,11,463,74,22,174,165,501,26,964,80,27,238,121,254,73,803,3006,1601,8354,4102,7256,633,24947
LGA25810,29,113,42,44,5,260,36,38,182,153,276,27,708,0,0,24,16,28,0,75,6,4,7,15,62,4,90,7,0,6,9,33,10,66,131,125,629,557,1549,157,3151
LGA25900,523,1838,382,244,55,4809,1782,586,2953,743,462,140,6661,216,83,701,249,185,24,1457,199,55,476,305,493,29,1563,370,83,866,290,270,190,2069,10504,3001,22884,6578,6415,1201,50586
LGA25990,20,67,11,27,0,152,27,31,94,72,117,11,341,0,3,10,3,6,0,26,0,0,5,5,63,5,77,0,0,7,15,31,19,71,95,95,378,334,955,83,1934
LGA26080,19,64,10,12,4,131,30,12,77,33,22,9,170,3,4,11,3,3,0,28,0,3,11,7,4,0,24,4,0,5,9,8,8,37,144,74,405,158,201,35,1012
LGA26170,125,409,141,153,14,970,140,125,444,332,452,54,1552,15,12,54,26,44,3,157,14,6,40,47,289,8,401,15,8,36,55,146,57,313,517,434,1928,1437,4156,355,8826
LGA26260,73,224,62,87,12,525,72,89,324,223,300,32,1031,0,0,8,9,21,3,41,0,5,14,29,118,0,165,5,0,15,20,73,23,136,271,241,1141,866,2334,186,5037
LGA26350,526,1812,291,166,51,4575,2146,601,3770,669,454,168,7797,158,57,612,175,132,24,1154,169,36,389,214,356,28,1203,382,63,1024,200,182,199,2053,11031,2977,25531,5553,4701,1137,50927
LGA26430,44,132,44,49,8,319,37,34,124,120,155,26,494,0,4,26,20,38,4,90,5,0,19,18,66,4,109,11,4,15,22,38,12,100,189,148,686,598,1424,155,3207
LGA26490,257,834,197,145,15,1872,347,267,993,363,322,48,2337,43,19,132,65,72,8,333,25,17,84,97,217,18,451,37,21,168,73,135,59,488,1603,935,5107,2335,3988,382,14345
LGA26610,89,292,64,149,6,646,83,69,282,213,303,35,980,0,4,9,10,29,3,64,6,8,6,26,216,7,268,0,3,19,28,120,73,242,201,224,1159,944,2708,338,5570
LGA26670,36,74,23,36,0,199,14,24,107,77,121,12,356,3,0,9,6,3,0,17,0,3,3,5,69,0,74,0,0,5,5,24,11,46,80,103,362,309,936,87,1873
LGA26700,148,441,135,211,15,1064,213,210,705,514,591,57,2283,10,4,16,21,48,4,104,13,9,35,69,269,3,391,8,7,32,39,151,51,286,547,539,2163,1698,4175,359,9486
LGA26730,169,623,146,231,20,1422,316,255,927,517,737,66,2815,8,3,35,30,64,4,141,11,8,38,64,318,13,448,7,6,35,38,162,52,308,813,605,2938,1851,4783,355,11343
LGA26810,203,584,183,246,24,1410,228,182,674,522,787,74,2467,8,6,32,27,49,3,123,11,14,40,63,383,19,533,5,8,44,60,230,75,425,672,580,2733,2103,6111,521,12721
LGA26890,17,62,9,14,4,114,7,16,56,50,49,11,180,0,0,0,0,0,0,4,3,0,0,0,20,0,27,0,0,0,0,18,6,25,34,55,234,201,501,65,1091
LGA26980,893,2978,656,497,82,7632,2230,879,4840,1493,1175,213,10832,140,55,403,147,145,13,893,309,116,680,400,677,46,2221,488,62,963,370,367,262,2516,14150,3891,27555,8932,9218,1442,65189
LGA27070,884,2745,1053,1017,118,7327,1875,891,5090,2761,2863,423,13893,77,42,260,195,239,24,837,201,39,404,626,1621,109,3008,332,57,752,536,1056,453,3179,9279,2999,22071,13960,22652,2551,73501
LGA27170,227,580,243,327,18,1590,251,243,946,597,925,57,3015,7,5,18,9,47,0,88,6,9,43,89,404,18,573,15,11,50,62,238,50,422,745,691,2933,2519,6617,373,13876
LGA27260,870,3000,1156,879,154,8186,2211,953,5378,2839,2757,391,14537,161,56,479,281,323,24,1333,307,56,552,647,1436,85,3089,860,85,1270,737,1156,715,4820,19505,3901,33524,16917,23076,3479,100398
LGA27350,551,1916,219,166,48,5019,2238,645,3459,516,410,97,7365,286,82,833,181,121,18,1524,213,63,412,198,369,41,1304,281,63,838,181,164,174,1698,11221,3221,24190,4571,4605,856,48667
LGA27450,920,2812,932,887,70,6855,870,725,2773,2018,2361,252,8998,58,48,271,192,294,18,883,137,51,327,470,1765,52,2800,115,35,401,346,1021,284,2203,4201,2742,14147,10230,22869,1581,55768
LGA27630,24,74,34,34,6,180,18,23,85,81,143,21,370,0,0,0,4,3,0,10,0,0,9,11,42,0,58,0,0,3,6,20,13,48,54,66,297,299,827,82,1629
LGA29399,0,8,0,5,0,17,0,0,4,5,0,0,14,0,0,7,3,5,0,16,0,0,0,0,4,0,4,0,0,6,0,3,4,9,23,11,128,54,121,16,359
LGA29499,10,25,9,9,0,76,35,13,52,24,41,8,167,3,0,16,4,12,0,32,0,0,8,5,14,0,35,4,4,21,8,23,16,68,149,53,385,164,432,59,1239
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6
