LGA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA21270,931,529,525,481,784,1014,903,523,274,5968,0,0,0,0,0,5,5,0,0,9,4,0,0,9,0,0,3,0,0,14,19,31,27,23,19,46,43,13,0,227,0,0,0,0,0,0,0,0,0,5,0,6,6,0,0,0,0,0,0,6,0,0,0,0,0,3,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,30,31,21,52,44,14,0,255,23,34,34,36,23,51,52,16,3,266,954,570,556,513,806,1067,958,542,278,6243
LGA21370,6472,3888,3746,3764,4748,5433,4739,3003,1222,37015,12,5,6,8,3,19,22,20,10,109,15,25,25,8,6,10,7,11,5,104,111,184,199,117,126,199,166,77,34,1202,5,0,0,3,3,6,3,0,0,20,3,3,3,0,0,0,0,0,0,10,4,0,4,3,0,0,5,0,0,13,3,5,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,131,213,235,128,143,223,176,83,38,1367,146,218,241,140,146,236,198,100,42,1477,6618,4105,3989,3901,4901,5676,4938,3102,1266,38493
LGA21450,26399,13881,18150,17205,14199,11260,8261,4410,1425,115199,4,11,9,14,19,16,15,14,7,108,3,3,12,7,5,7,7,4,0,45,308,398,338,211,166,159,118,52,32,1779,0,0,9,0,0,4,7,0,0,33,7,6,3,0,0,5,0,0,0,27,0,0,0,4,0,3,5,0,0,14,0,0,0,0,0,0,5,0,0,7,0,0,3,0,0,4,0,0,0,9,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,325,411,363,226,178,177,144,57,32,1919,335,427,375,239,192,195,159,70,40,2032,26732,14308,18525,17441,14390,11460,8421,4485,1466,117228
LGA21610,82250,46418,54544,57276,44557,35388,22813,11263,4033,358543,38,25,35,34,27,22,34,33,7,259,3,14,15,11,22,8,7,6,4,89,747,840,941,554,441,428,314,260,111,4635,13,5,9,12,14,25,13,3,0,103,6,7,10,5,4,13,5,4,0,51,7,3,8,4,5,5,6,0,0,40,0,4,0,0,0,3,4,4,0,15,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,773,875,985,598,493,482,353,277,109,4943,815,903,1020,632,512,503,385,306,118,5197,83062,47317,55569,57909,45078,35891,23194,11572,4158,363743
LGA21670,1925,1179,1121,1071,1614,2025,2160,1388,480,12962,0,6,5,3,4,4,6,9,0,38,0,0,0,0,0,0,0,0,0,0,39,34,41,32,42,54,59,31,16,354,0,0,0,0,3,4,0,0,0,11,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,43,38,47,61,60,30,16,370,42,37,46,43,46,67,74,47,12,408,1968,1223,1161,1114,1663,2090,2226,1434,499,13372
LGA21750,3652,2162,2464,2350,2698,3013,2820,1512,606,21271,4,3,5,11,7,15,15,9,0,66,0,4,5,0,7,0,0,0,0,22,88,112,173,115,125,191,126,50,20,994,0,0,0,0,0,0,4,0,0,14,0,3,0,0,3,5,0,0,0,11,3,0,0,0,0,0,3,0,0,11,0,0,6,0,0,0,5,0,0,7,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,125,177,119,136,198,137,53,25,1062,94,129,180,129,137,212,155,58,29,1125,3744,2288,2649,2482,2835,3226,2972,1571,638,22402
LGA21830,2648,1589,1502,1541,2001,2408,1994,1233,482,15395,0,3,0,0,5,8,16,4,4,40,0,3,0,0,0,0,0,0,0,3,23,66,80,33,63,73,29,33,16,423,0,0,3,0,0,11,4,0,0,12,3,10,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,76,85,31,64,83,40,33,16,465,23,80,85,31,71,91,49,33,25,507,2674,1675,1588,1574,2069,2493,2047,1267,510,15897
LGA21890,21841,15557,27608,23184,19836,14878,10203,7129,3795,144029,13,31,26,11,20,28,29,30,13,193,0,30,7,12,13,11,7,4,0,87,278,480,633,368,352,275,140,122,79,2720,5,15,9,3,3,4,11,6,0,49,3,9,10,3,0,7,3,0,0,29,0,7,8,4,0,7,0,0,0,22,0,7,0,4,0,6,4,4,0,25,0,4,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,283,541,673,385,377,304,164,128,81,2945,297,575,696,401,397,334,196,159,93,3139,22134,16132,28309,23582,20233,15206,10396,7285,3884,147167
LGA22110,7121,3909,4181,4326,5368,7181,7949,4499,1430,45955,5,13,19,7,15,32,45,22,10,160,4,7,4,0,6,6,14,7,0,53,191,252,238,223,248,388,360,145,45,2095,5,0,7,0,5,12,7,0,0,40,0,3,0,5,4,3,7,0,0,21,0,4,0,0,0,0,0,4,0,9,0,4,0,0,0,4,0,0,0,8,0,0,0,0,0,3,4,0,0,10,0,0,3,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,203,265,251,234,270,437,387,157,51,2253,207,276,270,246,285,466,434,180,56,2415,7321,4187,4447,4566,5654,7647,8385,4680,1487,48371
LGA22170,25330,15032,18585,19245,18551,16407,12322,6933,2881,135298,11,16,14,17,13,31,24,23,7,155,3,9,9,4,0,7,16,4,0,45,402,459,463,338,313,259,275,227,164,2900,6,3,8,4,5,11,12,0,0,52,5,0,0,3,4,3,6,0,0,18,0,0,6,0,0,4,0,0,0,14,0,0,3,0,0,7,3,4,0,18,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,404,476,483,353,327,300,313,243,163,3062,418,497,497,371,339,325,343,260,174,3217,25749,15529,19079,19617,18895,16733,12665,7200,3051,138517
LGA22250,1644,867,843,969,1240,1576,1632,1010,382,10173,14,4,5,3,12,7,6,7,4,54,0,0,3,0,4,0,0,0,0,11,13,51,43,29,44,45,45,25,13,309,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,60,43,29,50,57,48,22,13,336,27,61,46,34,58,61,60,30,15,390,1674,931,888,1004,1294,1638,1688,1047,399,10562
LGA22310,25645,17280,21788,21467,20010,15564,12492,6972,3820,145031,6,3,8,5,6,16,14,13,16,92,4,18,14,9,8,15,8,4,0,76,242,304,392,270,227,225,195,128,103,2084,0,7,3,5,3,0,20,5,0,46,0,0,9,0,0,0,0,0,0,11,0,4,0,0,0,12,9,3,0,34,3,0,9,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,245,335,422,289,244,256,243,142,109,2281,249,345,434,290,255,274,256,152,123,2371,25900,17621,22217,21757,20260,15832,12743,7123,3941,147403
LGA22410,3022,1838,1766,1952,2551,3146,2816,1444,558,19103,0,4,8,5,18,8,8,6,4,59,0,5,3,0,0,0,0,0,0,7,50,84,93,94,88,110,69,31,21,646,4,0,4,0,6,13,5,0,0,37,0,9,3,4,9,6,6,0,3,40,0,0,0,4,0,4,0,0,0,10,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,101,108,99,111,140,84,34,20,753,56,102,114,101,124,151,88,42,22,813,3078,1943,1879,2056,2681,3295,2912,1488,576,19917
LGA22490,5427,2698,2459,3255,3603,3117,2426,966,247,24195,0,4,3,3,4,0,0,3,0,17,0,0,0,0,0,0,0,0,0,7,65,94,55,52,47,40,34,18,17,423,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,102,57,55,53,41,38,18,16,438,68,102,62,56,53,45,44,24,17,462,5496,2796,2517,3315,3659,3162,2465,989,260,24656
LGA22620,22364,13670,15111,14250,14197,14595,12667,7160,2940,116953,12,9,13,16,15,23,33,36,12,172,3,30,13,4,15,12,20,16,4,115,346,704,583,375,400,390,277,152,114,3343,0,14,7,11,11,7,15,0,0,67,0,10,3,9,4,5,7,5,0,49,0,7,0,3,4,11,9,0,0,35,0,4,0,6,0,9,6,0,0,27,0,4,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,362,769,616,417,435,432,332,173,122,3659,372,780,625,435,451,454,366,210,131,3830,22734,14452,15733,14685,14648,15052,13027,7373,3075,120784
LGA22670,27077,19581,27150,22598,18117,16327,13009,7862,3285,155005,19,19,38,31,27,26,38,29,9,225,8,3,18,5,4,3,8,0,0,48,361,359,557,438,337,294,218,156,145,2860,0,0,7,0,4,10,3,0,0,36,10,0,4,0,5,3,0,0,0,19,0,0,0,0,5,4,0,0,0,8,0,0,5,0,0,0,5,0,0,16,0,0,0,3,0,0,0,0,0,6,0,0,6,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,376,368,594,460,359,311,227,162,153,3006,394,386,626,488,390,335,264,189,155,3232,27477,19960,27775,23091,18510,16664,13275,8046,3441,158237
LGA22750,46941,30847,36853,33463,32103,30710,27600,15807,6548,260864,44,39,32,42,49,60,82,65,30,435,17,63,35,19,25,28,15,8,0,202,737,1344,1088,698,724,795,636,403,229,6655,15,23,15,21,18,23,22,0,0,139,4,13,0,6,8,13,10,4,0,57,8,5,5,10,4,5,0,0,0,44,0,4,5,0,0,4,5,0,0,38,3,9,0,0,3,0,5,0,0,22,0,0,0,0,0,5,3,0,0,11,0,0,0,0,0,0,0,0,0,0,784,1467,1161,764,785,871,688,432,225,7176,824,1503,1191,805,837,930,772,490,252,7609,47765,32349,38040,34267,32937,31639,28367,16298,6801,268473
LGA22830,13016,7588,8585,7937,8275,8120,6731,3995,1594,65847,8,22,7,23,11,19,22,15,3,136,5,12,19,0,9,4,14,6,0,68,188,413,343,205,244,222,135,65,43,1862,0,4,5,3,9,3,5,4,0,34,0,0,0,0,3,0,0,3,0,16,0,0,0,0,0,6,4,0,0,11,0,0,0,0,0,0,3,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,195,431,369,214,261,242,157,86,44,1997,202,445,377,231,275,262,179,102,47,2134,13221,8039,8958,8172,8555,8385,6911,4097,1642,67982
