LGA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA21270,791,534,180,31,1537,799,61,2399,21,16,6,0,41,26,3,76,0,0,0,0,0,0,0,0,21,17,6,0,47,34,3,80,3,0,3,0,4,39,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,39,0,44,10,0,0,0,5,11,0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,6,12,0,0,0,13,18,0,27,0,0,0,0,3,3,0,5,825,555,194,29,1606,884,65,2555
LGA21370,4499,3683,1509,117,9808,3474,310,13593,189,52,106,10,359,817,35,1205,5,0,0,0,5,12,0,21,196,52,103,10,365,823,36,1224,3,9,4,0,15,22,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,4,0,14,22,3,37,7,5,0,0,13,21,3,37,36,8,8,0,52,85,0,135,4,0,0,0,4,0,0,3,5,7,0,0,10,10,0,16,55,13,11,0,76,123,5,200,9,3,0,0,9,17,0,31,4760,3752,1632,129,10273,4455,352,15079
LGA21450,9023,15441,4450,346,29257,6010,797,36059,634,228,201,21,1086,1094,33,2213,231,162,141,12,541,232,44,821,863,388,344,32,1632,1323,80,3028,52,30,30,5,112,184,13,301,0,0,0,0,4,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,0,9,9,0,17,59,31,29,3,134,200,10,340,0,0,0,0,0,3,0,5,16,0,0,0,21,99,0,120,0,0,0,0,0,0,0,3,3,0,0,0,8,4,0,12,23,0,0,0,22,111,3,140,11,14,3,0,22,19,0,37,9979,15873,4828,389,31061,7656,886,39607
LGA21610,21726,50604,12322,1167,85817,13874,2453,102149,1659,1820,809,82,4367,2557,185,7109,670,1013,430,36,2142,640,109,2890,2330,2831,1233,118,6512,3195,285,9995,250,114,104,14,480,392,29,902,3,5,3,3,16,32,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,3,0,30,24,0,51,266,130,108,23,527,449,32,1007,8,0,0,0,10,4,0,11,4,4,7,0,16,75,0,89,0,0,0,0,0,0,0,0,0,3,5,0,9,10,0,22,11,6,9,0,31,86,3,122,24,24,9,0,53,29,3,91,24361,53600,13682,1302,92945,17639,2776,113365
LGA21670,1602,1021,644,63,3319,1746,137,5207,64,7,27,3,99,262,9,369,6,0,0,0,3,12,0,17,63,7,24,3,103,273,9,386,8,0,0,0,7,49,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,53,0,62,10,0,0,0,15,38,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,6,0,22,14,0,45,26,14,4,0,36,54,0,97,7,0,0,0,9,12,0,21,1701,1041,669,62,3483,2136,155,5774
LGA21750,2536,2090,782,83,5485,2322,254,8063,58,30,39,10,131,445,19,590,12,9,10,0,21,17,0,46,69,30,41,10,149,460,21,637,6,0,4,0,10,21,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,5,0,14,25,3,36,4,0,0,0,9,17,3,24,0,0,0,0,10,23,0,33,3,0,0,0,5,6,0,12,4,6,0,0,19,8,0,20,17,10,0,0,33,48,5,81,6,0,3,0,9,11,4,24,2631,2138,835,93,5690,2864,290,8848
LGA21830,1988,1544,558,69,4159,1740,151,6053,30,11,18,0,62,166,6,226,0,0,0,0,5,9,0,9,29,11,15,0,64,171,6,239,6,0,0,0,7,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,6,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,4,0,0,0,6,6,0,16,8,4,0,0,13,10,0,23,5,0,0,0,6,3,0,15,2037,1568,582,68,4251,1930,164,6343
LGA21890,8052,12245,3659,531,24482,6993,2161,33636,1957,1506,764,136,4361,3504,650,8518,2262,1658,674,136,4728,2236,698,7663,4222,3161,1444,276,9092,5742,1346,16180,821,319,255,62,1446,2759,288,4488,323,97,68,21,517,814,121,1456,770,223,170,37,1193,1458,206,2863,83,16,17,13,133,276,34,440,10,13,0,0,22,12,0,34,2009,662,510,134,3316,5318,650,9283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,75,43,29,4,161,123,55,344,78,43,29,4,161,125,55,341,3,3,8,0,13,24,6,44,14356,16119,5642,950,37065,18201,4215,59488
LGA22110,6544,3990,1767,135,12440,5024,435,17897,229,49,81,8,374,813,37,1220,35,17,11,3,63,49,11,123,263,69,96,14,437,862,46,1340,30,8,4,0,44,103,6,155,4,0,0,0,4,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8,4,0,47,114,6,168,24,0,3,0,29,67,3,100,52,3,13,0,70,100,3,168,3,0,0,0,3,3,0,4,6,6,0,0,10,6,0,24,84,11,11,3,112,181,8,297,21,6,8,0,31,32,5,68,6950,4083,1887,153,13063,6212,496,19771
LGA22170,10610,15019,6072,453,32158,8907,1225,42288,1285,614,829,66,2782,3890,200,6872,500,376,376,42,1293,819,100,2219,1786,989,1203,104,4078,4707,304,9090,137,51,86,7,283,597,34,914,35,11,19,0,69,108,7,180,23,0,12,0,40,61,3,116,0,0,6,0,3,23,0,24,6,5,0,0,17,32,3,50,205,72,127,11,412,823,50,1284,3,0,5,0,5,15,0,26,23,4,13,0,35,209,3,253,0,0,0,0,0,0,0,0,6,15,0,8,23,10,0,32,25,20,20,7,66,239,3,307,12,5,3,0,23,26,0,50,12639,16102,7423,569,36737,14700,1582,53019
LGA22250,1407,929,356,46,2732,1250,95,4083,29,6,9,0,44,149,0,197,0,0,0,0,0,0,0,0,29,6,9,0,44,154,0,196,0,0,0,0,5,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,10,0,0,0,8,25,0,42,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,9,19,0,0,0,20,35,0,55,5,0,0,0,12,5,0,19,1453,941,369,46,2806,1447,100,4359
LGA22310,6621,12804,2647,279,22350,4405,773,27526,2071,2034,750,102,4946,2871,368,8187,1436,2211,646,43,4342,991,257,5591,3502,4243,1390,143,9289,3869,626,13778,2140,1294,623,112,4166,4965,585,9716,875,297,184,48,1406,1258,238,2902,1004,310,199,62,1573,1485,302,3360,115,16,13,5,148,193,38,385,6,10,3,0,22,18,0,38,4138,1933,1015,227,7316,7919,1161,16397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,29,12,3,90,85,31,208,42,29,12,3,90,85,31,208,13,8,4,0,31,18,9,56,14320,19023,5072,658,39078,16293,2596,57971
LGA22410,2594,1795,760,56,5205,2183,186,7578,42,29,30,6,105,277,10,392,10,3,7,0,11,26,0,42,51,33,31,7,120,305,10,435,18,0,9,0,28,49,3,83,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,25,0,7,0,36,52,3,87,8,0,0,0,8,22,0,32,5,0,0,0,3,14,0,17,0,0,0,0,0,0,0,0,7,0,5,0,10,6,0,20,21,4,6,0,24,45,5,74,4,0,0,0,7,8,0,16,2690,1832,804,68,5396,2588,205,8190
LGA22490,2464,3503,705,51,6730,1329,119,8169,25,6,21,0,55,37,4,89,0,0,0,0,0,0,0,0,25,8,21,0,56,37,4,95,0,0,0,0,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,3,0,0,7,4,0,7,0,0,0,0,6,0,0,3,0,0,0,0,0,5,0,5,0,0,0,0,3,0,0,5,0,0,0,0,4,0,0,3,4,3,0,0,10,8,0,14,0,0,0,0,5,0,0,4,2497,3521,727,51,6801,1369,117,8287
LGA22620,12077,12446,5284,471,30284,10976,1357,42612,388,198,276,33,897,1815,124,2835,105,41,61,9,220,186,47,455,496,242,334,43,1118,2006,171,3291,68,27,43,4,142,251,13,405,8,4,0,0,11,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,9,0,15,81,25,43,4,156,266,13,436,17,6,0,0,20,44,0,70,17,0,0,0,23,17,0,44,3,0,0,0,4,7,0,12,9,5,3,3,21,12,7,41,53,11,4,4,70,85,4,162,25,14,4,0,53,39,8,95,12734,12744,5671,520,31673,13374,1555,46599
LGA22670,7878,15081,5330,718,29003,6276,1631,36911,1083,1373,719,110,3285,2164,307,5758,805,1168,454,94,2523,613,267,3408,1891,2539,1171,206,5810,2777,569,9162,846,863,484,86,2284,1859,268,4412,95,70,55,7,224,186,33,450,113,45,54,3,216,193,22,433,0,0,0,0,0,0,0,0,5,9,8,0,18,13,6,35,1060,990,598,99,2747,2256,319,5323,13,0,3,0,19,76,0,87,3,0,11,0,16,70,0,92,0,0,0,0,0,0,0,0,3,4,6,0,15,13,0,33,21,8,19,3,49,160,0,215,8,7,3,5,29,28,10,61,10859,18624,7123,1032,37633,11502,2542,51670
LGA22750,25905,28312,10345,945,65502,20618,3281,89397,1663,696,703,86,3146,5311,329,8789,610,298,247,26,1178,750,148,2071,2272,995,951,109,4321,6056,480,10866,335,136,148,17,637,1200,87,1928,25,12,8,0,47,110,11,170,61,19,13,3,93,185,23,302,57,4,4,5,68,59,7,134,9,0,0,0,11,12,0,22,492,173,172,26,858,1567,132,2558,12,3,3,5,23,51,3,77,58,10,17,0,83,248,9,338,0,0,0,0,0,3,0,7,37,38,8,0,81,46,10,136,103,46,33,7,187,343,22,556,26,23,9,0,60,63,10,132,28797,29542,11504,1092,70933,28649,3926,103508
LGA22830,6163,6956,2756,208,16084,5160,666,21909,389,189,163,34,776,1280,83,2143,20,11,14,0,50,41,10,102,411,203,181,35,823,1322,97,2241,6,6,0,0,12,37,0,48,0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,9,5,0,0,14,52,0,66,40,0,13,0,52,155,4,209,19,3,11,0,29,48,3,83,0,0,0,0,4,7,0,6,62,4,4,4,74,150,4,230,116,10,26,3,163,357,17,528,4,13,4,0,27,15,0,44,6705,7190,2967,248,17106,6901,783,24795
LGA22910,2302,1398,554,49,4298,1985,180,6470,24,10,16,0,47,86,3,140,13,4,4,0,19,22,0,37,32,11,18,0,65,108,3,177,11,0,3,0,14,83,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,11,0,4,0,17,83,0,100,5,0,6,0,8,21,0,33,0,0,0,0,0,9,0,7,0,0,0,0,4,3,0,9,5,9,6,0,19,8,0,27,11,13,10,0,34,47,0,80,8,0,0,0,15,5,0,20,2362,1427,587,49,4425,2232,188,6846
LGA22980,754,520,176,22,1468,704,68,2241,11,3,0,0,12,48,6,68,0,0,0,0,0,5,0,7,11,3,5,0,18,56,6,74,0,0,6,0,3,25,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,25,0,30,0,0,0,0,4,0,0,3,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,10,8,0,0,0,7,6,0,14,3,0,0,0,3,0,0,7,769,521,183,26,1499,794,71,2367
LGA23110,5986,9008,2796,332,18119,5178,664,23967,857,684,335,34,1907,1554,96,3558,1346,1636,510,51,3542,984,151,4687,2206,2317,839,84,5451,2538,251,8236,262,159,150,24,593,856,57,1508,50,24,24,3,96,164,7,273,98,31,34,0,159,228,15,401,19,6,23,7,52,97,3,150,4,0,0,0,8,5,0,15,424,224,232,38,913,1351,87,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,7,0,39,31,3,68,16,11,7,0,39,31,3,69,8,3,8,0,22,16,4,43,8646,11565,3878,455,24545,9118,1003,34663
