LGA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA21270,2573,2435,5003,101,99,201,8,9,18,122,124,244,3,4,3,7,5,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,140,143,284,7,9,18,8,13,22,264,258,518,315,284,598,3148,2972,6116
LGA21370,15323,15759,31077,758,828,1580,195,207,396,1038,1058,2094,40,37,80,9,12,26,14,11,27,10,16,15,16,16,30,0,4,3,0,0,0,1312,1359,2672,46,47,87,40,30,74,2153,2257,4418,1430,1421,2852,18908,19433,38346
LGA21450,46538,47883,94421,1152,1284,2434,75,74,146,6180,6378,12558,67,64,140,22,31,53,22,18,39,25,18,37,26,24,47,0,7,7,0,0,0,6417,6605,13026,228,264,495,117,84,198,7908,8241,16151,2906,2979,5883,57354,59096,116455
LGA21610,148684,150099,298780,2539,2538,5075,283,291,578,17842,17802,35645,180,210,391,95,96,194,75,77,150,54,62,117,19,19,38,34,28,60,0,0,0,18584,18587,37171,1092,1251,2342,330,229,569,22547,22608,45158,8049,7852,15901,179273,180559,359831
LGA21670,5381,5546,10922,190,219,406,9,10,20,393,421,817,17,14,24,0,0,0,3,0,4,5,7,12,4,15,16,0,3,3,0,0,0,433,468,893,5,13,14,12,7,16,636,699,1337,582,535,1120,6597,6780,13378
LGA21750,9051,9117,18165,524,542,1066,29,33,61,562,559,1127,19,14,32,9,15,22,3,0,9,9,0,7,3,9,12,0,0,5,0,0,0,629,629,1260,55,29,80,21,17,35,1223,1218,2445,839,790,1629,11118,11114,22232
LGA21830,6586,6542,13125,291,282,574,19,23,45,401,412,812,25,15,32,10,8,19,0,7,8,3,4,5,5,3,3,0,0,0,0,0,0,460,464,923,21,16,33,23,24,44,789,785,1573,666,610,1276,8044,7931,15979
LGA21890,56827,60219,117042,1528,1667,3191,207,263,469,8568,9188,17756,127,131,256,48,73,121,53,52,104,38,46,79,19,17,43,35,40,69,0,0,0,9093,9807,18904,513,597,1108,198,150,346,11330,12218,23552,3187,3164,6357,71344,75604,146954
LGA22110,18878,19462,38335,1008,1093,2100,116,130,245,1476,1608,3087,66,86,154,4,7,13,22,22,48,15,16,33,21,16,38,11,8,22,0,0,0,1737,1894,3627,52,48,101,57,43,99,2857,3070,5926,2010,2044,4050,23744,24575,48317
LGA22170,55720,58270,113987,1372,1534,2905,84,86,171,5803,6340,12144,84,94,181,6,10,22,26,33,57,16,17,32,9,8,22,10,11,21,0,0,0,6040,6616,12649,269,257,527,150,146,294,7835,8540,16377,3621,3590,7206,67174,70397,137577
LGA22250,4267,4287,8549,204,244,451,38,36,73,237,258,503,18,7,25,8,11,15,5,0,5,0,0,4,0,8,7,0,5,3,0,0,0,310,328,629,4,4,8,9,6,12,527,573,1101,485,454,939,5274,5315,10594
LGA22310,57301,60881,118180,1910,1953,3859,190,237,421,8634,9035,17670,113,132,241,35,40,74,51,48,98,28,29,63,13,17,35,32,35,64,0,0,0,9094,9576,18669,750,797,1544,140,107,243,11889,12428,24315,2262,2603,4864,71452,75912,147365
LGA22410,8129,8156,16284,495,519,1014,26,15,40,430,482,907,24,28,49,34,36,72,8,11,21,0,4,3,12,8,19,4,0,0,0,0,0,533,585,1116,24,19,43,17,10,27,1068,1139,2206,763,722,1486,9962,10011,19981
LGA22490,10751,10307,21065,205,211,413,13,22,33,890,867,1752,7,12,20,3,0,3,8,8,14,3,3,5,4,6,12,6,0,4,0,0,0,932,911,1840,21,21,41,10,11,17,1165,1154,2316,683,617,1294,12599,12077,24671
LGA22620,47024,49758,96783,1441,1581,3018,182,200,383,5497,6128,11626,79,88,175,54,65,118,38,56,90,27,30,61,28,30,59,17,18,29,0,0,0,5926,6616,12542,150,183,332,116,113,227,7632,8488,16116,3542,3635,7178,58202,61881,120083
LGA22670,64936,63983,128917,2099,2033,4133,133,117,250,6588,5882,12473,76,68,141,61,42,105,19,27,47,13,13,32,17,14,28,12,7,24,0,0,0,6917,6178,13095,723,820,1540,213,130,341,9952,9162,19115,4441,3853,8294,79329,77000,156327
LGA22750,103160,109541,212699,4108,4472,8585,307,353,662,13686,15027,28716,235,266,497,98,98,200,74,69,144,112,119,232,50,55,110,43,49,95,0,0,0,14604,16040,30641,508,580,1090,310,254,566,19537,21345,40882,7597,6768,14363,130289,137651,267942
LGA22830,26858,27078,53930,1056,1202,2254,145,174,314,2335,2580,4915,68,72,139,18,27,44,23,25,40,28,24,48,20,19,35,9,8,18,0,0,0,2635,2919,5554,151,178,323,77,68,138,3912,4362,8277,2843,2574,5419,33618,34010,67628
LGA22910,6613,6809,13424,208,238,451,23,20,43,511,522,1030,15,13,31,6,3,9,0,3,3,6,3,11,0,4,4,3,3,7,0,0,0,570,575,1139,28,31,59,18,10,30,819,852,1675,653,714,1365,8087,8377,16472
LGA22980,2329,2345,4677,135,128,264,7,9,11,112,117,229,9,9,14,11,10,25,3,3,4,0,3,5,0,0,0,0,0,0,0,0,0,143,149,292,13,4,17,0,0,5,295,283,579,200,175,377,2819,2807,5629
LGA23110,36100,37831,73935,1453,1491,2941,90,94,184,3858,4041,7900,70,71,135,21,29,48,29,34,59,21,22,40,17,13,29,19,15,34,0,0,3,4129,4316,8444,240,291,531,89,72,160,5907,6168,12073,2110,2109,4216,44119,46112,90228
LGA23190,8143,8438,16584,611,681,1293,16,14,30,439,506,945,6,11,14,16,22,40,10,3,15,6,7,11,5,0,5,0,0,3,0,0,0,501,565,1071,30,22,48,15,10,26,1152,1286,2439,613,595,1208,9909,10321,20234
LGA23270,98089,98613,196701,2705,2673,5383,296,277,571,11493,11553,23042,147,145,288,49,39,83,36,39,75,55,51,102,27,30,60,23,15,38,0,0,0,12116,12149,24262,734,728,1461,207,170,373,15762,15721,31480,6267,5810,12084,120113,120150,240263
LGA23350,6895,7141,14040,270,312,582,141,155,300,456,518,971,25,19,41,0,0,9,12,3,8,0,0,6,3,6,10,7,10,18,0,0,0,642,722,1359,14,15,30,14,18,27,939,1064,2001,671,512,1184,8509,8719,17227
LGA23430,64013,68393,132407,1582,1604,3186,113,127,242,6685,7009,13694,100,98,196,30,36,60,33,34,70,21,22,43,9,4,11,12,22,33,0,0,0,7006,7348,14353,429,502,929,154,122,280,9170,9578,18746,2593,2691,5283,75770,80664,156431
LGA23670,66942,69810,136756,834,918,1749,94,99,190,6082,6363,12444,81,72,150,24,30,52,25,24,46,28,25,50,3,9,10,15,8,26,0,0,0,6351,6614,12966,339,388,723,127,100,228,7642,8024,15668,2510,2586,5098,77101,80424,157522
LGA23810,30132,31379,61508,1342,1550,2892,66,72,138,2436,2639,5071,72,74,145,15,16,28,14,19,35,15,14,27,16,14,29,5,11,16,0,0,0,2638,2854,5488,111,109,217,102,96,201,4199,4604,8800,3067,3116,6188,37395,39100,76499
LGA23940,3127,3050,6175,81,84,168,12,10,24,170,196,365,16,13,24,7,0,9,3,0,3,6,3,8,0,3,3,0,0,0,0,0,0,216,230,439,12,14,20,10,10,14,314,332,643,451,436,888,3890,3810,7704
LGA24130,21185,21696,42879,673,729,1401,40,67,110,1729,1802,3535,31,46,70,12,10,25,8,6,20,4,10,15,3,3,4,12,10,14,0,0,0,1843,1950,3798,81,86,169,20,25,48,2619,2796,5416,1324,1346,2673,25125,25840,50965
LGA24210,51067,54528,105591,962,1025,1984,96,110,209,5178,5475,10657,66,65,129,41,55,92,13,20,32,19,20,40,9,4,11,16,16,33,0,0,0,5440,5765,11207,564,606,1170,59,46,109,7024,7447,14468,1749,1935,3683,59844,63902,123740
LGA24250,3807,3814,7626,301,314,617,30,33,63,376,478,854,8,24,37,11,8,13,12,10,19,0,3,4,0,5,3,0,5,3,0,0,0,434,563,997,20,23,40,10,12,20,769,908,1672,407,409,816,4984,5125,10105
LGA24330,32101,32184,64282,1423,1393,2816,181,147,326,5519,5559,11081,84,94,181,33,44,77,29,42,71,22,33,58,16,22,34,14,18,33,0,0,0,5895,5958,11849,330,380,711,135,95,231,7778,7827,15611,2265,1978,4249,42149,41995,84144
LGA24410,47233,50310,97542,726,732,1458,70,83,156,4837,5164,10006,37,52,88,16,18,36,8,18,29,11,9,17,12,11,26,12,7,18,0,0,0,5007,5365,10374,234,277,511,82,72,156,6048,6449,12492,1771,1926,3698,55050,58684,113737
LGA24600,39235,39491,78722,4691,4891,9583,1069,1185,2251,19093,19314,38410,681,800,1485,309,339,645,373,387,761,191,220,409,80,99,182,193,224,418,0,0,4,21989,22573,44564,2009,2062,4069,303,269,578,28995,29791,58789,5674,5357,11029,73905,74640,148541
LGA24650,69789,71100,140892,1467,1624,3094,174,182,354,9329,9754,19084,115,127,247,59,64,124,29,30,60,31,46,73,20,22,43,8,0,9,0,0,0,9762,10228,19988,492,518,1006,144,109,260,11870,12479,24346,6288,4728,11013,87950,88306,176250
LGA24780,21846,22799,44643,979,1012,1990,245,292,538,1804,1829,3634,63,74,136,124,102,224,23,25,51,8,9,14,14,20,31,6,8,15,0,0,0,2278,2353,4631,103,97,203,85,67,155,3449,3528,6972,2446,2294,4737,27734,28625,56359
LGA24850,19793,19622,39417,806,833,1641,112,80,186,1914,1905,3820,132,94,221,36,22,60,67,17,87,11,12,19,19,12,28,17,8,28,0,0,5,2301,2151,4453,78,80,159,48,36,87,3240,3104,6342,1534,1472,3005,24566,24194,48757
LGA24900,12013,12112,24124,722,747,1464,187,200,386,789,779,1563,27,32,64,6,5,13,5,3,16,7,10,17,0,3,10,0,0,3,0,0,0,1025,1040,2069,27,30,61,47,32,84,1824,1848,3671,1248,1209,2460,15089,15164,30255
LGA24970,73836,75967,149804,2500,2306,4804,282,282,564,11803,10821,22622,182,195,376,99,87,189,66,79,144,75,94,168,40,44,88,39,55,95,0,0,0,12586,11662,24247,1123,1133,2259,217,167,387,16427,15267,31693,3839,3521,7362,94104,94760,188862
LGA25060,48029,51031,99055,1303,1379,2687,132,141,276,6015,6400,12418,110,114,224,43,47,93,33,45,73,12,18,35,13,21,32,19,23,40,0,0,0,6376,6805,13183,443,398,840,123,108,227,8243,8694,16938,2277,2354,4636,58555,62084,120636
LGA25150,15216,15503,30714,679,741,1419,28,31,54,1380,1409,2789,33,30,63,8,12,20,7,5,12,7,3,15,4,0,3,3,0,3,0,0,0,1471,1495,2956,35,52,84,23,31,51,2205,2315,4514,980,949,1929,18392,18763,37157
LGA25250,64239,67718,131960,2073,2069,4141,377,419,794,10681,11397,22078,200,263,466,71,98,173,70,91,161,70,76,148,44,51,98,72,80,150,0,0,0,11590,12468,24062,648,783,1429,190,181,377,14505,15511,30012,3656,3626,7283,82395,86852,169252
LGA25340,66608,71361,137967,2280,2494,4772,258,220,478,6165,6672,12837,244,185,424,29,26,57,112,68,179,37,19,61,43,37,76,26,22,43,0,0,3,6911,7246,14158,266,300,566,135,103,239,9589,10143,19730,4720,5055,9772,80916,86554,167471
LGA25430,7754,8096,15855,321,347,674,24,14,37,626,667,1291,11,17,26,0,7,9,9,9,16,3,5,10,4,4,4,6,3,9,0,0,0,682,725,1399,23,36,53,16,16,31,1036,1114,2152,1225,858,2080,10015,10072,20090
LGA25490,7094,7184,14274,275,315,596,20,17,41,449,502,952,15,19,40,7,6,14,0,3,4,3,9,8,5,0,6,0,0,0,0,0,0,507,554,1063,18,13,32,8,8,15,808,902,1710,604,602,1209,8504,8684,17193
LGA25620,6267,5957,12229,226,243,468,9,17,18,453,396,852,17,16,35,4,0,3,6,3,13,4,3,4,4,0,6,0,0,4,0,0,0,490,445,937,10,9,20,7,6,15,737,701,1438,739,651,1402,7748,7314,15060
LGA25710,27598,28246,55843,324,327,653,37,38,69,1805,1883,3689,20,25,42,10,12,18,11,9,20,3,8,7,9,3,9,9,8,17,0,0,0,1891,1981,3878,78,82,162,34,28,57,2328,2417,4744,865,854,1722,30796,31522,62314
LGA25810,4746,4771,9516,228,265,497,11,15,28,277,250,530,4,11,15,9,7,15,0,7,10,4,3,4,10,0,11,0,0,0,0,0,0,315,299,612,28,12,38,14,14,25,585,589,1170,599,541,1136,5925,5897,11822
LGA25900,34611,36337,70943,2049,2309,4363,301,345,644,7619,8225,15848,235,233,472,50,56,105,70,101,168,34,41,70,19,28,49,39,36,79,0,0,0,8375,9068,17442,696,729,1426,159,126,284,11275,12236,23512,3308,3219,6523,49194,51786,100984
LGA25990,3017,2950,5961,61,76,140,4,3,10,207,236,442,8,8,19,4,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,232,247,478,0,3,5,9,0,10,303,327,628,662,354,1019,3977,3634,7614
LGA26080,1236,1421,2659,49,35,88,3,0,7,117,118,236,0,6,3,0,0,0,3,0,5,0,0,0,8,3,3,0,0,0,0,0,0,128,134,258,6,3,7,3,0,5,183,173,359,122,121,241,1545,1716,3255
LGA26170,12274,12468,24742,567,650,1214,18,24,44,908,959,1876,25,24,53,0,6,10,13,9,19,0,3,3,3,7,13,3,3,4,0,0,0,976,1042,2017,44,45,91,20,22,40,1613,1753,3365,1084,1094,2181,14974,15318,30296
LGA26260,6559,6752,13319,436,515,952,13,15,30,385,430,818,15,22,39,34,40,76,10,14,19,5,5,5,13,11,20,0,0,0,0,0,0,481,528,1008,15,17,33,23,9,29,953,1068,2020,512,547,1063,8028,8372,16405
LGA26350,36156,39622,75771,1666,1825,3496,322,423,741,7652,8463,16119,207,256,464,65,77,149,99,118,222,45,53,106,16,19,33,45,53,100,0,0,0,8460,9470,17932,640,683,1321,105,106,212,10869,12083,22959,2422,2645,5066,49444,54355,103797
LGA26430,4500,4576,9075,181,200,383,22,24,45,330,350,679,21,18,38,0,5,3,8,5,12,0,0,5,0,0,0,4,0,4,0,0,0,380,397,778,16,13,25,8,6,20,591,613,1208,546,541,1079,5632,5726,11362
LGA26490,14651,14992,29648,935,986,1916,51,38,91,1554,1624,3171,35,38,66,11,15,29,15,13,31,7,15,17,4,12,15,3,3,5,0,0,0,1679,1749,3426,78,88,164,36,52,92,2728,2872,5600,998,991,1986,18377,18857,37233
LGA26610,8480,8361,16841,499,578,1077,71,71,148,402,457,859,24,23,48,21,17,38,0,7,8,0,0,4,11,10,15,4,3,8,0,0,0,526,596,1125,124,42,165,17,25,47,1165,1239,2404,983,917,1906,10621,10522,21150
LGA26670,2523,2469,4986,95,96,199,66,67,130,121,108,230,10,8,17,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,0,201,189,388,18,11,32,3,5,14,325,303,627,289,265,554,3131,3031,6164
LGA26700,11772,12504,24276,642,700,1343,65,95,161,747,840,1591,50,59,106,9,10,14,5,13,15,7,7,17,17,22,37,0,0,4,0,0,0,904,1029,1938,29,34,59,33,39,72,1611,1802,3418,863,958,1816,14245,15267,29510
LGA26730,13741,14860,28602,678,756,1440,35,45,80,1154,1287,2438,59,50,110,21,17,40,15,10,20,12,12,16,3,3,9,4,0,0,0,0,0,1293,1435,2727,57,61,123,43,34,74,2070,2287,4356,1020,1051,2069,16830,18199,35030
LGA26810,17325,17808,35128,1043,1114,2160,115,98,212,1393,1397,2795,84,68,159,28,16,42,32,23,57,11,16,29,3,7,12,55,33,88,0,0,0,1730,1663,3389,58,66,122,62,54,113,2894,2898,5794,2529,1709,4239,22752,22413,45166
LGA26890,1626,1589,3219,65,71,127,4,4,9,68,73,148,7,0,10,12,17,30,0,0,0,0,0,3,0,4,4,0,0,4,0,0,0,102,101,206,0,3,3,3,0,5,171,178,343,190,207,393,1991,1969,3959
LGA26980,66263,71543,137805,1775,1731,3500,183,184,366,8771,8925,17701,105,108,218,65,51,117,47,49,99,79,75,152,23,24,50,30,34,65,0,0,0,9314,9455,18765,791,781,1576,174,143,317,12052,12111,24161,2867,3088,5954,81179,86745,167917
LGA27070,93261,95228,188492,2042,2077,4117,187,180,367,10956,10773,21738,131,125,259,45,48,95,40,43,88,33,27,60,27,39,63,25,32,55,0,0,0,11454,11275,22724,568,625,1197,185,152,334,14251,14124,28374,4690,4740,9431,112195,114096,226294
LGA27170,16401,17457,33862,651,685,1335,549,565,1113,1523,1615,3136,247,193,440,47,28,71,33,34,67,18,16,30,35,26,61,35,29,63,0,0,0,2490,2503,4988,79,84,166,54,52,111,3276,3320,6598,1134,1123,2259,20807,21911,42717
LGA27260,111968,111522,223495,3495,3522,7020,631,568,1200,17724,16984,34708,261,297,558,223,210,433,108,104,219,100,91,194,60,73,135,51,61,112,0,0,0,19160,18394,37558,1467,1526,2991,346,281,623,24466,23719,48185,8572,6999,15576,145012,142242,287252
LGA27350,30081,31654,61738,1603,1670,3276,345,428,772,7659,8153,15814,207,257,471,97,114,214,111,117,232,49,47,92,29,42,69,70,78,148,0,0,0,8578,9234,17810,722,745,1460,138,115,255,11042,11756,22803,2443,2265,4712,43573,45679,89252
LGA27450,66363,67979,134340,1181,1274,2454,76,73,146,5066,5418,10487,60,61,118,22,23,43,26,22,51,13,21,32,19,19,37,4,8,12,0,0,0,5295,5636,10928,215,183,403,118,84,199,6811,7175,13987,3028,2819,5848,76195,77976,154174
LGA27630,2763,2660,5428,99,111,215,7,11,10,114,113,224,3,4,9,5,0,10,0,0,0,4,3,3,4,4,7,0,4,4,0,0,0,146,132,272,4,7,6,0,7,5,249,253,502,286,286,572,3297,3204,6501
LGA29399,233,197,432,22,19,42,10,16,29,66,63,131,21,21,35,0,3,4,0,7,11,9,0,9,0,0,0,0,0,0,0,0,0,111,109,215,12,5,16,0,6,13,150,145,286,119,114,236,495,457,953
LGA29499,847,576,1426,345,229,576,90,83,174,1209,1233,2442,81,96,179,32,23,50,27,26,52,19,13,29,15,11,22,7,9,20,0,0,0,1475,1495,2970,159,136,290,24,22,48,2008,1884,3889,2274,1409,3682,5124,3875,9002
LGA29799,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,36,6,38
