LGA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA23430,14678,4486,1815,98,5,21078,14887,5284,2630,37,10,22854,4045,4189,3355,57,15,11669,305,337,304,0,0,949,74,74,104,0,0,257,922,679,445,26,9,2076,89,71,32,74,5,266,38,15,18,0,0,72,5474,5366,4257,162,32,15286,400,222,316,7,0,942,421,216,139,5,0,776,35855,15576,9155,306,48,60940
LGA23670,17438,1957,257,10,7,19667,20687,2426,432,8,7,23561,6701,1949,429,15,0,9103,506,257,153,0,0,925,63,85,92,0,3,249,1378,267,87,6,3,1743,85,51,4,0,0,139,34,18,4,0,0,54,8771,2629,769,24,13,12210,465,777,42,6,5,1291,496,163,29,0,3,693,47854,7959,1531,47,37,57422
LGA23810,10578,404,370,67,13,11434,10039,165,103,8,10,10327,3322,590,745,4,6,4662,708,261,213,0,0,1185,147,60,46,0,0,253,1231,93,87,5,9,1427,116,23,26,25,0,192,35,19,12,0,0,71,5562,1044,1129,31,12,7784,240,121,40,3,0,407,514,64,58,9,0,655,26943,1802,1703,124,34,30610
LGA23940,1640,27,0,27,5,1698,747,3,0,5,0,756,66,7,0,0,0,73,13,21,0,0,0,32,4,3,0,0,0,11,175,7,0,3,0,186,49,4,0,9,0,60,4,0,0,0,0,4,307,42,0,13,0,365,136,0,0,5,3,145,81,0,0,3,0,90,2907,70,4,56,12,3049
LGA24130,6594,323,10,28,3,6962,7979,147,18,33,0,8182,1127,292,22,13,4,1456,106,53,5,0,0,165,36,49,4,0,0,88,545,87,0,9,5,643,52,5,0,11,0,73,8,0,0,0,0,6,1868,492,29,33,6,2432,234,18,0,6,0,258,200,15,0,5,4,219,16880,1000,56,102,17,18060
LGA24210,15692,2450,1154,3,6,19296,10898,2407,1336,4,13,14648,3760,1753,1724,8,11,7255,59,57,49,0,0,165,10,18,58,0,3,90,856,295,239,0,3,1391,70,30,20,0,3,126,21,6,5,0,0,30,4779,2154,2099,8,19,9064,451,319,296,0,6,1067,317,106,72,0,0,500,32131,7437,4958,11,35,44574
LGA24250,1746,35,0,17,3,1801,1181,21,3,9,3,1214,278,49,0,0,0,331,40,5,0,0,0,51,3,0,0,0,0,3,172,9,4,0,0,188,29,0,0,4,0,33,3,0,0,0,0,4,526,66,9,3,0,605,125,0,0,0,0,132,65,9,0,0,0,72,3649,127,13,30,9,3830
LGA24330,5216,1172,690,29,5,7110,6251,2797,2149,37,3,11243,3344,2489,4579,78,20,10506,404,820,307,0,4,1530,66,63,154,0,0,280,875,471,458,32,0,1829,83,58,64,20,3,228,27,16,22,0,0,68,4801,3912,5579,123,31,14440,233,117,72,5,0,421,235,117,125,4,3,485,16731,8118,8613,197,42,33695
LGA24410,13123,774,250,0,7,14161,15644,1188,540,0,12,17390,5951,1103,677,11,12,7748,487,217,79,0,0,786,104,112,45,0,4,258,1230,173,75,9,3,1496,85,17,7,0,0,117,22,13,8,0,0,35,7881,1641,890,15,18,10437,497,63,8,0,0,575,354,72,22,0,0,448,37499,3734,1711,23,40,43006
LGA24600,568,1992,7034,19,18,9627,485,1928,8914,14,17,11360,361,2778,36271,61,128,39601,14,316,1650,0,3,1978,3,85,440,8,0,533,98,699,3934,23,23,4784,5,47,494,9,7,563,0,10,106,0,4,116,486,3934,42895,99,169,47582,37,157,1195,4,7,1400,13,78,679,0,25,795,1576,8095,60718,131,238,70760
LGA24650,10911,922,81,40,5,11956,27457,1377,127,0,23,28982,8334,1265,149,0,12,9760,209,129,0,0,0,343,76,68,0,0,0,147,1544,184,33,4,0,1764,202,63,0,65,5,332,56,18,0,3,0,78,10421,1724,183,72,16,12424,398,217,9,4,5,631,790,118,4,8,0,914,49974,4353,409,122,56,54907
LGA24780,6433,351,141,136,16,7085,6612,162,59,4,0,6840,2419,622,470,8,7,3526,386,203,112,0,0,698,62,42,75,0,0,176,1199,150,94,13,10,1470,248,18,30,77,5,381,46,16,19,16,0,96,4357,1046,803,114,32,6347,378,47,63,9,8,511,389,52,41,11,0,495,18178,1662,1106,281,57,21283
LGA24850,4569,295,8,15,7,4896,7885,195,9,3,7,8100,1938,294,10,4,9,2251,216,91,3,0,0,303,23,19,0,0,0,43,558,66,0,0,0,626,278,17,0,14,5,310,14,6,0,0,0,20,3023,487,14,12,13,3550,178,79,0,5,0,255,292,33,0,9,4,338,15944,1094,36,43,23,17140
LGA24900,4925,239,6,99,9,5277,3489,81,4,9,5,3585,989,323,14,5,0,1330,153,102,0,0,0,254,16,29,0,0,0,44,586,62,4,5,0,660,121,11,0,32,0,160,10,8,0,0,0,21,1877,526,18,46,5,2467,279,13,0,6,4,296,234,40,0,10,0,290,10801,890,30,176,17,11917
LGA24970,20120,2143,1903,4,10,24180,14847,3046,2279,0,9,20185,7480,3771,4121,19,20,15420,456,233,388,0,0,1081,75,68,194,0,0,341,1748,647,509,6,5,2913,196,77,76,4,4,357,37,25,23,0,0,89,9992,4834,5323,21,34,20201,595,382,551,3,4,1532,578,156,138,0,3,876,46139,10558,10187,30,56,66979
LGA25060,12405,2626,1300,35,7,16375,9213,3333,2225,24,7,14800,3204,3202,4997,61,12,11472,97,247,1373,0,0,1713,36,34,140,0,0,212,756,445,581,23,4,1802,68,29,45,0,0,146,22,14,23,0,0,58,4181,3967,7153,88,15,15408,361,127,130,0,0,626,314,106,183,3,0,604,26470,10166,10994,145,35,47814
LGA25150,4091,197,10,23,3,4328,6240,139,0,7,3,6386,1094,312,4,8,4,1418,152,36,35,0,0,220,13,50,4,0,0,73,430,58,13,3,0,507,47,8,10,19,0,80,14,8,0,0,0,21,1751,468,68,30,3,2320,260,18,0,6,0,277,168,13,6,0,0,190,12518,829,85,58,14,13500
LGA25250,14834,3013,1131,46,19,19041,12227,5793,3040,49,18,21127,5785,7560,6844,142,21,20348,411,588,369,0,5,1361,39,70,106,0,0,217,1681,1078,774,47,4,3588,201,108,48,6,6,371,42,25,19,0,0,90,8158,9433,8162,189,30,25980,484,254,126,8,0,870,513,219,120,6,3,856,36218,18715,12575,295,74,67871
LGA25340,23554,2584,725,290,17,27174,20826,1362,298,11,7,22504,6118,1578,484,26,9,8216,529,213,115,0,0,858,55,49,0,0,0,108,1877,289,109,14,6,2299,343,49,9,80,3,485,61,13,3,3,0,81,8982,2198,722,124,18,12048,1041,724,96,13,3,1879,800,194,40,13,5,1048,55205,7055,1886,450,52,64650
LGA25430,3979,61,3,17,4,4068,2773,23,0,3,0,2805,543,52,5,3,0,606,60,82,3,0,0,146,28,6,0,0,0,36,411,13,5,5,3,432,28,0,0,7,0,29,8,0,0,0,0,6,1069,159,4,18,0,1259,129,3,0,0,0,137,118,12,0,0,0,125,8075,257,13,33,10,8396
LGA25490,2810,52,7,10,4,2884,2092,17,0,0,0,2114,347,42,0,0,0,394,26,28,0,0,0,47,3,4,0,0,0,10,380,21,3,4,5,409,124,5,0,7,0,130,6,0,0,0,0,5,883,96,3,9,6,999,307,4,0,0,0,309,128,0,0,0,0,134,6221,176,10,26,9,6439
LGA25620,2712,20,4,101,7,2849,2101,3,0,4,0,2108,358,46,0,3,3,413,29,16,0,0,0,45,10,3,0,0,0,13,252,10,0,3,0,270,56,0,0,7,0,65,7,0,0,0,0,11,714,81,0,17,6,808,119,3,0,8,5,128,97,4,0,5,4,107,5738,106,6,133,19,6006
LGA25710,8151,186,218,5,0,8552,9634,253,186,0,3,10079,921,183,132,0,0,1237,45,45,12,0,0,100,7,0,0,0,0,14,386,38,30,3,0,458,36,4,3,0,5,37,6,0,0,0,0,7,1402,268,181,7,5,1858,208,12,16,0,0,235,168,8,14,0,0,183,19557,726,609,9,9,20912
LGA25810,2302,22,16,13,4,2359,1314,4,3,0,3,1321,361,56,49,3,3,471,72,30,19,0,0,115,20,9,17,0,0,45,229,15,9,7,0,265,57,0,6,14,0,79,6,4,4,0,0,6,735,116,108,23,4,984,124,0,3,0,0,129,88,0,10,0,3,105,4569,145,139,41,8,4903
LGA25900,1838,3710,4599,71,10,10230,1496,3404,7242,123,11,12272,616,2779,15925,281,11,19614,3,546,1255,0,0,1811,5,63,513,4,9,590,176,604,1974,67,11,2831,13,21,103,8,7,141,7,4,60,0,0,76,817,4027,19832,354,37,25066,54,162,401,8,3,625,40,106,375,5,4,527,4239,11406,32443,564,81,48731
LGA25990,1491,4,0,18,4,1516,943,0,0,0,4,952,103,6,0,0,0,111,5,13,0,0,0,18,0,0,0,0,0,0,175,0,0,0,0,183,30,3,0,4,0,40,0,3,0,0,0,3,321,25,0,5,0,349,94,0,0,0,0,92,60,0,0,0,0,62,2908,27,3,29,10,2976
LGA26080,830,47,13,9,0,897,266,5,3,4,0,277,94,12,8,0,0,117,0,9,0,0,0,9,0,0,0,0,0,0,48,8,7,4,0,68,7,0,0,0,0,3,4,0,0,0,0,0,151,29,21,5,0,207,35,3,0,0,0,42,15,4,0,0,0,25,1300,92,32,10,4,1441
LGA26170,5514,104,13,35,9,5680,3932,29,5,7,9,3984,797,76,24,9,0,905,84,35,19,0,0,136,28,12,23,0,0,65,520,22,6,5,5,553,105,9,7,22,0,144,17,4,0,0,0,23,1559,156,80,35,6,1828,237,21,11,0,0,271,225,16,4,3,0,246,11464,331,111,78,18,12001
LGA26260,3057,60,13,14,0,3145,1938,23,3,3,0,1970,444,98,54,5,0,595,132,29,15,0,0,172,16,24,0,0,0,45,391,24,0,3,3,429,73,13,0,14,0,101,11,14,0,0,0,23,1066,196,72,19,0,1357,227,19,3,0,6,253,114,6,0,0,0,123,6400,304,96,38,11,6844
LGA26350,6319,3102,3679,69,19,13190,4377,2383,4760,39,11,11568,1420,2530,13105,141,16,17210,12,108,925,0,0,1043,5,26,215,0,0,250,365,528,1551,29,8,2487,36,11,95,6,0,152,7,13,43,0,0,62,1843,3220,15934,180,32,21204,144,160,407,44,0,747,124,101,281,14,5,522,12804,8964,25059,344,58,47229
LGA26430,2297,41,3,38,0,2381,1262,13,0,5,0,1286,354,68,8,0,0,432,40,24,0,0,0,61,29,0,0,0,0,28,208,9,0,3,0,218,54,3,0,9,0,70,6,0,0,0,0,9,683,110,9,18,0,822,121,3,0,0,0,133,106,4,0,3,0,118,4481,179,13,66,5,4734
LGA26490,4993,220,31,11,10,5259,4948,156,9,7,0,5118,1349,242,23,4,3,1619,31,11,0,0,0,46,5,10,10,0,0,24,553,50,10,5,6,628,55,0,5,9,0,76,9,0,0,0,0,15,2008,322,42,21,7,2403,260,43,3,3,4,319,151,14,0,5,0,170,12363,754,83,39,27,13270
LGA26610,2694,85,45,30,10,2866,2208,21,12,9,3,2252,547,145,204,4,0,903,203,42,78,0,0,324,49,7,20,0,5,75,507,48,25,10,4,591,189,19,0,65,17,293,19,6,4,0,0,28,1512,271,326,80,24,2214,183,7,3,9,4,203,137,12,10,10,3,180,6734,403,399,140,43,7718
LGA26670,1174,10,0,16,5,1200,723,0,0,3,0,725,106,12,5,0,0,128,7,10,0,0,0,19,5,6,0,0,0,9,166,6,5,0,0,175,28,0,0,0,0,26,0,0,0,0,0,0,311,25,10,3,0,349,86,0,0,0,0,84,43,4,0,0,0,47,2333,34,13,21,0,2406
LGA26700,4664,175,0,32,8,4873,3700,83,0,7,4,3789,1026,443,0,3,0,1477,252,116,4,0,0,371,20,49,0,0,0,69,522,83,0,3,0,614,53,15,0,15,0,86,11,10,0,0,0,14,1883,713,4,22,0,2631,175,29,0,0,0,208,215,133,0,3,0,352,10637,1128,10,57,14,11847
