LGA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA25250,47,280,893,710,536,375,98,17,0,2949,78,380,1292,885,575,360,75,24,8,3678,2645,9005,30116,23243,15985,9772,2079,202,15,93061
LGA25340,111,249,529,485,650,530,189,41,4,2773,174,229,466,590,759,641,263,102,18,3235,4855,6018,11683,14251,17877,14896,5300,838,54,75773
LGA25430,14,26,48,57,72,58,22,0,0,298,26,24,38,62,58,83,34,10,0,329,416,409,1140,1660,2098,2033,718,89,10,8570
LGA25490,24,28,54,51,71,37,23,3,0,286,22,29,57,37,50,70,32,14,5,324,518,546,1391,1541,1827,1786,753,154,27,8539
LGA25620,11,22,59,47,62,60,15,0,0,290,7,19,43,61,73,74,36,15,6,323,317,408,995,1189,1572,1577,571,137,15,6789
LGA25710,53,115,198,236,293,270,63,5,0,1240,53,114,163,269,323,224,73,22,0,1240,2083,3100,4695,6490,8512,6768,1855,263,11,33770
LGA25810,9,16,26,16,22,16,17,3,0,122,9,11,37,18,32,28,7,13,5,147,281,430,1002,812,1054,1081,402,89,7,5170
LGA25900,30,175,626,400,334,253,64,8,4,1891,37,166,822,690,470,280,109,22,5,2597,1199,4021,19305,14915,11337,7468,2361,387,19,61013
LGA25990,0,13,21,25,18,17,5,0,0,99,8,6,24,18,33,24,16,7,0,138,145,198,443,501,724,680,279,52,10,3032
LGA26080,0,6,4,6,7,7,9,0,0,29,3,0,4,8,3,11,6,3,0,48,62,70,117,182,247,352,211,38,5,1287
LGA26170,29,49,115,107,105,111,25,3,0,539,38,39,78,91,121,131,50,26,10,574,825,865,2012,2422,3108,2918,1215,204,23,13607
LGA26260,22,17,39,36,51,60,15,0,0,242,24,20,48,45,46,56,29,12,7,288,458,572,1300,1328,1568,1635,717,126,23,7720
LGA26350,37,172,498,281,253,177,62,12,6,1500,51,240,866,529,416,273,144,49,9,2582,1578,6032,20362,12476,9891,7156,3131,678,78,61373
LGA26430,0,8,18,24,29,35,19,0,0,140,8,8,22,36,28,32,24,6,5,174,255,290,706,862,968,1149,559,125,15,4925
LGA26490,17,50,87,126,136,95,31,5,0,555,26,48,108,172,174,97,40,10,0,679,1042,1243,3067,4550,4330,3279,1100,145,8,18769
LGA26610,27,43,91,72,48,54,14,4,0,357,28,56,139,134,97,82,30,17,3,586,547,850,2254,1968,1711,1813,589,107,8,9866
LGA26670,10,6,21,16,19,26,13,0,0,109,4,6,4,21,19,23,9,3,0,96,125,149,367,468,586,723,334,96,10,2856
LGA26700,35,52,119,104,96,79,32,4,0,513,50,48,79,73,136,98,41,11,3,546,1018,971,2430,2639,3061,2784,946,178,14,14043
LGA26730,41,68,156,113,116,78,39,8,0,623,31,56,132,101,126,84,29,7,0,560,1287,1442,3661,3396,3545,3085,796,106,3,17305
LGA26810,56,71,168,127,117,118,40,11,0,712,52,64,142,146,129,147,56,26,7,760,1194,1546,3631,3677,3946,3831,1250,222,24,19315
LGA26890,0,0,7,8,12,8,0,0,0,35,7,0,7,8,11,14,9,5,0,58,84,96,287,299,365,467,210,64,7,1877
LGA26980,62,261,614,547,647,455,136,32,0,2761,72,388,936,827,709,456,134,29,15,3578,3836,8692,18314,18766,18005,11909,3309,459,39,83325
LGA27070,96,360,1068,1054,812,524,115,10,0,4029,146,494,1464,1446,1045,676,153,25,6,5462,4664,10063,26886,28572,20558,13155,2927,222,15,107055
LGA27170,37,84,200,169,123,105,38,3,0,767,45,64,173,150,139,113,32,14,3,729,1548,1976,4631,4329,4078,3164,853,100,9,20689
LGA27260,113,432,1118,1073,742,461,98,4,0,4039,200,806,2274,2143,1145,585,113,14,3,7274,5254,11902,35900,43808,23472,12825,2497,157,11,135825
LGA27350,17,136,561,358,244,178,56,15,0,1566,38,161,909,493,276,172,51,6,4,2109,956,5007,23391,12722,7839,5294,1692,262,7,57177
LGA27450,171,365,803,779,740,639,197,18,0,3716,162,300,725,762,833,619,208,36,7,3653,4567,6838,15787,16818,17541,13876,3983,468,26,79903
LGA27630,3,9,12,10,12,26,6,0,0,77,4,9,14,8,15,27,0,9,0,81,138,162,437,425,513,703,224,58,6,2670
LGA29399,0,0,0,0,0,3,0,0,0,4,0,11,13,3,0,0,0,0,0,23,26,102,171,83,66,46,22,3,5,530
LGA29499,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
