LGA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA21270,18,5,34,15,5,13,6,11,0,104,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,3,3,0,19,23,6,9,8,9,7,11,14,6,85,449,334,202,173,127,62,96,135,16,1587
LGA21370,97,5,266,129,74,61,47,119,5,794,0,4,0,0,5,0,0,6,0,17,26,16,16,19,21,9,13,22,4,143,78,24,63,42,24,37,53,93,58,476,1840,2312,1926,1486,926,531,550,1005,154,10729
LGA21450,240,59,714,358,332,255,217,273,40,2488,0,0,3,5,6,0,6,8,0,35,103,92,92,95,75,35,80,58,16,644,132,72,210,96,112,88,127,136,229,1199,4957,9059,7780,5443,4877,2183,2358,2675,728,40054
LGA21610,643,174,1936,1068,872,637,820,848,79,7071,9,9,14,0,5,14,17,21,0,95,236,249,267,335,302,133,301,234,61,2127,275,244,560,303,302,188,419,381,739,3399,13289,27826,19565,16294,15103,6691,8427,8323,2352,117861
LGA21670,25,3,73,36,16,30,9,29,3,209,0,0,0,0,0,0,0,3,0,4,5,3,0,8,12,0,4,7,5,42,15,4,20,11,5,9,13,36,10,127,357,502,501,537,248,158,160,286,46,2794
LGA21750,69,5,174,57,36,42,27,94,6,514,0,0,0,0,0,0,0,3,0,5,38,20,12,9,12,6,8,15,0,117,40,21,25,14,23,24,24,49,37,248,1137,1281,1036,940,561,331,348,773,111,6523
LGA21830,44,9,100,37,14,17,14,45,4,288,0,0,0,0,0,0,0,0,0,0,17,7,6,3,10,4,7,14,4,77,70,8,24,25,3,16,19,39,17,224,1149,851,671,537,330,176,257,481,79,4533
LGA21890,282,79,768,329,243,176,97,229,22,2228,0,4,0,9,6,0,9,8,5,40,291,509,110,149,238,91,40,69,35,1527,118,138,150,113,137,70,47,113,252,1129,9421,25798,6284,5855,6725,2893,1659,2552,971,62159
LGA22110,111,19,244,156,105,87,25,143,9,904,0,0,0,0,0,0,0,5,0,7,35,35,24,30,28,12,13,20,5,195,60,26,89,48,47,52,34,99,84,534,1882,2793,1990,1916,1304,658,540,1027,253,12366
LGA22170,297,93,782,428,368,301,129,297,30,2735,0,3,6,3,9,3,5,6,0,43,131,135,93,106,109,49,45,62,36,770,114,112,235,96,119,99,100,155,198,1217,6019,11823,8863,6391,5597,2778,1943,2791,757,46965
LGA22250,12,0,59,24,19,14,8,27,0,168,0,0,0,0,0,0,0,0,0,0,9,8,3,6,5,0,4,9,0,34,22,5,17,12,8,13,12,19,9,117,531,513,448,316,218,120,144,222,41,2547
LGA22310,292,81,734,286,242,191,54,130,26,2043,13,3,8,6,3,5,0,4,0,46,262,395,93,117,195,92,37,50,43,1277,156,190,123,83,103,78,42,55,249,1071,11994,27152,5228,5035,7266,3457,1072,1775,1127,64111
LGA22410,47,4,106,52,29,45,21,45,10,362,0,0,0,0,0,0,0,0,0,5,11,13,11,15,10,4,8,8,3,81,36,17,27,27,18,12,32,33,40,247,842,1141,951,838,442,233,387,431,104,5366
LGA22490,42,9,109,79,76,35,25,49,0,420,5,0,0,0,0,0,0,0,0,5,24,21,15,23,16,3,16,13,0,132,38,7,58,34,21,18,32,32,33,270,1197,1879,1805,1127,975,368,445,587,124,8507
LGA22620,246,52,719,365,243,207,115,285,27,2263,4,3,8,0,5,3,8,11,0,36,85,106,58,73,64,33,56,43,18,547,78,83,151,111,69,74,106,134,168,971,4561,11381,5978,5583,4074,1903,1618,2462,543,38100
LGA22670,175,39,913,423,213,208,277,459,41,2743,8,5,10,0,6,6,20,28,14,88,70,83,109,92,87,43,121,112,25,748,88,98,216,164,103,71,194,291,347,1577,3641,10039,6387,5537,5019,2469,3545,4448,1023,42097
LGA22750,543,135,1716,842,536,481,275,549,58,5132,7,9,8,8,6,10,6,16,4,73,199,315,170,231,198,83,116,126,49,1477,200,199,384,261,201,147,145,273,388,2196,11593,27737,14617,13081,9803,4700,3805,5402,1446,92173
LGA22830,123,28,346,174,136,129,72,159,17,1185,5,0,0,3,0,6,0,10,0,18,44,47,31,34,21,14,35,41,7,281,92,46,95,51,49,56,61,130,107,681,2657,4986,3046,2691,1883,930,810,1651,331,18980
LGA22910,68,11,122,44,29,28,8,34,0,342,0,0,0,0,0,0,0,0,0,6,19,25,10,12,15,4,3,9,4,104,29,14,31,17,12,6,11,26,20,158,998,1415,855,658,468,219,144,330,73,5159
LGA22980,9,0,27,9,4,13,7,19,0,98,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,8,4,0,19,13,0,10,9,7,0,3,19,4,59,290,314,176,198,124,54,108,143,22,1423
LGA23110,175,63,403,190,200,112,85,99,28,1345,0,0,4,0,5,0,0,6,0,19,147,145,53,69,114,34,32,45,32,662,76,78,101,47,67,48,44,65,163,685,5965,11586,4071,3057,4076,1516,1180,1364,615,33430
LGA23190,56,11,131,51,47,49,22,32,0,413,3,0,0,0,0,0,0,5,0,5,10,16,9,14,7,0,5,4,0,73,41,13,25,11,11,13,18,22,23,186,1042,1638,1031,899,670,306,279,372,98,6335
LGA23270,389,100,1213,618,467,419,515,437,49,4202,9,4,8,10,9,7,6,19,4,79,140,163,173,187,167,66,201,149,45,1294,155,153,307,223,188,158,271,219,443,2118,7320,16091,11069,9917,8714,3908,5314,4600,1405,68334
LGA23350,56,11,115,53,28,19,16,56,0,355,0,0,0,0,0,0,0,3,0,0,16,22,17,10,3,5,10,5,4,105,26,5,20,18,6,22,22,28,36,190,1098,1638,915,691,542,244,274,449,94,5940
LGA23430,325,106,803,373,350,238,108,204,38,2548,7,4,3,4,5,0,3,13,0,42,206,254,94,106,161,61,51,65,40,1025,144,122,197,103,127,90,66,105,264,1212,10054,20195,7984,5980,7649,3292,1678,2331,948,60112
LGA23670,329,89,825,377,356,290,129,271,32,2695,0,3,3,0,11,6,5,10,0,42,144,199,116,110,120,66,48,53,38,900,125,111,234,109,159,84,92,115,231,1272,8263,17865,8968,6359,7673,3412,2054,2717,943,58245
LGA23810,125,41,391,226,204,129,56,143,19,1328,0,0,0,0,0,0,4,0,0,10,37,38,65,38,28,15,39,34,12,308,56,48,129,80,58,55,67,118,105,722,2129,4855,4251,3160,2518,1011,1184,1457,369,20938
LGA23940,18,0,21,9,13,11,4,24,0,97,0,0,0,0,0,0,0,0,0,0,7,0,4,4,5,0,6,0,0,27,28,3,9,9,0,4,4,21,9,87,602,313,205,212,151,71,95,208,28,1892
LGA24130,104,28,213,102,108,70,22,75,10,744,0,3,0,0,0,4,0,6,0,19,71,100,41,45,47,19,16,28,9,380,68,41,83,52,48,44,25,41,72,470,3260,5613,3013,1949,1911,756,562,866,284,18211
LGA24210,249,52,494,223,216,192,50,134,14,1624,0,5,4,3,8,0,4,3,0,29,148,185,61,75,124,59,23,35,22,726,100,108,112,74,95,62,23,47,211,840,8164,16676,4468,3695,5663,2864,845,1426,849,44657
LGA24250,17,10,66,21,23,26,8,18,0,197,0,0,0,0,0,0,0,0,0,0,9,10,3,6,4,6,0,0,4,43,18,3,18,15,6,5,6,12,10,85,613,701,590,400,312,194,131,220,45,3198
LGA24330,211,65,489,239,169,121,67,145,14,1523,0,3,6,5,0,0,0,6,0,28,161,237,70,83,122,54,45,33,36,840,65,98,63,64,85,51,56,73,168,716,5919,14404,3340,3356,4308,1913,1252,1674,609,36782
LGA24410,248,71,548,298,264,210,82,165,29,1924,0,4,3,4,0,0,7,6,5,28,99,156,81,83,112,37,36,33,20,659,89,84,152,94,95,57,43,67,158,839,6440,14636,6225,4810,5345,2188,1127,1811,646,43224
LGA24600,342,92,1419,597,249,165,70,248,41,3223,3,9,10,18,10,13,0,19,0,80,263,481,77,166,206,118,41,70,40,1464,125,211,122,160,77,79,43,104,294,1217,10331,33723,5658,6966,7852,4069,1432,3772,1307,75111
LGA24650,331,90,829,515,470,328,500,330,47,3445,6,4,6,4,11,0,3,11,0,50,120,118,117,169,130,62,175,100,34,1021,130,94,230,160,170,96,225,186,331,1625,6020,13056,8312,7549,7593,3097,4526,3379,1147,54690
LGA24780,125,37,340,155,112,114,65,149,12,1105,8,4,0,4,0,0,3,16,0,40,31,26,22,38,14,5,21,40,4,207,82,42,83,67,53,54,55,118,122,677,2210,3823,2470,2259,1536,804,749,1296,310,15453
LGA24850,113,24,258,146,131,106,80,119,20,997,0,4,0,8,5,5,5,3,0,16,47,45,32,59,37,15,40,27,17,321,45,24,92,45,53,24,56,64,87,498,1933,2972,3104,2251,1754,744,1027,1033,293,15110
LGA24900,83,13,176,103,70,64,35,82,12,626,0,0,0,3,0,0,0,5,0,6,17,11,13,11,4,0,14,21,9,100,58,19,44,35,31,33,40,80,33,373,1372,1518,1335,1082,719,371,417,850,145,7816
LGA24970,297,109,895,384,279,230,126,282,33,2637,0,8,3,11,7,7,4,13,0,60,177,294,97,117,204,95,50,77,47,1157,141,185,196,103,135,90,79,120,362,1411,10899,27913,6986,6094,8865,4251,2230,3454,1379,72068
LGA25060,243,73,487,275,258,171,64,148,17,1736,3,9,6,3,4,0,0,11,0,36,180,272,79,103,163,55,32,35,28,951,122,120,107,100,120,65,67,71,205,975,8638,18951,4804,4064,6154,2333,1074,1663,814,48496
LGA25150,46,18,185,84,100,51,31,55,9,574,0,0,4,0,0,4,0,4,0,11,28,39,36,21,24,7,19,21,9,203,58,23,70,42,39,28,33,44,75,403,1698,2895,2401,1640,1530,574,700,713,221,12374
LGA25250,286,138,966,409,304,212,135,262,31,2740,0,4,8,12,8,5,8,6,0,54,303,534,118,209,255,84,56,76,36,1676,127,180,166,125,166,78,92,103,292,1334,10641,30716,7622,6988,8250,3302,1920,2896,1175,73512
LGA25340,422,93,1001,479,363,287,94,297,34,3066,9,4,3,5,3,6,6,3,0,30,168,165,117,133,106,46,27,67,27,860,200,104,272,179,145,132,70,156,193,1452,9105,14360,9505,6317,5437,2956,1317,2709,851,52553
LGA25430,38,3,94,43,29,18,8,26,4,264,3,0,0,0,0,0,0,0,0,6,33,50,8,18,33,10,3,6,5,166,19,22,28,22,12,13,22,12,15,165,945,2205,949,758,570,267,190,364,96,6340
LGA25490,60,3,116,60,22,34,15,59,5,370,0,0,0,0,0,0,0,0,0,0,24,21,17,9,6,0,3,7,0,81,76,8,31,19,8,16,15,26,31,227,1338,1265,830,667,450,199,215,486,98,5540
LGA25620,47,6,94,35,40,25,8,32,5,300,0,0,0,0,0,0,0,0,0,0,17,18,15,6,15,0,9,4,0,77,23,15,35,22,10,11,16,16,15,172,849,907,965,607,458,188,230,352,81,4640
LGA25710,120,34,251,142,169,81,32,50,13,887,0,6,0,0,0,0,0,0,0,7,84,133,37,70,56,27,9,14,13,439,63,51,74,35,46,23,13,56,81,448,4750,8498,3742,2406,2887,1041,517,778,323,24947
LGA25810,25,10,62,37,21,16,3,35,0,208,0,0,0,0,0,0,0,3,0,3,6,8,0,10,6,0,3,18,0,58,18,14,15,15,7,11,14,25,7,131,581,599,443,558,278,126,164,357,47,3151
LGA25900,315,100,700,267,192,146,42,103,30,1888,5,3,7,3,4,0,3,3,0,31,257,363,65,119,155,75,22,45,25,1130,117,160,77,57,83,51,32,35,172,789,10631,21857,3798,3685,5150,2589,698,1316,857,50586
LGA25990,22,5,26,24,8,5,5,11,5,100,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,3,0,23,18,3,17,0,9,5,7,18,12,78,400,375,285,257,191,74,143,174,39,1934
LGA26080,7,0,7,3,3,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,4,12,0,0,3,3,0,0,0,27,8,0,3,0,9,0,0,3,4,25,183,383,113,93,110,55,6,38,24,1012
LGA26170,80,6,171,59,47,58,27,69,9,524,0,4,0,0,0,0,0,0,0,6,30,33,11,25,10,4,12,7,5,136,49,17,55,32,22,28,36,42,31,317,1640,2030,1561,1072,833,422,445,669,152,8826
LGA26260,42,15,108,47,42,27,13,43,6,346,0,0,0,0,0,0,0,0,0,4,22,4,9,9,9,5,3,4,0,72,35,9,31,11,16,12,15,24,13,167,1123,1183,732,612,474,241,180,428,68,5037
LGA26350,257,92,520,218,152,152,21,81,16,1509,4,10,0,3,0,0,0,3,0,23,252,373,52,69,156,90,14,29,20,1061,123,156,64,48,64,53,15,37,173,735,10504,23799,2857,3090,5334,2923,511,1067,846,50927
LGA26430,33,9,57,25,25,16,12,26,0,189,0,0,0,0,0,0,0,0,0,3,13,6,7,10,8,0,4,7,9,65,32,11,20,11,5,3,11,18,11,131,703,658,522,391,293,123,133,331,57,3207
LGA26490,91,26,184,77,67,50,13,46,3,566,0,0,0,0,0,0,0,0,0,3,53,72,23,43,32,10,11,14,10,267,46,34,59,32,25,22,12,42,39,321,2759,4930,2063,1517,1338,695,273,585,190,14345
LGA26610,40,9,109,62,46,30,11,55,11,383,0,0,0,0,0,0,0,14,0,21,16,13,11,6,9,8,4,15,5,74,51,13,29,16,15,16,24,91,50,302,979,1217,869,732,541,255,226,639,124,5570
LGA26670,20,0,24,15,14,4,3,14,0,102,0,0,0,0,0,0,0,0,0,5,4,8,7,0,0,0,0,3,3,33,19,3,5,10,8,5,12,17,6,79,431,384,293,222,187,68,92,159,37,1873
LGA26700,78,16,200,89,63,70,30,93,4,632,0,0,0,0,0,0,0,4,0,3,22,25,16,19,13,14,11,12,5,123,54,25,31,29,35,29,25,51,45,327,1429,2468,1540,1419,904,484,426,682,138,9486
LGA26730,90,23,290,141,69,98,21,121,15,864,0,0,0,5,0,0,0,11,0,13,24,28,23,22,17,11,12,16,8,159,29,21,34,31,22,30,21,71,48,311,1355,3282,1832,1683,1152,614,379,890,159,11343
LGA26810,100,26,256,111,79,69,30,101,12,787,4,0,0,0,0,0,0,0,0,10,40,31,32,11,23,7,13,20,5,190,82,32,72,47,34,33,41,80,58,477,2010,3090,2344,1846,1122,521,612,960,222,12721
LGA26890,12,0,16,7,8,6,0,11,0,56,0,0,0,0,0,0,0,0,0,0,6,0,0,4,5,0,0,0,0,10,28,0,5,3,0,3,0,10,5,49,383,210,104,117,83,30,48,100,22,1091
LGA26980,267,77,692,328,214,212,99,237,20,2142,8,4,7,7,3,7,4,24,4,62,172,281,95,102,175,78,34,48,29,1013,109,176,140,108,122,86,59,99,263,1160,10269,26396,6076,5712,7944,3723,1495,2516,1056,65189
LGA27070,460,107,1337,793,609,459,415,474,57,4718,8,10,12,11,5,9,14,13,0,75,148,172,162,207,201,80,191,159,45,1368,134,151,347,232,210,171,218,250,406,2127,7938,18833,11631,10499,9557,4436,4444,4735,1431,73501
LGA27170,78,26,290,166,111,89,77,106,8,937,0,0,3,7,0,5,0,12,0,33,26,31,17,36,25,14,17,23,5,199,28,33,52,35,27,23,48,53,56,356,1712,3365,2375,2280,1642,681,739,884,197,13876
LGA27260,548,161,1554,780,641,482,979,601,72,5824,8,6,12,4,7,6,18,15,4,86,194,281,247,315,266,136,382,193,64,2070,191,206,289,261,267,144,383,253,646,2636,11632,28318,12449,12479,12989,5716,8635,5914,2272,100398
LGA27350,222,74,457,217,122,83,36,67,13,1282,3,9,0,3,3,4,0,6,0,27,282,451,55,107,158,75,11,24,34,1203,71,147,67,70,46,41,18,37,155,650,9013,25042,2998,3146,4416,2012,458,919,670,48667
LGA27450,379,86,897,409,434,266,107,271,40,2891,0,8,11,3,4,0,4,11,0,34,147,190,112,144,122,53,48,45,40,906,151,97,259,112,115,86,101,136,249,1306,8268,14521,11176,6980,6395,2603,1977,2984,860,55768
LGA27630,12,4,24,10,15,10,7,22,0,96,0,0,0,0,0,0,0,0,0,0,6,4,3,4,0,3,6,0,0,25,17,0,6,9,4,10,13,11,5,74,396,318,191,237,146,77,89,141,34,1629
LGA29399,4,0,19,5,0,0,0,7,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,0,3,0,12,90,40,43,62,11,18,31,51,15,359
LGA29499,4,0,15,7,9,7,6,19,0,67,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,5,5,0,30,0,8,0,4,4,0,5,17,12,54,133,313,192,156,89,64,81,181,28,1239
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
