LGA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA21270,8,0,0,0,11,0,0,11,193,7,0,8,211,0,0,0,216,3,0,216,365,29,8,0,402,3,0,0,405,10,0,423,36,5,0,0,43,0,0,0,43,0,0,43,5,4,0,12,16,0,0,0,16,0,0,16,605,41,11,24,680,6,0,3,684,14,0,696,0,6,0,0,0,7,0,7,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,7,5,5,0,11,610,41,11,24,682,7,0,7,689,18,0,710,135,4,4,9,156,5,0,5,158,18,0,179,0,0,0,0,0,0,0,0,0,0,5,5,744,50,19,31,837,14,0,15,852,39,5,891
LGA21370,60,0,0,0,60,0,0,65,1312,158,31,0,1506,12,0,14,1525,41,5,1564,2253,229,53,15,2542,8,3,7,2553,104,3,2670,209,26,25,3,263,0,0,0,263,5,0,272,27,4,0,48,75,4,0,3,81,9,8,97,3802,414,105,68,4395,24,9,28,4427,159,19,4600,10,0,0,0,12,0,0,0,12,4,0,17,42,4,0,8,55,4,0,4,57,0,0,56,51,4,0,6,65,4,0,4,72,10,0,78,3856,414,110,73,4460,23,9,31,4492,163,19,4673,664,103,20,37,826,10,3,13,839,130,6,970,3,5,0,4,10,0,0,0,10,0,20,24,4519,526,128,124,5294,40,5,46,5341,293,36,5671
LGA21450,461,4,0,5,462,51,0,514,5591,558,100,31,6279,83,19,97,6371,306,11,6686,8363,1114,176,67,9718,80,10,89,9806,312,18,10137,1147,138,136,12,1431,6,5,3,1436,22,3,1463,114,24,0,98,235,5,0,5,236,11,14,260,15211,1834,407,204,17664,162,34,195,17855,650,48,18550,154,42,3,3,208,29,4,30,239,9,0,253,291,62,17,7,374,13,3,19,390,12,0,403,446,106,17,11,579,43,5,45,624,30,0,649,15660,1936,428,215,18238,200,39,240,18477,677,50,19203,4471,633,164,117,5387,125,37,158,5543,558,25,6130,43,10,0,30,86,0,0,0,86,12,118,210,20166,2583,597,363,23706,324,81,403,24110,1244,188,25546
LGA21610,2486,75,31,106,2586,423,16,3030,18506,2478,368,122,21476,370,105,472,21947,1117,28,23092,21560,3982,407,185,26136,299,94,394,26531,1061,37,27631,2779,418,356,28,3583,46,10,54,3634,115,11,3759,261,51,8,331,655,16,6,28,678,32,74,781,43105,6934,1137,675,51845,732,218,944,52791,2320,153,55264,664,138,9,9,826,94,12,112,938,71,4,1011,1063,269,21,31,1389,128,42,167,1558,94,0,1656,1726,415,29,47,2220,229,49,276,2498,168,6,2666,44827,7347,1170,715,54060,958,268,1222,55289,2481,165,57932,15900,4056,497,661,21118,900,177,1075,22195,4292,149,26635,139,44,0,182,361,0,0,0,366,38,295,699,60869,11448,1660,1561,75544,1860,448,2300,77843,6818,607,85265
LGA21670,11,0,0,0,11,3,0,12,242,44,14,6,304,0,0,7,312,28,0,341,402,99,19,4,521,0,6,8,527,44,0,576,54,10,7,0,73,0,0,0,73,0,3,75,3,0,0,3,3,0,0,0,3,3,0,8,701,156,33,9,905,6,8,12,916,80,6,1004,4,0,0,0,7,0,4,4,11,0,0,10,4,0,0,0,4,0,0,0,5,0,0,5,5,4,0,0,11,0,4,4,14,0,0,22,711,159,33,9,920,6,8,16,933,86,6,1016,188,57,14,5,275,8,6,10,285,102,0,384,3,0,0,0,3,0,0,0,3,0,14,17,906,214,55,17,1191,10,19,27,1220,190,20,1429
LGA21750,31,0,0,0,31,4,0,34,705,85,6,8,811,6,6,0,814,31,0,841,1401,207,34,14,1655,4,0,4,1658,48,0,1706,142,16,15,7,179,4,0,4,183,6,0,193,20,4,0,15,33,0,0,0,33,5,0,43,2270,313,60,38,2684,7,6,10,2690,86,3,2782,3,0,0,0,5,0,0,0,5,0,0,5,9,7,0,3,16,3,3,4,22,0,3,23,16,12,0,3,25,3,3,4,26,0,3,32,2285,323,60,39,2704,9,3,13,2719,86,4,2811,315,50,11,12,395,9,0,9,404,84,0,483,5,0,0,0,5,0,0,0,5,0,6,7,2605,375,72,57,3107,14,3,21,3130,171,13,3309
LGA21830,18,0,0,0,18,6,0,18,601,79,5,5,690,4,0,4,696,17,0,712,889,112,13,16,1034,5,0,5,1040,33,3,1073,93,6,13,9,117,0,0,0,114,4,0,122,18,0,0,36,49,0,0,0,49,0,0,56,1601,193,33,62,1887,13,0,13,1905,54,4,1962,0,5,0,0,4,0,0,0,4,0,0,4,22,0,0,0,25,0,0,0,25,0,0,25,29,5,0,0,32,0,0,0,32,0,0,32,1630,200,33,60,1921,13,0,13,1933,54,4,1994,325,24,20,20,396,9,3,10,407,62,0,462,3,0,0,0,3,0,0,0,3,0,11,11,1959,225,53,82,2321,21,3,24,2343,112,15,2469
LGA21890,689,19,5,22,712,127,3,845,5472,887,97,30,6479,116,29,136,6617,373,4,7001,7225,1422,142,43,8834,99,26,126,8957,271,13,9240,1009,156,129,8,1305,7,6,11,1321,51,0,1370,34,19,0,57,117,0,0,0,117,5,9,133,13749,2485,374,136,16738,227,52,279,17016,703,28,17753,103,34,5,5,148,29,0,31,184,19,0,199,261,62,5,6,332,32,6,38,374,13,0,386,370,96,11,15,485,59,9,69,556,33,0,594,14114,2581,379,145,17223,287,63,347,17570,741,28,18344,2761,713,131,72,3680,105,36,144,3822,788,10,4620,19,0,0,27,43,4,0,4,51,5,47,106,16893,3293,514,245,20943,395,104,499,21442,1532,88,23063
LGA22110,35,0,0,0,35,4,0,40,1058,170,27,17,1271,25,3,29,1305,89,0,1396,2109,382,76,37,2605,20,0,20,2626,164,0,2789,189,35,53,9,279,0,0,0,279,11,0,294,31,17,0,42,89,0,4,4,87,12,4,98,3394,602,154,100,4248,45,6,53,4298,275,4,4580,11,0,0,0,12,0,0,0,11,0,0,11,18,7,0,0,27,3,3,6,32,8,0,39,30,6,0,0,36,3,3,4,42,8,0,49,3414,612,154,100,4286,52,10,58,4345,279,4,4633,715,155,28,22,918,38,3,39,956,210,4,1171,11,3,0,9,19,4,0,4,25,0,12,38,4141,762,183,131,5223,89,13,103,5326,493,23,5841
LGA22170,526,3,0,3,526,38,6,573,5076,612,82,31,5805,66,21,92,5888,342,15,6250,8475,1137,154,57,9820,73,10,81,9905,298,13,10218,1280,177,157,12,1625,15,4,14,1636,47,0,1683,111,5,6,95,220,6,0,6,223,18,20,256,14938,1933,397,195,17465,151,36,191,17656,702,47,18405,88,15,0,0,99,11,5,11,117,10,0,131,199,19,7,5,234,5,3,12,246,15,0,262,290,39,7,5,336,18,9,21,358,30,0,390,15231,1974,397,204,17803,174,41,213,18022,729,48,18793,3135,388,92,72,3682,83,28,114,3793,497,13,4298,38,0,7,9,48,0,0,0,55,5,73,128,18394,2359,492,292,21542,254,72,330,21864,1229,134,23223
LGA22250,13,0,0,0,12,3,0,18,349,20,0,5,367,0,0,0,366,16,0,384,567,59,4,8,638,0,0,0,638,13,0,650,46,0,9,0,53,0,0,0,53,0,0,53,6,0,0,11,17,0,0,0,17,0,4,18,964,80,12,21,1069,0,0,0,1074,30,4,1109,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,8,0,0,11,8,0,0,0,8,0,0,0,11,0,0,6,970,81,12,21,1082,3,0,3,1086,35,4,1116,184,16,0,7,212,5,6,9,219,32,0,256,9,0,0,0,9,0,0,0,9,0,12,26,1161,93,12,30,1302,6,6,13,1311,69,15,1396
LGA22310,1216,26,4,34,1251,124,0,1367,8780,961,116,34,9888,186,49,238,10124,463,8,10604,9680,1537,148,66,11432,128,26,151,11584,322,22,11930,1105,128,125,11,1373,12,0,12,1387,48,0,1435,115,15,7,89,225,0,0,0,225,7,22,255,19683,2647,394,199,22920,327,69,399,23324,841,53,24214,177,22,3,5,212,24,0,24,234,9,0,236,305,30,11,0,345,9,5,13,363,20,3,387,484,53,15,5,556,31,5,39,591,24,3,624,20165,2698,410,207,23477,361,77,438,23916,863,53,24843,3487,502,75,70,4133,90,29,122,4247,509,10,4769,57,12,0,54,117,6,0,6,122,0,60,185,23711,3210,486,323,27723,455,104,562,28288,1374,130,29790
LGA22410,13,0,0,0,13,0,0,18,466,76,14,5,559,7,0,7,570,42,0,614,963,138,36,17,1156,3,3,12,1162,19,5,1189,98,22,10,9,139,0,0,0,143,7,0,149,8,7,0,21,38,0,0,0,38,0,9,43,1530,241,60,55,1895,13,7,22,1913,73,6,1995,11,0,0,0,11,0,0,0,11,0,0,11,11,0,0,0,15,3,0,3,21,12,0,26,28,0,0,0,26,3,0,3,26,12,0,39,1556,240,60,55,1917,19,7,23,1943,83,6,2032,321,50,13,28,409,18,11,24,431,88,0,520,7,0,0,0,8,0,0,0,8,0,11,15,1879,298,76,86,2331,35,13,52,2385,163,18,2567
LGA22490,73,0,0,0,73,3,3,83,1178,140,24,11,1358,3,0,5,1365,78,3,1449,2271,258,45,16,2584,9,6,13,2597,53,0,2650,294,33,31,5,372,0,0,0,372,7,0,379,15,10,0,31,52,0,0,0,52,0,6,60,3763,446,104,66,4367,16,9,14,4387,139,11,4540,16,0,0,0,22,0,0,0,22,3,0,25,41,6,0,0,52,0,0,0,52,3,0,54,59,6,0,0,72,0,0,0,73,6,0,81,3822,450,106,66,4440,17,9,16,4456,147,11,4617,732,90,17,25,859,7,5,11,870,68,0,938,0,0,0,3,8,0,0,0,8,0,16,22,4558,543,124,91,5307,20,8,30,5338,214,30,5579
LGA22620,301,5,3,5,302,38,0,340,4266,579,119,23,4986,46,15,64,5051,267,5,5323,7168,1024,164,55,8407,52,12,62,8475,268,10,8751,876,126,134,15,1151,15,0,20,1169,41,0,1213,63,6,0,84,153,0,0,6,154,31,3,191,12370,1733,416,173,14696,118,33,157,14845,606,24,15472,58,5,0,0,64,19,0,19,79,6,0,88,157,30,6,3,199,16,0,16,212,12,0,226,213,38,6,3,262,33,0,33,297,15,0,310,12586,1777,429,178,14956,151,33,183,15142,622,24,15790,2513,431,117,41,3098,62,19,80,3183,583,0,3766,18,0,11,3,37,0,0,0,37,9,53,101,15109,2205,551,227,18096,216,47,264,18357,1217,77,19649
LGA22670,903,42,7,51,955,267,17,1236,5515,744,101,39,6402,127,42,166,6572,507,15,7099,4673,1468,94,40,6281,117,48,171,6445,499,15,6965,545,122,71,9,750,13,4,10,766,59,0,821,81,25,4,102,208,4,0,4,217,34,14,262,10816,2359,276,190,13638,266,97,358,13992,1101,42,15141,229,47,8,3,292,65,4,70,361,46,0,410,304,78,9,7,396,47,36,82,474,59,0,540,535,124,14,13,687,117,35,153,836,104,3,951,11349,2484,286,202,14326,377,133,505,14833,1206,49,16089,5573,1755,194,210,7728,423,103,530,8260,2681,59,10996,45,24,3,82,167,15,0,15,181,17,180,380,16970,4264,484,495,22218,816,234,1052,23270,3905,289,27467
