LGA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA25060,14,23,86,118,163,398,1097,2002,1207,5116,3,17,96,67,124,147,242,391,277,1365,166,307,916,690,647,580,555,597,372,4837,2304,7711,18478,17524,16876,14077,10862,6910,3275,98018
LGA25150,14,19,40,58,70,149,321,352,190,1205,4,0,6,7,17,20,32,19,10,114,99,77,237,235,266,247,294,197,70,1729,889,1903,4763,5118,5064,4638,3894,1861,628,28759
LGA25250,20,31,127,232,319,676,1609,2872,2036,7915,5,39,117,123,194,318,484,728,492,2500,277,572,1852,1221,866,729,728,711,681,7644,2746,12470,37138,28603,20736,15785,10577,7571,4677,140327
LGA25340,67,45,152,169,269,418,1102,1677,1029,4922,10,10,31,55,61,83,90,97,71,512,434,380,813,1010,1241,1253,1579,1550,1081,9334,3766,7632,14552,17829,22601,23196,24109,15826,6019,135532
LGA25430,0,3,16,23,43,73,146,185,96,587,0,4,4,9,3,4,6,5,3,36,64,39,148,159,186,203,266,229,220,1512,332,612,1730,2258,2808,3292,3350,1756,644,16798
LGA25490,9,3,24,24,25,62,155,188,103,597,0,0,0,8,0,3,8,0,7,21,64,58,134,104,157,172,202,130,68,1082,399,720,1729,1879,2275,2605,2377,1060,381,13423
LGA25620,7,7,11,22,28,63,118,151,74,473,0,3,5,3,6,6,17,3,3,42,71,57,98,146,222,258,228,137,58,1277,310,599,1291,1579,2145,2650,2410,1204,343,12530
LGA25710,14,11,32,18,32,82,237,334,199,959,3,7,6,18,21,22,9,11,21,128,88,76,133,216,271,271,282,201,108,1652,1555,3823,5573,7660,9875,9295,6641,2905,880,48192
LGA25810,4,9,18,22,51,79,145,191,85,608,0,3,9,5,19,11,7,3,0,62,44,35,125,95,121,174,206,174,133,1099,241,566,1345,1116,1456,1891,1804,1021,384,9825
LGA25900,17,5,51,69,93,137,301,535,267,1479,6,10,65,36,36,44,67,107,73,442,135,380,1583,1215,953,817,643,527,372,6625,1223,5541,23117,18278,14678,11591,8040,4261,1468,88205
LGA25990,0,4,12,21,26,61,100,106,52,383,0,0,0,0,0,3,3,3,5,21,50,23,54,93,111,93,130,96,37,677,175,296,642,778,1123,1227,1297,602,195,6327
LGA26080,0,0,0,0,0,0,12,15,18,52,0,0,0,0,0,0,0,0,0,0,3,7,10,20,18,41,59,55,13,230,43,96,153,226,311,574,799,512,175,2883
LGA26170,13,9,35,40,48,123,301,390,254,1215,3,6,0,4,5,16,10,26,13,80,95,64,189,245,254,359,350,283,114,1957,639,1123,2628,3117,3916,4839,4812,2454,852,24386
LGA26260,10,7,23,22,39,92,149,247,192,772,0,3,8,7,7,11,8,7,0,45,45,49,90,103,130,152,180,172,121,1044,372,763,1660,1698,2007,2397,2342,1349,585,13177
LGA26350,8,8,39,40,61,92,270,616,407,1542,0,11,44,31,44,59,53,138,99,476,172,377,1234,751,581,516,530,509,379,5050,1710,8177,23737,15038,12624,10675,8977,6066,2744,89746
LGA26430,8,6,12,13,20,65,152,153,102,534,0,0,9,9,5,5,6,0,15,48,44,39,71,98,136,199,206,146,94,1040,226,404,911,1132,1333,1947,2083,1065,433,9531
LGA26490,7,5,19,21,26,42,103,157,130,501,0,3,8,5,9,4,5,0,4,47,95,67,190,265,250,262,323,207,178,1834,680,1556,3662,5370,5178,4936,4628,2099,738,28847
LGA26610,6,23,70,78,80,149,236,280,210,1133,6,19,58,55,58,46,43,31,16,335,92,97,311,269,206,270,245,177,116,1779,485,1170,3060,2661,2330,2848,2251,1315,597,16721
LGA26670,0,0,7,11,3,36,66,85,50,266,0,0,0,0,0,5,0,4,0,11,21,19,36,54,63,77,106,72,49,504,119,199,484,625,767,1116,1031,533,217,5083
LGA26700,15,11,34,47,73,118,268,397,237,1211,0,0,6,12,14,22,20,18,16,101,94,83,175,204,228,243,301,288,171,1789,720,1290,3049,3303,3849,4130,3858,2379,951,23529
LGA26730,18,16,50,60,66,108,336,483,294,1438,0,6,31,31,15,25,13,5,3,130,129,100,259,293,237,227,273,273,207,1987,861,1832,4498,4232,4436,4590,4080,2362,1065,27968
LGA26810,34,16,51,90,131,253,469,569,281,1892,0,4,5,17,21,31,19,20,12,133,176,179,453,483,451,478,591,380,217,3401,1071,2176,5167,5206,5565,6670,6433,3105,1038,36428
LGA26890,0,0,0,9,7,18,45,62,48,201,0,0,0,0,3,0,0,0,0,9,15,13,14,35,62,59,65,40,21,325,88,139,358,393,513,693,614,319,141,3254
LGA26980,20,54,109,185,309,448,923,1508,990,4542,8,47,189,181,206,276,302,256,200,1665,220,639,1240,810,699,621,743,833,932,6749,3436,12710,23595,23287,22654,18690,15225,10615,5466,135681
LGA27070,53,74,323,570,762,1393,3176,3082,1309,10741,6,60,250,328,405,595,771,781,440,3636,545,721,1837,1569,1150,1008,976,886,623,9317,4963,14416,35842,37169,27814,22585,17156,8990,3328,172264
LGA27170,22,26,65,69,91,165,317,371,269,1399,3,8,27,31,49,32,43,15,14,219,145,142,308,279,235,223,295,243,157,2021,1240,2562,5842,5434,5190,5034,4491,2334,846,32982
LGA27260,103,158,507,636,722,1068,1526,1305,540,6564,21,105,432,531,599,565,414,263,127,3061,907,1247,3553,3173,1613,1145,937,627,332,13532,6121,17983,50933,57034,31342,21982,14391,6055,1853,207701
LGA27350,3,7,83,96,173,247,389,556,388,1949,3,11,44,74,98,152,149,155,162,843,123,376,1310,805,587,533,430,295,129,4590,984,6578,26909,15194,10212,8421,6194,3200,1265,78968
LGA27450,44,54,197,261,324,422,829,1197,614,3942,11,36,103,124,133,73,84,82,47,695,339,320,744,736,868,839,782,729,408,5773,3548,8681,19116,20373,21518,20269,16358,8546,2676,121072
LGA27630,7,4,5,13,17,47,100,105,84,388,0,0,3,4,8,4,4,9,6,38,41,16,40,40,55,71,106,115,78,565,136,241,591,580,740,1127,1001,615,291,5318
LGA29399,0,0,0,0,0,0,6,0,0,8,0,0,4,0,0,0,0,0,0,4,16,51,76,28,31,10,16,6,0,236,51,168,258,121,105,77,56,16,3,859
LGA29499,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
