LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA26810,7756,4695,5166,5206,5565,6671,6433,3105,1038,45639
LGA26890,674,301,358,393,513,693,621,319,141,4006
LGA26980,26949,22723,23627,23300,22674,18721,15256,10629,5471,169346
LGA27070,48706,27570,35876,37234,27849,22630,17191,9006,3332,229396
LGA27170,8682,5372,5849,5438,5198,5034,4491,2334,846,43253
LGA27260,74129,34051,51014,57085,31385,22013,14415,6061,1852,292011
LGA27350,9530,9149,26917,15204,10219,8427,6200,3199,1268,90114
LGA27450,29033,18154,19122,20374,21524,20271,16358,8550,2677,156068
LGA27630,1020,589,589,580,740,1127,1001,616,297,6556
LGA29399,85,229,258,121,105,77,56,16,3,955
LGA29499,1143,1131,1819,1736,1393,1074,613,152,29,9089
LGA29799,0,0,6,16,3,14,4,0,0,38
