LGA_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
LGA21270,0,6,0,3,..,0,0,0,0,0,..,4,0,10,0,10,..,4,0,4,0,4,..,20,0,21,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,20,5,23,0,23,..,93,7,95,0,102,..,9,0,9,277,293,2795,98,12,107,282,3186,2647,..,..,..,..,2647,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,6,14,0,14,..,0,0,0,0,0,..,10,6,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA21370,0,64,0,64,..,4,0,9,0,9,..,35,0,36,0,38,..,12,3,13,0,13,..,117,9,123,0,126,..,10,0,10,0,10,..,7,0,5,0,5,..,8,14,17,0,17,..,5,3,4,0,4,..,10,3,16,0,16,..,86,15,104,3,111,..,609,91,707,14,717,..,67,5,67,1294,1362,17022,677,96,775,1309,19105,17528,..,..,..,..,17528,..,13,0,13,0,13,..,10,0,11,0,11,..,18,0,18,0,18,..,11,4,13,0,13,..,25,22,45,0,49,..,0,0,3,0,3,..,35,23,60,0,60,..,0,0,0,0,0,..,13,0,17,0,17,..,21,0,22,0,23,..,16,4,22,0,24,..,7,0,5,0,5,..,0,0,0,0,0,..,14,0,11,0,11,..,14,3,14,0,14,..,23,4,28,0,28,..,33,7,33,0,33,..,7,0,7,0,7,..,0,0,0
LGA21450,3,165,3,172,..,64,5,63,3,65,..,207,9,215,3,219,..,57,4,65,0,65,..,487,26,515,10,523,..,277,31,305,0,310,..,290,26,317,0,320,..,45,12,55,0,56,..,55,0,53,0,54,..,77,18,92,0,99,..,1704,302,2008,40,2041,..,9203,1077,10276,130,10410,..,213,37,253,2709,2959,44901,9415,1114,10530,2847,58269,46211,..,..,..,..,46211,..,68,3,74,0,74,..,350,36,385,3,394,..,0,0,0,0,0,..,90,26,113,0,113,..,338,137,477,3,481,..,23,14,34,0,40,..,448,174,624,0,632,..,106,16,124,0,117,..,154,4,159,0,159,..,129,4,137,0,134,..,132,21,154,0,154,..,137,12,153,0,151,..,247,21,265,5,267,..,415,23,439,4,439,..,50,6,58,0,58,..,1394,195,1596,14,1609,..,923,88,1008,7,1013,..,341,18,365,13,371,..,83,13,97
LGA21610,38,1129,4,1132,..,429,35,463,4,470,..,1303,27,1329,11,1338,..,469,33,507,5,510,..,3301,130,3425,26,3453,..,1353,162,1522,13,1533,..,2830,237,3066,27,3090,..,184,47,232,3,234,..,713,125,836,6,840,..,1019,321,1338,6,1344,..,15912,3381,19295,284,19581,..,65666,9204,74869,836,75708,..,1287,309,1602,7818,9416,96918,66957,9512,76475,8647,182041,96884,..,..,..,..,96884,..,238,3,244,0,243,..,2245,354,2597,18,2615,..,17,0,17,0,17,..,852,273,1123,6,1134,..,2881,1359,4238,34,4271,..,435,147,579,3,586,..,4165,1777,5942,42,5988,..,550,89,645,7,651,..,900,31,930,8,943,..,263,0,267,4,269,..,1189,169,1363,4,1362,..,544,27,576,3,576,..,1315,137,1450,20,1471,..,3040,179,3218,28,3252,..,327,51,375,7,384,..,7034,839,7867,96,7960,..,5858,424,6282,71,6354,..,1321,212,1533,15,1553,..,629,51,672
LGA21670,0,11,0,11,..,0,0,0,0,0,..,5,0,5,0,5,..,4,0,4,0,4,..,20,0,22,0,22,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,3,0,3,..,43,5,46,0,46,..,168,16,183,5,186,..,30,0,27,485,514,5945,193,16,209,492,6650,6155,..,..,..,..,6155,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,16,4,15,0,15,..,6,0,6,0,6,..,19,7,21,0,21,..,0,0,0,0,0,..,0,0,0,0,0,..,7,4,6,0,6,..,7,3,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,14,0,13,0,13,..,7,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0
LGA21750,0,17,0,17,..,13,0,9,0,12,..,9,0,9,0,9,..,14,0,15,0,15,..,53,8,55,0,57,..,5,0,5,0,5,..,6,0,6,0,6,..,5,5,4,0,4,..,5,0,5,0,5,..,14,4,17,0,17,..,113,25,129,4,136,..,510,169,673,15,686,..,27,0,26,709,739,9795,531,168,700,718,11224,9872,..,..,..,..,9872,..,3,0,3,0,3,..,15,0,15,0,12,..,0,0,0,0,0,..,14,0,13,0,13,..,75,83,158,0,158,..,3,6,10,0,10,..,92,90,183,0,183,..,0,0,0,0,0,..,15,0,15,0,15,..,21,0,21,0,23,..,9,5,20,0,20,..,6,0,6,0,6,..,0,0,0,0,0,..,6,0,4,0,4,..,10,0,10,0,10,..,7,0,8,0,8,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0
LGA21830,0,16,0,16,..,3,0,3,0,3,..,13,0,13,0,13,..,0,0,5,0,5,..,37,0,40,0,40,..,22,4,28,0,28,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,29,4,36,4,38,..,172,22,200,4,200,..,22,0,22,581,602,7310,198,24,223,582,8112,7239,..,..,..,..,7239,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,9,4,10,0,10,..,0,0,0,0,0,..,7,0,7,0,7,..,10,0,12,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,6,..,9,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0
LGA21890,5,123,3,129,..,112,6,116,4,116,..,161,9,168,0,168,..,69,4,75,0,75,..,459,20,483,3,485,..,666,50,717,4,727,..,229,14,239,4,247,..,76,8,89,0,89,..,168,25,195,0,192,..,1061,334,1401,13,1411,..,1689,186,1882,45,1930,..,18940,3792,22734,218,22950,..,279,50,329,2925,3256,45958,19222,3840,23067,3145,72162,48163,..,..,..,..,48163,..,26,0,26,3,27,..,1473,303,1779,8,1786,..,40,0,40,0,45,..,601,299,901,6,907,..,1498,830,2326,13,2336,..,86,34,125,6,126,..,2179,1167,3350,23,3370,..,205,33,236,0,242,..,287,3,289,4,290,..,277,10,282,4,286,..,3342,1126,4470,28,4492,..,124,17,140,3,140,..,95,7,98,0,103,..,444,34,483,4,480,..,445,13,465,0,462,..,312,19,331,4,336,..,230,10,243,5,241,..,210,27,236,4,241,..,82,6,92
LGA22110,0,26,0,26,..,7,0,5,0,5,..,22,0,22,0,22,..,40,6,45,0,45,..,98,10,114,0,114,..,27,0,25,0,25,..,17,0,19,0,18,..,7,14,22,0,23,..,0,0,0,0,0,..,34,22,53,0,53,..,127,20,147,3,151,..,760,123,879,11,890,..,68,8,78,1776,1850,21204,829,131,955,1790,23948,21878,..,..,..,..,21878,..,29,0,34,0,34,..,18,0,18,0,19,..,11,4,15,0,15,..,14,4,18,0,18,..,64,29,89,0,89,..,8,0,8,0,8,..,85,27,111,0,111,..,4,4,5,0,5,..,30,0,30,0,31,..,64,0,64,3,69,..,28,7,36,0,32,..,0,0,0,0,0,..,10,0,6,0,6,..,11,0,11,0,11,..,11,0,9,0,9,..,45,5,43,0,44,..,6,0,6,0,6,..,9,0,9,0,9,..,9,0,9
LGA22170,3,152,0,152,..,52,0,56,0,56,..,151,4,153,0,154,..,41,0,39,0,39,..,391,11,402,9,408,..,260,37,292,3,298,..,158,11,162,0,162,..,89,9,99,0,100,..,83,13,92,0,92,..,104,22,131,0,132,..,1116,181,1296,40,1339,..,6285,841,7124,105,7225,..,264,21,281,3324,3608,57204,6543,861,7404,3427,68038,59216,..,..,..,..,59216,..,134,0,134,0,137,..,233,34,267,0,271,..,9,0,9,0,9,..,192,41,231,3,234,..,529,241,772,5,776,..,24,12,37,0,42,..,741,299,1046,12,1051,..,113,20,133,0,132,..,185,5,194,4,194,..,219,3,226,3,232,..,546,84,626,7,633,..,16,0,17,0,20,..,29,3,30,0,30,..,204,16,214,0,219,..,37,0,41,0,41,..,146,15,165,6,169,..,105,14,122,0,127,..,27,0,28,0,28,..,35,0,41
LGA22250,0,13,0,13,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,16,0,18,0,18,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,18,0,16,..,95,14,106,0,112,..,16,4,15,427,440,4764,108,18,127,427,5314,4812,..,..,..,..,4812,..,5,0,5,0,5,..,6,0,5,0,5,..,0,0,0,0,0,..,0,3,6,0,6,..,4,5,5,0,5,..,0,0,0,0,0,..,7,5,12,0,12,..,3,0,3,0,3,..,4,0,4,0,4,..,5,0,5,0,5,..,6,0,9,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,6,12,0,12,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0
LGA22310,4,120,0,127,..,207,10,215,5,223,..,110,0,111,5,114,..,48,0,44,0,44,..,480,18,500,9,507,..,574,36,610,7,617,..,397,13,409,7,419,..,102,16,116,0,125,..,85,9,89,0,97,..,430,60,492,3,498,..,3385,241,3622,71,3691,..,19241,2333,21575,220,21800,..,299,30,328,2105,2438,47987,19543,2362,21905,2331,72223,49722,..,..,..,..,49722,..,70,0,70,0,70,..,232,18,248,0,252,..,4,0,4,0,4,..,839,172,1007,4,1016,..,3514,1023,4538,37,4571,..,128,37,169,0,174,..,4485,1230,5716,39,5750,..,104,11,115,0,115,..,609,33,639,9,652,..,296,15,303,3,311,..,2350,540,2884,5,2892,..,105,12,116,0,116,..,400,23,428,6,430,..,809,39,846,12,858,..,207,3,209,0,209,..,173,0,174,0,181,..,215,5,217,0,216,..,57,3,62,0,67,..,200,12,206
LGA22410,0,6,0,6,..,0,0,0,0,0,..,12,0,12,0,12,..,4,0,4,0,4,..,25,0,25,0,25,..,12,0,12,0,12,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,5,5,11,0,11,..,50,7,57,5,60,..,241,20,258,3,261,..,30,0,30,690,719,9062,269,19,289,695,10052,9117,..,..,..,..,9117,..,8,0,8,0,8,..,6,0,4,0,8,..,0,0,0,0,0,..,4,0,4,0,4,..,9,0,7,0,7,..,5,0,7,0,7,..,16,0,18,0,18,..,0,0,0,0,0,..,7,0,7,0,7,..,11,0,11,0,11,..,12,0,8,0,8,..,0,0,4,0,4,..,0,0,0,0,0,..,5,0,5,0,5,..,22,0,22,0,22,..,13,0,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
LGA22490,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,16,0,16,..,0,0,0,0,0,..,7,0,6,0,7,..,8,0,8,0,8,..,5,3,11,0,9,..,91,17,109,5,114,..,325,34,358,6,366,..,18,4,20,607,632,11779,345,40,385,612,12776,11269,..,..,..,..,11269,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,5,5,5,0,5,..,13,0,17,0,17,..,0,0,0,0,0,..,23,0,24,0,24,..,14,5,19,0,19,..,12,0,11,0,11,..,22,0,22,0,22,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0
LGA22620,0,86,0,88,..,27,0,29,0,29,..,89,0,92,0,92,..,51,8,61,0,60,..,257,21,274,5,272,..,52,3,51,3,55,..,42,0,44,0,47,..,19,7,27,0,27,..,12,0,17,0,17,..,44,24,68,0,71,..,900,462,1362,28,1393,..,3027,690,3720,57,3779,..,147,24,175,3277,3447,51657,3180,715,3891,3337,58884,55033,..,..,..,..,55033,..,52,3,56,0,56,..,91,3,91,0,100,..,26,0,26,0,26,..,72,11,89,5,86,..,221,89,313,3,316,..,8,0,11,0,11,..,300,103,407,4,413,..,22,5,26,0,26,..,57,0,57,0,62,..,75,6,75,0,75,..,67,8,78,0,80,..,42,4,42,0,42,..,31,0,34,0,34,..,93,7,104,0,107,..,61,3,60,0,60,..,188,17,204,3,208,..,90,3,94,0,94,..,60,0,61,0,61,..,20,0,22
LGA22670,13,424,3,431,..,308,87,398,3,400,..,463,16,479,8,485,..,751,325,1070,13,1088,..,1929,441,2377,29,2402,..,519,114,631,9,645,..,1330,176,1501,20,1521,..,150,76,226,3,230,..,634,137,779,3,780,..,6139,2625,8760,67,8825,..,7560,2147,9704,104,9816,..,39224,11128,50354,444,50798,..,728,286,1007,4182,5191,24302,39954,11409,51364,4631,80293,22064,..,..,..,..,22064,..,40,0,44,0,44,..,1024,222,1243,10,1254,..,4,0,4,0,4,..,1377,893,2265,11,2279,..,2022,1156,3180,29,3208,..,473,297,766,0,770,..,3873,2349,6219,43,6260,..,279,76,357,4,359,..,356,18,380,0,378,..,98,10,106,0,106,..,1413,433,1848,13,1857,..,321,17,335,5,339,..,297,37,329,4,337,..,949,83,1033,13,1040,..,125,11,140,4,140,..,2206,189,2393,23,2412,..,1723,153,1871,11,1884,..,645,84,729,6,742,..,176,6,185
LGA22750,6,257,0,258,..,92,5,94,0,98,..,313,5,317,3,323,..,89,5,93,0,95,..,750,19,766,8,774,..,328,40,366,3,372,..,245,19,266,0,261,..,106,19,125,6,131,..,132,27,161,0,161,..,313,102,415,3,424,..,2662,618,3278,71,3348,..,13599,1863,15469,202,15666,..,366,49,417,7041,7457,108735,13969,1913,15884,7236,131854,116608,..,..,..,..,116608,..,116,0,116,0,116,..,349,72,418,0,419,..,24,0,24,0,24,..,216,39,253,6,257,..,922,227,1144,7,1155,..,40,7,42,0,42,..,1176,267,1447,15,1463,..,858,204,1060,4,1065,..,233,7,240,0,245,..,332,10,343,4,349,..,458,80,538,9,546,..,93,12,104,0,104,..,175,13,183,0,185,..,368,20,387,3,392,..,179,5,187,5,187,..,860,79,938,16,954,..,239,14,252,0,252,..,196,35,227,0,234,..,68,0,67
LGA22830,0,124,0,124,..,23,4,31,5,36,..,116,0,116,0,120,..,102,62,165,4,174,..,364,73,437,14,448,..,30,9,39,0,39,..,66,9,75,0,75,..,31,19,49,0,49,..,184,64,249,0,255,..,38,7,43,0,46,..,991,388,1380,28,1412,..,4778,1139,5917,98,6010,..,133,29,164,2618,2785,25220,4917,1168,6084,2714,34021,25871,..,..,..,..,25871,..,29,0,27,0,27,..,473,205,685,5,686,..,45,0,45,5,51,..,36,16,53,0,53,..,213,148,362,11,375,..,4,4,10,0,10,..,261,165,426,11,439,..,13,0,17,0,19,..,22,0,22,0,22,..,44,3,41,3,48,..,95,16,118,0,118,..,30,0,30,0,30,..,73,15,96,0,94,..,83,13,90,0,90,..,40,15,55,0,55,..,580,119,702,5,703,..,71,4,77,3,76,..,88,9,91,0,91,..,34,0,34
LGA22910,0,6,0,6,..,0,0,0,0,0,..,4,0,9,0,9,..,3,0,3,0,3,..,12,0,11,0,11,..,14,0,22,0,20,..,0,0,0,0,0,..,3,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,76,11,88,0,91,..,337,40,379,3,385,..,19,0,19,607,622,7150,357,40,395,610,8156,7361,..,..,..,..,7361,..,3,0,3,0,3,..,4,0,5,0,5,..,0,0,0,0,0,..,11,0,13,0,13,..,16,3,21,0,21,..,0,0,0,0,0,..,28,0,30,0,30,..,12,0,16,0,16,..,23,0,23,0,23,..,29,0,29,0,29,..,11,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,9,0,12,0,12,..,6,0,6,0,6,..,10,0,10,0,10,..,3,0,3,0,3,..,0,0,0
LGA22980,0,0,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,11,0,11,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,8,0,8,..,83,61,145,0,145,..,135,62,199,0,205,..,5,3,11,191,205,2450,145,70,215,195,2857,2457,..,..,..,..,2457,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0
LGA23110,9,145,0,145,..,165,13,174,0,179,..,176,6,186,0,184,..,55,3,55,0,54,..,533,24,558,6,562,..,337,47,381,0,387,..,93,0,96,0,96,..,57,7,66,3,69,..,61,11,71,3,73,..,636,194,833,11,842,..,1560,281,1845,39,1881,..,9864,1583,11447,134,11587,..,189,42,231,1952,2181,30926,10059,1619,11672,2088,44694,31447,..,..,..,..,31447,..,40,0,40,3,44,..,1200,200,1400,10,1411,..,6,0,6,0,6,..,322,116,444,0,442,..,497,138,638,9,646,..,61,12,73,0,73,..,878,270,1151,8,1162,..,332,63,393,3,394,..,156,9,162,0,162,..,196,3,203,6,202,..,955,247,1200,0,1207,..,56,0,53,3,61,..,58,5,62,0,62,..,342,18,360,0,365,..,113,6,111,0,111,..,294,28,324,3,329,..,45,3,51,0,51,..,101,4,110,0,110,..,56,0,62
LGA23190,0,19,0,19,..,0,0,0,0,0,..,19,0,19,0,19,..,6,0,5,0,5,..,41,0,39,0,39,..,8,0,8,0,8,..,6,0,5,0,12,..,0,0,4,0,4,..,11,0,11,0,11,..,8,0,8,0,8,..,76,29,107,4,115,..,386,51,438,3,445,..,12,3,20,545,561,9000,402,54,456,549,10010,9368,..,..,..,..,9368,..,12,0,12,0,12,..,5,0,3,0,3,..,0,0,0,0,0,..,7,5,14,0,10,..,25,5,28,0,33,..,0,0,0,0,0,..,35,6,38,3,43,..,0,0,0,0,0,..,13,0,13,0,13,..,3,0,3,0,3,..,7,0,10,0,10,..,4,0,4,0,3,..,12,0,15,0,14,..,14,4,15,0,15,..,18,4,25,0,26,..,19,4,26,0,26,..,8,0,8,0,8,..,5,0,5,0,5,..,3,0,3
LGA23270,18,522,3,531,..,120,11,134,4,136,..,639,8,653,10,658,..,249,17,266,4,262,..,1518,60,1573,18,1592,..,509,74,583,4,586,..,460,23,484,10,495,..,130,42,172,0,173,..,5856,1339,7192,60,7247,..,728,234,954,0,964,..,9131,2681,11805,159,11964,..,50009,8715,58722,627,59350,..,969,255,1223,6247,7475,55187,50975,8972,59947,6870,122013,54997,..,..,..,..,54997,..,48,0,48,0,48,..,8865,2403,11264,80,11347,..,12,0,16,0,16,..,240,84,329,0,329,..,536,172,704,12,715,..,55,24,83,0,83,..,838,280,1115,12,1126,..,357,51,409,0,415,..,116,9,127,0,122,..,116,3,117,5,118,..,1224,215,1435,13,1451,..,310,30,340,5,342,..,307,25,335,3,340,..,1854,125,1976,18,1999,..,1222,233,1458,15,1470,..,5082,663,5749,87,5833,..,1756,164,1918,14,1932,..,2130,226,2355,48,2399,..,222,5,236
LGA23350,0,0,0,0,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,13,0,8,..,11,0,11,0,9,..,0,0,0,0,0,..,0,3,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,43,7,47,0,50,..,149,19,170,9,175,..,7,3,9,598,602,7803,160,19,177,599,8586,8099,..,..,..,..,8099,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,4,0,4,..,8,0,11,0,11,..,0,0,0,0,0,..,10,0,12,0,12,..,8,0,8,0,8,..,16,0,16,0,16,..,22,0,26,0,26,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
