LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA21750,240,220,457,487,465,955,363,325,689,11,4,11,859,792,1648,298,292,592,374,331,705,26,12,40,695,641,1331,23,22,42,28,34,56,83,48,133,58,106,168,3,4,3,191,211,403,40,87,126,23,61,86,8,26,31,34,100,137,0,0,0,101,274,374,293,485,783,28,27,49,33,49,80,0,4,4,66,77,135,789,745,1532,2937,2955,5894
LGA21830,145,142,283,419,401,816,182,186,372,0,11,18,607,600,1203,360,286,644,164,202,367,15,10,26,538,496,1034,15,23,40,9,29,32,79,34,116,36,59,99,7,4,5,142,150,295,23,55,79,9,33,48,7,10,20,29,54,83,0,3,4,72,159,228,212,314,525,10,16,19,6,27,35,0,0,0,19,38,60,624,561,1188,2145,2146,4292
LGA21890,1535,1429,2967,3551,3436,6988,999,964,1959,320,339,653,4884,4740,9623,2493,2203,4692,969,1051,2019,531,534,1067,3998,3800,7792,373,300,674,507,552,1060,354,179,537,651,832,1486,6,5,9,1890,1872,3766,1986,2493,4480,1316,1566,2879,240,321,562,967,1807,2775,11,13,25,4521,6202,10719,6419,8083,14497,290,283,573,398,540,939,6,5,8,696,824,1522,3286,3263,6549,20815,22135,42952
LGA22110,434,393,828,1160,1136,2292,333,344,675,114,124,238,1601,1603,3204,730,745,1476,368,361,724,111,112,223,1207,1218,2423,50,63,115,22,72,92,141,114,251,128,301,423,5,0,8,345,548,894,39,91,129,39,96,141,4,43,52,73,256,318,0,0,7,155,496,645,502,1042,1541,51,39,88,57,122,185,6,7,16,122,172,294,1935,1933,3873,5800,6356,12156
LGA22170,1764,1611,3373,4662,4437,9100,744,700,1448,373,343,711,5786,5481,11269,3394,3131,6531,554,528,1086,525,555,1084,4480,4227,8705,224,348,579,199,412,611,625,274,901,601,848,1449,7,0,14,1656,1886,3542,817,1278,2090,242,518,759,105,214,327,431,930,1362,6,12,19,1607,2952,4557,3268,4844,8110,191,201,395,292,501,787,0,7,7,484,715,1196,3681,3640,7318,19460,20521,39979
LGA22250,81,75,158,234,227,465,105,117,221,33,30,60,371,373,741,210,225,429,21,35,53,40,36,69,266,292,556,12,13,23,4,11,18,25,15,38,19,42,64,0,0,0,64,78,146,17,24,39,9,8,16,6,3,9,9,31,43,0,0,0,40,73,109,97,148,248,5,6,9,10,20,35,0,0,0,18,25,45,451,437,887,1282,1351,2637
LGA22310,1812,1642,3449,3834,3527,7360,895,937,1831,1417,1431,2853,6165,5905,12072,2420,2041,4463,916,1040,1950,2049,1986,4039,5393,5077,10467,296,205,500,274,385,662,278,135,415,523,729,1246,5,3,8,1370,1459,2828,2668,3020,5690,958,1056,2017,325,348,670,782,1215,1996,5,9,12,4745,5640,10387,6125,7104,13227,263,214,479,410,574,988,9,10,18,680,799,1478,2413,2722,5142,22587,23245,45832
LGA22410,160,161,320,497,463,960,134,162,293,42,50,95,681,673,1352,391,361,754,103,105,210,95,97,195,596,566,1162,35,27,59,8,35,47,84,48,129,49,119,168,0,0,0,171,227,404,19,39,67,14,34,45,3,14,17,36,105,137,0,0,0,77,194,275,254,422,674,19,16,38,26,55,71,0,3,6,42,75,114,751,698,1445,2478,2585,5066
LGA22490,326,316,648,945,820,1767,257,259,515,142,124,268,1347,1209,2556,533,484,1016,265,299,563,213,191,401,1012,973,1986,35,32,70,14,19,36,108,61,170,83,147,224,0,0,0,242,256,498,91,163,255,17,51,69,29,29,63,42,158,200,0,0,0,182,401,590,422,663,1092,27,22,49,49,67,116,0,0,4,77,92,169,659,600,1260,3850,3852,7703
LGA22620,1322,1255,2576,3338,3039,6376,1494,1417,2910,407,401,812,5244,4861,10102,2374,2287,4666,1004,1019,2023,503,553,1055,3889,3863,7751,228,304,532,190,341,533,448,273,720,446,645,1092,11,9,18,1320,1571,2890,629,1126,1760,234,432,668,97,147,238,326,806,1133,9,3,9,1292,2520,3808,2619,4096,6715,173,166,338,221,354,570,3,4,11,403,517,922,3528,3589,7115,16994,18190,35180
