LGA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
LGA21270,0,0,0,0,194,194,3,0,0,0,135,143,65,0,3,0,196,272,132,12,3,3,96,253,211,32,40,0,129,408,319,24,77,11,104,533,305,27,99,27,67,531,169,7,29,43,20,267,51,0,5,42,8,106,1265,106,262,113,952,2699,0,0,0,0,127,133,4,0,0,0,95,103,113,6,0,6,158,276,140,11,14,0,75,237,245,19,53,3,82,397,349,19,83,17,47,516,247,9,65,69,22,416,143,3,16,116,10,285,33,4,8,135,3,182,1263,73,238,341,626,2543,0,0,0,0,321,328,8,5,0,0,231,246,177,9,6,6,356,550,273,22,21,3,169,490,455,43,94,3,206,805,666,40,161,27,151,1051,557,40,163,94,96,945,307,11,40,155,32,547,84,9,9,170,11,286,2528,182,498,458,1579,5241
LGA21370,0,0,0,0,1183,1187,17,0,0,0,922,947,483,30,17,0,1354,1894,1001,98,115,0,625,1834,1345,149,279,14,598,2384,1756,146,448,40,430,2822,1681,128,420,139,221,2585,1052,59,164,216,91,1573,263,6,43,190,18,507,7588,613,1485,609,5438,15740,0,0,0,0,1029,1033,30,4,0,0,892,927,638,63,35,4,1269,2005,1162,139,154,15,577,2050,1463,188,391,34,457,2532,1796,150,505,165,273,2891,1543,107,429,368,107,2552,842,29,170,549,45,1629,146,8,34,567,14,766,7612,691,1722,1702,4659,16383,4,0,0,0,2213,2215,46,6,0,0,1817,1876,1122,92,56,4,2625,3902,2157,237,265,15,1207,3885,2804,339,676,52,1052,4918,3549,295,957,212,706,5716,3219,234,852,509,323,5143,1888,85,327,766,135,3201,410,10,72,753,29,1273,15201,1302,3207,2306,10100,32122
LGA21450,0,0,0,0,3790,3797,71,3,0,4,3503,3577,3250,99,111,10,5440,8915,5944,299,440,17,1978,8672,4577,359,830,41,1253,7063,3715,305,847,106,653,5618,2939,185,583,166,234,4103,1599,79,204,248,83,2210,338,10,30,205,14,591,22433,1336,3048,800,16936,44553,8,0,0,0,3488,3493,168,14,6,0,3302,3482,4377,213,217,9,4871,9685,5858,440,634,52,1862,8841,4487,459,1205,101,1132,7396,3616,358,1259,329,478,6045,2727,175,886,655,160,4599,1146,45,286,892,67,2430,166,0,61,663,9,902,22541,1708,4545,2707,15365,46867,8,0,0,0,7274,7280,229,14,8,8,6806,7063,7624,320,328,29,10311,18597,11801,735,1077,67,3842,17514,9068,821,2039,149,2382,14459,7332,662,2104,436,1130,11663,5662,360,1468,819,395,8701,2749,122,488,1138,147,4640,507,10,89,866,26,1494,44978,3043,7598,3502,32302,91426
LGA21610,7,0,7,6,11858,11878,326,15,10,10,12213,12563,10526,394,435,26,15759,27135,21444,791,1297,55,5509,29092,16230,943,1946,130,3132,22386,12928,814,2258,317,1609,17923,8560,473,1304,505,504,11340,3968,154,529,675,146,5468,964,27,70,477,32,1567,74945,3620,7836,2198,50761,139362,13,4,0,5,11251,11278,871,44,19,8,10798,11746,14679,642,626,49,12553,28552,21102,1185,1867,187,4557,28909,15352,1289,3064,491,2676,22866,11780,961,3126,1175,1240,18281,7217,489,2072,2124,418,12320,2756,130,735,2515,109,6242,509,21,134,1931,53,2646,74271,4769,11649,8478,43664,142834,27,8,6,9,23118,23162,1196,63,27,16,23008,24309,25202,1037,1059,72,28314,55683,42542,1982,3164,244,10064,58004,31583,2233,5008,622,5811,45253,24703,1777,5381,1490,2852,36204,15775,967,3373,2635,918,23658,6718,283,1263,3187,259,11711,1469,48,200,2405,84,4207,149217,8383,19487,10686,94427,282197
LGA21670,0,0,0,0,356,356,6,0,0,0,285,293,127,11,6,0,430,574,208,23,30,0,260,526,362,48,118,9,297,843,496,56,185,21,250,1006,649,77,215,52,130,1115,428,27,85,115,60,714,99,4,10,84,10,210,2379,248,655,283,2084,5645,0,0,0,0,327,327,7,0,0,0,254,258,158,22,18,0,406,608,258,46,45,5,237,590,381,60,161,18,214,836,551,71,253,75,150,1098,604,55,219,192,62,1138,336,17,77,251,26,716,48,0,22,213,12,294,2340,271,798,762,1700,5867,0,0,0,0,686,686,14,3,0,0,542,553,286,32,25,0,834,1185,462,69,74,4,492,1108,749,109,276,29,512,1678,1046,130,441,99,398,2111,1250,131,435,245,196,2260,760,46,165,374,86,1433,144,4,35,298,19,501,4720,513,1451,1044,3783,11511
LGA21750,0,0,0,0,649,653,9,0,0,0,544,548,314,16,13,3,961,1305,649,41,71,3,464,1230,723,61,179,7,416,1380,895,88,266,33,325,1612,959,76,224,59,174,1497,542,16,90,99,55,806,144,3,6,71,14,240,4241,307,838,280,3609,9276,0,0,0,0,565,564,5,0,0,0,470,477,392,29,21,0,827,1271,717,63,84,5,372,1238,744,84,238,20,348,1435,894,87,337,82,211,1613,954,62,244,207,114,1573,393,13,95,297,43,842,75,7,21,303,10,415,4169,334,1033,923,2954,9412,3,0,0,0,1207,1214,15,0,0,0,1006,1025,702,43,36,7,1786,2573,1366,102,148,9,837,2463,1464,140,416,26,763,2814,1793,175,595,117,540,3223,1910,133,466,267,292,3071,935,34,185,400,100,1651,221,8,24,373,26,651,8408,639,1873,1203,6564,18690
LGA21830,0,0,0,0,496,495,6,0,0,0,409,408,193,7,4,0,603,818,419,39,48,0,270,774,596,49,109,17,250,1024,761,66,178,24,230,1257,760,37,179,48,109,1130,407,12,71,81,44,610,109,0,15,76,13,214,3254,217,598,245,2416,6731,0,0,0,0,437,438,14,3,0,0,317,333,253,20,11,0,474,757,477,40,54,5,246,815,638,68,139,14,179,1041,802,70,205,63,134,1275,663,28,133,138,53,1023,347,13,48,274,26,709,42,6,11,241,6,307,3240,248,600,737,1880,6705,0,0,0,0,931,935,18,3,0,0,722,743,448,32,12,0,1077,1571,891,82,102,4,514,1591,1238,118,248,27,429,2065,1564,135,381,83,364,2536,1425,65,311,186,160,2154,757,23,117,350,74,1322,154,6,28,317,23,517,6490,460,1204,982,4295,13433
LGA21890,0,0,0,0,3369,3376,56,8,0,0,4701,4769,2731,120,123,12,10921,13897,5659,297,593,16,5110,11681,5419,443,907,55,3132,9948,3953,372,1037,108,1892,7361,2843,258,739,229,841,4900,2129,108,317,422,242,3216,888,29,63,485,74,1543,23680,1626,3787,1320,30277,60688,14,0,0,0,3339,3353,180,12,7,0,4459,4657,3585,162,248,9,10685,14685,5810,410,761,47,5172,12205,5388,485,1244,122,3201,10441,3878,422,1432,328,1898,7959,2769,219,1031,924,720,5666,1650,78,438,1767,208,4143,390,15,108,1832,67,2406,23666,1818,5274,5032,29745,65528,13,0,0,0,6713,6729,238,18,12,0,9159,9424,6318,279,373,15,21601,28587,11468,714,1353,67,10281,23888,10806,929,2154,177,6329,20391,7832,792,2468,435,3795,15323,5611,469,1772,1149,1565,10566,3780,188,755,2188,453,7356,1273,46,178,2316,138,3949,47348,3439,9056,6348,60020,126214
LGA22110,0,0,0,0,1209,1209,10,0,0,0,931,937,568,40,36,0,1461,2099,1054,98,127,0,838,2122,1392,161,293,13,769,2620,2136,208,660,78,652,3725,2801,228,783,225,377,4408,1715,64,303,271,111,2464,353,19,47,211,20,640,10032,820,2242,798,6353,20241,0,0,0,0,1098,1099,28,9,0,0,840,874,723,69,54,3,1443,2284,1217,152,175,20,807,2372,1554,192,489,57,710,2992,2378,216,710,221,498,4027,2647,146,716,552,197,4258,1266,30,271,790,52,2408,182,4,40,635,13,877,9993,824,2450,2270,5648,21189,0,0,0,0,2306,2307,38,9,0,0,1766,1816,1290,106,84,6,2901,4378,2271,253,302,23,1643,4496,2945,351,779,70,1473,5618,4518,420,1369,296,1149,7752,5446,382,1497,769,569,8664,2984,99,568,1057,158,4873,537,20,87,838,31,1516,20025,1640,4689,3069,12000,41422
LGA22170,0,0,0,0,4127,4132,37,3,3,0,3851,3893,2204,119,94,4,6883,9306,5016,360,545,18,3617,9551,4958,582,1193,58,2529,9322,4570,505,1553,144,1410,8179,3821,299,1105,294,537,6062,2142,124,431,405,164,3272,552,19,86,413,33,1106,23309,2011,5009,1337,23153,54823,3,0,4,0,3686,3696,90,6,0,0,3763,3863,3042,185,181,16,6348,9767,5459,529,823,66,3271,10147,4912,707,1731,158,2155,9666,4498,567,2166,436,1087,8752,3452,300,1754,935,415,6858,1642,109,722,1378,113,3965,331,12,171,1333,56,1913,23424,2428,7551,4323,20885,58620,4,0,0,0,7818,7827,121,12,4,4,7613,7760,5246,307,278,21,13232,19076,10475,890,1367,85,6881,19695,9874,1291,2923,219,4683,18983,9076,1070,3715,584,2491,16928,7272,602,2860,1229,956,12919,3789,238,1154,1781,277,7236,886,36,258,1744,94,3017,46736,4438,12558,5663,44048,113444
LGA22250,0,0,0,0,242,242,6,0,0,0,237,242,112,10,0,0,325,440,268,26,28,0,187,495,324,44,86,4,175,633,482,48,132,16,146,826,581,41,143,39,94,898,364,15,56,72,18,524,93,3,4,67,8,179,2225,181,448,196,1431,4484,0,0,0,0,243,243,9,0,0,0,191,198,152,9,6,0,275,440,290,33,35,0,159,512,384,36,78,14,148,662,513,38,141,49,100,846,540,27,113,125,35,848,277,9,38,207,8,543,45,0,4,179,4,234,2204,162,417,569,1173,4526,0,0,0,0,494,494,12,0,0,0,434,438,260,20,7,0,596,884,552,57,56,0,344,1013,705,78,166,23,323,1293,996,89,275,65,246,1670,1124,74,255,168,129,1744,639,28,92,283,27,1068,138,3,12,237,16,409,4429,345,865,770,2608,9007
