LGA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA21270,3186,2991,6178,154,140,289,334,310,643,194,133,328,143,103,246,272,276,550,253,237,490,408,397,805,533,516,1051,531,416,945,267,285,547,106,182,286,3073,2901,5968,114,93,207,43,42,84,3,3,12,0,0,0,45,47,92,2670,2505,5172,190,217,401,2795,2647,5444,102,105,206,2811,2660,5470,38,39,70,299,290,590,147,102,250,19,33,51,26,83,110,797,1049,1850,507,446,947,558,431,986,286,186,470,231,161,388,3,8,10,2849,2700,5543,373,322,693
LGA21370,19105,19627,38735,981,959,1939,2387,2292,4674,1187,1033,2215,947,927,1876,1894,2005,3902,1834,2050,3885,2384,2532,4918,2822,2891,5716,2585,2552,5143,1573,1629,3201,507,766,1273,18190,18827,37015,915,806,1716,546,572,1117,13,15,30,12,9,22,574,590,1169,16249,16609,32855,1360,1577,2937,17022,17528,34548,717,799,1521,17188,17676,34865,270,248,518,2180,2133,4309,822,787,1603,175,250,426,239,658,896,4681,6530,11208,2790,2824,5615,3791,3085,6874,1841,1462,3301,1150,1024,2179,70,56,124,17441,17972,35408,1541,1542,3081
LGA21450,58269,59925,118194,4647,4453,9096,9070,8607,17675,3797,3493,7280,3577,3482,7063,8915,9685,18597,8672,8841,17514,7063,7396,14459,5618,6045,11663,4103,4599,8701,2210,2430,4640,591,902,1494,56755,58445,115199,1519,1482,3001,510,566,1077,30,20,45,16,13,23,556,597,1145,41639,42917,84558,13720,14057,27773,44901,46211,91108,10410,10661,21073,49833,51144,100982,1365,1301,2665,8461,8024,16491,2888,2803,5694,1119,1332,2446,1531,2961,4493,21489,26377,47863,6520,5961,12477,8462,6933,15394,3442,2799,6243,1749,1774,3524,279,317,596,55167,56732,111905,2573,2749,5327
LGA21610,182041,183195,365239,14306,13534,27841,28376,26832,55208,11878,11278,23162,12563,11746,24309,27135,28552,55683,29092,28909,58004,22386,22866,45253,17923,18281,36204,11340,12320,23658,5468,6242,11711,1567,2646,4207,178560,179985,358543,3480,3218,6696,1092,1162,2252,46,40,86,37,26,62,1176,1222,2395,97744,97706,195450,76140,77653,153792,96918,96884,193800,75708,76820,152525,146165,146494,292657,3888,3468,7353,26450,25041,51484,9451,9470,18922,4781,5192,9979,5886,9436,15322,78973,85881,164856,15607,14322,29929,20192,17397,37589,8150,7426,15585,5975,6753,12728,3008,3614,6627,173438,174524,347960,7670,8110,15782
LGA21670,6650,6836,13483,270,259,521,737,700,1440,356,327,686,293,258,553,574,608,1185,526,590,1108,843,836,1678,1006,1098,2111,1115,1138,2260,714,716,1433,210,294,501,6347,6614,12962,297,216,513,150,145,291,4,3,9,0,0,3,153,154,304,5477,5625,11100,583,658,1241,5945,6155,12098,186,220,403,5991,6165,12154,74,72,143,676,622,1298,226,214,447,41,60,105,71,174,247,1614,2108,3714,890,926,1818,1323,1243,2565,679,612,1289,544,438,981,32,22,52,6037,6238,12275,538,563,1098
LGA21750,11224,11200,22423,579,542,1123,1361,1247,2611,653,564,1214,548,477,1025,1305,1271,2573,1230,1238,2463,1380,1435,2814,1612,1613,3223,1497,1573,3071,806,842,1651,240,415,651,10622,10650,21271,604,549,1150,150,150,304,3,8,8,0,0,3,157,154,309,9224,9307,18536,1188,1117,2309,9795,9872,19672,686,620,1310,9848,9928,19772,171,172,348,1251,1129,2384,458,433,890,86,120,214,175,344,526,3388,4414,7802,1626,1461,3090,1940,1511,3453,897,706,1608,611,549,1162,76,63,136,10166,10185,20355,1025,1023,2046
LGA21830,8112,8003,16115,395,359,748,992,943,1929,495,438,935,408,333,743,818,757,1571,774,815,1591,1024,1041,2065,1257,1275,2536,1130,1023,2154,610,709,1322,214,307,517,7730,7662,15395,380,341,717,96,97,188,5,6,12,0,4,4,102,104,200,6863,6794,13656,577,615,1191,7310,7239,14555,200,216,410,7296,7228,14525,114,108,219,904,860,1769,330,328,659,67,86,152,98,209,307,2130,2922,5049,1290,1188,2479,1436,1075,2514,724,528,1246,503,418,923,26,25,46,7339,7303,14642,647,611,1261
LGA21890,72162,76410,148570,4062,3835,7896,7418,7047,14465,3376,3353,6729,4769,4657,9424,13897,14685,28587,11681,12205,23888,9948,10441,20391,7361,7959,15323,4900,5666,10566,3216,4143,7356,1543,2406,3949,70043,73983,144029,2119,2428,4546,648,704,1348,30,18,47,21,29,46,698,746,1441,46556,49086,95646,22452,24225,46684,45958,48163,94119,22950,25053,48003,60031,64361,124398,1240,1191,2433,7030,6720,13753,2878,2932,5812,2388,2554,4943,3963,5455,9417,41081,45239,86323,4794,4234,9027,4909,4299,9209,2234,2258,4497,3391,4670,8061,942,1403,2350,68001,71914,139916,3582,3667,7252
LGA22110,23948,24769,48715,1127,1043,2173,2581,2541,5126,1209,1099,2307,937,874,1816,2099,2284,4378,2122,2372,4496,2620,2992,5618,3725,4027,7752,4408,4258,8664,2464,2408,4873,640,877,1516,22476,23479,45955,1475,1287,2760,833,815,1648,11,13,22,7,6,14,849,836,1683,19119,19660,38772,2739,3045,5784,21204,21878,43084,890,1074,1968,21292,21969,43262,319,297,617,2315,2289,4606,777,757,1533,128,223,351,324,855,1180,6870,8958,15833,3310,3257,6567,4804,4129,8935,2058,1731,3793,1178,1109,2291,70,57,127,21383,22344,43728,2373,2271,4646
LGA22170,68038,71240,139281,4342,4259,8599,8875,8363,17235,4132,3696,7827,3893,3863,7760,9306,9767,19076,9551,10147,19695,9322,9666,18983,8179,8752,16928,6062,6858,12919,3272,3965,7236,1106,1913,3017,66012,69285,135298,2029,1954,3977,825,848,1679,32,37,76,24,25,48,886,908,1800,50489,52139,102622,14066,15736,29803,57204,59216,116411,7225,8505,15734,59554,62230,121787,1353,1315,2669,8322,7849,16176,3142,2946,6096,1226,1543,2774,1716,3197,4914,26631,32297,58930,8380,7567,15950,10002,8864,18867,4021,3551,7577,2095,2400,4490,252,278,537,63732,66780,130515,3888,4112,7998
LGA22250,5314,5368,10683,231,257,486,602,580,1187,242,243,494,242,198,438,440,440,884,495,512,1013,633,662,1293,826,846,1670,898,848,1744,524,543,1068,179,234,409,5025,5147,10173,288,216,508,133,124,253,0,3,3,5,3,8,141,134,268,4562,4596,9157,268,322,593,4764,4812,9574,112,144,256,4800,4836,9627,57,65,119,531,523,1053,164,171,339,35,40,74,48,111,167,1076,1551,2628,780,837,1615,1141,934,2073,604,444,1046,410,309,723,15,15,32,4774,4856,9631,468,467,931
LGA22310,72223,76690,148908,3984,3787,7772,9406,8900,18302,4276,4062,8338,4766,4695,9462,11037,11399,22436,10579,11322,21899,9747,10630,20378,7756,8338,16099,6133,6896,13025,3136,4084,7220,1396,2577,3979,70400,74630,145031,1823,2057,3880,209,174,381,16,4,19,8,6,13,227,185,411,43958,45248,89214,26060,28980,55039,47987,49722,97714,21800,24261,46060,59693,62975,122668,1452,1356,2806,9011,8537,17553,3903,3725,7626,2753,2864,5618,3023,4003,7025,44186,48457,92647,4407,4450,8855,4130,4018,8151,1846,1752,3603,1529,2054,3577,333,429,763,68932,72627,141556,2576,3265,5841
LGA22410,10052,10104,20152,463,443,904,1112,1071,2181,578,519,1091,471,386,852,910,959,1865,990,1066,2050,1288,1377,2667,1668,1659,3330,1587,1480,3059,762,781,1545,222,375,594,9504,9599,19103,545,499,1048,278,275,554,6,8,8,11,8,13,294,293,588,8415,8471,16881,846,917,1762,9062,9117,18185,261,325,582,9044,9110,18161,121,121,243,1010,969,1980,382,372,750,85,84,167,136,343,482,2530,3392,5923,1631,1612,3244,1974,1673,3646,972,674,1643,603,509,1112,29,31,61,9079,9140,18215,889,816,1701
LGA22490,12776,12210,24985,803,741,1541,2083,1883,3967,875,802,1681,614,516,1129,1290,1258,2547,1603,1750,3348,1875,1818,3693,1617,1626,3234,1379,1197,2568,545,462,1007,96,161,258,12335,11865,24195,445,337,787,169,177,344,6,9,14,11,8,19,182,192,376,10945,10451,21396,1155,1154,2308,11779,11269,23053,366,381,752,11798,11287,23080,222,241,465,1957,1752,3708,648,632,1282,175,193,364,178,432,618,3819,4923,8744,1828,1598,3424,2254,1519,3776,900,632,1537,418,326,742,26,23,51,11999,11563,23559,553,547,1098
LGA22620,58884,62586,121470,3620,3519,7147,8089,7502,15590,3525,3492,7017,3601,3650,7245,7547,8147,15687,6981,7693,14674,7072,7605,14673,7199,8098,15299,6518,7032,13545,3527,3970,7499,1212,1886,3097,56548,60410,116953,2337,2176,4514,1267,1330,2594,42,43,88,30,25,56,1346,1397,2743,49778,53031,102810,5628,6110,11737,51657,55033,106692,3779,4093,7869,52993,56481,109478,1004,978,1979,7499,7005,14504,2549,2645,5188,1030,1390,2423,1375,2563,3937,20213,25346,45557,7138,7279,14419,9432,8660,18091,4069,3689,7763,2617,2671,5295,356,343,697,54436,57939,112371,4082,4328,8409
LGA22670,80293,77912,158208,4951,4671,9620,9099,8683,17788,4412,4188,8601,6008,5378,11392,14783,12996,27782,11844,11202,23041,9338,9133,18472,8340,8304,16646,6356,7013,13369,3811,4288,8102,1346,2061,3400,78621,76382,155005,1672,1533,3206,276,292,563,16,17,37,3,9,14,295,321,615,30121,27832,57952,45736,46272,92008,24302,22064,46362,50798,51049,101849,57006,56518,113524,1165,1122,2290,8340,7986,16323,3624,3575,7200,2831,2791,5626,3486,4455,7940,38381,36860,75240,5101,4287,9386,7027,6300,13329,3220,3310,6526,4558,5798,10353,3327,3841,7162,75043,73384,148426,5273,4539,9812
LGA22750,131854,139203,271057,7975,7500,15470,16540,15764,32304,7711,7379,15088,8754,8452,17203,19168,19032,38200,16663,17750,34409,15855,17127,32985,15080,17086,32161,13910,15775,29684,7589,9113,16706,2619,4228,6844,126629,134236,260864,5230,4962,10195,1684,1694,3381,50,42,89,45,48,92,1779,1782,3562,101940,108522,210464,23549,24294,47844,108735,116608,225345,15666,16132,31800,114665,123611,238279,2439,2242,4687,15576,14834,30408,5933,5995,11930,3294,3836,7127,4210,6462,10676,54514,64308,118824,16158,15463,31617,17574,16018,33591,7096,7203,14297,4805,5476,10283,775,820,1593,121399,129198,250595,9061,8817,17880
LGA22830,34021,34388,68409,2158,1927,4084,4743,4400,9136,2187,1933,4124,1961,1881,3838,4353,4540,8899,3967,4207,8176,4288,4245,8527,4157,4344,8503,3524,3694,7214,2044,2217,4255,645,1004,1649,32671,33181,65847,1354,1207,2555,1239,1309,2547,32,28,64,41,37,76,1311,1381,2686,25416,25866,51278,5910,5984,11896,25220,25871,51093,6010,6048,12066,28190,28862,57053,575,506,1081,4296,3983,8278,1550,1456,3003,433,608,1042,717,1382,2098,10193,12686,22881,4259,3974,8236,5268,4579,9847,2484,2092,4576,1897,1740,3639,463,451,916,30808,31405,62219,3007,2758,5766
LGA22910,8156,8453,16604,337,337,677,867,809,1677,379,353,724,244,219,462,635,661,1297,844,901,1748,1188,1242,2432,1397,1529,2927,1426,1451,2881,651,656,1311,183,284,467,7720,8041,15755,434,411,845,90,86,177,4,0,4,0,0,0,90,85,180,6333,6563,12896,1151,1181,2331,7150,7361,14514,385,415,798,7190,7445,14636,106,87,187,788,724,1513,264,269,532,41,74,111,184,365,550,3243,3875,7118,998,974,1978,1199,1052,2253,538,429,968,326,284,615,19,17,31,7321,7544,14864,749,857,1609
LGA22980,2857,2844,5698,137,147,285,285,282,560,178,131,303,119,101,214,298,309,610,270,259,533,303,355,664,474,438,918,418,360,784,248,290,537,115,165,282,2714,2729,5440,142,116,255,41,46,88,0,0,0,0,0,0,41,47,91,2375,2323,4704,277,318,597,2450,2457,4903,205,200,402,2551,2524,5082,35,44,80,255,260,511,116,98,219,13,30,37,41,85,127,702,925,1626,437,432,872,532,413,943,279,183,465,229,203,433,46,33,75,2632,2573,5203,212,228,435
LGA23110,44694,46629,91322,3035,2739,5775,5624,5534,11159,2278,2202,4474,2378,2180,4555,6136,6293,12426,6963,7283,14248,6215,6685,12897,5420,5651,11063,3815,4241,8051,2040,2515,4548,790,1322,2115,43495,45444,88944,1199,1184,2377,309,273,582,13,15,30,9,3,16,336,293,629,29514,30240,59758,13103,14423,27530,30926,31447,62380,11587,13151,24734,37762,39632,77396,949,839,1788,5305,5225,10527,1872,1876,3747,1061,1063,2120,1467,2320,3788,21619,24261,45885,3956,3520,7479,4361,3687,8048,1775,1793,3573,1758,2337,4092,503,691,1188,42125,44046,86171,2184,2178,4356
LGA23190,10010,10419,20429,560,606,1166,1366,1209,2572,644,549,1196,571,575,1149,1265,1287,2557,1098,1171,2267,1150,1266,2421,1360,1395,2759,1101,1166,2266,641,782,1425,251,401,656,9550,10041,19595,461,371,834,169,172,336,11,6,15,0,5,8,178,186,361,8712,9061,17772,672,785,1457,9000,9368,18370,445,513,958,9152,9553,18701,141,183,322,1266,1141,2407,445,407,852,106,140,247,177,390,567,3068,3775,6841,1663,1613,3274,1549,1455,3000,684,643,1325,514,496,1015,27,33,60,9216,9693,18910,752,693,1448
LGA23270,122013,121890,243901,9764,9088,18851,18500,17399,35900,7839,7385,15225,8621,7961,16584,19882,20214,40097,18708,18474,37187,14034,14686,28715,12222,12498,24719,7727,8531,16262,3715,4173,7891,989,1481,2473,119876,119877,239752,2131,2014,4148,894,842,1735,38,41,84,24,26,45,957,913,1870,66983,67346,134334,48677,48541,97221,55187,54997,110184,59350,59664,119012,96772,97743,194517,2487,2336,4821,17021,15998,33022,5999,6190,12182,3385,3588,6975,4323,6613,10939,51243,54892,106130,9844,9221,19067,12652,10462,23113,5910,5217,11133,5876,6791,12661,2264,3267,5524,115639,116020,231661,6219,5652,11870
LGA23350,8586,8782,17368,450,400,849,1109,1081,2192,492,493,985,293,294,592,733,730,1463,918,1025,1945,1180,1276,2453,1366,1430,2796,1239,1227,2468,660,574,1232,146,251,394,8115,8409,16522,468,374,840,120,131,250,8,6,14,9,7,13,131,146,278,7329,7460,14792,693,795,1489,7803,8099,15902,175,229,404,7785,8089,15875,133,123,259,1024,1007,2031,363,382,747,67,107,182,161,359,520,2788,3777,6567,1154,1045,2201,1674,1274,2950,546,432,981,310,282,592,20,14,35,7673,8094,15771,683,571,1252
LGA23430,76656,81476,158129,4389,4222,8611,9551,9047,18597,4365,4234,8594,4345,3998,8339,9933,9916,19848,10934,11819,22756,10981,11867,22848,9188,10018,19205,7082,8305,15387,4253,5287,9541,1629,2773,4401,74681,79420,154099,1971,2056,4029,334,328,663,20,20,41,5,8,19,366,354,722,50295,52287,102579,23866,26632,50498,54487,57053,111535,19449,21678,41125,66051,70324,136380,1432,1455,2884,9184,8720,17899,3756,3755,7506,2125,2094,4214,2434,3611,6042,39364,44235,83604,7188,6861,14051,7372,6972,14345,2906,2927,5833,2445,3315,5765,655,837,1489,73178,77599,150777,2856,3232,6084
