LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA21270,2699,2543,5241,1102,456,1553,277,651,929,80,83,167,56,34,96,1516,1227,2748,920,1085,2003,3.6,3,3.4,56.2,48.3,52.4,54.1,46.9,50.6,25,47,66,16,61,76,148,304,448,123,245,367,685,314,996,16,38,51,30,28,61,734,381,1110,2573,2435,5003,264,258,518,1948,1811,3754,781,770,1552
LGA21370,15740,16383,32122,6494,3348,9840,1752,4331,6083,652,796,1446,353,286,639,9251,8754,18010,5307,6465,11774,3.8,3.2,3.5,58.8,53.4,56.1,56.5,51.7,54.1,177,306,483,152,373,533,924,1859,2777,891,1641,2540,4490,2307,6801,130,246,377,167,270,436,4790,2823,7611,15323,15759,31077,2153,2257,4418,10879,10997,21877,5739,6211,11948
LGA21450,44553,46867,91426,23450,12249,35700,5722,13215,18938,1660,2412,4068,1265,1363,2628,32102,29238,61340,10085,15168,25256,3.9,4.7,4.3,72.1,62.4,67.1,69.2,59.5,64.2,1762,2094,3856,517,1441,1958,4573,7101,11678,4095,6008,10105,12531,6793,19329,369,707,1079,565,931,1492,13467,8424,21897,46538,47883,94421,7908,8241,16151,26428,26996,53421,24240,25458,49700
LGA21610,139362,142834,282197,68960,37236,106191,19920,36402,56320,4994,6054,11045,5383,5042,10427,99250,84737,183983,33187,51283,84469,5.4,6,5.7,71.2,59.3,65.2,67.4,55.8,61.5,7408,7803,15210,1559,3531,5092,18059,23603,41664,14280,17292,31577,29317,16438,45753,1228,1833,3060,1831,2748,4579,32383,21022,53401,148684,150099,298780,22547,22608,45158,88123,89334,177461,71344,72400,143741
LGA21670,5645,5867,11511,1553,865,2419,598,1273,1871,188,213,399,176,113,295,2527,2466,4985,2652,2989,5643,7.1,4.7,5.9,44.7,42,43.3,41.6,40,40.8,54,78,138,44,114,157,271,498,772,253,521,779,1560,809,2371,67,120,180,66,91,157,1689,1021,2707,5381,5546,10922,636,699,1337,3935,3949,7884,1861,2088,3948
LGA21750,9276,9412,18690,3857,1957,5810,1284,2653,3937,405,490,895,190,126,311,5733,5225,10959,2903,3594,6501,3.3,2.4,2.9,61.8,55.5,58.6,59.8,54.2,56.9,189,294,488,99,262,369,693,1228,1916,622,988,1608,2456,1388,3845,90,124,211,119,153,277,2661,1671,4331,9051,9117,18165,1223,1218,2445,6239,6241,12480,3546,3639,7184
LGA21830,6731,6705,13433,2960,1409,4369,801,1804,2604,297,308,603,96,107,199,4158,3620,7783,2053,2608,4666,2.3,2.9,2.6,61.8,54,57.9,60.4,52.5,56.4,88,149,235,74,165,242,426,841,1268,381,683,1067,1760,872,2626,62,101,162,85,83,168,1896,1064,2961,6586,6542,13125,789,785,1573,4785,4734,9514,2237,2283,4523
LGA21890,60688,65528,126214,26881,19780,46659,10177,16971,27147,2308,2972,5282,2446,1986,4436,41811,41706,83522,15803,20735,36542,5.9,4.8,5.3,68.9,63.6,66.2,64.9,60.6,62.7,6238,7823,14063,1777,3542,5319,14025,16628,30654,5087,6015,11098,7956,4182,12142,386,499,885,668,891,1562,9012,5571,14586,56827,60219,117042,11330,12218,23552,36919,39955,76869,27851,29247,57097
LGA22110,20241,21189,41422,6325,3504,9828,2550,5155,7700,782,876,1663,524,353,877,10175,9888,20066,8428,9617,18049,5.1,3.6,4.4,50.3,46.7,48.4,47.7,45,46.3,384,539,922,287,636,917,1399,2436,3831,1538,2379,3913,5710,2849,8558,179,361,540,327,374,702,6224,3579,9803,18878,19462,38335,2857,3070,5926,12725,12999,25722,8038,8603,16636
LGA22170,54823,58620,113444,26070,14750,40819,7012,15871,22886,1899,2942,4839,1805,1512,3319,36787,35082,71872,14870,20322,35188,4.9,4.3,4.6,67.1,59.8,63.4,63.8,57.3,60.4,1581,2223,3805,782,1936,2718,5713,8954,14672,5028,7658,12691,15153,8058,23207,470,859,1335,778,1236,2018,16399,10161,26558,55720,58270,113987,7835,8540,16377,36856,38306,75161,23098,24957,48055
LGA22250,4484,4526,9007,1767,824,2595,432,1065,1502,143,153,293,95,64,163,2440,2106,4551,1666,2046,3715,3.9,3,3.5,54.5,46.5,50.5,52.4,45.1,48.7,33,64,103,29,91,122,201,399,598,212,397,608,1193,626,1820,31,71,107,42,54,96,1261,758,2024,4267,4287,8549,527,573,1101,3135,3110,6245,1443,1534,2974
LGA22310,58836,64003,122840,28644,19486,48129,9562,17315,26876,1927,2690,4618,1917,1600,3520,42045,41096,83148,14662,20457,35117,4.6,3.9,4.2,71.5,64.2,67.7,68.2,61.7,64.8,7670,8023,15689,1783,3235,5023,16854,19377,36233,5197,6678,11872,6502,3420,9926,267,443,711,691,1118,1816,7461,4982,12447,57301,60881,118180,11889,12428,24315,36250,39365,75621,29597,30774,60370
LGA22410,8470,8590,17065,3262,1628,4892,1003,2201,3209,361,372,734,226,179,408,4853,4386,9237,3003,3640,6648,4.7,4.1,4.4,57.3,51,54.2,54.7,48.9,51.8,96,163,258,74,229,306,476,859,1337,452,874,1327,2357,1313,3671,70,162,230,124,155,280,2552,1627,4178,8129,8156,16284,1068,1139,2206,5708,5582,11293,3090,3338,6429
LGA22490,9891,9589,19477,4880,2247,7128,1205,3034,4242,431,540,965,208,191,398,6725,6011,12733,2639,3117,5748,3,3.2,3.1,68,62.7,65.4,65.9,60.7,63.3,201,296,500,155,393,553,757,1416,2178,802,1230,2027,3320,1544,4861,83,179,262,132,161,291,3534,1883,5414,10751,10307,21065,1165,1154,2316,7544,7051,14595,3748,3804,7551
LGA22620,47166,51561,98733,20046,11473,31519,6503,14240,20742,1667,2379,4044,1349,1090,2442,29564,29181,58745,14829,19538,34370,4.6,3.7,4.2,62.7,56.6,59.5,59.8,54.5,57,1536,2004,3534,923,2068,2987,4983,7985,12966,3671,5337,9005,12615,7113,19730,460,849,1312,596,874,1471,13665,8845,22508,47024,49758,96783,7632,8488,16116,30293,31583,61880,21302,23669,44972
LGA22670,66239,64563,130795,25823,14339,40162,10092,13258,23351,2109,2079,4190,2982,2377,5362,41006,32051,73065,20952,28761,49713,7.3,7.4,7.3,61.9,49.7,55.9,57.4,46,51.8,3614,3452,7063,629,1165,1797,8988,9747,18730,5502,5826,11332,8868,4850,13720,532,644,1174,835,1042,1876,10234,6538,16770,64936,63983,128917,9952,9162,19115,41587,42403,83990,29056,26725,55781
LGA22750,107346,115941,223284,45947,26020,71968,15597,32795,48392,3805,5424,9230,3294,2695,5988,68647,66931,135579,33270,43377,76647,4.8,4,4.4,64,57.7,60.7,60.9,55.4,58,5688,5912,11600,2071,4560,6632,14939,20968,35907,9586,13416,23009,25907,14636,40545,894,1438,2329,1284,1966,3246,28078,18036,46116,103160,109541,212699,19537,21345,40882,63473,67738,131211,52465,56815,109288
LGA22830,27123,28064,55188,11382,6484,17866,3185,6983,10170,955,1150,2107,848,590,1438,16376,15199,31576,8559,10785,19340,5.2,3.9,4.6,60.4,54.2,57.2,57.2,52.1,54.6,669,830,1495,348,849,1202,1988,3478,5462,1774,2974,4746,6376,3506,9889,257,405,662,296,449,751,6932,4369,11305,26858,27078,53930,3912,4362,8277,17660,17647,35303,11313,12217,23528
LGA22910,6943,7309,14251,2353,1257,3612,1093,1853,2944,258,336,598,169,129,300,3877,3580,7459,2520,3118,5637,4.3,3.7,4,55.8,49,52.3,53.4,47.2,50.2,395,447,836,185,344,531,862,1302,2161,642,884,1525,1616,803,2423,63,88,150,95,131,229,1779,1028,2802,6613,6809,13424,819,852,1675,4559,4738,9297,2588,2676,5263
LGA22980,2435,2417,4851,1009,456,1469,215,563,780,61,91,150,56,37,93,1345,1146,2492,913,1096,2008,4,3.2,3.7,55.3,47.5,51.4,53.1,45.9,49.5,30,48,79,14,56,75,118,279,401,112,239,349,594,315,907,34,41,72,39,38,76,665,391,1056,2329,2345,4677,295,283,579,1736,1691,3427,758,797,1551
LGA23110,36029,38359,74390,17068,11161,28225,4775,9002,13783,1268,1745,3012,1326,1124,2447,24438,23033,47468,9729,13541,23277,5.4,4.9,5.2,67.8,60,63.8,64.1,57.1,60.5,2708,3078,5783,823,1754,2572,6772,8539,15313,3203,3911,7113,6761,2965,9723,230,343,579,460,648,1106,7450,3955,11410,36100,37831,73935,5907,6168,12073,24506,25930,50439,14996,15818,30816
LGA23190,8090,8603,16691,3732,1994,5725,1028,2439,3465,301,369,671,184,138,313,5238,4936,10177,2376,3195,5573,3.4,2.7,3.1,64.8,57.4,61,62.6,55.8,59.1,183,236,419,93,274,365,574,1123,1693,590,978,1567,2233,1246,3475,74,146,219,100,139,241,2403,1532,3934,8143,8438,16584,1152,1286,2439,5579,5687,11263,3245,3483,6730
LGA23270,93744,95401,189145,39507,21291,60797,13476,21089,34568,3559,3974,7532,4446,3929,8379,60982,50287,111268,27336,40010,67345,7.3,7.8,7.5,65.1,52.7,58.8,60.3,48.6,54.4,4605,4774,9381,972,2409,3386,11117,14408,25528,8621,10275,18895,17407,9862,27262,845,1144,1998,1232,1763,2999,19485,12774,32255,98089,98613,196701,15762,15721,31480,59338,60347,119683,46502,46562,93062
LGA23350,7022,7297,14324,2958,1724,4677,913,2061,2974,290,423,715,113,105,216,4273,4310,8584,2311,2579,4895,2.6,2.5,2.5,60.8,59,59.9,59.3,57.6,58.4,224,344,571,142,400,541,738,1276,2017,574,891,1466,2040,970,3016,65,106,179,110,116,224,2215,1206,3416,6895,7141,14040,939,1064,2001,4864,5072,9942,2571,2777,5356
LGA23430,62717,68202,130919,30213,18996,49207,8834,18185,27020,2139,2911,5058,1964,1660,3625,43156,41753,84913,17160,23974,41128,4.6,4,4.3,68.8,61.2,64.9,65.7,58.8,62.1,4436,5181,9612,1337,2680,4009,11980,15145,27129,6290,8036,14322,12162,5661,17828,391,696,1089,890,1408,2300,13450,7772,21216,64013,68393,132407,9170,9578,18746,43846,47195,91035,25690,27235,52930
LGA23670,63878,68114,131987,30975,18209,49186,9075,18414,27487,2022,2822,4854,2005,1776,3777,44077,41227,85303,17649,24592,42245,4.5,4.3,4.4,69,60.5,64.6,65.9,57.9,61.8,4356,4428,8778,1128,2267,3394,11112,13613,24720,6189,8218,14406,14056,6862,20917,503,746,1246,831,1332,2161,15391,8940,24327,66942,69810,136756,7642,8024,15668,47470,49669,97135,23605,24656,48262
LGA23810,30738,32889,63627,11721,6273,17990,3391,8243,11627,1082,1436,2515,1356,914,2274,17548,16861,34411,10810,13575,24381,7.7,5.4,6.6,57.1,51.3,54.1,52.7,48.5,50.5,569,811,1373,299,800,1099,2054,3444,5495,1920,3168,5083,9669,5009,14683,301,544,851,329,505,838,10298,6069,16366,30132,31379,61508,4199,4604,8800,20784,21198,41980,11709,12964,24673
LGA23940,3348,3251,6602,1181,562,1740,350,720,1071,118,156,276,87,70,163,1736,1511,3246,1231,1362,2595,5,4.8,4.9,51.8,46.4,49.2,49.2,44.2,46.8,26,43,72,21,84,111,165,355,521,173,309,482,872,367,1238,24,58,82,43,63,104,941,488,1430,3127,3050,6175,314,332,643,2401,2248,4646,901,991,1891
LGA24130,20143,21092,41232,9372,5073,14437,2745,6159,8907,849,1078,1929,445,387,832,13413,12695,26107,5651,7270,12923,3.3,3,3.2,66.6,60.2,63.3,64.4,58.4,61.3,1040,1328,2370,523,1130,1647,2879,4131,7010,1915,2535,4451,5244,2174,7415,135,244,383,279,410,685,5662,2824,8486,21185,21696,42879,2619,2796,5416,14414,14824,29234,8167,8498,16659
LGA24210,50015,54541,104556,20916,12708,33627,7728,13632,21356,1587,1959,3547,1730,1490,3223,31964,29782,61749,16432,22939,39371,5.4,5,5.2,63.9,54.6,59.1,60.5,51.9,56,5511,5148,10657,1216,2018,3233,12265,13754,26019,4719,5899,10619,6506,3060,9561,246,411,654,609,1135,1740,7356,4599,11959,51067,54528,105591,7024,7447,14468,35297,37958,73251,20394,21603,41992
LGA24250,4152,4277,8430,1514,891,2404,627,1165,1793,192,223,417,56,35,92,2382,2322,4701,1440,1621,3057,2.3,1.6,2,57.4,54.3,55.8,56,53.4,54.7,113,163,267,61,168,229,396,639,1029,317,572,887,1316,479,1801,29,63,90,70,78,150,1418,617,2041,3807,3814,7626,769,908,1672,2440,2418,4855,1989,2141,4127
LGA24330,35770,36173,71946,16907,12341,29250,5943,8721,14662,1374,1775,3146,1550,1301,2854,25779,24131,49911,7835,10133,17968,6,5.4,5.7,72.1,66.7,69.4,67.7,63.1,65.4,3958,4179,8144,943,1793,2734,8806,9661,18468,3097,3288,6389,4194,2396,6588,271,278,548,419,509,925,4884,3178,8064,32101,32184,64282,7778,7827,15611,19314,20111,39423,18459,17962,36420
LGA24410,44880,49138,94018,22262,13040,35296,6230,13842,20072,1416,2201,3612,1313,1166,2482,31215,30241,61463,12055,17076,29136,4.2,3.9,4,69.6,61.5,65.4,66.6,59.2,62.7,3137,3466,6609,1114,2186,3302,7907,10449,18354,4516,5958,10474,9739,4802,14539,323,508,826,668,1017,1684,10720,6332,17053,47233,50310,97542,6048,6449,12492,32236,34318,66558,18138,19665,37802
LGA24600,69256,70262,139515,29792,23241,53033,13568,17570,31134,2872,3308,6178,3715,3758,7472,49945,47873,97817,13998,17264,31266,7.4,7.8,7.6,72.1,68.1,70.1,66.8,62.8,64.8,12486,13416,25903,1664,2507,4170,22290,23193,45484,5686,5909,11593,4175,2778,6949,344,340,684,508,677,1193,5031,3798,8826,39235,39491,78722,28995,29791,58789,15888,16529,32419,50420,51004,101420
LGA24650,67200,68167,135368,32054,18030,50082,8990,16531,25517,2574,3270,5845,2815,2828,5642,46427,40663,87089,17155,23933,41088,6.1,7,6.5,69.1,59.6,64.3,64.9,55.5,60.2,3131,3501,6631,725,1802,2529,8510,11616,20129,6047,7438,13492,13776,7960,21739,575,859,1437,963,1365,2328,15321,10186,25502,69789,71100,140892,11870,12479,24346,41529,42244,83766,34022,35514,69537
LGA24780,22661,23768,46427,9289,5618,14908,2678,5601,8280,861,1048,1916,796,586,1375,13620,12857,26476,7067,9017,16082,5.8,4.6,5.2,60.1,54.1,57,56.6,51.6,54.1,397,481,877,233,587,821,1454,2759,4214,1370,2259,3630,5475,3280,8757,247,410,657,254,352,606,5981,4042,10025,21846,22799,44643,3449,3528,6972,14395,14746,29135,9464,10150,19621
LGA24850,19567,19566,39135,9522,4846,14371,2305,5067,7368,774,987,1764,550,548,1100,13151,11459,24604,5160,6931,12090,4.2,4.8,4.5,67.2,58.5,62.9,64.4,55.7,60.1,477,652,1130,207,564,771,1374,2405,3780,1529,2369,3901,5695,2847,8548,188,332,521,241,380,627,6131,3564,9691,19793,19622,39417,3240,3104,6342,11940,11748,23685,9592,9613,19208
LGA24900,12635,12834,25470,4883,2444,7329,1308,3178,4491,508,543,1048,264,204,468,6964,6375,13337,4690,5504,10197,3.8,3.2,3.5,55.1,49.6,52.4,53,48.1,50.5,118,201,320,84,300,386,629,1291,1923,730,1279,2008,3451,1765,5223,113,207,324,171,205,377,3740,2181,5920,12013,12112,24124,1824,1848,3671,8222,8197,16422,4990,5184,10172
LGA24970,79524,81293,160818,32990,20997,53990,13185,19385,32567,2487,3031,5520,3075,2604,5669,51738,46010,97749,24008,31764,55769,5.9,5.7,5.8,65.1,56.6,60.8,61.2,53.4,57.3,11356,9808,21165,1779,2887,4663,19530,20848,40371,7189,8060,15250,8551,4268,12817,352,574,935,874,1400,2272,9774,6248,16018,73836,75967,149804,16427,15267,31693,47661,50975,98633,38732,36711,75443
LGA25060,49111,53172,102281,23492,16067,39561,7150,13315,20465,1778,2407,4185,1724,1348,3072,34141,33140,67277,12939,17918,30852,5,4.1,4.6,69.5,62.3,65.8,66,59.8,62.8,4382,4822,9207,1372,2560,3926,11124,13230,24356,4399,5211,9608,7759,3466,11224,288,451,733,612,1002,1610,8650,4912,13565,48029,51031,99055,8243,8694,16938,32301,34713,67019,21370,22546,43912
LGA25150,14709,15339,30044,7213,3966,11176,1782,4045,5831,627,790,1415,366,348,712,9993,9152,19143,3944,5402,9345,3.7,3.8,3.7,67.9,59.7,63.7,65.4,57.4,61.3,441,637,1089,198,579,780,1294,2203,3497,1219,1865,3083,4407,2152,6556,120,221,337,194,282,466,4715,2650,7369,15216,15503,30714,2205,2315,4514,9919,9878,19802,6538,6990,13521
LGA25250,69954,74900,144853,32384,23653,56039,12057,18846,30898,2611,3509,6116,2766,2163,4932,49816,48169,97987,16710,23374,40089,5.6,4.5,5,71.2,64.3,67.6,67.3,61.4,64.2,7943,9544,17485,1937,3871,5807,16584,19599,36184,5988,6757,12749,9433,4580,14015,357,556,915,793,1039,1832,10578,6179,16760,64239,67718,131960,14505,15511,30012,39692,43040,82736,35002,36337,71340
LGA25340,67516,73922,141435,26633,13873,40506,9471,19448,28913,2649,3698,6346,1400,1208,2605,40155,38225,78380,23410,31254,54668,3.5,3.2,3.3,59.5,51.7,55.4,57.4,50.1,53.6,2543,2985,5529,1270,2678,3950,8658,12227,20885,6476,9441,15917,17829,8257,26087,491,955,1454,992,1639,2633,19314,10854,30166,66608,71361,137967,9589,10143,19730,44246,47488,91738,28387,30616,59007
LGA25430,8606,8792,17402,2570,1489,4057,1402,2447,3848,308,352,662,177,156,335,4462,4447,8904,3562,3664,7229,4,3.5,3.8,51.8,50.5,51.2,49.8,48.7,49.3,540,758,1300,263,554,812,1197,1690,2888,731,1031,1760,1788,798,2590,68,103,173,110,129,241,1981,1026,3001,7754,8096,15855,1036,1114,2152,5332,5510,10838,3108,3402,6511
LGA25490,6927,7151,14077,3222,1591,4808,908,2048,2964,347,423,772,106,97,204,4583,4158,8740,1850,2523,4373,2.3,2.4,2.3,66.2,58.2,62.1,64.7,56.8,60.7,143,266,408,81,240,319,630,1119,1747,499,859,1360,1861,952,2815,68,132,203,80,117,201,2016,1207,3217,7094,7184,14274,808,902,1710,5108,5006,10109,2417,2673,5089
LGA25620,6637,6360,12993,2483,1196,3685,838,1611,2459,297,354,650,141,112,251,3766,3274,7044,2281,2537,4821,3.7,3.4,3.6,56.7,51.5,54.2,54.6,49.8,52.2,144,191,332,106,210,315,484,846,1335,510,828,1342,2052,851,2900,42,103,140,89,117,207,2181,1067,3246,6267,5957,12229,737,701,1438,4373,4127,8501,2353,2292,4649
LGA25710,25155,26073,51226,12700,6669,19368,3698,8440,12141,971,1289,2263,627,598,1221,18000,17000,34994,6423,8338,14767,3.5,3.5,3.5,71.6,65.2,68.3,69.1,62.9,65.9,1782,1978,3764,707,1442,2149,4503,6066,10569,2567,3167,5740,6163,2271,8431,165,269,436,382,555,939,6706,3099,9805,27598,28246,55843,2328,2417,4744,20936,21319,42251,7600,7919,15518
