LGA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
LGA21270,26,110,91,2285,43,2554,0,0,0,71,0,74,18,0,0,13,0,36,3,0,0,0,0,0,30,13,8,19,0,68,175,104,82,2022,35,2418,39,0,7,0,0,42,5,0,3,11,0,15,30,5,5,148,3,185,7,4,0,0,0,11,9,0,0,0,0,9,32,0,0,0,0,30,32,19,25,908,12,996,17,7,0,63,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,3,0,20,12,3,0,0,0,22,5,0,5,3,0,15,11,0,0,4,0,20,3,0,4,0,0,9,0,0,0,0,0,0,45,38,21,696,16,820,3,0,0,0,0,3,5,0,0,5,0,12,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,14,0,22,101,14,22,59,3,200,15,0,7,58,502,576,535,199,158,4701,593,6178
LGA21370,148,910,666,14906,257,16889,5,31,25,1022,22,1102,140,5,12,82,0,237,30,13,7,23,0,74,196,75,48,198,4,530,1225,872,662,13248,255,16262,346,0,44,8,5,403,43,4,16,72,0,129,187,74,78,1189,11,1542,60,12,3,41,0,122,33,5,9,14,0,62,157,9,0,7,0,174,283,154,125,4027,46,4633,376,107,40,758,23,1301,18,0,0,5,0,15,17,0,9,6,0,28,11,4,5,10,0,35,57,19,14,69,0,162,73,9,17,6,0,111,78,36,28,31,0,176,52,13,9,37,0,123,15,4,0,12,0,31,0,0,0,0,0,5,320,232,156,3449,41,4200,28,0,0,3,0,29,18,7,4,6,0,33,26,9,5,37,0,75,44,5,3,10,0,58,31,4,4,3,0,44,42,9,10,93,0,165,677,108,89,371,12,1254,43,21,8,321,2364,2751,3897,1636,1224,29052,2927,38735
LGA21450,1535,4910,3606,31315,339,41707,13,70,39,1007,23,1151,1579,51,95,183,12,1920,409,120,52,159,4,747,1496,573,333,1565,31,3997,8347,4241,3258,25769,363,41979,1325,30,176,42,3,1580,370,46,28,198,0,646,1161,435,285,2272,35,4182,412,142,63,447,8,1063,360,63,26,178,5,636,4749,123,64,83,15,5029,1580,832,614,7183,85,10299,1396,671,291,2308,23,4688,130,0,7,0,0,138,126,32,15,39,7,217,72,29,17,46,0,159,267,120,92,341,4,822,502,77,62,32,0,675,509,246,157,131,5,1049,402,106,78,237,4,826,230,30,35,89,4,387,379,51,19,13,5,471,1980,903,716,6319,71,9998,248,66,25,52,3,387,417,84,55,56,0,613,301,33,18,87,7,439,1440,124,53,88,6,1716,242,17,25,14,5,301,303,84,56,277,3,720,14295,1100,863,1449,116,17817,621,84,69,624,5304,6706,39221,8912,6438,57394,6232,118194
LGA21610,8529,10088,7504,52202,632,78947,128,193,109,1970,21,2422,14833,203,444,409,89,15977,2013,317,148,501,23,2993,3091,862,540,1905,24,6425,22169,7714,5970,42715,639,79200,8604,140,595,120,22,9485,1588,102,67,337,9,2098,2841,804,500,3843,42,8032,2634,628,384,1606,26,5278,1550,209,116,360,13,2245,33043,493,271,189,73,34061,3828,1449,1049,11598,132,18059,4948,1574,813,5053,76,12458,1023,6,21,0,5,1058,1237,276,123,196,7,1842,589,105,38,128,3,869,953,355,201,841,15,2359,2307,268,198,133,26,2933,1555,500,336,234,11,2638,2139,223,177,393,12,2949,1126,84,84,197,4,1499,4197,271,118,43,50,4673,4583,1691,1293,10773,108,18447,3219,249,179,242,36,3924,1507,247,170,90,4,2010,1549,81,78,156,14,1866,9196,365,204,228,20,10015,2890,79,146,71,26,3213,545,126,99,432,0,1204,97661,3707,2810,3364,565,108105,4044,196,167,993,15175,20574,215499,19690,14454,98161,17438,365239
LGA21670,46,297,240,4962,108,5661,0,12,3,253,8,280,43,3,7,55,0,112,11,0,0,9,0,24,125,18,20,70,3,229,667,320,272,4769,134,6162,76,4,20,0,0,104,7,4,0,21,0,34,101,28,28,320,10,489,32,8,4,26,0,78,40,5,9,9,0,52,33,4,0,0,0,34,129,65,41,1270,10,1518,62,32,10,251,0,358,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,4,32,10,0,15,0,61,16,6,0,7,0,31,21,8,7,4,0,44,29,11,0,7,0,46,7,0,0,3,0,16,0,0,0,0,0,0,147,89,55,1287,14,1586,10,0,0,0,0,13,0,0,0,0,0,4,10,0,0,7,0,21,7,0,0,0,0,14,9,0,0,0,0,7,19,9,5,36,0,66,250,58,21,95,7,433,16,3,5,90,845,970,1589,583,442,9764,1101,13483
LGA21750,85,561,413,7857,117,9035,3,12,8,296,5,318,316,3,4,26,3,357,27,4,4,28,0,59,165,54,36,159,4,412,855,539,366,7255,131,9151,114,0,16,5,0,140,41,6,9,53,0,108,130,58,34,595,10,830,55,14,7,22,0,102,24,3,5,3,0,42,84,3,3,7,0,99,206,160,117,2940,34,3455,159,64,24,346,4,595,21,0,4,0,0,26,12,0,0,17,0,31,10,0,0,0,0,7,39,19,9,26,0,91,43,13,5,5,0,73,41,26,11,9,0,88,51,5,13,27,0,97,20,7,0,14,0,40,25,0,0,0,0,25,259,174,112,2309,24,2887,11,0,0,0,0,15,14,0,0,3,0,24,9,0,0,11,0,25,14,0,0,0,0,17,21,0,3,0,0,25,32,7,3,51,0,98,683,95,106,185,9,1080,44,16,5,251,1287,1597,2992,1096,744,16034,1557,22423
LGA21830,43,400,310,6282,110,7142,0,6,5,167,0,176,37,0,3,13,0,60,4,9,0,6,0,20,176,63,39,120,3,406,569,329,266,5174,129,6467,86,0,23,0,0,112,8,7,3,23,0,42,84,27,33,340,9,485,12,10,4,16,0,39,8,6,0,6,0,15,29,6,0,0,0,41,154,92,60,2064,33,2400,49,23,12,121,0,200,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,21,6,0,19,0,53,39,8,3,4,0,57,66,25,14,14,4,117,12,0,3,5,0,19,16,0,6,3,0,23,0,0,0,0,0,0,171,120,67,1690,36,2081,9,3,0,0,0,9,9,3,0,6,0,21,20,0,0,14,0,33,3,0,5,0,0,9,0,0,0,0,0,0,17,8,10,41,0,71,267,50,42,128,7,495,28,10,3,202,995,1235,1543,694,521,12101,1259,16115
LGA21890,1868,5132,3585,22072,265,32926,30,89,59,1205,31,1412,7931,242,344,379,42,8934,797,131,58,317,11,1308,594,378,247,757,11,1980,7421,4395,3018,22005,297,37130,1271,25,200,26,12,1539,499,123,82,312,4,1023,1239,520,340,2392,27,4518,8038,994,570,2762,85,12451,203,71,46,148,0,470,3932,147,124,67,11,4276,2439,1493,976,11555,59,16531,11236,2044,927,6267,158,20633,245,4,21,9,0,282,1927,290,175,409,11,2820,2247,273,161,541,17,3244,707,210,124,560,7,1604,395,63,42,32,0,537,679,244,159,74,13,1166,574,177,144,394,9,1301,239,49,51,111,0,456,161,38,12,3,6,217,2126,1166,909,8127,43,12378,501,52,37,101,5,688,237,60,58,20,5,375,649,73,75,114,4,920,561,66,62,68,5,763,3040,68,113,58,19,3295,286,114,80,435,4,916,15653,1851,1505,2273,145,21424,959,70,61,388,5677,7153,67345,12023,8211,54265,6736,148570
LGA22110,237,1451,1100,16102,298,19195,10,41,21,1462,25,1563,244,24,29,118,6,424,49,9,3,19,4,73,567,158,91,384,6,1210,2926,1486,1097,15328,362,21205,307,3,51,21,7,395,75,25,14,118,4,236,530,141,104,1331,37,2147,113,32,10,80,4,234,56,14,5,19,0,93,183,13,10,28,3,230,495,302,186,4219,74,5274,492,160,64,884,15,1616,21,0,6,3,0,28,0,0,4,13,0,30,6,3,0,9,0,18,126,24,18,95,0,267,55,24,18,14,0,108,102,59,35,37,4,226,132,33,18,67,0,253,43,9,0,15,0,62,3,3,7,4,0,17,751,377,269,4267,61,5732,24,7,3,9,0,44,88,11,9,5,0,110,38,4,0,33,0,79,18,11,3,14,0,41,109,5,15,3,7,136,114,56,14,124,4,306,1190,252,159,555,36,2191,98,7,20,340,3263,3736,7446,2763,1959,32523,4030,48715
LGA22170,1305,6412,5025,36281,391,49411,18,157,69,1462,24,1729,2352,76,132,260,17,2840,521,105,60,190,3,876,1456,472,327,1154,15,3423,12757,6035,4627,32324,480,56221,1521,50,273,60,14,1912,487,84,53,359,11,991,1645,543,405,2835,40,5468,1288,317,200,821,15,2648,356,117,60,160,11,704,2109,120,91,115,0,2450,2861,1236,859,9938,85,14976,1879,735,383,2580,32,5607,136,0,15,11,0,162,322,78,49,87,0,542,103,22,10,49,0,188,308,140,86,307,4,852,918,157,129,85,7,1313,770,289,197,134,0,1387,802,157,103,318,8,1395,710,46,37,82,4,886,331,58,30,12,4,424,3476,1363,1082,8816,107,14846,413,60,31,50,4,555,611,125,91,51,0,879,415,43,30,125,0,616,450,116,47,89,0,710,313,17,59,12,0,399,523,125,98,359,3,1101,9021,1424,1206,1821,116,13584,495,89,77,675,6605,7940,40514,11893,9078,70057,7742,139281
