LGA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA22170,876,1071,639,413,586,316,171,4074,726,648,373,243,316,120,64,2485,767,693,375,218,288,103,56,2498,4562,4033,2110,1367,1629,646,286,14633,32,32,17,12,0,3,0,94,6964,6475,3514,2241,2819,1192,585,23786,85,132,114,104,181,80,50,738,143,191,154,131,164,56,16,858,73,154,85,54,103,52,25,549,819,1301,854,610,704,259,115,4651,41,44,33,20,17,0,0,154,1164,1820,1229,914,1169,450,212,6957,8123,8294,4746,3159,3986,1643,797,30742
LGA22250,13,17,5,9,11,0,0,49,15,4,5,0,5,0,0,30,9,23,19,14,3,0,0,61,332,367,219,158,190,36,13,1310,3,3,0,0,0,0,0,8,370,404,248,175,206,40,18,1456,0,0,0,0,3,0,0,4,4,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,78,102,68,52,53,0,0,354,0,0,9,0,3,0,0,11,83,109,79,53,60,0,0,388,452,512,329,232,262,41,18,1843
LGA22310,2269,2747,1449,874,1129,709,449,9626,949,996,609,386,480,302,148,3869,998,1017,576,347,455,254,157,3804,2830,3002,1980,1376,1919,1145,631,12883,25,31,21,14,5,3,3,104,7072,7798,4639,2991,3990,2412,1388,30291,111,278,236,196,254,208,115,1399,82,124,110,86,134,84,51,673,53,102,79,65,81,48,37,465,155,294,310,272,357,244,142,1770,19,15,10,15,6,3,0,60,413,812,742,630,836,587,347,4362,7486,8614,5380,3620,4823,2996,1731,34653
LGA22410,27,28,26,16,13,3,3,112,27,18,20,10,20,3,0,100,33,36,23,13,13,8,0,118,601,642,366,306,333,54,13,2310,0,0,0,0,0,0,0,7,688,719,445,344,376,71,17,2657,0,3,7,4,4,0,0,17,9,30,12,6,10,3,0,63,3,7,5,5,0,0,0,24,132,186,125,103,118,22,7,689,5,10,11,0,0,0,0,27,147,232,154,119,140,25,7,825,840,950,597,469,515,98,23,3482
LGA22490,20,41,40,31,35,16,0,188,46,95,55,43,56,25,15,331,70,90,51,27,49,13,8,305,1188,1483,821,550,643,183,67,4940,7,7,0,0,0,0,0,15,1337,1712,966,646,785,238,89,5787,0,4,3,5,3,0,0,18,3,6,4,3,7,0,0,28,5,5,8,4,5,3,0,39,109,144,124,93,98,28,10,612,3,8,6,3,4,0,0,19,130,160,143,106,119,39,14,709,1466,1875,1114,754,901,279,100,6493
LGA22620,630,632,271,183,256,129,50,2147,233,238,137,107,125,45,29,910,211,247,127,97,94,32,18,818,4454,4496,2613,1759,2099,689,263,16372,41,17,13,7,5,0,0,88,5566,5632,3163,2154,2580,893,353,20338,47,56,49,41,45,23,12,267,72,119,80,36,67,19,8,394,22,45,36,31,42,17,3,194,961,1414,961,723,751,192,77,5090,36,42,26,11,11,0,0,129,1138,1683,1154,841,908,255,100,6084,6702,7310,4316,2996,3489,1148,453,26417
LGA22670,5906,5627,3015,2042,2533,1895,1131,22147,421,354,194,107,153,71,37,1348,628,466,204,118,126,63,34,1643,969,722,334,238,321,154,68,2806,63,49,20,24,12,0,0,174,7996,7217,3767,2538,3148,2186,1268,28120,568,934,628,512,776,551,397,4359,130,147,90,54,70,24,24,545,99,158,52,46,80,28,21,481,222,292,169,117,159,79,25,1066,63,89,38,15,15,10,14,241,1082,1622,971,742,1106,688,481,6695,9079,8843,4741,3283,4250,2874,1748,34814
LGA22750,1837,1698,840,588,698,410,177,6251,965,975,551,340,436,208,100,3572,1047,972,525,286,346,150,75,3405,9064,8815,4946,3219,3967,1600,685,32297,47,42,30,20,9,3,0,160,12964,12494,6895,4455,5452,2375,1039,45679,126,210,149,121,172,110,66,967,153,290,211,160,176,80,32,1092,71,147,132,78,112,37,33,611,1357,2265,1470,1151,1481,484,207,8414,78,80,46,31,20,10,0,265,1785,2991,2014,1542,1961,726,335,11343,14754,15481,8912,5994,7417,3099,1375,57025
LGA22830,947,944,529,312,382,136,61,3309,128,115,55,49,51,17,10,423,176,126,63,53,51,18,9,497,1888,1958,1229,858,1026,288,75,7327,19,22,5,3,0,0,0,53,3155,3162,1880,1284,1517,461,155,11605,58,89,50,32,57,23,15,338,49,63,34,19,29,7,4,212,17,34,16,16,20,0,0,113,484,778,503,372,397,100,22,2658,32,37,19,11,15,3,0,116,649,1006,634,453,517,130,46,3435,3806,4170,2515,1739,2033,596,196,15041
LGA22910,28,27,18,17,17,6,5,114,35,49,26,12,23,3,0,155,32,43,23,10,10,5,0,132,437,463,305,212,249,62,14,1735,3,6,0,0,0,0,0,16,536,585,370,253,297,76,17,2143,0,3,3,5,4,0,0,14,11,12,15,11,10,4,0,65,3,16,7,0,5,5,0,34,56,108,70,54,68,9,7,373,3,0,0,3,0,0,0,13,77,139,97,80,88,15,14,500,616,721,465,332,394,87,30,2644
LGA22980,37,25,8,12,9,5,0,92,7,3,0,0,3,0,0,14,9,10,6,5,8,0,0,33,186,177,119,68,98,21,7,671,0,4,0,0,0,0,0,4,232,218,134,80,117,29,7,816,7,11,0,0,3,0,0,19,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,10,34,27,18,16,21,0,0,118,0,0,0,3,0,0,0,8,41,39,26,26,28,4,0,165,274,257,160,101,148,28,3,981
LGA23110,1337,1314,619,353,427,262,159,4474,625,572,349,210,263,132,66,2212,682,585,284,157,209,129,50,2095,2381,2241,1288,782,981,581,306,8560,23,10,4,0,3,0,0,37,5045,4724,2539,1503,1875,1106,579,17368,105,165,112,93,99,72,48,693,74,129,100,69,88,47,31,540,49,63,65,42,46,35,15,315,191,368,302,216,280,148,90,1598,25,28,8,11,3,8,4,86,439,759,590,434,520,302,183,3236,5484,5483,3131,1936,2398,1408,765,20606
LGA23190,84,72,37,28,30,11,6,269,24,29,15,4,6,0,0,85,33,40,18,12,13,0,0,120,751,795,479,329,394,91,17,2853,4,0,0,0,3,0,0,12,893,931,560,380,444,108,30,3342,5,4,0,0,4,6,0,13,9,4,7,9,9,0,0,43,0,4,0,3,4,0,0,11,202,229,160,114,112,29,9,844,8,10,7,0,0,0,0,17,214,254,169,128,125,29,3,926,1108,1182,730,508,566,140,35,4263
LGA23270,8518,8670,4577,2775,3581,2288,1400,31815,1533,1394,759,478,605,294,144,5195,1079,942,444,285,323,196,89,3352,4884,4155,2223,1412,1724,821,424,15645,113,80,53,36,16,3,0,307,16124,15240,8048,4983,6252,3603,2064,56315,539,823,599,444,668,468,278,3817,271,385,239,172,192,100,56,1410,107,198,131,86,119,65,24,727,871,1219,728,530,719,242,138,4445,55,83,56,30,26,14,4,261,1837,2707,1746,1265,1722,880,502,10659,17958,17950,9795,6245,7977,4488,2564,66974
LGA23350,15,16,13,7,16,3,0,68,40,33,34,22,16,12,3,158,51,47,31,16,28,11,0,190,613,704,449,330,373,71,24,2557,0,4,0,0,3,0,0,16,721,811,536,382,433,89,26,2989,0,0,0,0,0,0,0,6,6,13,8,9,10,0,4,40,4,7,3,6,0,0,0,15,71,110,93,69,92,12,5,450,8,3,0,0,0,0,0,12,83,129,104,85,107,15,8,526,804,936,634,469,541,102,36,3516
LGA23430,2059,2308,1251,795,1056,728,432,8628,863,832,510,337,423,218,99,3277,978,910,474,282,369,191,101,3304,3705,3660,2225,1518,1984,1015,515,14624,29,24,10,5,4,0,0,83,7637,7732,4473,2944,3833,2157,1146,29920,123,265,198,154,234,193,110,1269,101,170,120,94,123,63,38,701,65,130,87,64,91,58,35,537,294,583,483,357,528,266,134,2645,30,30,15,10,15,5,0,96,616,1183,904,671,987,587,315,5255,8254,8914,5371,3614,4814,2747,1462,35168
LGA23670,2765,3219,1588,989,1418,1159,729,11878,503,520,348,229,308,159,103,2163,706,674,342,247,281,168,90,2506,3389,3380,2112,1435,1891,1007,471,13685,21,25,18,12,11,4,3,89,7388,7819,4403,2905,3913,2492,1398,30324,130,231,165,121,214,170,127,1151,92,132,101,80,120,59,29,620,51,83,73,55,90,38,28,420,461,774,559,438,661,274,148,3316,23,19,17,6,4,4,0,77,749,1244,918,707,1087,543,340,5586,8140,9066,5327,3617,5001,3033,1734,35910
LGA23810,260,281,144,93,99,41,11,926,104,120,78,66,101,26,13,505,155,144,80,56,68,24,9,531,2466,2484,1515,1009,1160,355,118,9106,19,20,11,8,0,0,0,64,3007,3042,1823,1229,1436,447,144,11122,37,41,41,23,41,18,4,204,51,55,44,34,39,7,5,240,25,43,25,12,31,6,0,143,762,997,648,410,459,117,34,3428,46,54,30,20,16,4,0,158,914,1190,791,497,582,149,50,4184,3924,4230,2617,1729,2016,602,199,15305
LGA23940,9,21,10,9,8,0,0,57,0,7,10,0,0,0,0,16,10,10,12,6,4,0,0,42,215,242,195,106,151,30,11,951,0,0,4,4,0,0,0,11,240,277,216,130,168,38,10,1079,3,3,3,0,0,0,0,9,5,3,3,0,0,5,0,21,0,0,0,0,0,0,0,3,40,53,34,20,29,7,6,184,3,0,0,0,0,0,0,4,48,61,46,26,30,8,6,223,285,339,264,151,201,42,10,1298
LGA24130,130,171,95,57,96,38,17,598,232,295,197,125,157,47,21,1068,220,277,126,90,91,36,22,858,1919,2370,1351,850,1199,468,156,8325,5,3,0,0,4,0,0,26,2506,3129,1772,1122,1545,583,212,10874,5,13,10,10,17,11,0,71,16,47,40,26,36,13,10,191,14,25,28,22,35,14,3,136,167,344,216,165,235,86,35,1253,12,10,8,8,0,0,0,37,215,436,296,240,322,124,53,1683,2723,3561,2071,1359,1863,712,268,12555
LGA24210,2677,3402,1677,990,1234,982,694,11660,373,356,235,161,259,169,113,1657,512,482,278,170,249,194,105,1995,1458,1924,1444,1050,1569,979,538,8961,25,26,13,8,4,3,0,75,5046,6194,3639,2375,3312,2321,1450,24346,131,399,281,223,314,275,197,1832,35,85,71,47,85,51,36,412,27,68,54,40,67,41,17,317,113,234,210,186,306,168,85,1301,8,17,5,7,4,0,0,42,314,814,624,504,776,531,339,3900,5362,7005,4265,2880,4089,2853,1786,28245
LGA24250,19,18,6,3,10,0,0,59,20,15,19,10,11,4,0,74,29,35,24,13,9,0,0,116,266,356,240,147,139,30,7,1182,0,4,0,0,0,0,0,3,327,426,290,178,170,40,6,1437,0,4,5,0,0,0,0,11,3,10,9,0,4,0,0,28,0,4,3,0,4,0,0,13,32,66,37,27,32,5,0,204,5,0,0,0,0,0,0,5,40,85,48,30,43,4,0,253,373,511,346,212,209,45,5,1693
LGA24330,1385,1222,626,407,528,400,238,4804,508,422,224,111,151,68,34,1512,632,435,194,94,120,52,27,1566,1793,1474,758,449,515,267,115,5355,10,8,7,6,8,5,0,46,4326,3560,1805,1070,1327,781,413,13280,140,246,178,137,195,181,107,1181,56,94,59,45,52,15,16,341,41,54,33,19,43,23,10,224,119,227,177,115,151,63,35,888,18,27,14,12,0,6,0,72,380,647,458,327,445,282,165,2708,4704,4209,2266,1398,1768,1064,580,15987
LGA24410,1747,1718,825,483,592,382,202,5949,450,445,247,178,226,126,62,1727,513,502,261,165,180,103,52,1777,3412,3318,1974,1286,1745,851,422,13009,7,27,5,3,4,0,0,43,6134,6003,3312,2110,2752,1467,736,22503,107,176,124,91,130,107,57,795,83,141,84,45,85,41,18,495,29,52,50,41,62,20,26,277,255,577,436,346,486,276,121,2501,15,10,5,11,4,5,0,46,481,955,701,534,768,451,224,4109,6615,6960,4013,2649,3517,1913,954,26614
LGA24600,1997,1314,517,283,341,247,129,4833,278,171,107,68,71,39,19,754,478,287,105,64,77,41,22,1078,787,515,289,203,238,167,72,2271,9,18,5,4,0,0,0,34,3558,2298,1019,616,734,495,249,8974,212,310,198,178,264,256,168,1582,45,46,24,31,37,16,8,206,54,66,33,29,46,30,12,266,79,115,73,55,86,72,36,517,32,29,13,8,9,0,3,85,414,565,349,299,432,371,236,2663,3972,2867,1361,915,1163,867,482,11632
LGA24650,5962,6277,3130,1816,2250,1433,777,21640,922,769,460,316,388,177,84,3114,772,780,398,256,274,124,68,2668,4274,4148,2368,1589,1867,735,322,15308,55,62,30,19,12,0,0,175,11978,12035,6384,4001,4785,2468,1248,42899,496,795,506,339,436,250,180,2997,182,228,141,111,157,47,19,885,101,110,95,89,109,38,26,572,957,1236,779,535,650,221,96,4473,51,62,36,30,18,7,5,201,1791,2433,1553,1103,1374,557,321,9128,13763,14466,7931,5102,6161,3025,1576,52029
