LGA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,12,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,13,11,10,11,4,0,0,0,5,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21370,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,8,5,3,9,10,9,0,0,0,0,0,0,0,50,11,61,30,13,0,0,3,0,0,0,0,5,0,0,17,143,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,8,9,12,8,13,0,0,0,0,57,0,0,0,0,0,0,4,10,3,5,9,3,0,0,0,31,10,48,10,3,6,0,3,0,0,0,0,0,0,0,5,94,0,0,29,59,66,73,91,30,5,3,14,3,5,3,15,397,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,10
LGA21450,6,3,0,5,0,0,3,105,0,0,0,0,0,10,11,18,11,4,9,5,0,0,0,66,3,9,22,30,43,11,50,51,13,0,4,0,0,0,9,251,15,130,115,31,5,5,18,24,3,3,0,10,0,0,21,389,0,0,0,3,3,12,26,8,3,0,5,4,0,3,3,75,0,0,0,0,3,4,60,29,0,5,0,7,0,0,0,108,0,0,4,13,13,9,24,11,0,0,0,4,0,0,0,73,0,0,14,8,32,28,103,120,9,19,12,22,7,0,4,376,0,0,0,0,0,5,36,42,9,6,11,4,0,0,0,100,31,328,58,48,55,14,35,6,5,0,0,0,0,0,15,598,10,14,51,172,300,324,449,343,53,59,40,48,9,11,57,1941,0,0,6,8,13,4,4,8,0,0,0,0,0,0,0,37,0,0,0,0,5,29,194,269,47,62,21,33,10,12,6,700
LGA21610,121,150,61,95,12,11,17,1855,0,0,6,9,11,184,286,151,79,37,6,23,13,0,10,814,0,23,111,101,113,27,77,103,9,14,13,3,0,0,14,604,53,441,681,173,69,47,68,54,4,9,5,9,0,0,76,1690,0,0,0,0,13,33,99,26,3,8,3,3,0,0,0,194,0,0,0,3,23,72,429,148,10,25,18,4,3,0,14,745,3,0,55,186,168,145,118,46,15,15,11,3,0,4,25,793,3,0,25,92,328,195,709,388,116,83,71,53,19,5,16,2105,0,0,0,0,0,44,275,167,36,34,51,57,17,0,16,691,42,616,136,67,87,15,32,22,3,0,3,0,0,0,24,1053,9,11,98,396,939,1290,2241,1685,218,252,227,256,102,73,203,8006,4,9,65,109,128,91,77,18,3,8,3,0,4,0,18,532,0,0,3,17,89,268,1013,1550,208,352,294,297,131,86,58,4373
LGA21670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,9,6,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,8,5,10,5,0,0,0,0,31,0,50,16,4,5,0,0,0,0,0,0,0,0,0,0,77,0,0,12,32,26,17,7,3,0,4,0,0,4,0,8,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA21750,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,8,10,0,0,0,4,0,0,0,37,9,22,15,0,0,0,0,3,0,0,0,0,0,0,4,53,0,0,0,0,0,3,7,8,0,3,0,3,0,0,0,21,3,0,0,0,0,0,5,0,0,0,0,6,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,4,9,8,5,6,0,0,26,0,0,0,0,0,0,3,7,0,0,4,4,0,0,0,26,0,49,6,5,11,3,5,6,3,0,0,0,0,0,5,81,0,0,15,33,42,29,66,27,0,0,5,5,0,0,10,233,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8
LGA21830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,4,4,0,3,0,29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,15,0,50,5,0,5,4,3,0,0,0,0,0,0,5,3,85,0,3,7,18,34,50,105,38,12,0,0,7,8,0,19,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21890,11,11,21,16,0,3,4,422,0,0,0,5,5,74,62,45,4,4,5,0,3,0,0,219,0,10,21,36,76,44,140,87,13,10,15,11,4,0,3,467,133,1999,2060,257,78,64,92,196,47,25,22,19,4,5,229,5220,0,0,0,9,16,72,144,46,17,11,7,5,5,0,5,345,0,0,0,11,20,22,74,42,10,12,5,5,3,0,9,202,0,41,218,339,218,121,83,43,4,12,5,15,11,3,54,1166,0,8,24,67,206,114,213,133,74,58,38,41,16,0,18,1010,0,0,0,0,4,8,111,149,92,159,267,233,52,5,18,1108,0,42,15,13,19,22,32,14,4,5,0,0,3,0,0,174,3,11,46,167,291,398,726,483,68,78,73,78,23,15,38,2488,10,70,345,300,197,85,65,18,3,7,4,5,0,0,37,1153,0,0,0,0,8,25,61,135,31,28,47,38,20,4,10,405
LGA22110,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,12,0,9,17,16,7,5,8,0,0,0,0,0,0,0,3,69,8,77,42,7,0,5,3,0,0,0,0,0,0,0,10,157,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,3,7,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,3,12,12,3,9,13,7,0,0,0,92,0,0,0,0,0,0,0,8,8,5,0,0,0,0,0,21,6,192,36,10,17,3,7,0,0,0,0,0,0,0,15,292,9,15,49,107,101,76,56,29,3,8,7,4,3,0,36,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,28
LGA22170,4,5,8,4,3,0,0,127,0,0,0,6,0,12,16,5,7,0,3,0,0,0,0,46,3,25,57,61,107,36,76,90,13,3,5,0,0,0,14,499,33,172,187,54,23,14,28,37,10,5,4,5,0,0,25,593,0,0,0,0,4,21,43,13,4,0,3,0,3,0,0,93,0,0,0,8,16,11,40,16,15,0,3,0,0,0,0,118,0,3,18,37,30,32,17,7,3,0,0,0,0,3,3,167,0,4,15,50,75,46,101,41,14,16,9,0,4,0,7,375,0,0,0,0,0,0,20,17,3,15,10,5,3,0,3,83,23,303,79,25,35,12,33,15,8,4,0,0,0,0,34,567,7,23,113,316,629,506,728,392,46,43,45,38,12,18,81,2994,0,3,6,16,8,12,8,0,0,4,0,0,0,0,0,58,0,0,12,7,9,13,23,19,3,4,7,0,0,0,0,94
LGA22250,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,0,19,0,0,6,0,0,0,0,0,0,0,0,0,0,32,0,0,4,11,14,7,7,6,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA22310,7,5,12,9,4,5,0,243,0,0,5,4,4,16,14,10,0,0,0,0,0,0,0,57,0,12,44,38,82,33,188,206,56,52,80,67,27,3,9,894,46,342,280,65,30,26,60,111,20,15,10,16,4,0,29,1045,0,3,7,34,47,98,201,117,35,22,33,69,29,16,30,733,0,0,0,9,38,78,250,159,32,39,20,32,14,10,7,684,3,11,31,51,25,12,10,3,0,0,0,3,0,0,6,154,0,8,46,119,247,154,337,198,63,62,78,55,26,0,22,1397,0,0,0,0,0,11,45,77,44,86,113,95,22,0,13,508,13,56,19,17,28,15,28,25,8,9,3,3,0,0,0,216,7,18,71,239,343,322,536,318,72,61,76,77,25,32,33,2225,0,0,7,0,19,8,19,6,3,0,0,0,0,0,4,63,0,0,0,7,5,12,24,39,10,13,24,11,5,0,0,148
LGA22410,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,9,0,3,0,0,0,0,0,0,0,0,26,3,14,4,4,0,0,0,0,0,0,0,0,5,0,3,24,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,5,6,11,9,9,0,0,0,0,40,4,60,13,4,10,0,0,4,0,0,0,0,0,0,5,98,0,4,10,49,66,52,59,26,4,3,0,0,0,0,10,286,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
