LGA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
LGA21270,0,0,0,0,0,3,12,11,0,0,0,7,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,43,9,12,6,0,3,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,8,3,6,5,3,0,3,0,0,0,3,46,6,35,67,37,35,25,51,35,10,14,17,37,12,9,15,401
LGA21370,0,0,0,0,28,21,41,88,29,24,24,46,17,4,8,328,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,23,0,0,5,3,0,0,0,4,50,0,0,3,0,0,0,19,17,4,3,7,14,3,0,0,66,0,0,0,0,0,0,0,7,4,0,0,6,0,0,0,10,0,0,0,0,0,6,13,15,6,0,0,8,0,0,10,57,45,142,269,102,71,24,48,24,0,4,4,3,4,6,51,788,0,0,0,10,9,8,11,9,0,0,0,0,0,0,0,50,0,0,0,0,5,0,9,7,0,4,0,0,3,0,0,29,10,37,52,21,10,27,28,55,6,5,6,16,11,0,11,306,86,342,446,227,217,206,394,359,87,93,115,150,64,14,146,2937
LGA21450,0,0,0,19,102,75,361,302,53,39,46,81,20,0,20,1125,8,8,10,11,76,17,16,6,4,0,0,0,0,4,0,157,0,6,3,13,16,11,74,21,9,3,0,5,0,5,0,156,0,0,14,42,86,59,218,91,18,12,18,22,3,3,12,601,0,10,22,46,119,172,797,629,106,117,98,101,28,8,20,2279,0,0,0,0,5,16,17,35,5,9,25,29,13,0,5,148,0,0,0,6,22,29,59,50,11,8,7,18,8,0,5,218,113,432,1207,870,690,284,851,370,39,25,33,22,10,5,147,5100,0,3,9,16,32,39,64,47,4,10,7,7,0,0,9,248,0,0,0,5,33,33,30,47,11,0,5,6,5,0,5,188,34,124,346,392,589,513,1464,704,131,91,89,114,36,16,109,4745,269,1243,2130,1899,2503,2074,7815,5046,969,957,845,990,318,122,577,27773
LGA21610,0,3,3,122,829,862,2097,1600,292,274,282,384,127,27,85,6990,13,19,74,105,648,244,125,50,6,4,0,0,0,0,17,1313,0,0,12,25,146,87,327,198,42,28,38,21,18,4,15,965,0,8,30,210,431,269,723,266,50,52,52,38,20,12,16,2199,3,10,172,370,1362,2006,5411,3006,509,524,576,637,247,41,155,15026,0,0,0,6,17,39,83,74,23,20,36,39,9,0,5,356,0,0,0,13,149,139,284,176,43,33,39,38,17,0,22,958,165,914,2486,1898,1491,590,1447,642,103,82,63,43,18,5,254,10201,0,15,11,49,43,99,180,139,32,33,43,19,10,3,18,708,0,0,3,174,477,413,529,289,56,60,44,30,24,20,53,2169,105,411,1599,2571,5000,4983,6719,2699,618,664,544,496,176,87,508,27187,521,2961,6918,7820,15203,17646,47539,28007,5348,5551,5163,5676,2095,817,2524,153792
LGA21670,0,0,0,0,8,0,5,20,14,6,6,17,5,0,0,84,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,21,103,202,94,49,13,17,8,0,0,0,0,0,5,29,534,0,0,3,4,0,0,7,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,16,23,28,16,13,20,6,0,0,0,0,0,0,13,141,35,202,293,193,138,50,96,75,20,17,19,25,15,5,64,1241
LGA21750,0,0,5,0,10,6,21,18,7,7,7,17,0,0,5,102,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,6,0,8,3,0,0,0,0,0,0,0,18,0,0,3,0,0,0,7,13,0,9,9,0,5,0,0,32,0,0,0,0,0,0,5,14,14,14,35,44,15,0,0,146,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7,24,31,108,172,73,62,30,43,28,9,0,10,3,0,0,16,585,0,0,5,6,4,10,13,9,0,0,3,0,0,0,0,44,0,0,0,3,6,3,5,4,0,0,0,0,0,0,0,17,7,29,35,27,13,27,70,32,9,5,4,20,5,31,10,316,61,247,266,184,194,135,346,253,77,99,160,146,40,27,65,2309
LGA21830,0,0,0,0,4,0,13,20,3,3,11,12,6,6,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,8,0,0,0,0,0,0,0,4,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,9,13,50,96,50,35,21,29,8,3,0,3,5,0,0,18,333,0,0,0,3,0,5,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,20,9,13,10,29,13,0,6,6,16,4,0,10,143,25,136,144,103,103,115,219,120,38,22,36,50,22,8,56,1191
LGA21890,0,0,0,42,223,105,158,197,55,57,80,112,9,8,26,1075,12,16,17,17,69,18,19,18,4,4,0,3,0,0,6,203,0,0,3,26,34,64,114,39,12,13,12,15,6,5,0,338,0,0,8,28,91,64,120,40,10,21,19,11,3,0,10,426,0,3,28,22,135,131,132,91,41,46,72,74,36,0,16,839,0,0,0,0,15,35,44,41,14,10,5,12,0,0,3,185,0,0,0,4,48,45,111,80,27,36,29,13,7,4,13,419,37,184,467,443,452,432,841,587,102,100,111,85,23,23,77,3981,0,0,19,65,72,121,180,145,44,50,48,32,28,11,16,829,0,0,3,375,720,415,304,298,66,79,64,92,37,4,57,2517,66,245,528,774,754,917,1099,932,267,297,333,384,141,30,171,6943,347,3369,6508,3831,4843,4578,7611,5777,1489,1794,2240,2150,676,172,1295,46684
LGA22110,0,0,3,5,35,35,44,61,18,35,16,27,7,6,18,310,0,0,0,4,9,0,0,3,0,0,0,0,0,0,0,32,0,0,0,6,4,0,5,4,0,0,0,0,0,0,0,24,0,6,7,18,17,26,40,14,3,0,8,4,3,4,0,153,0,6,9,0,3,0,3,14,3,3,0,0,3,0,0,49,0,0,0,0,0,0,3,7,0,5,3,4,0,0,0,17,0,0,0,0,7,7,11,26,10,4,11,9,4,0,0,85,114,360,729,362,213,73,174,62,6,10,3,12,0,0,100,2216,5,3,9,23,10,9,25,11,6,0,4,0,0,0,0,116,0,0,0,6,5,20,25,20,8,0,4,10,0,0,7,101,25,95,118,87,60,36,66,60,15,13,11,39,14,3,24,668,225,889,1131,707,566,353,626,455,114,116,113,147,49,21,261,5784
LGA22170,0,0,0,33,213,195,310,192,67,56,71,99,24,5,24,1298,3,19,26,24,151,75,32,18,3,0,0,4,0,0,6,366,0,0,9,8,31,17,41,18,0,0,0,0,0,5,3,146,0,3,8,77,133,126,339,164,33,22,14,25,8,7,10,969,5,12,63,57,124,108,116,53,10,11,12,14,0,0,4,592,0,0,0,0,5,20,16,24,3,3,0,3,3,0,0,84,0,0,0,12,24,34,106,87,26,21,28,21,7,3,16,389,205,742,2268,1516,1253,515,1261,676,79,75,48,53,29,12,264,8988,3,3,17,34,68,79,119,56,16,20,19,12,5,7,3,457,0,0,0,23,47,46,59,51,8,5,7,8,6,0,8,265,65,201,472,584,679,772,1111,536,118,81,85,87,48,13,102,4951,444,1826,3872,3266,4155,3277,6211,3276,653,534,578,621,247,101,727,29803
LGA22250,0,0,0,0,8,4,15,8,13,0,8,6,4,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,19,4,0,0,0,0,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,13,12,35,77,20,5,3,10,0,0,0,0,4,0,0,7,177,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,6,3,3,7,8,0,0,0,0,3,0,0,54,19,87,105,55,43,54,71,46,20,16,11,29,10,0,21,593
LGA22310,0,0,3,27,147,84,145,167,63,62,59,97,37,4,10,899,199,261,149,86,252,64,46,28,3,7,0,9,3,0,42,1151,0,6,10,41,60,76,162,105,26,32,18,12,16,4,3,575,0,14,35,220,771,986,960,215,53,76,72,81,46,16,31,3568,0,18,103,150,193,117,163,99,24,33,48,35,9,11,15,1025,0,0,0,4,26,56,58,75,14,10,21,11,10,8,6,300,0,0,0,4,36,37,115,87,17,27,33,33,11,5,9,422,136,324,685,586,517,435,940,621,104,130,141,119,49,27,97,4914,4,10,40,103,115,139,279,210,58,56,50,58,24,23,37,1203,0,0,0,144,205,96,166,167,39,78,70,79,36,3,8,1097,354,774,693,1526,1754,2621,2100,1274,316,337,393,398,139,104,246,13026,1008,2570,3811,4122,5928,6975,10870,7391,1968,2323,2701,2929,1023,406,1018,55039
LGA22410,0,0,0,6,18,18,22,21,8,11,8,10,5,0,3,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,10,19,3,0,0,0,7,0,0,0,51,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,3,7,9,0,6,5,3,3,0,0,42,16,95,194,97,60,26,24,15,0,0,0,4,3,0,30,566,0,0,4,6,3,3,6,4,0,0,0,0,0,0,0,30,0,0,0,0,3,4,3,6,0,0,0,0,0,0,0,21,9,17,37,25,31,21,24,24,3,0,6,9,0,0,9,204,38,214,296,197,223,155,213,143,38,53,52,39,23,8,75,1762
LGA22490,0,0,0,0,10,7,13,0,3,0,0,4,0,0,3,35,0,0,9,0,8,3,0,0,0,0,0,0,0,0,0,19,0,0,0,4,0,0,8,0,6,0,0,0,0,0,0,18,0,0,5,11,0,6,9,13,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,13,5,0,5,0,5,0,0,3,28,24,98,292,162,141,49,140,46,5,0,0,6,0,0,35,995,0,0,4,13,9,3,16,0,0,3,0,0,0,0,0,48,0,0,0,0,4,5,3,3,0,0,0,0,0,0,0,10,3,33,74,54,40,25,35,19,4,9,4,4,0,0,11,320,52,279,466,326,329,183,342,149,24,18,11,28,5,6,97,2308
