LGA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA21370,31,17,200,182,24,386,17,262,22,1147,79,133,355,227,92,175,59,238,22,1384,328,596,603,361,243,207,171,406,46,2963,548,572,461,336,302,190,178,405,40,3032,699,540,484,459,424,268,332,508,55,3777,729,457,383,439,438,239,394,504,68,3651,361,155,99,108,124,75,100,153,31,1193,101,16,10,0,13,3,8,23,23,192,17,0,0,0,0,4,0,0,11,29,2898,2482,2592,2125,1660,1538,1270,2489,319,17368
LGA21450,54,40,505,451,103,1125,81,831,44,3243,263,487,1193,874,575,775,317,730,102,5316,1340,2934,3052,1783,1750,993,1148,1410,287,14702,1957,2930,2273,1591,1782,843,1199,1084,284,13941,1744,1909,1734,1317,1814,786,1028,1061,225,11614,1151,1083,1107,822,1250,477,842,819,136,7697,333,339,234,136,309,119,192,208,47,1921,97,33,22,9,21,8,5,21,27,241,21,0,0,0,0,0,0,0,9,32,6957,9756,10124,6994,7609,5134,4821,6165,1163,58709
LGA21610,118,168,977,1043,373,3139,370,1938,157,8280,702,1867,3166,2425,1881,2828,1271,2273,444,16844,3715,8723,7271,4913,5173,2830,3675,3967,1038,41305,5640,9956,6764,5238,5854,2528,4192,3791,963,44923,4596,5602,5192,4037,5148,2008,3600,3617,718,34518,2679,2783,3249,2375,3787,1413,3073,2742,411,22510,561,704,641,406,785,288,614,652,91,4739,75,66,41,22,48,39,26,62,24,397,10,4,3,0,0,0,3,3,11,33,18090,29881,27300,20449,23051,15072,16825,19037,3853,173556
LGA21670,8,0,43,42,7,119,8,72,3,300,22,28,70,64,27,74,13,68,5,361,53,129,152,136,63,66,56,127,15,798,93,90,122,120,83,47,57,124,13,737,132,114,160,176,113,77,88,148,26,1038,130,124,142,149,118,81,102,184,26,1067,88,48,32,30,32,23,28,47,10,342,19,5,7,0,4,0,4,7,3,48,4,0,0,0,0,0,0,0,0,5,561,529,729,722,449,481,354,772,103,4693
LGA21750,35,9,99,89,11,227,6,233,15,734,55,49,159,120,45,95,47,207,11,794,215,289,378,233,139,131,105,499,41,2023,338,312,280,220,189,99,150,342,31,1959,405,294,244,294,236,122,207,318,42,2160,391,296,210,238,224,120,211,298,39,2031,247,118,66,56,67,56,64,98,17,795,74,9,0,0,10,5,5,14,8,122,10,0,0,0,4,3,0,0,8,22,1770,1379,1434,1255,929,861,792,2011,209,10642
LGA21830,34,3,64,60,6,123,23,132,11,468,69,43,127,91,21,48,49,136,6,584,235,198,173,118,75,57,95,237,19,1202,336,212,154,112,96,66,92,156,28,1241,469,190,185,159,159,90,132,208,25,1616,472,190,172,171,161,81,174,214,19,1644,285,58,31,31,52,26,47,81,23,640,107,8,7,0,11,9,6,17,5,169,8,0,0,0,0,0,0,0,0,10,2012,894,911,758,584,497,618,1173,139,7583
LGA21890,32,71,157,490,122,963,44,490,38,2408,263,1037,857,1393,755,1143,301,707,139,6580,2476,9250,2594,2505,2477,1360,786,1316,448,23206,3719,7955,1808,1393,2136,741,542,747,329,19369,3039,5295,1510,1224,2160,796,665,853,243,15798,1334,2812,950,833,1444,511,574,801,149,9412,251,639,220,184,301,114,140,233,41,2125,23,45,11,10,15,10,6,33,15,170,3,3,0,0,4,0,0,0,0,18,11135,27103,8116,8027,9420,5644,3059,5176,1409,79087
LGA22110,22,15,185,190,24,389,28,271,31,1163,78,89,274,272,86,146,65,233,26,1275,317,631,568,456,275,247,178,448,68,3189,474,630,491,491,349,209,170,423,70,3315,644,674,498,573,530,286,268,489,69,4023,705,705,512,540,554,319,341,558,91,4328,456,215,132,133,203,95,127,169,48,1577,146,33,12,5,22,7,15,20,26,289,22,0,0,0,0,0,0,3,7,34,2869,2996,2675,2660,2042,1698,1199,2626,438,19190
LGA22170,51,36,459,529,100,1322,92,866,60,3508,258,543,1210,1041,509,982,306,736,103,5683,1483,3553,3233,1836,1698,1078,742,1220,284,15133,2402,3574,2582,1704,2060,993,849,1165,277,15612,2224,2775,2154,1711,2232,1003,1113,1237,248,14690,1356,1740,1514,1297,1877,829,1021,1137,173,10938,308,505,354,268,470,209,232,287,62,2692,40,59,25,16,34,29,14,40,18,271,0,0,0,0,0,0,0,5,5,16,8120,12782,11535,8402,8986,6439,4361,6696,1227,68545
LGA22250,6,5,49,40,6,59,9,43,3,221,29,31,80,35,18,30,22,67,4,304,92,112,120,87,51,32,49,97,18,658,166,136,111,68,77,55,51,81,9,756,238,112,107,107,99,65,80,122,19,949,254,115,104,95,112,74,98,164,16,1035,138,42,31,15,24,34,40,45,9,377,46,3,4,0,11,0,5,10,12,89,4,0,0,0,0,0,0,0,0,11,970,545,604,448,401,344,348,632,96,4391
LGA22310,38,120,146,794,181,1100,78,574,50,3080,323,1434,697,1276,952,1256,206,542,126,6815,2288,7845,1831,1673,2134,1231,493,808,358,18674,4263,7779,1341,1058,1960,921,312,453,397,18484,4208,6168,1188,1172,2246,902,289,438,268,16880,2191,3793,927,892,1742,683,329,470,159,11191,617,1445,314,277,592,281,131,199,66,3921,71,171,41,35,77,48,13,41,22,511,8,15,3,0,9,7,0,8,7,65,14008,28781,6484,7182,9896,6432,1861,3535,1448,79628
LGA22410,17,3,73,83,17,200,16,147,17,561,26,51,143,112,37,68,59,100,9,607,141,265,227,218,109,85,152,174,25,1402,222,252,261,178,131,78,172,187,42,1527,312,270,283,248,215,120,214,241,51,1952,351,274,196,218,204,101,293,270,33,1935,255,90,46,55,65,25,47,83,19,685,101,8,0,0,3,4,8,8,10,153,9,0,0,0,0,0,4,0,4,16,1418,1225,1230,1115,786,674,960,1218,212,8834
LGA22490,23,9,157,116,18,277,25,197,14,838,51,68,212,140,64,123,52,134,13,857,211,410,488,287,236,110,151,164,33,2090,394,543,552,289,389,149,186,228,50,2771,454,498,509,359,409,170,273,281,45,3012,308,360,291,241,272,118,219,233,32,2084,154,96,75,39,64,26,56,68,9,591,61,4,3,0,3,0,3,0,3,83,5,0,0,0,0,0,0,0,0,7,1659,1992,2293,1477,1466,977,968,1312,200,12341
LGA22620,53,34,456,517,129,1326,114,918,59,3604,226,638,989,1059,490,774,269,806,95,5336,967,3338,2120,1657,1173,828,636,1317,186,12206,1565,3073,1612,1364,1413,645,635,1088,166,11565,1711,2533,1316,1405,1630,698,776,1001,176,11248,1235,1838,1077,1247,1438,610,816,1083,152,9493,421,556,239,263,335,160,219,283,53,2521,100,37,20,8,25,28,16,35,28,296,12,3,0,0,0,3,0,0,8,32,6276,12043,7830,7514,6637,5067,3472,6529,928,56299
LGA22670,28,72,145,293,115,872,102,589,53,2256,260,913,963,991,649,1166,696,1307,214,7156,1322,4194,2971,2066,2040,1253,2109,2915,614,19477,1665,3025,2402,1645,1835,825,1775,2275,442,15894,1147,1491,1814,1333,1297,638,1730,2287,316,12058,761,740,1204,875,925,417,1495,1905,207,8529,194,271,297,211,270,113,331,400,55,2134,17,26,25,12,28,7,9,42,13,181,0,0,3,0,0,0,0,0,7,14,5406,10732,9815,7423,7147,5293,8242,11725,1915,67704
LGA22750,94,75,880,1324,211,2759,213,1682,97,7338,540,1434,2327,2742,1053,2070,736,1588,215,12699,2704,8541,5395,4057,2929,1934,1713,2506,481,30254,4061,7804,4003,3121,3271,1489,1380,1976,489,27591,4036,6000,3280,3247,3497,1518,1669,2069,462,25772,2655,4152,2314,2562,2917,1358,1708,1988,302,19949,737,1237,537,505,808,373,435,599,123,5346,146,115,43,32,58,31,34,78,52,587,15,10,4,0,9,4,0,6,11,54,14977,29365,18789,17599,14732,11517,7881,12494,2241,129587
LGA22830,40,32,246,219,83,742,33,448,41,1876,145,286,549,459,229,333,128,418,54,2596,647,1504,1082,799,587,396,337,898,128,6369,902,1300,770,686,620,342,355,780,121,5876,1100,1054,687,714,817,434,505,819,115,6238,957,819,597,528,750,347,468,702,94,5262,375,277,148,124,227,90,155,221,42,1656,90,26,13,5,28,17,19,22,14,228,14,0,0,0,0,0,0,0,8,26,4266,5305,4090,3533,3332,2698,1995,4311,606,30136
LGA22910,6,4,34,67,6,80,9,84,10,303,14,12,86,66,16,36,15,67,6,325,146,149,236,148,82,55,38,102,17,969,251,335,228,127,131,55,38,133,17,1313,354,432,242,198,187,95,84,144,37,1782,337,409,203,196,199,111,89,192,27,1757,168,159,46,36,58,27,42,46,20,599,61,13,3,0,9,3,0,9,6,102,0,0,0,0,0,0,0,3,0,3,1338,1529,1079,839,685,466,315,773,135,7159
LGA22980,10,0,16,10,3,23,12,42,3,120,13,17,29,20,12,10,9,39,4,162,72,101,78,43,29,31,33,88,13,487,91,66,40,37,33,21,35,42,7,366,122,67,31,53,52,24,51,64,6,467,162,67,46,71,55,30,61,85,10,577,75,10,11,5,16,7,14,20,0,158,34,0,3,3,6,6,0,7,0,58,11,0,0,0,0,0,0,0,0,11,582,336,251,243,206,135,214,381,46,2402
LGA23110,18,36,148,312,78,681,71,425,26,1793,153,474,490,562,380,551,195,342,58,3203,1155,3171,1329,939,1200,579,536,591,211,9716,2409,3863,1204,839,1482,509,465,467,225,11466,2119,2723,1017,817,1526,535,615,552,205,10109,1117,1713,778,618,1214,385,569,565,122,7067,212,347,162,135,256,90,129,143,42,1518,18,35,18,9,21,9,7,19,14,144,5,0,0,0,0,0,0,0,3,12,7207,12360,5147,4230,6157,3335,2586,3099,900,45021
LGA23190,18,4,117,80,19,200,22,150,3,612,39,105,193,139,91,105,44,118,4,839,186,532,367,271,190,145,97,206,40,2023,315,400,246,210,223,126,115,146,40,1805,396,360,212,255,262,135,132,179,30,1956,411,277,204,228,247,152,167,190,28,1902,181,65,56,48,67,42,48,62,6,582,59,10,9,0,8,11,7,12,18,131,6,0,0,0,0,0,0,0,4,14,1610,1751,1400,1231,1095,909,629,1055,176,9857
LGA23270,87,80,621,521,213,1875,176,1038,108,4726,440,1123,1979,1576,1219,1753,858,1353,300,10597,2326,5962,4687,3387,3561,1759,2593,2488,760,27527,3183,5352,3667,3135,3399,1384,2690,1993,605,25405,2368,2705,2642,2394,2803,1146,2153,2029,411,18647,1439,1584,1760,1501,2258,931,1834,1542,231,13083,290,412,326,271,464,206,327,346,62,2703,31,33,27,11,25,18,14,32,5,202,0,0,0,0,4,0,0,0,6,11,10159,17264,15706,12797,13945,9065,10648,10826,2481,102892
LGA23350,10,6,79,112,13,153,8,132,12,531,22,40,114,83,40,45,26,70,6,447,129,251,265,126,106,73,65,128,16,1164,262,425,227,171,142,82,87,146,20,1550,410,472,264,203,211,105,142,189,38,2027,375,373,197,190,241,104,146,207,28,1864,197,135,34,56,53,31,57,49,16,640,81,9,3,0,3,0,5,8,6,131,11,0,0,0,0,0,0,0,0,21,1495,1717,1173,942,818,594,539,933,152,8366
LGA23430,51,91,346,703,173,1477,100,782,49,3778,267,969,1070,1126,708,1240,271,589,99,6333,1894,5637,2424,1564,1932,1059,609,907,315,16342,3790,6444,2233,1479,2531,1014,518,683,335,19035,3861,4894,2141,1709,2972,1181,805,1016,302,18886,2117,2653,1557,1252,2423,889,838,945,175,12852,514,780,436,293,705,267,240,340,64,3632,62,94,47,16,54,37,13,43,25,399,7,4,3,0,3,4,0,5,10,28,12556,21568,10259,8153,11486,7176,3400,5311,1381,81284
LGA23670,57,88,459,615,176,1638,121,880,55,4084,336,1117,1298,1070,821,1390,380,783,130,7322,1707,5163,2708,1663,2163,1140,664,981,302,16499,3054,5588,2479,1541,2496,1096,767,934,364,18322,2891,3754,2443,1796,2896,1192,1038,1223,297,17536,1944,2648,1895,1374,2588,910,1085,1206,223,13869,463,698,442,323,626,248,308,389,74,3577,38,76,45,17,49,21,16,41,4,310,3,3,0,0,6,0,0,0,4,12,10483,19146,11758,8397,11818,7638,4374,6452,1453,81521
LGA23810,35,17,304,317,82,820,38,435,46,2093,124,309,649,531,350,435,113,328,40,2884,523,1474,1345,982,905,514,421,727,148,7027,693,1272,1053,768,950,370,492,672,133,6406,768,993,919,828,1009,449,583,767,116,6434,618,842,918,668,866,353,596,678,117,5655,227,247,176,151,195,94,150,164,48,1457,50,26,9,17,21,9,10,18,16,168,8,0,0,0,0,0,0,0,0,18,3054,5175,5379,4260,4382,3044,2399,3782,668,32139
LGA23940,8,0,20,21,0,41,10,44,8,147,21,14,30,25,6,7,5,41,3,163,92,65,57,50,33,21,26,76,15,432,144,69,48,44,45,25,38,72,12,494,194,95,61,60,59,32,45,96,7,643,261,66,60,67,78,40,80,96,12,762,204,19,9,16,30,12,22,28,4,346,60,0,0,0,0,0,0,10,6,79,9,0,0,0,0,0,0,0,4,17,987,337,293,279,258,180,230,461,61,3085
LGA24130,25,17,255,310,49,461,32,371,17,1529,73,132,418,313,142,235,65,227,39,1648,378,881,757,470,380,181,189,311,64,3607,1034,1726,871,493,691,219,193,292,78,5601,1325,1691,834,636,898,340,307,371,96,6503,871,1132,600,448,691,284,269,318,85,4699,273,383,140,98,232,75,82,109,24,1417,110,49,17,15,24,8,12,16,9,255,10,0,0,0,0,0,0,0,4,20,4098,6014,3885,2776,3107,1807,1151,2012,427,25279
LGA24210,38,105,210,577,161,1042,58,489,39,2725,287,1143,649,816,663,1140,154,423,81,5358,1297,4077,1208,871,1377,799,225,464,255,10567,2717,4719,1151,818,1600,809,272,354,258,12695,2930,3838,1285,1046,1925,905,343,549,248,13072,2000,2727,1077,881,1607,773,385,652,161,10262,587,916,289,231,557,232,121,216,68,3214,141,169,47,28,80,48,16,34,25,592,13,9,0,0,8,4,0,0,0,38,10003,17706,5918,5263,7979,5753,1576,3185,1142,58529
LGA24250,6,0,46,61,6,58,0,54,9,242,10,15,69,38,14,34,13,35,4,228,91,125,156,107,44,56,31,80,9,703,151,196,160,109,100,66,49,69,12,922,208,164,151,104,111,77,57,80,12,972,232,165,132,89,131,100,74,121,23,1056,121,75,37,35,50,31,30,47,7,428,28,8,4,4,3,4,0,5,3,59,3,0,0,0,0,0,0,0,5,7,852,748,757,545,455,424,260,494,79,4610
LGA24330,12,35,63,266,64,499,19,255,20,1240,176,593,396,747,517,662,235,450,81,3847,1749,5731,1496,1542,1834,1020,719,973,308,15379,2525,4813,1056,842,1472,504,409,540,214,12360,1733,2591,741,678,1102,365,460,505,158,8335,684,1234,464,414,718,284,447,471,92,4816,142,239,89,75,145,67,111,125,18,1000,20,17,4,4,5,9,0,9,8,74,0,0,0,0,0,0,0,0,0,3,7038,15251,4310,4565,5859,3407,2402,3333,896,47058
LGA24410,42,49,371,545,95,1103,69,667,40,2985,239,643,1028,877,507,906,220,531,93,5039,1245,4246,1997,1284,1415,759,449,785,239,12414,2438,4765,1698,1189,1759,690,417,686,251,13896,2248,3247,1623,1279,2028,716,503,744,208,12592,1458,2010,1173,1013,1703,634,525,695,128,9342,296,569,256,218,461,175,153,229,42,2403,41,75,34,20,31,25,15,25,17,281,5,7,0,0,3,5,0,4,6,31,8009,15617,8179,6429,7997,5014,2353,4367,1017,58987
LGA24600,43,184,80,760,177,570,34,403,34,2278,595,3464,1070,3045,1683,2071,406,1341,294,13963,3919,17770,3568,4091,4153,2274,997,2651,702,40117,3418,7934,1344,1125,1927,688,340,683,322,17774,2106,3249,517,539,1022,378,201,286,157,8463,1390,1992,277,333,757,240,144,241,94,5475,451,866,67,72,234,95,43,55,45,1932,84,157,6,3,17,18,3,12,26,323,3,7,0,0,0,0,0,0,4,22,12006,35631,6928,9971,9970,6328,2166,5671,1670,90347
LGA24650,49,69,497,472,196,1815,179,907,80,4265,339,826,1366,1006,934,1266,657,860,197,7444,1659,4312,3092,2474,2754,1350,2149,1659,525,19969,2820,4875,2869,2604,3362,1272,2617,1652,500,22573,2182,2657,2063,1938,2700,1046,2067,1590,367,16611,915,1025,1100,1028,1416,636,1358,1035,197,8703,179,209,212,193,296,105,266,271,40,1767,10,17,11,9,13,6,7,29,6,109,0,0,0,0,0,0,0,0,8,5,8154,13993,11205,9727,11670,7491,9295,8000,1912,81442
LGA24780,36,25,208,150,48,604,43,362,29,1505,131,200,464,361,183,319,112,339,69,2185,547,1155,855,728,446,383,331,853,138,5444,781,961,683,553,537,286,335,633,109,4878,916,917,578,609,635,375,361,625,137,5146,802,640,454,537,574,323,443,636,90,4490,326,184,119,99,168,75,122,171,31,1287,54,14,8,7,12,8,8,17,23,141,10,0,0,0,0,0,0,0,8,24,3596,4105,3362,3035,2607,2371,1754,3642,626,25101
LGA24850,21,8,212,201,32,436,61,379,33,1397,117,145,494,411,154,259,143,302,49,2064,473,888,1142,779,619,335,442,548,127,5340,675,840,895,639,684,258,506,454,110,5060,704,700,744,599,747,296,499,472,95,4858,525,474,522,397,559,231,453,424,63,3652,191,157,135,80,149,55,119,99,26,1009,46,21,14,4,16,0,0,8,3,116,6,0,0,0,0,0,0,0,0,9,2762,3238,4156,3110,2969,1869,2220,2682,503,23504
LGA24900,26,8,155,134,16,236,17,213,25,829,76,70,246,158,66,107,47,185,17,973,275,389,439,307,174,130,130,422,47,2316,451,344,334,240,252,138,146,334,49,2297,570,348,320,303,328,190,221,409,46,2730,520,345,271,286,305,183,258,454,57,2682,277,116,59,65,93,48,102,105,25,881,77,6,11,8,7,3,4,16,15,143,10,0,0,0,0,0,0,0,0,19,2289,1630,1837,1498,1242,1045,925,2133,276,12870
