LGA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,9,0,0,17,9,15,10,47,37,41,34,33,44,272,140,310,234,516,397,516,416,285,182,2991,0,0,0,0,0,0,0,0,0,0,265,581,515,847,672,885,769,442,208,5172,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,21,34,22,5,94,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
LGA21370,0,0,0,13,0,0,0,0,0,21,0,0,0,0,4,0,0,0,0,6,0,0,0,4,0,4,0,0,0,10,0,6,3,31,21,13,24,19,7,125,61,113,112,291,164,210,210,168,109,1440,959,2292,1962,4053,2532,2891,2552,1629,766,19627,0,0,0,0,0,0,0,0,0,0,1802,4258,3732,6412,4189,4838,4160,2491,980,32855,0,0,0,12,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,3,0,7,0,0,0,0,8,0,0,0,9,0,5,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,27,15,9,3,0,0,54,0,0,0,3,0,0,0,7,0,12,0,3,0,9,0,0,0,0,3,18,3,6,8,46,59,150,168,163,53,648,0,0,5,5,0,7,0,0,0,18,0,0,0,11,3,0,0,3,0,22
LGA21450,0,4,12,65,22,14,5,0,5,119,0,0,0,16,4,18,9,3,0,52,0,0,9,51,19,10,6,0,0,94,7,57,157,566,233,223,163,100,34,1537,164,397,319,840,370,310,251,189,115,2951,4453,8607,6974,18526,7396,6045,4599,2430,902,59925,0,12,50,208,53,24,8,7,3,362,8619,15413,11410,22893,9747,7687,5368,2592,825,84558,0,9,19,140,27,12,13,0,0,220,0,0,0,49,21,15,7,9,0,97,0,4,8,21,10,6,0,3,0,57,0,6,15,72,23,19,7,5,0,142,0,17,16,42,25,14,9,3,0,132,0,0,9,54,40,37,35,7,4,187,0,33,45,329,89,77,50,20,4,643,0,0,0,25,25,47,38,36,7,174,3,31,48,96,46,21,17,17,5,278,7,106,261,612,690,907,860,587,183,4204,3,6,17,125,44,31,11,0,0,239,0,0,0,22,11,16,10,0,0,62
LGA21610,4,31,57,576,261,186,83,21,14,1241,0,0,7,24,14,31,21,14,10,113,5,28,56,198,72,21,11,0,0,390,37,302,684,2490,1522,1367,965,460,197,8034,556,1147,916,2495,901,708,570,356,183,7833,13534,26832,23017,57461,22866,18281,12320,6242,2646,183195,88,1133,2680,7295,2054,941,348,111,26,14679,25923,43893,29744,45458,19702,15079,9406,4533,1713,195450,0,50,60,447,120,51,27,5,0,771,0,11,32,475,237,277,143,54,6,1235,4,0,9,61,19,15,12,0,0,110,3,71,152,971,431,333,202,53,17,2231,0,30,35,86,60,26,22,9,0,268,0,6,15,190,265,250,196,103,21,1041,25,239,335,2559,999,940,532,176,47,5859,0,0,10,252,149,308,284,183,49,1233,6,73,186,363,164,198,181,102,38,1318,9,296,452,1097,1306,1860,1471,1146,410,8045,0,41,140,873,498,444,185,73,14,2276,0,5,13,64,48,36,21,19,13,197
LGA21670,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,13,4,8,4,50,14,62,41,90,71,82,75,65,33,550,259,700,590,1193,836,1098,1138,716,294,6836,0,0,0,0,0,0,0,0,0,0,495,1298,1125,1947,1377,1691,1728,1048,389,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,3,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,5,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,34,103,150,128,24,457,0,0,0,3,6,0,5,0,0,8,0,0,0,0,0,3,0,0,0,4
LGA21750,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,3,0,0,6,0,7,4,39,19,18,12,9,6,109,32,85,44,160,94,125,121,74,34,772,542,1247,1036,2504,1435,1613,1573,842,415,11200,0,4,3,16,0,0,0,0,0,25,1048,2348,2015,3869,2338,2660,2460,1285,511,18536,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,30,14,102,24,12,9,0,0,181,0,0,0,0,0,4,5,3,0,10,0,0,0,5,0,0,6,0,0,11,0,7,5,50,51,115,139,88,29,488,0,0,0,9,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,14
LGA21830,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,28,5,18,5,7,0,73,12,61,68,118,72,89,67,72,37,596,359,943,772,1571,1041,1275,1023,709,307,8003,0,0,0,0,0,0,0,0,0,0,712,1775,1474,2585,1730,2124,1782,1054,416,13656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,22,37,57,79,56,13,267,0,0,0,3,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,4
LGA21890,3,25,118,453,286,280,167,63,20,1408,0,0,0,13,9,4,7,5,0,30,0,0,7,40,7,4,3,0,0,61,32,136,153,1221,293,302,252,174,78,2638,114,228,320,1022,377,305,295,237,199,3099,3835,7047,8009,26899,10441,7959,5666,4143,2406,76410,0,6,7,36,19,3,3,3,0,71,7387,12778,12608,32615,14034,9034,4375,1754,1055,95646,0,19,30,163,13,10,5,0,0,241,0,4,0,57,19,33,27,21,6,166,0,3,11,169,10,8,0,0,0,211,0,3,14,24,31,10,18,3,3,110,5,18,16,237,82,28,13,4,0,402,0,4,0,90,40,33,22,12,9,204,16,73,411,1566,537,670,401,124,80,3868,0,4,0,26,31,71,73,95,34,334,0,10,10,70,26,45,83,52,18,316,28,145,133,1348,630,497,292,161,60,3296,0,4,6,65,42,38,31,8,5,194,0,5,5,174,56,29,16,3,0,295
LGA22110,0,0,0,35,14,7,3,0,0,58,0,0,0,0,4,4,6,7,0,28,0,0,0,4,3,3,9,0,0,14,0,12,5,47,39,35,47,30,13,222,57,193,149,385,251,296,346,245,130,2063,1043,2541,1976,4656,2992,4027,4258,2408,877,24769,0,0,0,0,0,0,0,0,0,0,2034,4601,3661,7081,4522,6109,6425,3332,1012,38772,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,15,13,24,10,7,0,75,0,0,0,0,5,0,8,0,0,17,0,4,3,43,18,18,14,0,0,93,0,0,0,0,0,4,3,5,0,12,0,0,0,14,0,3,16,6,0,31,0,18,23,100,147,396,583,464,137,1869,0,0,3,7,4,8,7,0,0,31,0,3,5,11,3,3,3,3,0,33
LGA22170,0,4,14,94,37,16,11,3,0,173,0,3,4,27,23,28,22,20,4,134,0,0,7,27,18,10,6,3,0,72,4,56,124,556,330,284,286,192,72,1902,168,377,370,978,427,355,296,270,131,3365,4259,8363,7557,19917,9666,8752,6858,3965,1913,71240,0,0,0,59,29,38,14,5,0,146,8172,15511,12968,28818,13085,10867,7759,3871,1566,102622,0,0,6,26,6,4,6,0,0,42,0,0,3,67,33,76,41,11,0,223,0,3,4,53,9,4,0,0,0,72,0,7,11,46,24,19,15,4,0,116,0,10,13,105,42,39,23,8,0,236,0,0,6,38,48,36,31,15,7,187,3,55,116,412,205,166,118,31,10,1110,0,0,4,47,35,59,51,45,12,252,0,4,14,24,8,23,40,32,8,147,11,160,313,1066,1105,1599,1420,1068,484,7224,0,0,17,89,69,44,24,11,6,271,4,7,7,49,26,26,24,9,13,158
LGA22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,9,0,0,14,13,43,40,73,64,62,68,57,25,448,257,580,444,957,662,846,848,543,234,5368,0,0,0,0,0,0,0,0,0,0,461,1069,831,1591,1109,1414,1459,883,341,9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,4,12,39,53,43,8,158,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4
LGA22310,3,29,90,292,115,62,42,11,0,641,0,0,0,14,6,4,6,3,0,38,0,0,9,44,18,12,10,6,0,99,32,227,268,1555,927,822,1009,616,367,5829,80,226,232,748,266,216,294,224,167,2454,3787,8900,8759,22716,10630,8338,6896,4084,2577,76690,0,0,0,31,0,0,3,0,0,35,7222,15101,13207,21922,12109,9238,6108,2722,1588,89214,0,0,12,84,10,7,0,0,0,113,0,4,0,59,18,10,24,6,3,122,4,19,19,188,41,15,4,0,0,297,0,3,8,31,19,15,7,4,3,87,3,25,15,141,93,45,24,12,0,366,0,7,0,70,47,21,13,14,5,186,25,350,896,3142,876,817,428,150,63,6732,0,0,0,42,23,29,39,54,15,199,0,7,11,41,14,41,81,73,35,296,35,254,257,1074,728,623,561,349,173,4065,0,6,7,49,28,33,13,5,0,135,8,68,63,241,123,44,81,30,32,691
