LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA25990,28,15,11,18,14,3,9,8,8,107,55,34,17,49,35,15,7,14,4,225,159,32,219,128,58,41,107,109,17,863,10,0,4,3,7,0,3,5,0,47,5,3,0,12,6,6,8,8,0,44,0,0,0,0,0,0,0,0,0,3,15,0,4,6,5,5,7,17,7,73,400,375,285,257,191,74,143,174,39,1934
LGA26080,22,23,7,11,10,3,0,0,4,88,12,12,5,10,21,7,0,0,0,68,30,13,65,20,18,13,0,7,6,172,0,0,0,3,0,4,0,0,0,9,3,3,0,0,4,4,0,5,0,23,0,0,0,0,3,0,0,0,0,5,10,3,0,0,5,0,0,5,0,25,183,383,113,93,110,55,6,38,24,1012
LGA26170,139,127,33,69,76,28,14,36,6,527,153,138,74,236,141,57,19,61,16,895,663,129,1274,394,304,192,327,383,56,3731,35,12,21,29,31,31,15,36,0,208,26,20,18,53,31,22,15,33,6,212,11,17,3,7,7,4,3,9,5,59,47,21,35,32,27,33,29,36,31,297,1640,2030,1561,1072,833,422,445,669,152,8826
LGA26260,118,71,22,39,38,11,7,14,3,323,143,77,30,147,72,27,11,32,6,540,427,67,611,247,185,125,135,255,29,2070,29,3,4,18,24,21,9,36,0,151,31,3,6,9,26,13,5,14,3,114,7,3,0,9,5,0,0,3,0,28,31,19,19,19,9,12,11,24,13,158,1123,1183,732,612,474,241,180,428,68,5037
LGA26350,522,614,179,219,339,220,40,67,32,2231,637,707,308,522,534,343,48,142,53,3286,590,324,1154,512,453,346,90,210,63,3732,48,25,23,49,57,51,14,21,0,301,142,109,41,79,152,89,13,27,17,668,82,158,34,37,44,37,0,12,13,427,118,185,45,42,91,51,9,38,136,718,10504,23799,2857,3090,5334,2923,511,1067,846,50927
LGA26430,88,37,31,44,30,13,0,11,0,263,66,50,38,85,40,13,6,31,6,336,218,54,379,156,119,54,101,181,21,1273,3,3,9,7,14,3,3,30,0,71,16,4,7,13,9,6,0,17,0,74,8,0,0,7,6,0,4,3,0,23,45,10,12,13,10,7,7,21,14,134,703,658,522,391,293,123,133,331,57,3207
LGA26490,213,254,100,148,133,58,25,34,15,990,248,253,165,278,199,81,23,63,15,1330,580,160,1452,391,311,210,158,278,47,3597,12,11,13,15,31,27,3,12,3,135,44,36,20,40,48,36,11,25,3,264,16,21,4,13,11,4,5,6,0,88,43,42,32,39,27,27,11,38,33,294,2759,4930,2063,1517,1338,695,273,585,190,14345
LGA26610,68,68,21,53,35,12,6,20,4,281,118,103,40,166,88,30,14,75,13,653,426,104,709,288,257,133,150,272,48,2388,17,7,11,26,21,19,10,22,0,139,32,8,4,31,29,21,3,36,3,179,6,8,3,3,0,0,5,19,4,43,47,22,24,22,15,12,15,96,39,294,979,1217,869,732,541,255,226,639,124,5570
LGA26670,43,21,7,17,15,5,0,7,3,112,33,32,22,48,30,12,4,13,3,198,196,28,238,96,73,30,65,92,12,832,7,0,3,9,13,4,4,10,0,52,11,3,9,6,13,5,3,5,0,47,4,5,0,0,0,0,0,0,0,12,15,4,3,9,6,3,7,24,3,78,431,384,293,222,187,68,92,159,37,1873
LGA26700,129,109,51,132,82,30,13,20,9,574,172,196,93,330,142,51,23,73,20,1102,483,140,1222,557,369,234,299,407,47,3757,20,11,18,31,34,36,16,36,0,203,33,12,24,48,31,27,12,26,3,216,14,14,4,5,11,3,3,8,0,57,46,32,23,45,28,38,26,41,32,308,1429,2468,1540,1419,904,484,426,682,138,9486
LGA26730,105,147,54,107,93,39,19,38,7,594,162,179,122,377,189,90,27,88,19,1259,475,167,1453,719,436,278,254,463,70,4321,20,11,13,30,39,39,15,56,0,222,17,14,32,56,54,29,9,36,3,249,0,8,7,6,4,6,6,7,0,51,26,34,14,45,30,36,19,64,33,300,1355,3282,1832,1683,1152,614,379,890,159,11343
LGA26810,169,173,70,140,76,20,12,45,10,710,243,223,127,400,190,69,32,66,24,1370,721,216,1906,811,454,265,455,589,94,5515,35,22,32,43,44,39,14,51,10,297,52,23,32,56,47,24,32,34,8,301,14,13,9,6,6,7,4,13,3,85,82,46,44,52,40,38,31,66,37,434,2010,3090,2344,1846,1122,521,612,960,222,12721
LGA26890,51,17,5,5,6,4,0,3,0,87,37,15,3,33,19,3,4,10,0,118,163,14,82,48,32,15,32,58,12,448,16,0,3,0,0,5,0,11,0,30,8,0,4,3,3,0,0,5,0,24,6,0,0,0,0,0,0,0,0,8,28,8,3,4,0,0,4,4,3,58,383,210,104,117,83,30,48,100,22,1091
LGA26980,574,797,399,435,554,276,105,194,55,3393,798,833,742,1033,908,493,216,393,77,5493,934,460,2700,1105,878,534,369,591,102,7671,52,37,69,88,99,53,30,74,5,509,118,121,103,172,241,116,59,97,20,1041,60,161,41,51,63,40,20,38,9,476,106,160,98,105,112,84,50,71,169,962,10269,26396,6076,5712,7944,3723,1495,2516,1056,65189
LGA27070,669,739,672,732,815,301,326,280,73,4608,1094,996,1222,2344,1558,688,632,574,123,9233,1694,742,7227,2936,2054,1173,1634,1832,369,19663,82,56,98,176,279,143,105,137,14,1085,193,123,181,389,386,224,157,209,39,1904,72,132,102,97,98,47,73,71,20,714,109,207,217,253,252,148,157,216,274,1832,7938,18833,11631,10499,9557,4436,4444,4735,1431,73501
LGA27170,118,148,91,133,108,27,31,29,3,688,252,285,159,538,313,126,66,65,22,1819,593,300,1907,980,726,349,491,550,94,5992,28,3,39,45,57,46,26,51,3,304,30,29,18,75,65,34,20,39,6,321,11,14,4,17,10,4,8,7,5,73,21,31,36,44,35,17,35,47,35,294,1712,3365,2375,2280,1642,681,739,884,197,13876
LGA27260,693,776,763,689,781,336,597,358,82,5077,1326,1187,1500,2823,1720,758,1438,727,209,11685,1562,844,6399,2912,2217,1170,2506,2020,400,20023,85,61,86,164,208,133,182,175,14,1102,174,126,183,402,345,183,295,206,46,1950,143,253,126,145,128,92,132,111,39,1164,166,298,199,256,237,153,304,222,481,2310,11632,28318,12449,12479,12989,5716,8635,5914,2272,100398
LGA27350,352,553,154,184,226,142,31,60,16,1712,568,665,303,472,412,211,51,109,40,2825,523,377,1307,508,418,241,129,247,55,3812,53,34,30,56,54,26,7,33,0,297,94,83,56,78,88,53,13,32,9,502,57,148,20,20,23,20,5,3,5,308,69,124,50,60,40,41,9,35,124,550,9013,25042,2998,3146,4416,2012,458,919,670,48667
LGA27450,695,786,419,642,639,199,76,143,43,3652,1093,1015,757,1582,1105,416,160,308,68,6517,2439,868,8720,2381,2007,939,1272,1681,308,20621,105,52,114,130,186,126,60,141,16,933,205,109,163,244,250,130,85,114,15,1316,60,81,34,46,54,18,9,24,14,332,150,139,139,173,156,94,79,127,188,1241,8268,14521,11176,6980,6395,2603,1977,2984,860,55768
LGA27630,56,24,4,18,17,9,4,12,0,138,33,17,9,57,21,3,0,3,8,156,191,27,154,100,57,41,56,79,17,726,11,0,5,9,10,9,0,12,0,48,12,5,0,11,9,0,4,7,4,50,4,4,0,0,3,0,0,0,0,12,17,7,3,6,5,4,5,18,7,72,396,318,191,237,146,77,89,141,34,1629
LGA29399,7,3,3,7,0,0,0,4,0,21,5,4,5,5,0,6,3,4,0,31,25,0,29,17,3,6,20,10,4,113,0,0,0,0,0,0,0,7,0,8,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,9,90,40,43,62,11,18,31,51,15,359
LGA29499,7,6,8,8,6,3,3,3,0,46,13,16,15,20,6,0,13,19,3,110,20,27,132,53,19,21,37,74,5,393,0,0,6,0,0,0,0,4,0,22,3,0,3,6,0,0,0,7,0,22,0,5,0,0,3,0,0,0,0,10,5,0,9,0,4,3,0,13,13,44,133,313,192,156,89,64,81,181,28,1239
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
