LGA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
LGA21270,35,78,161,174,243,277,118,15,0,1102,41,19,31,17,36,57,61,11,0,277,3,5,3,5,0,13,3,4,0,40,3,0,12,8,4,3,7,4,0,41,82,99,204,201,286,355,188,34,0,1459,0,9,5,3,9,12,0,0,0,50,0,0,4,0,0,6,0,0,0,12,0,9,14,3,7,18,0,0,0,56,85,112,216,203,300,369,195,34,0,1516,88,11,25,21,70,123,288,204,83,920,19,9,27,21,43,45,49,28,23,267,194,143,272,253,408,533,531,267,106,2699,7,30,93,59,117,124,28,4,0,456,41,40,79,102,160,169,60,4,4,651,0,0,17,10,3,8,8,0,0,57,4,0,6,4,6,0,6,4,6,29,56,63,189,172,286,303,105,14,9,1190,0,0,4,11,3,11,0,0,0,24,0,0,6,0,3,0,0,0,0,15,0,0,7,5,10,7,0,0,0,34
LGA21370,234,546,1192,1231,1504,1373,360,50,10,6494,300,125,206,194,225,378,259,58,10,1752,57,28,45,49,67,102,51,8,0,400,19,22,46,33,44,43,21,12,3,246,610,714,1504,1495,1839,1895,692,130,17,8901,20,34,47,35,50,49,9,0,0,237,37,19,13,11,10,13,13,0,0,115,61,48,65,39,56,67,20,4,0,353,665,765,1560,1538,1898,1957,712,129,17,9251,453,121,179,175,302,695,1677,1284,419,5307,71,59,152,118,187,170,200,157,66,1181,1187,947,1894,1834,2384,2822,2585,1573,507,15740,59,295,653,620,910,679,125,13,3,3348,393,307,650,806,882,941,309,40,0,4331,71,44,131,76,96,119,44,4,0,583,23,15,31,30,50,27,18,10,4,207,543,667,1464,1531,1932,1762,497,58,8,8473,14,21,26,17,17,23,4,0,0,107,39,21,23,18,32,33,8,0,0,171,52,41,48,34,49,56,9,0,0,286
LGA21450,489,1772,6142,6334,4949,3126,593,53,8,23450,928,756,1079,891,744,731,485,99,8,5722,130,105,213,174,165,185,68,12,0,1062,33,74,180,122,98,63,19,7,4,598,1582,2709,7614,7523,5954,4103,1163,163,23,30834,74,127,174,122,133,112,23,0,0,763,231,93,62,31,28,38,19,0,0,507,308,219,238,148,158,149,44,0,0,1265,1890,2927,7850,7672,6111,4255,1210,164,25,32102,1717,460,564,557,587,1118,2678,1893,504,10085,192,185,503,442,365,244,218,151,63,2367,3797,3577,8915,8672,7063,5618,4103,2210,591,44553,135,1055,3518,2895,2840,1572,212,16,0,12249,1319,1320,2744,3052,2509,1764,462,46,4,13215,175,180,708,370,226,207,69,5,0,1945,32,58,123,98,85,45,12,6,0,465,1667,2605,7086,6417,5660,3592,760,79,3,27871,41,95,156,120,79,51,3,0,0,544,267,112,146,152,67,65,21,0,0,822,303,201,299,272,142,115,25,0,0,1363
LGA21610,1064,4954,16795,19944,14873,9617,1623,78,7,68960,2614,3270,3996,3678,2770,2328,1078,162,11,19920,265,341,569,533,473,471,170,25,4,2852,73,277,671,542,303,195,54,19,4,2135,4013,8848,22043,24690,18423,12618,2931,281,20,93863,196,550,909,650,535,411,62,0,0,3304,949,442,206,135,115,162,68,4,0,2081,1142,995,1120,786,642,566,130,4,0,5383,5159,9842,23158,25469,19066,13186,3058,285,22,99250,6209,2050,2316,2262,2345,3998,7775,4833,1395,33187,511,674,1658,1358,973,741,504,350,146,6928,11878,12563,27135,29092,22386,17923,11340,5468,1567,139362,307,3032,9913,9904,8714,4753,603,17,4,37236,3500,4289,7331,9048,6581,4512,1059,82,0,36402,391,482,1603,995,594,511,124,6,0,4705,64,197,418,292,207,122,30,11,7,1348,4271,8003,19260,20229,16092,9892,1810,118,13,79692,125,347,527,407,317,202,20,0,0,1940,989,472,502,510,334,248,41,5,0,3099,1116,819,1034,911,648,450,58,8,0,5042
LGA21670,43,130,290,261,362,363,100,13,4,1553,79,48,87,70,113,115,78,17,0,598,18,10,13,17,18,34,10,0,0,127,4,3,15,6,7,16,0,0,0,65,146,193,404,358,501,528,187,38,4,2343,8,18,24,20,19,22,3,0,0,121,7,12,11,3,11,13,4,3,0,53,15,26,31,25,34,32,13,3,0,176,162,215,436,380,530,559,196,36,4,2527,169,59,94,96,219,368,842,617,186,2652,24,18,46,45,89,76,79,64,21,464,356,293,574,526,843,1006,1115,714,210,5645,16,61,169,157,222,198,46,3,0,865,120,98,171,202,279,302,94,10,0,1273,12,9,37,24,27,28,18,4,0,162,7,4,11,4,6,8,0,3,0,50,158,170,395,380,536,542,157,16,0,2346,3,10,18,9,13,14,0,0,0,64,11,4,3,5,9,16,5,0,0,52,18,16,21,15,23,25,4,0,0,113
LGA21750,132,323,830,787,816,721,206,35,3,3857,206,84,182,146,179,254,185,42,9,1284,33,13,31,42,51,75,29,0,0,279,6,3,28,26,26,20,19,8,0,125,377,426,1066,998,1063,1068,443,89,13,5546,10,12,33,18,31,12,3,0,0,112,19,11,0,13,7,11,8,0,0,73,27,20,38,29,37,25,11,0,0,190,404,451,1107,1027,1107,1087,447,89,13,5733,215,66,105,119,185,420,947,653,199,2903,35,33,94,76,92,105,109,68,28,635,653,548,1305,1230,1380,1612,1497,806,240,9276,50,180,419,371,483,356,94,3,4,1957,248,159,431,502,547,520,209,24,0,2653,37,20,89,78,57,77,35,0,0,396,16,8,15,7,9,15,9,8,0,92,352,371,951,959,1098,969,354,42,9,5101,0,4,7,9,12,13,0,0,0,50,13,7,8,13,11,15,0,0,0,73,11,16,21,19,23,28,3,0,0,126
LGA21830,102,272,517,495,652,644,219,61,0,2960,111,56,101,88,107,169,138,37,4,801,14,7,14,21,28,34,19,6,0,152,18,12,25,25,22,21,16,3,4,146,241,344,654,634,810,864,395,107,13,4063,5,0,20,15,18,8,0,0,0,63,10,0,5,0,9,9,3,0,0,33,12,0,29,12,24,18,3,0,0,96,254,344,684,652,834,878,403,107,13,4158,197,39,71,68,107,300,649,454,172,2053,45,29,66,58,85,78,78,55,32,519,495,408,818,774,1024,1257,1130,610,214,6731,30,112,248,237,392,288,78,16,3,1409,164,111,237,320,371,424,133,37,0,1804,16,15,47,30,25,43,15,5,0,195,18,7,12,17,13,21,12,6,0,111,225,246,552,606,804,778,245,61,8,3520,0,10,7,4,9,10,0,0,0,46,6,6,9,11,8,12,3,0,0,62,11,8,15,17,16,27,8,0,0,107
LGA21890,148,1264,7792,7644,6109,3313,576,38,0,26881,779,1618,2916,1719,1402,1163,523,58,8,10177,121,233,436,296,245,222,76,9,0,1639,14,78,234,151,110,52,20,8,0,668,1062,3196,11375,9804,7864,4747,1188,110,11,39362,44,191,390,286,299,196,19,0,0,1422,279,218,217,99,79,95,36,0,0,1026,322,407,601,387,378,296,53,0,0,2446,1384,3602,11980,10189,8247,5045,1243,112,11,41811,1875,887,1244,979,1301,1988,3383,2838,1312,15803,119,277,677,509,405,336,281,263,210,3065,3376,4769,13897,11681,9948,7361,4900,3216,1543,60688,52,994,7017,4934,4267,2221,295,7,0,19780,1086,2021,3859,3920,3346,2131,561,41,0,16971,199,311,784,612,257,245,71,11,0,2487,12,63,164,109,62,59,10,4,3,487,1348,3382,11832,9562,7929,4664,936,56,10,39721,23,99,241,175,162,103,6,0,3,809,277,192,230,199,146,110,21,5,0,1177,295,294,470,375,309,212,27,6,3,1986
LGA22110,212,441,1229,1205,1399,1314,426,79,12,6325,324,172,271,292,359,632,380,100,11,2550,42,28,50,67,78,170,72,10,3,532,29,24,47,43,35,41,28,13,0,255,608,670,1605,1604,1876,2152,910,204,30,9656,37,47,60,40,66,70,19,0,0,344,28,15,25,13,22,48,21,3,0,175,65,62,90,59,90,122,39,3,0,524,676,730,1693,1665,1964,2269,943,206,31,10175,463,128,246,277,439,1175,3162,2036,504,8428,75,75,159,183,223,280,303,225,109,1634,1209,937,2099,2122,2620,3725,4408,2464,640,20241,76,266,643,645,924,776,172,10,0,3504,393,296,774,931,1089,1179,437,60,0,5155,71,28,136,97,95,183,43,5,0,661,15,18,38,40,40,35,15,8,0,212,554,611,1584,1712,2149,2170,668,86,5,9533,11,14,29,19,34,29,3,0,0,139,30,10,29,29,39,57,15,0,0,209,42,30,58,49,76,79,18,0,0,353
LGA22170,488,1757,6186,6578,6091,4151,767,50,0,26070,1158,896,1069,996,1032,1135,600,113,13,7012,142,137,261,213,217,269,106,18,5,1363,22,59,140,138,91,62,22,3,0,538,1804,2848,7653,7920,7433,5613,1500,194,15,34983,75,179,278,197,202,193,21,0,0,1162,274,88,81,56,50,71,26,4,0,649,348,266,360,255,253,265,45,4,0,1805,2158,3115,8016,8174,7691,5882,1549,192,15,36787,1774,588,757,842,1084,1869,4202,2819,924,14870,200,197,536,535,548,429,307,259,167,3168,4132,3893,9306,9551,9322,8179,6062,3272,1106,54823,114,1036,3785,3346,3780,2328,353,6,0,14750,1379,1522,2784,3675,3111,2619,728,62,5,15871,186,234,766,550,307,323,94,5,0,2463,27,51,147,116,69,60,13,7,0,481,1704,2835,7479,7687,7255,5327,1192,83,5,33566,52,108,133,106,108,69,10,0,0,582,307,97,152,124,119,122,16,0,0,935,352,203,289,230,224,185,26,0,0,1512
LGA22250,46,134,291,339,398,417,118,31,0,1767,63,31,40,36,51,77,104,21,6,432,7,8,7,8,10,25,14,5,0,90,3,0,8,4,12,8,8,8,0,56,113,177,354,392,479,526,245,62,3,2349,8,14,17,6,11,19,0,0,0,66,0,3,7,4,0,6,5,0,0,26,4,10,21,9,12,27,6,0,0,95,119,189,372,399,492,556,255,62,3,2440,113,25,46,44,94,208,566,425,142,1666,13,28,29,54,43,59,79,37,27,368,242,242,440,495,633,826,898,524,179,4484,14,65,113,148,240,203,39,11,0,824,87,61,159,200,202,272,79,9,0,1065,3,4,25,12,24,23,10,6,0,111,5,0,7,6,6,8,6,4,0,36,100,132,304,366,469,503,135,25,4,2047,0,6,8,6,9,0,0,0,0,38,7,7,4,3,4,8,0,0,0,26,4,5,13,10,15,10,0,0,0,64
LGA22310,133,1297,6925,7902,6956,4220,1113,89,16,28644,1123,1767,1859,1170,1099,1280,1012,227,28,9562,160,238,276,191,192,214,108,15,0,1391,14,50,181,120,96,49,30,4,5,536,1421,3342,9242,9381,8334,5759,2257,338,42,40132,25,114,280,224,242,189,25,0,0,1100,278,211,126,51,38,74,40,5,0,819,297,324,402,271,283,263,62,7,3,1917,1721,3669,9646,9655,8618,6023,2324,343,47,42045,2466,902,872,568,857,1533,3588,2632,1254,14662,89,193,515,355,272,205,220,160,106,2121,4276,4766,11037,10579,9747,7756,6133,3136,1396,58836,46,1029,5850,4846,4754,2491,452,23,4,19486,1383,2115,2813,3641,3498,2641,1087,128,13,17315,212,285,634,523,224,250,99,20,3,2246,14,50,137,97,65,54,22,4,3,449,1659,3475,9427,9105,8546,5436,1660,174,18,39500,9,70,183,133,117,70,7,0,0,593,264,172,133,134,152,113,40,4,0,1007,279,245,319,267,265,188,40,0,0,1600
LGA22410,93,250,539,615,762,717,237,58,0,3262,163,73,136,125,136,215,123,30,10,1003,15,7,28,19,39,81,26,15,6,232,12,10,23,27,23,16,14,6,0,129,278,343,727,786,960,1024,396,104,15,4630,15,23,31,19,28,30,8,0,0,151,22,7,9,11,4,21,10,0,0,75,35,26,43,28,29,46,14,0,0,226,311,374,771,815,995,1068,413,104,15,4853,227,60,74,98,212,492,1061,600,180,3003,39,36,65,76,87,106,109,64,26,614,578,471,910,990,1288,1668,1587,762,222,8470,47,126,268,276,446,347,105,16,0,1628,213,111,330,408,478,487,160,23,0,2201,31,21,69,34,61,69,14,3,0,291,3,8,15,14,8,10,14,8,0,81,283,267,678,738,992,915,285,46,0,4202,6,11,18,11,20,5,0,0,0,66,13,8,12,18,30,29,3,0,0,117,19,16,33,24,51,32,3,0,0,179
LGA22490,149,316,925,1168,1301,799,194,23,0,4880,207,129,124,149,196,231,153,20,0,1205,34,23,30,44,52,70,30,8,0,282,18,15,21,23,36,21,7,6,0,147,405,481,1097,1390,1583,1120,381,58,3,6517,20,17,27,12,25,25,5,0,0,127,38,10,8,0,8,12,0,0,0,81,58,26,38,15,34,35,6,0,0,208,458,510,1135,1406,1619,1154,387,58,3,6725,374,68,83,112,156,394,902,446,87,2639,44,41,71,83,97,68,85,36,3,529,875,614,1290,1603,1875,1617,1379,545,96,9891,48,149,386,525,670,387,64,5,0,2247,331,200,439,759,684,496,117,16,0,3034,44,30,147,85,51,70,29,3,0,453,9,3,15,16,18,15,7,0,0,87,437,374,992,1383,1431,965,213,29,4,5821,12,15,10,15,19,14,0,0,0,76,29,12,12,23,22,15,0,0,0,114,39,26,23,41,34,27,0,0,0,191
LGA22620,484,1637,4796,4633,4481,3297,661,54,5,20046,1104,851,1058,839,802,1053,663,120,6,6503,121,119,205,182,181,287,103,12,0,1205,34,46,108,88,74,66,23,11,6,462,1737,2654,6165,5742,5536,4704,1448,199,18,28208,69,150,192,137,147,114,19,0,0,822,199,88,72,36,38,72,26,4,0,532,271,235,266,175,176,180,44,4,0,1349,2010,2889,6425,5913,5718,4889,1490,204,18,29564,1347,524,666,655,921,1900,4667,3083,1061,14829,166,187,455,409,431,411,354,245,128,2778,3525,3601,7547,6981,7072,7199,6518,3527,1212,47166,175,1064,2821,2428,2874,1838,259,20,0,11473,1482,1383,2541,3001,2558,2536,678,62,4,14240,179,192,596,323,229,359,109,4,0,1989,35,47,92,76,48,63,22,14,3,391,1867,2683,6043,5827,5707,4787,1067,98,8,28088,33,61,100,65,68,62,11,0,0,393,211,82,116,88,90,85,20,0,0,698,243,139,214,157,149,149,29,0,3,1090
LGA22670,195,1714,7675,6852,5072,3514,765,38,0,25823,778,1860,2826,1702,1247,1138,471,69,4,10092,64,133,213,192,150,146,78,15,4,988,21,131,437,246,130,120,26,7,4,1117,1061,3840,11159,8990,6596,4912,1337,129,6,38025,74,268,539,394,329,253,29,8,0,1889,316,255,187,102,93,92,37,4,0,1088,391,519,726,499,422,351,67,8,0,2982,1447,4356,11882,9486,7014,5265,1406,141,4,41006,2757,1277,1746,1592,1776,2579,4602,3397,1228,20952,206,380,1160,763,541,496,353,273,114,4275,4412,6008,14783,11844,9338,8340,6356,3811,1346,66239,81,1099,4378,3630,2993,1865,275,12,0,14339,1010,1931,3261,2859,2182,1541,448,35,0,13258,81,179,472,288,173,154,52,7,6,1408,24,107,217,128,114,57,19,0,5,670,1200,3322,8324,6901,5463,3614,788,54,9,29677,50,133,299,233,176,120,6,0,0,1008,287,245,261,219,180,151,22,5,0,1369,338,379,553,450,357,267,29,5,0,2377
LGA22750,836,3351,11693,11332,10277,7024,1317,110,11,45947,2322,2493,3028,1951,1822,2283,1438,243,21,15597,285,335,471,434,415,518,240,30,4,2739,49,132,270,212,180,133,60,19,4,1066,3500,6314,15464,13931,12696,9954,3056,407,34,65354,136,340,515,307,354,273,50,0,0,1977,489,248,201,101,77,142,54,11,0,1319,619,583,724,411,436,414,101,10,0,3294,4123,6897,16187,14340,13130,10368,3154,412,38,68647,3264,1362,1999,1606,2011,4047,10076,6623,2280,33270,328,489,986,716,723,664,680,551,296,5423,7711,8754,19168,16663,15855,15080,13910,7589,2619,107346,242,2115,7355,5649,6246,3900,479,23,0,26020,3108,3652,5870,6964,6150,5347,1577,123,9,32795,442,515,1331,890,543,635,199,14,0,4570,52,99,228,159,139,111,36,19,12,852,3838,6384,14787,13664,13074,9992,2298,182,20,64239,66,146,247,197,189,120,13,5,0,989,480,247,285,243,216,174,54,13,0,1701,544,397,536,437,404,294,67,14,0,2695
LGA22830,311,934,2574,2366,2560,2050,518,65,5,11382,536,318,512,433,450,476,365,94,6,3185,61,46,77,101,99,148,60,6,3,605,35,40,92,59,63,45,15,4,3,357,944,1329,3258,2954,3180,2721,962,171,16,15530,46,101,137,110,82,62,3,0,0,546,114,46,36,34,24,38,11,4,0,300,164,141,175,141,107,106,14,5,0,848,1101,1473,3430,3101,3286,2827,970,170,16,16376,918,328,549,553,688,1019,2291,1671,550,8559,167,168,370,312,317,310,258,195,80,2190,2187,1961,4353,3967,4288,4157,3524,2044,645,27123,119,567,1542,1333,1588,1110,214,10,0,6484,699,600,1264,1400,1319,1247,418,37,0,6983,94,74,257,133,118,143,52,10,0,876,22,36,51,59,39,42,17,4,5,274,934,1272,3114,2917,3066,2544,697,57,14,14614,19,49,53,48,51,21,0,0,0,242,96,40,69,50,34,36,11,0,0,350,118,86,124,96,85,59,11,0,0,590
LGA22910,44,119,349,484,625,546,149,30,0,2353,84,52,132,149,194,269,171,35,0,1093,23,5,13,19,41,58,23,3,0,185,8,0,10,10,29,12,7,3,0,75,155,181,497,669,889,891,356,74,8,3706,8,6,16,24,28,23,3,0,0,112,5,3,5,9,6,9,10,0,0,55,13,14,24,31,39,34,16,0,0,169,169,190,521,698,926,924,367,74,8,3877,182,34,73,86,179,376,952,509,134,2520,21,21,41,62,85,102,103,70,44,551,379,244,635,844,1188,1397,1426,651,183,6943,13,47,205,246,395,301,50,9,0,1257,113,83,211,342,420,500,165,12,0,1853,14,17,56,55,52,66,20,3,0,279,3,10,8,14,18,8,5,0,0,59,142,145,472,646,891,864,245,33,0,3451,7,9,17,5,10,16,4,0,0,57,10,6,7,13,22,16,4,4,0,74,12,15,24,13,33,29,5,4,0,129
LGA22980,26,68,225,173,189,247,62,23,0,1009,39,10,21,23,17,56,29,14,5,215,0,6,0,7,7,9,0,0,0,35,0,0,4,5,3,9,0,4,0,31,72,86,252,205,220,316,97,46,5,1292,6,5,4,4,6,11,0,0,0,36,3,0,0,4,0,3,0,0,0,12,9,9,8,9,8,11,3,0,0,56,78,91,258,213,227,329,96,46,5,1345,85,18,29,38,55,125,285,185,88,913,8,9,10,26,24,23,32,24,20,176,178,119,298,270,303,474,418,248,115,2435,8,38,109,56,109,114,15,0,0,456,31,30,102,99,127,126,35,15,0,563,4,8,20,7,12,16,5,0,0,69,0,3,3,5,0,5,4,0,0,16,48,74,232,165,255,257,62,15,0,1112,0,0,4,4,9,0,0,0,0,15,3,0,0,0,0,8,0,0,0,21,3,3,3,4,11,12,0,0,0,37
LGA23110,161,798,3712,4945,4170,2800,458,27,5,17068,613,717,944,684,675,723,359,54,0,4775,95,93,160,161,162,146,55,11,0,891,15,40,131,86,43,42,10,6,0,377,889,1652,4950,5880,5050,3714,881,94,3,23111,27,110,206,162,173,157,20,3,0,857,161,88,62,39,40,44,23,3,3,466,187,200,266,206,216,202,44,7,3,1326,1070,1852,5216,6081,5268,3911,929,100,8,24438,1105,395,509,494,670,1309,2713,1814,716,9729,97,139,408,382,274,198,170,124,69,1863,2278,2378,6136,6963,6215,5420,3815,2040,790,36029,39,562,2885,2943,2941,1609,185,0,0,11161,747,845,1427,2195,1861,1498,393,38,0,9002,118,124,369,394,196,212,51,10,0,1477,9,18,84,50,51,35,6,4,3,269,907,1552,4762,5583,5055,3354,637,55,9,21913,22,71,130,96,126,80,9,0,0,525,169,78,72,94,102,69,11,0,0,598,188,145,201,188,224,155,21,0,0,1124
LGA23190,115,294,854,754,798,725,164,24,0,3732,176,95,136,121,123,188,137,45,3,1028,12,21,22,24,36,45,28,7,3,199,8,13,26,16,13,17,8,8,0,99,310,417,1039,914,967,972,340,88,12,5061,8,26,25,13,15,16,0,0,0,100,26,12,14,5,3,12,0,0,0,79,32,35,37,24,18,26,0,0,0,184,348,449,1082,938,984,1005,345,85,12,5238,255,75,98,107,126,292,695,513,216,2376,48,44,92,56,44,65,60,43,26,471,644,571,1265,1098,1150,1360,1101,641,251,8090,34,224,475,359,469,361,66,6,0,1994,234,171,411,485,466,490,154,23,0,2439,28,16,85,44,39,63,16,3,0,299,5,5,15,9,19,15,6,7,0,74,301,422,980,889,995,926,241,42,0,4797,11,3,11,12,4,8,0,0,0,53,17,11,14,19,3,14,0,0,0,85,25,18,27,35,12,19,4,0,0,138
LGA23270,619,2859,11065,11020,7616,5381,889,48,0,39507,1526,2280,3079,2542,1864,1511,593,80,0,13476,186,237,451,334,306,313,94,12,0,1934,64,180,545,407,249,144,33,4,5,1625,2397,5562,15138,14305,10030,7354,1606,138,8,56532,183,478,789,589,502,291,19,0,0,2854,588,288,208,165,137,167,36,0,0,1590,771,771,1000,757,640,460,56,4,0,4446,3166,6329,16144,15064,10665,7806,1662,138,4,60982,4238,1741,2426,2533,2620,3838,5718,3330,889,27336,440,546,1312,1118,751,577,343,244,91,5424,7839,8621,19882,18708,14034,12222,7727,3715,989,93744,165,1784,6406,5431,4446,2687,364,11,0,21291,1862,2765,4623,4824,3717,2646,613,37,3,21089,251,350,1044,633,332,324,101,9,0,3047,51,139,312,207,130,77,19,0,4,930,2333,5039,12391,11103,8619,5733,1089,59,0,46355,112,311,475,356,266,146,9,0,0,1677,604,313,441,420,284,157,23,0,0,2252,713,619,920,778,555,304,36,0,0,3929
LGA23350,90,143,491,604,772,637,169,50,8,2958,128,58,94,83,137,230,150,33,5,913,25,9,11,46,44,49,25,5,0,213,3,5,10,13,14,11,13,4,0,76,246,220,598,743,974,931,355,94,13,4166,13,9,14,8,11,12,0,0,0,63,19,6,0,5,4,16,3,0,0,45,31,11,12,12,16,26,3,0,0,113,268,230,620,754,991,952,355,94,13,4273,194,32,74,109,119,325,823,508,123,2311,25,29,39,56,67,84,58,51,8,434,492,293,733,918,1180,1366,1239,660,146,7022,35,96,236,343,542,373,76,15,3,1724,185,110,253,397,438,485,167,21,5,2061,54,10,64,55,54,63,30,3,0,331,16,13,10,9,18,8,9,3,4,92,287,225,560,811,1054,937,282,37,7,4200,0,3,10,3,13,5,0,0,0,42,15,4,12,6,5,21,4,0,0,64,16,7,20,14,21,27,5,0,0,105
