LGA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
LGA21270,769,584,247,66,362,334,70,154,524,78,421,2850,187,5172,7,8,0,0,11,4,3,0,7,0,0,29,0,58,33,14,6,0,30,10,6,19,22,9,26,30,0,110,6,0,0,0,9,0,3,6,5,0,6,15,0,28,3,0,0,0,7,0,0,3,3,0,5,6,0,29,0,0,0,0,0,0,0,0,4,0,4,5,0,7,4,0,0,0,0,0,0,0,5,0,3,48,7,66,0,0,0,0,0,0,0,0,0,0,0,18,0,15,0,0,0,0,0,0,0,0,0,0,0,46,3,50,0,0,0,0,0,0,0,0,4,0,4,6,0,11,0,4,3,0,0,0,0,0,4,0,6,17,0,23,65,28,17,3,61,26,14,23,40,6,48,216,15,397,32,11,4,3,13,15,3,12,16,7,10,51,481,605,870,623,270,71,441,380,92,191,585,90,479,3113,686,6178,243,276,102,0
LGA21370,4294,3431,1300,262,1867,1790,452,829,3586,437,2883,18445,1396,32855,48,49,22,4,36,24,8,5,39,5,36,237,23,431,220,95,60,23,117,106,18,61,96,34,103,278,25,788,63,22,18,10,31,33,15,21,27,4,25,146,10,296,77,26,23,9,67,34,16,13,43,10,31,120,15,300,6,4,0,0,4,7,0,0,7,0,8,37,5,55,16,25,9,0,22,3,7,0,18,0,15,410,24,515,5,3,0,0,0,0,0,0,0,0,6,82,0,104,6,12,0,4,19,5,0,0,10,0,14,201,5,255,10,11,8,0,5,3,0,0,10,6,5,50,5,93,6,11,0,0,0,0,0,0,7,0,0,68,9,95,457,257,132,48,310,219,65,99,259,55,247,1622,111,2938,177,73,49,30,88,69,20,36,88,24,53,321,2235,2939,4932,3762,1480,340,2260,2077,537,959,3930,522,3175,20386,3745,38735,1458,1707,389,7
LGA21450,6344,9235,2036,338,2993,2492,600,1247,9376,621,6810,53117,3318,84558,196,251,69,10,161,110,24,32,188,25,187,1506,98,2428,999,509,318,78,491,431,92,238,561,133,571,2393,193,5100,312,121,108,31,154,174,41,60,112,41,143,758,68,1562,306,116,110,53,246,184,58,53,163,51,234,967,68,1893,54,52,18,4,68,28,5,9,56,6,83,945,42,1257,82,161,34,4,156,37,16,5,86,10,174,2113,80,2775,16,29,10,0,40,17,4,0,27,3,53,882,14,1073,184,323,59,12,581,149,35,14,199,37,345,7193,193,8856,88,80,19,3,69,29,5,9,77,9,97,597,43,960,97,116,37,0,140,69,7,20,108,18,102,1263,60,1823,2341,1747,776,200,2108,1234,301,452,1570,330,1998,18620,853,27730,160,86,56,19,77,86,25,49,86,31,90,439,5063,5911,8839,11064,2860,566,5166,3817,922,1747,11032,973,8897,72181,9231,118194,3226,5968,1035,27
LGA21610,11744,20059,3753,735,6493,4961,1292,2487,18698,1308,14696,130270,7443,195450,717,1058,208,40,1094,449,141,128,605,122,755,8834,487,12960,1982,1030,705,218,1064,924,203,444,1147,225,1130,4638,329,10201,595,225,223,87,320,355,77,133,263,88,384,1603,112,3275,2002,584,598,249,1468,1098,271,264,1158,323,1447,6826,449,12659,604,448,125,57,674,346,106,67,542,82,829,5802,287,8505,737,1061,267,46,1307,390,137,71,526,106,1412,12914,479,17821,219,178,107,21,408,172,42,39,162,39,465,6266,121,7777,1940,2302,481,125,4796,1486,413,214,1653,237,3125,54171,1614,68144,450,344,130,17,350,153,36,51,338,50,430,2204,91,3792,633,535,221,67,785,357,82,80,450,68,686,5515,277,8423,9882,7766,3072,932,12273,5727,1509,1490,6845,1345,10659,108785,4244,153556,292,152,91,38,227,151,46,71,171,47,149,1209,14197,16234,21923,27974,6919,1702,18994,10839,2842,4047,25709,2693,25506,240266,25886,365239,7395,14272,2309,41
LGA21670,1878,1308,504,131,823,764,131,503,1690,202,1208,5385,430,11100,23,9,6,3,17,13,0,10,18,4,14,62,5,139,159,72,60,10,81,73,14,70,86,21,81,161,20,534,44,7,15,4,25,29,4,14,15,12,25,42,5,152,24,5,3,3,15,15,7,4,20,4,13,49,3,117,3,0,4,0,0,5,0,0,0,0,0,0,0,10,11,5,3,0,6,4,0,0,3,0,8,90,12,124,0,0,0,0,0,0,0,0,0,0,0,22,0,21,0,3,0,0,13,0,0,0,0,0,5,62,3,78,12,3,3,0,8,8,0,0,8,0,7,12,0,40,0,4,0,0,0,4,0,0,0,0,3,13,0,21,288,111,88,17,164,148,22,111,140,47,148,516,46,1242,78,30,20,7,29,26,0,20,50,11,28,140,829,1142,2240,1446,611,161,1018,936,157,633,1880,257,1386,6042,1308,13483,476,474,141,0
LGA21750,2096,1749,647,164,927,874,204,441,1859,243,1477,10920,727,18536,31,25,15,0,18,8,5,4,30,6,14,173,16,290,110,35,52,8,59,61,16,26,59,12,69,279,17,585,40,15,19,8,25,23,9,8,15,4,27,128,9,250,36,12,6,4,25,21,9,5,17,3,24,81,8,179,3,0,0,0,0,0,0,0,4,0,0,60,4,72,11,5,3,0,6,0,3,0,0,0,4,185,7,222,4,0,0,0,6,3,0,0,0,0,9,364,5,385,6,3,0,0,11,6,0,0,7,0,3,170,3,191,0,3,3,0,0,3,0,0,12,0,5,47,0,75,7,6,5,0,3,3,0,0,6,0,5,30,0,57,247,121,104,23,152,138,34,45,151,34,172,1508,71,2300,74,33,14,9,36,36,8,12,40,13,34,149,1257,1589,2414,1901,764,196,1111,1045,249,499,2046,281,1679,12579,2050,22423,741,943,210,8
LGA21830,1511,1400,500,99,797,743,154,370,1412,188,1114,7944,541,13656,27,24,11,0,13,15,0,4,24,0,18,193,3,299,70,34,28,3,41,36,7,16,42,9,34,143,9,333,21,9,14,0,10,15,0,8,14,7,13,107,10,180,14,5,0,0,11,8,6,5,14,3,8,28,3,61,0,0,0,0,0,0,0,0,0,0,0,12,0,10,8,3,3,0,6,0,0,0,3,0,0,87,7,116,0,0,0,0,3,4,0,0,4,0,0,21,0,27,0,0,0,0,6,3,0,0,0,0,0,48,0,60,6,3,4,0,0,0,0,0,8,0,9,43,0,63,4,8,3,0,0,0,0,0,0,0,0,23,0,38,148,88,63,7,92,77,14,34,106,19,89,695,40,1190,61,37,30,6,35,30,3,17,24,4,18,175,939,1272,1722,1522,598,112,919,852,180,426,1543,210,1219,8818,1519,16115,567,725,193,0
LGA21890,5289,9794,1953,297,2453,2023,539,990,12631,516,8378,60919,3379,95646,194,317,69,11,118,83,27,31,377,21,267,1749,87,2885,337,392,121,20,157,135,25,92,524,40,395,2353,107,3981,127,129,55,13,60,54,15,17,172,23,163,1182,64,1809,3439,748,801,625,2065,1703,380,396,1272,430,1791,5130,467,13056,406,220,92,58,341,185,59,63,291,51,392,2058,108,3447,252,334,98,30,387,134,49,33,268,40,482,4264,137,5919,184,115,96,30,244,109,42,18,163,33,352,3880,98,4957,130,173,36,16,264,101,26,17,145,17,225,5495,127,6434,118,184,47,6,49,43,12,10,279,13,202,1806,51,2559,91,122,22,11,89,16,10,7,121,6,109,1060,62,1565,5284,2733,1440,819,3777,2557,641,688,3607,683,4380,28982,1317,46617,188,83,56,38,100,88,22,33,155,40,109,509,5269,6317,10759,12606,3442,1159,6334,4664,1202,1703,16395,1236,12866,90408,9960,148570,2913,7529,1208,10
LGA22110,5343,3972,1744,252,2162,2462,447,1392,4520,594,3665,21125,1511,38772,108,62,36,3,36,45,6,32,61,10,66,278,15,574,573,211,202,40,233,251,43,141,253,81,276,835,79,2216,164,41,55,7,92,116,24,47,57,21,83,361,30,807,104,27,35,15,67,47,11,12,42,11,45,185,15,440,6,0,8,0,5,7,0,4,4,0,17,41,8,80,29,25,0,0,22,15,5,0,14,0,17,587,24,707,11,0,6,0,6,0,0,0,4,0,13,140,0,169,14,6,3,0,9,4,0,6,3,0,19,244,5,293,42,22,15,3,11,24,5,15,25,0,31,116,6,239,30,28,13,0,23,18,3,5,17,8,28,134,3,242,1074,425,369,69,507,529,93,260,486,131,583,2923,184,5766,218,88,62,12,97,101,19,56,104,29,86,460,3200,4176,6640,4478,2176,337,2758,3102,556,1709,5113,757,4329,24507,4894,48715,1539,1816,500,11
LGA22170,8903,12011,3018,612,4324,3729,969,2015,13420,1035,9450,60491,4055,102622,341,415,107,17,275,165,52,96,328,50,319,2123,124,3612,1777,871,610,185,873,855,200,442,1019,224,1025,4080,299,8988,391,160,162,98,201,262,56,85,251,56,254,1114,91,2305,619,166,177,87,450,341,86,110,339,92,421,1826,111,3566,77,49,23,9,105,50,17,17,62,13,76,609,40,965,145,184,47,5,193,67,20,14,134,17,194,2088,56,2867,44,63,30,4,87,28,9,3,58,8,103,1285,21,1619,185,141,48,22,293,132,37,21,109,17,168,1907,65,2735,136,128,43,13,84,62,12,27,170,11,154,802,36,1362,137,124,45,9,138,64,10,14,140,24,132,1078,44,1684,3866,2291,1291,448,2702,2026,504,831,2612,518,2849,16918,884,29707,191,98,62,33,113,105,35,48,119,40,100,452,5991,6946,12959,14401,4373,1086,7141,5852,1503,2892,16160,1589,12399,77857,10932,139281,4174,7487,1404,19
LGA22250,1393,1089,443,114,658,587,111,273,950,150,697,4944,370,9157,15,6,0,0,3,4,0,0,9,0,9,30,0,59,52,21,15,5,26,16,11,7,18,14,21,61,13,177,13,8,0,5,9,9,0,4,3,0,3,26,3,65,18,5,9,4,10,11,0,3,3,0,8,13,3,47,0,3,0,0,0,0,0,0,3,0,0,4,0,15,6,8,0,0,0,0,0,0,0,5,6,62,11,92,0,0,0,0,0,0,0,0,0,0,0,19,0,17,0,3,0,0,9,0,0,0,0,0,0,52,0,58,4,4,0,0,3,0,0,0,5,0,0,11,0,24,3,0,0,0,0,0,0,0,9,0,3,40,0,47,118,51,26,13,68,40,14,20,50,19,56,317,27,599,45,33,12,4,25,22,5,12,20,6,20,102,716,931,1551,1168,483,133,753,649,132,310,1020,168,768,5359,1114,10683,413,454,121,0
LGA22310,5049,7865,2244,421,2367,2460,567,841,8477,481,7424,59454,2830,89214,180,243,90,13,83,77,21,20,226,25,185,1563,79,2462,507,399,215,61,223,290,60,100,441,70,502,2886,145,4914,321,158,122,52,169,209,36,45,170,45,249,2014,96,3113,1741,463,616,386,1132,1066,266,241,813,241,1321,4852,292,9783,242,157,110,30,232,158,33,40,214,30,282,2395,81,3474,179,263,70,20,215,101,20,20,214,19,381,3950,99,5172,149,175,130,16,276,125,39,20,180,40,449,7763,117,9156,263,295,85,22,460,191,34,35,177,27,384,7107,197,8722,132,187,67,11,68,59,18,21,257,7,214,2113,74,2970,306,358,175,35,224,161,35,50,359,19,395,2720,89,4339,4021,2697,1681,650,3072,2430,566,580,3064,517,4365,37369,1272,54111,257,60,93,28,170,159,43,37,90,37,179,757,4162,5583,9328,10622,4019,1099,5615,5051,1169,1457,11633,1039,11971,97581,8267,148908,2973,6330,1543,22
LGA22410,2468,1624,670,159,1036,885,215,473,1902,254,1635,9310,667,16881,42,29,9,4,23,18,3,17,34,3,25,170,11,306,158,40,56,12,77,70,14,49,71,15,53,211,27,566,55,13,12,6,31,25,3,9,17,6,27,83,5,196,32,3,10,8,24,14,3,0,6,6,15,49,11,122,0,3,0,0,0,3,0,0,0,0,0,23,0,26,16,17,3,0,9,3,4,3,9,0,7,156,12,216,0,0,0,0,0,0,0,0,0,0,4,31,0,29,0,0,0,0,0,0,0,0,0,0,5,115,3,123,7,9,0,0,4,5,0,0,9,0,10,49,0,77,14,11,4,0,5,0,0,0,11,4,6,53,0,86,330,135,98,27,180,137,28,71,150,25,147,931,75,1756,72,46,29,12,45,30,4,20,59,11,30,158,1160,1513,2867,1797,791,195,1261,1047,242,565,2114,294,1813,10406,1898,20152,862,778,230,5
LGA22490,1820,2349,557,108,819,715,179,339,2210,134,1754,13193,843,21396,33,30,9,3,16,11,3,3,22,3,23,135,5,251,179,109,84,20,111,102,22,45,115,26,110,451,24,995,51,25,24,5,25,39,10,11,28,10,40,165,11,334,62,23,23,7,43,22,5,9,25,9,29,147,11,305,0,0,4,0,0,3,0,0,3,0,0,13,0,22,8,14,0,0,5,0,0,3,5,0,9,97,6,135,0,3,0,0,0,0,0,0,0,0,0,34,0,39,0,3,0,0,5,0,0,0,4,0,4,43,0,61,9,8,0,0,5,0,0,8,6,0,13,58,9,90,7,8,5,0,0,0,4,0,16,0,9,44,0,74,355,234,154,36,207,186,44,77,220,40,245,1184,63,2303,50,26,8,3,20,27,9,5,27,6,22,126,1038,1286,2224,2610,722,146,1048,926,224,431,2455,184,2019,14504,1941,24985,874,1392,256,8
LGA22620,12573,11980,3730,790,5093,4875,1162,2242,14255,1170,10041,56176,4318,102810,142,122,40,7,66,59,16,27,129,12,104,554,39,1025,608,267,205,45,263,277,55,150,325,64,332,1018,96,2549,199,64,68,26,88,112,18,33,92,20,85,327,28,804,162,38,51,21,102,82,26,21,68,38,69,233,28,609,19,21,0,5,19,11,3,3,24,0,36,254,4,350,80,83,37,4,124,40,15,5,80,12,177,2276,75,2857,13,12,3,4,15,6,0,5,16,0,25,506,10,594,36,45,15,3,94,32,8,8,30,3,74,1616,46,1917,37,45,9,0,23,18,3,8,64,3,41,287,16,464,30,35,0,0,19,20,3,4,58,0,50,378,14,545,1322,732,431,116,817,647,147,264,878,152,993,7440,349,11719,332,154,92,33,137,143,40,64,168,45,103,562,5679,6946,14231,12865,4256,941,6045,5668,1346,2571,15295,1365,11135,64181,10350,121470,4221,6134,1189,20
LGA22670,3211,5786,1124,318,1947,1537,431,827,4914,437,4051,39685,2292,57952,205,298,46,11,343,135,43,40,173,34,202,2195,131,3339,449,189,153,87,260,233,48,122,244,63,262,721,76,1931,291,89,87,59,137,156,38,60,137,48,177,492,47,1195,1998,524,491,353,1402,1062,260,261,1188,303,1288,4820,391,10258,347,208,89,36,396,175,65,48,381,57,449,2457,148,3967,1240,1636,458,182,2346,627,290,161,1037,268,2508,25004,1158,33915,229,158,116,68,381,173,53,50,192,48,434,4833,157,6286,943,853,244,125,1828,683,195,128,767,135,1244,20867,648,26371,208,141,52,24,155,86,32,21,145,27,178,787,57,1480,279,171,92,43,327,145,33,44,188,55,256,2017,103,3125,6182,4276,1833,983,7566,3467,1054,935,4447,1042,7006,64195,2915,91864,185,90,35,19,145,91,27,48,132,28,117,730,7132,8386,9582,10157,2997,1324,9662,5098,1508,1805,9499,1505,11169,104615,12338,158208,1810,4119,643,21
LGA22750,19160,23339,6659,1622,9191,8635,2000,3991,26395,2232,19359,122537,8761,210464,304,335,125,13,191,123,30,53,338,33,272,1927,143,3284,2113,1100,695,264,1036,1034,200,452,1210,230,1239,5075,412,10992,775,323,317,138,421,529,94,198,399,113,517,1867,140,4123,1563,404,472,322,1169,886,184,240,750,230,973,3430,282,7637,101,79,27,3,118,59,16,21,111,18,170,1314,103,1893,215,289,69,9,291,100,38,38,193,25,390,4138,212,5564,43,60,29,4,74,42,10,4,48,9,110,2037,40,2428,100,173,44,16,269,84,29,16,117,14,219,6946,159,7912,128,166,65,10,70,45,18,22,199,10,184,1246,59,1915,113,125,57,7,75,60,14,19,146,12,158,1392,91,2017,5464,3043,1895,799,3722,2968,632,1066,3502,706,4223,29368,1636,47764,498,261,159,56,248,235,59,139,294,96,222,1208,10356,12834,25128,26642,8703,2477,13165,11830,2694,5194,30189,3028,23798,153118,20756,271057,6984,13492,2419,40
LGA22830,6241,5941,1891,392,2709,2656,646,1220,6150,633,4862,28769,2280,51278,104,103,31,6,62,37,18,10,62,8,74,651,40,1016,249,118,94,32,136,130,35,78,145,29,136,460,26,1118,102,42,39,15,45,42,14,22,44,16,59,212,11,466,398,72,78,78,265,198,47,54,153,48,175,605,68,1503,118,88,18,6,136,51,6,13,103,8,135,821,61,1287,55,91,6,3,62,12,6,0,32,3,62,1400,68,1733,15,15,7,0,14,3,0,3,4,0,11,433,6,490,80,63,8,3,156,46,22,7,66,4,139,2822,79,3375,18,15,5,5,8,7,0,5,27,0,19,131,4,207,17,14,10,0,24,9,0,0,17,4,40,550,16,670,1149,620,301,155,908,549,145,188,652,132,848,8088,391,11858,207,105,50,25,101,104,32,50,105,25,66,416,4378,5276,7598,6664,2241,578,3718,3308,823,1459,6909,791,5782,37272,7055,68409,2328,2989,623,14
LGA22910,1620,1390,555,130,660,750,141,419,1607,173,1341,7043,457,12896,38,29,6,0,15,8,4,10,24,0,31,117,3,228,174,79,74,11,68,92,11,43,97,20,117,353,45,868,72,18,29,9,36,39,12,14,27,7,43,160,5,345,51,23,11,9,31,27,0,17,19,4,29,129,14,271,4,0,0,0,0,0,0,0,0,0,7,17,0,33,7,9,3,0,11,8,0,0,10,0,13,98,8,149,3,7,0,0,6,0,0,0,5,0,3,55,0,74,6,6,0,0,4,4,0,0,3,3,4,79,6,105,12,12,5,0,5,11,0,3,19,0,17,93,8,161,15,8,8,0,5,3,0,4,12,3,3,50,0,94,376,186,147,33,178,201,26,105,219,43,262,1157,96,2324,45,29,15,5,22,25,6,18,38,12,29,144,1100,1382,2044,1610,715,159,852,978,178,533,1859,228,1637,8343,1651,16604,558,753,192,5
LGA22980,727,513,209,59,352,286,52,130,545,82,438,2505,176,4704,3,4,0,0,6,3,0,3,10,0,4,27,0,51,43,23,13,0,14,20,4,18,22,5,20,35,4,127,7,5,0,6,0,6,0,0,7,0,9,17,0,36,0,0,0,0,7,0,0,0,0,0,3,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,12,4,0,8,0,0,0,4,0,16,205,5,248,0,0,0,0,0,0,0,0,0,0,0,8,0,8,3,4,0,0,4,3,0,0,0,0,0,49,3,62,7,0,4,0,0,0,0,3,3,0,0,5,0,16,3,0,3,0,3,4,0,0,3,0,5,25,0,32,83,59,18,9,47,38,6,26,47,7,54,373,13,597,23,11,7,5,17,11,0,11,5,0,3,50,296,401,832,576,236,68,406,334,57,166,596,93,497,2927,485,5698,244,248,68,4
LGA23110,3867,5780,1398,277,1866,1684,446,729,5781,398,4649,38998,2194,59758,148,227,54,5,126,62,15,24,177,25,162,1398,59,2183,517,325,192,52,250,265,52,108,391,79,365,2131,128,3879,170,92,75,23,87,97,19,44,83,19,133,997,42,1560,1360,335,392,241,1047,767,208,174,569,211,845,2786,232,6409,205,88,46,27,218,110,40,13,137,35,190,1132,72,1880,232,260,88,22,363,93,38,30,154,42,370,3124,119,4429,43,46,23,4,63,18,11,10,46,8,89,1055,20,1353,74,83,15,3,143,60,14,6,74,16,112,2769,83,3291,101,120,29,12,71,42,19,7,122,6,105,1014,45,1474,55,66,18,3,56,18,10,9,56,6,80,715,31,1015,2895,1654,933,390,2426,1536,419,431,1806,438,2447,17121,834,27477,118,34,32,20,55,50,15,18,65,19,56,245,3575,4088,6881,7465,2366,684,4350,3267,871,1177,7653,853,7149,56365,6602,91322,2072,4047,786,11
LGA23190,2132,1828,697,119,940,933,197,424,1941,263,1401,10242,669,17772,17,19,4,0,15,4,3,4,27,0,19,65,4,125,74,37,22,5,31,27,9,21,24,9,35,117,13,286,23,7,7,3,11,17,3,10,12,3,20,53,3,117,25,9,7,4,24,22,8,8,10,4,10,52,0,114,3,7,0,0,3,5,0,0,3,0,5,32,0,38,6,22,4,0,14,7,0,0,8,0,18,235,6,303,0,3,0,0,3,0,0,0,0,0,3,39,0,53,3,8,0,0,11,9,0,0,3,0,8,227,3,259,5,3,0,0,0,0,0,0,10,0,8,36,0,58,3,3,4,0,3,0,0,0,3,0,6,70,0,89,152,112,52,12,116,87,20,39,99,18,125,926,38,1448,65,30,13,0,35,29,5,16,22,0,23,145,922,1210,2350,1967,767,129,1084,1052,221,481,2065,289,1549,11310,1630,20429,792,991,247,9
