LGA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA21270,..,8,6,0,5,13,9,3,0,53,..,6,20,11,34,72,106,104,68,416,3,3,3,3,8,6,3,0,4,34,424,217,254,219,366,465,382,235,111,2676,..,11,151,245,418,601,501,259,62,2251,..,48,146,79,90,67,37,4,0,472,..,8,24,39,48,19,19,10,18,197,868,..,..,..,..,..,..,..,..,868,..,232,..,..,..,..,..,..,..,232,..,126,73,20,27,17,3,0,0,269,..,26,7,3,7,23,16,13,5,99,..,8,5,3,3,0,8,0,0,29,..,25,16,3,21,28,17,18,3,136,..,22,52,45,104,176,245,155,90,890,4,9,19,3,13,8,15,8,4,81,868,512,496,449,727,950,868,468,175,5520
LGA21370,..,65,71,25,51,70,63,29,5,365,..,63,126,118,225,455,541,523,290,2342,39,44,44,15,31,42,45,23,11,278,3067,1819,1855,1899,2377,2666,2303,1436,488,17919,..,46,1038,1972,2585,3186,2805,1622,321,13574,..,391,1063,559,576,513,276,93,12,3479,..,53,260,388,447,221,116,94,77,1664,6121,..,..,..,..,..,..,..,..,6121,..,1447,..,..,..,..,..,..,..,1447,..,1244,526,207,156,89,22,0,0,2248,..,136,74,22,64,105,121,63,30,623,..,113,95,41,37,27,17,11,4,337,..,131,161,61,91,135,121,57,11,766,..,140,300,302,523,913,1027,829,416,4454,75,107,92,46,76,82,79,45,13,610,6195,3806,3607,3591,4560,5273,4588,2817,882,35324
LGA21450,..,156,265,77,95,126,93,33,9,853,..,93,444,347,425,799,977,751,301,4134,148,197,129,66,56,56,51,41,20,760,12514,6640,9227,8467,7038,5694,4278,2186,630,56672,..,197,7102,11182,8568,6790,5125,2407,394,41761,..,1135,4687,2155,1616,990,354,114,15,11061,..,132,795,1238,1479,765,288,196,93,4992,25380,..,..,..,..,..,..,..,..,25380,..,6105,..,..,..,..,..,..,..,6105,..,4317,2100,511,327,158,31,0,0,7441,..,538,594,199,212,401,404,242,134,2724,..,386,501,152,90,51,33,14,6,1229,..,330,639,238,236,257,187,58,12,1951,..,188,991,886,1083,1480,1522,1081,420,7657,271,344,289,157,111,112,100,59,21,1477,25657,13663,17698,16714,13725,10999,8051,4185,1099,111784
LGA21610,..,405,642,244,274,377,220,83,48,2295,..,178,931,778,1020,1787,2232,1673,786,9379,293,396,322,164,130,190,129,85,35,1737,38728,22094,27201,27783,21972,17536,11591,5622,1846,174367,..,922,22602,40061,29953,23181,14542,6047,1134,138444,..,2249,9258,4952,3455,2094,750,250,33,23038,..,379,1970,3415,4133,2587,1088,572,301,14449,79085,..,..,..,..,..,..,..,..,79085,..,22778,..,..,..,..,..,..,..,22778,..,13668,9892,2182,1039,461,108,0,0,27347,..,2149,2340,825,766,1476,1538,996,451,10545,..,1127,1535,625,387,261,95,35,17,4076,..,1071,2385,947,757,841,480,179,69,6722,..,414,2243,2171,2586,3391,3407,2368,1058,17639,575,740,725,420,326,328,245,138,40,3530,79659,45479,52940,55616,43406,34623,22261,10585,3100,347661
LGA21670,..,22,17,11,22,26,30,9,4,138,..,19,56,43,88,221,314,252,117,1112,16,16,9,14,0,18,17,3,3,107,891,541,567,541,774,1025,1057,647,192,6245,..,11,245,421,688,966,1125,703,107,4265,..,111,299,195,243,217,131,44,5,1239,..,23,125,128,163,109,60,44,34,687,1802,..,..,..,..,..,..,..,..,1802,..,398,..,..,..,..,..,..,..,398,..,394,180,87,85,43,17,0,0,802,..,60,28,8,41,48,43,30,14,271,..,32,36,13,9,14,6,0,0,126,..,46,41,24,48,56,70,32,3,314,..,32,111,111,232,458,592,429,177,2133,32,42,32,22,25,33,39,13,9,251,1833,1148,1095,1021,1530,1952,2076,1300,349,12302
LGA21750,..,48,83,19,42,36,30,11,0,273,..,42,69,72,151,320,370,307,188,1503,18,23,32,24,16,28,29,7,9,189,1661,981,1183,1145,1332,1452,1400,731,287,10168,..,13,621,1235,1329,1566,1623,784,154,7315,..,207,693,373,428,303,175,32,9,2209,..,20,119,181,241,141,57,54,30,834,3427,..,..,..,..,..,..,..,..,3427,..,828,..,..,..,..,..,..,..,828,..,684,314,105,80,42,7,0,0,1216,..,75,51,29,20,62,61,39,22,364,..,49,100,31,26,10,7,4,0,223,..,104,237,75,82,96,75,23,3,692,..,89,208,213,356,644,660,472,229,2863,34,44,58,49,37,59,50,17,13,365,3464,2103,2386,2287,2599,2911,2713,1423,461,20341
LGA21830,..,23,24,7,14,35,19,14,0,135,..,21,51,30,89,203,219,246,140,1003,13,20,18,9,15,14,15,6,0,112,1229,695,703,752,974,1182,927,620,201,7286,..,8,408,822,1122,1408,1254,638,116,5772,..,171,398,258,239,189,106,30,5,1392,..,10,71,130,151,106,50,54,24,596,2513,..,..,..,..,..,..,..,..,2513,..,598,..,..,..,..,..,..,..,598,..,474,235,71,76,43,4,0,0,914,..,57,37,16,22,41,37,20,17,245,..,32,30,17,10,9,0,4,0,105,..,56,88,27,32,72,46,25,0,340,..,56,150,102,216,421,409,372,206,1929,24,47,35,17,37,43,23,11,4,231,2537,1516,1437,1451,1905,2322,1931,1153,374,14634
LGA21890,..,1172,2579,575,243,236,124,61,15,5001,..,289,1630,1652,1308,1591,1555,1517,969,10501,101,249,316,195,119,115,65,45,34,1238,10431,7504,13955,11642,9985,7632,5356,3803,1824,72131,..,177,5519,10622,10180,7352,5269,3450,1042,43620,..,756,7610,4822,2646,1380,489,109,14,17829,..,29,312,1044,1706,1147,569,540,413,5754,21179,..,..,..,..,..,..,..,..,21179,..,6758,..,..,..,..,..,..,..,6758,..,2960,2783,929,996,555,81,3,0,8309,..,668,850,278,312,502,436,289,221,3558,..,494,958,248,104,89,43,16,3,1950,..,2358,5557,1354,604,486,277,109,25,10761,..,516,2965,3064,2635,2902,2649,2153,1319,18208,238,421,599,357,252,216,103,68,49,2302,21421,15139,27148,22716,19437,14630,9913,6738,3086,140226
LGA22110,..,59,111,40,61,96,102,34,8,507,..,50,155,142,289,652,882,748,367,3289,39,60,38,28,41,74,75,41,18,411,3320,1782,2096,2156,2745,3638,3792,2154,643,22325,..,39,1155,1994,2613,3898,4683,2583,422,17389,..,397,1147,743,800,820,568,157,30,4669,..,64,263,447,521,274,153,119,84,1922,6639,..,..,..,..,..,..,..,..,6639,..,1345,..,..,..,..,..,..,..,1345,..,1298,572,256,214,127,19,0,0,2477,..,138,84,36,87,129,144,93,51,751,..,125,92,54,39,36,21,9,0,377,..,141,243,104,123,190,185,76,20,1078,..,106,342,352,613,1306,1788,1182,525,6214,101,116,100,65,89,132,158,85,22,874,6741,3757,3996,4053,5102,6930,7711,4296,1147,43736
LGA22170,..,256,391,154,187,262,174,64,11,1493,..,135,700,627,906,1632,1906,1464,730,8105,169,222,143,96,83,86,96,56,26,978,12045,7037,9223,9633,9198,8316,6407,3589,1341,66784,..,114,4947,9860,9370,8525,6702,3401,694,43611,..,1076,5542,3473,2401,1426,535,178,30,14653,..,130,876,1769,2311,1362,558,336,246,7590,24317,..,..,..,..,..,..,..,..,24317,..,6426,..,..,..,..,..,..,..,6426,..,4793,2995,908,555,307,68,0,0,9637,..,516,499,212,295,505,501,281,157,2969,..,369,404,175,146,97,53,14,10,1269,..,521,904,409,465,549,352,140,24,3367,..,290,1496,1565,2191,2993,3056,2094,1012,14705,347,406,334,217,194,195,151,89,32,1966,24656,14626,18002,18598,17928,15953,11986,6535,2205,130495
LGA22250,..,14,14,11,13,20,15,7,0,94,..,19,17,32,68,149,194,168,98,751,11,10,10,3,10,21,18,4,4,88,777,402,418,469,602,781,762,478,164,4859,..,11,243,485,631,900,967,552,107,3897,..,83,236,144,173,153,70,27,4,890,..,16,66,89,80,45,34,35,17,377,1520,..,..,..,..,..,..,..,..,1520,..,315,..,..,..,..,..,..,..,315,..,262,119,68,58,31,3,0,0,540,..,44,25,4,21,31,28,17,9,182,..,13,17,12,6,8,3,0,0,56,..,21,31,16,38,48,39,14,6,212,..,40,67,80,154,295,383,275,150,1447,15,28,24,18,27,37,33,11,4,191,1542,837,821,920,1186,1537,1567,937,294,9638
LGA22310,..,930,1191,200,127,134,129,66,9,2788,..,341,1459,1144,975,1412,1827,1521,1053,9727,106,194,210,112,86,91,67,47,34,945,12277,8425,10891,10944,10303,7987,6446,3693,1794,72761,..,191,5943,13607,12818,9598,7415,3503,983,54064,..,844,5694,2665,1858,1094,570,135,42,12907,..,16,191,971,1836,1095,425,329,269,5135,25098,..,..,..,..,..,..,..,..,25098,..,9559,..,..,..,..,..,..,..,9559,..,2852,2482,675,517,296,77,0,0,6903,..,557,516,166,159,316,410,288,176,2586,..,319,571,133,63,55,20,11,6,1182,..,1847,2888,512,310,301,288,130,31,6304,..,637,2731,2182,1991,2462,2827,2095,1375,16299,219,315,382,209,166,171,138,67,53,1708,25316,17129,21397,21120,19714,15391,12179,6562,2926,141738
LGA22410,..,28,30,10,24,35,24,18,4,180,..,37,65,66,124,288,340,246,133,1295,23,29,17,16,18,18,28,15,10,177,1421,841,886,965,1289,1510,1319,679,220,9129,..,24,497,911,1306,1754,1636,748,122,6992,..,216,535,368,365,324,172,46,7,2038,..,26,111,197,245,122,55,47,21,822,2854,..,..,..,..,..,..,..,..,2854,..,629,..,..,..,..,..,..,..,629,..,584,225,112,70,49,7,0,0,1044,..,72,35,26,34,38,80,35,26,337,..,44,32,16,17,15,10,0,0,137,..,70,78,34,60,79,60,33,5,425,..,70,163,171,331,611,636,413,191,2594,44,61,38,39,48,47,63,27,10,369,2900,1797,1715,1867,2474,3038,2716,1349,381,18232
LGA22490,..,7,17,7,14,20,28,4,0,103,..,11,26,52,68,153,156,101,37,599,28,40,14,6,16,14,10,3,0,141,2510,1250,1199,1669,1732,1518,1104,426,107,11512,..,23,981,2148,2371,2053,1613,581,77,9842,..,128,718,506,514,297,152,33,0,2344,..,14,88,169,220,136,65,32,28,748,5211,..,..,..,..,..,..,..,..,5211,..,1280,..,..,..,..,..,..,..,1280,..,987,386,144,77,39,3,0,0,1645,..,60,32,14,29,60,93,63,25,375,..,63,38,12,18,25,7,4,0,159,..,24,46,25,34,54,51,9,0,239,..,24,94,117,195,341,345,194,58,1373,52,79,44,29,36,29,26,11,0,315,5268,2674,2418,3164,3500,3041,2354,920,187,23531
LGA22620,..,581,440,100,129,189,141,40,4,1621,..,238,682,493,787,1564,1791,1316,701,7571,139,241,155,88,73,106,129,47,15,986,10473,6642,7652,7238,7171,7532,6469,3516,1224,57919,..,167,4363,7653,7541,8069,7422,3871,784,39866,..,1314,4234,2113,1710,1170,583,161,18,11312,..,140,929,1417,1575,871,414,252,187,5795,21320,..,..,..,..,..,..,..,..,21320,..,5095,..,..,..,..,..,..,..,5095,..,3781,1665,652,405,246,54,4,0,6797,..,561,375,134,174,342,356,213,116,2272,..,362,360,126,107,69,39,17,5,1090,..,1040,1036,285,318,377,282,107,19,3458,..,441,1395,1160,1721,2777,2948,1962,969,13372,257,420,322,199,164,208,224,89,26,1905,21577,13323,14673,13741,13710,14130,12332,6672,2129,112285
LGA22670,..,390,603,263,204,187,169,48,5,1880,..,161,483,474,549,975,1421,1245,655,5969,109,151,181,117,79,89,91,56,30,886,12767,9123,12287,10622,8729,7926,6627,3843,1467,73391,..,698,9798,13015,10035,9162,7416,3925,852,54905,..,638,2699,1557,1007,683,297,93,23,6984,..,141,752,1597,1990,1482,791,520,335,7607,25940,..,..,..,..,..,..,..,..,25940,..,8878,..,..,..,..,..,..,..,8878,..,4430,5168,1589,1006,449,83,4,0,12726,..,1462,1496,572,604,904,897,580,307,6819,..,980,1684,679,429,299,133,39,4,4253,..,1222,2809,1189,777,531,377,132,16,7049,..,320,1287,1258,1450,2025,2391,1860,907,11500,211,274,401,262,196,179,164,96,40,1817,26148,19036,26097,21712,17486,15715,12554,7241,2486,148475
