LGA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,0,13,9,28,30,50,49,54,57,39,23,328,154,334,334,518,408,533,531,267,106,3186,0,0,0,0,0,0,0,0,0,0,127,286,217,420,330,433,339,225,129,2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
LGA21370,0,0,0,0,0,0,0,0,0,0,0,9,0,9,3,3,3,0,0,22,0,0,0,26,0,3,0,0,0,30,0,0,0,3,0,0,0,0,0,8,0,0,5,10,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,8,0,0,19,0,0,0,11,0,5,0,0,0,11,0,4,0,0,5,0,3,0,0,10,0,0,0,3,3,0,0,0,0,4,0,3,4,19,17,19,22,18,6,107,61,151,120,279,206,214,237,161,69,1492,981,2387,2127,3730,2384,2822,2585,1573,507,19105,0,0,0,0,0,0,0,0,0,0,891,2100,1787,3330,2160,2425,2062,1269,590,16609,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,5,0,0,0,18
LGA21450,0,9,13,32,13,14,3,0,0,85,3,15,35,103,71,39,20,11,4,298,8,68,83,659,185,85,59,25,0,1171,0,5,3,60,5,0,0,0,0,74,0,9,10,25,4,3,0,0,0,58,0,0,0,6,6,12,5,6,0,34,3,15,16,44,26,18,8,0,0,129,0,8,9,23,12,12,9,0,0,65,0,0,0,12,13,16,11,3,0,59,0,0,9,42,23,7,3,0,0,94,8,77,140,513,262,206,142,106,30,1492,163,435,357,841,364,281,247,159,63,2915,4647,9070,7374,17588,7063,5618,4103,2210,591,58269,0,9,33,92,24,10,6,3,3,175,4217,7540,5565,11807,5076,3975,2852,1387,505,42917,0,6,12,77,9,4,0,0,0,116,0,0,0,26,10,11,4,3,0,55,0,0,3,13,5,3,0,3,0,25,0,0,8,54,10,14,0,0,0,93,0,12,3,28,20,6,3,0,0,73
LGA21610,5,86,73,97,61,66,43,0,0,438,0,55,124,304,260,164,109,55,4,1089,21,364,683,3402,1396,981,573,210,52,7673,0,9,6,102,13,7,11,0,0,147,6,31,32,192,26,3,12,5,0,301,0,4,13,106,107,119,54,32,8,432,11,60,67,101,60,36,18,8,0,362,3,21,54,321,203,185,108,9,14,925,0,3,8,21,28,28,18,15,5,122,0,13,58,152,77,30,4,0,0,346,26,307,672,2262,1335,1366,882,478,136,7461,582,1244,1099,2655,893,764,517,294,110,8162,14306,28376,24449,56228,22386,17923,11340,5468,1567,182041,46,547,1315,3240,876,406,160,56,19,6664,12583,21317,14525,22894,10101,7608,5023,2547,1110,97706,0,35,27,242,58,21,12,4,0,398,0,3,11,244,123,142,73,23,5,628,4,0,4,34,5,12,4,0,0,69,0,23,72,593,234,182,97,29,11,1246,0,16,20,52,31,12,13,3,0,141
LGA21670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,9,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,12,15,14,5,58,14,50,48,89,95,99,98,67,26,585,270,737,652,1099,843,1006,1115,714,210,6650,0,0,0,0,0,0,0,0,0,0,244,630,538,1011,688,882,871,530,233,5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
LGA21750,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,5,0,0,23,0,0,5,60,0,0,0,0,0,70,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,7,6,7,4,3,0,0,24,0,0,0,4,6,0,0,0,0,9,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,3,0,0,0,3,0,8,7,32,19,16,13,11,5,115,40,82,72,170,116,130,112,69,29,807,579,1361,1204,2531,1380,1612,1497,806,240,11224,0,0,0,8,0,0,0,0,0,6,502,1114,947,1939,1215,1326,1269,661,336,9307,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,9
LGA21830,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,5,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,7,19,6,9,6,6,0,48,19,56,67,131,100,109,99,54,30,672,395,992,907,1592,1024,1257,1130,610,214,8112,0,0,0,0,0,0,0,0,0,0,341,865,669,1290,878,1068,866,568,251,6794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
LGA21890,0,12,11,60,25,6,8,3,0,131,0,5,21,106,36,18,7,3,0,194,0,6,51,230,47,54,42,13,5,446,0,0,3,44,4,0,0,0,0,57,3,21,16,63,13,6,0,0,0,120,0,0,6,43,36,34,14,14,8,144,8,28,17,179,55,40,20,0,0,344,3,37,101,295,211,275,131,50,13,1109,0,0,0,22,19,5,6,3,0,59,0,0,0,30,6,3,0,0,0,47,31,123,133,1065,341,283,215,144,66,2395,123,246,358,1070,410,330,274,205,128,3153,4062,7418,8139,25576,9948,7361,4900,3216,1543,72162,0,0,4,16,8,5,0,0,0,36,3593,6211,6366,16841,7248,4769,2283,1018,750,49086,0,7,15,67,9,3,0,0,0,99,0,5,0,25,12,16,9,12,7,85,0,0,7,90,9,3,0,0,0,120,0,0,8,24,16,9,8,4,0,62,3,11,8,139,45,17,7,4,0,239
LGA22110,0,3,0,3,0,0,5,0,0,9,0,3,5,13,16,16,15,7,0,72,0,0,4,16,0,0,0,6,0,24,0,0,0,5,0,0,0,0,0,5,0,0,3,14,0,0,0,0,0,24,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,7,19,5,0,42,0,3,5,19,10,3,4,0,0,45,0,0,0,0,3,5,9,8,0,22,0,0,0,0,0,0,0,0,0,6,0,11,12,65,30,37,65,56,13,287,71,192,151,375,245,343,377,239,97,2095,1127,2581,2146,4219,2620,3725,4408,2464,640,23948,0,0,0,0,0,0,0,0,0,0,981,2285,1743,3690,2398,3154,3154,1665,592,19660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,18,8,3,0,43
LGA22170,0,5,3,20,9,11,0,0,0,57,0,26,49,152,114,66,46,15,3,471,0,0,7,95,52,63,45,29,5,292,0,0,0,16,0,6,3,0,0,30,6,22,17,34,11,4,0,0,0,83,0,0,0,19,18,16,6,4,0,67,3,21,10,68,40,28,36,10,0,216,0,11,14,32,19,11,0,4,0,92,0,0,9,27,17,23,28,17,5,127,0,0,7,22,22,4,7,0,0,65,3,74,115,431,298,276,225,167,61,1653,165,389,372,994,546,428,294,203,92,3482,4342,8875,8026,18862,9322,8179,6062,3272,1106,68038,0,0,0,23,21,22,5,0,0,69,4043,7552,6267,14591,6639,5649,4175,2184,1042,52139,0,0,4,13,0,4,0,0,0,22,0,0,0,35,17,30,18,9,0,113,0,0,0,35,3,4,0,0,0,42,0,0,5,32,12,10,7,4,0,70,0,12,9,55,21,19,13,6,0,124
LGA22250,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,3,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,0,0,22,6,59,40,87,56,87,84,45,22,484,231,602,487,941,633,826,898,524,179,5314,0,0,0,0,0,0,0,0,0,0,235,528,395,806,560,723,707,440,196,4596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
