LGA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA21270,9,32,53,32,68,100,74,56,15,443,8,34,59,52,87,94,59,31,4,427,3,30,74,75,94,121,48,13,4,468,0,13,47,44,64,71,36,10,0,284,0,10,50,30,51,48,21,0,4,206,0,6,19,25,24,39,17,6,0,134,0,0,26,36,45,39,27,0,5,172,0,0,5,0,13,7,0,0,0,24,0,0,8,11,22,13,11,0,3,65,40,20,52,43,84,98,96,86,72,599,328,246,550,490,805,1051,945,547,286,5241
LGA21370,89,279,381,330,421,486,468,234,56,2750,42,301,514,426,513,592,342,119,47,2886,13,242,588,512,617,623,270,99,15,2980,3,102,385,376,417,380,159,30,9,1862,0,64,337,306,404,349,93,34,22,1606,5,22,155,228,247,210,65,12,8,951,0,17,188,291,389,297,66,12,9,1268,4,4,22,57,71,53,20,6,3,240,0,10,18,65,101,90,52,21,9,362,187,128,312,304,391,405,484,426,319,2950,2215,1876,3902,3885,4918,5716,5143,3201,1273,32122
LGA21450,190,901,1467,1247,1026,853,664,375,96,6821,98,1095,2362,1782,1388,1077,562,197,47,8609,31,886,2929,2207,1789,1393,529,109,23,9897,10,410,2219,1813,1474,1005,283,72,15,7303,10,164,1789,1622,1356,823,195,43,18,6024,7,57,1009,1233,974,573,125,24,3,3997,0,46,1182,1946,1553,832,152,36,5,5747,0,6,158,382,311,169,28,8,0,1071,4,5,117,375,431,260,78,30,8,1300,489,448,1133,990,892,676,597,552,400,6176,7280,7063,18597,17514,14459,11663,8701,4640,1494,91426
LGA21610,485,2730,4524,4264,3386,2615,1641,726,195,20570,384,3303,7162,6500,5045,3649,1373,383,90,27885,155,2562,8421,7830,6023,4167,1208,253,63,30682,46,1234,6289,6067,4461,2963,744,110,25,21945,24,530,4708,5164,3806,2356,506,90,34,17220,3,200,2660,3594,2679,1521,340,54,10,11056,5,141,3039,5554,4123,2249,383,69,14,15567,0,22,387,1106,780,437,75,14,3,2832,10,34,316,1056,1024,584,150,61,20,3246,1315,1557,3602,2996,2400,1860,1420,1092,689,16932,23162,24309,55683,58004,45253,36204,23658,11711,4207,282197
LGA21670,18,76,150,110,169,162,161,82,24,946,11,93,156,154,203,194,106,45,10,975,5,44,162,127,157,207,76,21,3,800,4,22,85,75,123,115,40,10,3,475,0,7,73,52,97,93,25,8,3,358,0,3,23,38,51,38,10,0,0,170,0,7,41,57,59,62,16,0,3,244,0,0,5,6,15,9,0,3,0,41,3,3,8,15,19,25,13,9,0,86,70,41,94,98,174,170,208,182,69,1105,686,553,1185,1108,1678,2111,2260,1433,501,11511
LGA21750,57,153,206,202,213,283,279,109,34,1547,54,196,395,294,320,341,225,102,19,1951,20,158,506,322,392,365,179,56,10,2009,6,66,259,273,234,205,109,33,8,1191,0,20,155,186,213,177,73,20,7,843,0,7,87,115,144,118,27,16,0,522,0,3,86,180,200,157,62,8,6,700,0,0,19,25,46,32,11,5,0,135,0,0,14,48,70,64,43,16,4,255,83,61,187,181,216,251,261,176,105,1521,1214,1025,2573,2463,2814,3223,3071,1651,651,18690
LGA21830,40,92,152,125,160,217,187,111,33,1122,25,136,208,142,223,226,138,71,15,1184,17,107,246,200,251,270,152,49,9,1295,0,48,156,142,176,202,62,25,7,826,0,23,118,141,154,139,66,23,10,667,0,9,54,72,102,101,27,5,3,372,0,7,61,119,163,113,53,16,0,532,0,0,11,15,49,23,11,3,5,116,0,0,22,42,60,54,32,21,6,245,159,74,131,140,188,180,185,156,99,1305,935,743,1571,1591,2065,2536,2154,1322,517,13433
LGA21890,88,1002,2128,1303,1165,1031,761,408,158,8044,41,993,2845,1724,1546,1197,682,249,77,9362,26,814,3648,2244,1827,1393,542,145,48,10691,11,430,3380,2094,1537,1129,378,64,30,9055,4,180,2990,2228,1685,1022,323,70,31,8531,0,64,2013,1920,1434,847,190,33,11,6514,0,63,2840,4019,2863,1405,270,43,10,11513,0,11,469,1027,877,352,63,7,5,2813,5,14,399,1758,1705,585,121,24,11,4623,340,573,1526,1118,948,760,738,729,743,7476,6729,9424,28587,23888,20391,15323,10566,7356,3949,126214
LGA22110,82,258,470,441,500,656,692,384,98,3579,58,310,569,512,585,677,517,206,68,3500,25,184,607,595,659,702,449,153,32,3403,4,93,400,371,439,443,228,83,24,2085,0,40,335,289,405,415,152,66,10,1711,0,19,164,195,259,267,94,32,6,1035,0,0,174,300,354,339,101,32,8,1305,0,0,36,58,75,84,38,17,4,303,4,0,31,80,119,134,64,36,15,471,257,166,369,409,510,630,758,618,373,4087,2307,1816,4378,4496,5618,7752,8664,4873,1516,41422
LGA22170,188,980,1441,1361,1255,1242,1072,573,179,8279,108,1074,2305,1898,1879,1701,837,333,114,10245,52,851,2710,2298,2361,1980,759,199,47,11262,9,386,2368,1958,1793,1340,452,92,21,8435,5,173,1868,1861,1581,1157,335,88,19,7094,3,56,1170,1473,1330,852,182,30,11,5110,0,59,1549,2466,2136,1235,275,49,6,7773,0,6,181,459,407,236,50,11,0,1348,6,9,159,523,623,345,103,34,12,1825,523,505,1254,1208,1219,953,792,752,602,7805,7827,7760,19076,19695,18983,16928,12919,7236,3017,113444
LGA22250,15,63,84,90,108,145,164,73,17,768,13,61,101,127,159,165,108,48,10,794,7,55,132,142,162,183,65,18,8,763,0,22,85,84,97,106,26,18,3,447,0,15,64,62,69,85,32,16,5,338,0,0,29,48,42,50,20,10,3,199,0,7,22,71,72,52,22,3,0,258,0,0,5,7,21,4,0,0,3,45,0,0,5,20,31,20,17,6,0,99,56,47,67,108,129,150,181,121,72,932,494,438,884,1013,1293,1670,1744,1068,409,9007
LGA22310,89,883,1346,919,957,908,1056,566,258,6981,70,908,1982,1313,1300,1161,1009,421,202,8360,37,917,2920,1710,1505,1471,997,331,114,10005,4,493,2800,1630,1455,1190,672,168,71,8498,3,214,2600,1902,1567,1199,553,172,74,8285,0,110,1693,1683,1416,967,459,126,51,6504,4,64,2749,4220,3440,1976,681,161,84,13374,0,17,524,1333,1212,662,212,41,29,4022,4,26,529,2694,3062,1399,491,112,66,8383,308,487,1147,915,764,612,746,675,724,6367,8338,9462,22436,21899,20378,16099,13025,7220,3979,122840
LGA22410,43,122,162,164,231,223,266,142,70,1423,17,117,204,215,261,258,194,84,35,1396,17,93,239,220,291,303,140,42,10,1366,3,58,197,162,203,211,94,19,5,959,3,22,163,155,181,199,70,24,8,828,0,17,83,116,120,122,44,6,0,512,0,10,98,172,284,261,55,13,0,890,0,0,9,25,40,33,19,4,0,129,0,4,21,31,54,63,27,17,4,213,95,72,138,188,191,234,273,181,91,1459,1091,852,1865,2050,2667,3330,3059,1545,594,17065
LGA22490,47,153,162,239,214,252,207,65,12,1350,41,169,261,324,328,298,160,34,4,1613,8,126,332,377,457,354,129,26,6,1818,3,68,295,317,371,247,88,24,0,1417,0,22,279,330,312,202,59,11,6,1214,0,9,169,242,300,144,36,4,0,903,0,6,227,414,418,217,53,7,4,1353,0,0,23,72,84,36,7,0,0,231,0,0,29,95,119,68,36,9,0,359,116,79,145,184,225,194,205,128,84,1353,1681,1129,2547,3348,3693,3234,2568,1007,258,19477
LGA22620,222,938,1380,1114,1089,1224,1142,606,189,7909,119,1097,2135,1591,1461,1473,927,385,108,9294,62,766,2176,1777,1730,1666,773,244,75,9268,6,413,1705,1382,1323,1101,468,117,22,6530,10,195,1456,1393,1259,975,332,90,44,5751,0,80,847,991,1012,677,182,43,17,3842,0,61,957,1536,1599,1042,236,43,18,5500,0,15,112,292,329,191,48,12,8,1014,0,11,115,360,440,303,123,44,27,1419,462,455,997,905,945,1006,938,806,620,7138,7017,7245,15687,14674,14673,15299,13545,7499,3097,98733
LGA22670,143,1196,2521,2075,1706,1366,740,414,134,10286,97,1395,4021,2954,2450,1806,676,224,72,13685,36,998,3966,2834,2273,1625,478,105,24,12341,5,454,2644,1976,1344,991,258,45,14,7747,9,179,1826,1580,994,659,213,63,20,5548,6,79,1062,1077,674,366,107,15,3,3388,0,45,1105,1463,941,480,107,22,0,4167,0,6,140,287,161,89,18,8,0,721,0,10,128,303,202,92,39,14,6,801,552,786,2176,1543,1143,1070,886,785,514,9463,8601,11392,27782,23041,18472,16646,13369,8102,3400,130795
LGA22750,357,2136,3024,2320,2164,2350,2596,1423,383,16750,218,2259,4292,3020,2986,2839,2087,817,244,18762,92,1707,5390,3795,3579,3346,1790,532,134,20354,28,892,4374,3157,2894,2442,1019,290,67,15158,7,386,3691,3235,2847,2094,754,255,81,13348,4,143,2343,2446,2290,1505,462,108,27,9335,9,102,3042,4696,4038,2608,597,165,37,15301,7,19,425,921,928,590,149,46,15,3103,3,36,470,1398,1705,1002,375,123,43,5162,878,1154,2516,2074,1902,1679,1997,1752,1441,15396,15088,17203,38200,34409,32985,32161,29684,16706,6844,223284
LGA22830,122,520,809,714,674,646,649,308,75,4512,73,573,1218,971,1001,782,463,205,70,5354,30,433,1295,980,1020,906,377,125,27,5196,5,221,884,697,759,673,217,64,20,3536,0,98,715,640,579,533,170,60,24,2821,0,33,352,471,490,336,107,34,13,1833,0,29,372,601,738,525,143,33,7,2434,0,4,58,105,134,90,36,9,3,431,7,4,57,165,231,183,49,31,14,744,402,356,840,753,715,707,646,532,256,5203,4124,3838,8899,8176,8527,8503,7214,4255,1649,55188
LGA22910,11,60,126,137,172,229,266,93,20,1113,13,65,172,147,227,269,197,54,17,1155,9,42,193,200,246,286,156,52,6,1190,0,13,102,153,169,178,83,26,11,731,0,11,90,147,174,146,71,25,7,666,0,9,41,89,132,113,44,8,3,434,0,4,56,143,231,192,70,5,4,704,0,0,10,38,56,45,20,5,6,173,0,0,13,69,124,111,46,9,0,371,72,37,110,156,209,227,253,184,140,1384,724,462,1297,1748,2432,2927,2881,1311,467,14251
LGA22980,7,21,64,42,55,72,62,31,20,385,10,36,101,64,80,99,34,30,7,459,5,28,105,67,81,108,36,23,3,457,0,19,54,39,55,52,30,7,0,262,0,8,47,35,43,61,23,15,7,233,0,0,15,22,22,29,13,3,0,114,0,5,24,32,43,64,20,6,0,189,0,0,4,7,6,13,4,4,0,31,0,0,8,6,21,17,10,0,0,64,31,12,30,49,43,60,75,66,75,436,303,214,610,533,664,918,784,537,282,4851
LGA23110,81,485,755,599,632,682,632,314,81,4264,41,552,1170,934,922,872,524,187,70,5263,22,416,1530,1164,1099,1019,493,126,43,5918,0,209,1387,1170,1018,824,285,70,21,4981,3,114,1290,1239,1102,809,214,68,18,4862,0,51,908,1117,937,630,153,24,7,3825,0,34,1437,2660,2022,1124,206,29,7,7520,0,3,270,744,587,333,61,7,4,2018,3,19,269,1279,1189,568,115,20,13,3469,238,282,858,778,651,513,503,434,429,4674,4474,4555,12426,14248,12897,11063,8051,4548,2115,74390
LGA23190,42,155,226,175,198,223,209,120,40,1389,19,215,340,224,277,319,162,74,41,1667,8,149,406,333,342,328,151,38,26,1787,4,67,270,238,273,205,91,38,4,1184,0,31,228,193,213,218,60,28,9,984,0,7,123,121,140,124,30,12,5,555,0,12,150,223,206,177,66,14,3,862,0,0,18,30,20,47,11,10,6,147,0,7,24,59,95,62,31,18,3,297,106,95,180,130,129,151,177,142,113,1226,1196,1149,2557,2267,2421,2759,2266,1425,656,16691
LGA23270,270,1732,3137,2715,2004,1611,1068,504,118,13150,173,1982,4593,3664,2697,2077,830,268,78,16368,95,1495,5349,4160,3168,2393,738,135,30,17570,26,768,4019,3260,2289,1663,420,72,8,12523,9,342,3171,2832,1981,1409,296,54,15,10105,9,130,1884,2078,1441,944,164,24,6,6677,4,118,2138,3358,2100,1341,238,38,8,9342,3,25,265,631,447,251,58,3,3,1688,8,34,244,603,527,351,88,25,8,1882,1093,1228,2952,2558,1870,1420,1015,721,336,13192,15225,16584,40097,37187,28715,24719,16262,7891,2473,189145
LGA23350,33,91,121,140,172,219,235,113,21,1138,23,108,175,171,225,271,187,65,23,1259,14,73,214,248,323,341,160,44,11,1427,0,23,190,207,254,235,89,30,7,1030,0,17,115,165,239,192,78,14,6,822,0,5,75,130,187,139,33,16,0,594,0,9,94,227,296,200,51,5,0,876,0,0,17,42,52,42,13,0,0,168,4,0,9,41,63,60,26,7,0,202,84,60,135,170,186,213,155,136,72,1210,985,592,1463,1945,2453,2796,2468,1232,394,14324
LGA23430,151,909,1237,1124,1260,1370,1261,731,272,8325,105,989,1999,1666,1848,1738,1120,437,182,10093,36,781,2680,2230,2327,2029,953,313,83,11438,17,460,2547,2048,2025,1510,660,171,63,9498,5,195,2198,2127,2057,1356,459,132,43,8581,0,75,1603,1899,1691,1100,319,57,30,6782,5,62,2200,4012,3588,1864,418,80,25,12242,0,0,320,1125,923,459,102,22,8,2962,0,22,308,1522,1650,716,147,47,13,4428,320,431,1003,919,838,745,810,875,824,6774,8594,8339,19848,22756,22848,19205,15387,9541,4401,130919
LGA23670,181,1061,1413,1379,1526,1475,1312,706,213,9272,111,1245,2284,1918,1940,1851,1100,441,109,11003,53,1060,3101,2531,2502,2257,1061,258,67,12892,10,537,2544,2110,2032,1699,594,109,27,9663,4,229,2139,2157,1968,1566,408,101,27,8589,3,86,1319,1764,1495,1080,267,33,8,6055,3,51,1701,3260,2696,1791,363,42,14,9922,0,3,202,726,656,423,91,12,5,2119,0,14,191,746,820,561,119,33,21,2503,338,419,893,829,792,704,711,801,702,6195,9314,9661,20219,22280,21548,20530,15998,8898,3540,131987
LGA23810,117,539,874,666,665,749,682,356,88,4733,80,649,1139,922,803,832,530,169,47,5170,42,423,1286,928,918,892,474,149,50,5162,14,210,979,752,677,609,267,50,18,3576,4,119,815,717,656,533,186,55,15,3092,5,37,471,503,504,406,119,21,8,2080,0,54,559,800,926,733,146,22,9,3256,0,6,99,168,212,176,38,12,0,713,0,6,93,242,312,298,76,24,3,1054,418,394,833,806,782,849,868,707,581,6245,4347,4299,9809,8868,9314,10657,9321,5066,1947,63627
LGA23940,9,19,64,66,85,107,83,46,13,492,4,41,93,78,117,115,78,30,13,567,0,27,90,72,107,121,70,15,4,498,0,5,53,54,67,79,37,13,5,316,0,4,25,52,53,63,24,13,4,238,0,4,20,35,27,33,18,6,0,147,0,0,10,26,47,55,24,9,0,173,0,0,0,6,11,7,0,0,0,32,0,0,5,10,12,14,10,4,7,54,51,42,58,87,129,175,157,120,95,915,387,264,618,694,988,1388,1299,651,308,6602
LGA24130,80,275,300,369,466,447,556,257,50,2797,45,266,421,474,565,530,428,194,28,2945,20,203,496,586,721,658,433,124,22,3270,9,108,491,561,611,535,239,91,23,2657,3,55,493,632,677,531,189,64,7,2660,0,15,305,530,564,382,115,34,10,1955,4,27,513,1098,1257,758,188,37,10,3897,0,0,75,305,362,222,44,4,6,1018,0,0,87,496,665,370,138,36,17,1804,237,161,280,341,452,431,399,294,158,2761,3268,2138,4469,6672,7838,7007,5937,2999,893,41232
LGA24210,103,631,859,866,987,1012,1010,867,314,6644,46,679,1323,1075,1222,1219,965,625,184,7338,28,692,1780,1452,1400,1418,876,488,123,8252,13,417,1616,1259,1171,1052,560,275,85,6445,0,195,1371,1295,1270,1017,457,248,73,5915,0,55,850,1104,1078,842,376,165,31,4502,0,41,1212,2497,2309,1567,529,204,56,8412,0,14,222,737,746,480,141,68,18,2426,7,14,278,1231,1686,1068,311,101,34,4736,235,257,577,616,659,556,537,622,551,4612,7356,7339,13388,16055,16718,15921,13063,10148,4558,104556
LGA24250,21,46,81,95,111,137,127,52,12,687,9,37,117,125,132,159,103,30,9,722,6,53,152,131,151,189,103,21,5,796,0,24,75,118,115,117,49,20,3,518,0,4,64,88,86,88,41,13,5,399,0,5,43,64,70,71,15,8,4,280,0,0,58,99,113,110,41,3,0,417,0,3,3,19,23,24,14,4,0,98,0,4,10,37,44,57,27,4,0,193,54,32,77,107,113,152,153,78,47,820,557,304,870,1127,1229,1703,1645,762,239,8430
