LGA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA21270,1948,1811,3754,286,298,580,28,32,55,345,335,677,21,25,48,13,9,22,7,11,17,0,0,5,0,0,3,0,0,0,0,0,0,418,411,830,54,53,106,21,15,34,781,770,1552,309,273,587,3038,2856,5891
LGA21370,10879,10997,21877,1970,2126,4096,441,505,947,2705,2933,5634,135,128,266,27,30,59,52,46,99,22,22,44,42,41,84,5,4,13,0,0,0,3426,3720,7149,245,284,528,92,81,174,5739,6211,11948,1510,1457,2972,18123,18669,36796
LGA21450,26428,26996,53421,2851,3088,5938,295,330,625,18256,19061,37318,287,302,587,109,131,236,121,120,243,57,63,113,61,56,116,25,22,48,0,0,0,19211,20079,39288,1797,2004,3800,385,287,675,24240,25458,49700,2958,3022,5977,53626,55473,109105
LGA21610,88123,89334,177461,5868,5962,11830,1253,1169,2423,50991,51005,101998,815,828,1639,574,469,1042,461,415,879,154,183,338,146,129,283,80,74,156,0,0,0,54470,54281,108754,9882,11270,21161,1118,879,2003,71344,72400,143741,8263,7936,16197,167736,169665,337401
LGA21670,3935,3949,7884,531,658,1185,36,47,84,1141,1207,2344,32,36,71,21,22,38,14,12,21,13,12,20,9,8,18,0,3,0,0,0,0,1260,1343,2604,38,62,96,39,21,59,1861,2088,3948,585,537,1125,6377,6575,12957
LGA21750,6239,6241,12480,1350,1343,2692,55,70,127,1666,1767,3425,57,70,123,24,27,53,19,15,37,7,12,17,17,21,37,4,0,3,0,0,0,1851,1982,3830,288,274,564,56,40,97,3546,3639,7184,855,785,1642,10639,10664,21301
LGA21830,4785,4734,9514,808,791,1598,51,63,111,1121,1185,2300,43,38,75,25,20,44,23,23,45,24,19,38,8,3,13,0,5,4,0,0,0,1279,1352,2637,96,103,198,52,38,90,2237,2283,4523,701,633,1333,7722,7645,15366
LGA21890,36919,39955,76869,2465,2590,5050,842,955,1796,17837,18934,36764,514,590,1104,202,282,480,263,284,550,116,140,256,92,86,181,133,175,308,0,0,0,19997,21446,41446,4800,4651,9447,591,566,1155,27851,29247,57097,3339,3373,6710,68104,72572,140680
LGA22110,12725,12999,25722,2514,2739,5249,450,445,893,4126,4447,8576,194,241,431,47,45,88,108,90,201,54,59,113,49,34,85,41,47,89,0,0,0,5066,5410,10482,300,338,639,150,119,273,8038,8603,16636,2061,2121,4181,22820,23721,46547
LGA22170,36856,38306,75161,3699,4089,7788,346,368,715,16478,17621,34089,310,341,654,75,74,149,140,151,293,73,76,150,46,52,92,47,42,93,0,0,0,17504,18729,36227,1367,1626,2986,529,522,1050,23098,24957,48055,3742,3719,7461,63699,66981,130676
LGA22250,3135,3110,6245,507,542,1053,109,113,222,680,705,1387,39,29,72,18,21,43,7,10,17,10,11,17,13,19,30,0,0,3,0,0,0,877,905,1789,40,62,99,22,22,43,1443,1534,2974,500,471,972,5084,5111,10193
LGA22310,36250,39365,75621,3543,3623,7165,711,744,1457,17900,18747,36644,389,464,847,191,216,405,294,298,594,60,71,130,53,50,99,95,99,191,0,0,0,19686,20684,40366,5917,6078,11999,447,393,835,29597,30774,60370,2391,2762,5150,68238,72897,141139
LGA22410,5708,5582,11293,1300,1348,2650,80,84,163,1226,1335,2565,89,103,194,137,188,331,44,51,98,10,19,31,17,26,46,7,8,10,0,0,0,1620,1808,3426,115,122,239,61,51,115,3090,3338,6429,787,738,1523,9584,9662,19245
LGA22490,7544,7051,14595,509,492,1002,50,58,104,2937,2989,5928,52,49,99,20,21,38,32,29,57,13,13,24,12,17,26,4,8,17,0,0,0,3115,3184,6298,62,69,132,58,60,119,3748,3804,7551,687,616,1300,11978,11470,23447
LGA22620,30293,31583,61880,3623,3944,7559,561,691,1259,14637,16217,30854,413,447,855,193,222,414,175,194,369,86,87,170,115,118,236,78,94,166,0,0,0,16249,18072,34323,1055,1234,2294,373,429,799,21302,23669,44972,3665,3812,7476,55259,59064,114329
LGA22670,41587,42403,83990,4132,3863,7995,444,363,805,15152,13356,28507,246,206,458,200,156,353,209,168,377,44,48,89,44,30,69,29,39,71,0,0,0,16380,14364,30733,8024,8117,16144,521,385,909,29056,26725,55781,4700,4111,8809,75339,73248,148585
LGA22750,63473,67738,131211,9752,10487,20237,1110,1233,2344,34099,37738,71839,744,915,1659,328,357,684,362,373,741,269,293,564,177,221,401,121,148,278,0,0,0,37217,41292,78513,4630,4240,8868,867,810,1678,52465,56815,109288,7939,7150,15091,123882,131708,255586
LGA22830,17660,17647,35303,2907,3021,5924,350,406,752,6089,6612,12702,240,226,466,56,69,123,68,76,140,49,45,94,51,62,116,20,16,37,0,0,0,6928,7506,14441,1252,1435,2687,227,247,479,11313,12217,23528,2890,2598,5489,31863,32457,64322
LGA22910,4559,4738,9297,563,628,1192,76,72,151,1649,1670,3316,48,56,100,21,22,39,21,23,48,21,13,31,16,22,37,15,15,27,0,0,0,1859,1891,3750,126,129,253,34,32,72,2588,2676,5263,663,702,1367,7812,8116,15930
LGA22980,1736,1691,3427,290,317,614,34,33,69,316,296,615,20,22,38,35,42,71,10,12,28,0,4,5,4,9,11,0,5,4,0,0,0,417,424,843,41,45,83,10,9,18,758,797,1551,226,210,427,2714,2695,5410
LGA23110,24506,25930,50439,2867,2912,5774,401,405,808,8600,9278,17878,275,342,625,111,98,213,198,189,385,55,66,123,49,58,107,69,66,138,0,0,0,9769,10503,20273,2106,2175,4283,256,232,492,14996,15818,30816,2154,2143,4290,41660,43889,85544
LGA23190,5579,5687,11263,1555,1666,3228,61,66,122,1236,1328,2563,62,67,123,77,92,170,29,22,48,12,10,22,19,19,41,3,3,5,0,0,0,1500,1598,3094,136,166,307,58,50,105,3245,3483,6730,625,641,1266,9449,9813,19262
LGA23270,59338,60347,119683,5121,5206,10330,1041,1016,2062,29438,29860,59292,514,537,1050,272,270,542,261,238,502,119,127,244,108,94,199,107,103,211,3,3,9,31866,32251,64111,8873,8594,17463,645,515,1155,46502,46562,93062,6412,5895,12304,112244,112803,225051
LGA23350,4864,5072,9942,678,740,1417,420,467,886,1173,1260,2427,84,81,160,25,24,44,35,22,56,6,12,20,20,18,34,18,30,54,0,0,0,1774,1906,3683,80,82,164,41,44,87,2571,2777,5356,689,532,1221,8136,8382,16518
LGA23430,43846,47195,91035,3302,3518,6818,486,510,1002,17174,18391,35566,313,342,655,135,144,274,185,184,367,55,54,107,48,60,113,43,58,100,0,0,0,18433,19745,38180,3541,3568,7110,415,403,817,25690,27235,52930,2732,2819,5548,72263,77249,149516
LGA23670,47470,49669,97135,2279,2413,4687,338,341,678,17175,17781,34952,259,284,544,157,198,353,132,141,273,67,58,125,48,40,88,36,38,74,0,0,0,18214,18875,37088,2683,2985,5670,433,384,816,23605,24656,48262,2576,2699,5273,73649,77027,150674
LGA23810,20784,21198,41980,3534,4005,7541,226,240,468,6708,7322,14034,216,240,452,63,64,125,91,99,188,44,60,100,49,54,101,14,12,26,0,3,3,7412,8084,15500,483,566,1050,277,305,585,11709,12964,24673,3145,3231,6374,35635,37388,73024
LGA23940,2401,2248,4646,259,284,545,31,34,67,487,547,1038,33,32,67,11,6,20,13,6,15,4,3,14,4,0,8,0,4,6,0,0,0,582,644,1220,38,49,84,23,16,40,901,991,1891,456,447,906,3762,3682,7444
LGA24130,14414,14824,29234,1835,1949,3785,186,213,398,5375,5575,10948,108,131,232,35,54,86,54,51,106,30,24,49,24,21,45,15,11,30,0,0,0,5824,6070,11898,377,393,768,126,81,208,8167,8498,16659,1339,1377,2716,23915,24696,48609
LGA24210,35297,37958,73251,2029,2161,4188,340,352,693,13050,13892,26944,253,273,531,171,187,351,203,178,374,49,59,112,17,26,47,55,49,99,0,0,0,14138,15012,29150,4019,4232,8251,212,195,406,20394,21603,41992,1849,2047,3892,57540,61595,119137
LGA24250,2440,2418,4855,698,746,1439,75,75,153,1001,1082,2083,30,59,94,13,16,25,21,18,41,11,12,20,14,9,29,4,8,14,0,0,0,1172,1282,2451,89,99,193,21,13,37,1989,2141,4127,400,395,798,4823,4953,9776
LGA24330,19314,20111,39423,2075,2082,4164,581,592,1173,10746,10752,21499,394,381,775,165,176,346,208,217,420,75,81,160,75,66,140,88,111,202,0,0,0,12340,12373,24709,3648,3183,6831,394,321,720,18459,17962,36420,2389,2036,4420,40166,40103,80266
LGA24410,32236,34318,66558,1691,1826,3522,259,296,554,13320,14389,27712,211,219,424,92,106,197,92,100,193,42,46,84,48,48,99,43,39,84,0,0,3,14108,15247,29351,2045,2341,4387,291,249,546,18138,19665,37802,1811,2009,3819,52191,55999,108180
LGA24600,15888,16529,32419,3223,3193,6414,2212,2226,4433,21054,19965,41016,1510,1578,3087,620,707,1327,972,929,1899,365,370,736,145,143,289,466,430,896,0,0,0,27337,26355,53699,19150,20891,40038,711,559,1275,50420,51004,101420,5876,5539,11417,72186,73075,145262
LGA24650,41529,42244,83766,2960,3234,6197,966,945,1911,24460,25359,49816,431,420,856,258,234,490,234,209,443,111,114,223,100,94,194,69,73,144,0,0,0,26627,27451,54082,3986,4422,8403,455,405,854,34022,35514,69537,6385,4808,11193,81938,82558,164496
LGA24780,14395,14746,29135,2321,2555,4877,685,769,1454,4423,4758,9181,207,255,466,371,395,771,71,97,171,21,23,45,72,78,145,21,17,36,0,0,0,5873,6398,12270,1082,1038,2121,195,163,354,9464,10150,19621,2535,2421,4956,26399,27313,53707
LGA24850,11940,11748,23685,2114,2240,4357,272,237,516,5828,5941,11769,376,277,656,103,70,173,75,55,127,35,28,64,108,66,181,32,34,66,0,0,5,6834,6716,13548,487,529,1010,164,127,289,9592,9613,19208,1568,1489,3061,23096,22859,45954
LGA24900,8222,8197,16422,1834,1936,3770,454,524,982,2160,2174,4332,109,134,240,20,12,37,35,39,74,17,19,40,21,23,35,10,10,23,0,0,0,2826,2936,5760,252,250,504,74,61,136,4990,5184,10172,1267,1178,2443,14479,14562,29040
LGA24970,47661,50975,98633,3722,3757,7478,739,690,1430,20733,20159,40896,509,528,1041,364,344,706,317,351,665,178,168,349,101,90,183,113,129,234,0,0,0,23049,22460,45508,11473,10103,21576,494,394,884,38732,36711,75443,4089,3779,7868,90484,91461,181943
LGA25060,32301,34713,67019,2435,2644,5077,539,573,1117,14029,14905,28935,413,446,856,200,232,435,242,225,466,58,94,153,63,60,122,95,95,196,0,0,0,15646,16635,32274,2935,2879,5817,353,389,740,21370,22546,43912,2360,2428,4788,56031,59686,115718
LGA25150,9919,9878,19802,1720,1853,3568,100,115,218,4180,4405,8589,69,72,139,44,44,87,40,48,85,11,22,38,19,22,42,9,11,22,0,0,0,4467,4744,9217,264,302,561,85,89,174,6538,6990,13521,979,956,1938,17438,17819,35257
LGA25250,39692,43040,82736,3167,3157,6331,1315,1481,2796,21069,22134,43201,766,898,1664,347,400,750,452,470,925,185,188,375,113,134,246,271,308,584,0,0,5,24522,26021,50546,6685,6547,13231,627,603,1233,35002,36337,71340,3791,3761,7551,78487,83137,161621
LGA25340,44246,47488,91738,6279,6737,13016,701,695,1396,18480,20368,38846,647,523,1162,115,90,214,316,239,557,95,83,177,97,86,182,61,62,120,0,3,3,20509,22137,42648,1215,1387,2605,374,357,736,28387,30616,59007,4923,5366,10287,77550,83475,161030
LGA25430,5332,5510,10838,800,859,1655,109,92,207,1916,2092,4007,43,70,111,16,26,45,37,30,68,11,14,26,14,27,45,11,11,20,0,0,0,2165,2361,4527,102,155,253,41,28,70,3108,3402,6511,1243,858,2096,9672,9773,19447
LGA25490,5108,5006,10109,702,787,1486,54,71,121,1397,1509,2903,45,54,101,33,42,71,32,41,74,20,18,33,11,12,21,10,4,13,0,0,0,1597,1743,3336,84,110,190,40,33,73,2417,2673,5089,608,606,1217,8138,8276,16413
LGA25620,4373,4127,8501,591,635,1221,33,48,82,1545,1418,2960,35,50,85,16,14,30,15,18,31,4,9,15,11,10,24,3,0,6,0,0,4,1669,1564,3236,63,79,139,34,15,52,2353,2292,4649,741,660,1404,7464,7085,14549
LGA25710,20936,21319,42251,1127,1163,2287,131,135,269,5545,5722,11266,98,121,217,37,41,77,56,44,102,17,22,42,14,24,44,16,23,37,0,0,0,5927,6135,12061,437,527,960,116,93,208,7600,7919,15518,948,956,1899,29484,30194,59672
LGA25810,3462,3419,6884,646,655,1298,37,38,80,673,701,1370,27,40,67,37,43,83,19,20,35,6,5,13,3,7,13,0,0,0,0,0,0,809,856,1666,144,146,292,29,21,56,1634,1684,3311,610,562,1176,5706,5667,11370
LGA25900,19190,20461,39654,3010,3189,6201,1047,1167,2206,13743,14506,28250,597,691,1285,216,237,451,376,416,792,125,129,249,42,67,111,132,144,271,0,0,0,16273,17345,33618,5211,5429,10638,465,403,867,24952,26367,51315,3452,3339,6795,47593,50170,97765
LGA25990,2217,2103,4321,198,208,404,16,17,38,677,716,1391,26,24,53,16,19,39,5,8,7,0,0,3,4,4,5,3,4,4,0,0,0,747,789,1537,20,24,39,14,9,14,972,1027,1999,665,368,1034,3854,3502,7356
LGA26080,848,973,1823,100,103,200,7,7,15,378,412,795,0,6,12,0,4,0,3,4,6,4,3,7,7,4,10,0,6,4,0,0,0,402,446,849,31,22,53,3,0,4,535,577,1108,131,128,255,1508,1677,3187
LGA26170,8352,8389,16736,1630,1730,3365,81,91,172,2838,3086,5925,85,75,164,15,22,38,31,38,70,18,29,43,22,25,47,9,3,16,0,0,0,3095,3367,6465,145,149,292,61,52,110,4938,5294,10229,1079,1093,2170,14367,14769,29137
LGA26260,4704,4741,9450,997,1127,2121,60,73,133,1017,1122,2135,72,87,162,87,89,173,37,29,68,15,12,29,21,19,41,0,5,5,0,0,0,1312,1439,2754,95,119,209,52,34,87,2451,2719,5175,525,568,1094,7682,8029,15716
LGA26350,21292,23889,45180,2400,2575,4973,981,1141,2121,14063,15098,29160,608,727,1333,287,312,598,388,479,866,134,138,270,44,41,86,130,134,260,0,0,6,16636,18072,34710,4729,5286,10017,343,317,652,24107,26246,50351,2489,2722,5218,47888,52860,100751
LGA26430,3102,3078,6184,520,577,1105,101,101,204,932,979,1910,40,50,86,14,24,32,19,21,42,14,18,33,18,10,28,11,7,15,0,0,0,1145,1210,2355,70,94,164,20,26,44,1762,1900,3663,549,531,1081,5411,5518,10927
LGA26490,8861,8948,17812,2060,2112,4175,130,146,283,4595,4873,9466,106,100,205,34,25,58,59,60,115,17,20,38,29,34,67,25,20,44,0,0,0,4997,5282,10281,384,426,811,111,97,209,7556,7917,15473,1029,1077,2105,17446,17942,35389
LGA26610,5812,5784,11592,1162,1192,2353,181,188,367,985,1107,2096,47,52,101,44,41,85,30,23,56,10,12,27,28,12,40,4,5,3,0,0,0,1323,1450,2777,732,606,1337,61,50,112,3280,3295,6580,1007,927,1935,10099,10003,20104
LGA26670,1864,1768,3631,243,250,498,174,188,366,305,308,605,51,44,90,5,19,21,5,7,16,5,4,5,10,6,14,9,4,17,0,0,0,559,584,1144,50,39,91,11,15,32,872,886,1752,286,266,554,3020,2922,5940
LGA26700,8298,8661,16964,1681,1805,3484,222,266,494,2006,2250,4259,124,151,274,28,38,67,50,56,105,15,18,38,28,25,55,9,12,25,0,0,0,2483,2823,5309,185,232,422,86,104,185,4438,4964,9403,912,998,1906,13642,14622,28267
LGA26730,9055,9780,18836,1841,2073,3912,102,116,219,3099,3553,6651,117,122,238,78,98,181,68,59,128,18,33,45,32,29,55,6,5,16,0,0,0,3518,4021,7537,489,452,943,125,95,223,5967,6637,12612,1042,1096,2133,16066,17514,33579
LGA26810,11747,11936,23679,2476,2637,5114,310,307,620,3589,3736,7326,277,290,566,98,83,177,70,69,141,49,47,99,51,46,98,45,40,86,0,0,0,4492,4614,9107,318,377,695,141,136,279,7429,7764,15192,2587,1780,4373,21762,21480,43247
LGA26890,1224,1174,2402,169,163,331,28,23,52,179,181,361,9,15,22,54,63,112,4,8,12,0,5,3,4,3,5,0,0,0,0,0,0,274,290,569,18,24,45,7,0,14,472,487,958,203,202,403,1899,1861,3761
LGA26980,44058,48678,92732,2761,2841,5603,592,613,1201,18042,18795,36835,377,430,808,236,253,491,269,248,520,120,126,248,66,57,125,106,103,203,0,0,0,19802,20621,40418,7741,7790,15532,447,389,836,30748,31643,62392,3088,3348,6437,77889,83672,161559
LGA27070,59356,61273,120631,4118,4265,8379,766,795,1563,27488,28109,55600,509,490,999,290,345,630,279,282,553,89,98,192,155,142,298,70,86,152,0,0,0,29645,30345,59996,6600,6397,13001,653,512,1161,41010,41521,82533,4864,4860,9724,105231,107651,212885
LGA27170,9896,10540,20438,1574,1682,3258,1438,1499,2932,4050,4388,8439,529,465,988,93,78,171,105,103,215,52,49,99,106,98,199,87,77,167,0,0,0,6454,6751,13205,470,498,966,198,154,351,8697,9086,17785,1169,1154,2326,19761,20787,40551
LGA27260,58927,59378,118303,5780,5878,11659,2346,2273,4615,38761,38012,76774,1151,1170,2322,714,704,1415,797,745,1541,249,256,508,278,249,522,182,201,381,0,3,5,44480,43601,88075,15229,15188,30424,953,769,1719,66444,65439,131881,8620,7108,15727,133987,131930,265911
LGA27350,16692,17985,34676,2140,2233,4375,1151,1303,2456,13420,13772,27189,722,827,1547,304,332,639,467,491,956,138,147,281,62,87,149,212,241,450,0,0,0,16475,17195,33671,3885,4242,8122,456,347,808,22952,24023,46973,2535,2285,4821,42184,44292,86477
LGA27450,47378,48113,95491,3479,3763,7241,282,307,583,16019,17089,33106,246,311,556,63,66,132,122,137,257,53,60,114,53,44,101,26,23,47,0,0,0,16864,18041,34899,1100,1265,2361,358,320,683,21802,23383,45183,3150,2937,6091,72332,74437,146762
LGA27630,2112,2008,4119,263,267,529,24,30,60,362,379,749,23,27,47,23,14,33,11,11,20,0,3,3,10,16,20,0,0,0,0,0,0,458,477,934,22,31,48,19,18,35,761,788,1553,296,305,605,3166,3104,6272
LGA29399,138,116,254,22,21,47,14,7,26,88,94,185,23,10,43,8,0,4,4,8,12,8,9,10,0,5,5,3,0,3,0,0,0,149,132,282,50,49,100,5,15,17,227,224,451,122,110,233,488,450,935
LGA29499,538,340,876,170,99,264,102,82,184,1346,1306,2654,96,103,199,42,26,62,34,37,70,21,13,34,14,15,30,6,8,17,0,0,0,1660,1586,3243,283,285,568,58,39,95,2171,2008,4180,2241,1381,3624,4945,3734,8678
LGA29799,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,0,0,0,7,0,9,24,3,27,36,6,38
