LGA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA24850,..,3780,3780,5357,280,5644,2793,46,2842,2857,11,2870,1317,0,1321,681,7,692,13008,4128,17140
LGA24900,..,3579,3579,4443,263,4710,1334,35,1363,1247,10,1259,661,4,666,324,10,335,8013,3903,11917
LGA24970,..,14109,14109,19229,1809,21041,11636,1021,12662,12455,629,13082,4042,253,4295,1630,161,1791,48995,17979,66979
LGA25060,..,13958,13958,13924,1297,15221,7126,418,7549,7521,137,7661,2631,37,2671,739,19,761,31933,15876,47814
LGA25150,..,3085,3085,4323,221,4543,2156,27,2185,2251,9,2261,1022,0,1025,407,0,410,10160,3341,13500
LGA25250,..,20051,20051,19365,2906,22269,9525,1532,11059,9172,751,9920,2941,211,3150,1347,71,1413,42343,25530,67871
LGA25340,..,17727,17727,23197,1004,24206,8621,126,8744,9079,36,9116,3610,18,3625,1231,3,1234,45733,18918,64650
LGA25430,..,2785,2785,3055,204,3261,1016,36,1051,867,3,874,293,0,293,133,0,132,5369,3030,8396
LGA25490,..,1629,1629,2377,93,2471,821,13,839,853,0,853,456,0,456,203,0,203,4704,1735,6439
LGA25620,..,1825,1825,2277,129,2410,692,15,707,653,8,659,284,3,288,120,0,120,4029,1976,6006
LGA25710,..,3078,3078,6462,182,6646,3784,24,3818,4849,13,4860,1936,6,1944,569,3,567,17601,3312,20912
LGA25810,..,1724,1724,1723,104,1832,540,23,559,471,6,481,211,0,218,89,0,92,3038,1865,4903
LGA25900,..,21347,21347,14730,2464,17190,4646,609,5256,3532,147,3681,973,32,1010,238,12,251,24123,24609,48731
LGA25990,..,938,938,1155,60,1211,315,7,323,285,0,287,140,0,140,74,0,74,1964,1011,2976
LGA26080,..,486,486,641,17,652,133,0,136,110,0,110,42,0,42,11,0,11,939,503,1441
LGA26170,..,3585,3585,4449,215,4663,1404,21,1429,1319,3,1322,698,0,703,307,3,311,8184,3820,12001
LGA26260,..,2334,2334,2355,121,2477,806,17,821,707,0,707,361,0,364,140,0,140,4365,2480,6844
LGA26350,..,18524,18524,14265,2360,16628,4721,767,5487,4412,216,4630,1556,56,1610,347,12,354,25295,21930,47229
LGA26430,..,1559,1559,1844,95,1941,539,10,553,410,0,412,189,0,189,89,0,89,3075,1663,4734
LGA26490,..,2828,2828,4587,246,4834,1841,95,1939,2382,45,2429,976,13,986,247,11,256,10041,3236,13270
LGA26610,..,2150,2150,2532,217,2751,1013,56,1066,907,36,943,523,11,531,260,19,278,5228,2495,7718
LGA26670,..,712,712,984,40,1026,271,3,273,235,0,235,118,0,118,49,0,49,1655,756,2406
LGA26700,..,3645,3645,4139,219,4356,1457,38,1492,1413,10,1415,678,3,675,257,7,257,7927,3923,11847
LGA26730,..,4229,4229,4649,319,4970,1906,84,1990,1721,29,1750,771,11,778,269,4,274,9310,4680,13993
LGA26810,..,5321,5321,6305,358,6660,2129,44,2174,1998,4,2005,949,5,952,420,0,422,11797,5738,17538
LGA26890,..,576,576,583,39,625,170,0,170,148,0,152,91,0,91,29,0,29,1021,619,1643
LGA26980,..,15879,15879,18145,1709,19855,10199,675,10872,10962,382,11341,3656,147,3805,1258,84,1340,44225,18870,63094
LGA27070,..,13808,13808,20130,1305,21436,14310,372,14683,15785,178,15968,6648,75,6726,3304,50,3350,60186,15787,75971
LGA27170,..,4605,4605,5244,355,5606,2388,61,2452,2282,14,2297,987,8,990,424,0,424,11332,5040,16372
LGA27260,..,13668,13668,20403,1777,22179,18838,585,19418,20506,364,20874,8053,162,8213,5376,82,5458,73173,16643,89823
LGA27350,..,15019,15019,12645,2521,15164,4099,1545,5640,3047,545,3590,842,126,960,240,26,269,20876,19777,40646
LGA27450,..,11893,11893,17945,922,18871,9189,143,9338,9931,52,9988,3955,14,3968,1782,10,1793,42808,13033,55842
LGA27630,..,996,996,986,53,1038,293,0,298,213,0,213,132,0,132,64,0,64,1688,1048,2740
LGA29399,..,58,58,50,11,56,14,6,20,8,0,6,3,0,8,0,3,6,81,80,156
LGA29499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
