LGA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA26700,0,15,0,166,3,0,0,5,0,0,0,4,0,16,109,148,5,0,0,0,0,0,0,0,0,36,21,71,631,211,32,585,67,250,53,284,57,1332,162,3660
LGA26730,4,30,3,223,0,0,0,7,0,0,0,4,0,22,105,136,4,3,3,0,0,3,0,0,5,30,27,81,669,208,31,634,76,271,42,300,55,1518,159,3959
LGA26810,12,19,0,315,4,0,0,6,3,7,0,9,3,30,193,257,7,0,6,3,0,0,0,0,4,55,55,132,829,232,57,781,90,503,63,491,93,2267,289,5690
LGA26890,3,0,0,42,4,0,0,0,0,0,0,0,0,0,18,17,5,0,0,7,0,0,0,0,0,10,7,24,124,41,4,109,8,39,10,34,10,154,25,555
LGA26980,7,106,0,1727,8,4,7,5,4,10,4,7,5,39,413,500,7,4,5,3,0,3,0,3,5,86,84,193,3142,867,81,1957,230,1463,158,1272,192,6489,568,16427
LGA27070,11,37,4,846,13,4,11,12,0,13,8,11,6,51,414,548,16,7,9,7,4,9,0,8,3,125,141,328,3883,717,116,2441,334,1916,189,1211,212,6438,691,18149
LGA27170,0,16,0,206,3,0,0,0,0,0,0,0,0,12,146,177,5,0,5,4,0,0,0,0,0,28,21,68,904,194,23,712,76,396,55,296,51,1640,192,4545
LGA27260,3,22,7,1552,28,3,4,11,10,22,4,8,10,36,552,691,20,0,13,13,10,8,3,8,8,85,145,319,5281,871,150,2812,456,2466,206,1236,265,5189,776,19726
LGA27350,7,89,0,3609,16,3,3,5,8,4,4,7,5,12,298,352,4,0,0,0,0,3,0,0,0,11,25,48,5157,578,74,1878,248,964,106,597,74,1535,338,11558
LGA27450,10,67,0,1246,21,0,3,8,9,16,4,11,3,48,390,523,21,3,18,22,5,8,0,10,8,98,75,265,3406,822,108,2539,338,1469,196,1281,250,5529,535,16483
LGA27630,0,4,0,45,0,0,0,0,0,0,0,0,0,6,35,43,0,0,0,0,0,0,0,0,0,10,11,27,145,40,15,148,11,59,12,67,11,342,53,906
LGA29399,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,4,0,3,0,0,0,11,6,39
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
