LGA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA21270,57,71,195,180,293,308,106,14,9,1227,65,29,58,40,75,168,284,229,130,1085,7,12,26,20,32,38,31,36,45,233,133,103,276,237,397,516,416,285,182,2543,43,104,252,229,359,394,150,21,0,1553,89,53,115,117,192,226,121,18,7,929,6,3,21,14,4,20,19,4,0,95,6,0,9,9,8,10,11,6,6,68,139,171,398,369,573,652,293,50,6,2654,0,10,13,11,14,20,0,0,0,72,0,0,5,0,0,5,0,0,0,19,0,10,17,13,19,29,5,0,0,96,145,177,417,380,589,678,303,50,6,2748,153,42,85,66,147,286,577,430,216,2003,25,19,50,39,69,83,77,67,63,497,328,246,550,490,805,1051,945,547,286,5241
LGA21370,594,704,1510,1565,1982,1814,506,64,8,8754,370,172,364,349,422,912,1883,1397,597,6465,66,49,133,137,129,165,168,168,157,1163,1033,927,2005,2050,2532,2891,2552,1629,766,16383,293,839,1843,1849,2413,2045,489,60,9,9840,696,433,860,1001,1105,1316,566,104,10,6083,124,67,179,125,167,217,101,9,0,986,40,41,84,57,94,74,38,22,7,460,1147,1384,2963,3032,3777,3651,1193,192,29,17368,33,50,72,47,63,74,10,0,0,346,77,43,38,30,43,46,18,7,0,290,112,89,116,72,106,116,24,0,0,639,1260,1473,3078,3101,3879,3772,1220,197,29,18010,823,294,542,522,728,1605,3558,2679,1023,11774,134,102,282,254,318,334,368,322,227,2342,2215,1876,3902,3885,4918,5716,5143,3201,1273,32122
LGA21450,1970,2809,7387,6690,5807,3707,784,83,3,29238,1344,520,1796,1734,1233,2049,3581,2135,769,15168,174,155,502,417,347,287,238,212,130,2466,3493,3482,9685,8841,7396,6045,4599,2430,902,46867,622,2823,9653,9232,7791,4696,809,63,8,35700,2248,2073,3823,3941,3254,2499,948,140,17,18938,308,292,919,542,391,394,142,22,0,3010,62,130,306,220,182,106,36,15,7,1058,3243,5316,14702,13941,11614,7697,1921,241,32,58709,112,224,327,240,207,154,30,0,0,1308,500,205,201,181,94,111,33,4,0,1326,612,426,536,420,304,265,66,4,0,2628,3855,5738,15237,14362,11919,7964,1988,247,28,61340,3061,983,2363,2290,1829,3163,6260,4031,1278,25256,363,340,1003,857,716,533,458,357,191,4829,7280,7063,18597,17514,14459,11663,8701,4640,1494,91426
LGA21610,5380,8823,20290,21143,16746,10347,1869,125,13,84737,5454,2353,6697,6513,5138,7227,9836,5704,2351,51283,444,567,1558,1247,978,708,613,423,281,6819,11278,11746,28552,28909,22866,18281,12320,6242,2646,142834,1375,7988,26705,29842,23581,14373,2220,93,10,106191,6118,7562,11331,12723,9352,6842,2139,245,11,56320,654,829,2174,1520,1066,981,295,32,4,7562,136,476,1092,828,514,316,84,23,12,3486,8280,16844,41305,44923,34518,22510,4739,397,33,173556,317,898,1440,1052,844,612,79,0,0,5246,1936,916,712,642,454,410,109,10,0,5178,2257,1813,2147,1693,1294,1016,190,8,0,10427,10537,18663,43451,46617,35812,23531,4927,411,30,183983,11664,4407,9011,8781,7493,11228,17614,10531,3749,84469,959,1242,3220,2608,1954,1450,1118,772,426,13744,23162,24309,55683,58004,45253,36204,23658,11711,4207,282197
LGA21670,168,190,415,392,560,560,157,16,0,2466,128,56,156,152,221,476,906,629,261,2989,25,18,41,46,58,61,76,73,33,420,327,258,608,590,836,1098,1138,716,294,5867,53,191,457,412,581,558,141,20,4,2419,202,146,256,268,391,415,167,25,3,1871,25,23,52,43,46,62,30,3,0,288,13,9,28,10,18,25,4,4,0,114,300,361,798,737,1038,1067,342,48,5,4693,17,25,36,26,33,39,8,0,0,186,15,20,12,9,21,20,6,3,0,108,31,43,56,37,52,59,15,3,0,295,329,404,852,775,1089,1125,358,51,5,4985,306,114,255,251,433,850,1751,1238,448,5643,49,32,78,92,149,134,154,136,50,884,686,553,1185,1108,1678,2111,2260,1433,501,11511
LGA21750,372,386,974,977,1123,999,356,42,9,5225,173,73,219,185,224,517,1104,728,364,3594,26,19,71,75,90,97,115,71,38,596,564,477,1271,1238,1435,1613,1573,842,415,9412,182,508,1249,1158,1294,1077,304,40,4,5810,457,247,611,646,726,771,400,67,14,3937,71,33,121,120,111,150,67,0,0,675,22,6,47,33,31,38,24,18,0,217,734,794,2023,1959,2160,2031,795,122,22,10642,13,17,46,26,40,23,4,0,0,164,30,19,15,22,23,32,8,0,0,146,43,39,56,44,64,53,12,0,0,311,774,829,2084,2006,2223,2083,803,122,22,10959,382,141,324,307,410,943,2046,1381,568,6501,52,49,168,153,184,200,221,141,64,1233,1214,1025,2573,2463,2814,3223,3071,1651,651,18690
LGA21830,235,259,562,625,820,807,246,65,8,3620,163,45,145,132,164,414,708,573,264,2608,40,25,46,57,61,60,66,73,41,471,438,333,757,815,1041,1275,1023,709,307,6705,129,385,764,737,1042,933,299,71,8,4369,279,165,340,414,479,591,269,73,7,2604,27,21,66,49,51,83,38,5,0,352,34,19,37,47,36,37,31,13,4,255,468,584,1202,1241,1616,1644,640,169,10,7583,3,9,29,17,27,22,0,0,0,102,18,6,16,17,12,22,7,0,0,94,21,11,46,28,37,39,10,4,0,199,489,600,1243,1270,1652,1687,652,170,10,7783,357,86,213,203,272,713,1355,1031,431,4666,85,50,113,118,146,135,147,127,72,986,935,743,1571,1591,2065,2536,2154,1322,517,13433
LGA21890,1645,3673,12298,9941,8234,4872,962,63,8,41706,1561,788,1766,1808,1835,2794,4385,3753,2047,20735,141,194,626,465,366,296,315,326,356,3083,3353,4657,14685,12205,10441,7959,5666,4143,2406,65528,196,2251,14808,12572,10381,5534,872,41,0,46659,1865,3646,6775,5631,4743,3296,1081,95,11,27147,320,546,1221,908,499,467,148,17,0,4126,30,140,402,252,170,110,34,12,0,1156,2408,6580,23206,19369,15798,9412,2125,170,18,79087,64,292,632,453,463,297,28,0,3,2233,557,410,444,307,225,206,54,5,0,2205,619,698,1076,763,689,508,76,5,3,4436,3028,7279,24277,20127,16486,9919,2207,176,22,83522,3441,1674,3011,2785,3134,4776,7766,6593,3360,36542,257,469,1295,973,776,629,596,589,566,6152,6729,9424,28587,23888,20391,15323,10566,7356,3949,126214
LGA22110,592,641,1645,1759,2220,2253,684,86,5,9888,425,165,469,430,553,1514,3286,2088,704,9617,86,72,171,181,220,256,285,237,171,1681,1099,874,2284,2372,2992,4027,4258,2408,877,21189,290,707,1873,1843,2321,2087,597,94,14,9828,716,471,1045,1224,1453,1811,817,158,13,7700,112,56,184,165,174,350,116,19,6,1191,44,48,81,83,75,76,46,20,3,468,1163,1275,3189,3315,4023,4328,1577,289,34,19190,48,67,89,67,101,100,16,0,0,487,63,26,53,46,62,103,33,3,0,389,105,96,145,107,159,195,54,3,4,877,1267,1371,3337,3425,4184,4519,1632,291,41,20066,879,294,711,707,991,2695,6444,4124,1206,18049,160,153,335,368,444,535,585,457,275,3314,2307,1816,4378,4496,5618,7752,8664,4873,1516,41422
LGA22170,2054,3041,7766,7915,7486,5518,1215,82,5,35082,1433,620,1473,1729,1751,2899,5316,3526,1569,20322,209,202,528,498,429,331,319,356,337,3212,3696,3863,9767,10147,9666,8752,6858,3965,1913,58620,600,2789,9969,9924,9870,6481,1121,57,0,40819,2543,2419,3848,4669,4144,3752,1333,173,12,22886,324,371,1029,759,521,594,205,27,5,3823,45,109,284,251,159,120,36,14,0,1018,3508,5683,15133,15612,14690,10938,2692,271,16,68545,124,291,415,300,313,263,30,0,0,1738,579,181,232,181,167,193,43,4,0,1579,706,471,650,484,479,458,72,4,0,3319,4211,6155,15781,16094,15171,11401,2770,274,16,71872,3209,1204,2229,2573,2833,4774,9518,6346,2494,35188,407,395,1066,1027,975,759,630,614,501,6386,7827,7760,19076,19695,18983,16928,12919,7236,3017,113444
LGA22250,113,136,319,378,488,513,137,25,4,2106,104,46,96,91,125,279,635,468,198,2046,30,11,26,47,55,51,73,54,32,373,243,198,440,512,662,846,848,543,234,4526,53,195,402,487,638,613,156,39,6,2595,149,89,203,236,254,354,186,32,9,1502,13,14,33,24,36,45,21,4,0,193,3,7,12,10,21,13,17,10,0,99,221,304,658,756,949,1035,377,89,11,4391,8,15,20,18,20,23,4,0,0,102,9,5,14,4,6,10,5,0,0,58,14,20,33,22,32,35,12,0,0,163,231,326,687,777,979,1065,386,89,11,4551,219,73,139,143,220,492,1200,889,342,3715,40,43,56,100,91,111,159,88,57,744,494,438,884,1013,1293,1670,1744,1068,409,9007
LGA22310,1938,3717,9750,9375,8810,5618,1705,176,18,41096,2019,815,1176,1575,1527,2506,4893,3660,2271,20457,108,162,475,371,295,214,294,243,289,2444,4062,4695,11399,11322,10630,8338,6896,4084,2577,64003,177,2320,12774,12745,11707,6702,1565,119,16,48129,2498,3876,4669,4808,4594,3927,2100,359,44,26876,374,524,911,712,413,459,210,33,4,3635,30,90,315,219,162,100,55,7,7,980,3080,6815,18674,18484,16880,11191,3921,511,65,79628,34,190,468,358,359,258,30,0,0,1698,543,377,253,184,188,184,78,6,0,1822,575,570,722,538,552,449,106,7,3,3520,3656,7385,19396,19023,17431,11639,4034,523,70,83148,4485,1718,2048,2146,2382,4038,8481,6297,3525,35117,202,360,993,729,566,415,517,403,389,4573,8338,9462,22436,21899,20378,16099,13025,7220,3979,122840
LGA22410,308,283,707,764,1040,947,287,46,0,4386,188,75,189,213,265,624,1092,673,316,3640,24,30,56,83,68,92,97,61,52,563,519,386,959,1066,1377,1659,1480,781,375,8590,136,378,802,892,1205,1067,338,71,0,4892,367,191,462,536,617,694,285,49,7,3209,38,25,91,58,102,150,37,15,6,526,16,20,34,42,30,23,30,16,3,210,561,607,1402,1527,1952,1935,685,153,16,8834,22,32,45,30,49,29,8,0,0,212,31,14,27,25,31,45,12,0,0,194,55,46,76,57,81,79,22,0,0,408,612,654,1477,1579,2031,2015,703,153,16,9237,412,134,267,312,474,1123,2148,1268,500,6648,67,63,122,158,156,198,206,127,78,1171,1091,852,1865,2050,2667,3330,3059,1545,594,17065
LGA22490,478,397,1016,1421,1464,993,215,29,4,6011,291,87,192,258,272,547,917,402,145,3117,38,26,53,76,85,81,63,29,12,463,802,516,1258,1750,1818,1626,1197,462,161,9589,198,463,1316,1693,1978,1185,261,33,0,7128,539,327,564,906,876,726,260,38,0,4242,75,50,172,128,106,140,56,8,0,735,27,20,39,36,52,34,9,5,0,231,838,857,2090,2771,3012,2084,591,83,7,12341,20,33,36,24,41,31,5,0,0,200,71,17,21,26,26,29,5,0,0,196,94,51,60,50,69,56,5,0,0,398,935,910,2151,2823,3078,2141,597,82,7,12733,666,155,272,377,431,943,1823,851,234,5748,77,68,124,154,189,151,150,69,18,994,1681,1129,2547,3348,3693,3234,2568,1007,258,19477
