LGA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA23940,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,4,0,4,..,24,0,33,0,33,..,215,22,240,0,241,..,15,4,12,805,823,6692,228,29,255,807,7759
LGA24130,0,7,0,7,..,43,3,42,0,42,..,42,0,42,0,42,..,34,8,37,0,37,..,437,43,481,4,485,..,2092,224,2309,28,2340,..,95,6,94,2486,2584,46536,2181,227,2407,2519,51458
LGA24210,16,422,0,425,..,150,15,167,0,168,..,245,44,293,0,293,..,688,134,817,10,828,..,1826,255,2084,84,2169,..,47505,9680,57188,494,57685,..,447,87,536,3291,3825,63188,47954,9766,57725,3790,124700
LGA24250,3,4,0,4,..,10,0,12,0,12,..,4,0,4,0,4,..,12,0,9,0,9,..,51,10,61,0,60,..,376,33,408,4,418,..,13,0,13,732,746,9011,391,33,426,733,10178
LGA24330,15,212,0,209,..,222,33,259,0,253,..,286,72,364,5,360,..,6951,2900,9851,76,9928,..,3471,546,4021,74,4097,..,25509,6597,32108,326,32435,..,369,85,451,4075,4533,48241,25878,6684,32559,4408,85209
LGA24410,15,263,3,272,..,245,31,277,0,279,..,61,16,71,0,71,..,436,119,555,4,555,..,3039,1400,4439,112,4553,..,18241,4225,22469,282,22750,..,439,122,560,3307,3864,88426,18681,4348,23028,3585,115043
LGA24600,50,1122,10,1138,..,1515,392,1911,9,1916,..,407,61,467,5,470,..,2713,445,3157,19,3172,..,4896,540,5438,111,5545,..,60781,7686,68466,409,68881,..,527,105,633,10737,11369,69367,61319,7785,69098,11152,149615
LGA24650,112,1271,15,1284,..,304,50,352,0,353,..,1140,156,1295,11,1305,..,3222,1304,4526,28,4557,..,11585,2074,13661,216,13881,..,60815,8162,68973,751,69725,..,1118,275,1393,10588,11977,97261,61929,8435,70363,11334,178960
LGA24780,14,88,3,92,..,76,92,168,8,175,..,278,154,431,0,431,..,202,199,399,8,408,..,1032,346,1383,24,1404,..,5044,1862,6907,99,7004,..,212,33,250,4203,4455,45513,5252,1901,7159,4303,56972
LGA24850,6,72,0,76,..,68,9,75,0,76,..,167,27,195,0,195,..,58,18,75,0,75,..,869,156,1022,30,1056,..,4978,591,5566,73,5640,..,137,15,147,2791,2936,40885,5110,606,5715,2869,49460
LGA24900,0,16,0,16,..,49,16,63,0,63,..,0,0,3,0,3,..,16,7,22,0,22,..,184,26,208,3,209,..,1260,311,1574,25,1601,..,90,6,95,2122,2215,26713,1355,314,1668,2144,30522
LGA24970,120,3162,16,3177,..,437,74,513,3,517,..,255,43,296,3,301,..,2874,600,3473,26,3497,..,5458,581,6040,116,6152,..,82939,15299,98240,749,98988,..,722,170,892,6968,7858,83546,83664,15465,99128,7721,190397
LGA25060,19,283,4,288,..,228,45,272,0,279,..,756,119,875,8,882,..,2195,691,2885,17,2902,..,3462,531,3996,72,4065,..,29205,4825,34036,317,34350,..,471,72,544,4178,4718,82779,29679,4902,34575,4499,121851
LGA25150,7,47,0,47,..,16,0,25,0,25,..,26,5,29,0,29,..,51,17,70,3,70,..,588,62,654,15,667,..,2609,265,2875,40,2918,..,97,14,111,1747,1850,32863,2706,281,2983,1782,37632
LGA25250,34,430,5,434,..,299,57,349,0,352,..,2405,633,3036,28,3065,..,1257,334,1589,11,1604,..,4006,635,4638,130,4770,..,49991,8528,58516,604,59123,..,786,129,918,6767,7682,104555,50775,8654,59431,7366,171357
LGA25340,0,34,0,34,..,198,27,219,0,225,..,64,13,76,0,76,..,104,23,130,0,130,..,1180,144,1328,28,1355,..,8207,842,9051,121,9177,..,430,24,455,8651,9108,150667,8641,871,9508,8780,168948
LGA25430,0,7,0,7,..,15,0,15,0,15,..,5,0,5,0,5,..,12,0,10,0,10,..,153,23,177,0,177,..,596,55,655,10,660,..,48,5,50,1933,1980,17612,645,57,708,1936,20253
LGA25490,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,5,0,5,0,5,..,76,11,85,8,90,..,340,26,368,10,381,..,37,5,44,1052,1092,15903,375,30,410,1059,17374
LGA25620,0,3,0,3,..,13,0,13,0,13,..,11,0,11,0,11,..,13,3,16,0,16,..,113,13,124,0,128,..,518,41,559,4,567,..,18,6,20,1283,1305,13328,540,45,580,1289,15197
LGA25710,0,60,0,59,..,44,8,56,0,51,..,101,21,116,0,118,..,79,7,88,0,88,..,621,73,696,21,712,..,5469,513,5980,64,6039,..,144,6,148,1561,1712,55147,5614,517,6131,1624,62895
LGA25810,0,15,0,15,..,3,0,3,0,3,..,0,0,0,0,0,..,5,5,8,0,8,..,134,12,147,0,148,..,523,114,637,5,643,..,32,4,32,1007,1040,10258,553,117,672,1013,11948
LGA25900,6,185,3,192,..,246,31,278,0,278,..,231,37,267,0,264,..,438,79,518,7,518,..,2522,264,2789,57,2846,..,19063,2180,21252,207,21461,..,337,40,376,6210,6590,73895,19406,2223,21630,6424,101942
LGA25990,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,49,3,56,0,57,..,153,15,159,8,167,..,10,3,12,939,951,6558,159,15,169,940,7671
LGA26080,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,20,0,20,0,19,..,106,9,111,0,113,..,4,0,4,213,214,2943,113,9,121,215,3276
LGA26170,0,11,0,11,..,13,0,13,0,13,..,0,0,0,0,0,..,25,16,31,4,39,..,220,21,245,3,249,..,1039,127,1170,19,1185,..,51,8,58,1953,2008,27388,1091,136,1226,1967,30577
LGA26260,0,0,0,0,..,19,3,23,0,23,..,0,0,0,0,0,..,11,0,8,0,8,..,71,14,82,3,91,..,440,50,492,13,501,..,38,0,41,934,974,15109,478,51,529,947,16588
LGA26350,8,260,4,260,..,266,59,326,9,327,..,204,54,259,0,261,..,562,93,658,5,666,..,1801,167,1962,43,2002,..,20234,2766,23002,202,23205,..,244,33,272,4683,4953,76544,20475,2798,23275,4882,104703
LGA26430,0,8,0,8,..,26,0,30,0,30,..,4,0,4,0,4,..,8,12,18,0,18,..,56,12,65,3,66,..,358,58,415,7,419,..,38,5,49,981,1020,10011,401,61,458,987,11455
LGA26490,0,3,0,3,..,17,0,21,0,21,..,3,0,3,0,3,..,15,0,23,3,23,..,288,23,309,7,318,..,1429,108,1531,32,1562,..,70,8,79,1870,1946,34184,1493,116,1608,1902,37694
LGA26610,0,24,0,24,..,61,66,129,0,129,..,0,0,0,0,0,..,162,237,401,9,408,..,505,183,690,20,712,..,2303,1139,3444,55,3504,..,90,40,131,1738,1870,16030,2393,1177,3572,1800,21403
LGA26670,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,31,7,34,0,34,..,162,12,170,6,175,..,12,0,12,521,531,5516,165,12,179,529,6223
LGA26700,6,33,0,33,..,43,22,64,5,64,..,5,0,0,0,3,..,19,8,26,0,26,..,173,18,194,14,209,..,1351,181,1529,26,1551,..,77,13,85,1638,1723,26531,1419,195,1617,1659,29808
LGA26730,6,28,0,28,..,56,15,76,0,76,..,8,0,10,4,16,..,70,54,122,0,127,..,261,33,294,13,304,..,1544,314,1856,42,1900,..,100,8,109,1881,1993,31517,1647,320,1963,1926,35406
LGA26810,5,44,0,49,..,42,13,55,0,55,..,7,0,7,0,7,..,58,32,88,3,90,..,261,31,289,8,303,..,1570,210,1777,21,1801,..,108,0,109,3925,4032,39808,1674,213,1888,3946,45639
LGA26890,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,12,0,12,0,13,..,86,4,95,3,96,..,7,0,7,315,320,3592,93,7,100,317,4006
LGA26980,51,1001,11,1014,..,404,78,478,0,478,..,132,21,152,0,152,..,1815,499,2309,16,2322,..,2748,405,3155,99,3256,..,54224,13732,67949,637,68588,..,543,100,638,5505,6147,94609,54759,13830,68590,6147,169346
LGA27070,225,2506,28,2536,..,334,75,413,4,418,..,1440,363,1809,8,1817,..,3635,1596,5226,46,5274,..,7929,1228,9161,214,9376,..,87169,15215,102381,1063,103445,..,1417,323,1741,9094,10833,115115,88588,15534,104124,10153,229396
LGA27170,4,18,0,18,..,36,8,41,0,41,..,6,0,6,0,6,..,122,89,211,0,206,..,580,178,765,15,780,..,2456,496,2952,43,2989,..,154,28,188,1982,2165,38096,2612,522,3134,2023,43253
LGA27260,219,4213,67,4281,..,577,143,722,11,735,..,387,57,440,0,444,..,2343,787,3127,27,3153,..,23925,4462,28389,559,28947,..,127032,16450,143481,1911,145394,..,1890,434,2320,15740,18059,128559,128918,16879,145802,17656,292011
LGA27350,0,94,0,94,..,186,34,228,0,226,..,213,56,269,0,273,..,1792,1183,2980,24,2998,..,2163,343,2508,59,2568,..,14209,3625,17833,192,18021,..,311,42,357,4348,4705,67385,14520,3670,18192,4537,90114
LGA27450,5,86,5,90,..,183,29,221,0,219,..,38,0,40,0,40,..,160,25,187,9,194,..,2690,817,3508,64,3574,..,10548,1748,12294,146,12438,..,488,74,558,5220,5776,137846,11033,1821,12850,5366,156068
LGA27630,0,0,0,0,..,4,0,5,3,7,..,0,0,0,0,0,..,0,0,0,0,0,..,30,12,43,0,43,..,165,23,188,8,193,..,8,0,8,474,486,5879,173,23,199,476,6556
LGA29399,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,4,15,0,16,..,78,29,106,0,107,..,7,0,7,235,241,609,86,29,111,237,955
LGA29499,0,6,0,6,..,7,0,7,0,7,..,25,13,32,0,35,..,32,14,42,0,42,..,187,40,227,6,229,..,794,171,962,15,977,..,37,7,45,3575,3624,4485,834,179,1012,3592,9089
LGA29799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,27,27,13,5,0,5,27,38
