LGA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA21270,8,0,0,3,16,3,3,0,0,7,9,0,5,0,10,0,0,4,0,3,25,3,11,0,40,18,4,26,0,48,126,7,24,0,163,88,18,29,4,145,83,38,25,6,155,83,54,15,5,157,40,43,4,3,91,63,42,0,4,113,85,88,11,0,186,55,50,6,3,112,27,45,4,0,78,22,20,0,0,41,26,63,4,0,91,37,62,16,0,111,22,4,5,0,32,826,554,200,31,1613
LGA21370,109,10,22,3,141,50,10,7,0,66,27,4,23,0,55,29,12,52,0,91,174,19,88,5,282,103,23,174,0,301,717,50,175,10,950,435,76,207,19,736,447,192,190,17,844,500,281,157,16,954,253,286,101,8,653,302,276,88,16,680,573,643,116,9,1331,315,509,42,8,877,228,356,28,0,613,97,217,10,0,327,198,410,23,0,627,203,368,134,12,710,125,43,40,10,213,4892,3775,1669,131,10459
LGA21450,271,64,88,0,418,84,13,22,3,130,60,16,54,0,138,58,14,93,4,167,189,41,211,4,448,169,73,344,5,587,1004,179,405,17,1606,672,332,507,39,1549,784,642,595,48,2068,890,1049,518,51,2512,528,1067,365,25,1993,739,1278,306,34,2355,1643,2817,521,58,5037,1212,2377,252,36,3885,697,1766,138,23,2620,400,1035,76,3,1517,615,2154,89,9,2876,376,996,325,16,1718,217,154,80,3,458,10614,16071,4995,386,32066
LGA21610,1087,297,341,21,1753,191,62,94,6,356,171,126,200,5,498,146,120,273,8,551,655,298,551,32,1531,474,444,920,27,1865,2797,935,1098,48,4877,1864,1601,1484,108,5054,1951,2673,1605,104,6331,2293,3995,1535,155,7979,1508,3777,1115,98,6500,1836,3998,917,116,6867,4003,9319,1521,210,15053,2726,7313,724,132,10896,1649,5579,463,77,7779,927,3411,180,25,4537,1417,6851,314,48,8633,851,3278,891,60,5073,484,468,226,18,1198,27033,54550,14450,1308,97338
LGA21670,25,9,12,0,41,20,0,4,0,26,14,0,15,0,28,8,4,27,0,43,66,3,48,5,126,55,6,67,3,135,411,28,88,0,528,208,46,97,18,366,149,84,72,10,318,166,117,75,4,361,81,88,29,4,207,120,105,28,0,250,122,174,35,0,329,84,102,14,3,199,41,70,6,0,118,19,41,0,0,60,39,60,15,0,105,51,102,46,3,202,72,15,17,6,102,1734,1050,689,60,3540
LGA21750,58,10,3,0,73,19,0,0,0,24,10,3,9,0,29,17,0,18,0,39,72,5,27,0,110,57,13,80,0,146,311,41,76,7,435,251,59,114,10,430,252,98,114,8,479,306,169,62,8,541,130,176,68,13,384,212,178,46,7,440,344,385,61,14,809,180,274,39,3,494,116,205,12,3,336,51,111,7,0,162,119,223,15,8,357,115,189,63,0,365,60,22,15,4,103,2692,2151,837,94,5774
LGA21830,42,9,5,0,62,24,3,4,0,34,14,0,3,0,17,7,4,6,0,19,81,6,38,3,125,36,6,48,0,97,262,24,63,7,351,198,47,71,7,324,186,85,72,10,349,201,119,46,5,377,109,111,49,7,273,121,127,22,5,270,244,221,45,10,521,138,195,21,4,355,103,152,13,0,264,47,83,8,0,131,115,178,18,3,309,75,171,51,3,300,64,28,14,4,118,2066,1574,596,70,4309
LGA21890,296,81,104,22,506,140,23,37,3,204,79,37,79,14,209,58,34,140,9,237,352,83,210,32,672,221,103,330,21,677,1404,222,363,43,2042,732,340,581,95,1749,743,540,572,86,1944,947,740,564,111,2357,668,722,467,78,1928,746,806,401,79,2029,1851,1795,622,129,4390,1579,1690,273,85,3626,1285,1751,189,45,3270,958,1302,82,38,2380,2062,5037,264,42,7397,467,816,393,22,1704,189,112,85,16,396,14774,16246,5761,945,37717
LGA22110,142,18,32,0,193,70,9,15,0,83,43,11,30,3,82,51,0,56,0,105,225,22,87,6,336,200,21,175,5,408,1207,71,228,9,1513,775,124,252,37,1191,753,218,251,21,1231,783,374,173,20,1345,361,315,108,8,794,396,364,88,10,870,644,704,118,9,1468,371,522,39,7,941,222,354,22,0,601,126,187,12,0,320,237,359,26,0,618,300,410,158,8,882,184,44,61,7,299,7096,4111,1920,151,13282
LGA22170,245,51,118,5,422,81,10,31,4,126,81,23,83,3,184,56,20,120,3,199,276,49,305,15,644,231,67,480,11,785,1258,151,622,39,2068,948,234,801,59,2033,1015,504,904,65,2493,1110,837,806,71,2823,718,937,595,37,2294,832,1046,481,42,2399,1852,2649,831,89,5426,1445,2446,331,41,4268,1001,1958,180,33,3170,533,1307,79,9,1934,894,2754,159,14,3823,386,1067,520,20,1990,226,149,133,5,512,13185,16241,7587,570,37590
LGA22250,32,8,5,0,44,13,0,5,0,17,3,0,4,0,10,8,0,16,0,28,73,3,23,0,95,29,3,38,0,71,255,21,39,0,320,161,40,60,8,258,145,56,52,9,258,158,83,31,11,284,76,80,16,0,167,87,76,12,3,177,138,179,20,4,337,80,121,9,0,209,46,64,9,0,114,21,41,0,0,64,40,83,4,0,129,56,85,24,5,170,56,19,19,3,98,1477,947,377,42,2842
LGA22310,329,93,184,20,621,119,23,60,7,203,86,26,79,8,192,48,26,81,3,164,278,60,133,18,486,194,79,214,19,510,963,127,257,27,1365,634,238,415,52,1339,869,386,462,64,1779,1066,572,457,57,2148,645,546,393,41,1629,775,639,311,49,1775,1802,1698,674,95,4265,1501,1705,233,65,3499,1263,1804,252,43,3357,905,1475,82,27,2488,2615,8354,417,41,11421,461,1069,362,19,1911,198,160,67,4,423,14727,19064,5132,658,39585
LGA22410,45,12,8,0,67,29,0,7,0,33,15,5,3,0,28,21,4,32,0,53,88,10,54,0,149,73,18,78,3,180,372,33,82,3,491,258,44,128,16,448,256,89,96,14,455,244,151,60,6,464,148,136,47,3,332,155,156,37,0,355,316,314,47,3,678,188,220,30,3,433,145,171,16,0,326,60,94,8,0,169,133,192,12,3,343,120,191,58,4,373,62,18,20,0,110,2739,1852,824,67,5483
LGA22490,45,9,10,0,63,18,7,5,0,27,22,0,9,0,24,14,0,22,0,40,79,3,27,4,114,53,22,64,4,145,282,47,59,0,387,214,57,70,3,344,215,110,102,6,431,237,187,98,3,520,158,199,51,3,413,149,238,48,4,439,332,605,53,8,998,246,520,22,5,791,182,420,10,0,611,77,242,15,0,327,163,531,17,4,714,106,305,66,5,486,52,36,19,0,106,2638,3541,746,50,6984
LGA22620,164,29,51,13,256,100,10,21,3,136,61,15,51,5,134,40,12,133,3,192,308,31,290,17,641,247,58,471,23,803,1605,162,553,33,2358,1128,287,743,65,2228,1203,464,725,59,2454,1337,816,605,73,2833,737,779,457,40,2021,810,940,338,24,2110,1726,2170,520,54,4468,1097,1814,181,32,3133,754,1485,113,12,2363,392,912,54,4,1364,674,1812,71,9,2558,505,921,333,28,1782,241,105,92,14,448,13134,12826,5796,521,32281
LGA22670,610,212,282,35,1141,137,36,67,3,252,97,87,156,6,341,101,94,263,11,469,509,207,365,28,1113,289,317,420,20,1044,1808,639,618,64,3123,1038,933,864,98,2936,923,1420,784,120,3237,1153,1715,795,123,3789,696,1578,516,89,2871,726,1487,396,88,2701,1393,2959,726,140,5209,793,2065,365,73,3296,505,1518,180,49,2255,291,889,100,10,1289,391,1685,145,33,2254,434,1105,416,34,1999,240,189,135,15,585,12130,19135,7605,1034,39906
LGA22750,508,87,144,15,760,228,20,71,6,329,148,40,133,15,340,138,33,208,8,388,745,87,473,25,1322,548,150,880,29,1601,3259,305,987,63,4612,2297,493,1344,121,4266,2575,970,1375,133,5056,2868,1514,1244,122,5746,1528,1612,896,77,4108,1713,1746,666,61,4183,3619,4580,1145,159,9502,2669,3991,491,69,7224,1847,3668,284,46,5839,1100,2330,123,16,3576,2273,5910,289,38,8510,1000,1962,826,57,3846,481,213,179,33,900,29544,29719,11749,1088,72099
LGA22830,170,58,51,4,283,62,13,15,0,92,32,25,36,0,90,40,13,83,0,142,189,52,154,10,401,149,65,264,8,486,889,167,304,13,1373,577,198,402,31,1213,588,337,373,30,1332,703,518,295,34,1555,323,543,198,12,1073,465,559,176,23,1224,860,1152,225,32,2271,585,928,83,11,1612,338,692,42,7,1077,185,422,12,0,629,375,885,43,8,1297,269,553,219,6,1046,167,87,82,11,349,6963,7258,3060,247,17523
LGA22910,51,5,6,0,59,16,4,0,0,26,12,6,14,0,35,22,0,17,0,38,66,8,31,6,104,46,10,38,0,92,279,30,63,0,374,185,44,78,5,312,231,63,77,5,371,232,124,54,3,417,137,120,42,3,299,153,114,39,5,315,278,204,37,9,528,154,180,13,3,351,113,128,5,0,251,69,74,4,0,145,223,184,5,0,418,95,126,63,0,294,44,15,9,0,77,2412,1434,608,51,4500
LGA22980,18,3,5,0,23,10,0,0,0,8,9,0,5,0,15,0,0,10,0,18,30,3,9,0,47,18,0,10,0,33,105,10,19,0,137,64,18,26,4,108,73,38,26,3,137,70,52,18,0,145,31,42,8,0,81,53,45,9,4,113,98,87,3,0,195,62,49,0,0,116,38,41,0,4,84,18,17,0,0,37,37,59,0,0,107,21,45,12,7,78,23,4,7,3,38,777,525,181,28,1516
LGA23110,211,50,83,3,356,83,12,20,3,111,63,27,54,8,147,48,24,64,3,137,226,46,133,6,415,155,72,207,10,438,829,153,266,28,1278,503,186,364,50,1102,524,312,402,53,1290,650,484,368,50,1551,354,463,322,27,1162,393,522,291,33,1235,966,1272,468,53,2755,831,1224,222,38,2308,731,1262,150,20,2170,537,954,61,12,1567,1394,3860,160,32,5444,276,635,274,21,1209,146,76,57,7,294,8937,11623,3966,455,24972
LGA23190,33,3,12,0,48,15,5,4,0,26,13,0,12,0,28,4,5,24,0,33,65,12,50,3,127,43,9,94,0,155,261,16,70,6,347,172,48,118,9,344,235,87,102,12,438,258,162,88,12,520,108,147,55,5,313,151,171,38,4,366,337,358,72,8,781,221,312,24,4,557,116,219,9,0,352,77,128,4,0,207,150,249,8,0,409,79,189,56,0,325,52,13,18,4,82,2387,2139,861,71,5463
LGA23270,643,355,289,21,1308,143,67,61,15,280,100,136,196,9,448,100,131,279,3,520,448,425,467,27,1361,377,583,685,24,1665,1978,1092,896,47,4011,1255,1477,1158,112,4008,1157,2204,1193,94,4649,1387,2867,1082,129,5464,886,2561,788,69,4304,1007,2518,626,72,4223,2312,5381,982,135,8801,1603,4013,583,69,6269,1041,3037,305,37,4426,600,1927,152,24,2699,907,3892,233,28,5057,535,2034,594,37,3201,299,434,187,25,946,16782,35130,10757,970,63644
LGA23350,26,0,7,0,33,18,0,0,0,23,12,5,9,0,23,9,3,12,0,22,67,4,15,0,95,28,8,48,0,83,258,16,45,0,318,174,23,51,0,248,232,61,66,7,375,268,99,67,10,434,127,123,48,0,308,156,107,34,6,305,307,319,55,6,695,199,268,12,7,487,116,205,12,0,332,81,136,7,0,227,134,271,4,0,411,84,213,56,0,347,43,20,16,0,87,2355,1886,569,49,4854
LGA23430,406,76,132,8,614,144,22,53,3,219,98,36,65,8,207,74,32,109,4,211,376,53,202,11,645,292,86,314,21,716,1486,176,403,25,2088,982,282,598,70,1922,1156,536,744,59,2484,1244,739,655,74,2715,723,837,573,46,2173,834,924,465,43,2267,1857,2517,827,100,5303,1469,2601,371,58,4499,1250,2514,267,35,4066,845,1939,95,20,2893,1763,6055,302,28,8151,428,1091,467,27,2007,257,139,77,13,489,15677,20643,6720,629,43676
LGA23670,515,62,145,7,723,181,28,40,6,245,108,51,58,3,216,90,35,132,5,256,426,70,237,6,736,306,117,338,15,778,1640,253,458,31,2379,1163,373,608,57,2200,1296,713,779,67,2855,1432,1081,708,82,3304,819,1113,574,43,2548,883,1294,448,52,2685,1954,3206,767,83,6009,1436,3073,390,48,4951,1080,2775,228,34,4116,610,1805,138,13,2570,1115,4602,222,18,5961,457,1246,441,19,2166,232,126,74,12,444,15731,22010,6796,605,45145
LGA23810,153,43,54,6,254,61,9,30,0,102,62,13,52,8,133,43,6,124,4,174,260,36,240,18,549,178,48,382,6,615,1146,135,432,18,1733,801,210,554,56,1621,749,333,453,40,1573,810,485,389,27,1710,435,454,261,16,1173,494,525,187,16,1221,948,1167,277,19,2414,635,950,115,17,1720,454,745,64,8,1272,217,424,22,7,660,477,1145,58,8,1692,352,671,261,14,1298,185,76,98,5,368,8457,7471,4048,289,20265
LGA23940,22,3,0,0,26,12,0,0,0,9,7,0,0,0,14,3,0,6,0,7,44,4,17,3,71,19,0,22,0,48,176,24,30,8,232,95,34,34,4,169,106,47,32,3,187,114,64,23,4,199,49,72,15,0,136,63,58,4,0,134,93,101,13,0,205,57,66,0,0,126,36,37,0,0,76,21,24,0,0,39,39,44,0,0,87,34,79,22,0,134,34,14,4,5,59,1023,671,249,27,1973
LGA24130,107,14,22,0,149,62,9,13,3,77,33,10,15,0,60,17,6,27,5,50,128,8,67,0,205,84,26,106,0,223,484,31,117,0,637,372,68,163,16,616,474,148,172,6,794,522,243,149,15,923,323,252,161,3,743,336,377,99,7,821,618,860,207,17,1699,511,816,79,11,1415,427,837,65,0,1321,261,618,14,8,900,751,1865,71,7,2697,219,543,157,0,913,87,50,31,4,166,5804,6774,1739,105,14419
LGA24210,558,144,248,20,968,214,29,72,3,315,111,51,70,6,235,83,52,91,3,228,466,97,151,9,722,287,161,207,19,675,1375,256,267,16,1912,900,389,350,40,1677,985,577,490,43,2097,1111,742,416,51,2327,581,774,326,42,1719,729,816,316,32,1897,1349,1953,550,62,3916,986,1678,280,49,2991,743,1704,198,19,2661,460,1309,80,5,1856,1526,5482,278,15,7301,408,1153,286,9,1862,213,135,47,6,410,13088,17484,4719,471,35767
LGA24250,38,0,4,0,39,21,4,0,0,21,7,0,3,0,9,12,3,6,0,21,50,3,16,0,66,29,5,22,6,61,170,7,29,0,209,121,19,40,3,181,143,33,36,3,218,132,64,33,0,234,70,60,20,3,156,88,75,15,0,185,164,148,19,3,337,77,109,9,3,196,81,75,9,0,166,31,57,3,0,96,84,96,5,0,188,72,124,31,0,228,34,11,5,0,45,1437,896,307,21,2660
LGA24330,166,36,71,10,279,55,12,33,3,99,45,17,51,17,131,29,18,88,6,139,163,41,134,10,351,113,82,170,20,381,523,137,220,36,918,347,194,324,65,922,344,319,318,62,1043,519,464,320,67,1367,397,372,242,35,1043,399,409,231,47,1080,1098,928,393,99,2531,972,921,156,58,2104,818,990,129,30,1979,658,735,43,18,1461,1600,2894,160,37,4685,256,423,209,21,913,95,56,41,11,193,8587,9039,3329,661,21616
LGA24410,301,54,101,8,461,108,13,27,0,148,59,17,43,10,125,43,22,99,0,165,249,51,155,14,467,183,73,252,15,526,913,180,341,25,1457,809,274,457,25,1560,928,432,513,47,1915,1010,665,518,42,2234,593,698,371,42,1709,615,774,324,26,1732,1432,1974,571,68,4041,1122,2023,280,31,3457,839,1893,184,15,2929,581,1360,77,14,2026,1094,3728,173,17,5013,320,824,361,18,1524,148,107,60,5,324,11356,15161,4916,407,31842
LGA24600,453,63,191,145,858,116,17,43,43,222,119,14,97,45,282,109,21,88,27,248,209,41,131,56,442,238,71,185,75,566,515,107,188,111,913,658,122,207,117,1100,1027,208,261,171,1662,1404,267,254,183,2117,977,262,204,125,1563,1196,284,179,108,1769,2631,765,326,181,3902,2012,552,120,126,2803,1661,591,117,74,2448,1228,465,39,43,1778,3931,2326,234,89,6582,668,393,156,22,1241,110,24,48,15,191,19259,6608,3071,1745,30685
LGA24650,480,155,179,15,824,107,25,55,3,195,76,60,120,5,260,80,49,177,7,308,293,146,345,16,796,208,224,646,3,1081,1305,492,700,36,2527,744,766,804,46,2354,767,1220,874,54,2917,927,1841,819,70,3656,623,1771,548,42,2991,698,1974,464,50,3186,1737,4374,769,94,6979,1273,3382,347,51,5050,817,2595,227,32,3669,462,1744,94,23,2316,697,3617,165,29,4507,403,1460,414,21,2303,223,294,128,22,660,11921,26188,7858,605,46567
LGA24780,103,27,34,4,170,42,8,12,4,59,33,18,35,3,90,25,10,67,11,116,179,30,147,0,352,104,56,231,8,399,828,107,267,22,1221,495,151,300,30,983,552,296,361,28,1242,618,408,265,21,1313,312,405,208,10,934,400,439,141,21,1002,786,918,205,34,1944,496,715,75,9,1294,298,527,45,0,870,121,335,15,5,472,262,613,38,10,917,264,534,183,14,998,191,73,80,7,345,6124,5667,2703,239,14729
LGA24850,100,14,47,0,160,29,4,11,4,45,23,4,25,0,59,19,10,36,0,63,119,31,93,3,240,76,42,188,4,308,524,73,212,13,815,339,139,259,11,747,400,248,226,20,893,396,356,247,23,1017,258,408,154,13,839,282,474,135,11,906,703,1073,207,25,1999,459,861,103,10,1434,294,678,58,3,1039,170,402,21,4,597,288,788,44,3,1123,224,511,143,10,884,106,71,53,10,233,4814,6184,2244,161,13404
LGA24900,92,17,6,4,119,39,4,7,0,40,23,13,20,0,51,21,7,34,0,68,158,8,76,0,246,78,25,102,0,206,681,49,134,8,869,422,88,167,15,692,347,135,162,9,649,414,201,135,11,760,210,220,84,3,519,217,226,48,7,500,460,437,93,5,1001,260,382,29,7,674,143,240,18,4,399,55,164,0,0,219,136,272,12,0,417,167,264,86,11,532,126,42,30,5,202,4049,2783,1255,76,8172
