LGA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,0,0,0,9,3,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA21370,0,0,0,0,0,0,0,0,0,3,0,0,0,13,3,6,7,0,0,30,0,0,0,6,4,5,28,20,12,79,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,8,0,14,8,0,0,0,0,31,0,0,0,0,0,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,18,0,0,0,5,0,3,14,16,0,50,0,13,19,49,30,39,29,10,0,184,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,11,0,26,14,61,16,10,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,20,9,0,48
LGA21450,0,5,10,8,4,9,0,0,0,36,0,5,7,50,18,22,11,7,4,124,0,9,3,29,16,38,67,52,11,230,0,3,3,3,8,0,0,0,0,18,0,0,9,18,8,3,0,0,0,49,0,3,5,12,5,9,3,0,0,36,0,41,20,61,24,9,3,3,0,173,0,0,0,0,5,12,19,11,0,55,0,0,23,79,29,56,27,10,0,235,0,7,18,114,36,6,0,0,0,183,0,0,0,43,9,0,0,0,0,53,0,0,7,16,15,31,126,80,23,292,7,109,123,314,174,151,68,28,3,992,0,0,0,6,4,4,4,0,0,17,3,46,31,221,34,17,8,0,0,370,0,0,0,9,5,0,0,0,0,17,6,39,94,185,113,31,13,3,0,479,0,0,0,17,13,7,17,9,0,66,0,4,12,14,15,9,8,0,0,62,0,10,7,48,43,66,72,44,8,295
LGA21610,0,45,61,134,84,56,18,8,4,411,0,42,8,71,36,50,44,36,17,304,0,11,8,70,50,171,284,229,88,912,0,6,10,17,16,6,3,0,0,58,0,15,50,155,88,25,8,0,0,345,4,15,13,91,90,93,78,21,3,403,7,55,132,327,140,149,111,22,4,937,0,0,3,3,9,37,72,55,9,190,0,22,91,460,230,366,285,104,38,1603,0,4,6,70,24,20,10,3,0,139,0,10,40,256,26,19,0,0,0,357,0,5,0,25,37,51,175,155,46,492,66,584,762,1375,554,419,198,64,16,4031,0,0,6,72,55,54,57,24,9,279,42,382,449,1006,197,134,43,11,0,2271,0,0,3,11,6,7,0,0,0,33,21,190,438,1236,587,336,105,28,4,2938,0,8,15,127,77,157,153,52,12,601,3,55,111,258,165,182,59,23,5,860,3,11,25,72,101,195,170,110,40,726
LGA21670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,15,0,0,0,4,0,0,18,15,0,38,0,0,0,4,9,12,12,3,6,53,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,5,6,6,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,0,22
LGA21750,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,0,9,0,23,0,0,0,0,0,0,12,6,3,27,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,11,0,0,0,0,0,8,3,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,0,0,16,0,0,0,0,0,16,0,0,0,8,5,3,19,15,5,51,0,5,7,33,30,23,12,6,0,118,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,21,5,4,0,0,0,41,0,0,0,0,0,0,0,0,0,3,0,0,4,23,0,0,0,0,0,35,0,0,0,4,4,4,3,8,0,34
LGA21830,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,17,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,6,3,13,14,6,39,0,10,18,41,31,37,10,3,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,27,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,5,0,20
LGA21890,0,3,7,38,21,28,3,3,0,113,3,0,5,138,43,36,21,11,0,268,0,8,6,222,100,238,525,743,514,2355,4,9,7,39,18,4,4,0,0,82,0,5,10,46,13,0,0,0,0,80,0,0,10,77,111,137,124,85,20,562,0,8,36,232,50,53,45,14,4,443,0,0,0,3,3,27,47,50,12,148,0,0,3,37,9,10,4,4,3,70,0,0,0,10,5,0,0,0,0,14,7,3,173,417,16,4,0,0,0,621,0,0,6,23,18,16,15,11,3,85,5,22,55,708,248,130,49,18,0,1240,0,3,8,60,63,99,164,100,38,530,5,18,42,177,17,7,5,0,0,268,0,0,3,14,13,0,4,0,0,35,0,29,32,214,45,37,28,5,3,393,0,0,0,28,13,8,17,6,8,74,0,0,0,6,3,9,0,4,0,26,0,10,4,97,44,48,23,16,4,250
LGA22110,0,0,0,3,0,0,0,0,0,4,0,0,0,7,0,11,11,9,0,32,0,0,0,0,0,12,23,26,15,82,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,30,10,4,4,0,0,47,0,0,0,0,3,0,18,11,0,32,0,0,0,0,0,0,10,0,0,17,0,0,0,5,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,10,0,0,5,5,3,12,88,50,9,167,0,5,7,42,39,47,63,29,0,229,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,15,0,0,3,0,5,0,0,0,0,8,0,14,8,39,11,0,6,0,0,74,0,0,0,4,0,0,8,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,26,29,31,3,112
LGA22170,0,0,4,9,12,3,0,3,0,30,0,13,8,90,40,40,38,20,10,273,0,3,5,36,29,49,89,85,30,324,0,3,5,4,6,0,0,0,0,18,0,0,9,21,6,0,0,4,0,43,0,0,0,20,17,18,13,8,0,88,0,7,15,57,36,23,22,8,0,162,0,0,0,3,0,9,26,13,11,53,0,0,8,46,19,31,35,12,4,152,0,0,0,15,0,0,0,0,0,23,0,3,0,33,0,4,0,0,0,43,0,3,3,7,16,26,91,63,45,259,4,79,150,512,325,242,153,42,10,1521,0,0,0,7,10,4,5,0,0,33,0,0,4,40,3,10,3,0,0,55,0,0,3,8,5,10,5,0,0,28,3,39,55,167,67,43,33,4,0,407,0,5,0,22,33,48,50,15,4,168,0,0,7,18,9,12,6,0,0,42,0,11,30,73,84,131,116,95,19,563
LGA22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,8,10,0,15,0,0,0,6,8,7,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
LGA22310,0,0,0,10,3,7,7,5,0,34,0,4,10,318,41,37,26,16,0,459,0,5,12,107,35,71,104,98,89,511,10,54,14,85,47,20,11,0,0,231,0,27,41,132,44,23,5,5,0,280,0,0,3,9,22,17,16,10,0,77,0,17,68,300,73,56,62,20,9,599,0,0,0,5,4,3,9,7,3,38,0,0,9,64,14,7,11,9,3,112,0,0,3,5,5,0,4,3,0,26,0,0,104,172,9,0,0,0,0,288,0,0,0,24,13,20,25,14,5,109,10,59,85,410,219,161,112,33,4,1092,0,0,0,3,0,8,3,0,0,19,0,3,9,74,6,5,0,0,0,95,0,0,0,0,4,9,0,0,0,12,4,22,24,183,44,24,17,10,0,321,0,0,0,52,19,53,181,93,85,487,0,0,0,0,0,0,0,0,0,5,0,5,13,65,51,51,48,25,11,268
LGA22410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,18,0,0,0,0,0,0,6,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,4,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,23,0,0,0,0,0,7,29,16,10,61,0,6,4,33,26,44,22,3,3,146,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,5,3,13,7,0,0,0,0,34,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,3,6,35
