LGA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
LGA23350,3,19,0,24,421,48,492,7,10,0,21,232,37,293,238,17,6,266,379,85,733,525,20,9,555,268,95,918,398,30,4,433,650,97,1180,60,98,0,166,1102,101,1366,9,117,0,125,1035,83,1239,0,22,0,29,579,54,660,0,0,0,0,133,15,146,1254,333,22,1609,4797,617,7022,3,36,0,39,406,45,493,15,24,0,37,244,16,294,344,32,14,387,297,43,730,671,24,21,719,248,57,1025,400,84,11,498,707,74,1276,34,236,0,269,1093,70,1430,3,180,0,188,980,57,1227,0,34,0,39,482,53,574,0,0,0,4,217,33,251,1474,659,47,2178,4673,455,7297,3,53,0,57,831,98,985,25,32,0,62,478,56,592,584,45,21,650,683,131,1463,1199,44,31,1275,513,156,1945,804,115,12,932,1351,169,2453,100,331,0,433,2192,173,2796,15,295,4,309,2017,142,2468,4,62,0,62,1064,106,1232,0,0,0,4
LGA23430,9,130,0,142,4065,153,4365,32,73,0,104,4039,204,4345,1636,151,16,1808,7591,537,9933,6109,127,83,6320,4182,434,10934,4487,130,58,4683,5937,362,10981,718,472,8,1194,7678,317,9188,100,994,7,1104,5683,296,7082,13,266,0,281,3711,263,4253,7,18,0,18,1489,118,1629,13114,2366,180,15658,44371,2682,62717,0,209,0,216,3888,132,4234,67,169,7,237,3613,147,3998,2553,328,81,2961,6510,445,9916,7525,253,224,7994,3414,409,11819,4478,365,87,4929,6596,344,11867,334,1452,18,1804,7907,301,10018,101,1782,6,1891,6068,344,8305,28,283,3,319,4652,318,5287,9,19,0,28,2522,221,2773,15101,4847,427,20374,45171,2656,68202,16,340,6,355,7948,282,8594,91,238,6,338,7646,352,8339,4190,483,101,4775,14105,975,19848,13640,377,306,14319,7594,845,22756,8972,492,152,9612,12532,706,22848,1052,1920,25,2995,15591,618,19205,202,2776,20,3000,11753,637,15387,52,550,4,600,8360,577,9541,8,36,0,41
LGA23670,12,154,0,163,4521,158,4843,61,101,0,164,4693,182,5036,1960,202,34,2197,7381,453,10030,6247,150,99,6496,3987,398,10879,3753,158,47,3956,6051,344,10352,628,677,18,1318,8251,267,9838,124,1136,8,1267,5997,254,7519,28,250,0,274,3550,224,4047,0,7,0,7,1184,139,1333,12809,2833,211,15846,45615,2413,63878,10,244,6,256,4063,157,4472,112,215,5,326,4124,178,4627,3132,372,97,3605,6207,379,10190,7459,223,216,7901,3114,389,11402,3630,403,83,4119,6796,284,11196,333,1951,18,2299,8100,287,10687,115,1895,19,2029,6176,275,8477,30,237,6,276,4260,316,4851,0,5,0,5,1918,276,2203,14829,5536,442,20808,44756,2544,68114,25,392,4,424,8579,315,9314,170,310,4,489,8822,355,9661,5096,576,137,5805,13584,833,20219,13706,368,321,14395,7105,785,22280,7384,565,124,8074,12847,628,21548,958,2625,37,3615,16355,557,20530,240,3030,23,3296,12174,528,15998,54,487,10,547,7812,536,8898,0,11,0,13
LGA23810,12,75,0,90,1950,198,2234,109,80,9,190,1778,172,2141,1302,151,34,1488,2879,392,4756,2147,104,51,2299,1620,349,4277,1146,149,25,1315,2833,355,4501,220,459,11,690,4066,356,5111,34,439,0,473,3763,340,4572,13,65,0,77,2089,217,2389,0,4,0,4,634,118,752,4972,1519,129,6624,21612,2503,30738,30,171,0,196,1735,180,2110,258,138,14,404,1566,190,2157,2060,200,126,2392,2267,398,5052,2548,145,151,2845,1382,363,4592,1073,421,49,1538,2957,320,4819,103,1104,3,1210,3972,359,5544,24,655,0,686,3743,320,4750,13,90,5,109,2301,267,2678,0,3,0,6,1005,183,1193,6116,2923,352,9389,20927,2575,32889,41,243,0,280,3680,384,4347,362,212,18,591,3344,359,4299,3367,350,163,3881,5142,787,9809,4700,250,207,5155,3007,713,8868,2221,570,69,2856,5785,675,9314,326,1559,14,1902,8038,716,10657,58,1096,0,1153,7508,658,9321,25,152,5,184,4393,485,5066,0,7,0,4
LGA23940,0,5,0,3,158,23,189,6,0,0,11,108,18,137,91,8,3,102,156,28,287,182,4,8,189,119,37,349,111,11,6,127,313,58,499,30,36,3,68,577,80,719,3,50,0,57,567,74,693,0,3,0,7,283,50,351,0,0,0,0,97,25,127,430,128,17,575,2374,402,3348,0,12,0,12,163,27,200,16,8,0,25,83,14,126,137,19,8,160,147,27,332,192,10,14,217,90,44,344,120,30,4,155,276,58,491,12,98,5,110,491,71,670,6,82,0,80,449,71,602,0,15,0,14,247,48,303,0,6,0,3,134,41,180,481,268,29,780,2073,399,3251,4,18,0,22,318,54,387,19,13,0,40,195,36,264,228,24,10,266,305,50,618,367,20,21,406,206,82,694,238,39,8,280,589,116,988,44,129,8,177,1063,150,1388,8,130,0,140,1015,148,1299,9,15,0,20,528,101,651,0,6,0,3
LGA24130,7,61,0,64,1519,120,1703,18,30,0,46,1018,63,1131,625,41,12,680,1368,128,2166,1990,43,38,2067,925,150,3142,1552,70,26,1647,1923,194,3763,240,234,5,476,2787,195,3463,35,359,0,396,2326,155,2881,7,76,0,83,1339,112,1532,0,0,0,3,314,48,365,4462,910,89,5457,13518,1168,20143,9,84,0,89,1363,112,1566,39,53,5,94,840,74,1011,929,84,38,1052,1134,112,2299,2460,84,105,2649,721,161,3533,1540,178,48,1774,2100,211,4072,115,603,4,721,2672,158,3547,23,614,5,641,2252,168,3061,7,102,0,109,1243,116,1466,0,6,0,6,444,82,531,5113,1812,208,7133,12773,1186,21092,8,144,0,155,2884,233,3268,56,87,3,138,1857,140,2138,1558,122,49,1730,2501,238,4469,4440,131,143,4719,1645,308,6672,3093,251,76,3418,4015,403,7838,356,837,11,1199,5455,354,7007,59,973,3,1035,4582,323,5937,11,173,0,188,2583,229,2999,0,7,0,9
LGA24210,9,100,0,110,3660,110,3883,11,73,0,81,3690,123,3900,1093,92,8,1198,5179,269,6652,4405,79,49,4541,2783,283,7610,3353,70,42,3461,4230,272,7963,641,413,16,1071,6259,183,7507,146,1055,3,1206,4556,182,5943,26,349,4,377,4039,203,4619,6,17,0,20,1775,141,1930,9684,2255,122,12064,36176,1775,50015,0,157,0,157,3223,89,3476,29,145,0,173,3160,106,3442,1841,162,28,2031,4441,266,6739,5674,126,121,5916,2254,281,8454,3453,205,56,3713,4791,252,8751,407,1283,20,1708,6471,234,8406,139,1763,3,1904,4993,223,7122,28,372,7,407,4855,271,5528,4,17,0,18,2392,211,2630,11566,4228,235,16025,36579,1937,54541,12,255,0,270,6884,201,7356,34,218,0,251,6857,232,7339,2929,261,42,3228,9622,539,13388,10080,205,171,10456,5038,564,16055,6805,273,96,7172,9018,525,16718,1040,1701,36,2773,12729,414,15921,280,2820,12,3111,9550,407,13063,55,722,9,788,8891,468,10148,4,36,0,42
LGA24250,0,8,0,8,231,23,258,0,6,0,10,144,17,170,101,9,0,106,282,32,418,310,12,10,332,157,53,545,198,10,9,216,341,51,609,47,50,0,99,655,59,818,10,68,0,77,708,63,849,0,13,0,14,344,29,390,0,3,0,3,82,6,92,668,182,23,865,2942,344,4152,0,11,0,11,258,32,300,12,9,0,22,98,17,138,134,18,9,157,258,37,453,378,19,18,411,125,43,582,197,32,5,239,337,48,624,24,111,3,135,669,74,884,0,101,0,104,631,63,796,0,17,0,17,326,25,370,0,0,0,0,127,10,139,738,323,42,1095,2835,347,4277,0,16,0,16,485,52,557,11,16,0,27,245,31,304,225,20,9,259,538,69,870,682,29,34,740,281,100,1127,398,39,12,456,679,103,1229,65,164,3,233,1325,140,1703,12,174,0,179,1333,125,1645,4,32,0,37,668,61,762,0,3,0,7
LGA24330,3,48,0,53,1570,99,1723,8,35,0,45,2595,205,2853,876,122,11,1008,8005,741,9751,3126,90,39,3258,4007,448,7715,1944,68,29,2044,3105,297,5444,365,158,8,527,3265,251,4048,39,222,3,267,2108,176,2551,6,54,0,57,1032,102,1197,0,6,0,7,440,59,500,6385,795,90,7262,26133,2376,35770,5,70,0,75,1552,78,1707,34,105,0,141,2406,177,2725,1457,252,21,1732,7180,593,9507,3764,167,98,4034,3154,358,7546,1927,130,36,2092,3154,239,5489,159,420,9,587,3392,200,4179,18,424,6,448,2114,145,2702,8,70,4,80,1272,122,1476,0,4,0,6,692,151,846,7378,1638,170,9193,24916,2067,36173,17,112,5,130,3121,170,3426,44,138,0,190,5002,383,5577,2333,375,34,2744,15187,1333,19257,6897,254,140,7286,7160,808,15258,3873,194,67,4137,6264,540,10931,524,581,11,1114,6658,451,8225,61,647,6,715,4214,322,5253,15,121,4,136,2307,232,2669,0,5,0,13
LGA24410,3,120,0,132,3181,104,3409,35,79,4,120,3104,114,3342,1520,129,31,1688,5300,301,7285,4763,110,79,4956,2905,299,8167,2979,105,53,3128,4009,257,7398,423,462,3,887,5382,202,6480,65,825,0,891,3804,178,4877,7,207,0,215,2487,179,2878,4,8,0,12,902,140,1055,9813,2043,177,12026,31071,1781,44880,11,179,0,191,2796,80,3074,95,153,3,246,2768,84,3102,2381,280,76,2741,4714,297,7750,5646,197,217,6060,2358,284,8700,2922,247,69,3235,4532,198,7964,240,1320,14,1574,5354,201,7135,87,1479,4,1568,4109,207,5890,9,230,0,241,3193,267,3699,5,11,0,16,1472,342,1829,11394,4093,389,15875,31299,1965,49138,10,303,4,319,5978,182,6483,129,235,4,368,5872,200,6438,3905,416,108,4427,10013,598,15033,10410,308,297,11014,5263,585,16863,5898,346,121,6365,8539,460,15364,665,1782,18,2465,10740,409,13610,156,2299,8,2460,7917,382,10760,15,439,0,459,5676,446,6580,9,18,0,26
LGA24600,0,48,0,50,2544,229,2817,21,56,0,82,10800,908,11789,959,179,3,1152,23215,2210,26571,2677,118,33,2826,8411,1109,12351,1283,60,22,1366,4036,546,5948,310,136,3,451,3723,389,4562,74,336,4,411,2541,251,3205,4,98,0,103,1302,146,1553,0,6,0,6,391,66,464,5329,1041,72,6443,56958,5859,69256,7,91,4,95,3139,251,3493,59,155,4,216,12182,989,13392,1572,357,28,1957,22394,2043,26393,3007,240,61,3301,6690,822,10818,1282,139,18,1437,3912,443,5790,174,419,6,601,3734,346,4679,39,636,9,680,2434,271,3384,9,117,3,126,1334,132,1590,0,3,0,6,627,90,726,6142,2160,125,8422,56445,5394,70262,5,135,4,143,5681,482,6310,76,212,8,298,22983,1900,25180,2532,541,31,3102,45608,4247,52962,5681,360,95,6134,15102,1934,23170,2561,194,40,2801,7951,990,11740,483,560,10,1050,7452,733,9236,109,973,6,1090,4973,518,6589,9,218,3,227,2631,279,3141,0,8,0,10
LGA24650,19,200,0,217,5260,404,5878,140,186,9,333,4903,635,5868,3602,315,48,3957,8165,1643,13765,8095,174,110,8378,5496,1423,15299,3725,195,50,3972,6503,828,11301,531,483,18,1031,5856,479,7369,87,566,3,656,4197,264,5121,12,96,0,117,1861,173,2153,0,0,0,0,381,62,441,16211,2214,230,18660,42625,5916,67200,29,385,0,413,4914,358,5685,387,317,22,732,4180,342,5252,6263,465,162,6888,6601,1071,14564,9575,304,219,10097,4207,935,15237,3264,590,82,3934,6653,594,11187,276,1404,26,1702,5645,386,7737,90,968,12,1071,4289,264,5629,11,103,3,114,1885,166,2168,0,6,0,5,626,79,714,19892,4538,532,24962,38993,4207,68167,46,586,0,630,10171,765,11568,528,503,31,1062,9078,977,11121,9862,778,207,10849,14765,2713,28329,17674,474,328,18475,9704,2358,30533,6987,787,135,7909,13156,1424,22490,809,1889,45,2737,11504,865,15104,178,1530,18,1726,8491,534,10748,22,199,3,229,3750,345,4321,0,6,0,5
LGA24780,5,63,0,71,1438,175,1680,68,39,0,114,1399,142,1650,945,87,21,1049,2368,350,3774,1565,49,52,1672,1258,310,3238,867,90,13,971,2161,308,3438,156,262,5,424,2892,305,3618,29,260,0,287,2458,270,3016,7,49,0,54,1455,159,1677,0,4,0,7,485,80,568,3644,906,91,4642,15918,2105,22661,9,142,0,151,1288,157,1600,138,104,7,248,1155,128,1526,1470,138,81,1695,1814,339,3851,1990,83,106,2178,1002,310,3481,866,252,26,1145,2237,258,3636,87,663,8,765,2735,258,3765,20,426,5,447,2436,235,3121,4,74,0,80,1582,173,1834,0,5,0,5,837,113,956,4578,1888,235,6702,15089,1971,23768,16,210,0,217,2726,333,3279,205,150,7,359,2552,267,3176,2412,221,103,2748,4187,691,7619,3558,134,159,3846,2263,614,6720,1730,340,39,2108,4398,571,7076,241,925,15,1183,5631,569,7383,47,687,5,736,4893,505,6137,12,123,0,133,3040,334,3505,3,6,0,10
LGA24850,3,65,0,72,1399,145,1610,55,43,0,99,1395,109,1605,1087,62,22,1178,2014,223,3412,1823,48,38,1906,1129,227,3263,931,78,20,1028,1871,213,3114,169,190,7,371,2389,200,2951,23,223,0,254,1872,149,2266,9,35,0,45,947,84,1077,0,3,0,4,246,20,269,4101,750,91,4949,13250,1372,19567,8,105,0,113,1162,125,1392,125,70,0,203,1003,78,1280,1650,124,60,1840,1546,221,3603,2050,89,112,2249,828,194,3278,882,204,18,1107,1954,193,3253,76,534,3,612,2185,178,2973,19,367,7,396,1702,119,2216,6,48,0,52,961,93,1111,0,6,0,6,400,53,459,4814,1542,209,6569,11742,1252,19566,15,165,0,179,2557,266,3002,182,112,4,299,2398,188,2886,2739,191,81,3016,3558,445,7015,3868,138,150,4159,1961,425,6535,1813,279,47,2137,3823,401,6369,243,722,12,979,4572,380,5923,48,596,9,649,3569,267,4491,13,79,0,90,1913,183,2186,0,10,0,12
LGA24900,0,23,0,27,747,86,867,37,26,0,64,565,50,677,423,47,16,485,893,130,1508,763,33,19,815,541,134,1490,494,60,9,568,1112,134,1812,90,162,4,255,1771,148,2173,20,166,0,188,1937,156,2274,7,26,0,31,1226,136,1393,0,0,0,0,374,67,441,1837,545,46,2425,9163,1047,12635,8,58,0,66,635,78,777,68,37,11,111,461,52,625,662,69,34,764,661,124,1549,959,46,41,1044,383,121,1548,449,135,21,606,1118,132,1852,43,406,0,447,1661,119,2230,14,283,4,304,1829,176,2302,4,50,0,46,1162,133,1342,0,3,0,3,526,83,614,2207,1077,114,3393,8425,1014,12834,11,86,0,98,1379,168,1644,109,62,9,176,1025,100,1307,1085,118,46,1248,1552,255,3055,1715,82,56,1854,923,262,3039,943,196,31,1172,2226,265,3661,131,559,3,705,3430,268,4402,36,448,4,487,3763,327,4581,10,70,0,79,2387,271,2735,0,3,0,3
LGA24970,16,143,0,156,5327,214,5701,28,124,6,154,8039,577,8773,1836,208,26,2070,12579,1156,15805,6764,120,49,6934,5138,603,12677,4676,100,42,4813,6182,441,11436,824,453,7,1285,8011,326,9621,189,1148,0,1335,5858,258,7458,36,382,0,426,4772,343,5542,4,22,0,28,2233,262,2518,14374,2691,132,17198,58144,4186,79524,10,187,0,198,4987,185,5372,73,209,4,286,6737,398,7411,2940,294,45,3280,9413,752,13448,8529,183,116,8826,3873,515,13214,4628,256,58,4953,6912,442,12299,513,1341,17,1875,8097,338,10309,193,1954,14,2165,6341,310,8817,46,393,7,439,5903,385,6732,10,10,0,23,3211,451,3687,16944,4833,264,22041,55469,3781,81293,25,329,0,353,10316,401,11078,96,335,10,437,14773,978,16188,4779,503,72,5350,21998,1908,29254,15288,303,165,15753,9012,1123,25886,9305,355,102,9763,13093,880,23735,1340,1794,22,3159,16102,671,19929,385,3100,18,3501,12200,567,16273,88,776,7,865,10671,730,12266,9,38,0,48
LGA25060,6,91,0,92,3127,129,3350,11,65,0,76,3659,178,3911,1012,127,6,1150,7395,484,9029,4287,103,40,4431,3720,370,8521,3279,80,22,3379,4463,359,8196,539,337,3,882,5583,283,6745,66,797,6,871,3994,186,5051,13,218,0,235,2628,188,3050,0,13,0,15,1168,96,1276,9218,1823,82,11127,35723,2256,49111,9,112,0,118,2910,103,3132,46,129,0,175,3485,161,3823,1710,278,34,2025,6951,484,9462,5267,196,129,5589,3060,375,9016,3298,220,59,3572,4805,313,8694,287,1011,17,1318,5774,262,7352,57,1309,7,1381,4217,232,5821,25,229,0,254,3391,224,3869,7,5,0,12,1859,141,2003,10701,3494,244,14441,36438,2292,53172,15,202,0,217,6039,229,6483,56,196,0,251,7138,336,7732,2729,407,41,3175,14346,970,18488,9553,298,169,10021,6775,743,17538,6579,297,83,6956,9262,669,16887,825,1350,23,2196,11353,548,14095,127,2107,16,2248,8209,410,10867,38,447,0,486,6018,406,6913,12,15,0,24
LGA25150,0,56,0,57,1007,64,1123,23,32,0,58,867,47,970,705,49,14,764,1412,135,2310,1445,37,29,1509,870,137,2525,757,65,10,836,1507,137,2477,133,163,0,297,1842,123,2262,20,236,0,257,1545,115,1920,0,30,0,30,798,65,894,0,3,0,3,199,23,222,3088,669,55,3820,10038,851,14709,6,66,0,73,899,68,1034,52,64,0,121,770,41,932,1032,102,36,1173,1161,126,2456,1686,62,71,1817,649,133,2598,765,159,28,955,1512,123,2592,60,461,5,528,1721,127,2376,13,389,0,403,1462,109,1971,5,34,0,36,840,88,968,0,5,0,5,361,34,403,3609,1345,145,5100,9385,851,15339,6,122,0,125,1906,127,2165,77,103,0,180,1636,91,1905,1735,146,50,1935,2567,262,4763,3130,101,93,3326,1523,272,5124,1526,224,35,1787,3021,260,5068,194,620,8,827,3568,247,4642,38,624,3,665,3009,224,3898,5,67,0,71,1637,153,1861,0,3,0,3
LGA25250,9,103,0,111,3363,180,3653,23,86,0,113,5755,362,6229,1723,247,18,1991,15166,1063,18217,6064,161,76,6303,7241,707,14249,3753,109,35,3893,5847,456,10195,669,262,10,931,6364,322,7619,68,474,6,540,4033,255,4835,14,135,5,151,2787,224,3157,5,11,0,12,1600,170,1784,12321,1585,148,14054,52158,3736,69954,3,197,0,200,3113,162,3478,109,189,0,299,5682,288,6275,2921,540,68,3524,14478,940,18947,7107,368,212,7687,6108,574,14374,3711,308,80,4098,6070,390,10561,348,864,23,1228,6653,306,8193,73,898,9,982,4498,276,5761,24,198,4,225,3906,285,4422,11,12,0,21,2564,310,2899,14304,3584,395,18281,53076,3542,74900,10,298,4,313,6479,338,7137,135,280,0,413,11436,656,12501,4645,786,91,5514,29639,2001,37163,13169,527,291,13994,13351,1280,28624,7462,421,116,7991,11923,846,20756,1009,1130,29,2165,13020,626,15806,140,1369,13,1527,8537,532,10596,38,335,7,376,6689,513,7581,8,23,0,33
LGA25340,13,161,0,177,4538,310,5022,60,96,0,157,3685,200,4046,1953,164,29,2140,4592,433,7167,5013,141,121,5274,2622,509,8398,4106,248,60,4417,5624,629,10675,773,846,19,1631,8729,604,10959,111,1543,9,1661,8983,668,11310,20,376,0,403,6431,553,7383,4,16,0,19,2187,352,2561,12045,3590,239,15876,47381,4258,67516,21,289,0,309,3954,323,4592,151,189,13,350,3026,214,3595,2852,322,150,3321,3664,405,7390,6206,266,313,6786,2168,487,9433,4279,566,126,4968,6367,606,11941,343,2307,25,2674,8977,590,12245,100,2627,14,2741,9341,719,12807,24,424,4,454,7273,729,8453,9,24,0,33,2850,582,3467,13982,7012,641,21631,47619,4663,73922,33,453,3,482,8491,639,9616,208,287,16,507,6718,414,7640,4807,479,177,5461,8261,833,14555,11220,403,437,12056,4785,995,17834,8388,814,187,9387,11984,1240,22616,1120,3150,39,4310,17702,1197,23203,208,4172,21,4400,18324,1390,24115,44,804,4,849,13702,1282,15833,16,41,0,54
LGA25430,3,29,0,30,421,53,506,6,16,0,22,283,56,363,196,21,0,215,474,257,949,504,14,25,542,371,206,1119,467,36,8,508,678,168,1353,107,99,0,208,1246,120,1580,25,134,0,160,1368,125,1652,3,43,0,44,696,97,834,0,0,0,0,186,71,259,1306,377,35,1725,5725,1160,8606,4,28,0,33,348,51,434,16,19,0,37,203,18,250,292,38,17,353,371,56,781,654,35,45,731,324,80,1139,490,76,20,586,772,91,1454,58,256,6,317,1300,105,1719,6,282,0,288,1295,113,1707,3,50,0,49,760,113,924,0,3,0,3,242,147,393,1522,786,90,2398,5613,778,8792,6,57,0,61,770,105,935,23,34,0,56,480,80,617,488,58,17,566,850,317,1730,1162,51,70,1276,693,287,2258,954,108,31,1096,1453,262,2808,165,350,8,524,2552,226,3292,32,419,0,448,2662,241,3353,3,84,0,92,1452,210,1755,0,6,0,6
LGA25490,0,10,0,14,454,65,527,11,14,0,25,314,28,366,275,32,7,314,452,66,832,559,14,13,580,260,59,903,390,34,3,424,629,88,1140,67,112,0,177,997,79,1252,11,130,0,144,1000,94,1237,4,30,0,28,457,49,529,0,0,0,0,129,13,142,1314,373,28,1707,4692,525,6927,0,29,0,29,430,65,525,23,25,0,51,283,33,358,421,41,21,484,346,67,898,647,24,34,702,221,51,974,358,70,10,437,635,59,1134,29,269,0,302,983,73,1356,9,188,0,196,876,72,1143,0,25,0,29,449,57,536,0,0,0,0,190,44,236,1493,670,67,2228,4405,520,7151,0,38,0,39,884,122,1048,30,36,0,69,593,57,721,699,72,27,799,800,132,1729,1202,37,44,1288,481,109,1879,750,103,13,863,1264,148,2273,99,380,3,479,1980,151,2606,15,313,0,336,1879,161,2377,0,56,0,57,906,101,1062,0,0,0,0
LGA25620,0,13,0,14,359,50,424,8,7,0,13,261,41,318,186,12,5,205,379,45,636,389,16,18,421,295,69,788,276,31,5,311,645,115,1074,62,52,0,122,1091,125,1336,13,109,0,117,1027,110,1260,0,18,0,18,569,74,658,0,0,0,0,136,13,154,944,268,22,1232,4760,641,6637,0,26,0,30,275,56,357,19,18,4,33,221,16,275,257,15,18,290,314,56,660,461,17,17,494,223,67,790,252,59,10,317,647,105,1071,19,185,0,204,1011,103,1310,10,142,0,153,905,98,1150,0,15,0,18,481,47,546,0,0,0,0,167,26,196,1023,477,45,1542,4238,577,6360,3,41,0,40,633,105,783,30,22,4,52,482,60,599,444,27,18,493,695,106,1291,851,38,37,917,519,142,1579,534,88,8,631,1290,226,2145,87,237,0,323,2098,223,2650,14,253,3,271,1934,208,2410,0,38,0,34,1046,124,1204,0,0,0,0
