LGA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
LGA25990,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,4,4,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,13,0,13,4,18,..,0,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,19,4,24,0,24,..,76,5,85,0,84,..,8,0,5,318,326,3258,79,9,87,321,3671,6558,..,..,..,..,6558,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA26080,0,0,..,3,0,3,0,3,..,11,0,17,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,59,5,61,0,66,..,0,0,0,99,102,1558,61,5,64,101,1725,2943,..,..,..,..,2943,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,4,0,5,0,5
LGA26170,0,0,..,23,6,26,0,26,..,93,16,106,0,109,..,7,0,6,0,6,..,3,0,9,0,9,..,5,0,3,0,3,..,0,0,0,0,0,..,32,8,36,0,36,..,0,0,0,0,0,..,12,0,12,0,12,..,3,0,8,0,8,..,0,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,24,0,28,0,28,..,6,0,6,0,6,..,17,0,17,0,17,..,11,0,10,0,9,..,64,3,66,0,63,..,27,0,25,0,25,..,5,0,9,0,9,..,12,0,12,0,12,..,0,0,0,0,0,..,12,5,22,0,22,..,128,7,139,5,141,..,565,72,639,3,646,..,28,5,34,972,1005,13809,597,78,676,975,15455,27388,..,..,..,..,27388,..,4,0,4,0,4,..,10,0,10,0,10,..,0,0,0,0,0,..,10,0,11,0,11,..,44,17,61,0,61
LGA26260,0,0,..,32,0,32,0,32,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,3,0,3,..,3,0,4,0,4,..,0,0,0,0,0,..,23,0,23,0,23,..,4,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,5,0,6,0,6,..,5,0,9,0,9,..,0,0,0,0,0,..,25,0,24,0,24,..,9,0,9,0,9,..,0,0,0,0,0,..,16,3,21,0,21,..,0,0,0,0,0,..,3,6,9,0,9,..,33,10,44,0,44,..,242,25,267,4,274,..,10,0,14,481,493,7696,256,28,284,482,8457,15109,..,..,..,..,15109,..,38,0,38,0,38,..,8,0,9,0,9,..,3,0,3,0,3,..,4,0,4,0,9,..,39,5,43,0,43
LGA26350,0,86,..,999,37,1034,10,1045,..,433,32,459,3,468,..,211,28,237,4,241,..,38,3,41,0,41,..,121,12,136,0,136,..,40,0,40,0,40,..,66,0,66,0,66,..,163,17,183,0,182,..,154,16,177,3,179,..,126,9,132,0,137,..,283,154,437,0,440,..,5,0,5,0,5,..,101,5,107,0,110,..,110,3,116,0,116,..,210,15,228,0,229,..,126,0,126,0,126,..,59,5,64,0,64,..,512,21,531,0,532,..,601,43,643,5,647,..,115,7,123,0,123,..,181,34,216,3,219,..,101,30,138,0,140,..,327,57,387,3,389,..,919,104,1022,22,1040,..,10967,1723,12687,99,12789,..,132,14,147,2411,2557,39457,11097,1736,12830,2514,54806,76544,..,..,..,..,76544,..,87,0,90,0,90,..,332,19,352,0,351,..,0,0,0,0,0,..,1251,182,1435,13,1449,..,3996,816,4820,22,4840
LGA26430,0,0,..,8,0,10,0,14,..,11,0,10,0,10,..,3,0,3,0,3,..,7,3,5,0,5,..,0,0,0,0,0,..,0,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,18,0,18,..,3,0,3,0,3,..,9,0,11,0,11,..,4,0,4,0,4,..,35,3,34,0,34,..,0,0,0,0,0,..,5,0,5,0,5,..,14,0,17,0,17,..,0,0,0,0,0,..,3,13,11,0,11,..,38,0,32,0,35,..,194,31,221,5,232,..,26,0,27,480,507,5038,221,31,255,484,5771,10011,..,..,..,..,10011,..,4,0,4,0,4,..,0,0,0,0,4,..,0,0,0,0,0,..,6,0,11,0,16,..,28,13,42,0,40
LGA26490,0,0,..,21,0,18,0,18,..,58,3,64,0,66,..,19,6,20,0,21,..,0,0,0,0,0,..,6,0,11,0,11,..,9,0,11,0,11,..,0,0,0,0,0,..,6,0,9,0,9,..,15,0,16,0,16,..,42,3,41,0,42,..,14,0,14,0,11,..,0,0,0,0,0,..,7,0,10,0,10,..,16,0,16,0,16,..,21,5,22,0,22,..,11,0,9,0,9,..,3,0,3,0,3,..,46,4,46,0,50,..,63,4,66,0,64,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,12,0,12,0,10,..,152,10,164,3,169,..,757,53,816,20,830,..,33,3,42,931,967,17287,789,63,851,946,19087,34184,..,..,..,..,34184,..,50,0,50,0,47,..,19,0,17,0,17,..,0,0,0,0,0,..,19,0,19,0,19,..,37,23,54,5,59
LGA26610,0,6,..,141,13,155,0,159,..,134,36,168,0,171,..,0,0,0,0,0,..,18,20,42,0,42,..,9,0,9,0,9,..,0,0,0,0,0,..,24,0,24,0,23,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,34,0,36,0,36,..,25,11,34,0,39,..,36,0,36,0,36,..,140,63,209,5,212,..,240,82,315,3,325,..,8,0,12,0,12,..,9,0,10,0,10,..,45,29,79,0,79,..,0,0,0,0,0,..,72,136,207,4,210,..,224,45,268,9,271,..,1123,516,1643,20,1667,..,44,20,63,847,918,8071,1170,540,1711,874,10652,16030,..,..,..,..,16030,..,46,0,47,0,49,..,15,10,19,0,26,..,24,3,25,0,30,..,29,31,64,0,64,..,160,252,410,3,417
LGA26670,0,0,..,5,0,5,0,5,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,3,0,3,0,3,..,5,0,5,0,5,..,0,4,4,0,4,..,15,4,16,0,16,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,3,17,0,17,..,85,9,84,0,84,..,0,0,0,245,246,2724,84,9,89,245,3059,5516,..,..,..,..,5516,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,9,0,9,0,9
LGA26700,0,7,..,108,12,117,0,117,..,190,39,230,0,234,..,14,0,13,0,13,..,0,0,5,0,5,..,4,0,3,0,3,..,0,0,0,0,0,..,15,3,14,0,14,..,0,0,0,0,0,..,3,0,4,0,4,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,4,0,3,0,3,..,40,0,40,0,40,..,4,4,6,0,6,..,29,0,29,0,29,..,15,4,14,0,14,..,87,5,94,0,94,..,13,4,14,0,14,..,17,0,16,0,16,..,23,12,35,0,35,..,0,0,0,0,0,..,14,3,16,0,16,..,91,10,106,5,107,..,727,100,831,7,838,..,32,6,41,843,885,13701,762,107,874,852,15425,26531,..,..,..,..,26531,..,19,0,20,0,20,..,10,0,14,0,14,..,10,0,10,0,10,..,15,8,19,0,19,..,61,10,67,0,67
LGA26730,0,6,..,116,3,120,3,124,..,16,0,16,3,20,..,17,0,17,0,16,..,5,0,4,0,4,..,11,3,16,0,16,..,0,0,0,0,0,..,20,0,20,0,20,..,3,0,3,0,3,..,9,0,9,0,9,..,5,0,5,0,5,..,7,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,55,0,53,0,54,..,14,0,21,0,21,..,39,0,39,0,41,..,21,4,28,0,28,..,128,7,136,0,138,..,21,0,27,0,28,..,11,0,13,0,13,..,37,11,45,0,45,..,4,0,3,0,10,..,32,26,54,0,56,..,150,12,157,3,162,..,794,138,931,30,959,..,64,3,69,931,1002,16408,861,140,1001,962,18369,31517,..,..,..,..,31517,..,58,0,57,0,57,..,59,0,58,0,58,..,15,0,18,0,18,..,24,4,30,0,30,..,149,156,304,8,316
LGA26810,0,6,..,106,15,122,0,124,..,39,0,47,0,44,..,3,0,3,0,3,..,7,8,15,0,15,..,5,0,4,0,4,..,0,0,0,0,0,..,28,0,28,0,28,..,0,0,0,0,0,..,16,0,16,0,17,..,3,0,3,0,3,..,9,0,13,0,13,..,0,0,0,0,0,..,6,4,8,0,8,..,46,0,54,0,54,..,11,0,8,0,11,..,65,5,70,0,69,..,30,0,30,0,30,..,151,10,158,3,158,..,26,4,25,0,30,..,13,3,19,0,16,..,25,8,40,0,40,..,4,0,4,0,4,..,34,19,49,3,54,..,140,17,156,3,158,..,837,111,944,16,960,..,59,0,63,1543,1605,20083,895,113,1007,1558,22653,39808,..,..,..,..,39808,..,71,3,74,0,74,..,28,5,31,0,33,..,9,0,9,0,9,..,21,4,19,0,19,..,85,37,122,0,122
LGA26890,0,0,..,11,0,11,0,11,..,6,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,0,0,0,0,0,..,4,0,6,0,6,..,0,0,0,0,0,..,10,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,10,..,48,0,50,3,51,..,6,0,6,158,165,1776,52,0,55,158,1997,3592,..,..,..,..,3592,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
LGA26980,0,237,..,3514,193,3701,26,3724,..,836,117,958,3,955,..,327,39,371,4,370,..,103,55,156,0,160,..,562,172,729,10,736,..,77,9,90,0,90,..,253,15,267,0,267,..,534,78,611,3,618,..,183,12,193,0,193,..,59,0,59,0,61,..,132,20,153,0,154,..,13,0,13,0,13,..,102,18,126,0,126,..,252,4,251,4,260,..,445,41,486,0,487,..,352,7,355,0,362,..,127,9,132,0,132,..,1175,55,1233,9,1234,..,388,37,428,3,432,..,473,29,508,7,510,..,253,57,316,0,316,..,67,18,78,0,78,..,970,310,1276,7,1283,..,1378,231,1609,45,1657,..,28262,7594,35859,317,36178,..,296,48,344,2822,3165,48084,28560,7646,36203,3138,87430,94609,..,..,..,..,94609,..,119,5,125,0,125,..,523,52,578,7,578,..,16,5,20,0,20,..,6979,2224,9204,79,9275,..,19047,8049,27094,272,27362
LGA27070,4,296,..,10343,957,11297,115,11407,..,3802,761,4559,25,4584,..,99,10,114,0,114,..,148,89,236,0,238,..,137,48,183,3,189,..,3983,966,4954,37,4994,..,1291,77,1370,16,1387,..,781,218,1003,9,1013,..,131,12,142,0,142,..,200,39,243,3,241,..,107,10,119,0,121,..,412,24,438,0,438,..,377,74,449,3,450,..,660,11,670,7,679,..,253,23,274,0,278,..,760,20,780,0,782,..,285,28,308,4,315,..,1958,76,2040,12,2049,..,531,65,596,8,601,..,1121,130,1248,13,1265,..,239,49,291,5,299,..,723,206,928,0,929,..,1857,954,2810,23,2837,..,3923,629,4548,96,4644,..,43344,8439,51783,502,52289,..,760,189,957,4518,5470,57803,44108,8629,52735,5024,115556,115115,..,..,..,..,115115,..,173,5,169,0,169,..,9938,1887,11819,89,11908,..,40,0,45,0,47,..,1259,482,1737,15,1751,..,3329,1700,5028,71,5097
LGA27170,0,6,..,279,59,336,9,343,..,44,0,47,0,47,..,4,0,4,0,4,..,8,5,10,0,10,..,10,0,12,0,12,..,0,0,0,0,0,..,37,3,45,0,45,..,8,0,8,0,8,..,8,3,6,0,6,..,11,0,11,0,8,..,10,0,10,0,10,..,0,0,0,0,0,..,21,0,28,0,28,..,50,5,51,0,51,..,9,0,9,0,7,..,68,0,68,0,68,..,9,0,14,0,14,..,137,5,141,0,142,..,28,3,29,0,29,..,8,4,11,0,11,..,24,9,23,0,23,..,0,0,0,0,0,..,51,47,97,0,101,..,286,101,382,3,390,..,1244,276,1525,21,1542,..,81,19,96,982,1084,19561,1325,296,1618,1005,22183,38096,..,..,..,..,38096,..,31,0,31,0,35,..,66,3,74,0,74,..,18,0,15,0,15,..,20,5,31,0,26,..,92,35,129,5,134
LGA27260,16,1062,..,25714,2360,28077,357,28431,..,1097,187,1285,7,1295,..,204,27,234,3,234,..,98,33,134,0,129,..,400,130,530,4,533,..,566,75,642,5,650,..,1123,78,1198,13,1211,..,323,50,375,6,382,..,269,37,303,0,303,..,237,33,266,4,269,..,271,42,314,0,314,..,948,53,1001,12,1010,..,406,73,478,5,481,..,1558,34,1597,15,1613,..,937,101,1033,24,1057,..,2020,52,2076,7,2083,..,548,34,581,10,591,..,5059,227,5289,57,5339,..,1000,146,1146,8,1155,..,1941,135,2080,20,2100,..,383,103,486,7,493,..,195,26,219,0,225,..,1240,482,1723,9,1733,..,11717,2393,14109,259,14367,..,62359,9155,71514,884,72396,..,1000,257,1259,7092,8350,63820,63357,9410,72768,7977,144566,128559,..,..,..,..,128559,..,485,12,497,5,501,..,4864,658,5528,55,5582,..,35,4,39,0,39,..,2058,555,2615,23,2638,..,7436,2908,10345,118,10462
LGA27350,0,24,..,296,7,298,3,304,..,548,99,649,7,655,..,144,14,159,0,157,..,14,4,19,0,19,..,76,13,92,5,93,..,80,10,92,0,92,..,12,0,12,0,12,..,71,12,81,0,81,..,87,3,94,0,92,..,88,5,93,0,94,..,87,10,93,0,97,..,3,0,3,0,3,..,93,16,108,0,108,..,65,0,68,0,71,..,75,0,80,0,85,..,97,0,99,0,101,..,62,14,80,0,77,..,314,19,326,3,331,..,420,33,456,10,458,..,45,0,47,0,47,..,121,23,140,0,143,..,113,36,148,0,152,..,946,810,1764,17,1778,..,1145,209,1355,37,1388,..,7518,2312,9828,119,9949,..,162,30,188,2072,2259,33917,7678,2340,10013,2193,46125,67385,..,..,..,..,67385,..,48,0,48,0,48,..,496,86,579,0,584,..,36,0,36,0,41,..,728,340,1068,7,1071,..,1222,469,1688,18,1710
LGA27450,0,40,..,506,39,546,4,551,..,487,82,563,10,572,..,103,12,114,0,114,..,44,9,52,0,52,..,47,7,60,0,57,..,27,3,31,0,33,..,80,11,85,0,90,..,135,12,149,4,155,..,151,8,162,0,160,..,29,0,35,0,36,..,75,5,88,0,85,..,15,0,19,0,19,..,38,0,38,0,38,..,95,3,101,0,101,..,64,0,64,0,64,..,131,0,131,0,134,..,37,0,37,0,37,..,327,3,330,0,332,..,174,17,186,0,186,..,43,0,44,5,44,..,138,25,159,0,159,..,15,0,17,0,17,..,100,12,116,9,115,..,1354,398,1757,30,1789,..,5533,908,6436,70,6509,..,254,35,290,2485,2770,69598,5782,940,6723,2559,78878,137846,..,..,..,..,137846,..,188,4,191,0,194,..,181,19,200,0,204,..,17,3,18,0,18,..,338,51,393,10,398,..,908,307,1217,11,1225
LGA27630,0,0,..,21,0,19,0,19,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,14,0,14,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,9,0,9,0,9,..,9,0,9,0,9,..,8,0,10,0,10,..,0,0,0,0,0,..,5,0,3,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,15,3,20,0,20,..,89,14,93,0,99,..,9,0,9,237,241,2887,93,14,104,237,3232,5879,..,..,..,..,5879,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,6,0,7
LGA29399,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,37,15,50,0,57,..,3,0,3,119,119,283,47,15,57,118,463,609,..,..,..,..,609,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,17,22,37,0,37
LGA29499,0,0,..,37,0,41,0,41,..,7,3,14,0,14,..,3,0,4,0,4,..,0,0,3,0,3,..,0,3,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,12,0,13,0,14,..,3,0,3,0,3,..,7,0,7,0,7,..,3,0,3,0,3,..,4,4,7,0,7,..,3,5,7,0,7,..,7,4,12,0,12,..,7,3,7,0,11,..,3,0,3,0,3,..,3,0,8,0,8,..,23,9,30,0,33,..,25,0,27,0,27,..,3,0,3,0,3,..,8,0,8,0,8,..,10,7,14,0,14,..,14,7,21,0,21,..,85,25,108,0,112,..,388,94,482,7,492,..,13,0,16,1371,1385,2041,406,94,496,1374,3915,4485,..,..,..,..,4485,..,10,0,10,0,10,..,60,4,66,0,66,..,0,0,0,0,0,..,15,7,22,0,22,..,69,44,111,0,108
LGA29799,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,0,0,0,0,3,6,13,..,..,..,..,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
