LGA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA24900,64,60,47,37,15,3,320,5,61,74,78,88,66,16,0,386,64,477,397,345,272,248,93,21,1923,85,297,313,383,395,347,159,31,2008,411,903,912,955,959,697,317,65,5223,38,53,65,45,52,43,16,0,324,16,41,44,64,93,67,37,0,377,469,1000,1023,1076,1106,813,370,71,5920,6,11,19,12,23,22,22,3,113,279,286,279,344,395,522,442,218,2768,919,2215,2168,2293,2316,2051,1114,353,13438
LGA24970,6153,3433,2191,1123,509,86,21165,93,760,1011,1063,884,592,221,40,4663,4026,10746,9307,7071,4604,2850,1309,462,40371,1340,2426,2758,2950,2454,1787,1149,383,15250,1250,2073,1806,2482,2238,1452,1073,450,12817,200,145,116,152,138,120,44,18,935,128,172,256,457,471,360,285,134,2272,1580,2393,2175,3094,2856,1932,1401,596,16018,109,191,212,181,171,184,128,69,1236,1382,2026,1323,1083,953,940,1189,1116,10014,9159,25564,22938,18864,14104,9411,5915,2762,108717
LGA25060,2682,1576,1048,628,144,19,9207,70,687,931,915,748,455,109,17,3926,1952,6714,6159,4596,2786,1608,431,111,24356,643,1735,1895,2114,1623,1042,432,122,9608,807,2177,1956,2267,1876,1179,708,250,11224,110,167,124,123,119,63,26,6,733,93,175,235,376,331,222,124,52,1610,1018,2523,2313,2762,2333,1460,852,310,13565,16,98,106,77,80,69,59,15,519,597,1087,883,817,741,718,685,414,5942,4458,15794,14959,12858,9351,5986,2715,1003,67124
LGA25150,287,220,177,104,34,6,1089,24,133,197,182,119,108,22,3,780,192,824,926,684,415,310,117,25,3497,148,568,697,628,507,363,145,27,3083,490,1458,1404,1227,1059,634,230,51,6556,68,66,71,47,49,38,7,0,337,34,44,92,88,100,75,28,9,466,586,1565,1560,1367,1215,750,271,57,7369,9,25,26,22,27,10,13,10,132,249,297,303,334,334,349,259,78,2206,1205,3664,4002,3434,2792,2001,854,205,18154
LGA25250,5557,2589,1398,687,171,19,17485,100,1417,1631,1258,883,424,85,15,5807,3174,13979,9646,5088,2594,1278,344,81,36184,1117,3306,3161,2475,1583,751,263,87,12749,1385,3585,2606,2537,2045,1033,529,284,14015,165,233,175,146,97,74,13,4,915,125,296,325,402,386,169,90,40,1832,1685,4116,3101,3086,2531,1280,636,323,16760,67,194,202,113,101,75,45,18,816,1015,2146,1448,1073,883,824,807,710,8904,7465,31922,24752,15679,9971,5318,2347,1254,98711
LGA25340,1006,1164,1122,1003,425,72,5529,47,329,678,859,902,819,276,36,3950,709,3215,4083,4191,3386,3230,1668,406,20885,590,1727,2548,3222,2985,2868,1562,418,15917,1658,4125,4369,5004,4929,3555,1889,550,26087,251,191,211,228,255,206,82,27,1454,105,221,312,456,506,567,354,116,2633,2023,4541,4886,5690,5691,4323,2330,687,30166,33,57,83,103,135,200,179,83,871,1065,941,1166,1547,1630,2141,2149,1320,11957,4498,11507,14448,16771,15849,14588,8590,3019,89268
LGA25430,252,292,269,268,104,10,1300,0,51,133,183,215,176,57,6,812,36,307,571,609,520,563,248,34,2888,33,161,226,345,399,374,198,24,1760,145,390,369,471,566,442,160,33,2590,25,25,29,18,39,29,12,5,173,3,11,20,44,71,46,33,8,241,181,432,411,533,672,516,209,46,3001,4,6,6,9,14,19,18,4,83,140,143,166,221,231,340,282,251,1772,391,1200,1765,2188,2326,2261,1108,377,11623
LGA25490,77,80,86,76,12,3,408,10,36,56,74,75,54,14,6,319,48,329,413,336,292,247,78,12,1747,32,176,224,285,279,247,98,18,1360,238,558,521,549,541,302,94,11,2815,48,29,33,27,38,23,0,0,203,5,13,20,38,44,51,21,6,201,289,598,576,619,617,376,115,21,3217,3,12,5,9,9,8,8,0,52,163,149,131,176,216,267,186,91,1386,549,1370,1490,1582,1576,1271,506,154,8492
LGA25620,45,67,78,63,18,4,332,11,38,32,79,61,72,16,5,315,40,176,235,263,248,264,94,18,1335,36,152,195,268,316,248,113,24,1342,171,436,517,552,619,407,164,39,2900,21,23,24,18,27,20,5,0,140,9,12,19,43,59,49,11,3,207,205,467,562,613,707,474,180,43,3246,4,9,5,4,13,18,16,3,68,157,114,155,238,295,296,176,77,1510,450,1008,1229,1534,1714,1430,610,165,8153
LGA25710,949,941,666,439,168,26,3764,21,168,394,616,495,356,74,12,2149,618,1751,2482,2464,1735,1140,317,63,10569,300,631,936,1425,1185,870,330,58,5740,778,1230,1345,1825,1844,942,383,92,8431,110,50,59,77,79,42,10,3,436,44,67,115,198,231,189,77,20,939,932,1346,1515,2097,2152,1167,473,111,9805,15,28,46,56,64,63,42,6,320,234,191,292,342,388,391,284,126,2249,2167,4643,6613,7946,6699,4434,1693,399,34599
LGA25810,39,16,26,42,11,5,180,6,25,29,27,35,37,8,0,167,34,197,178,146,132,130,47,9,864,28,119,115,160,179,140,58,14,808,137,368,304,335,409,301,123,16,1994,22,19,18,20,21,23,7,0,140,5,17,22,24,27,29,9,6,143,165,405,347,379,456,350,138,29,2269,3,10,10,0,9,16,5,0,59,109,145,104,147,205,259,218,133,1309,352,939,818,875,1048,972,480,187,5667
LGA25900,3515,2274,1601,941,373,44,12639,41,759,850,885,682,434,128,11,3791,1423,9459,6654,4560,2962,1849,668,163,27750,523,2078,1904,1673,1383,918,411,87,8981,520,2065,1427,1173,1022,547,261,84,7104,82,117,92,100,62,45,18,4,528,59,174,219,249,257,184,98,24,1267,667,2360,1739,1526,1339,771,380,115,8897,42,171,126,86,70,71,42,10,624,576,1810,1406,1123,938,719,610,382,7572,3459,20350,16208,12131,8977,5705,2615,817,70260
LGA25990,23,21,35,23,8,0,127,0,16,18,30,32,24,6,0,127,20,75,95,106,108,105,24,9,540,14,61,82,128,96,103,40,6,531,101,195,173,273,254,213,61,12,1292,12,12,17,12,17,10,0,3,84,6,10,16,4,20,27,3,0,88,115,220,202,290,288,249,66,16,1464,0,0,0,0,0,6,8,4,17,100,59,100,124,115,165,109,39,798,253,447,519,697,675,681,259,75,3606
LGA26080,25,25,57,89,34,6,250,0,0,14,15,41,63,14,0,151,10,71,83,100,149,187,105,28,736,3,7,25,38,78,119,72,21,368,11,26,34,48,74,69,38,16,315,0,0,0,5,4,5,0,0,16,3,0,0,10,6,15,14,0,56,14,26,38,58,82,94,55,23,391,0,0,0,0,3,4,3,0,20,16,12,17,18,55,64,78,28,288,57,136,209,253,465,617,364,106,2205
LGA26170,105,167,184,137,45,8,735,6,68,104,153,135,125,30,4,624,69,426,537,524,529,535,181,46,2840,61,251,386,445,479,471,189,38,2321,327,883,894,1034,1060,747,299,61,5306,54,65,53,51,62,42,16,0,339,22,33,70,54,98,88,47,20,429,400,982,1015,1145,1222,877,359,80,6079,0,12,7,17,18,35,24,5,124,239,203,275,298,412,474,356,141,2400,793,2011,2432,2747,2973,2658,1183,318,15123
LGA26260,66,71,48,62,15,10,341,3,35,61,60,72,57,14,0,308,64,286,320,283,217,212,80,13,1481,42,158,205,248,236,229,92,25,1228,280,506,431,494,560,342,121,37,2775,45,35,45,26,31,12,7,0,206,7,30,27,27,33,40,18,5,185,331,568,495,547,626,401,147,44,3155,3,0,6,4,10,24,9,7,62,117,103,115,156,191,246,224,146,1296,574,1222,1266,1361,1409,1221,578,241,7877
LGA26350,3301,2079,1541,1055,505,107,13366,65,894,741,808,656,479,165,31,3840,2644,10909,6131,4685,3433,2539,1262,376,31981,602,1740,1363,1379,1238,1102,672,259,8360,519,1488,843,746,684,418,281,115,5087,85,108,82,55,61,45,20,11,463,51,138,157,219,232,223,142,53,1209,648,1732,1071,1015,981,688,440,181,6757,42,144,97,97,90,104,85,40,698,646,1398,891,693,618,627,646,465,5981,4904,21338,13598,10753,8561,6600,3783,1450,70989
LGA26430,49,46,51,61,16,0,253,0,16,43,30,47,59,21,0,217,31,148,192,150,174,208,91,23,1019,18,95,146,168,188,202,92,30,941,132,268,325,308,417,317,100,20,1891,19,23,18,14,25,18,10,0,124,7,8,19,27,26,36,17,3,149,160,298,366,354,468,370,128,25,2163,0,0,0,4,12,7,5,3,46,108,76,104,154,240,270,173,100,1223,315,678,899,908,1176,1178,514,184,5854
LGA26490,528,443,374,291,102,7,2061,5,156,286,273,264,225,67,4,1289,219,1248,1825,1297,967,875,328,47,6802,107,367,678,737,658,624,273,71,3517,316,751,985,1005,949,587,214,80,4883,44,24,29,33,42,38,10,4,220,21,38,59,75,101,116,44,21,477,381,809,1080,1114,1090,739,263,98,5579,8,13,22,15,31,42,23,11,168,217,231,320,302,322,408,262,200,2258,957,3119,4744,4176,3708,3214,1325,438,21680
LGA26610,55,39,18,19,8,0,240,5,50,50,54,71,41,7,0,284,70,422,368,207,157,137,51,15,1420,63,258,271,218,207,168,61,26,1268,268,707,595,497,577,314,100,23,3069,46,43,32,23,25,25,3,0,201,20,39,51,47,48,32,18,0,257,331,796,683,566,648,363,123,22,3529,4,14,10,8,8,9,5,5,67,243,347,313,248,316,278,224,131,2102,733,1976,1741,1341,1421,1006,475,201,8897
LGA26670,24,26,24,22,4,0,111,0,22,23,20,39,25,6,0,132,11,80,109,78,110,81,21,9,490,16,37,68,86,150,80,42,6,482,62,158,192,231,272,160,69,15,1168,9,10,11,15,17,8,3,0,76,9,3,7,16,30,24,11,5,98,82,173,212,265,319,192,79,16,1344,0,0,0,3,3,8,6,0,25,52,47,67,82,103,135,88,69,637,165,362,503,558,739,546,251,97,3220
LGA26700,146,125,128,80,14,4,684,5,86,129,159,162,138,32,5,714,114,599,639,509,416,388,154,40,2860,76,324,422,509,471,402,161,47,2405,415,901,914,971,987,592,244,67,5100,58,42,52,61,49,31,8,4,306,26,36,48,73,64,68,48,10,376,502,972,1021,1109,1095,692,300,84,5773,9,13,12,14,15,25,22,8,114,236,217,230,267,317,382,372,213,2243,943,2392,2600,2699,2607,2097,1052,395,14786
LGA26730,233,184,177,115,39,6,1009,8,119,180,183,163,130,25,9,818,160,967,868,686,532,436,144,46,3839,98,439,490,507,523,410,182,41,2684,551,1181,1166,1080,918,516,224,64,5698,70,71,39,47,51,35,7,5,335,31,38,51,87,86,58,35,5,410,655,1297,1262,1217,1055,607,279,77,6444,3,19,12,8,14,18,17,8,111,270,289,333,275,306,349,359,247,2427,1204,3374,3381,3054,2770,2071,1049,430,17334
LGA26810,189,164,135,106,24,7,831,13,128,151,162,156,124,27,5,768,217,846,797,596,507,480,159,26,3626,85,445,541,637,651,544,215,49,3168,572,1520,1463,1460,1617,1141,403,72,8250,77,92,90,73,83,62,17,0,495,27,62,77,89,122,116,29,15,540,674,1676,1634,1629,1820,1316,450,83,9285,8,14,30,20,31,32,27,9,174,430,483,520,502,592,772,459,255,4012,1449,3789,3850,3717,3892,3377,1363,425,21862
LGA26890,15,7,4,4,0,0,50,0,11,9,14,14,9,0,0,59,12,74,71,49,43,29,11,4,292,5,35,42,51,62,49,15,3,270,46,110,107,115,117,81,26,9,603,6,9,4,5,14,5,6,0,48,0,0,8,3,10,6,9,0,36,53,120,117,122,138,96,31,9,692,0,0,0,0,4,4,3,0,11,29,14,39,68,70,98,68,24,421,107,266,292,322,346,291,123,43,1791
LGA26980,5215,3136,1841,978,438,91,17330,82,701,1105,1300,1078,743,283,68,5359,2955,8628,8907,7053,4327,3009,1336,447,36660,1189,2164,2358,2824,2469,1876,1127,393,14395,1248,1822,1555,2352,2186,1238,954,378,11736,183,147,147,128,141,89,47,9,890,129,151,215,408,398,337,246,113,1990,1555,2127,1913,2887,2723,1671,1248,494,14612,65,120,153,144,160,150,139,53,981,997,1437,1004,919,811,944,1038,1081,8230,7187,20473,20656,18257,13403,9372,5604,2632,97578
LGA27070,4296,1372,612,296,81,10,11155,106,974,1161,698,406,210,59,7,3615,2216,8940,8737,3882,2033,1269,318,59,27456,1312,4529,5539,3615,2176,1109,347,59,18683,2570,6333,5979,5181,3759,2118,832,182,26960,341,345,354,290,237,111,30,0,1708,235,424,610,693,549,336,87,26,2956,3144,7107,6945,6160,4546,2567,949,209,31626,91,233,288,160,150,107,44,11,1089,1596,2278,2035,1526,1345,1263,1044,648,11728,8810,28197,28995,17418,11267,6825,2841,1005,105361
LGA27170,253,186,138,93,18,0,908,19,161,206,194,157,113,34,3,888,129,986,937,677,457,372,127,19,3707,178,621,742,689,627,467,177,27,3516,862,1888,1598,1393,1182,734,272,71,7993,102,119,92,63,51,48,9,0,484,45,73,74,114,122,100,45,12,593,1007,2073,1764,1577,1355,883,332,85,9069,10,19,10,24,29,21,15,12,143,342,357,341,295,286,387,340,156,2507,1698,4418,4256,3638,3046,2338,1043,302,20736
LGA27260,11132,2689,951,466,106,10,23632,152,1116,1779,951,475,243,59,7,4791,2562,13164,16295,5710,2555,1487,363,53,42194,1612,6078,6985,4021,2357,1204,350,52,22668,2998,6714,6244,5233,3664,1843,669,136,27493,390,428,387,280,222,110,20,0,1839,244,513,761,644,486,285,83,18,3030,3628,7655,7391,6159,4368,2233,772,159,32363,119,444,571,230,169,137,66,6,1727,2490,4260,3801,1992,1418,1142,731,383,16207,10950,40604,47952,21745,12292,6911,2448,667,143573
LGA27350,3175,1848,1393,985,359,48,13044,61,1155,817,719,623,442,117,7,3939,2403,12534,5943,3110,2113,1419,570,132,28226,445,1835,1330,954,729,554,262,57,6168,480,1719,1015,744,636,291,148,56,5096,78,126,82,78,49,35,8,0,466,42,163,123,159,130,91,44,17,760,606,2006,1222,974,814,423,204,75,6317,23,150,92,53,40,39,28,12,436,545,1464,929,659,624,467,321,151,5161,4268,24192,13509,8319,6343,4328,1855,477,63285
LGA27450,1461,1090,773,579,213,26,5237,65,534,816,818,732,570,162,14,3705,886,4290,4358,3466,2465,1934,731,137,18266,676,2330,2922,3005,2500,1809,756,158,14168,2196,5540,5147,5317,4710,2819,1207,274,27209,312,222,253,221,217,145,60,9,1430,133,224,333,430,489,404,189,45,2243,2638,5987,5733,5965,5417,3363,1451,323,30882,29,83,66,97,103,124,100,30,628,801,924,974,1130,1148,1100,912,490,7476,5143,15208,16331,15569,13141,9477,4323,1178,80367
LGA27630,12,12,9,14,3,0,64,0,15,19,18,20,17,4,0,90,9,95,74,59,75,56,21,4,393,15,49,63,103,114,76,35,5,454,69,180,158,190,250,148,53,19,1060,10,15,14,10,13,4,0,0,59,7,6,14,14,27,11,4,0,79,78,197,182,213,293,166,54,19,1197,0,0,0,4,8,4,0,0,25,72,50,47,66,93,136,134,94,698,180,420,405,471,610,465,248,119,2920
LGA29399,5,10,3,0,0,0,27,0,0,6,3,9,0,0,0,20,16,58,38,18,16,9,0,0,149,7,15,15,13,7,0,0,0,61,31,45,13,13,13,5,0,0,118,5,0,0,0,0,4,0,0,10,0,5,0,0,0,0,0,0,7,34,48,13,13,13,10,3,0,136,0,0,0,0,0,0,0,0,3,75,80,25,26,14,13,8,0,246,134,205,100,91,59,39,11,6,648
LGA29499,77,37,26,13,0,0,239,4,20,25,17,21,9,0,0,98,44,280,153,107,71,37,8,0,701,25,95,66,56,79,42,7,0,372,100,227,210,170,141,83,20,0,949,29,26,20,17,13,7,0,0,112,3,13,17,25,11,11,0,0,90,131,270,243,211,161,104,20,0,1148,9,8,8,8,8,0,0,0,37,397,694,879,659,422,207,45,15,3316,608,1458,1448,1099,779,411,85,18,5907
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29,0,6,16,3,15,4,0,0,40
