UCL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL212005,128,147,56,119,105,24,23,49,9,648,270,285,161,521,250,97,68,135,21,1808,546,227,1603,812,523,329,299,561,85,4972,15,7,16,38,50,53,24,66,5,276,34,25,25,65,60,38,21,61,3,338,8,31,10,14,3,3,6,22,0,103,27,56,30,44,30,40,34,84,59,408,1633,3765,2062,2031,1329,707,541,1218,231,13514
UCL212006,141,188,105,160,170,56,26,46,14,907,236,224,201,415,305,99,71,67,18,1628,492,226,1911,647,587,270,396,382,88,4993,21,9,19,44,54,34,22,25,0,230,38,24,33,67,81,40,39,32,7,367,10,16,13,11,16,10,0,0,6,94,27,32,23,39,46,23,20,17,36,264,1674,3270,2500,1849,1723,695,650,661,214,13239
UCL212007,128,164,50,105,83,32,14,17,9,597,149,163,102,180,136,56,5,30,9,837,303,111,865,239,214,130,65,140,29,2092,3,12,11,12,18,19,0,4,3,79,26,22,15,24,30,30,8,10,3,155,8,16,5,7,3,4,4,0,0,52,22,31,8,25,14,15,4,11,22,151,1632,3303,1215,961,867,447,121,300,120,8963
UCL212008,60,110,46,80,70,17,5,8,10,404,142,184,87,273,197,50,21,36,20,1012,302,157,1261,477,471,195,305,362,54,3588,12,12,21,27,43,24,10,20,5,165,20,7,5,33,33,18,16,21,0,156,7,15,8,5,3,3,0,9,0,56,23,23,23,30,21,14,16,24,11,183,891,2472,1563,1140,1086,386,398,513,127,8581
UCL212009,89,138,47,96,81,32,12,32,7,537,143,168,116,360,171,87,22,75,20,1171,415,158,1284,681,397,256,226,430,56,3910,19,11,8,27,40,39,15,50,0,202,19,10,28,56,47,26,10,29,5,227,0,8,7,6,8,4,6,7,0,47,24,37,14,33,28,34,18,60,34,273,1220,3076,1644,1594,1045,566,339,832,140,10456
UCL213001,21,40,10,36,28,12,6,13,6,184,53,89,24,114,74,24,11,25,9,414,148,55,456,252,182,119,110,156,21,1500,12,3,10,10,14,12,6,20,0,86,5,5,6,20,12,9,0,13,0,76,0,7,3,4,0,0,0,5,0,28,5,11,14,20,12,3,9,22,13,107,377,828,554,553,402,207,143,308,60,3431
UCL213002,36,57,12,33,26,17,3,10,5,194,48,56,38,74,36,12,7,11,6,285,61,43,261,114,80,37,52,69,11,720,7,0,7,10,9,3,0,9,0,50,8,7,4,11,12,4,0,0,0,50,0,3,3,3,3,0,0,0,0,12,9,8,8,8,5,5,3,8,6,63,420,1235,416,396,289,125,71,161,45,3170
UCL213003,30,30,16,54,22,8,3,19,6,194,48,41,26,90,43,21,8,34,0,319,154,63,466,296,120,88,132,252,29,1596,9,0,4,11,12,11,6,22,0,71,17,0,10,22,11,6,8,15,0,88,0,3,0,9,0,0,0,8,0,22,5,3,11,21,12,4,15,24,17,109,358,591,571,577,274,167,184,463,61,3251
UCL213004,38,67,25,42,43,15,7,13,4,253,68,70,55,139,71,47,14,26,7,501,185,82,737,291,210,121,192,213,35,2060,10,4,12,10,18,14,7,22,0,83,16,8,13,37,18,13,9,17,0,127,4,11,3,4,7,0,0,5,0,29,4,11,6,18,16,8,12,9,17,98,471,949,888,675,482,258,248,344,70,4380
UCL213005,49,90,34,55,52,10,11,18,10,325,85,97,70,165,103,22,14,43,9,605,176,87,766,348,194,134,144,220,27,2090,8,6,10,16,21,10,12,20,0,107,5,11,7,32,15,12,10,19,0,115,0,8,0,9,4,0,4,0,0,30,9,4,10,15,9,10,3,14,13,89,557,1250,963,800,539,252,214,370,82,5022
UCL213006,34,76,26,52,48,21,0,6,5,265,71,80,55,104,94,28,16,16,4,465,139,58,528,127,120,53,75,93,20,1213,11,3,12,12,11,4,3,4,0,48,13,16,8,14,24,9,6,9,0,92,0,3,3,4,3,0,0,0,0,19,9,7,7,12,10,10,9,9,8,73,630,1261,688,450,456,163,128,164,48,3990
UCL213007,68,76,21,62,37,18,4,7,5,301,85,96,34,190,106,30,10,22,3,572,264,95,696,314,210,136,165,175,29,2085,3,5,9,23,38,19,9,17,0,120,11,11,8,26,22,10,3,25,0,114,0,6,3,3,6,0,0,0,0,31,21,20,5,12,7,10,12,18,19,126,675,1348,819,768,512,255,209,284,70,4946
UCL213008,40,64,48,72,54,15,22,20,0,334,86,107,83,198,115,55,34,28,5,715,159,86,750,350,231,113,201,184,36,2104,7,3,7,17,19,8,11,10,0,79,12,12,9,18,29,10,15,11,0,125,0,4,3,8,4,5,3,5,0,30,7,13,10,17,21,6,12,9,20,123,582,1377,1003,882,651,274,347,302,79,5500
UCL213009,48,67,17,49,37,14,11,12,0,248,68,70,57,158,101,25,16,36,5,532,151,68,640,293,181,119,131,167,17,1765,9,5,6,14,20,12,7,14,0,91,6,8,8,19,22,12,9,4,0,91,0,3,0,3,5,0,0,5,0,19,5,14,7,12,18,6,9,8,20,95,457,1028,802,684,488,231,191,264,66,4208
UCL213010,31,33,18,32,31,7,9,8,0,157,53,68,37,141,66,27,10,19,0,417,129,69,697,368,231,111,144,195,45,1995,7,3,9,17,15,9,3,17,0,86,5,0,0,18,12,13,8,8,7,74,3,3,0,4,0,3,0,4,0,16,13,16,14,27,14,16,0,27,16,130,303,619,801,708,445,199,193,308,76,3646
UCL213011,15,19,16,15,20,3,0,3,0,102,35,46,32,107,38,14,15,19,7,313,84,45,401,248,170,86,126,150,23,1336,0,7,13,12,11,9,9,19,0,80,4,0,6,17,7,8,4,3,0,51,0,3,3,7,3,0,5,4,0,28,4,14,10,16,10,14,17,20,14,125,201,474,534,494,328,156,183,242,64,2682
UCL213012,20,38,8,22,23,7,9,4,0,132,31,38,17,106,41,13,7,14,5,279,96,61,406,209,108,61,148,129,32,1247,0,5,10,8,18,8,8,13,0,70,5,10,3,25,12,7,4,11,0,81,4,11,4,0,0,0,0,5,0,21,6,15,5,17,4,5,12,11,10,86,259,635,474,471,238,110,187,199,53,2633
UCL213013,35,69,21,52,25,10,4,8,8,232,93,79,49,153,86,21,8,14,9,516,150,68,507,266,151,96,82,149,30,1495,4,4,16,14,16,17,3,20,0,89,16,8,8,18,12,10,4,5,0,81,3,0,6,0,6,0,6,3,0,27,18,12,8,11,12,9,5,14,10,91,536,1264,671,652,393,188,125,238,66,4132
UCL213014,19,38,15,31,24,9,3,10,4,146,56,77,28,107,56,20,5,29,10,384,181,67,409,176,147,90,70,121,21,1280,11,0,0,20,11,11,4,13,0,75,9,3,4,24,17,16,0,20,3,95,4,5,3,4,0,0,0,5,0,20,7,14,10,15,6,3,4,25,13,95,410,822,498,458,313,162,97,260,54,3075
UCL213015,46,43,30,47,51,16,16,11,3,260,84,73,93,186,110,40,37,27,3,651,152,68,739,260,210,111,182,159,48,1929,6,0,9,10,17,17,9,12,0,95,6,3,15,29,23,13,11,14,0,113,4,3,18,8,7,0,0,0,0,46,10,9,25,19,18,9,3,14,14,121,496,845,1008,733,572,247,326,293,93,4617
UCL213016,56,57,29,76,52,21,6,16,4,309,93,114,42,243,98,39,14,37,14,698,235,86,749,397,236,166,180,258,31,2332,10,0,9,25,24,26,11,19,0,128,12,8,18,38,17,16,4,21,7,134,5,6,4,3,12,0,0,8,0,32,13,19,11,31,17,16,16,23,27,184,663,1611,942,998,568,330,259,421,86,5865
UCL213017,33,78,36,67,58,21,6,21,4,331,104,115,67,224,111,44,18,46,6,737,249,100,781,292,238,150,169,249,31,2259,8,7,8,22,25,19,6,19,4,119,16,12,10,44,29,16,17,13,0,156,8,15,0,12,13,5,4,6,0,54,14,28,12,27,16,8,11,24,26,152,751,1823,981,902,666,304,250,486,86,6251
UCL213018,21,18,9,22,17,6,3,7,0,109,35,38,24,71,28,16,0,17,7,243,128,31,356,127,87,61,52,100,13,961,5,0,6,8,13,10,7,11,0,55,7,6,3,13,9,3,0,13,0,50,3,5,4,3,4,0,0,0,0,13,13,9,4,14,9,8,12,13,0,71,281,485,425,307,206,127,78,171,35,2111
UCL214001,19,23,8,37,19,3,0,12,0,119,17,30,14,78,29,5,12,14,0,198,80,33,186,200,55,39,56,115,14,774,3,0,3,7,10,9,0,14,4,53,3,0,0,16,6,5,0,7,0,38,0,3,0,0,0,0,0,6,0,15,0,9,4,6,8,9,4,31,10,81,187,371,236,402,172,78,82,244,45,1816
UCL214002,15,26,18,29,28,4,0,3,0,129,39,28,34,77,36,26,8,17,0,266,86,34,378,147,115,45,81,93,22,998,4,7,3,5,12,8,0,0,0,38,6,0,4,4,12,0,6,0,0,37,0,0,0,0,0,0,0,0,0,12,4,3,11,10,3,4,5,4,8,50,229,451,470,333,259,109,113,130,34,2133
UCL214003,33,30,21,31,33,12,4,9,0,167,30,50,28,102,37,15,5,12,7,301,102,35,359,205,103,75,72,117,25,1091,4,5,8,11,8,13,3,15,0,66,6,3,4,7,6,5,8,13,0,46,0,3,9,0,0,0,0,6,0,18,14,8,19,15,10,4,8,17,16,117,279,595,450,445,256,138,109,214,56,2539
UCL214004,10,3,8,12,3,3,0,7,0,47,17,13,18,68,29,9,5,13,0,173,56,15,169,59,57,28,58,90,13,544,4,0,3,0,3,4,0,6,0,28,3,0,0,8,8,5,6,3,0,32,0,0,3,0,0,0,0,4,0,7,4,5,8,9,6,9,5,20,4,62,153,187,219,196,122,56,76,174,23,1205
UCL214005,3,7,0,0,5,3,0,0,0,15,4,4,0,6,7,0,0,0,0,31,15,4,60,16,5,4,13,26,0,148,0,0,0,4,0,0,0,5,0,6,0,3,0,0,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,30,48,64,32,22,15,22,38,6,273
UCL214006,29,21,15,28,19,16,0,7,4,140,29,25,36,49,35,14,0,18,0,209,79,30,203,69,34,69,29,68,9,588,7,0,9,8,9,6,0,6,0,36,14,3,3,9,7,8,0,10,0,59,0,3,0,0,0,0,0,3,0,5,9,3,13,8,10,3,0,12,10,63,249,375,294,237,162,134,38,147,33,1667
UCL214007,21,13,14,19,22,13,7,8,4,113,23,26,35,65,44,18,12,19,0,262,44,26,223,74,98,29,69,63,16,638,0,0,3,4,4,3,4,0,0,27,4,0,3,12,14,4,5,4,0,49,0,4,0,0,0,3,3,0,0,17,4,9,6,5,4,3,5,9,6,51,185,502,332,259,290,110,135,132,37,1990
UCL214008,21,30,12,27,19,7,5,3,0,120,47,46,12,110,45,14,11,16,4,297,153,44,420,175,122,74,77,130,21,1217,7,0,3,11,15,17,4,19,0,77,5,0,5,10,12,12,3,3,3,53,0,3,0,4,0,0,0,0,0,6,8,13,12,12,8,4,3,14,5,74,341,714,488,437,293,147,102,200,36,2752
UCL214009,32,25,33,32,40,15,3,8,0,187,53,52,40,82,45,17,3,16,5,316,115,52,438,125,93,52,75,109,9,1073,0,3,4,10,12,7,0,15,0,49,10,0,9,8,11,9,6,3,0,66,4,3,0,9,0,0,0,0,0,17,9,6,10,12,10,0,5,14,3,68,378,618,592,362,293,130,118,193,30,2715
UCL214010,28,33,16,22,19,11,0,6,0,129,26,22,18,38,33,11,0,12,3,160,71,17,203,59,52,21,19,51,13,512,4,0,5,3,6,0,0,9,0,27,3,4,3,3,5,4,0,0,0,31,6,3,0,0,0,0,0,0,0,13,15,7,0,10,3,8,0,0,3,47,280,611,261,191,193,77,25,83,28,1749
UCL214011,22,34,15,25,30,6,4,3,5,146,45,35,31,117,60,23,7,17,0,342,70,38,448,134,123,57,123,111,29,1131,3,5,8,3,11,13,3,11,0,55,9,0,6,18,8,11,11,9,0,77,0,8,0,0,0,0,0,0,0,16,4,5,7,11,9,3,7,8,9,58,266,565,552,395,323,139,165,181,54,2632
UCL214012,10,31,10,20,11,5,0,7,3,96,19,23,11,59,31,11,5,15,0,168,69,23,248,106,40,43,59,110,4,710,0,0,4,0,6,5,0,8,0,32,6,4,3,9,10,7,3,6,0,39,0,5,0,0,0,0,0,3,0,6,4,8,3,6,10,4,3,17,13,59,149,360,301,233,122,78,79,182,23,1533
UCL214013,15,16,13,21,12,4,0,7,0,102,39,15,14,27,17,13,3,12,0,145,53,26,136,60,39,27,18,41,7,411,0,5,4,4,5,7,3,4,0,34,5,0,3,6,6,6,5,3,4,46,3,4,3,0,0,0,0,6,0,18,0,4,3,5,0,6,0,11,4,41,298,509,205,173,144,92,38,115,27,1606
UCL214014,10,17,7,19,13,0,6,5,0,68,27,26,9,57,16,9,0,10,0,155,72,27,159,106,60,28,34,64,12,549,3,4,5,14,7,9,0,9,4,54,4,6,4,8,3,3,4,15,0,48,0,3,0,0,0,0,0,0,0,11,11,7,4,8,8,7,5,19,9,67,178,270,196,250,126,69,45,125,34,1291
UCL214015,11,28,9,13,10,4,3,3,0,80,16,32,10,50,22,10,0,11,0,157,63,21,252,76,63,41,51,64,10,642,6,3,8,4,9,6,0,6,0,42,0,0,5,8,4,0,6,6,0,27,0,3,0,0,6,0,0,0,0,9,5,0,7,9,5,6,4,4,0,38,145,393,302,223,160,78,69,105,19,1489
UCL214016,8,19,7,22,10,5,0,6,0,78,18,22,15,56,16,15,3,9,3,158,75,20,232,158,61,45,62,102,13,759,6,0,4,11,11,10,6,9,0,55,3,0,0,3,3,0,3,10,0,35,5,0,0,0,0,0,0,0,0,6,7,3,7,11,8,3,9,17,7,73,156,310,275,317,142,94,85,171,17,1568
UCL214017,27,41,14,14,20,9,0,3,4,131,21,20,17,14,23,12,4,7,0,111,48,23,120,28,24,19,4,18,8,296,0,3,0,3,0,4,0,0,0,12,4,3,5,3,4,3,0,7,0,38,0,0,0,0,5,0,0,0,0,12,10,3,0,6,5,5,0,5,8,35,302,602,194,153,164,71,15,62,40,1603
UCL214018,31,37,18,27,30,10,9,8,8,180,31,36,25,67,55,20,10,18,3,271,87,37,285,114,79,50,56,83,22,816,6,4,6,6,4,0,3,6,0,32,18,0,4,17,12,3,4,5,0,68,0,3,0,3,3,0,0,0,0,10,9,0,8,14,7,4,5,7,6,59,337,582,381,319,275,113,92,146,53,2307
UCL214019,16,12,10,13,9,10,0,6,0,74,37,21,20,58,31,7,3,10,0,192,54,23,204,112,59,41,43,89,11,639,5,0,7,7,9,9,0,3,0,35,3,0,6,9,6,0,4,9,0,39,3,4,0,0,0,0,5,0,0,10,5,0,10,3,0,6,8,9,5,51,179,248,267,250,152,85,66,153,24,1420
UCL214020,14,12,11,26,6,0,0,6,0,84,17,20,12,57,22,7,0,7,0,148,56,23,149,133,51,35,55,80,7,595,3,0,0,4,3,4,4,4,0,32,0,0,5,11,4,3,3,7,0,38,0,11,0,0,6,0,0,0,0,19,3,6,6,9,0,6,6,12,5,55,143,269,202,278,119,65,70,169,19,1348
UCL214021,16,19,9,22,21,0,0,4,0,92,35,22,18,61,42,11,9,5,0,210,64,20,354,93,73,58,52,61,15,798,4,0,0,13,9,8,7,0,0,43,5,0,0,11,9,7,0,3,0,42,0,4,3,0,0,0,0,0,0,9,9,3,5,8,7,3,0,10,5,42,181,309,418,266,185,100,77,96,26,1661
UCL214022,10,13,8,30,9,8,0,7,5,89,21,31,26,68,25,20,0,9,4,200,89,29,288,153,74,78,59,108,15,902,7,5,0,8,6,6,0,9,0,42,6,0,4,17,3,7,5,8,0,45,0,4,4,0,0,0,0,0,0,10,0,5,14,14,8,8,8,19,8,77,186,379,373,339,159,147,78,175,32,1875
UCL215001,7,6,0,6,3,3,0,0,0,37,5,8,0,6,6,0,0,0,0,35,17,3,37,6,6,8,3,9,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,8,111,205,57,54,51,37,3,24,0,546
UCL215002,9,9,7,3,4,0,3,0,0,34,19,7,8,24,17,0,0,4,0,85,36,6,100,40,28,14,23,33,4,275,3,0,0,0,5,4,0,0,0,9,3,0,4,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,5,0,3,4,4,3,6,0,0,27,98,137,130,109,75,27,27,41,9,648
UCL215003,9,16,4,8,8,4,0,4,0,61,19,20,13,26,11,0,6,6,5,102,35,8,101,29,12,16,8,15,6,224,0,0,0,0,3,0,0,0,0,16,3,0,0,0,7,3,0,0,0,16,5,0,0,0,0,0,0,0,0,9,5,0,0,4,0,3,0,0,0,14,220,421,151,126,97,46,18,38,21,1146
UCL215004,5,0,0,8,4,4,0,4,0,29,5,3,15,8,5,3,3,4,0,45,34,0,52,9,4,14,8,21,9,155,0,0,0,3,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,0,6,5,17,87,72,86,45,42,35,14,41,10,430
UCL215005,0,0,0,3,0,0,0,0,0,10,6,5,3,11,0,0,0,3,0,29,15,0,30,20,7,5,12,14,0,108,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,15,31,39,38,45,19,13,18,22,7,237
UCL215006,5,11,4,3,11,4,0,4,0,40,14,4,8,35,17,9,0,6,0,86,34,14,115,52,40,16,23,35,3,333,0,0,0,0,4,3,0,4,0,15,0,3,0,3,6,0,3,0,0,19,0,3,0,0,0,0,0,0,0,9,3,6,4,0,0,0,0,6,0,20,112,189,138,139,100,36,36,53,9,818
UCL215007,15,15,3,11,10,7,7,0,0,64,12,16,12,24,9,6,0,3,0,81,41,9,94,13,29,11,10,17,5,227,0,0,0,0,6,0,0,0,0,4,3,0,4,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,3,3,21,170,277,133,80,86,37,16,45,11,867
UCL215008,9,10,6,10,12,0,0,0,0,48,16,13,11,23,20,5,3,3,4,93,38,15,116,41,35,19,25,26,3,317,0,0,0,0,11,0,0,0,0,20,4,4,0,3,6,4,0,3,0,25,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,11,104,191,138,105,117,32,36,36,10,766
UCL215009,6,4,0,0,0,0,0,0,0,10,3,4,0,8,3,0,0,0,0,18,8,4,31,17,7,8,11,13,0,100,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,17,39,40,32,23,11,17,17,3,184
UCL215010,15,12,9,6,14,3,3,3,6,66,25,9,8,19,27,7,0,3,0,88,61,12,147,22,26,21,13,31,5,333,0,0,4,4,4,3,0,0,0,13,3,0,3,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,10,0,6,7,0,0,0,32,175,228,181,68,102,40,17,41,13,859
UCL215011,4,0,5,5,4,0,4,0,0,17,11,9,3,12,7,4,0,0,0,43,11,4,32,19,7,4,13,15,0,115,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,9,30,57,40,43,25,11,22,22,4,254
