UCL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL212005,..,143,246,66,62,78,44,17,7,665,..,90,249,194,293,557,677,602,332,2997,56,73,48,34,38,31,50,20,11,358,4474,2663,3318,2928,2792,2703,2421,1468,526,23297,..,123,2137,3231,2978,2965,2678,1555,318,15986,..,480,1462,635,507,370,186,60,15,3719,..,81,443,594,676,348,156,88,71,2451,9204,..,..,..,..,..,..,..,..,9204,..,2046,..,..,..,..,..,..,..,2046,..,1680,726,254,162,88,19,0,0,2932,..,265,198,74,103,146,166,72,31,1055,..,148,206,78,61,24,14,3,0,540,..,287,509,217,180,153,129,33,11,1524,..,168,550,465,704,1029,1059,877,450,5301,112,142,142,89,88,63,75,42,18,776,9318,5419,6376,5642,5463,5198,4478,2729,910,45534
UCL212006,..,47,78,26,45,53,52,12,3,318,..,36,126,139,181,351,417,339,163,1754,30,56,48,24,25,29,24,8,12,255,3409,2140,2653,2564,2588,2405,1739,821,302,18610,..,33,1691,2960,3045,2898,2051,801,174,13646,..,273,1527,806,567,344,126,38,0,3687,..,35,210,412,580,329,147,80,50,1829,6949,..,..,..,..,..,..,..,..,6949,..,2036,..,..,..,..,..,..,..,2036,..,1595,956,236,144,60,15,0,0,2997,..,126,123,40,69,125,117,69,33,702,..,105,76,40,30,28,6,4,0,287,..,84,196,64,82,114,96,26,9,674,..,68,324,330,414,618,622,468,221,3064,64,91,94,62,50,46,41,15,12,470,7012,4442,5190,4946,4979,4553,3214,1499,501,36333
UCL212007,..,108,176,34,22,17,13,0,0,373,..,12,48,90,87,167,236,190,84,909,15,31,29,21,17,21,24,10,5,173,2319,1022,1150,1865,1590,1181,1058,493,153,10835,..,9,651,2222,2054,1512,1464,595,122,8629,..,82,648,658,445,221,90,23,0,2170,..,0,31,195,245,105,37,23,12,652,4796,..,..,..,..,..,..,..,..,4796,..,1137,..,..,..,..,..,..,..,1137,..,513,236,56,28,23,4,0,0,857,..,44,46,15,8,24,29,21,10,199,..,51,73,22,11,6,4,0,0,163,..,183,319,86,45,33,25,9,3,707,..,32,118,198,202,296,363,240,104,1547,37,59,60,43,36,46,45,22,5,357,4836,2112,2172,3484,3074,2281,2048,928,266,21211
UCL212008,..,111,96,17,25,25,32,10,0,322,..,57,194,132,192,391,451,356,183,1955,28,34,33,18,17,21,24,11,5,195,2354,1429,1905,1691,1561,1682,1438,812,271,13141,..,29,1044,1777,1617,1724,1600,822,142,8750,..,320,1121,501,334,262,118,34,5,2690,..,46,268,344,378,195,80,45,40,1400,4775,..,..,..,..,..,..,..,..,4775,..,1108,..,..,..,..,..,..,..,1108,..,895,341,130,85,47,15,0,0,1511,..,106,86,25,43,69,45,26,20,418,..,65,53,23,14,21,9,0,0,185,..,176,212,59,62,65,64,23,3,677,..,111,419,333,401,673,694,501,238,3376,70,66,63,46,38,51,33,22,10,396,4842,2928,3611,3237,2976,3104,2662,1487,447,25290
UCL212009,..,136,177,29,31,52,40,11,5,469,..,55,201,157,228,482,537,519,322,2510,37,40,46,27,16,31,26,13,9,251,2524,1696,2028,1895,2039,2151,1840,1132,483,15792,..,30,1103,1858,2133,2294,2118,1124,260,10911,..,273,1053,598,442,329,159,43,11,2901,..,34,224,406,429,242,115,61,49,1565,5209,..,..,..,..,..,..,..,..,5209,..,1282,..,..,..,..,..,..,..,1282,..,1086,495,139,137,57,9,0,0,1927,..,140,89,37,57,78,72,32,31,536,..,93,139,42,22,5,6,3,0,307,..,256,402,102,76,89,85,17,6,1037,..,119,393,373,478,792,816,710,415,4092,99,71,101,57,42,53,47,29,4,500,5307,3379,3995,3613,3820,3938,3421,2021,775,30266
UCL213001,..,38,62,16,22,13,26,6,5,195,..,26,67,55,91,211,285,283,153,1175,7,18,15,7,11,9,19,10,10,103,1056,647,790,680,759,856,923,664,228,6608,..,21,401,564,653,797,989,672,142,4235,..,181,446,211,172,143,91,21,5,1270,..,33,103,174,205,95,52,35,20,725,2144,..,..,..,..,..,..,..,..,2144,..,434,..,..,..,..,..,..,..,434,..,408,200,82,72,36,6,0,0,799,..,52,26,16,31,46,37,27,8,241,..,56,35,23,10,10,4,0,0,140,..,87,128,44,39,37,45,23,5,404,..,44,145,123,190,356,451,389,210,1911,19,36,32,20,18,20,26,17,7,201,2163,1342,1527,1252,1391,1549,1693,1190,394,12490
UCL213002,..,14,30,24,28,17,20,15,6,149,..,9,26,37,64,214,303,246,112,1004,16,10,19,6,13,13,10,3,6,95,666,334,390,583,677,734,821,509,176,4889,..,9,172,456,529,636,723,435,88,3050,..,34,250,292,253,168,144,34,8,1194,..,7,42,117,188,84,43,20,23,524,1389,..,..,..,..,..,..,..,..,1389,..,344,..,..,..,..,..,..,..,344,..,208,106,43,39,21,6,0,0,422,..,25,10,3,17,27,39,18,11,148,..,25,22,20,9,8,9,3,0,90,..,28,71,41,48,37,41,25,7,293,..,17,54,82,143,356,460,339,153,1599,25,16,29,18,18,29,22,4,0,166,1420,713,752,1073,1240,1366,1493,882,289,9220
UCL213003,..,37,61,15,24,22,11,3,0,183,..,28,42,41,90,196,211,225,153,986,14,14,14,9,9,14,17,3,3,100,951,630,744,633,699,736,720,482,212,5798,..,3,379,679,654,706,788,472,106,3788,..,154,410,184,181,127,59,10,4,1126,..,19,94,125,156,80,31,33,20,543,1955,..,..,..,..,..,..,..,..,1955,..,458,..,..,..,..,..,..,..,458,..,398,177,59,44,16,4,0,0,704,..,53,43,18,13,35,31,27,8,231,..,35,75,22,16,9,0,0,0,157,..,91,188,57,60,51,37,8,3,495,..,61,139,127,204,345,348,323,183,1734,20,20,32,24,22,23,19,9,6,178,1979,1293,1531,1299,1352,1393,1320,877,323,11370
UCL213004,..,22,26,7,8,18,19,14,0,112,..,18,67,43,69,173,231,174,67,842,24,29,20,10,8,9,11,7,5,122,1432,733,1048,817,841,891,833,484,121,7211,..,22,759,908,891,960,1012,568,89,5209,..,163,592,256,188,123,81,28,3,1437,..,21,115,177,176,98,30,39,16,675,2819,..,..,..,..,..,..,..,..,2819,..,574,..,..,..,..,..,..,..,574,..,483,206,63,58,24,3,0,0,839,..,57,39,7,23,52,39,20,6,248,..,41,26,8,10,9,5,0,0,106,..,43,55,22,17,45,47,18,0,244,..,32,126,108,159,286,354,259,106,1424,48,44,45,21,23,14,18,12,3,232,2863,1478,1950,1571,1547,1620,1596,945,234,13801
UCL213005,..,20,27,15,17,31,31,11,0,140,..,13,49,47,76,222,266,231,111,1013,10,24,8,7,9,19,17,7,5,93,1300,737,844,973,957,1209,1142,634,193,7985,..,13,513,1033,1016,1291,1490,760,142,6270,..,114,539,327,264,191,84,36,6,1559,..,13,78,197,209,134,43,35,20,733,2724,..,..,..,..,..,..,..,..,2724,..,694,..,..,..,..,..,..,..,694,..,509,262,83,67,27,6,0,0,952,..,41,30,21,34,39,64,27,20,273,..,50,29,7,14,8,7,0,0,122,..,41,72,17,37,51,54,20,5,296,..,23,109,111,149,330,421,315,144,1604,22,40,31,26,19,25,32,7,3,210,2747,1538,1666,1827,1809,2101,2208,1201,335,15432
UCL213006,..,6,11,4,4,5,0,5,0,36,..,6,15,21,34,81,99,114,46,415,20,13,19,4,8,4,3,4,0,67,1234,578,465,890,808,598,442,279,73,5371,..,7,345,1198,1114,829,563,304,41,4401,..,35,233,222,170,85,41,13,0,801,..,3,29,99,134,67,19,16,7,365,2533,..,..,..,..,..,..,..,..,2533,..,717,..,..,..,..,..,..,..,717,..,367,148,34,19,7,3,0,0,577,..,19,29,4,10,17,31,22,12,142,..,11,13,0,7,3,0,0,0,48,..,17,22,7,8,13,0,7,0,78,..,13,42,62,78,129,155,149,53,686,33,26,27,12,12,5,12,9,0,137,2563,1213,888,1630,1559,1166,833,517,115,10487
UCL213007,..,69,63,12,7,26,18,3,0,205,..,52,124,71,122,238,274,288,182,1352,15,17,22,8,11,13,12,4,3,93,1392,815,1056,899,888,1003,869,630,281,7831,..,21,651,949,964,1100,996,651,172,5502,..,230,525,285,168,119,59,18,4,1397,..,34,144,187,185,96,49,28,29,756,2829,..,..,..,..,..,..,..,..,2829,..,569,..,..,..,..,..,..,..,569,..,432,182,60,53,34,10,0,0,771,..,74,49,13,19,40,26,20,15,246,..,49,33,17,17,5,6,0,0,121,..,146,156,30,26,44,29,4,0,440,..,97,269,167,241,436,432,381,241,2252,31,42,41,23,18,19,18,14,3,203,2863,1702,2044,1729,1678,1890,1622,1115,457,15095
UCL213008,..,14,34,12,16,14,6,5,0,112,..,12,70,64,57,108,195,137,67,705,9,25,18,8,8,10,15,6,3,103,1575,839,1188,1155,1040,748,714,346,108,7708,..,16,890,1367,1274,953,885,351,55,5787,..,97,639,350,226,118,58,13,0,1510,..,14,102,173,221,109,34,18,11,689,3185,..,..,..,..,..,..,..,..,3185,..,772,..,..,..,..,..,..,..,772,..,620,292,69,46,15,3,0,0,1051,..,67,60,12,22,46,41,23,15,292,..,39,51,8,18,0,0,0,0,123,..,38,99,44,32,31,18,5,0,263,..,27,137,135,166,223,275,196,88,1235,21,51,35,15,15,17,24,10,3,198,3205,1742,2302,2182,2020,1517,1338,622,178,15102
UCL213009,..,12,25,11,4,22,14,7,0,88,..,16,47,62,63,138,158,144,47,678,10,15,4,5,8,15,6,3,0,62,1030,642,795,807,800,778,649,409,90,6008,..,7,544,910,935,859,812,480,76,4613,..,94,436,239,175,142,51,20,3,1168,..,3,73,144,168,108,35,20,13,560,2190,..,..,..,..,..,..,..,..,2190,..,611,..,..,..,..,..,..,..,611,..,476,216,50,44,16,3,0,0,809,..,34,45,9,28,35,22,11,15,206,..,32,36,7,6,6,5,0,0,90,..,30,53,27,13,38,22,15,4,202,..,31,86,111,114,205,230,202,81,1070,17,30,15,12,16,18,12,11,0,140,2215,1354,1501,1511,1501,1428,1200,758,190,11658
UCL213010,..,36,28,22,29,35,22,13,3,192,..,55,102,84,154,270,372,271,129,1430,25,19,16,10,25,22,21,13,0,132,1128,746,928,785,912,1010,1021,582,199,7311,..,16,447,556,675,943,978,533,111,4271,..,187,511,257,231,142,90,15,4,1443,..,38,183,237,236,146,70,32,23,968,2260,..,..,..,..,..,..,..,..,2260,..,481,..,..,..,..,..,..,..,481,..,530,278,114,66,24,9,0,0,1023,..,57,43,9,33,60,54,29,11,300,..,41,33,18,12,13,9,3,0,124,..,61,100,44,61,73,52,17,10,417,..,93,223,203,337,569,672,418,192,2705,39,37,43,26,35,34,31,19,5,266,2300,1541,1855,1474,1688,2001,1960,1077,351,14251
UCL213011,..,51,30,10,30,31,19,3,0,170,..,36,77,68,124,231,247,213,103,1095,21,16,12,6,10,21,22,8,5,117,1026,722,786,623,773,919,763,494,169,6278,..,19,356,462,579,804,816,453,98,3598,..,175,382,239,208,127,63,28,0,1225,..,41,174,194,211,130,63,54,20,899,2105,..,..,..,..,..,..,..,..,2105,..,406,..,..,..,..,..,..,..,406,..,450,210,100,85,37,6,0,0,899,..,68,58,24,39,41,37,28,10,307,..,48,43,18,20,15,8,0,0,150,..,95,82,36,57,81,39,13,0,412,..,61,187,173,302,479,484,327,161,2166,43,42,26,30,32,33,29,14,8,252,2143,1407,1534,1273,1533,1755,1550,916,296,12411
UCL213012,..,17,23,5,17,20,12,3,0,110,..,25,46,51,68,167,188,131,70,755,10,16,12,12,12,8,14,12,5,101,757,476,494,546,645,744,672,357,123,4805,..,17,247,464,584,778,774,376,78,3311,..,137,274,189,182,154,90,14,8,1050,..,18,79,128,150,84,29,24,13,535,1517,..,..,..,..,..,..,..,..,1517,..,318,..,..,..,..,..,..,..,318,..,314,107,67,37,32,3,0,0,559,..,46,23,13,19,18,35,17,6,177,..,34,15,10,12,9,3,0,0,81,..,53,60,19,37,42,36,10,0,254,..,43,96,105,208,338,335,206,106,1438,35,36,21,25,32,19,23,24,8,209,1551,1017,934,1013,1260,1470,1327,678,209,9454
