UCL_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
UCL212005,4195,4871,2191,167,11417,3833,530,15787,357,184,150,25,721,1181,75,1979,20,11,14,0,48,41,10,96,379,193,166,27,763,1222,88,2076,5,6,0,0,7,37,0,41,0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,5,6,0,0,10,53,0,58,4,0,0,0,9,17,0,24,10,0,6,0,19,26,0,44,0,0,0,0,0,0,0,5,54,5,4,0,72,135,4,205,77,5,12,3,92,186,7,285,4,8,4,0,14,11,0,31,4661,5076,2372,197,12303,5305,632,18240
UCL212006,3202,4926,1581,116,9827,2160,259,12243,93,22,36,8,154,239,7,400,46,24,40,0,110,62,12,183,144,39,79,3,265,303,17,580,179,62,125,12,387,597,41,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,5,182,65,128,12,392,601,41,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3528,5033,1787,138,10484,3061,316,13864
UCL212007,2161,2976,574,43,5750,1275,243,7272,70,25,26,4,131,134,14,272,86,55,42,0,188,105,17,304,161,86,65,4,315,235,36,581,4,0,0,0,5,11,0,16,8,3,0,0,11,14,0,30,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,14,27,0,49,3,0,0,0,3,4,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,6,7,0,0,0,4,7,0,12,2344,3068,635,42,6091,1548,282,7922
UCL212008,2626,2781,1248,76,6739,2330,264,9326,89,26,32,0,144,282,13,442,11,3,13,0,25,19,5,52,97,24,48,4,175,305,20,496,141,36,69,10,260,691,21,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,141,36,71,10,263,692,21,975,0,0,0,0,0,0,0,5,17,4,4,0,27,33,3,59,0,0,0,0,3,6,0,15,0,0,0,0,0,0,0,3,28,5,4,0,29,39,4,75,4,4,0,0,7,11,0,17,2891,2851,1367,93,7207,3373,313,10889
UCL212009,3179,3171,1335,127,7806,2712,359,10876,241,71,117,13,437,762,47,1245,89,44,42,8,176,148,14,339,326,112,161,24,617,916,55,1584,72,33,43,3,148,394,19,564,9,0,3,0,12,36,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,32,46,3,163,437,19,622,6,0,0,0,3,4,0,5,0,0,0,0,0,15,4,22,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,4,9,4,0,0,7,23,4,38,8,7,0,0,7,9,0,19,3596,3321,1540,154,8608,4092,434,13131
UCL213001,1441,1127,654,50,3276,1364,143,4776,113,28,46,3,195,475,24,695,0,8,13,0,18,7,3,29,112,38,55,3,210,487,23,723,13,5,7,0,20,43,4,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,7,0,20,47,4,70,0,0,0,0,0,0,0,3,6,0,0,0,5,7,0,14,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,10,8,0,0,0,13,13,3,26,3,0,0,0,6,0,0,11,1577,1177,718,54,3523,1908,175,5602
UCL213002,1233,846,498,29,2615,1401,128,4144,22,11,12,0,42,169,8,218,0,3,0,0,3,6,0,15,26,11,10,0,49,175,5,234,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,11,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,8,0,14,6,3,3,0,5,11,0,21,0,0,0,0,0,5,0,7,1263,863,513,29,2672,1603,145,4414
UCL213003,1237,1133,500,59,2928,1278,178,4380,51,19,27,10,109,409,17,534,0,0,0,0,0,4,0,11,52,19,33,10,113,417,17,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,22,0,23,3,0,0,0,5,6,0,12,6,4,0,0,6,0,0,13,5,7,0,0,13,33,0,50,4,0,0,0,5,5,0,8,1299,1159,532,62,3058,1731,196,4985
UCL213004,1598,1581,610,43,3834,1035,100,4971,60,19,21,0,100,178,7,286,0,5,0,0,5,0,0,5,60,18,21,0,102,178,7,291,28,12,23,0,59,149,8,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,23,0,59,152,8,219,0,0,0,0,0,0,0,0,6,0,3,0,12,58,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,12,61,0,70,0,0,0,0,4,0,0,4,1695,1611,661,46,4012,1422,115,5553
UCL213005,2116,1731,694,49,4591,1420,130,6142,45,4,16,3,70,151,9,228,3,0,5,0,16,16,0,33,50,5,27,6,86,164,8,259,14,0,0,0,16,14,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,13,0,0,0,14,17,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2179,1739,717,53,4699,1602,140,6438
UCL213006,877,1575,308,20,2776,479,27,3284,84,32,43,3,165,194,4,364,7,0,4,0,14,3,0,20,89,40,47,3,181,200,4,381,6,3,3,0,7,3,0,12,0,6,0,0,7,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,0,17,12,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,1620,364,22,2976,689,39,3698
UCL213007,1718,1616,692,53,4080,1723,184,5991,48,12,16,4,78,258,12,340,0,0,0,0,6,4,0,6,51,12,20,4,84,261,12,345,43,9,23,7,84,268,12,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9,23,7,84,268,12,366,0,0,0,0,0,3,0,5,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,6,0,11,0,0,0,0,6,3,4,6,1816,1640,738,58,4254,2256,206,6719
UCL213008,1362,2021,589,41,4012,927,111,5048,154,79,55,6,297,256,12,566,4,0,6,0,17,8,5,31,157,83,67,6,312,267,16,595,3,0,0,0,7,42,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,42,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,10,1525,2107,653,51,4340,1232,125,5695
UCL213009,1302,1483,516,41,3346,881,86,4305,83,7,30,7,122,190,4,314,3,0,4,0,9,0,0,7,82,7,35,7,128,190,4,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,1494,553,41,3474,1070,91,4635
UCL213010,1464,1235,861,64,3623,1775,167,5565,96,20,61,7,187,670,19,876,0,0,0,0,5,27,0,25,98,20,61,7,188,700,19,906,16,4,13,8,40,197,8,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,13,8,40,200,8,244,0,0,0,0,7,24,4,29,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,29,4,33,0,0,0,0,4,0,0,6,1585,1257,942,71,3860,2701,193,6756
UCL213011,1275,1014,798,66,3149,1608,149,4908,32,5,20,5,64,237,10,316,9,4,13,0,20,25,0,49,37,10,31,5,83,266,11,366,54,17,45,3,121,292,14,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,54,17,45,3,121,290,14,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,6,0,0,3,0,3,4,0,3,0,0,0,0,0,7,0,7,1363,1043,873,71,3357,2171,183,5712
UCL213012,1226,868,479,29,2606,1104,107,3815,36,24,26,9,95,258,9,359,10,0,7,0,15,24,0,35,48,21,29,9,111,279,9,399,8,0,3,0,19,25,3,45,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,6,0,23,29,3,55,3,0,0,0,3,13,0,16,0,0,0,0,4,4,0,6,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,13,8,0,0,0,9,18,3,32,0,0,0,0,7,3,0,7,1297,899,519,35,2752,1437,121,4303
UCL213013,1414,1289,637,50,3391,1320,126,4838,56,17,33,7,112,228,16,354,10,0,9,0,19,68,0,95,69,23,40,7,137,299,13,445,49,9,20,0,83,271,21,371,7,4,4,0,16,8,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,16,23,0,92,277,23,396,0,0,0,0,0,10,0,18,5,0,0,0,7,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,10,0,6,0,9,27,0,35,3,0,0,0,6,3,0,17,1551,1326,702,63,3640,1928,161,5733
UCL213014,1064,979,438,47,2520,881,109,3509,65,34,23,0,128,222,22,363,0,0,0,0,0,4,0,6,70,34,22,0,127,220,19,368,58,31,26,0,116,202,13,331,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,56,31,24,0,117,207,13,336,0,0,0,0,4,3,0,6,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,8,9,3,0,0,11,9,0,20,0,5,0,0,8,0,0,9,1194,1045,490,49,2785,1312,149,4246
UCL213015,1073,1995,608,40,3718,633,71,4423,55,53,48,0,151,109,15,278,13,19,17,0,49,17,5,69,66,68,68,0,199,129,16,349,0,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,1143,2070,674,43,3929,770,86,4780
UCL213016,2030,1791,916,54,4784,1963,170,6928,140,38,69,7,264,775,23,1070,9,3,0,0,20,36,3,55,154,47,74,11,285,807,27,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,5,7,0,11,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,13,10,0,0,0,11,18,0,28,0,0,0,0,0,5,0,9,2186,1846,992,65,5087,2799,203,8087
