UCL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL212005,17,22,159,160,66,552,22,311,27,1334,115,233,385,347,173,260,99,316,38,1958,450,1198,798,643,437,325,252,697,100,4901,613,1026,511,525,456,271,267,616,89,4370,661,735,439,527,545,308,315,590,73,4195,506,575,388,358,526,251,300,493,49,3446,130,197,84,94,150,67,98,133,24,975,21,22,12,5,11,12,17,11,3,106,4,0,0,0,0,0,0,0,8,19,2513,4001,2773,2660,2363,2047,1369,3170,412,21306
UCL212006,23,13,169,161,36,404,38,219,11,1082,84,148,395,298,182,256,123,228,15,1732,391,1011,928,537,582,277,262,293,87,4375,640,998,662,448,604,253,287,244,89,4220,636,707,570,538,787,278,322,286,72,4201,411,519,402,379,633,260,299,233,33,3167,74,130,82,82,149,50,62,76,17,726,8,15,8,5,13,0,9,9,0,65,0,0,0,0,0,0,0,0,3,4,2272,3534,3218,2446,2995,1786,1394,1583,329,19571
UCL212007,6,0,57,157,15,216,16,176,8,651,33,90,173,200,61,120,32,87,11,802,255,746,321,272,157,111,26,78,19,1982,684,1189,390,282,312,150,43,110,45,3204,598,849,330,253,347,172,50,126,55,2771,287,446,196,169,274,121,52,75,28,1657,79,148,34,28,73,36,14,37,0,458,11,7,4,4,4,5,0,4,0,36,0,0,0,0,0,0,0,0,0,0,1956,3472,1506,1365,1239,933,239,687,167,11561
UCL212008,10,7,95,142,31,373,21,188,11,885,36,145,242,202,152,143,42,110,16,1104,226,823,546,382,404,201,155,240,58,3034,317,684,412,298,436,153,164,244,56,2756,320,492,308,294,410,161,201,239,45,2477,220,358,300,206,347,142,179,202,30,1984,67,99,55,43,62,48,52,48,11,488,6,10,5,0,8,6,0,5,3,51,0,0,0,0,0,0,0,0,0,0,1210,2616,1965,1568,1858,1222,817,1279,237,12775
UCL212009,19,9,148,154,53,447,25,284,22,1172,65,126,247,264,113,213,50,245,29,1357,245,853,618,462,266,269,138,521,63,3433,382,828,466,393,307,196,135,348,40,3107,474,697,359,432,429,236,203,340,57,3229,359,559,251,377,412,238,234,369,40,2840,114,140,71,68,88,61,56,116,20,733,20,12,14,4,7,3,3,17,5,93,0,0,0,0,0,0,0,0,0,0,1686,3238,2175,2152,1678,1668,851,2238,269,15954
UCL213001,4,8,52,57,12,132,7,85,3,370,31,33,110,101,37,61,31,97,12,506,102,242,190,154,112,96,69,200,18,1184,103,210,135,151,121,77,55,121,18,991,124,183,122,163,154,95,73,142,27,1077,115,166,119,126,128,81,69,165,18,990,54,39,31,36,54,29,34,44,6,333,8,7,6,0,3,7,4,4,13,46,4,0,0,0,0,0,0,0,6,3,551,887,762,781,616,581,343,863,116,5496
UCL213002,4,0,20,43,8,77,5,60,3,222,4,17,48,41,13,25,9,41,3,198,53,156,112,81,64,25,32,66,6,603,148,347,95,98,76,35,21,56,15,899,157,373,119,120,95,39,33,74,16,1031,103,266,101,124,111,61,39,88,13,906,50,110,24,17,45,19,16,27,4,315,11,10,0,0,7,3,0,0,0,32,0,0,0,0,0,0,0,0,0,3,528,1284,522,522,416,290,158,411,69,4207
UCL213003,16,3,48,43,6,148,11,144,11,426,31,28,102,74,35,73,39,142,10,535,89,171,236,142,78,83,70,378,27,1277,121,165,162,145,98,61,85,231,13,1087,134,126,115,180,128,68,123,202,23,1092,100,106,98,142,126,68,126,167,8,944,46,43,34,34,33,24,32,47,13,302,8,5,0,0,3,0,0,3,0,32,3,0,0,0,0,0,0,0,3,10,549,649,795,771,504,525,478,1317,117,5707
UCL213004,6,6,65,45,19,118,13,101,7,367,21,49,121,105,51,86,27,101,12,574,138,304,361,212,192,105,94,191,33,1622,158,253,220,159,147,102,100,124,27,1292,159,182,180,182,169,78,111,162,21,1257,123,156,142,139,147,70,129,132,19,1047,31,52,35,23,41,21,36,37,3,285,10,9,5,0,0,0,0,0,4,43,0,0,0,0,0,0,0,0,0,0,644,1017,1132,865,769,594,511,842,118,6482
UCL213005,6,0,55,67,12,166,12,116,5,437,23,30,133,112,41,112,25,76,14,560,126,294,342,189,136,93,72,125,12,1384,200,358,266,215,187,91,74,132,36,1563,201,295,228,215,207,91,98,149,31,1518,156,247,159,206,210,125,120,146,15,1384,35,84,47,43,51,31,37,42,8,375,0,10,0,0,4,0,0,3,3,29,0,0,0,0,0,0,0,0,0,0,747,1321,1228,1042,841,712,452,786,124,7255
UCL213006,0,6,62,75,17,142,5,99,6,415,13,33,88,87,42,57,18,45,5,388,74,228,162,104,86,45,43,43,9,787,248,465,239,143,215,52,56,60,16,1501,260,358,194,147,221,80,61,69,17,1406,178,204,102,81,144,49,50,54,6,861,15,57,19,18,27,9,16,9,0,175,9,8,7,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,802,1345,876,655,747,429,250,375,64,5546
UCL213007,11,0,92,55,9,171,10,119,5,472,29,95,154,113,71,87,44,95,7,686,148,468,310,250,166,131,78,172,27,1750,219,340,200,180,176,102,87,121,26,1444,245,265,158,212,185,112,95,136,21,1423,230,206,129,178,176,119,132,146,20,1336,89,54,37,36,52,31,39,45,5,403,32,7,9,0,3,4,7,12,12,84,3,0,0,0,0,0,0,0,3,6,1006,1436,1095,1023,847,760,485,832,125,7613
UCL213008,7,0,73,65,21,189,18,111,11,492,32,74,139,112,53,106,50,90,9,660,150,452,381,264,220,114,172,169,45,1971,237,443,279,253,264,113,147,161,22,1925,223,301,254,258,231,109,188,139,32,1732,103,169,134,154,163,56,148,109,14,1052,22,35,30,29,38,17,27,23,4,243,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,781,1476,1294,1137,1007,704,751,811,138,8091
UCL213009,9,5,65,65,11,142,15,77,3,392,14,47,121,104,41,95,21,80,5,531,100,327,272,182,121,84,63,117,27,1297,165,307,246,170,169,96,68,103,18,1343,184,235,193,182,215,86,91,106,24,1313,108,146,110,149,168,90,105,94,19,989,24,32,21,28,33,19,18,27,6,205,3,9,3,3,4,0,6,0,3,24,0,0,0,0,0,0,0,0,0,0,606,1101,1029,881,760,613,391,602,104,6094
UCL213010,5,0,63,39,15,132,0,68,17,341,31,48,141,92,75,79,20,60,4,548,95,204,266,218,158,98,73,175,43,1331,88,129,178,176,149,78,75,129,27,1035,110,139,165,175,150,100,97,167,17,1114,71,118,178,162,144,65,123,148,25,1045,37,40,41,43,41,14,27,36,5,275,0,3,0,11,0,0,0,5,5,26,4,0,0,0,0,0,0,0,0,9,441,680,1032,905,742,564,422,793,142,5720
UCL213011,8,4,24,42,12,116,0,62,4,269,19,35,84,102,57,89,17,57,9,476,72,138,185,133,138,102,74,147,21,1017,72,106,117,108,115,54,83,127,25,821,74,108,128,154,144,77,100,150,20,944,62,89,118,111,113,58,93,133,22,812,21,23,24,31,27,12,27,37,8,213,5,0,0,0,3,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,330,510,689,679,615,512,393,715,113,4566
UCL213012,3,0,41,45,3,122,8,80,8,313,12,32,83,69,18,40,43,58,10,349,48,159,111,135,59,47,82,77,9,735,78,143,138,103,74,49,81,104,28,800,106,153,139,129,109,64,115,129,26,973,89,134,90,118,101,43,163,125,15,892,45,52,19,31,35,13,25,35,4,265,7,3,0,0,3,0,0,7,3,30,0,0,0,0,0,0,0,0,0,5,392,678,626,634,412,380,514,616,102,4361
UCL213013,3,8,46,59,12,145,14,89,8,377,44,63,113,103,46,74,21,50,7,520,146,408,209,221,103,90,53,108,28,1363,168,331,170,166,125,66,47,126,19,1215,185,249,154,189,152,88,53,118,14,1199,134,203,122,152,145,64,65,121,17,1026,38,79,29,27,32,17,17,31,5,274,7,9,3,0,4,5,5,7,4,39,0,0,0,0,0,0,5,0,0,3,718,1341,847,924,616,547,280,639,109,6021
UCL213014,13,0,49,44,17,109,6,69,4,308,51,53,109,89,40,76,17,74,3,517,143,278,202,167,112,80,57,192,24,1259,144,207,140,112,116,71,39,170,27,1022,121,141,83,108,124,75,56,110,10,826,149,126,83,106,131,54,68,118,19,852,53,55,23,26,32,19,15,32,7,256,12,4,0,5,0,3,0,5,9,32,3,0,0,0,0,0,0,0,0,3,685,871,686,653,570,491,251,767,98,5076
UCL213015,8,5,58,35,14,147,8,114,9,395,29,51,160,97,59,94,35,79,13,614,127,291,425,263,229,130,170,174,59,1876,234,271,315,231,256,99,210,145,40,1809,157,172,227,181,226,93,168,126,25,1371,111,101,156,104,162,57,126,84,13,910,21,34,33,23,34,9,30,17,3,199,0,4,4,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,695,925,1377,933,977,632,742,747,156,7176
UCL213016,7,3,80,99,25,217,21,190,22,659,42,70,160,145,46,99,41,103,15,720,156,471,321,272,137,144,92,180,22,1800,228,434,242,240,183,115,110,160,26,1739,240,341,212,281,239,135,133,215,32,1835,166,281,153,219,241,127,164,202,20,1571,68,80,53,44,73,39,44,58,9,465,14,6,6,0,4,0,3,3,4,46,4,0,0,0,0,0,0,0,0,5,931,1685,1227,1300,953,880,605,1123,145,8842
UCL213017,6,8,73,91,29,158,13,131,6,507,52,77,158,152,93,93,31,142,11,814,200,525,354,251,210,123,102,278,34,2075,213,483,263,222,211,112,91,171,30,1791,256,402,191,221,230,112,117,193,28,1756,205,320,164,166,220,87,93,162,10,1433,54,110,40,41,52,17,37,53,7,407,8,9,0,6,10,3,5,0,3,53,4,0,0,0,0,0,0,0,0,4,996,1935,1249,1152,1057,703,488,1128,128,8831
UCL213018,6,5,54,47,3,69,0,46,0,232,14,27,68,44,20,33,8,39,4,249,51,122,139,107,50,35,26,51,9,590,104,107,110,72,73,42,21,78,10,620,122,104,115,85,98,60,47,94,9,740,82,107,79,90,82,56,52,119,11,668,31,41,19,16,31,20,16,29,3,212,4,0,4,0,4,3,3,10,0,29,0,0,0,0,0,0,0,0,0,0,412,516,588,473,354,323,170,460,58,3352
UCL214001,4,0,31,22,6,76,3,48,6,193,9,15,52,60,21,33,18,80,3,297,50,116,102,111,66,38,45,170,19,709,71,69,60,88,47,39,18,92,10,500,65,87,62,137,58,30,40,79,11,577,59,75,56,119,64,36,50,89,9,554,17,24,15,34,14,5,16,31,9,176,9,0,0,0,0,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,293,395,368,565,274,263,191,594,78,3027
UCL214002,3,0,34,26,3,74,5,52,0,200,13,15,54,37,14,32,13,35,0,217,59,142,160,106,89,34,50,47,12,701,100,149,157,95,130,53,53,65,14,817,83,98,115,92,102,58,69,61,10,699,31,57,54,55,53,16,34,30,6,337,4,12,15,14,19,9,9,11,0,83,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,299,472,590,435,406,275,237,295,53,3060
UCL214003,4,0,19,43,6,85,11,61,4,237,12,25,73,47,24,37,31,72,10,324,64,161,134,110,56,45,51,107,22,758,77,131,120,91,54,41,44,78,14,656,82,123,111,114,119,50,51,85,15,752,94,145,107,125,120,56,89,108,11,842,51,47,32,32,43,22,26,39,6,289,7,8,5,0,3,3,0,4,10,38,0,0,0,0,0,0,0,0,0,4,392,641,595,568,425,338,294,556,96,3899
UCL214004,0,0,22,19,8,43,3,35,6,137,11,13,35,27,7,20,7,48,0,172,39,60,72,62,41,19,30,135,15,468,67,43,62,46,50,25,33,95,5,428,80,36,42,49,63,38,45,74,4,429,47,38,37,36,42,39,45,89,9,384,25,16,8,17,15,7,9,18,6,115,3,0,6,0,3,3,0,5,0,22,0,0,0,0,0,0,0,0,0,0,274,207,289,259,221,190,169,487,47,2150
UCL214005,0,0,6,5,0,11,0,11,0,28,0,0,11,4,5,4,3,4,0,37,8,11,20,0,9,7,4,17,0,75,8,12,13,12,4,8,9,10,4,80,16,13,28,8,11,10,8,12,0,110,10,10,11,8,11,5,9,15,0,90,8,0,0,3,0,0,5,5,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,54,88,43,39,43,36,79,10,442
UCL214006,4,0,17,25,0,42,0,17,9,113,6,7,30,39,13,20,4,23,0,139,37,71,100,70,25,46,9,51,10,416,83,92,90,58,49,31,14,46,6,469,91,94,68,62,58,46,19,71,15,521,79,91,69,51,70,70,29,67,9,542,27,43,18,16,26,18,10,20,4,189,0,3,0,0,5,6,0,4,0,27,0,0,0,0,0,0,0,0,0,5,331,404,398,323,251,284,85,302,52,2426
UCL214007,0,0,8,9,3,28,3,16,4,75,7,20,47,39,23,36,11,26,7,222,105,260,173,143,161,63,67,79,23,1069,72,161,108,62,111,34,68,52,11,676,24,62,51,50,70,25,61,39,14,388,33,30,36,35,50,33,44,24,8,295,3,8,5,0,16,3,12,7,0,51,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,246,543,425,338,436,222,262,241,64,2782
UCL214008,3,4,36,49,14,89,7,73,10,274,23,35,88,66,34,62,10,59,0,382,76,192,158,121,65,84,48,93,9,849,112,177,107,93,90,67,40,60,11,748,107,162,120,114,109,70,40,90,3,818,103,127,112,133,122,63,63,103,16,843,55,50,29,25,39,19,27,27,10,276,19,4,0,3,0,0,0,3,5,49,0,0,0,0,0,0,0,0,5,6,489,755,655,595,471,455,229,514,70,4249
UCL214009,4,9,53,63,11,40,0,63,3,242,15,21,59,75,20,26,14,47,5,280,66,141,215,95,73,43,38,74,10,751,127,167,136,76,91,33,46,84,3,775,141,161,127,108,93,62,52,91,8,845,111,127,137,96,134,69,74,83,10,835,32,43,31,12,30,8,21,23,0,207,8,11,3,3,0,3,0,3,0,27,0,0,0,0,0,0,0,0,0,3,492,684,761,529,450,280,246,475,54,3969
UCL214010,3,3,14,38,0,46,0,26,0,135,6,19,27,33,11,18,5,14,8,134,51,130,58,40,22,24,11,26,6,359,69,192,85,51,59,16,3,33,7,515,102,120,71,51,71,43,12,28,8,506,102,115,56,46,78,39,25,40,10,518,31,43,19,14,27,20,3,16,4,176,3,12,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,366,631,330,276,267,209,62,187,41,2363
UCL214011,5,0,43,33,7,94,0,78,4,259,17,34,107,64,23,42,25,66,9,383,70,156,203,118,95,54,58,76,21,849,90,138,155,110,101,37,82,63,24,803,116,138,121,102,154,52,84,98,17,883,63,94,84,71,102,42,82,68,15,620,15,28,22,16,32,11,22,10,4,156,5,9,4,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,374,605,731,517,524,324,346,466,88,3972
UCL214012,6,3,17,18,0,47,0,33,7,133,7,19,63,36,13,21,9,42,3,211,38,101,87,50,43,31,34,71,8,458,41,84,67,65,41,32,24,83,9,457,66,69,71,77,58,39,44,96,8,518,51,77,62,64,63,31,50,86,10,494,19,32,16,14,19,15,10,20,10,159,0,5,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,3,3,226,387,386,321,241,224,177,437,58,2453
UCL214013,9,4,19,20,5,42,4,28,0,122,4,6,35,30,13,27,3,40,4,154,49,83,54,49,28,31,10,84,10,398,104,164,61,40,47,34,14,39,6,506,125,170,59,54,71,39,24,50,12,602,55,85,44,45,61,33,24,33,3,379,28,27,11,20,21,10,4,8,4,122,6,0,0,0,0,3,0,6,0,16,5,0,0,0,0,0,0,0,0,5,379,542,288,250,235,212,78,279,41,2307
UCL214014,0,0,30,14,4,53,0,32,4,139,7,16,27,33,9,19,0,25,0,145,35,58,60,59,28,24,14,41,9,322,48,63,64,73,33,26,15,59,11,389,64,66,49,68,54,35,13,65,3,421,65,64,39,65,42,39,38,70,15,441,34,26,15,13,23,21,21,25,4,172,6,0,0,0,4,0,0,4,4,16,0,0,0,0,0,0,0,0,0,4,262,285,273,334,196,222,100,318,50,2050
UCL214015,5,0,24,24,4,58,4,43,4,164,15,12,47,25,15,31,5,26,5,176,32,89,101,50,45,44,18,38,4,432,65,136,88,69,45,39,30,50,11,522,50,78,72,59,63,27,28,54,3,443,47,66,39,46,63,28,60,56,8,422,22,24,22,16,17,12,20,24,5,157,4,0,0,6,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,236,410,384,301,257,240,170,295,38,2342
UCL214016,3,0,14,21,7,66,3,36,3,164,10,21,49,48,16,42,9,40,0,225,31,97,109,91,35,49,33,85,7,535,54,65,57,71,43,23,27,80,6,418,60,57,81,92,61,46,51,77,9,541,44,64,71,92,60,39,46,106,15,536,37,27,12,14,15,13,20,26,3,169,5,0,5,0,3,0,0,5,6,22,0,0,0,0,0,0,0,0,0,5,249,330,399,422,243,279,183,452,55,2606
UCL214017,0,0,9,22,5,30,0,22,5,96,3,18,23,33,12,21,3,17,0,125,25,74,51,21,18,8,6,14,0,217,70,114,49,29,26,11,3,17,8,330,89,130,43,34,68,26,5,21,10,430,99,164,50,58,77,35,10,26,10,530,51,108,20,15,34,17,0,11,10,267,15,12,5,0,0,5,0,0,5,49,3,0,0,0,0,0,0,0,0,5,360,624,243,216,245,147,31,126,50,2038
UCL214018,0,0,17,27,0,45,0,24,0,114,8,15,51,56,15,30,4,23,3,201,53,100,98,56,40,34,21,57,11,468,78,133,78,77,71,32,20,52,12,543,126,136,105,90,99,42,47,62,19,733,132,174,105,103,136,66,53,68,19,858,51,68,33,23,59,16,23,20,6,302,3,9,0,0,8,0,0,5,0,30,0,0,0,0,0,0,0,0,0,0,444,635,488,430,434,263,179,305,73,3254
UCL214019,5,0,14,21,3,47,3,31,3,134,13,13,41,56,17,35,7,40,4,218,43,59,88,93,48,47,21,98,12,500,56,58,67,55,37,25,25,63,12,397,69,50,70,74,64,36,36,81,6,502,56,68,57,60,62,39,44,90,7,480,14,23,20,20,15,17,18,22,4,143,3,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,253,271,364,374,269,239,158,423,42,2389
