UCL_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
UCL212005,78,980,49,364,97,39,9,33,15,1656,81,606,4,239,63,34,4,33,8,1071,199,275,20,108,535,127,12,94,18,1377,92,332,17,640,153,80,16,121,21,1465,16,52,10,21,15,14,3,18,0,140,44,19,137,122,83,75,10,64,4,565,6,0,0,0,0,0,0,3,0,9,10,24,4,16,7,5,0,14,6,94,17,22,8,21,25,22,4,39,30,186,596,2413,318,1570,1035,428,61,502,95,7021,52,95,34,18,17,18,5,25,10,281,40,66,35,20,21,9,12,27,4,225,273,186,890,38,76,71,172,235,28,1959,128,37,452,16,28,23,38,98,17,835,80,56,59,23,30,19,32,90,8,397,119,1334,61,459,104,49,15,56,13,2212,132,832,11,270,69,37,16,46,5,1424,472,507,84,158,631,219,84,173,23,2352,139,471,52,803,177,97,39,177,25,1983,34,86,23,27,22,19,11,23,4,254
UCL212006,54,629,75,241,120,44,6,21,8,1192,85,612,9,276,73,28,8,15,11,1113,254,255,31,115,593,132,21,45,23,1475,84,262,34,542,194,59,17,37,12,1245,30,74,16,28,62,27,4,10,4,248,50,11,135,95,93,56,5,39,9,492,0,0,0,0,0,5,0,0,0,3,3,18,4,15,31,7,6,0,0,89,16,12,3,19,22,13,0,6,17,107,647,2031,373,1375,1280,405,85,199,85,6480,69,113,39,24,50,23,3,7,3,332,64,182,54,15,35,26,16,15,8,412,300,319,950,55,116,47,218,151,29,2181,118,50,711,20,39,22,64,93,21,1143,35,17,108,18,30,10,25,40,6,279,83,743,94,302,132,47,20,28,11,1463,116,798,31,295,80,24,13,20,12,1392,537,464,98,177,756,233,108,90,31,2498,138,365,61,723,236,88,44,67,16,1745,63,136,43,41,78,60,24,40,8,499
UCL212007,71,624,22,139,91,25,3,5,0,977,62,475,0,103,58,17,0,5,3,723,264,255,13,60,257,91,3,17,5,970,89,253,11,190,98,39,3,9,8,696,62,167,16,20,36,26,0,10,3,338,26,16,49,42,46,31,0,11,0,231,0,0,0,0,0,0,0,0,0,0,12,27,3,11,13,0,0,0,3,73,6,16,0,11,16,9,0,4,19,68,650,1982,159,608,683,259,13,76,48,4476,55,118,25,33,34,8,5,12,3,294,55,71,14,8,19,10,0,7,0,173,158,224,332,50,39,23,40,53,14,922,183,111,431,22,31,25,9,55,12,878,56,49,64,11,23,12,11,18,6,239,102,829,38,207,96,30,10,14,0,1330,119,668,19,134,63,17,4,17,7,1050,564,504,67,103,314,173,17,35,18,1800,143,403,28,277,119,57,8,24,16,1067,90,254,49,41,46,37,6,13,3,540
UCL212008,39,667,26,183,82,18,3,16,7,1030,42,422,3,135,44,13,0,9,4,666,132,139,25,65,400,73,6,14,16,867,64,239,15,358,120,50,4,36,15,887,15,41,6,16,32,20,0,6,0,137,36,13,89,77,93,38,4,29,3,391,0,0,0,0,0,0,0,0,0,3,5,7,6,10,10,0,0,0,0,39,8,0,4,17,16,5,0,11,9,78,360,1589,220,868,856,241,35,137,57,4363,17,66,21,15,22,8,7,0,4,154,14,55,30,8,25,8,0,9,3,155,162,231,806,37,57,42,185,131,21,1672,79,12,287,17,16,18,68,113,10,615,29,28,28,3,19,11,15,29,0,150,60,875,40,215,90,19,12,15,5,1332,61,517,19,146,50,12,6,10,4,820,272,270,61,82,475,117,33,41,27,1385,81,296,30,467,145,68,12,52,19,1174,27,71,17,26,43,21,3,15,3,228
UCL212009,56,816,34,245,96,39,7,34,4,1331,67,508,12,191,49,21,0,16,3,870,162,155,25,66,426,93,8,54,7,994,62,276,18,497,96,51,3,58,11,1069,16,56,5,23,24,19,5,7,0,163,49,15,156,114,54,67,0,60,4,514,0,0,0,0,0,0,0,0,0,8,13,10,4,10,13,6,0,4,0,56,5,9,3,16,12,17,0,24,26,111,475,1936,313,1192,812,332,37,303,60,5465,62,96,31,19,27,10,4,23,0,270,21,46,34,7,8,3,6,23,0,152,136,126,524,31,43,40,126,155,18,1199,136,41,452,24,18,21,47,79,11,833,66,46,63,25,29,12,23,51,0,320,67,1094,53,311,109,47,11,40,8,1744,119,703,29,228,53,31,3,25,7,1202,363,376,72,114,506,171,38,102,16,1760,102,385,34,628,108,71,12,95,12,1449,19,94,26,35,35,29,18,25,6,284
UCL213001,12,214,19,100,35,14,3,12,9,408,14,155,5,60,17,5,0,10,0,260,48,52,14,31,144,33,0,19,4,345,23,78,3,172,34,13,4,24,10,360,3,14,3,10,12,3,6,0,6,57,10,0,34,40,31,22,0,24,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,19,0,5,5,3,9,7,0,12,11,48,135,543,83,439,316,106,19,116,32,1789,12,24,6,4,9,0,0,5,0,60,9,8,5,4,10,6,4,0,0,51,60,38,217,13,27,18,60,68,10,507,37,4,138,14,5,15,18,28,0,259,23,25,17,12,17,10,14,19,0,144,21,287,23,117,41,14,6,14,6,535,24,195,5,67,20,10,4,8,0,330,100,89,26,43,177,59,16,29,11,549,40,111,10,209,39,19,3,40,14,477,4,28,8,15,16,5,8,8,6,96
UCL213002,23,192,8,56,23,15,0,8,3,335,22,160,7,43,20,3,0,5,0,267,42,41,5,20,68,20,0,9,6,202,45,166,8,97,40,13,5,13,5,394,18,89,17,27,20,14,5,6,6,194,13,0,18,12,11,7,0,11,0,78,0,0,0,0,0,0,0,0,0,0,15,17,0,3,13,0,0,0,0,54,3,7,4,7,0,0,0,0,3,26,201,749,78,283,213,77,8,68,26,1700,10,48,10,10,9,4,0,11,0,98,12,28,0,0,7,0,0,3,0,54,43,41,129,18,15,9,35,26,6,330,30,45,92,3,0,3,6,9,0,206,18,37,24,4,5,6,3,3,0,98,30,253,10,72,26,13,0,13,3,420,30,236,9,51,21,12,0,11,0,369,92,88,11,27,86,29,5,11,3,353,74,262,18,140,58,12,9,30,7,608,30,160,37,41,24,17,5,12,5,338
UCL213003,15,130,16,92,19,12,0,17,4,303,16,136,0,49,16,4,0,8,0,235,45,39,5,20,108,28,0,41,4,298,17,41,4,264,31,16,3,51,6,433,5,12,8,8,9,10,0,4,0,44,15,3,52,34,14,19,4,29,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,17,10,5,8,7,8,4,0,11,9,48,131,393,108,477,210,115,7,194,24,1664,17,16,4,3,6,0,0,9,0,57,6,6,15,0,0,3,0,13,0,42,48,18,212,10,13,21,76,76,11,484,49,13,138,0,4,9,9,37,3,266,19,16,16,6,9,5,24,33,0,134,21,168,17,101,16,12,4,25,4,364,26,170,5,54,18,8,4,12,0,301,91,84,22,31,127,43,10,82,4,494,31,61,11,309,38,21,15,63,6,541,10,25,13,7,9,10,0,13,0,83
UCL213004,15,196,19,104,44,23,6,17,0,419,31,223,3,106,28,9,0,7,3,401,50,56,9,31,171,49,3,23,5,402,39,99,7,243,63,12,4,13,6,493,10,18,6,17,20,8,0,10,0,86,16,11,59,33,32,25,6,21,4,216,0,0,0,0,4,0,0,0,0,4,3,0,0,5,4,3,0,0,0,21,0,0,3,7,8,8,0,4,5,40,174,635,137,556,391,163,30,112,27,2226,15,28,15,7,10,11,0,3,0,88,19,17,22,0,9,11,0,7,0,92,82,56,344,7,19,29,104,73,6,723,41,13,254,6,10,9,33,59,7,436,19,14,40,5,7,14,14,27,6,137,24,228,26,135,44,22,6,19,6,512,49,282,6,119,30,9,3,10,7,514,114,115,32,44,203,76,25,43,7,647,51,124,20,290,68,28,11,32,6,627,14,35,10,18,26,14,9,17,3,144
UCL213005,38,305,30,135,39,8,3,11,5,579,26,211,3,93,16,13,0,7,0,372,84,78,9,37,210,46,6,26,6,502,37,134,18,253,72,15,10,21,0,566,11,33,12,15,16,18,0,5,0,103,17,5,60,49,27,38,0,26,3,219,0,0,0,0,0,0,0,0,0,0,3,6,0,4,8,0,0,4,0,29,0,4,0,3,10,7,3,7,13,54,240,825,158,601,417,157,26,126,41,2586,22,53,19,11,13,6,3,4,4,134,15,42,16,4,9,4,7,9,5,103,71,72,288,32,23,27,76,84,12,676,43,22,295,9,12,3,27,56,4,470,8,14,45,4,4,13,5,24,0,118,52,367,33,160,51,17,11,17,7,716,33,280,9,108,22,14,7,16,0,482,185,153,35,59,243,64,25,44,17,827,65,174,36,319,88,22,12,32,7,759,28,53,27,16,21,20,6,22,0,192
UCL213006,19,248,3,55,33,10,0,6,0,378,34,262,5,59,17,10,0,0,0,384,89,82,6,36,153,31,0,6,4,406,20,95,5,104,66,15,0,11,4,319,11,29,3,13,13,7,0,6,0,82,14,7,35,22,24,15,5,9,0,128,0,0,0,0,0,0,0,0,0,0,5,10,4,7,9,0,0,7,0,36,3,3,5,3,6,4,0,0,5,29,215,792,112,311,359,98,8,43,21,1956,21,47,12,8,11,4,0,3,0,114,32,40,9,5,9,0,0,3,0,95,107,120,247,21,27,20,39,34,8,627,51,25,228,13,11,8,14,26,8,375,15,14,29,0,10,0,3,11,0,88,25,294,12,78,34,10,4,13,0,464,50,329,10,64,22,10,7,5,3,494,241,159,32,49,188,54,16,18,6,776,33,140,14,149,81,23,7,15,8,461,20,44,9,27,21,16,7,8,0,146
UCL213007,36,386,11,137,41,9,4,12,6,641,29,222,0,69,26,9,0,0,0,344,92,112,15,43,236,33,0,16,4,553,32,100,4,245,45,33,0,21,3,487,6,22,3,0,13,10,0,0,0,62,27,11,54,45,36,33,0,14,0,216,0,0,0,0,0,0,0,0,0,6,5,6,0,9,0,0,0,0,0,18,5,5,4,7,9,3,0,7,5,49,251,907,118,570,427,140,12,91,27,2549,15,51,8,4,6,0,3,3,0,94,17,20,11,3,4,9,4,0,0,68,96,48,331,12,20,26,82,57,10,692,56,3,199,10,16,7,29,33,3,358,67,72,44,20,17,10,13,32,0,286,49,462,18,172,45,10,3,12,4,776,44,286,3,78,23,11,5,8,0,456,194,191,34,70,267,81,22,38,8,897,47,141,15,327,48,34,10,31,9,663,10,36,12,10,17,16,0,6,0,105
UCL213008,25,261,30,115,45,13,12,14,5,521,28,247,0,99,16,8,4,3,0,407,78,103,20,51,261,58,17,14,4,608,31,114,7,264,89,28,7,15,4,560,10,35,8,13,19,18,6,0,0,110,8,3,44,42,30,24,5,19,0,184,0,3,0,0,0,0,0,0,0,0,9,6,4,5,11,4,0,6,0,37,0,0,6,5,10,8,0,3,12,50,219,870,153,631,502,186,55,87,31,2732,25,67,15,13,7,10,4,3,0,152,32,107,21,8,19,12,11,10,0,220,110,118,447,39,31,12,103,81,15,957,33,22,264,9,11,10,34,54,4,444,13,15,22,6,11,9,16,12,0,108,38,314,39,136,46,23,17,14,9,641,35,302,4,121,21,6,12,9,5,518,170,194,42,87,316,87,52,41,7,995,52,153,14,356,97,38,18,30,6,772,18,56,17,26,20,19,15,11,0,187
UCL213009,12,289,24,105,28,12,6,9,0,479,17,169,6,87,23,11,0,6,4,324,68,71,10,32,198,46,6,15,3,446,37,92,9,210,52,25,4,21,4,448,14,36,0,3,8,14,5,7,0,90,13,3,63,46,34,27,4,9,0,196,0,0,0,0,0,0,0,0,0,0,4,8,0,4,5,0,0,3,0,26,0,7,5,6,9,0,4,0,6,40,174,704,141,513,385,146,18,100,21,2193,10,34,17,18,9,10,0,3,0,104,16,41,16,4,4,6,8,7,4,112,69,56,249,24,18,15,64,55,12,565,38,14,247,8,5,14,28,35,9,393,11,9,33,5,11,8,7,17,0,94,26,323,28,128,41,17,8,16,0,587,35,220,3,103,23,6,3,10,4,403,146,135,27,55,236,68,30,27,11,731,54,116,18,266,65,33,11,32,6,608,20,48,10,9,14,22,3,25,0,146
UCL213010,13,135,13,79,28,9,0,8,0,285,17,115,4,75,22,4,0,0,0,237,40,36,13,47,174,47,0,19,6,389,24,78,9,295,57,29,0,17,7,513,4,11,5,10,12,10,0,7,0,52,10,9,45,34,29,16,4,10,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,15,3,9,0,13,12,8,0,11,14,74,119,404,110,566,359,128,11,92,34,1827,0,14,4,0,10,5,0,0,0,40,9,11,18,5,13,5,0,7,0,66,54,46,407,30,35,9,83,66,10,745,26,3,165,0,4,10,28,45,4,289,11,3,18,5,10,3,11,21,0,88,17,182,16,99,26,11,6,7,0,367,24,147,6,77,23,4,5,9,0,295,76,65,24,65,197,64,21,32,3,547,32,98,12,354,62,39,9,40,7,655,9,21,18,14,16,9,6,8,0,95
UCL213011,9,105,14,43,14,13,0,4,0,208,15,77,5,53,6,3,0,4,0,162,28,34,3,27,107,22,6,16,3,251,14,52,6,186,49,22,4,23,5,360,0,10,4,0,12,0,0,0,0,33,12,0,29,32,21,11,0,18,6,127,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,10,0,0,0,11,8,9,0,11,3,47,90,303,73,371,233,89,18,89,23,1279,5,15,9,0,5,6,5,4,0,43,14,25,15,8,14,3,5,3,0,83,31,34,223,15,22,12,73,42,8,469,18,8,94,0,11,4,34,29,7,200,6,4,18,6,4,5,9,12,0,57,4,129,20,62,18,13,3,8,0,265,19,97,6,62,15,5,4,9,0,213,49,67,12,33,132,40,13,32,10,394,24,73,18,234,56,30,12,31,14,504,0,10,9,4,14,4,0,3,0,55
UCL213012,8,171,13,82,17,6,4,4,0,314,22,122,0,48,8,0,0,5,0,205,39,25,5,21,98,19,8,7,0,227,15,60,4,178,29,10,3,15,0,313,3,7,3,0,4,3,0,0,0,28,13,4,26,23,18,21,0,12,0,118,0,0,0,0,0,0,0,0,0,4,4,0,3,0,3,4,0,3,0,17,6,8,0,10,5,0,0,12,3,39,118,421,68,374,194,82,18,59,11,1342,0,16,8,5,0,0,0,0,0,34,4,9,6,0,4,0,0,0,0,30,45,49,240,10,11,8,80,45,14,497,18,3,96,3,4,4,32,30,3,197,17,10,17,5,0,5,12,14,3,92,16,212,18,102,21,6,7,4,0,387,24,173,0,55,12,3,0,3,0,276,79,53,16,26,112,34,14,20,5,354,20,81,7,211,38,13,7,23,0,389,5,12,4,3,7,6,3,3,0,48
UCL213013,22,307,16,109,22,8,0,14,0,503,23,194,0,66,19,4,0,5,4,310,65,73,12,42,169,28,3,12,9,409,43,83,3,187,43,27,0,18,3,405,14,20,4,5,7,4,0,5,0,62,18,4,42,43,19,20,0,19,0,173,0,0,0,0,0,0,0,0,0,5,4,4,0,0,7,0,0,4,0,18,5,0,0,12,3,6,0,6,4,37,197,735,103,485,309,110,9,87,30,2057,11,51,11,9,5,3,0,0,0,90,17,19,17,4,13,7,0,0,3,83,70,145,292,33,26,21,45,62,18,705,43,12,146,3,5,7,22,39,7,277,27,18,17,9,5,3,7,20,0,105,32,395,15,136,20,15,3,15,0,641,41,271,5,80,22,7,3,4,6,441,142,143,22,61,198,59,15,19,9,674,61,142,13,243,50,30,7,22,4,566,23,37,11,8,12,13,6,8,0,111
UCL213014,14,208,8,69,23,7,0,6,4,351,19,163,3,62,17,5,0,7,6,270,40,52,3,24,114,40,0,19,4,298,24,67,4,145,39,21,0,23,3,324,0,9,0,5,6,7,0,3,0,33,7,10,44,36,24,14,0,12,4,156,0,0,0,0,0,0,0,0,0,3,6,5,0,3,0,0,0,5,3,20,0,4,0,9,0,5,0,11,3,25,114,538,80,361,257,92,3,97,24,1567,9,17,3,0,0,0,0,3,0,43,5,11,10,3,3,0,4,8,0,42,60,31,238,10,21,13,32,49,3,466,57,3,108,4,9,0,19,16,3,216,50,36,21,5,16,10,7,15,9,166,27,262,7,94,33,8,0,9,0,440,35,223,6,66,15,8,0,11,6,364,103,106,11,38,138,58,0,41,3,500,35,97,6,186,38,20,8,29,3,415,5,22,3,5,6,7,0,7,0,53
UCL213015,18,172,24,108,41,13,4,13,6,389,17,142,0,109,16,11,0,5,0,302,71,64,13,38,209,52,9,17,11,480,32,78,13,238,73,18,3,16,0,461,3,15,3,12,12,8,4,0,0,56,16,5,49,38,44,32,0,22,4,207,0,0,0,0,0,0,0,0,0,5,0,8,0,6,3,3,3,5,0,36,6,4,3,9,15,3,0,6,12,60,199,524,138,575,445,151,35,98,40,2200,12,33,15,16,16,0,3,9,0,108,25,53,23,14,14,10,11,8,9,172,74,79,429,33,33,30,108,66,11,857,47,6,256,4,12,6,26,38,3,401,7,0,41,5,7,0,19,15,0,96,31,208,28,124,41,15,3,20,4,477,27,175,6,112,21,13,9,11,0,367,155,118,35,60,251,85,45,34,14,795,53,104,31,292,94,28,22,23,3,647,9,32,15,12,14,17,11,3,0,118
UCL213016,35,521,32,199,52,27,4,15,10,881,26,262,7,95,23,9,0,5,4,428,85,88,15,70,222,59,6,20,5,573,52,124,8,288,58,35,3,37,7,606,8,20,8,14,19,9,3,9,0,91,34,9,70,56,36,40,6,22,0,269,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,6,0,0,0,23,9,5,0,10,18,12,5,7,6,73,256,1075,165,753,450,211,33,142,36,3117,17,43,15,9,5,7,0,3,0,112,16,28,22,4,10,9,3,11,0,97,83,70,338,19,31,21,91,62,8,735,72,14,237,18,4,14,38,55,8,451,32,25,25,7,13,16,16,26,0,162,41,662,38,257,64,30,10,23,9,1129,41,365,16,109,26,13,10,13,4,595,196,163,45,92,266,95,19,46,3,927,77,171,19,371,67,37,12,60,7,821,16,38,12,19,21,16,4,14,0,139
UCL213017,32,408,26,151,56,15,0,20,0,707,38,334,0,104,26,6,0,13,3,530,91,120,18,55,279,57,5,37,7,657,49,167,10,246,76,28,10,48,10,639,9,30,6,11,17,19,4,16,0,109,10,10,55,50,38,35,0,30,0,226,0,0,0,0,0,0,0,0,0,7,6,5,3,12,4,0,0,6,0,35,5,10,0,10,11,5,0,15,14,75,271,1128,145,674,540,180,27,203,28,3197,23,44,16,17,11,0,4,12,0,128,21,49,14,7,17,7,10,14,3,137,131,99,366,22,22,36,100,94,11,883,88,31,280,7,9,16,32,57,12,526,40,39,42,13,17,13,19,35,0,222,39,523,28,183,57,20,0,23,0,885,58,455,9,120,29,10,3,19,3,712,208,254,40,74,328,94,27,53,8,1086,73,235,30,338,82,41,9,68,13,889,13,52,21,19,23,26,7,24,0,186
UCL213018,13,115,6,51,10,0,0,5,0,211,3,97,0,31,8,6,4,10,0,155,35,36,6,22,90,30,0,8,9,233,13,32,0,97,27,16,6,7,0,190,3,4,0,0,0,0,0,0,5,15,16,0,32,29,20,18,0,7,3,129,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,8,6,4,0,8,12,4,0,6,0,41,89,305,63,252,179,71,12,53,19,1047,0,12,13,5,5,0,0,0,0,36,0,7,9,3,3,0,0,0,0,22,52,23,151,9,14,12,31,41,7,344,40,3,126,8,5,0,12,21,4,229,14,9,15,4,3,6,5,15,0,71,12,148,8,65,11,5,0,9,0,255,15,135,0,35,6,5,4,6,0,208,79,75,11,24,99,38,4,14,6,351,22,52,7,118,27,17,6,9,0,249,4,9,7,0,0,3,0,3,5,25
UCL214001,5,107,7,73,15,10,0,7,3,227,11,54,4,20,11,0,0,6,0,102,34,23,0,16,62,10,0,19,0,174,3,30,3,119,26,7,0,23,6,224,0,11,0,5,4,0,0,6,0,23,6,3,19,20,10,10,0,7,0,87,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,11,0,0,0,7,4,6,0,23,10,55,68,251,55,278,139,53,6,105,19,972,6,15,10,7,0,3,0,0,0,31,4,4,0,4,0,7,3,5,0,31,37,24,93,18,5,5,30,59,3,275,22,3,36,21,8,0,3,15,3,101,7,7,18,4,7,10,8,14,6,69,10,133,8,87,15,6,0,9,4,279,13,71,5,24,12,6,0,5,0,143,67,29,10,19,71,17,12,32,3,262,10,52,8,174,27,13,5,35,4,336,0,16,5,0,4,0,0,11,0,34
UCL214002,9,123,17,45,21,13,0,5,4,236,11,102,5,46,17,0,0,4,0,180,38,28,3,18,104,28,3,10,3,227,19,32,6,110,29,11,5,9,0,223,3,6,0,0,9,3,0,3,0,19,6,0,24,15,15,7,0,8,0,80,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,0,0,12,0,3,0,3,3,4,0,0,3,20,92,314,76,248,209,77,18,36,14,1065,4,12,4,3,4,4,0,5,0,31,9,13,10,0,5,3,4,0,0,37,27,38,216,11,12,7,43,36,8,409,22,3,119,3,3,3,18,24,5,197,4,4,16,6,9,3,3,8,0,58,15,136,23,57,21,13,3,4,3,270,16,124,8,55,18,0,6,5,0,236,68,51,10,21,126,39,8,10,5,341,24,39,9,141,36,15,9,13,0,292,8,10,4,3,6,7,0,6,0,43
UCL214003,12,159,10,78,18,11,0,13,3,291,11,118,0,61,11,0,0,3,0,209,31,34,6,34,87,27,4,15,0,237,18,33,4,134,29,23,3,19,6,259,0,13,0,0,4,0,0,3,0,28,7,5,42,26,16,9,3,10,0,123,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,3,5,0,3,7,4,0,9,5,40,102,398,75,345,196,88,12,73,17,1309,7,17,3,3,3,5,0,4,0,40,7,9,3,0,9,3,0,0,0,33,55,65,184,8,23,10,42,42,8,438,39,6,110,3,4,5,15,24,7,209,12,22,21,3,7,8,6,12,3,103,15,192,14,89,19,11,0,8,3,346,16,153,4,68,12,0,0,10,0,269,63,54,12,47,98,51,7,25,4,365,28,46,6,166,36,27,9,28,6,342,5,19,5,6,6,7,0,6,0,54
