UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL212005,5261,375,6,102,8,5745,5693,135,3,7,5,5850,2497,938,12,8,0,3460,576,209,10,4,0,803,118,62,25,14,0,215,910,130,3,16,7,1057,154,55,0,30,7,243,48,18,0,3,0,75,4301,1416,53,68,13,5856,224,74,0,87,0,391,301,75,0,20,3,400,15787,2076,58,285,31,18240
UCL212006,3763,198,261,0,0,4225,6245,94,207,0,0,6540,1571,212,392,0,0,2176,62,13,47,0,0,123,17,12,16,0,0,44,372,20,70,0,0,460,22,0,4,0,0,22,7,0,3,0,0,14,2048,257,533,0,0,2838,73,23,17,0,0,112,115,14,21,0,0,150,12243,580,1033,0,4,13864
UCL212007,2529,167,16,0,8,2715,3169,125,7,0,0,3304,1054,201,21,0,0,1281,0,3,0,0,0,3,4,0,0,0,0,4,285,32,8,0,0,322,21,0,0,6,0,25,0,0,0,0,0,3,1363,239,22,6,4,1637,152,40,0,0,0,191,60,8,0,0,0,78,7272,581,49,6,12,7922
UCL212008,3324,128,252,53,4,3759,3893,72,64,8,8,4038,1278,183,370,0,0,1842,199,15,125,0,0,333,27,13,25,0,0,67,374,24,46,3,0,452,38,0,17,11,0,68,11,0,4,0,0,19,1927,230,592,17,3,2779,59,53,32,3,0,145,119,6,31,0,0,167,9326,496,975,75,17,10889
UCL212009,4343,391,69,8,9,4808,3801,199,63,0,0,4066,1494,587,226,16,3,2328,369,124,73,0,0,567,48,31,42,0,0,128,517,129,55,0,4,701,42,16,18,5,0,92,16,5,8,0,0,24,2490,888,424,23,6,3838,111,71,43,0,0,228,138,29,14,0,4,188,10876,1584,622,38,19,13131
UCL213001,1976,190,10,15,0,2187,1452,47,3,0,0,1507,667,201,30,4,0,908,145,83,12,0,0,235,49,48,4,0,0,102,293,37,3,0,0,340,14,10,0,0,0,29,8,9,0,0,0,20,1179,383,54,11,4,1631,65,72,0,0,0,139,106,31,0,0,0,140,4776,723,70,26,11,5602
UCL213002,1998,60,0,4,6,2061,1281,22,0,0,0,1304,428,47,0,3,0,485,59,76,0,0,0,138,25,6,0,0,0,35,226,13,5,3,0,245,18,0,0,7,0,17,3,0,0,0,0,3,755,148,0,14,3,921,42,3,0,0,0,48,71,3,0,0,0,72,4144,234,11,21,7,4414
UCL213003,1821,129,0,11,0,1962,1505,29,0,7,3,1544,504,183,0,6,0,696,148,69,3,0,0,224,26,21,0,0,0,43,227,34,0,0,0,268,22,14,0,26,0,62,9,9,0,0,0,17,940,328,3,34,3,1310,38,24,0,3,0,64,72,32,0,3,0,109,4380,549,0,50,8,4985
UCL213004,1777,97,57,41,0,1969,2141,60,29,0,0,2227,698,107,85,0,0,891,46,3,24,0,0,72,9,0,0,0,0,7,164,10,21,0,0,192,7,0,0,22,0,31,9,4,0,0,0,11,924,125,132,22,0,1202,52,3,0,4,0,63,75,4,3,0,0,92,4971,291,219,70,4,5553
UCL213005,2426,122,25,0,0,2577,2340,25,0,0,0,2361,967,86,0,4,0,1055,9,5,0,0,0,15,10,0,0,0,0,8,195,8,3,0,0,206,11,6,0,0,0,16,8,0,0,0,0,6,1199,106,0,4,0,1309,103,4,0,0,0,110,70,4,0,0,0,78,6142,259,29,4,0,6438
UCL213006,1116,118,4,0,0,1244,1717,76,10,0,0,1793,298,104,12,0,0,412,14,20,0,0,0,31,9,10,4,0,0,18,89,43,0,0,0,131,0,0,0,0,0,4,0,0,0,0,0,0,403,182,16,0,0,601,26,4,0,0,0,30,28,3,0,0,0,30,3284,381,33,0,0,3698
UCL213007,2329,70,51,9,0,2461,2102,15,13,0,3,2127,938,125,179,4,0,1239,176,65,45,0,0,287,12,5,18,0,0,36,246,19,28,0,0,289,25,4,12,6,0,36,6,4,5,0,0,14,1397,220,281,3,0,1904,75,29,11,0,0,115,86,15,13,0,0,112,5991,345,366,11,6,6719
UCL213008,1423,204,8,0,0,1639,2541,109,0,0,0,2651,736,207,17,0,5,969,26,0,0,0,0,28,22,9,15,0,0,43,172,30,0,0,0,198,18,11,4,0,0,37,9,0,0,0,0,11,979,262,37,0,5,1283,48,15,0,0,0,69,49,10,0,0,0,57,5048,595,48,0,10,5695
UCL213009,1580,104,0,0,0,1691,1901,58,0,0,0,1956,549,69,0,0,0,625,22,6,0,0,0,27,5,4,0,0,0,14,158,26,0,0,0,186,11,0,0,0,0,12,8,0,0,0,0,8,752,108,0,0,0,863,30,37,0,0,0,66,44,14,0,0,0,57,4305,320,0,0,0,4635
UCL213010,2234,196,23,8,5,2469,1819,72,15,0,0,1899,726,278,126,0,0,1132,242,167,44,0,0,447,49,28,6,0,0,84,302,48,18,4,0,368,27,13,0,14,0,56,7,12,4,0,0,22,1345,545,198,16,0,2102,51,60,3,0,0,106,119,38,8,5,0,177,5565,906,244,33,6,6756
UCL213011,1949,67,84,0,0,2102,1373,20,31,0,0,1421,864,118,233,3,0,1218,167,81,24,0,0,275,49,23,11,0,0,87,266,15,10,0,0,294,26,4,6,0,0,41,15,0,7,0,0,23,1392,250,295,0,0,1946,37,7,9,0,0,53,153,23,12,0,0,190,4908,366,424,3,7,5712
UCL213012,1628,87,12,16,0,1744,1264,29,3,0,4,1301,422,136,26,6,0,582,135,76,3,0,0,214,12,6,0,0,0,18,221,37,3,3,0,262,20,12,3,6,0,39,4,4,0,0,0,10,812,269,35,14,0,1129,48,3,0,0,0,54,65,11,0,0,0,79,3815,399,55,32,7,4303
UCL213013,1820,84,82,27,4,2021,1587,49,21,0,3,1667,869,197,214,4,0,1285,135,51,24,0,0,211,12,11,13,0,0,38,177,23,21,0,4,225,121,4,4,0,0,135,8,3,0,0,0,15,1324,289,274,6,0,1896,41,10,7,3,0,66,70,11,9,0,0,93,4838,445,396,35,17,5733
UCL213014,1340,84,34,5,0,1467,1230,22,13,3,0,1265,424,142,188,0,0,758,128,39,55,0,0,210,20,4,20,0,0,45,229,49,17,0,6,299,23,10,0,10,0,47,5,4,4,0,0,9,830,243,279,10,3,1366,53,10,3,0,0,68,54,12,14,0,0,79,3509,368,336,20,9,4246
UCL213015,803,68,0,0,0,873,2626,137,4,0,4,2767,718,112,3,0,0,834,11,0,0,0,0,11,7,6,0,0,0,8,126,12,0,0,0,142,16,0,0,0,0,19,4,0,0,0,0,4,884,135,4,0,0,1019,36,5,0,0,0,41,73,4,0,0,0,78,4423,349,7,0,4,4780
UCL213016,2817,174,0,10,0,3008,2363,81,0,0,0,2443,908,444,0,3,0,1360,249,116,5,0,0,362,23,49,0,0,0,69,312,83,0,3,0,407,24,15,0,5,0,47,7,10,0,0,0,12,1525,714,5,12,0,2255,62,29,0,0,0,84,164,133,0,0,0,297,6928,1123,5,28,9,8087
UCL213017,2309,104,102,155,0,2675,2649,31,31,6,0,2716,901,134,77,0,4,1119,111,68,14,0,0,198,7,0,5,0,0,16,233,38,21,0,0,291,23,0,5,3,0,33,5,0,0,0,0,12,1283,242,129,6,4,1666,50,4,42,27,0,121,71,3,4,0,3,83,6358,389,318,189,8,7264
UCL213018,1375,154,3,47,0,1580,907,40,4,0,0,949,338,159,3,3,0,507,49,47,0,0,0,94,4,8,0,0,0,13,127,42,4,3,0,164,14,0,0,4,0,20,4,0,0,0,0,5,531,253,9,5,0,801,32,11,0,3,0,47,42,14,0,0,0,64,2891,469,13,62,0,3437
UCL214001,1099,64,0,3,0,1172,820,15,0,3,0,843,385,107,3,6,4,503,65,36,0,0,0,97,3,6,0,0,0,8,136,18,0,4,0,158,32,5,0,0,0,38,0,3,0,0,0,3,622,172,3,12,3,815,35,20,0,0,0,56,54,14,0,0,0,72,2625,293,11,17,7,2950
UCL214002,544,18,3,0,0,564,1127,19,0,0,0,1147,134,35,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,41,5,0,0,0,44,4,0,0,0,0,3,0,0,0,0,0,0,181,40,0,0,0,221,14,0,0,0,0,14,9,0,0,0,0,9,1873,83,3,0,0,1961
UCL214003,1633,109,0,7,4,1756,1043,39,0,5,4,1089,463,249,0,4,0,714,136,76,0,0,0,214,12,13,0,0,0,26,147,30,0,0,0,178,13,10,0,0,0,23,7,4,0,0,0,15,775,382,6,4,0,1168,39,27,0,0,0,71,89,27,0,25,0,137,3580,583,9,34,7,4212
UCL214004,875,22,0,3,0,902,552,11,0,4,3,570,305,62,0,0,0,365,74,39,0,0,0,115,11,22,0,0,0,28,119,7,0,0,0,125,16,5,0,6,0,30,5,3,0,0,0,9,532,130,0,5,0,673,24,0,0,0,0,26,48,12,0,0,0,63,2037,175,3,16,5,2235
UCL214005,166,10,0,0,0,178,138,7,3,0,0,147,14,11,0,0,0,28,4,3,0,0,0,10,0,0,0,0,0,0,19,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,38,23,0,0,0,62,5,0,0,0,0,5,12,7,0,0,0,15,353,42,0,0,0,405
UCL214006,1152,168,20,6,3,1348,566,30,16,0,5,620,422,73,24,0,0,515,6,6,21,0,0,30,0,3,13,0,0,21,124,17,4,0,0,144,4,3,3,3,3,14,3,0,0,0,0,3,547,103,64,3,5,729,48,17,4,0,0,71,58,15,5,0,0,72,2377,331,111,7,9,2836
UCL214007,303,23,0,0,0,320,1036,77,0,0,0,1114,281,45,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,53,6,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,334,56,0,0,0,386,11,0,0,0,0,11,27,0,0,0,0,24,1704,151,0,0,0,1862
UCL214008,1619,47,13,4,0,1679,1217,16,3,0,0,1243,366,96,54,0,0,519,121,13,15,0,0,151,11,22,0,0,0,33,216,24,0,0,3,242,22,9,0,15,0,46,9,11,0,0,0,16,743,176,72,15,3,1005,51,17,0,0,3,73,67,6,0,0,0,81,3698,265,90,16,10,4072
UCL214009,1188,95,3,38,5,1319,1348,46,7,0,3,1394,233,61,4,0,0,299,42,44,0,0,0,87,14,12,0,0,0,28,106,12,0,0,0,122,3,0,0,3,0,11,4,4,0,0,0,7,402,130,5,9,0,547,28,9,0,0,0,42,35,3,0,0,0,38,3003,285,11,42,4,3348
UCL214010,1270,95,4,0,0,1368,576,28,0,0,0,597,247,43,0,0,0,289,5,32,0,0,0,37,0,8,0,0,0,16,97,8,0,0,0,107,7,0,0,0,0,3,0,0,0,0,0,0,359,96,3,0,0,461,24,4,0,0,0,30,24,12,0,0,0,31,2256,227,9,0,0,2493
UCL214011,833,182,9,0,0,1023,1343,39,5,0,0,1394,390,58,11,0,0,458,16,21,0,0,0,36,0,0,0,0,0,0,104,16,0,0,0,124,9,6,0,7,0,25,0,0,0,0,0,5,525,107,10,7,0,648,35,70,0,0,0,107,43,20,0,0,0,63,2780,408,23,14,6,3231
UCL214012,953,86,7,0,0,1050,712,10,0,0,0,725,244,120,9,0,0,366,52,29,0,0,0,82,14,17,0,0,0,29,110,24,0,0,0,141,6,5,0,7,0,24,3,4,0,0,0,7,421,204,9,7,0,646,24,6,0,0,0,30,53,11,0,0,0,63,2165,317,12,18,3,2519
UCL214013,708,68,0,8,0,781,636,22,0,4,0,666,240,87,0,6,0,338,41,24,0,0,0,67,7,22,0,0,0,25,74,21,0,7,0,107,9,0,0,0,0,9,0,0,0,0,0,0,373,156,0,15,0,544,27,3,0,7,0,42,17,6,0,0,0,26,1761,257,0,34,0,2052
UCL214014,1169,99,8,42,7,1321,550,21,0,0,3,574,249,105,19,0,0,373,69,51,7,0,0,124,8,4,0,0,0,13,104,30,0,3,3,139,11,0,6,20,0,38,3,0,0,0,0,6,454,187,30,27,3,698,34,0,0,5,0,37,50,4,3,10,7,77,2254,311,43,85,24,2719
UCL214015,972,33,6,4,0,1016,683,3,0,0,0,686,287,16,6,0,0,310,44,0,3,0,0,46,23,0,14,0,0,34,97,3,3,0,0,107,13,0,0,8,0,29,11,0,0,0,0,7,472,21,32,17,0,541,24,7,0,0,0,32,46,0,0,0,0,50,2197,71,32,22,0,2317
UCL214016,1349,105,4,24,10,1495,808,14,5,0,0,831,397,102,17,5,0,521,84,38,9,0,0,138,13,20,12,0,0,42,210,26,8,10,0,250,11,0,0,5,5,24,7,0,0,0,0,15,730,184,47,18,5,979,55,23,0,3,0,81,83,11,6,4,0,101,3025,343,61,52,13,3496
UCL214017,1170,93,18,9,0,1284,477,12,3,4,0,495,166,22,8,0,0,199,0,9,0,0,0,9,0,0,0,0,0,0,62,14,7,4,0,83,3,0,0,0,0,10,4,0,0,0,0,0,237,45,18,5,0,304,53,45,0,0,0,102,28,4,0,0,0,29,1967,198,39,10,4,2214
UCL214018,1972,97,8,5,5,2081,859,22,5,3,8,887,549,110,10,0,0,671,0,0,0,0,0,0,0,6,0,0,0,10,121,23,6,0,0,149,5,4,0,3,0,10,3,0,0,0,0,4,685,147,8,4,3,846,59,10,0,0,0,69,76,8,0,0,0,83,3650,281,15,17,11,3973
UCL214019,852,27,0,8,0,892,642,3,0,0,0,646,325,105,0,4,0,431,152,47,0,0,0,198,13,7,0,0,0,21,125,28,0,0,0,155,21,5,0,6,0,28,4,3,0,0,0,6,638,194,0,6,4,841,26,4,0,0,0,28,48,8,0,0,0,57,2205,239,3,12,6,2465
UCL214020,1003,18,18,8,0,1046,628,3,3,0,0,634,251,44,50,0,0,344,48,14,19,0,0,84,7,0,17,0,0,27,102,9,9,4,0,123,20,0,6,4,0,35,3,0,6,0,0,5,438,69,102,7,4,615,37,0,3,0,0,44,41,0,10,0,0,48,2141,89,139,18,3,2384
UCL214021,584,68,8,0,0,653,803,67,10,0,0,870,164,80,16,0,0,263,21,9,0,0,0,34,5,0,0,0,0,5,41,18,0,0,0,61,4,0,0,0,0,4,0,0,0,0,0,3,241,107,15,0,0,367,14,3,0,0,0,13,26,5,0,0,0,26,1658,243,33,0,0,1936
UCL214022,1544,57,4,81,4,1690,883,17,0,0,0,898,490,31,0,0,0,529,85,68,7,0,0,157,18,15,12,0,0,44,196,9,0,3,0,205,15,5,0,0,0,19,5,0,0,3,0,3,805,129,15,13,3,966,37,11,0,0,0,47,62,6,0,4,0,80,3321,218,22,108,12,3675
UCL215001,330,0,0,0,0,334,156,5,0,0,0,166,19,0,0,4,0,26,4,0,0,0,0,4,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,57,0,3,4,0,56,8,0,0,0,0,8,8,0,0,0,0,8,555,5,8,4,0,571
UCL215002,482,14,0,41,0,540,289,0,0,3,0,289,105,37,0,3,0,142,8,16,0,0,0,25,5,3,0,0,0,10,48,8,0,3,0,64,3,0,0,4,0,8,0,0,0,0,0,0,178,64,0,9,0,250,10,0,0,0,0,10,11,0,0,0,3,12,962,81,0,58,4,1106
UCL215003,608,22,0,0,0,639,310,10,0,0,0,323,103,17,3,0,0,126,10,5,0,0,0,12,0,8,0,0,0,9,56,7,0,0,0,63,7,0,0,0,0,12,6,0,0,0,0,6,174,40,3,0,0,219,32,3,0,3,0,40,25,0,0,0,0,27,1152,81,6,8,6,1244
UCL215004,242,12,4,5,0,261,115,3,3,5,3,130,65,29,9,0,0,108,3,0,0,0,0,0,0,4,5,0,0,10,32,10,3,0,3,46,8,5,4,3,4,19,0,0,0,0,0,0,110,51,20,3,3,188,7,0,0,0,0,14,12,0,0,0,0,19,486,74,30,11,8,609
UCL215005,227,0,0,4,0,229,125,0,0,0,4,129,29,4,0,0,0,32,0,11,0,0,0,6,0,0,0,0,0,0,35,0,0,0,0,35,4,0,0,0,0,3,0,0,0,0,0,5,73,14,0,0,0,84,5,0,0,0,0,5,12,0,0,0,0,15,439,19,0,3,3,467
UCL215006,354,15,0,0,0,370,432,13,0,0,0,443,108,18,0,6,0,126,14,10,0,0,0,26,0,0,0,0,0,4,45,4,0,0,0,47,5,0,0,5,0,11,0,0,0,0,0,0,170,31,0,10,0,217,17,0,0,0,0,17,9,0,0,0,0,12,974,66,3,11,0,1055
UCL215007,464,20,0,0,0,480,323,4,0,0,0,335,59,7,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,91,6,0,0,3,97,6,0,0,0,0,11,10,0,0,0,0,12,900,33,4,0,5,937
UCL215008,184,0,0,0,0,187,342,3,0,0,0,344,62,0,0,0,0,62,5,0,0,0,0,5,5,0,0,0,0,5,12,0,0,0,0,12,19,0,0,0,0,19,0,0,0,0,0,0,103,0,0,0,0,103,4,0,0,0,0,4,0,0,0,0,0,0,640,3,0,0,0,645
UCL215009,226,0,0,6,0,237,98,0,0,0,0,99,15,0,0,0,0,15,0,0,4,0,0,4,0,0,0,0,0,0,26,0,0,0,0,23,0,0,0,3,0,0,0,0,0,0,0,0,37,4,4,0,0,42,0,0,0,0,0,0,9,0,0,0,0,9,374,3,5,9,0,389
UCL215010,231,0,0,0,0,234,383,0,0,0,0,383,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,5,0,0,0,0,9,11,0,0,0,0,11,653,0,0,0,0,657
UCL215011,265,0,0,0,0,264,132,0,0,0,0,136,46,0,0,0,0,50,0,0,0,0,0,3,0,0,0,0,0,0,38,0,0,0,0,44,3,3,0,4,0,11,0,0,0,0,0,5,94,9,0,3,0,107,4,0,0,0,0,4,8,0,0,0,0,8,501,14,3,3,0,521
UCL215012,598,15,0,4,0,613,393,6,0,3,4,406,152,15,12,0,0,182,22,15,0,0,0,38,3,3,0,0,0,4,68,10,0,5,6,84,3,0,0,0,0,7,0,0,0,0,0,0,254,44,12,4,6,316,26,0,0,0,5,31,19,0,0,0,0,17,1292,63,15,12,15,1392
UCL215013,138,0,0,0,0,138,864,0,0,0,0,867,186,5,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,212,5,0,0,0,222,3,0,0,0,0,3,22,0,0,0,0,22,1244,9,0,0,0,1252
UCL215014,137,0,0,0,0,137,250,0,0,0,0,250,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,36,0,0,0,0,37,6,0,0,0,0,6,4,0,0,0,0,4,434,0,0,0,0,433
UCL215015,425,27,3,0,0,456,247,12,0,0,0,264,98,32,5,0,0,134,10,11,0,0,0,24,3,0,0,0,0,3,37,24,3,0,0,68,5,0,0,0,3,7,0,0,0,0,0,0,151,64,13,0,3,239,18,0,0,0,0,23,24,8,0,0,0,29,858,116,24,4,3,1007
UCL215016,456,22,0,0,0,480,734,10,6,0,0,746,200,9,0,0,0,212,10,18,0,0,0,32,6,5,0,0,0,11,53,0,0,0,0,54,3,0,0,0,0,3,4,0,0,0,0,3,272,42,0,0,0,321,17,0,0,0,0,18,28,0,0,0,0,29,1510,71,4,3,3,1589
UCL215017,288,11,0,0,5,293,450,4,0,0,0,455,65,0,0,0,0,65,0,3,0,0,0,6,0,0,0,0,0,0,33,0,0,0,0,33,4,0,0,0,0,4,0,0,0,0,0,0,98,4,0,0,0,101,13,0,0,0,0,13,15,4,0,0,0,16,859,17,0,0,5,883
