UCL_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL214009,57,4,0,0,0,60,27,6,0,0,0,28,32,0,0,0,0,32,52,3,0,0,0,53,75,3,0,0,0,75,217,16,5,0,0,241,262,10,0,0,0,274,301,5,0,0,0,309,126,0,0,0,0,121,87,0,0,0,0,96,30,0,0,0,0,30,70,5,0,0,0,77,1348,46,7,0,3,1394
UCL214010,31,4,0,0,0,35,11,0,0,0,0,12,14,3,0,0,0,16,23,0,0,0,0,23,37,5,0,0,0,40,95,4,0,0,0,94,108,3,0,0,0,106,135,3,0,0,0,147,45,0,0,0,0,47,33,0,0,0,0,33,19,0,0,0,0,19,32,0,0,0,0,36,576,28,0,0,0,597
UCL214011,44,0,0,0,0,52,27,9,0,0,0,31,23,0,0,0,0,26,34,6,0,0,0,45,66,0,0,0,0,66,229,9,0,0,0,238,315,6,0,0,0,325,319,4,0,0,0,323,95,0,0,0,0,98,56,0,0,0,0,56,33,0,0,0,0,33,92,0,0,0,0,96,1343,39,5,0,0,1394
UCL214012,18,0,0,0,0,18,25,0,0,0,0,25,21,0,0,0,0,19,60,3,0,0,0,68,97,0,0,0,0,99,231,4,0,0,0,232,112,0,0,0,0,112,74,0,0,0,0,74,8,0,0,0,0,8,10,0,0,0,0,10,8,0,0,0,0,8,46,3,0,0,0,48,712,10,0,0,0,725
UCL214013,35,0,0,0,0,35,8,0,0,0,0,8,9,0,0,0,0,9,24,0,0,0,0,27,32,0,0,0,0,29,84,3,0,5,0,92,118,7,0,0,0,126,153,4,0,0,0,158,72,0,0,0,0,74,52,0,0,0,0,52,18,0,0,0,0,18,26,4,0,0,0,33,636,22,0,4,0,666
UCL214014,41,3,0,0,0,45,19,4,0,0,0,23,20,0,0,0,0,20,31,0,0,0,0,34,68,4,0,0,0,70,147,3,0,0,3,156,90,0,0,0,0,91,61,0,0,0,0,60,20,0,0,0,0,20,19,0,0,0,0,19,11,0,0,0,0,11,26,3,0,0,0,26,550,21,0,0,3,574
UCL214015,23,0,0,0,0,25,20,0,0,0,0,20,17,0,0,0,0,17,33,0,0,0,0,33,54,0,0,0,0,52,175,0,0,0,0,175,166,0,0,0,0,163,110,0,0,0,0,112,26,0,0,0,0,26,27,0,0,0,0,27,13,0,0,0,0,13,24,0,0,0,0,24,683,3,0,0,0,686
UCL214016,35,0,0,0,0,38,50,4,0,0,0,56,46,0,0,0,0,42,104,0,0,0,0,104,142,0,0,0,0,150,210,5,0,0,0,214,99,0,0,0,0,104,57,0,0,0,0,57,10,0,0,0,0,7,7,0,0,0,0,7,3,0,0,0,0,3,48,0,0,0,0,52,808,14,5,0,0,831
UCL214017,22,3,0,0,0,27,15,0,0,0,0,15,8,0,0,0,0,10,19,0,0,0,0,19,15,0,0,0,0,19,56,0,0,0,0,56,47,0,0,0,0,50,98,0,0,0,0,103,63,5,0,0,0,67,71,0,0,0,0,71,33,0,0,0,0,37,32,0,0,0,0,32,477,12,3,4,0,495
UCL214018,45,0,0,0,0,43,26,0,0,0,0,30,15,0,0,0,0,10,39,3,0,0,0,40,40,0,0,0,0,43,139,5,0,0,0,147,148,9,0,0,0,152,190,0,0,0,0,195,69,0,0,0,0,72,62,0,0,0,0,60,32,0,0,0,0,32,54,9,0,0,0,62,859,22,5,3,8,887
UCL214019,31,0,0,0,0,31,24,0,0,0,0,24,17,0,0,0,0,20,46,0,0,0,0,49,85,0,0,0,0,85,170,0,0,0,0,166,122,0,0,0,0,117,87,0,0,0,0,87,14,0,0,0,0,14,14,0,0,0,0,14,4,0,0,0,0,8,27,0,0,0,0,27,642,3,0,0,0,646
UCL214020,23,0,0,0,0,23,28,0,0,0,0,29,50,0,0,0,0,51,104,0,0,0,0,107,124,0,0,0,0,124,171,0,4,0,0,174,56,0,0,0,0,56,24,0,0,0,0,24,8,0,0,0,0,8,9,0,0,0,0,9,3,0,0,0,0,3,34,0,0,0,0,32,628,3,3,0,0,634
UCL214021,23,0,0,0,0,24,11,7,0,0,0,14,14,0,0,0,0,17,21,3,0,0,0,21,27,4,0,0,0,29,106,12,5,0,0,122,147,16,0,0,0,164,224,13,0,0,0,237,89,7,0,0,0,90,50,7,0,0,0,54,31,0,0,0,0,31,64,5,0,0,0,63,803,67,10,0,0,870
UCL214022,51,0,0,0,0,51,41,0,0,0,0,40,25,0,0,0,0,28,69,6,0,0,0,74,89,3,0,0,0,92,245,0,0,0,0,245,162,0,0,0,0,169,115,0,0,0,0,116,22,0,0,0,0,22,15,0,0,0,0,15,9,0,0,0,0,9,43,0,0,0,0,42,883,17,0,0,0,898
UCL215001,9,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,15,0,0,0,0,16,26,0,0,0,0,26,20,0,0,0,0,23,16,0,0,0,0,14,26,0,0,0,0,26,16,0,0,0,0,17,16,0,0,0,0,16,156,5,0,0,0,166
UCL215002,13,0,0,0,0,13,3,0,0,0,0,0,6,0,0,0,0,6,14,0,0,0,0,14,31,0,0,0,0,34,89,0,0,0,0,89,49,0,0,0,0,48,41,0,0,0,0,41,8,0,0,0,0,8,6,0,0,0,0,6,7,0,0,0,0,7,25,0,0,0,0,25,289,0,0,3,0,289
UCL215003,5,5,0,0,0,7,4,0,0,0,0,4,4,0,0,0,0,4,8,0,0,0,0,8,14,0,0,0,0,13,30,0,0,0,0,30,43,0,0,0,0,43,58,0,0,0,0,57,47,0,0,0,0,45,37,5,0,0,0,36,30,3,0,0,0,33,27,0,0,0,0,25,310,10,0,0,0,323
UCL215004,15,0,0,0,0,19,4,0,0,0,0,4,5,0,0,0,0,5,3,0,0,0,0,0,6,0,0,0,0,5,18,0,0,0,0,22,22,0,0,0,0,23,22,0,0,0,0,22,10,0,0,0,0,12,9,0,0,0,0,8,0,0,0,0,0,3,4,0,0,0,0,4,115,3,3,5,3,130
